Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00169607",62,5,1,1,3,6,12,12
"S00169608",66,6,3,-,8,14,14,27
"S00169609",104,10,-,-,5,15,18,20
"S00169610",95,8,1,-,1,16,9,28
"S00169611",118,7,6,-,2,11,13,24
"S00169612",93,9,3,-,-,19,9,31
"S00169613",127,10,4,2,5,16,14,29
"S00169614",82,9,3,-,3,9,8,22
"S00169615",147,6,3,-,1,8,7,23
"S00169616",86,8,5,-,2,11,12,17
"S00169617",116,7,1,1,2,6,10,21
"S00169618",75,6,4,2,5,26,15,28
"S00169619",74,5,2,-,3,15,6,28
"S00169620",146,5,2,-,3,6,9,13
"S00169621",95,8,7,2,6,22,19,21
"S00169622",156,13,3,1,4,19,24,46
"S00169623",75,8,1,-,4,16,10,22
"S00169624",177,10,6,1,6,14,9,41
"S00169625",199,5,3,-,7,12,20,33
"S00169626",75,4,2,3,10,13,19,19
"S00169627",104,11,7,-,6,19,18,23
"S00169628",97,9,-,-,3,7,4,18
"S00169629",176,11,4,2,2,12,8,33
"S00169630",75,2,-,2,-,4,5,17
"S00169631",72,9,5,-,7,20,15,25
"S00169632",111,-,-,-,2,1,2,7
"S00169633",114,7,4,-,4,21,15,32
"S00169634",93,7,3,-,6,5,11,20
"S00169635",110,6,3,-,5,20,19,19
"S00169636",140,3,1,-,3,6,7,25
"S00169637",70,10,3,1,5,16,18,22
"S00169638",116,9,-,1,4,6,9,19
"S00169639",69,6,1,-,1,20,12,22
"S00169640",134,8,10,1,4,21,23,30
"S00169641",70,5,5,-,7,10,5,23
"S00169642",214,-,2,-,5,1,11,18
"S00169643",91,9,-,1,4,11,10,32
"S00169644",100,6,2,1,5,19,24,23
"S00169645",133,16,6,2,4,24,13,39
"S00169646",165,11,5,-,9,30,29,38
"S00169647",149,9,1,4,11,29,20,35
"S00169648",63,3,-,-,6,7,17,14
"S00169649",85,10,2,-,11,24,17,29
"S00169650",66,5,3,1,6,16,10,21
"S00169651",98,7,2,-,5,20,10,31
"S00169652",77,9,2,1,2,11,15,17
"S00169653",148,6,1,-,8,16,7,20
"S00169654",166,6,4,-,12,21,18,42
"S00169655",124,11,7,-,9,19,28,31
"S00169656",77,7,1,-,5,8,4,11
"S00169657",72,6,4,-,6,10,14,14
"S00169658",113,11,5,-,8,15,20,29
"S00169659",105,4,2,-,3,-,8,12
"S00169660",163,9,-,-,4,7,9,27
"S00169661",72,7,1,-,5,3,8,19
"S00169662",105,6,1,2,3,10,14,30
"S00169663",278,2,1,-,13,7,16,25
"S00169664",119,-,-,-,4,3,11,14
"S00169665",156,6,6,2,7,32,28,55
"S00169666",107,3,-,-,5,10,16,27
"S00169667",127,11,-,1,7,17,12,26
"S00169668",125,13,7,-,3,21,11,33
"S00169669",114,6,4,-,3,18,9,32
"S00169670",171,9,3,-,6,11,6,39
"S00169671",121,13,8,1,3,21,11,38
"S00169672",77,4,1,-,-,6,7,23
"S00169673",73,4,7,-,9,10,17,18
"S00169674",68,7,1,-,2,8,3,18
"S00169675",204,5,3,4,7,7,9,19
"S00169676",112,6,6,-,6,12,9,23
"S00169677",85,6,-,-,-,9,6,28
"S00169678",118,8,4,-,8,16,13,39
"S00169679",150,10,1,-,4,30,17,40
"S00169680",104,13,2,-,3,11,11,27
"S00169681",163,2,3,1,3,6,12,28
"S00169682",92,6,7,-,5,18,12,26
"S00169683",133,6,2,-,4,12,10,29
"S00169684",91,6,4,-,1,10,4,24
"S00169685",89,8,1,-,1,10,13,30
"S00169686",167,13,8,-,5,22,23,45
"S00169687",112,10,1,-,3,8,8,13
"S00169688",61,6,3,1,2,7,10,10
"S00169689",83,16,7,3,2,28,15,36
"S00169690",97,5,5,-,6,12,12,17
"S00169691",86,5,2,-,6,15,6,23
"S00169692",132,8,5,-,7,23,18,34
"S00169693",153,14,4,-,1,18,25,45
"S00169694",193,3,-,-,10,9,14,22
"S00169695",114,8,4,-,6,17,17,22
"S00169696",143,10,4,-,8,18,27,37
"S00169697",87,13,4,-,4,14,2,21
"S00169698",92,2,5,1,16,12,22,20
"S00169699",122,5,2,-,7,16,27,29
"S00169700",181,17,7,-,6,22,18,49
"S00169701",105,11,5,-,1,21,16,35
"S00169702",110,6,-,-,7,11,15,24
"S00169703",81,12,1,-,4,10,10,28
"S00169704",93,4,-,-,13,13,17,11
"S00169705",77,-,4,-,7,1,13,13
"S00169706",119,1,1,-,2,4,6,16
"S00169707",105,8,4,-,3,11,18,30
"S00169708",97,12,3,-,5,11,5,20
"S00169709",88,3,2,-,1,6,4,18
"S00169710",90,6,3,2,7,12,9,20
"S00169711",82,3,-,-,3,4,21,15
"S00169712",160,6,8,1,8,25,23,45
"S00169713",118,6,6,2,3,14,10,36
"S00169714",131,11,1,1,4,15,14,33
"S00169715",80,11,3,-,-,19,5,19
"S00169716",81,3,2,-,5,9,13,22
"S00169717",109,4,1,-,9,10,17,23
"S00169718",98,10,6,-,11,19,33,30
"S00169719",143,11,4,-,6,21,25,22
"S00169720",156,8,11,-,8,17,19,23
"S00169721",117,6,5,-,3,11,13,21
"S00169722",73,7,1,-,2,9,15,21
"S00169723",73,2,2,-,-,10,13,19
"S00169724",93,6,-,-,5,8,12,12
"S00169725",142,8,3,5,3,15,14,34
"S00169726",150,11,6,-,10,22,17,42
"S00169727",90,2,2,-,3,7,6,14
"S00169728",197,5,5,2,14,16,31,37
"S00169729",96,5,1,2,9,12,19,24
"S00169730",123,10,9,-,4,15,13,40
"S00169731",126,11,5,2,12,18,23,33
"S00169732",148,6,4,-,10,13,25,42
"S00169733",129,7,1,1,10,25,21,31
"S00169734",131,8,4,-,7,18,15,29
"S00169735",150,8,2,-,2,13,10,35
"S00169736",132,9,5,-,6,26,25,36
"S00169737",144,9,3,2,11,22,22,31
"S00169738",126,13,6,2,2,20,12,42
"S00169739",69,7,1,-,1,16,8,16
"S00169740",121,3,-,-,3,11,10,20
"S00169741",106,11,6,-,9,17,19,35
"S00169742",87,5,4,-,5,13,13,21
"S00169743",113,8,6,-,5,14,12,21
"S00169744",139,6,-,-,7,16,26,28
"S00169745",65,4,2,-,6,10,15,15
"S00169746",91,6,4,-,3,8,12,17
"S00169747",110,12,3,-,3,16,14,24
"S00169748",96,9,3,-,3,15,5,29
"S00169749",92,8,3,-,7,9,13,21
"S00169750",163,5,3,1,7,17,15,33
"S00169751",106,6,8,-,5,15,23,24
"S00169752",164,4,2,-,7,7,15,21
"S00169753",95,11,2,1,9,12,19,29
"S00169754",142,7,4,-,6,11,24,30
"S00169755",107,4,3,2,7,20,18,31
"S00169756",106,8,1,-,4,12,7,26
"S00169757",158,14,2,1,8,23,29,38
"S00169758",101,5,1,-,-,6,8,17
"S00169759",95,4,-,-,8,20,20,28
"S00169760",88,15,3,-,4,11,16,21
"S00169761",76,9,5,-,6,20,10,23
"S00169762",175,8,3,-,7,19,31,45
"S00169763",118,12,2,1,13,19,32,30
"S00169764",98,3,-,-,2,8,14,13
"S00169765",60,6,3,-,2,4,11,18
"S00169766",116,7,5,1,10,11,17,23
"S00169767",139,8,5,4,8,31,18,37
"S00169768",124,10,5,-,5,21,20,31
"S00169769",124,7,3,-,5,20,21,36
"S00169770",113,14,4,4,4,14,17,32
"S00169771",130,19,3,-,-,17,19,31
"S00169772",113,10,2,-,1,13,10,22
"S00169773",119,6,2,-,10,9,10,27
"S00169774",129,13,7,2,10,25,18,32
"S00169775",105,3,-,-,4,10,12,22
"S00169776",153,14,12,-,10,31,19,46
"S00169777",138,15,4,-,6,19,23,29
"S00169778",172,18,8,1,11,28,35,36
"S00169779",120,8,4,1,-,13,18,28
"S00169780",120,15,2,-,7,15,23,25
"S00169781",149,9,4,2,8,17,24,24
"S00169782",77,1,7,-,3,8,12,20
"S00169783",171,13,-,-,3,7,15,31
"S00169784",157,11,4,1,9,15,13,26
"S00169785",158,5,2,-,1,10,7,24
"S00169786",82,5,3,-,1,9,14,16
"S00169787",138,10,3,2,12,13,28,34
"S00169788",99,6,5,1,4,10,13,15
"S00169789",113,7,1,1,4,17,10,22
"S00169790",103,7,3,-,-,8,12,21
"S00169791",91,10,3,2,4,15,15,13
"S00169792",98,9,3,2,6,14,13,28
"S00169793",109,16,4,2,1,29,14,39
"S00169794",106,9,2,-,7,18,25,21
"S00169795",139,8,8,-,16,24,29,28
"S00169796",85,1,-,1,5,14,12,22
"S00169797",104,9,4,-,6,19,13,25
"S00169798",144,10,7,2,9,11,25,32
"S00169799",154,9,-,-,7,20,17,32
"S00169800",140,11,6,-,3,18,21,30
"S00169801",133,11,6,-,8,32,29,40
"S00169802",85,4,1,-,2,7,11,16
"S00169803",96,10,1,-,2,6,10,24
"S00169804",87,6,6,-,3,14,9,22
"S00169805",113,12,-,-,3,14,14,40
"S00169806",114,7,4,-,6,9,7,25
"S00169807",134,5,3,-,6,12,21,32
"S00169808",91,9,4,-,1,6,5,16
"S00169809",82,7,2,-,9,8,11,22
"S00169810",117,15,8,1,7,28,18,42
"S00169811",84,1,-,1,3,5,10,10
"S00169812",160,11,5,1,9,19,32,28
"S00169813",72,9,2,-,3,11,8,16
"S00169814",76,5,4,1,5,11,12,17
"S00169815",82,5,2,-,12,14,24,22
"S00169816",111,7,8,-,4,13,13,24
"S00169817",138,9,1,-,8,10,18,29
"S00169818",143,5,2,-,4,5,1,25
"S00169819",194,13,9,-,10,22,35,39
"S00169820",98,11,6,-,3,28,17,31
"S00169821",63,4,3,1,2,10,8,15
"S00169822",113,3,4,-,12,24,25,29
"S00169823",74,9,4,-,3,14,13,27
"S00169824",173,9,5,-,5,23,20,37
"S00169825",75,13,2,-,1,12,7,21
"S00169826",84,5,3,-,2,13,17,28
"S00169827",190,12,5,-,8,15,17,36
"S00169828",128,7,2,-,-,17,14,27
"S00169829",146,11,4,-,15,18,12,32
"S00169830",64,-,1,-,10,8,18,15
"S00169831",84,12,7,-,1,22,10,22
"S00169832",107,1,1,-,5,6,12,24
"S00169833",124,11,-,-,3,14,7,39
"S00169834",116,13,3,-,7,19,11,31
"S00169835",78,4,-,-,5,12,19,18
"S00169836",69,7,2,1,1,11,10,14
"S00169837",74,6,1,-,6,10,22,19
"S00169838",79,10,3,-,3,14,13,21
"S00169839",143,5,4,2,7,20,19,33
"S00169840",142,7,1,-,5,14,11,20
"S00169841",115,8,1,-,11,22,25,25
"S00169842",73,6,1,-,8,9,12,17
"S00169843",65,9,3,-,4,18,9,16
"S00169844",84,4,2,-,8,15,18,21
"S00169845",72,7,2,3,4,17,17,18
"S00169846",236,2,2,2,10,7,16,36
"S00169847",86,3,2,-,4,5,9,16
"S00169848",95,7,1,-,2,16,8,26
"S00169849",99,13,5,-,6,16,10,26
"S00169850",103,8,3,-,4,18,16,38
"S00169851",72,9,4,-,1,17,20,22
"S00169852",127,1,1,-,5,2,8,14
"S00169853",93,8,2,-,9,25,26,30
"S00169854",117,7,3,-,7,10,23,24
"S00169855",128,10,1,-,1,14,17,23
"S00169856",85,5,6,-,-,9,16,16
"S00169857",177,17,13,2,10,22,31,42
"S00169858",92,6,3,1,6,12,21,29
"S00169859",145,13,6,1,5,15,22,31
"S00169860",75,2,2,-,3,11,15,17
"S00169861",166,5,1,4,13,18,30,40
"S00169862",141,5,3,-,5,6,14,32
"S00169863",68,4,1,1,-,1,-,15
"S00169864",76,4,-,-,2,8,9,17
"S00169865",67,7,4,1,-,11,8,15
"S00169866",121,9,4,-,3,9,17,25
"S00169867",144,10,1,-,5,22,17,41
"S00169868",124,4,5,-,6,24,22,27
"S00169869",112,5,6,-,8,18,19,29
"S00169870",128,16,8,1,4,19,11,34
"S00169871",100,5,1,1,5,13,11,24
"S00169872",74,12,1,1,4,16,18,22
"S00169873",115,6,-,-,2,4,8,17
"S00169874",75,4,-,-,7,14,17,13
"S00169875",96,7,4,1,7,10,11,18
"S00169876",85,5,5,-,7,14,16,20
"S00169877",106,7,2,-,6,10,11,25
"S00169878",143,10,-,2,17,19,19,31
"S00169879",110,4,-,-,2,4,4,20
"S00169880",207,10,11,1,19,20,36,38
"S00169881",181,5,4,-,3,8,8,28
"S00169882",173,5,-,-,5,5,10,15
"S00169883",118,6,1,-,6,10,13,21
"S00169884",84,4,3,1,6,9,14,17
"S00169885",131,4,2,-,2,8,11,16
"S00169886",133,10,9,-,15,22,16,34
"S00169887",134,4,4,-,7,7,16,29
"S00169888",167,16,3,-,8,29,19,44
"S00169889",139,2,-,-,9,7,24,18
"S00169890",240,10,3,-,10,13,22,35
"S00169891",165,4,1,-,8,12,21,23
"S00169892",148,4,5,-,5,5,6,34
"S00169893",108,3,4,-,1,12,13,28
"S00169894",94,3,2,-,6,19,16,27
"S00169895",99,11,4,-,13,10,15,16
"S00169896",117,4,-,1,4,8,8,24
"S00169897",76,3,6,-,1,11,17,19
"S00169898",67,2,2,-,3,2,10,15
"S00169899",117,9,1,-,4,9,8,28
"S00169900",60,6,1,-,2,5,9,16
"S00169901",81,4,2,-,1,4,4,9
"S00169902",120,9,3,-,8,27,23,35
"S00169903",123,2,5,-,12,18,24,30
"S00169904",134,3,9,-,2,3,9,35
"S00169905",134,6,5,-,9,7,24,31
"S00169906",91,9,2,-,2,16,9,27
"S00169907",149,4,-,1,3,7,10,8
"S00169908",70,4,3,2,3,19,11,30
"S00169909",114,4,7,-,7,19,19,25
"S00169910",125,4,-,1,2,6,10,17
"S00169911",62,8,-,-,-,11,9,21
"S00169912",109,7,2,-,5,13,12,17
"S00169913",100,5,1,-,5,4,4,22
"S00169914",101,9,4,-,4,26,7,29
"S00169915",153,4,1,2,6,6,8,26
"S00169916",120,6,1,1,4,9,10,13
"S00169917",225,11,5,-,8,13,17,37
"S00169918",202,4,1,-,4,6,7,25
"S00169919",103,4,-,-,6,17,15,31
"S00169920",60,5,1,-,2,9,7,16
"S00169921",153,11,7,-,10,25,26,32
"S00169922",74,10,5,-,3,11,14,19
"S00169923",105,4,3,-,5,11,16,14
"S00169924",65,6,4,-,5,14,20,18
"S00169925",117,9,1,-,3,9,15,25
"S00169926",97,5,-,-,4,9,15,14
"S00169927",73,8,4,-,4,13,17,22
"S00169928",193,4,4,-,7,7,15,38
"S00169929",79,4,-,-,3,13,16,16
"S00169930",125,17,8,-,5,24,19,32
"S00169931",182,4,2,-,2,3,7,23
"S00169932",234,4,1,-,5,4,14,23
"S00169933",84,-,-,-,3,9,6,11
"S00169934",86,9,-,-,4,20,19,24
"S00169935",88,8,2,-,3,22,9,25
"S00169936",96,1,6,-,7,12,20,14
"S00169937",113,15,4,-,3,18,13,35
"S00169938",165,15,2,-,4,27,27,44
"S00169939",101,5,5,-,8,16,17,15
"S00169940",80,2,-,-,4,5,7,15
"S00169941",105,3,-,-,9,15,23,19
"S00169942",67,2,3,2,2,6,3,7
"S00169943",145,7,4,-,-,8,13,31
"S00169944",181,9,4,2,4,10,11,30
"S00169945",105,1,2,-,6,13,15,14
"S00169946",146,2,-,-,-,2,12,17
"S00169947",145,5,2,-,4,6,12,15
"S00169948",95,6,1,1,4,21,10,31
"S00169949",84,6,-,-,6,15,19,21
"S00169950",129,3,-,-,2,3,3,17
"S00169951",164,12,1,-,4,13,17,25
"S00169952",67,-,1,-,4,-,4,9
"S00169953",141,4,3,-,3,8,6,15
"S00169954",122,5,-,-,6,7,22,24
"S00169955",96,10,-,-,1,15,10,24
"S00169956",211,12,5,3,11,28,25,68
"S00169957",126,5,5,1,5,18,12,17
"S00169958",73,3,-,-,1,6,4,22
"S00169959",166,17,4,-,3,26,19,40
"S00169960",238,28,11,3,7,47,50,100
"S00169961",66,10,5,-,-,15,13,28
"S00169962",173,6,4,2,11,14,16,26
"S00169963",94,6,1,1,5,16,16,27
"S00169964",129,8,2,-,7,15,33,18
"S00169965",86,2,1,-,2,1,1,12
"S00169966",64,7,2,-,6,8,9,18
"S00169967",65,5,2,-,2,18,12,24
"S00169968",169,12,3,-,5,15,8,34
"S00169969",186,11,5,2,16,22,19,83
"S00169970",128,6,3,-,9,14,20,33
"S00169971",112,5,2,-,9,7,23,23
"S00169972",145,4,3,-,6,8,16,22
"S00169973",162,12,4,2,9,11,18,9
"S00169974",75,11,2,-,-,3,3,17
"S00169975",161,7,7,-,14,18,27,30
"S00169976",109,15,8,2,5,36,10,30
"S00169977",139,5,-,-,5,6,10,12
"S00169978",208,11,3,-,5,19,16,36
"S00169979",146,10,3,2,14,16,25,29
"S00169980",72,10,6,-,4,10,6,28
"S00169981",164,-,-,-,6,4,14,16
"S00169982",158,12,7,1,9,16,21,32
"S00169983",97,8,-,1,4,16,6,29
"S00169984",71,9,5,1,1,4,4,15
"S00169985",65,7,-,-,6,10,8,17
"S00169986",66,7,5,-,3,5,20,18
"S00169987",140,7,-,-,14,18,17,27
"S00169988",244,5,3,-,6,12,6,28
"S00169989",105,6,5,2,7,16,23,33
"S00169990",187,9,4,2,9,11,13,28
"S00169991",146,6,1,-,2,17,35,30
"S00169992",164,1,2,-,2,4,11,20
"S00169993",189,8,5,1,9,23,22,27
"S00169994",200,9,6,1,11,29,35,46
"S00169995",133,8,3,-,4,14,7,32
"S00169996",83,6,-,-,4,9,14,14
"S00169997",107,15,4,1,3,21,11,23
"S00169998",142,5,5,2,4,12,10,23
"S00169999",170,6,-,1,7,8,16,37
"S00170000",126,12,8,1,12,8,20,25
"S00170001",131,16,3,1,1,8,12,27
"S00170002",188,16,2,2,8,15,24,38
"S00170003",100,8,2,-,3,13,8,29
"S00170004",168,9,5,1,10,23,29,39
"S00170005",90,4,-,-,6,4,4,15
"S00170006",155,11,7,1,10,25,25,37
"S00170007",108,4,-,-,8,4,16,16
"S00170008",166,5,1,-,3,8,7,26
"S00170009",86,8,1,-,3,6,12,19
"S00170010",112,2,2,-,-,2,6,9
"S00170011",135,7,1,-,4,10,15,26
"S00170012",115,7,-,-,6,15,19,26
"S00170013",196,8,2,-,10,15,17,40
"S00170014",101,4,1,-,4,8,13,22
"S00170015",160,4,-,-,7,6,15,20
"S00170016",141,7,3,-,6,16,34,22
"S00170017",93,3,1,-,4,21,7,23
"S00170018",67,4,1,-,3,4,4,9
"S00170019",118,4,-,-,4,16,12,23
"S00170020",139,4,-,-,1,2,7,18
"S00170021",83,4,3,-,5,18,13,25
"S00170022",127,3,-,-,4,7,6,18
"S00170023",109,10,4,-,3,14,10,27
"S00170024",131,9,-,-,1,7,14,28
"S00170025",121,13,2,-,-,9,2,22
"S00170026",82,15,9,2,7,22,8,28
"S00170027",184,10,3,-,16,21,33,35
"S00170028",144,14,2,-,12,21,33,29
"S00170029",104,5,2,-,3,1,8,13
"S00170030",106,8,1,-,1,10,18,25
"S00170031",105,10,1,-,8,15,15,22
"S00170032",78,4,1,-,-,9,6,20
"S00170033",112,10,2,2,7,16,19,32
"S00170034",89,4,5,-,3,28,22,27
"S00170035",106,4,1,-,2,4,6,13
"S00170036",150,2,1,-,2,5,8,18
"S00170037",150,2,1,-,-,3,9,13
"S00170038",116,-,-,-,2,3,4,10
"S00170039",138,4,3,-,12,12,21,23
"S00170040",67,5,4,-,2,9,9,14
"S00170041",116,-,1,-,2,9,5,19
"S00170042",123,11,3,-,3,16,17,28
"S00170043",115,6,3,1,1,17,16,25
"S00170044",204,3,-,-,6,4,21,27
"S00170045",103,8,2,2,11,15,16,24
"S00170046",90,15,7,-,2,32,26,40
"S00170047",206,13,3,-,10,21,17,34
"S00170048",125,6,5,-,15,15,18,37
"S00170049",89,5,-,-,8,10,15,14
"S00170050",103,1,-,-,1,3,8,27
"S00170051",65,4,2,-,2,9,5,19
"S00170052",62,7,-,-,2,15,9,20
"S00170053",110,8,6,-,8,13,13,28
"S00170054",163,9,4,2,8,19,18,28
"S00170055",126,10,5,-,7,15,16,34
"S00170056",173,3,-,-,5,6,15,19
"S00170057",186,1,-,-,2,2,13,18
"S00170058",132,4,-,-,3,-,9,13
"S00170059",100,14,6,1,1,20,12,26
"S00170060",73,10,5,1,6,7,16,18
"S00170061",105,1,4,-,3,17,16,36
"S00170062",86,1,1,-,10,8,21,26
"S00170063",81,7,5,-,4,10,8,23
"S00170064",165,3,1,-,3,4,14,18
"S00170065",77,5,1,-,5,9,11,25
"S00170066",185,10,3,-,11,18,25,37
"S00170067",115,7,7,2,-,16,15,29
"S00170068",114,9,-,-,4,17,9,21
"S00170069",75,10,4,1,4,18,5,26
"S00170070",80,1,1,-,2,3,4,13
"S00170071",138,10,3,-,5,10,11,35
"S00170072",90,7,1,-,2,11,17,17
"S00170073",187,9,5,1,9,29,32,50
"S00170074",105,10,5,-,1,18,20,20
"S00170075",107,5,-,-,7,15,20,22
"S00170076",111,7,1,-,5,13,18,18
"S00170077",74,10,2,-,1,16,11,17
"S00170078",153,9,6,-,6,17,16,31
"S00170079",160,17,3,-,4,22,24,42
"S00170080",145,10,2,-,12,16,28,32
"S00170081",80,8,2,-,2,13,6,23
"S00170082",105,24,10,-,1,42,16,35
"S00170083",110,9,3,2,4,16,10,31
"S00170084",104,10,4,1,3,19,14,26
"S00170085",150,13,8,1,16,19,17,46
"S00170086",110,12,3,-,5,16,12,26
"S00170087",109,8,3,-,10,20,29,25
"S00170088",115,12,3,-,5,23,13,26
"S00170089",109,8,-,-,5,16,18,26
"S00170090",120,11,7,1,4,32,22,33
"S00170091",130,10,6,-,2,12,9,31
"S00170092",134,12,7,-,16,22,25,28
"S00170093",127,11,5,-,2,11,14,37
"S00170094",113,5,4,1,3,18,13,22
"S00170095",100,6,-,-,4,14,10,19
"S00170096",110,17,10,-,7,24,23,38
"S00170097",99,3,2,-,9,7,11,11
"S00170098",133,3,6,1,9,15,33,18
"S00170099",198,5,7,-,16,24,27,52
"S00170100",91,5,3,-,3,10,9,17
"S00170101",96,4,-,-,8,8,15,11
"S00170102",148,11,14,-,4,15,15,38
"S00170103",178,24,6,-,10,31,31,44
"S00170104",123,5,2,-,2,16,10,31
"S00170105",101,5,2,3,5,16,18,28
"S00170106",83,7,3,-,3,6,5,27
"S00170107",72,14,8,2,3,31,8,29
"S00170108",114,6,2,-,3,12,7,18
"S00170109",113,7,4,-,2,10,13,26
"S00170110",81,11,3,-,1,5,4,20
"S00170111",84,6,-,1,1,3,18,15
"S00170112",108,12,3,-,2,16,15,31
"S00170113",134,14,1,-,9,12,23,35
"S00170114",172,7,-,1,4,7,13,37
"S00170115",104,8,2,1,6,9,10,20
"S00170116",157,10,3,-,8,18,9,55
"S00170117",139,5,1,-,5,5,1,18
"S00170118",72,6,2,1,2,11,5,16
"S00170119",123,7,-,-,8,14,13,24
"S00170120",146,11,5,-,9,16,18,26
"S00170121",103,10,3,2,1,7,7,17
"S00170122",129,9,2,1,3,12,3,35
"S00170123",105,8,1,-,-,6,1,22
"S00170124",96,7,-,-,2,9,4,21
"S00170125",152,12,4,1,6,20,6,42
"S00170126",69,5,-,-,5,14,17,13
"S00170127",78,2,3,2,2,2,8,12
"S00170128",116,10,6,-,4,3,12,26
"S00170129",74,9,8,-,-,32,15,31
"S00170130",116,4,2,4,11,15,15,23
"S00170131",87,3,-,-,5,4,13,16
"S00170132",87,7,6,-,7,19,18,22
"S00170133",102,10,4,-,5,9,5,21
"S00170134",94,7,6,-,-,7,5,16
"S00170135",112,6,3,-,2,6,9,27
"S00170136",113,9,4,-,3,11,10,20
"S00170137",119,6,3,1,12,18,24,37
"S00170138",106,12,2,-,5,7,10,24
"S00170139",109,14,3,-,-,9,4,20
"S00170140",64,11,4,-,2,28,13,33
"S00170141",77,2,3,-,4,9,18,16
"S00170142",216,9,1,-,10,11,23,33
"S00170143",169,9,4,-,7,22,26,34
"S00170144",123,11,3,-,3,18,17,27
"S00170145",110,3,5,-,11,11,15,24
"S00170146",120,6,-,-,3,10,13,16
"S00170147",109,18,3,2,4,15,14,35
"S00170148",82,5,4,-,5,10,13,22
"S00170149",137,12,2,1,4,20,17,33
"S00170150",91,6,2,-,4,10,11,20
"S00170151",109,14,3,-,1,11,5,24
"S00170152",197,9,7,3,18,23,24,39
"S00170153",134,3,5,-,11,24,22,32
"S00170154",162,12,5,2,4,16,11,36
"S00170155",105,6,4,-,6,12,22,22
"S00170156",90,7,4,-,2,16,17,25
"S00170157",137,8,1,1,23,21,29,25
"S00170158",100,6,1,1,7,19,9,16
"S00170159",97,8,3,-,1,7,15,16
"S00170160",131,9,2,-,6,18,26,25
"S00170161",119,5,2,-,6,11,11,33
"S00170162",103,9,3,-,3,16,9,33
"S00170163",114,5,3,-,13,23,20,22
"S00170164",90,10,2,-,-,10,12,17
"S00170165",113,20,5,1,7,17,10,39
"S00170166",84,8,-,1,1,5,8,19
"S00170167",84,-,2,-,2,2,4,12
"S00170168",122,13,5,-,2,26,17,27
"S00170169",90,6,1,-,5,7,6,21
"S00170170",87,11,4,-,9,15,9,25
"S00170171",95,-,2,-,4,8,13,12
"S00170172",65,7,-,-,1,9,5,16
"S00170173",140,11,2,-,4,13,6,26
"S00170174",98,10,1,1,7,13,13,25
"S00170175",76,13,4,-,1,15,7,25
"S00170176",88,6,2,-,3,17,15,26
"S00170177",86,9,4,-,5,9,11,21
"S00170178",111,12,2,1,12,29,18,33
"S00170179",115,12,1,-,5,14,4,17
"S00170180",102,4,5,1,5,25,21,34
"S00170181",95,10,8,-,1,11,11,23
"S00170182",102,6,1,1,8,23,16,27
"S00170183",135,16,7,-,5,27,6,38
"S00170184",77,4,3,-,2,9,17,20
"S00170185",81,5,1,1,7,16,18,16
"S00170186",127,11,2,2,7,15,13,30
"S00170187",140,4,3,-,2,9,10,23
"S00170188",132,10,3,-,7,10,16,24
"S00170189",73,6,3,-,3,13,18,18
"S00170190",57,4,3,-,2,5,7,8
"S00170191",72,2,-,1,2,10,6,23
"S00170192",154,10,6,-,10,21,33,31
"S00170193",117,4,3,2,4,10,6,28
"S00170194",105,5,-,1,12,14,7,29
"S00170195",144,5,3,-,7,5,26,14
"S00170196",78,6,-,-,1,6,11,31
"S00170197",96,11,4,2,5,13,21,26
"S00170198",95,7,-,-,5,6,12,20
"S00170199",99,8,1,-,4,12,9,25
"S00170200",109,12,10,1,6,17,16,25
"S00170201",139,5,-,-,2,5,5,10
"S00170202",158,10,9,-,12,30,32,37
"S00170203",147,16,6,-,2,22,15,41
"S00170204",78,7,1,-,5,12,15,17
"S00170205",129,9,2,-,1,12,21,30
"S00170206",98,6,4,-,4,18,16,17
"S00170207",151,2,-,-,1,5,9,15
"S00170208",148,9,5,-,4,5,10,29
"S00170209",103,9,3,-,12,21,26,28
"S00170210",126,3,-,-,4,-,6,15
"S00170211",80,5,6,-,1,11,11,27
"S00170212",179,7,5,1,5,8,8,30
"S00170213",79,8,3,1,3,15,10,21
"S00170214",141,11,3,-,7,17,25,47
"S00170215",105,14,3,-,2,24,16,28
"S00170216",135,10,2,-,9,21,29,28
"S00170217",68,4,1,-,3,18,17,23
"S00170218",124,4,3,-,6,12,15,26
"S00170219",114,6,-,1,6,13,4,27
"S00170220",139,9,7,-,7,18,11,28
"S00170221",109,10,6,-,3,13,12,33
"S00170222",113,12,1,-,4,11,12,29
"S00170223",104,13,11,-,11,39,21,36
"S00170224",120,7,1,1,3,11,18,19
"S00170225",119,10,1,-,4,6,5,39
"S00170226",65,7,1,-,2,10,10,18
"S00170227",92,4,2,-,1,11,9,20
"S00170228",97,5,4,2,6,15,19,22
"S00170229",142,9,3,1,4,23,13,35
"S00170230",109,4,2,-,7,13,16,21
"S00170231",82,4,3,-,5,7,10,19
"S00170232",106,6,4,-,11,16,16,23
"S00170233",113,12,7,-,7,25,23,30
"S00170234",167,5,4,1,6,13,14,40
"S00170235",85,6,-,-,2,3,2,20
