Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00135858",64,5,1,-,5,5,7,13
"S00135859",75,11,-,-,6,15,19,16
"S00135860",139,6,4,1,14,10,23,26
"S00135861",101,18,9,-,4,13,6,25
"S00135862",84,6,2,-,4,10,5,25
"S00135863",95,2,4,-,4,10,6,19
"S00135864",90,8,3,-,4,6,14,19
"S00135865",94,5,2,-,4,6,10,19
"S00135866",106,4,-,-,-,5,9,5
"S00135867",104,7,3,-,12,7,17,27
"S00135868",118,4,4,-,4,5,12,17
"S00135869",77,4,2,-,2,5,4,16
"S00135870",74,3,2,-,6,3,11,14
"S00135871",185,3,1,-,11,9,23,20
"S00135872",92,19,10,1,9,31,11,41
"S00135873",119,6,4,2,6,11,7,26
"S00135874",118,2,1,-,3,3,10,11
"S00135875",131,5,2,1,9,9,13,19
"S00135876",107,9,3,2,4,15,8,24
"S00135877",160,10,5,-,13,18,24,37
"S00135878",156,4,2,-,4,4,12,16
"S00135879",86,9,-,1,3,10,12,18
"S00135880",190,3,5,1,11,14,28,12
"S00135881",118,10,4,-,11,12,15,27
"S00135882",107,8,-,-,4,8,14,18
"S00135883",75,7,3,1,2,11,6,12
"S00135884",71,4,2,-,4,15,8,20
"S00135885",80,6,6,1,18,11,21,23
"S00135886",86,5,6,-,2,7,5,19
"S00135887",65,6,1,-,6,8,16,21
"S00135888",106,4,1,-,5,9,17,17
"S00135889",75,2,6,2,4,1,5,13
"S00135890",91,10,-,-,4,8,8,18
"S00135891",82,-,2,-,5,7,9,9
"S00135892",116,7,-,1,4,1,5,19
"S00135893",110,6,-,-,5,3,14,18
"S00135894",114,11,-,-,3,13,12,31
"S00135895",164,5,3,1,10,14,28,25
"S00135896",148,18,11,-,18,22,27,32
"S00135897",147,3,1,4,7,18,24,33
"S00135898",115,10,2,-,8,12,16,21
"S00135899",94,3,1,-,5,6,13,16
"S00135900",123,1,-,-,7,12,21,20
"S00135901",109,9,5,-,9,9,19,26
"S00135902",89,5,-,-,4,14,14,21
"S00135903",117,-,3,-,9,9,25,15
"S00135904",77,6,2,1,1,7,3,10
"S00135905",78,5,1,-,10,12,18,30
"S00135906",64,4,1,-,5,6,8,14
"S00135907",97,4,2,-,7,4,16,13
"S00135908",109,3,2,-,4,10,6,32
"S00135909",70,7,-,-,5,12,10,14
"S00135910",74,10,2,2,17,10,13,18
"S00135911",121,-,-,-,8,9,16,25
"S00135912",120,3,1,-,2,2,7,12
"S00135913",127,-,-,-,3,3,15,13
"S00135914",121,3,-,-,7,5,11,10
"S00135915",131,10,1,-,8,7,16,19
"S00135916",103,2,-,-,4,3,9,14
