Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV602 - Economic activity of Household Reference Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Household Reference Persons aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Household Reference Persons aged 16 and over,Economically Active (full-time students) - Total,Economically Active (full-time students) - Employee - Total,Economically Active (full-time students) - Employee - Part-time,Economically Active (full-time students) - Employee - Full-time,Economically Active (full-time students) - Self-employed with employees - Total,Economically Active (full-time students) - Self-employed with employees - Part-time,Economically Active (full-time students) - Self-employed with employees - Full-time,Economically Active (full-time students) - Self-employed without employees - Total,Economically Active (full-time students) - Self-employed without employees - Part-time,Economically Active (full-time students) - Self-employed without employees - Full-time,Economically Active (full-time students) - Unemployed - Available for work,Economically Active Full-time student - Total,Economically Active Full-time student - Employee - Total,Economically Active Full-time student - Employee - Part-time,Economically Active full-time student - Employee - Full-time,Economically Active Full-time student - Self-employed with employees - Total,Economically Active Full-time student - Self-employed with employees - Part-time,Economically Active Full-time student - Self-employed with employees - Full-time,Economically Active Full-time student - Self-employed without employees - Total,Economically Active Full-time student - Self-employed without employees - Part-time,Economically Active Full-time student - Self-employed without employees - Full-time,Economically Active Full-time student - Unemployed - Available for work,Economically inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00135451,41,19,15,2,12,1,1,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,22,21,-,1,-,-
S00135452,44,24,21,4,19,-,-,-,-,-,-,2,1,1,1,-,-,-,-,-,-,-,-,16,12,-,-,8,1
S00135453,60,47,39,2,41,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,13,8,-,2,3,-
S00135454,68,57,54,2,53,-,-,-,3,1,2,-,1,1,-,1,-,-,-,-,-,-,-,6,6,-,-,-,-
S00135455,60,42,35,6,31,1,-,1,6,2,4,-,1,1,-,1,-,-,-,-,-,-,-,17,17,-,-,-,-
S00135456,41,32,30,4,26,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-
S00135457,36,18,16,3,14,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,-
S00135458,28,26,25,3,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-
S00135459,73,31,23,3,17,2,-,2,5,1,4,2,-,-,-,-,-,-,-,-,-,-,-,42,36,-,1,2,3
S00135460,55,25,22,4,17,-,-,-,3,-,3,-,2,2,1,1,-,-,-,-,-,-,-,28,27,-,1,-,-
S00135461,51,30,28,3,27,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,21,20,-,-,-,-
S00135462,64,39,38,6,33,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,26,19,1,1,-,1
S00135463,74,47,41,8,33,-,-,-,3,3,3,-,1,1,1,-,-,-,-,-,-,-,-,26,23,-,1,-,-
S00135464,56,35,35,2,35,2,-,2,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,17,13,-,2,1,-
S00135465,61,30,28,5,23,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,31,28,-,-,3,-
S00135466,45,31,25,3,22,2,-,2,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,16,16,-,-,-,-
S00135467,42,29,26,9,16,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,9,13,-,-,2,-
S00135468,49,47,45,5,40,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-
S00135469,59,27,25,5,18,-,-,-,3,1,2,1,-,-,-,-,-,-,-,-,-,-,-,32,31,-,-,-,1
S00135470,50,39,32,6,26,2,-,2,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,11,11,-,-,-,-
S00135471,69,45,43,1,41,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,24,21,1,-,3,-
S00135472,65,37,32,4,28,-,-,-,7,-,4,-,-,-,-,-,-,-,-,-,-,-,-,27,25,-,-,2,-
S00135473,53,36,29,3,25,2,-,2,6,1,5,-,1,1,1,-,-,-,-,-,-,-,-,16,15,-,-,-,-
S00135474,53,41,40,4,38,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,-,-,2
S00135475,40,28,25,2,23,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,12,11,1,-,-,-
S00135476,49,27,24,2,22,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,-,-,1,-
S00135477,50,41,33,-,33,3,2,2,5,1,4,-,2,2,2,-,-,-,-,-,-,-,-,8,4,-,-,1,1
S00135478,72,15,11,2,11,1,-,1,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,57,48,1,-,7,1
S00135479,49,35,30,3,30,1,-,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,15,15,-,-,-,-
S00135480,70,48,43,3,40,2,-,2,6,-,6,-,1,-,-,-,-,-,-,-,-,-,1,20,17,-,1,-,-
S00135481,59,26,20,-,15,1,-,1,5,-,3,-,1,1,1,-,-,-,-,-,-,-,-,31,31,-,-,-,-
S00135482,41,18,13,3,10,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,23,19,-,-,4,-
S00135483,57,29,27,5,20,-,-,-,4,-,4,-,1,1,1,-,-,-,-,-,-,-,-,27,27,-,-,-,-
S00135484,35,17,14,1,15,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,18,17,-,1,-,-
S00135485,78,48,42,7,35,1,-,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,30,29,-,1,-,-
S00135486,44,31,26,2,24,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,13,12,-,-,-,-
S00135487,71,39,28,4,28,3,1,2,7,1,6,-,1,-,-,-,-,-,-,1,1,-,-,28,27,-,-,-,1
S00135488,48,34,31,4,29,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,15,13,-,2,1,-
S00135489,81,58,54,10,43,-,-,-,-,-,-,1,3,3,3,-,-,-,-,-,-,-,-,14,2,2,3,6,3
S00135490,59,34,31,2,29,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,23,23,-,-,-,-
S00135491,72,63,57,11,49,1,-,1,3,2,2,2,4,-,-,-,-,-,-,-,-,-,4,6,5,2,-,-,-
S00135492,61,36,30,11,22,-,-,-,5,2,3,1,-,-,-,-,-,-,-,-,-,-,-,25,22,-,1,2,-
S00135493,79,67,61,10,51,-,-,-,5,-,5,1,4,3,3,-,-,-,-,-,-,-,1,10,5,-,1,-,1
S00135494,38,24,23,5,18,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,16,2,1,-,-
S00135495,43,30,26,2,24,2,-,2,5,3,4,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-
S00135496,41,20,17,2,15,1,-,1,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,20,20,-,-,-,-
S00135497,85,56,44,6,38,-,-,-,5,1,6,-,-,-,-,-,-,-,-,-,-,-,-,32,31,-,2,-,-
S00135498,76,72,66,3,63,-,-,-,7,2,5,2,1,1,1,-,-,-,-,-,-,-,-,6,3,1,-,-,2
S00135499,52,29,22,2,20,3,-,3,3,-,3,1,-,-,-,-,-,-,-,-,-,-,-,21,21,-,-,-,-
S00135500,41,37,39,1,36,-,-,-,1,-,1,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-
S00135501,66,40,29,10,20,2,-,2,8,3,6,1,-,-,-,-,-,-,-,-,-,-,-,29,29,-,-,-,-
S00135502,82,66,60,4,56,-,-,-,5,-,5,1,4,4,-,3,-,-,-,-,-,-,-,12,2,6,-,-,2
S00135503,47,21,18,1,17,-,-,-,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,26,29,-,-,-,1
S00135504,76,32,32,11,17,-,-,-,3,-,3,2,-,-,-,-,-,-,-,-,-,-,-,44,43,-,1,-,-
S00135505,69,54,53,3,46,4,1,2,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,11,12,-,-,-,1
S00135506,43,37,34,6,28,1,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,-,-,-
S00135507,62,50,38,5,33,3,-,3,7,2,6,1,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-
S00135508,41,25,25,5,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,12,-,1,2,2
S00135509,58,39,31,6,27,1,1,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,19,18,-,-,-,1
S00135510,65,45,41,4,36,-,-,-,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,20,18,-,2,-,1
S00135511,81,60,52,4,51,2,-,2,4,-,4,2,-,-,-,-,-,-,-,-,-,-,-,21,17,-,2,2,2
S00135512,57,36,36,6,31,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,19,19,-,-,-,-
S00135513,59,29,27,6,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,26,-,2,7,1
S00135514,59,29,26,2,22,-,-,-,2,1,1,1,3,3,3,-,-,-,-,-,-,-,-,25,19,-,2,3,3
S00135515,82,38,30,9,23,-,-,-,7,-,5,-,-,-,-,-,-,-,-,-,-,-,-,45,44,-,-,1,-
S00135516,64,56,56,7,45,-,-,-,5,1,-,1,2,2,2,-,-,-,-,-,-,-,-,6,2,-,2,3,1
S00135517,65,55,46,6,39,1,-,1,6,-,6,3,-,-,-,-,-,-,-,-,-,-,-,12,6,-,-,2,-
S00135518,40,22,19,1,18,2,-,2,-,-,-,3,4,-,-,-,-,-,-,-,-,-,2,17,16,-,2,-,-
S00135519,54,37,29,2,27,4,-,4,7,2,5,1,-,-,-,-,-,-,-,-,-,-,-,14,14,-,-,-,-
S00135520,70,53,47,8,39,2,-,2,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,17,13,-,1,-,3
S00135521,74,52,47,2,45,1,-,1,4,-,4,-,2,-,-,-,-,-,-,-,-,-,2,20,5,5,-,4,4
S00135522,53,35,32,1,29,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,18,17,-,-,-,-
S00135523,42,12,10,-,10,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,30,27,-,-,2,-
S00135524,72,53,42,4,38,2,1,1,9,4,7,-,1,-,-,-,-,-,-,1,-,1,-,18,16,-,-,-,1
S00135525,45,45,40,2,41,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00135526,61,36,32,8,24,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,27,23,1,-,1,2
S00135527,40,21,15,2,13,1,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,21,17,-,1,3,-
S00135528,94,39,36,3,32,1,-,1,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,54,45,1,4,4,2
S00135529,78,46,41,10,31,-,-,-,3,4,1,-,-,-,-,-,-,-,-,-,-,-,-,32,29,-,1,1,1
S00135530,40,25,20,3,17,-,-,-,3,-,3,2,-,-,-,-,-,-,-,-,-,-,-,15,15,-,-,-,-
S00135531,55,34,22,5,17,4,-,4,4,1,3,2,1,1,1,-,-,-,-,-,-,-,-,22,20,1,-,1,-
S00135532,41,33,27,2,25,3,-,3,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,1,2,-
S00135533,75,58,50,12,39,1,-,1,5,-,5,2,-,-,-,-,-,-,-,-,-,-,-,17,15,2,1,3,-
S00135534,49,39,37,5,32,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,9,7,-,1,1,1
S00135535,52,44,36,3,33,1,-,1,4,1,2,2,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-
S00135536,68,58,55,1,54,-,-,-,2,-,2,1,1,1,1,-,-,-,-,-,-,-,-,12,1,-,2,3,1
S00135537,71,40,37,4,33,3,2,1,3,1,1,-,1,1,-,1,-,-,-,-,-,-,-,28,27,-,-,-,1
S00135538,46,23,18,5,13,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,-,-,-,-
S00135539,54,25,21,3,17,-,-,-,1,1,4,1,3,3,3,-,-,-,-,-,-,-,-,26,19,-,3,1,-
S00135540,65,36,32,3,29,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,29,29,-,-,-,-
S00135541,43,20,19,3,17,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,23,21,-,1,-,1
S00135542,76,68,64,6,58,-,-,-,4,-,4,-,1,1,1,-,-,-,-,-,-,-,-,2,1,-,5,-,1
S00135543,73,69,64,2,62,-,-,-,5,1,2,2,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-
S00135544,57,24,21,4,17,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,31,22,-,3,1,3
S00135545,79,44,39,-,38,1,-,1,2,3,1,-,4,1,1,-,-,-,-,2,-,2,-,33,28,2,-,2,4
S00135546,53,25,26,5,18,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,28,20,-,1,7,-
S00135547,74,58,42,4,43,-,-,-,7,1,6,1,-,-,-,-,-,-,-,-,-,-,-,20,19,-,4,-,1
S00135548,51,26,23,2,21,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,22,17,-,1,2,4
S00135549,39,25,20,1,19,-,-,-,5,-,5,3,-,-,-,-,-,-,-,-,-,-,-,14,10,-,-,1,-
S00135550,70,36,28,6,22,-,-,-,4,3,1,4,1,1,-,1,-,-,-,-,-,-,-,36,18,2,4,6,3
S00135551,56,41,36,1,35,-,-,-,4,-,4,-,1,-,-,-,1,-,1,-,-,-,-,14,12,-,1,1,-
S00135552,73,64,60,8,52,-,-,-,1,1,-,3,1,1,1,-,-,-,-,-,-,-,-,8,4,1,1,1,1
S00135553,82,50,43,8,35,4,-,4,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,34,32,-,1,-,-
S00135554,41,21,19,5,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,19,-,-,-,1
S00135555,72,43,42,2,34,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,29,27,-,-,-,1
S00135556,73,56,53,4,49,-,-,-,1,-,1,-,2,2,-,1,-,-,-,-,-,-,-,16,7,-,-,3,1
S00135557,43,24,21,5,20,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,19,16,-,1,2,-
S00135558,63,43,38,9,29,-,-,-,1,1,2,1,1,1,1,-,-,-,-,-,-,-,-,18,15,-,1,-,2
S00135559,63,45,38,10,32,-,-,-,3,-,3,1,2,2,-,2,-,-,-,-,-,-,-,16,11,1,2,1,1
S00135560,63,43,35,3,32,-,-,-,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,20,20,-,-,-,-
S00135561,48,28,21,5,17,-,-,-,4,-,4,-,4,4,4,-,-,-,-,-,-,-,-,17,12,2,-,4,1
S00135562,45,33,31,1,28,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,12,9,-,1,1,1
S00135563,36,24,19,6,15,-,-,-,-,1,1,3,-,-,-,-,-,-,-,-,-,-,-,12,2,-,3,3,4
S00135564,52,24,24,6,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,29,-,-,-,-
S00135565,33,17,14,2,13,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,19,19,-,-,-,-
S00135566,50,28,24,6,18,1,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,18,-,-,1,3
S00135567,57,35,31,8,23,-,-,-,5,2,1,-,1,1,-,1,-,-,-,-,-,-,-,21,17,-,-,5,2
S00135568,79,51,47,9,38,-,-,-,3,-,3,1,-,-,-,-,-,-,-,-,-,-,-,29,27,-,1,-,1
S00135569,56,29,22,3,17,-,-,-,4,-,4,1,2,2,1,2,-,-,-,-,-,-,-,24,16,1,1,9,1
S00135570,55,28,22,2,20,-,-,-,5,3,2,1,1,-,-,-,-,-,-,1,-,1,-,27,25,-,-,1,-
S00135571,58,40,34,4,30,-,-,-,7,2,4,-,2,1,1,-,-,-,-,1,-,1,-,16,10,-,-,9,-
S00135572,51,29,25,2,22,-,-,-,1,1,3,-,-,-,-,-,-,-,-,-,-,-,-,22,19,-,-,-,2
S00135573,45,29,22,5,18,1,1,-,6,2,6,-,-,-,-,-,-,-,-,-,-,-,-,16,12,-,-,3,-
S00135574,44,23,15,7,8,1,-,1,3,1,2,-,1,1,1,-,-,-,-,-,-,-,-,17,14,-,1,1,2
S00135575,77,43,33,4,30,-,-,-,10,2,8,-,-,-,-,-,-,-,-,-,-,-,-,33,26,-,-,5,1
S00135576,72,39,39,8,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,21,-,5,2,3
S00135577,66,58,56,4,52,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,8,2,-,1,1,2
S00135578,61,38,34,4,32,1,-,1,3,-,4,-,-,-,-,-,-,-,-,-,-,-,-,23,18,-,3,1,1
S00135579,48,29,25,6,20,1,-,1,3,-,3,1,-,-,-,-,-,-,-,-,-,-,-,16,14,-,-,1,-
S00135580,77,49,50,9,39,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,29,22,-,-,7,-
S00135581,56,32,28,6,22,1,-,1,3,-,3,-,1,-,-,-,-,-,-,-,-,-,1,23,20,1,4,-,-
S00135582,53,42,35,4,30,-,-,-,5,1,4,2,2,2,2,-,-,-,-,-,-,-,1,9,7,2,-,-,-
S00135583,82,55,42,-,46,-,-,-,6,1,5,4,1,1,1,-,-,-,-,-,-,-,-,22,3,1,4,11,3
S00135584,67,42,33,4,29,-,-,-,8,4,4,1,-,-,-,-,-,-,-,-,-,-,-,25,8,2,11,5,2
S00135585,46,40,33,3,29,-,-,-,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,2,-,-
S00135586,55,29,27,-,25,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,26,25,2,-,-,-
S00135587,57,44,39,1,38,2,-,2,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,12,5,-,1,4,3
S00135588,50,32,30,5,22,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,18,12,-,1,1,-
S00135589,40,29,24,-,24,-,-,-,5,1,5,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-
S00135590,34,32,29,4,27,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,2,-
S00135591,30,26,20,4,16,1,-,1,2,-,2,5,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-
S00135592,43,41,36,1,35,-,-,-,6,1,4,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
S00135593,36,27,24,6,18,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,9,8,1,-,-,-
S00135594,44,32,29,6,23,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-
S00135595,75,38,29,11,21,2,2,-,5,-,4,-,1,1,1,-,-,-,-,-,-,-,-,35,17,-,8,5,-
S00135596,80,72,66,4,62,1,-,1,2,-,2,4,-,-,-,-,-,-,-,-,-,-,-,5,4,-,1,-,-
S00135597,73,28,25,5,21,-,-,-,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,44,36,-,-,5,2
S00135598,41,23,21,4,17,1,-,1,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,15,16,1,-,-,-
S00135599,67,60,54,5,49,-,-,-,5,-,5,5,-,-,-,-,-,-,-,-,-,-,-,6,4,-,-,-,2
S00135600,47,10,8,-,8,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,37,33,-,-,4,2
S00135601,50,46,39,2,37,2,-,2,4,2,-,2,1,1,1,-,-,-,-,-,-,-,-,4,-,1,-,1,1
S00135602,67,41,36,9,28,-,-,-,3,-,3,2,8,4,1,3,-,-,-,-,-,-,1,18,10,4,-,-,2
S00135603,32,20,19,-,19,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-
S00135604,63,59,52,2,50,-,-,-,6,2,4,1,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,2
S00135605,40,34,30,1,27,1,1,-,1,-,1,2,1,1,1,-,-,-,-,-,-,-,-,4,1,-,-,1,1
S00135606,62,50,41,3,38,-,-,-,7,1,9,-,1,1,-,1,-,-,-,-,-,-,-,11,8,1,2,-,1
S00135607,72,44,33,5,28,-,-,-,10,3,7,-,10,10,10,-,-,-,-,-,-,-,-,15,12,1,-,1,1
S00135608,39,29,26,1,23,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,9,9,-,-,1,-
S00135609,53,28,24,2,30,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,-,1,-,-
S00135610,85,35,30,1,29,2,-,2,4,-,4,-,2,-,-,-,-,-,-,-,-,-,1,48,40,-,-,6,2
S00135611,49,24,19,4,15,1,-,1,-,-,-,3,2,2,2,-,-,-,-,-,-,-,-,25,10,1,3,7,4
S00135612,76,69,57,2,55,-,-,-,9,2,10,-,4,1,-,1,-,-,-,1,-,1,-,2,2,1,-,4,1
S00135613,43,36,35,2,33,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,2
S00135614,45,31,26,1,25,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,17,13,-,-,4,2
S00135615,81,71,64,6,58,1,-,1,5,-,5,3,2,2,2,-,-,-,-,-,-,-,-,8,3,4,1,-,-
S00135616,43,40,34,4,30,1,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-
S00135617,45,25,26,3,23,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,17,14,2,-,-,2
S00135618,34,17,11,-,11,-,-,-,5,1,3,2,-,-,-,-,-,-,-,-,-,-,-,17,15,1,-,-,1
S00135619,43,27,21,-,21,-,-,-,2,2,-,4,4,3,2,-,-,-,-,-,-,-,1,15,11,-,1,2,1
S00135620,54,39,34,8,25,-,-,-,5,4,3,-,3,1,1,-,1,1,-,-,-,-,-,13,3,3,5,2,2
S00135621,79,40,31,3,25,-,-,-,3,1,-,6,1,1,-,1,-,-,-,-,-,-,-,38,24,3,2,8,-
S00135622,59,51,43,1,42,1,-,1,2,1,4,2,4,4,4,-,-,-,-,-,-,-,-,5,1,2,-,-,1
S00135623,71,54,49,11,41,2,-,2,3,1,3,2,-,-,-,-,-,-,-,-,-,-,-,19,14,-,1,2,1
S00135624,42,31,28,6,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,-,-,2,-
S00135625,35,31,22,2,20,2,1,2,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,-,-,1
S00135626,36,22,21,-,21,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,2,2,-,5,1
S00135627,50,40,41,4,30,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,10,7,-,-,-,4
S00135628,82,48,43,5,38,-,-,-,3,2,1,2,-,-,-,-,-,-,-,-,-,-,-,34,25,-,-,3,6
S00135629,86,66,61,3,58,-,-,-,3,1,2,-,7,7,3,5,-,-,-,-,-,-,-,13,6,4,2,-,1
S00135630,48,29,28,6,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,15,-,2,-,2
S00135631,74,47,44,14,30,-,-,-,4,-,4,2,6,3,3,-,-,-,-,1,-,1,1,14,6,-,4,4,4
S00135632,85,41,37,12,27,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,40,28,-,2,7,3
S00135633,36,17,10,2,8,1,1,-,1,-,1,4,-,-,-,-,-,-,-,-,-,-,-,18,14,2,1,-,1
S00135634,60,51,48,2,45,-,-,-,3,4,1,-,2,2,1,1,-,-,-,-,-,-,-,7,4,-,-,-,3
S00135635,69,54,46,7,39,-,-,-,6,2,4,3,1,1,-,1,-,-,-,-,-,-,-,14,4,1,2,5,2
S00135636,49,31,24,4,20,2,-,2,2,1,4,-,-,-,-,-,-,-,-,-,-,-,-,18,17,-,-,1,-
S00135637,57,37,37,4,29,1,-,1,-,-,-,1,1,1,-,1,-,-,-,-,-,-,-,19,15,1,1,1,-
S00135638,45,20,16,6,10,2,2,-,3,2,2,-,4,4,4,-,-,-,-,-,-,-,-,21,17,2,-,2,-
S00135639,37,34,31,4,28,1,-,1,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,2,-,1,-,-,1
S00135640,72,37,33,6,27,2,-,2,1,-,1,1,1,1,1,-,-,-,-,-,-,-,-,34,27,-,1,5,1
S00135641,44,22,20,2,13,-,-,-,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,22,18,-,1,3,-
S00135642,76,54,51,3,47,-,-,-,1,-,1,2,3,1,1,-,-,-,-,2,2,-,1,21,3,3,4,6,2
S00135643,44,25,20,2,18,-,-,-,4,2,1,1,1,1,-,1,-,-,-,-,-,-,-,18,20,1,-,-,-
S00135644,41,21,20,2,21,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,20,20,-,-,-,-
S00135645,49,22,18,3,15,-,1,1,4,2,1,-,-,-,-,-,-,-,-,-,-,-,-,24,19,1,-,7,-
S00135646,47,17,18,2,14,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,30,25,-,-,3,-
S00135647,71,39,40,6,34,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,29,22,-,-,3,-
S00135648,58,49,39,8,32,-,-,-,6,2,4,4,1,1,1,-,-,-,-,-,-,-,-,8,-,1,-,6,1
S00135649,47,33,26,4,22,-,-,-,7,2,6,-,-,-,-,-,-,-,-,-,-,-,-,14,4,-,2,3,3
S00135650,52,27,22,3,19,-,-,-,5,-,5,-,2,1,1,-,-,-,-,2,-,2,-,23,14,1,3,6,-
S00135651,67,40,37,4,32,-,-,-,3,2,1,-,4,4,2,2,-,-,-,-,-,-,-,23,19,-,1,1,2
S00135652,51,29,26,3,23,2,-,2,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,22,13,-,3,3,1
S00135653,29,23,21,1,19,-,-,-,2,-,2,1,3,3,1,2,-,-,-,-,-,-,-,7,1,1,4,2,-
S00135654,43,37,32,4,28,-,-,-,5,1,3,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,1
S00135655,48,37,32,3,33,-,-,-,5,2,4,-,1,1,-,1,-,-,-,-,-,-,-,14,7,1,4,4,-
S00135656,61,41,36,6,30,-,-,-,4,2,2,1,-,1,1,-,-,-,-,-,-,-,1,18,5,2,-,12,-
S00135657,67,31,24,6,18,1,-,1,3,1,3,3,2,2,2,-,-,-,-,-,-,-,-,35,7,8,4,13,3
S00135658,39,33,26,6,20,-,-,-,4,1,1,3,1,1,-,1,-,-,-,-,-,-,-,6,5,1,-,1,2
S00135659,73,60,45,14,31,2,-,2,7,1,4,5,2,2,2,-,-,-,-,-,-,-,-,11,6,-,-,4,2
S00135660,66,49,39,10,29,-,-,-,6,1,4,4,-,-,-,-,-,-,-,-,-,-,-,17,4,2,3,6,3
