Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00176646",31,-,-,3,-,2,-,5,4,2,-,1,-,2,3,-,1,6,1,1,-,-
"S00176647",46,-,-,4,-,-,2,5,1,4,-,4,-,4,1,8,2,8,3,7,-,-
"S00176648",35,-,-,3,-,-,4,6,6,6,-,1,-,1,4,5,1,2,1,1,-,-
"S00176649",30,-,-,3,-,-,4,6,-,3,-,2,-,3,2,-,3,6,-,1,-,-
"S00176650",46,-,-,3,2,-,1,8,4,-,1,2,1,4,-,9,4,6,-,2,-,-
"S00176651",58,-,-,3,-,1,6,9,5,2,2,7,-,1,5,3,2,7,2,2,-,-
"S00176652",69,2,-,8,-,-,10,10,2,3,-,3,-,3,6,7,5,6,-,3,-,-
"S00176653",7,-,-,1,-,-,-,1,-,1,-,-,-,-,2,-,-,1,-,1,-,-
"S00176654",26,-,-,4,2,-,2,3,2,-,2,4,-,1,-,2,2,7,-,-,-,-
"S00176655",85,-,-,6,2,-,7,11,5,13,2,3,-,5,4,6,4,7,4,1,-,-
"S00176656",24,-,-,5,1,-,4,5,-,-,-,3,-,-,2,2,-,1,1,-,-,-
"S00176657",23,1,-,4,-,-,3,3,-,-,1,3,1,3,1,1,-,2,-,-,-,-
"S00176658",72,-,-,6,2,4,9,4,4,3,1,5,1,3,4,6,8,7,4,1,-,-
"S00176659",63,-,-,3,2,1,8,13,3,2,2,2,-,2,3,10,5,5,-,4,-,-
"S00176660",54,-,1,4,-,-,2,4,2,2,1,5,-,1,2,12,2,9,1,4,-,-
"S00176661",36,-,-,2,-,1,1,5,-,3,1,1,-,1,-,7,3,7,2,1,-,-
"S00176662",44,2,-,3,1,-,5,4,1,2,1,-,-,3,4,5,2,4,1,2,-,-
"S00176663",55,-,-,8,-,-,3,6,3,5,-,1,-,3,6,5,3,6,-,4,-,-
"S00176664",46,1,-,4,-,2,5,5,3,7,1,2,-,-,2,5,1,4,2,2,-,-
"S00176665",22,-,-,2,-,-,1,4,4,1,-,1,-,-,2,4,-,1,1,2,-,-
"S00176666",58,1,-,6,-,1,3,6,4,5,1,6,1,1,4,7,2,4,4,3,1,-
"S00176667",34,-,-,6,-,-,3,4,2,4,3,2,-,5,3,4,1,2,-,2,-,-
"S00176668",52,-,1,4,-,2,4,3,2,1,-,-,1,3,1,7,7,11,2,4,-,-
"S00176669",64,-,-,15,-,-,6,8,3,4,1,6,-,3,5,2,1,13,-,1,-,-
"S00176670",51,-,-,8,-,1,2,6,2,2,-,2,1,-,5,5,4,7,1,2,-,-
"S00176671",144,-,-,19,3,1,15,16,7,4,5,7,1,6,8,14,11,23,1,4,-,-
"S00176672",100,-,-,12,1,2,7,16,5,2,-,9,-,6,5,16,6,13,1,3,-,1
"S00176673",34,1,-,4,-,1,7,2,-,3,2,1,-,5,2,4,3,2,-,-,-,-
"S00176674",56,-,-,5,2,-,8,6,4,2,1,2,-,8,-,7,1,9,-,1,-,-
"S00176675",45,-,-,7,-,-,5,9,2,1,-,1,-,2,3,3,1,8,-,2,-,-
"S00176676",36,-,-,10,-,-,3,4,6,2,-,1,-,1,4,2,3,2,1,-,-,-
"S00176677",65,-,-,4,-,2,3,10,5,8,2,-,-,1,7,3,2,11,1,1,-,-
"S00176678",73,-,-,4,-,1,3,12,5,3,3,1,1,10,4,5,-,8,3,3,-,-
"S00176679",36,-,-,3,-,1,6,4,-,2,-,1,1,4,3,6,2,2,-,-,-,-
"S00176680",37,-,-,4,-,-,4,4,2,5,-,2,1,-,7,-,1,5,-,2,-,-
"S00176681",36,-,-,4,-,-,5,8,-,1,-,-,-,3,3,1,1,8,3,3,-,-
"S00176682",62,-,-,9,-,1,2,6,4,5,-,2,-,6,1,9,4,7,-,1,-,-
"S00176683",36,-,-,1,-,-,6,5,2,-,-,-,1,-,2,4,2,9,-,1,-,-
"S00176684",72,-,-,10,-,-,10,13,3,2,4,4,-,3,-,3,5,15,1,5,-,-
"S00176685",35,-,-,2,-,1,3,4,-,2,1,2,1,-,2,3,2,3,1,5,-,-
"S00176686",56,-,2,9,2,2,3,12,6,8,2,1,-,2,11,3,-,8,1,1,-,-
"S00176687",83,1,-,5,2,-,8,7,1,3,5,7,2,4,1,12,3,10,2,2,-,-
"S00176688",71,-,3,7,1,-,9,5,1,5,1,2,-,-,4,14,3,13,1,2,2,-
"S00176689",87,-,4,7,-,-,13,12,8,1,1,4,1,4,4,10,5,11,3,-,-,-
"S00176690",92,-,3,8,2,-,9,8,2,7,-,8,-,3,3,12,9,11,-,7,-,-
"S00176691",78,-,-,9,1,1,5,13,11,3,-,2,2,3,4,8,3,12,4,1,-,1
"S00176692",53,-,-,9,-,-,4,6,4,2,2,4,-,2,3,11,4,6,-,-,-,-
"S00176693",54,1,-,10,-,-,2,6,4,5,-,4,2,2,2,2,4,6,1,2,-,-
"S00176694",48,-,-,3,-,-,1,9,4,2,-,5,-,1,2,10,2,5,2,2,-,-
"S00176695",77,-,-,16,1,1,7,20,2,3,3,2,-,1,2,6,3,9,3,3,-,-
"S00176696",93,-,-,8,1,1,9,6,1,5,1,7,1,6,3,17,5,12,3,8,-,-
"S00176697",45,-,-,4,-,-,3,9,4,4,-,2,-,3,2,7,-,9,-,-,-,-
"S00176698",42,-,-,2,2,1,1,5,6,4,1,3,-,2,4,5,3,4,-,2,-,-
"S00176699",30,-,1,-,-,-,4,4,-,2,-,-,1,-,1,-,5,5,3,-,-,-
"S00176700",39,-,-,4,-,1,8,4,1,2,1,-,-,-,3,1,3,6,-,-,2,-
"S00176701",44,-,2,5,-,4,3,2,1,-,1,1,-,1,5,4,2,11,-,-,-,-
"S00176702",62,-,-,5,1,-,4,10,4,2,3,6,2,5,-,8,4,4,1,2,-,-
"S00176703",60,-,-,5,1,1,9,13,5,6,-,-,-,1,4,9,4,6,-,-,-,-
"S00176704",63,-,-,2,3,-,-,6,-,13,2,6,-,2,5,7,4,9,1,4,-,-
"S00176705",46,-,-,6,-,1,4,9,3,3,2,1,-,2,-,6,3,7,-,1,-,-
"S00176706",66,-,-,3,-,-,5,6,3,3,1,7,-,3,2,5,13,11,1,-,-,-
"S00176707",50,-,-,4,-,-,4,8,4,10,-,2,-,2,3,4,2,2,1,-,-,-
"S00176708",51,-,-,4,2,-,4,8,-,2,2,2,-,5,3,2,4,11,1,2,1,-
"S00176709",69,1,-,7,1,1,4,16,3,4,2,3,-,-,5,8,1,10,1,-,-,-
"S00176710",40,-,1,4,-,1,2,8,2,-,1,3,1,2,2,9,1,2,1,-,-,-
"S00176711",43,-,-,3,-,-,4,6,1,1,2,2,-,1,4,5,7,6,-,-,1,-
"S00176712",35,-,-,6,-,-,3,5,4,3,-,-,1,1,3,5,-,-,2,2,-,-
"S00176713",68,-,-,2,1,-,5,7,3,6,7,3,-,6,-,13,5,6,1,3,-,-
"S00176714",61,-,-,4,-,1,8,5,2,9,-,2,-,2,8,4,4,8,3,1,-,-
"S00176715",58,-,-,8,-,1,8,8,4,8,4,2,-,1,6,4,1,4,-,3,-,-
"S00176716",30,-,-,5,-,-,3,2,-,-,3,3,-,1,4,3,-,7,2,-,-,-
"S00176717",71,-,-,8,-,1,5,13,5,2,1,4,-,-,4,2,5,13,1,6,1,-
"S00176718",42,2,-,6,-,-,4,7,1,4,-,4,-,-,2,2,3,7,-,1,-,-
"S00176719",34,-,-,5,-,-,1,3,2,8,-,1,-,-,4,7,-,1,1,2,-,-
"S00176720",57,-,1,6,1,-,7,6,7,4,2,2,1,2,-,4,4,7,2,3,-,-
"S00176721",66,-,-,13,-,-,6,11,4,6,-,-,-,2,5,5,4,5,-,1,-,-
"S00176722",46,-,1,7,-,-,4,6,1,-,1,4,-,1,3,3,6,7,2,-,-,-
"S00176723",63,-,-,9,1,1,-,9,2,2,2,6,-,5,-,7,1,12,-,-,-,-
"S00176724",61,-,-,6,-,-,12,9,1,2,2,2,-,-,6,2,5,9,1,1,-,-
"S00176725",53,-,1,6,-,-,6,9,2,1,1,4,-,7,-,7,2,5,1,1,-,1
"S00176726",50,-,-,3,-,-,6,3,5,4,2,1,-,2,4,9,6,8,3,3,-,-
"S00176727",88,-,2,7,3,-,7,9,8,2,2,8,1,2,6,9,6,15,1,-,-,-
"S00176728",66,-,-,6,-,1,7,8,5,6,2,4,1,3,1,4,5,10,1,1,-,-
"S00176729",55,-,-,6,-,-,2,10,2,7,1,1,-,7,7,4,2,8,1,2,-,-
"S00176730",50,5,-,6,-,-,1,7,3,1,1,1,-,1,-,9,4,8,1,-,-,-
"S00176731",53,1,-,4,-,-,8,6,2,6,2,4,4,-,4,3,3,7,-,2,-,-
"S00176732",62,-,-,2,-,-,4,7,3,1,2,2,1,8,4,8,3,6,4,4,-,-
"S00176733",34,-,-,7,-,1,3,1,7,1,1,-,2,1,3,-,-,6,-,-,-,-
"S00176734",37,1,-,7,-,-,6,5,3,2,-,2,1,2,-,6,3,1,1,1,-,-
"S00176735",44,-,-,3,-,-,1,5,2,1,1,-,-,1,2,5,6,9,2,1,-,-
"S00176736",79,-,-,11,1,-,10,10,7,3,-,5,-,1,2,12,6,9,3,-,-,1
"S00176737",41,1,-,4,-,-,1,9,8,4,-,-,-,1,3,5,-,3,-,3,-,-
"S00176738",44,-,1,6,-,-,5,9,5,-,-,2,-,-,5,3,-,6,1,-,-,-
"S00176739",32,-,-,2,-,-,3,-,3,-,3,4,-,2,2,6,1,5,1,-,-,-
"S00176740",37,-,-,5,-,-,1,3,2,4,2,1,-,2,1,3,1,8,1,4,-,-
"S00176741",85,17,1,5,-,-,9,13,3,2,2,1,-,5,3,8,6,8,4,4,-,-
"S00176742",42,-,-,-,-,-,5,3,1,4,1,9,-,-,4,-,2,9,1,1,-,-
"S00176743",57,-,-,7,-,1,6,12,1,4,2,2,-,-,2,2,5,10,3,4,-,2
"S00176744",48,-,-,2,-,-,4,16,8,3,-,3,1,1,4,3,1,2,-,3,-,-
"S00176745",81,-,-,5,-,-,14,11,4,3,2,3,-,-,2,12,4,17,1,3,-,-
"S00176746",39,-,-,4,-,-,-,8,5,3,-,2,-,3,-,1,4,8,1,-,-,-
"S00176747",87,-,-,8,2,1,3,14,3,8,-,7,-,4,7,13,2,14,2,2,-,-
"S00176748",38,-,-,4,-,1,-,7,2,2,1,1,-,1,2,1,-,9,-,4,-,-
"S00176749",87,-,-,2,-,2,4,8,6,2,5,4,1,4,5,19,3,13,3,5,-,-
"S00176750",62,-,-,6,-,-,2,10,5,2,2,3,-,1,3,9,6,8,4,2,-,-
"S00176751",57,-,-,7,2,-,3,6,-,8,1,1,-,4,2,6,6,5,2,1,-,-
"S00176752",53,-,-,5,-,-,5,5,5,1,1,1,-,2,2,8,5,7,1,2,-,-
"S00176753",60,-,-,12,-,1,4,6,4,2,4,5,-,2,2,6,3,5,1,4,-,-
"S00176754",58,-,1,6,-,-,3,5,2,1,2,2,1,4,4,8,7,7,1,3,-,-
"S00176755",110,-,-,8,3,1,9,5,1,7,9,5,-,5,4,14,10,19,2,4,-,-
"S00176756",57,-,-,6,-,1,3,8,12,6,-,-,-,2,4,4,6,9,-,1,-,-
"S00176757",89,-,-,19,-,3,4,15,6,2,2,4,-,1,10,5,4,11,-,3,-,-
"S00176758",42,-,-,8,-,-,4,5,2,1,-,4,-,-,6,4,3,4,-,2,-,-
"S00176759",64,-,-,5,-,1,10,7,-,4,5,9,-,1,4,10,-,10,2,3,-,-
"S00176760",63,1,-,13,-,3,3,8,3,3,-,4,1,-,4,5,4,2,2,3,-,-
"S00176761",45,-,-,5,1,-,6,5,1,2,2,4,2,6,1,5,-,5,1,1,-,-
"S00176762",41,-,3,6,-,2,3,7,5,3,3,-,-,1,3,2,-,4,1,-,-,-
"S00176763",102,-,-,9,1,1,10,10,4,5,5,8,-,10,2,17,10,11,1,6,-,-
"S00176764",53,-,-,4,-,1,3,12,5,4,-,1,-,1,2,8,4,9,-,1,-,-
"S00176765",56,1,-,8,-,1,5,9,6,1,-,-,1,2,4,8,-,8,2,5,-,-
"S00176766",60,-,-,11,-,1,7,8,7,7,1,1,-,1,4,1,-,6,2,3,1,-
"S00176767",66,-,-,7,1,3,5,6,1,1,-,5,1,4,2,12,7,9,-,-,-,-
"S00176768",83,-,2,8,-,-,6,13,11,2,-,6,1,4,8,5,4,9,2,2,-,-
"S00176769",38,4,-,2,1,-,3,6,1,5,2,-,-,-,3,5,1,7,-,2,-,-
"S00176770",43,-,2,4,3,1,1,4,-,3,-,2,-,3,7,4,2,6,-,1,-,-
"S00176771",60,-,-,10,-,-,5,14,5,3,-,-,1,1,5,5,1,6,1,1,-,-
"S00176772",46,-,1,-,-,-,3,8,1,2,1,2,-,1,4,4,1,3,3,3,-,-
"S00176773",104,-,-,9,-,2,8,18,4,4,1,8,-,9,2,16,8,12,-,3,-,-
"S00176774",88,-,-,8,-,-,6,13,5,6,-,2,-,4,8,12,8,9,3,1,2,-
"S00176775",66,-,-,4,-,-,3,5,5,7,6,5,-,5,2,8,7,8,2,-,-,-
"S00176776",93,-,-,4,-,3,10,6,6,1,3,9,-,9,1,11,13,11,2,4,-,-
"S00176777",57,1,-,11,-,-,2,2,4,5,3,2,5,3,1,3,3,5,3,2,-,-
"S00176778",64,-,1,9,-,-,7,11,6,1,-,2,2,-,8,4,2,9,2,1,-,-
"S00176779",67,-,-,5,-,4,3,7,4,7,1,3,-,2,6,8,5,8,-,6,-,-
"S00176780",59,-,-,12,1,-,4,7,3,4,-,2,-,3,5,5,-,8,-,2,-,-
"S00176781",50,-,-,3,1,1,6,8,1,2,2,1,-,2,5,4,3,7,-,1,1,-
"S00176782",45,-,-,4,-,2,5,2,5,3,-,1,-,3,6,3,2,6,1,1,-,-
"S00176783",55,-,-,5,-,-,5,5,5,1,-,1,-,1,7,6,6,11,-,2,-,-
"S00176784",45,-,-,4,-,1,2,4,5,2,3,6,-,4,-,4,4,3,-,1,-,-
"S00176785",35,-,-,3,1,-,4,7,1,4,1,2,-,2,1,3,-,4,-,4,-,-
"S00176786",65,-,1,5,1,-,4,9,3,4,2,3,-,1,2,6,5,9,4,10,-,-
"S00176787",59,-,-,3,-,1,-,8,5,2,1,-,-,2,3,11,8,10,3,-,-,-
"S00176788",50,-,-,6,-,2,6,8,6,2,-,2,1,3,5,5,-,4,1,-,-,-
"S00176789",39,-,-,5,-,-,4,4,-,1,2,1,1,3,1,5,2,6,3,1,-,-
"S00176790",67,-,1,7,-,-,6,8,4,5,1,5,-,8,5,4,-,11,4,1,-,-
"S00176791",66,-,-,5,-,-,2,8,1,5,1,-,-,5,4,8,10,8,4,2,-,-
"S00176792",39,-,-,5,-,-,3,6,1,4,-,2,-,1,5,5,1,4,-,-,-,-
"S00176793",76,-,-,8,-,-,4,7,7,5,2,6,-,4,7,3,6,13,1,2,-,-
"S00176794",72,-,-,5,-,-,5,9,6,6,-,-,1,1,1,6,7,11,2,3,-,-
"S00176795",60,-,-,2,1,-,10,5,1,-,-,8,2,2,2,4,7,8,-,6,-,-
"S00176796",53,-,-,9,-,-,5,5,3,5,1,1,-,4,3,3,1,9,1,-,-,-
"S00176797",48,-,2,5,-,-,2,10,3,4,1,1,-,2,5,3,-,5,3,1,-,-
"S00176798",59,9,-,4,-,1,4,5,6,-,1,-,1,1,2,6,4,6,3,3,-,-
"S00176799",65,-,-,-,-,-,5,4,5,3,7,5,-,10,-,11,-,9,1,3,-,-
"S00176800",82,-,-,4,-,-,3,12,5,9,6,7,-,7,2,13,10,8,3,1,-,-
"S00176801",45,-,-,5,-,1,3,7,1,5,-,2,-,2,10,3,1,4,3,1,-,-
"S00176802",61,-,-,2,1,-,6,9,1,6,-,3,-,5,2,4,7,9,2,1,-,-
"S00176803",50,1,-,4,-,1,7,1,6,2,1,3,-,2,6,5,3,4,-,3,-,-
"S00176804",33,1,-,3,1,-,4,4,3,5,1,1,-,-,2,4,1,4,-,-,-,-
"S00176805",45,-,-,6,-,-,5,5,3,2,-,1,-,-,3,6,4,9,2,1,-,-
"S00176806",38,-,-,5,-,1,2,7,5,1,1,2,-,-,-,3,1,5,-,4,-,-
"S00176807",38,-,-,4,1,-,1,5,2,-,-,-,-,5,4,6,3,3,1,1,-,-
"S00176808",54,-,-,7,-,-,4,6,2,3,2,1,-,-,2,11,2,11,1,1,-,-
"S00176809",22,-,-,3,-,-,3,4,2,1,-,2,-,-,-,3,-,3,1,-,-,-
"S00176810",66,-,1,5,1,-,4,12,-,4,2,1,-,4,-,14,5,10,2,1,-,-
"S00176811",23,-,-,2,-,-,3,4,1,1,-,1,-,-,-,4,4,4,-,-,-,-
"S00176812",67,-,-,5,2,-,4,8,6,2,-,7,2,6,3,5,4,4,4,3,-,1
"S00176813",64,-,1,5,2,-,11,2,1,2,-,4,2,4,2,4,6,12,1,-,-,-
"S00176814",58,-,-,7,-,-,4,4,4,2,-,1,-,2,-,9,7,10,-,4,-,1
"S00176815",40,-,-,3,-,-,1,5,2,2,-,2,1,4,3,6,1,8,-,1,-,-
"S00176816",63,-,-,4,-,-,1,11,5,3,4,7,-,-,4,10,6,10,-,-,-,-
"S00176817",44,-,-,3,4,-,4,6,1,1,-,4,-,6,4,-,3,6,2,4,-,-
"S00176818",64,-,1,7,-,-,7,6,-,3,1,1,-,5,4,10,7,7,1,4,-,-
"S00176819",43,-,-,6,-,-,4,7,-,4,2,2,-,1,4,5,-,4,3,1,-,-
"S00176820",41,-,-,7,-,-,1,5,3,3,-,1,1,4,1,4,2,6,1,5,-,-
"S00176821",53,-,-,2,-,-,5,7,5,9,1,2,-,5,1,6,4,7,-,4,-,-
"S00176822",26,-,-,4,-,-,4,-,1,1,-,3,-,2,4,2,3,3,-,-,-,-
"S00176823",92,1,-,11,2,3,6,8,6,3,4,3,-,3,6,14,6,13,2,3,-,-
"S00176824",28,1,-,4,-,-,2,5,1,5,3,-,-,-,1,2,-,-,-,1,-,-
"S00176825",46,-,-,2,-,1,6,1,4,4,-,-,-,6,3,7,1,10,-,-,-,-
"S00176826",42,-,-,2,-,-,6,4,-,2,2,2,2,-,1,5,6,6,-,4,-,-
"S00176827",35,-,-,7,-,-,2,2,2,-,2,2,-,1,4,4,4,4,-,2,-,-
"S00176828",46,-,-,7,-,-,3,4,2,6,-,2,-,-,5,2,3,4,-,1,-,-
"S00176829",39,-,-,4,-,-,3,8,2,1,-,-,-,3,2,6,4,2,1,2,-,-
"S00176830",98,-,-,7,-,1,8,12,5,8,5,7,-,2,6,18,11,11,3,1,-,-
"S00176831",62,-,-,4,5,-,3,3,2,2,-,9,2,6,2,6,5,10,1,3,-,-
"S00176832",47,-,1,5,-,-,5,5,-,6,2,3,-,3,1,7,-,11,1,2,-,-
"S00176833",51,-,-,4,1,-,7,7,2,2,-,1,-,3,5,6,5,-,2,4,-,-
"S00176834",95,-,-,5,-,-,7,14,5,3,2,12,-,12,1,7,8,14,4,2,-,-
"S00176835",27,-,-,3,-,2,1,2,1,1,-,1,-,1,2,6,-,6,1,-,-,-
"S00176836",33,-,-,6,-,-,6,4,3,2,-,2,-,-,2,2,3,3,1,-,-,-
"S00176837",39,-,-,4,-,-,-,9,1,4,2,-,-,1,4,2,2,8,2,-,-,-
"S00176838",51,-,-,4,-,2,9,11,2,2,-,1,1,-,2,3,2,6,-,1,-,-
"S00176839",28,-,-,4,-,-,4,1,1,-,1,2,2,2,4,3,-,5,1,1,-,-
"S00176840",36,-,-,4,-,-,4,3,-,2,-,4,3,1,1,6,-,3,1,2,-,-
"S00176841",54,-,-,7,1,-,8,5,1,1,-,1,-,2,3,3,4,11,3,-,-,-
"S00176842",40,-,-,3,-,1,2,6,3,4,1,2,-,6,1,8,1,2,-,-,-,-
"S00176843",62,1,-,3,-,-,4,7,4,2,-,4,-,2,3,8,8,10,-,7,-,-
"S00176844",58,-,-,7,1,1,9,5,4,2,3,5,1,4,1,10,3,5,1,-,-,-
"S00176845",33,-,-,4,-,-,-,3,2,1,1,1,-,-,1,5,3,6,-,2,-,-
"S00176846",63,-,-,3,-,1,4,14,3,1,-,3,-,-,5,6,1,9,2,7,-,-
"S00176847",74,-,-,6,2,2,9,9,4,4,-,5,-,-,4,5,5,10,2,1,-,-
"S00176848",47,-,1,5,-,-,5,5,3,8,-,-,-,1,1,2,1,12,-,2,-,-
"S00176849",70,1,-,7,-,2,4,11,5,-,3,5,1,6,1,13,4,2,-,-,-,-
"S00176850",86,-,-,6,1,-,6,12,5,3,3,2,-,1,4,18,7,11,4,3,-,-
"S00176851",44,-,-,4,-,1,2,7,5,2,1,4,-,-,2,5,4,4,-,-,-,-
"S00176852",40,-,-,3,-,-,-,4,2,3,-,7,-,-,3,9,4,6,-,3,-,-
"S00176853",38,-,-,4,-,-,4,4,3,2,1,1,4,2,-,6,3,5,1,1,-,-
"S00176854",43,-,-,7,-,-,5,5,1,-,2,1,-,-,3,7,6,6,2,2,-,-
"S00176855",37,-,-,12,-,-,3,3,3,-,-,1,-,2,2,2,3,4,1,-,-,-
"S00176856",41,-,-,1,-,1,4,4,4,1,2,1,-,1,2,3,4,8,4,3,-,-
"S00176857",133,-,2,10,5,1,11,11,8,7,4,9,1,10,4,12,19,14,3,3,-,-
"S00176858",31,-,-,3,-,-,-,4,3,4,-,-,-,-,1,5,2,7,1,1,-,-
"S00176859",52,-,-,5,2,-,3,10,3,2,-,2,-,8,-,5,2,6,-,6,1,-
"S00176860",35,-,-,2,-,-,3,6,1,2,5,1,-,-,-,3,1,9,2,-,-,-
"S00176861",32,-,-,2,1,-,7,5,1,2,-,2,2,1,4,5,1,3,-,-,-,-
"S00176862",71,-,-,7,-,-,5,2,1,3,1,2,1,2,3,17,8,10,-,4,-,-
"S00176863",65,-,-,3,2,-,4,9,5,6,2,4,-,4,3,7,4,5,2,2,-,-
"S00176864",50,1,-,-,1,-,1,5,-,1,2,3,-,2,5,4,9,10,2,2,-,-
"S00176865",63,-,-,7,-,1,6,9,2,2,3,-,-,1,2,9,6,11,1,1,-,-
"S00176866",53,-,-,7,1,-,7,10,-,1,-,4,-,-,3,7,4,4,2,2,-,-
"S00176867",45,-,-,1,-,-,3,6,1,-,1,-,-,6,-,9,8,3,-,2,-,-
"S00176868",26,-,-,5,-,-,2,7,1,-,-,-,-,1,2,2,1,4,1,2,-,-
"S00176869",40,-,-,5,-,2,5,5,-,4,2,1,1,3,1,3,1,7,1,1,-,-
"S00176870",46,-,-,5,-,-,4,7,-,3,5,-,-,2,3,4,3,5,3,2,-,-
"S00176871",67,3,-,4,-,-,6,7,3,6,5,3,-,5,1,8,5,7,2,1,-,-
"S00176872",88,-,1,8,-,-,6,10,6,6,3,8,1,7,2,12,6,7,2,3,-,-
"S00176873",58,-,1,4,1,2,2,7,3,-,2,4,1,3,2,8,4,9,4,3,-,-
"S00176874",88,1,1,6,-,2,5,9,5,4,2,7,-,8,4,9,7,12,3,3,-,-
"S00176875",104,-,2,16,1,-,7,15,7,6,3,6,2,9,1,5,13,12,-,2,-,1
"S00176876",70,-,1,8,-,-,6,8,2,-,5,4,-,1,-,12,-,11,4,5,-,-
"S00176877",68,-,-,8,-,2,6,11,3,1,-,1,-,-,2,5,7,13,2,7,-,-
"S00176878",50,-,-,11,-,-,2,9,3,1,-,-,-,-,2,5,2,9,4,-,-,-
"S00176879",72,2,-,2,-,-,4,9,3,4,4,5,1,11,2,4,7,13,2,1,-,-
"S00176880",108,-,-,8,-,1,4,10,2,3,5,6,4,12,4,16,10,14,2,2,-,-
"S00176881",49,-,-,4,-,-,3,8,3,-,3,4,-,-,4,8,3,7,-,3,-,-
"S00176882",27,-,-,5,-,-,-,6,1,2,-,-,-,2,2,3,1,2,1,-,-,-
"S00176883",52,-,-,2,-,-,3,9,2,2,4,2,2,-,3,5,1,7,1,2,-,-
"S00176884",112,-,2,8,2,-,14,10,-,10,4,4,-,6,5,8,10,20,1,-,-,-
"S00176885",38,-,-,3,-,-,2,2,3,6,-,7,-,1,2,7,4,2,-,-,-,-
"S00176886",41,-,-,5,-,-,4,5,-,4,2,4,-,2,1,1,-,6,4,2,-,-
"S00176887",55,-,-,8,-,-,4,8,3,6,3,-,1,2,2,8,5,5,-,-,1,1
"S00176888",58,1,-,5,1,-,2,3,3,5,4,4,-,8,7,6,-,4,4,2,-,-
"S00176889",105,-,1,11,4,1,15,8,3,5,6,8,-,5,2,8,7,13,2,2,-,2
"S00176890",55,-,-,6,-,-,10,3,7,8,-,2,1,2,3,1,1,8,-,1,-,-
"S00176891",56,-,-,10,3,-,2,-,7,5,2,1,-,5,4,7,1,6,1,-,-,-
"S00176892",51,-,-,1,-,-,3,5,3,-,3,4,-,1,5,6,5,7,4,3,-,-
"S00176893",77,-,-,8,-,1,3,9,6,5,1,3,-,5,1,8,2,15,3,3,-,-
"S00176894",66,2,-,8,-,2,5,4,2,2,1,5,1,3,3,8,4,10,3,-,-,-
"S00176895",60,-,-,2,-,4,3,2,2,-,4,6,-,5,3,6,5,10,2,1,-,-
"S00176896",52,-,-,6,-,-,4,11,2,5,2,5,-,2,4,6,2,9,-,-,-,-
"S00176897",85,-,1,3,2,1,1,12,7,5,4,5,-,10,-,10,7,15,4,1,-,-
"S00176898",145,-,-,17,3,-,14,13,4,7,5,8,1,10,1,22,10,16,1,7,-,-
"S00176899",53,-,-,6,-,-,2,6,1,1,-,2,1,2,7,6,3,12,6,3,-,-
"S00176900",72,-,-,4,-,-,3,13,2,5,2,3,-,8,5,11,1,6,4,-,-,-
"S00176901",63,-,-,2,-,-,3,3,4,7,1,5,-,4,-,9,9,12,1,1,-,2
"S00176902",117,-,-,6,1,-,6,16,4,7,2,8,1,10,4,17,12,14,1,7,-,-
"S00176903",101,-,-,4,1,-,8,10,4,4,5,6,3,7,1,8,13,15,6,4,-,-
"S00176904",47,-,-,12,-,-,2,5,1,3,-,3,-,3,2,5,1,6,1,1,-,-
"S00176905",72,-,-,-,-,1,3,10,2,6,1,3,3,6,3,12,12,7,2,2,-,-
"S00176906",40,-,-,3,1,-,-,5,1,-,2,2,-,9,2,6,4,3,-,1,-,-
"S00176907",30,-,-,3,-,-,-,5,1,3,-,2,-,4,1,2,3,3,-,-,-,-
"S00176908",65,-,1,1,3,-,3,5,-,-,-,4,4,3,3,7,12,13,-,4,-,-
"S00176909",40,1,-,3,-,2,1,2,3,-,1,1,-,-,2,10,3,6,-,4,-,2
"S00176910",25,-,-,4,-,-,4,2,-,-,2,2,-,-,3,2,1,1,1,-,-,-
"S00176911",104,2,-,7,-,1,7,12,9,5,1,5,-,5,7,13,15,10,-,2,-,-
"S00176912",71,2,-,7,1,-,5,10,4,4,2,2,-,5,7,7,3,13,2,3,-,-
"S00176913",58,-,-,6,-,1,1,10,7,3,1,6,-,2,-,3,2,9,2,3,-,-
"S00176914",96,-,2,15,3,-,11,9,1,3,-,4,2,3,6,6,5,19,-,5,-,-
"S00176915",91,-,-,10,1,1,7,14,4,5,4,1,-,4,3,8,7,14,7,1,-,-
"S00176916",62,-,-,7,1,-,7,7,-,1,2,3,-,-,2,8,3,4,1,2,-,-
"S00176917",78,-,1,5,-,-,2,6,4,5,2,8,-,9,3,10,12,9,-,2,-,-
