Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00135405",83,-,9,2,-,-,8,6,2,5,2,5,-,5,8,9,8,12,-,4,-,-
"S00135406",100,-,16,8,-,-,9,10,11,3,-,-,-,7,-,7,18,5,1,1,-,-
"S00135407",74,-,11,1,-,1,4,5,7,2,-,6,1,2,4,-,16,9,2,5,-,-
"S00135408",73,-,2,6,1,1,8,10,4,4,1,-,2,3,6,8,2,13,1,3,-,-
"S00135409",25,-,1,7,-,-,-,-,1,-,-,-,-,1,2,2,7,2,-,-,-,-
"S00135410",74,-,8,7,-,-,4,14,7,1,1,1,-,5,4,5,6,10,2,-,-,1
"S00135411",119,-,7,8,-,-,8,12,11,3,4,-,-,6,11,7,17,18,2,4,-,-
"S00135412",44,-,7,3,2,-,1,4,1,4,1,1,-,-,1,4,3,5,1,9,-,-
"S00135413",59,1,11,4,-,1,-,5,1,1,2,2,2,7,3,4,4,6,-,4,-,-
"S00135414",47,-,1,6,1,-,-,7,1,-,-,2,2,3,3,7,1,6,-,-,-,-
"S00135415",59,-,5,5,-,-,2,5,-,4,-,-,-,2,5,4,6,9,2,2,-,-
"S00135416",100,-,14,10,2,-,3,6,-,5,1,1,1,9,10,11,9,9,5,6,-,-
"S00135417",77,-,8,8,-,-,2,5,8,3,-,-,1,6,5,6,6,13,1,5,-,-
"S00135418",97,1,26,13,-,2,4,4,4,6,2,-,2,7,3,3,4,5,5,6,-,-
"S00135419",53,-,3,8,-,-,4,2,6,3,-,-,1,5,7,1,5,5,4,-,-,-
"S00135420",70,-,4,2,-,1,6,9,4,7,1,-,1,5,2,1,9,6,4,6,-,-
"S00135421",69,-,5,4,4,-,8,10,3,2,2,2,-,7,3,5,1,12,3,4,-,-
"S00135422",66,-,6,8,1,-,4,7,8,3,-,1,-,4,4,3,5,7,5,1,-,-
"S00135423",93,-,18,8,-,2,2,10,3,4,3,-,4,6,6,3,10,7,2,6,-,-
"S00135424",55,-,3,3,-,2,5,9,2,7,-,-,2,2,6,3,2,7,3,-,-,-
"S00135425",58,-,2,9,3,-,2,3,8,3,-,-,-,6,6,1,6,11,-,1,-,-
"S00135426",79,1,6,8,-,-,7,11,2,2,-,4,1,7,7,6,10,11,1,2,-,-
"S00135427",37,-,-,3,-,-,3,4,1,-,2,-,1,4,3,6,3,10,-,3,-,-
"S00135428",34,-,1,1,-,-,5,1,3,-,1,3,-,4,1,6,-,4,-,1,-,-
"S00135429",30,-,1,5,-,-,-,3,-,1,1,-,-,3,2,1,4,6,1,-,-,-
"S00135430",59,2,5,4,-,-,3,3,3,7,-,4,1,3,1,4,10,5,-,2,-,-
"S00135431",51,-,4,3,-,-,3,6,2,4,2,3,-,4,-,4,6,8,-,4,-,-
"S00135432",43,-,5,3,4,-,1,3,2,2,-,-,-,4,4,2,4,8,-,4,-,-
"S00135433",58,-,7,5,-,-,2,7,1,6,1,-,-,6,-,5,5,9,2,1,-,-
"S00135434",38,-,5,4,-,-,2,8,4,-,-,1,-,-,5,1,3,4,-,-,-,-
"S00135435",31,-,4,3,-,1,2,2,2,-,2,1,1,-,1,3,2,2,1,3,-,-
"S00135436",51,-,11,1,-,-,2,1,1,3,2,2,1,5,5,5,8,6,-,1,-,-
"S00135437",72,-,17,7,1,-,5,6,4,1,-,2,1,3,1,5,6,6,3,4,-,-
"S00135438",43,-,4,6,-,1,3,4,4,3,1,-,-,4,4,3,4,2,2,-,-,-
"S00135439",38,-,4,4,-,-,3,2,3,1,1,-,-,2,1,4,7,3,-,-,2,-
"S00135440",51,-,9,1,-,-,2,7,3,-,2,2,1,1,1,7,5,7,2,3,-,-
"S00135441",65,-,7,3,1,-,7,8,4,-,-,3,-,4,4,8,8,6,1,-,-,-
"S00135442",5,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,5,-,-,-,-
"S00135443",61,1,1,4,-,-,4,9,6,1,2,2,-,3,8,4,7,4,-,3,-,-
"S00135444",62,1,15,5,2,-,2,4,4,-,1,-,-,7,2,3,10,5,-,-,-,-
"S00135445",67,-,7,6,-,-,4,10,3,3,-,1,-,5,5,4,6,10,1,1,-,-
"S00135446",51,-,9,6,1,-,3,4,1,-,-,1,-,4,-,5,2,7,1,1,-,-
"S00135447",82,-,13,11,-,-,3,8,4,5,4,-,-,8,3,6,6,7,1,4,-,-
"S00135448",97,-,22,6,1,-,2,3,2,3,5,1,-,8,4,6,11,13,2,4,-,-
"S00135449",19,-,3,1,-,-,1,1,2,-,-,-,-,-,1,1,3,5,-,1,-,-
"S00135450",25,-,2,-,-,-,1,3,4,3,5,-,-,-,-,5,2,3,-,2,-,-
"S00135451",28,-,4,3,-,-,-,2,3,1,-,-,-,-,-,-,2,5,1,-,-,-
