Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00172795",61,5,3,-,3,56,55,-,1,-
"S00172796",123,40,10,29,1,84,63,21,-,-
"S00172797",92,85,8,7,70,7,7,-,-,-
"S00172798",88,11,4,6,-,75,72,5,-,-
"S00172799",91,57,7,50,-,34,29,4,1,-
"S00172800",109,109,-,32,77,-,-,-,-,-
"S00172801",65,65,4,4,59,-,-,-,-,-
"S00172802",79,79,7,72,-,-,-,-,-,-
"S00172803",87,74,-,30,44,13,12,2,-,-
"S00172804",86,11,2,2,7,75,71,3,-,-
"S00172805",112,57,6,33,18,55,55,-,-,-
"S00172806",95,43,8,35,-,53,52,2,-,-
"S00172807",74,55,9,30,12,19,19,-,-,-
"S00172808",148,116,19,39,50,33,30,6,-,-
"S00172809",134,6,-,4,-,128,128,-,-,-
"S00172810",92,82,2,9,72,10,10,-,-,-
"S00172811",150,63,-,57,6,90,86,4,-,-
"S00172812",101,96,-,77,15,5,1,4,-,-
"S00172813",143,143,10,131,4,-,-,-,-,-
"S00172814",61,20,1,10,9,41,40,1,-,-
"S00172815",131,123,2,123,1,8,8,-,-,-
"S00172816",113,100,-,69,30,13,8,4,-,-
"S00172817",86,55,18,30,7,31,31,-,-,-
"S00172818",216,214,140,55,17,2,-,2,-,-
"S00172819",77,72,-,13,59,5,5,-,-,-
"S00172820",125,9,-,9,-,119,100,16,-,-
"S00172821",107,86,60,24,4,19,6,14,-,-
"S00172822",150,150,105,29,16,-,-,-,-,-
"S00172823",88,16,-,8,8,76,76,-,-,-
"S00172824",109,11,5,3,5,100,90,4,-,-
"S00172825",139,120,10,43,72,18,18,-,-,-
"S00172826",172,172,76,80,16,-,-,-,-,-
"S00172827",163,96,24,72,-,67,50,13,-,-
"S00172828",95,10,-,8,3,84,70,4,7,-
"S00172829",98,70,1,18,51,28,28,-,-,-
"S00172830",71,17,2,-,11,58,58,-,-,-
"S00172831",95,48,5,33,8,47,47,-,-,-
"S00172832",121,59,1,37,21,65,65,-,-,-
"S00172833",117,88,11,67,10,29,29,-,-,-
"S00172834",89,25,-,18,3,61,60,-,2,-
"S00172835",91,13,4,1,6,78,71,3,4,-
"S00172836",143,58,7,11,40,85,85,-,-,-
"S00172837",97,23,-,11,12,74,74,-,-,-
"S00172838",85,26,2,18,5,60,60,-,-,-
"S00172839",107,5,3,-,2,102,102,-,-,-
"S00172840",145,136,21,60,54,9,9,-,-,-
"S00172841",106,36,17,19,-,70,66,4,-,-
"S00172842",126,114,2,74,34,15,14,1,-,-
"S00172843",114,13,4,5,2,104,104,-,-,-
"S00172844",112,15,-,3,9,97,97,-,-,-
"S00172845",152,150,2,95,54,2,2,-,-,-
"S00172846",179,177,25,152,-,1,-,1,-,-
"S00172847",147,91,11,16,64,56,56,-,-,-
"S00172848",109,15,5,9,5,92,89,-,2,-
"S00172849",121,53,22,20,11,68,68,-,-,-
"S00172850",73,73,11,59,3,-,-,-,-,-
"S00172851",89,77,9,31,37,12,7,-,-,-
"S00172852",122,101,12,43,46,21,21,-,-,-
"S00172853",81,45,5,37,3,36,36,-,-,-
"S00172854",90,23,3,12,9,67,67,-,-,-
"S00172855",63,18,4,9,5,43,43,-,-,-
"S00172856",88,84,-,57,27,10,7,1,-,-
"S00172857",92,5,-,5,-,87,85,-,-,-
"S00172858",127,14,7,2,5,114,81,35,-,-
"S00172859",61,41,7,15,19,22,22,-,-,-
"S00172860",101,45,8,25,12,60,54,3,-,-
"S00172861",126,123,14,84,21,5,5,-,-,-
"S00172862",112,44,6,20,15,68,68,-,-,-
"S00172863",119,36,14,13,9,83,81,3,-,-
"S00172864",73,15,8,4,3,58,58,-,-,-
"S00172865",158,158,28,108,26,-,-,-,-,-
"S00172866",103,12,-,11,-,91,79,-,16,-
"S00172867",126,26,9,4,10,100,99,1,-,-
"S00172868",134,46,19,7,24,81,81,-,-,-
"S00172869",77,28,13,5,10,49,49,-,-,-
"S00172870",117,114,13,67,34,3,-,3,-,-
"S00172871",144,139,4,76,59,9,4,-,1,-
"S00172872",81,14,-,6,7,66,59,6,-,-
"S00172873",103,16,9,4,3,91,53,38,-,-
"S00172874",113,111,20,82,7,4,4,-,-,-
"S00172875",73,2,-,-,2,72,72,-,-,-
"S00172876",107,4,2,4,-,103,103,-,-,-
"S00172877",103,98,3,91,2,4,-,3,-,-
"S00172878",60,7,-,-,7,53,53,-,-,-
"S00172879",67,-,-,-,-,67,68,-,2,-
"S00172880",95,7,-,7,-,86,86,-,-,-
"S00172881",142,110,13,41,54,32,35,1,-,-
"S00172882",121,10,2,4,5,111,111,2,2,-
"S00172883",148,105,15,54,32,47,47,-,-,-
"S00172884",104,101,94,3,3,5,5,-,-,-
"S00172885",78,3,-,1,4,75,54,15,6,-
"S00172886",161,51,7,13,30,111,111,-,-,-
"S00172887",95,5,-,4,1,90,89,-,2,-
"S00172888",150,148,55,67,25,2,1,1,-,-
"S00172889",121,3,-,-,3,119,119,-,-,-
"S00172890",96,47,15,7,28,49,44,-,-,-
"S00172891",73,6,-,2,1,70,70,-,-,-
"S00172892",151,151,45,105,2,-,-,-,-,-
"S00172893",230,226,130,90,7,5,5,-,-,-
"S00172894",74,4,1,-,3,70,70,-,-,-
"S00172895",76,4,4,-,-,71,71,-,-,-
"S00172896",102,11,3,6,4,91,91,-,-,-
"S00172897",133,71,6,16,49,62,62,5,-,-
"S00172898",116,12,4,4,6,104,87,17,-,-
"S00172899",110,5,4,1,-,105,104,-,2,-
"S00172900",128,93,19,61,13,33,16,23,-,-
"S00172901",148,117,15,49,53,31,24,5,-,-
"S00172902",146,146,58,78,9,-,-,-,-,-
"S00172903",149,138,16,122,-,10,-,10,-,-
"S00172904",67,3,-,-,3,64,64,-,-,-
"S00172905",73,3,3,-,-,70,70,-,-,-
"S00172906",89,26,1,14,8,63,63,-,-,-
"S00172907",165,146,11,102,36,13,13,-,-,-
"S00172908",103,54,14,9,31,49,49,-,-,-
"S00172909",94,91,2,89,-,3,3,-,-,-
"S00172910",78,3,-,3,-,71,71,-,-,-
"S00172911",82,12,4,6,2,67,61,-,6,-
"S00172912",115,3,2,1,-,112,111,1,-,-
"S00172913",130,5,1,-,2,121,113,2,6,-
"S00172914",69,4,-,-,4,70,70,-,-,-
"S00172915",89,4,4,-,-,85,85,-,-,-
"S00172916",123,27,6,10,11,96,91,-,3,-
"S00172917",61,-,-,-,-,60,60,-,-,-
"S00172918",123,97,12,49,38,24,24,-,-,-
"S00172919",84,-,-,-,-,84,84,-,-,-
"S00172920",65,30,4,16,10,35,28,7,3,-
"S00172921",86,8,-,6,2,77,68,7,2,-
"S00172922",102,6,4,2,-,96,96,-,-,-
"S00172923",145,129,103,13,13,16,16,-,-,-
"S00172924",173,144,10,93,40,27,27,-,-,-
"S00172925",144,144,107,31,6,-,-,-,-,-
"S00172926",96,-,-,-,-,96,96,-,-,-
"S00172927",143,100,43,33,24,43,41,2,-,-
"S00172928",105,105,2,101,1,-,-,-,-,-
"S00172929",136,11,5,5,1,126,126,-,-,-
"S00172930",186,188,12,175,5,2,2,-,-,-
"S00172931",75,64,12,35,19,11,11,-,-,-
"S00172932",118,9,2,2,3,109,109,-,1,-
"S00172933",76,11,-,-,11,61,61,-,-,-
"S00172934",105,40,9,12,23,65,61,4,-,-
"S00172935",139,70,37,22,12,68,68,-,-,-
"S00172936",86,4,-,1,4,82,82,-,-,-
"S00172937",179,40,11,11,18,136,129,7,-,-
"S00172938",65,1,-,-,1,63,63,-,-,-
"S00172939",106,101,66,30,5,5,3,2,-,-
"S00172940",113,108,26,80,-,5,2,-,1,-
"S00172941",139,139,64,75,-,-,-,-,-,-
"S00172942",67,-,-,-,1,68,68,-,-,-
"S00172943",116,-,-,-,-,116,116,-,-,-
"S00172944",127,84,10,41,33,43,43,-,-,-
"S00172945",120,118,24,94,-,2,2,-,-,-
"S00172946",131,118,17,45,52,16,16,-,-,-
"S00172947",103,28,13,4,11,75,75,-,-,-
"S00172948",120,115,72,44,2,2,-,2,-,-
"S00172949",81,28,-,10,18,53,51,2,1,-
"S00172950",146,135,20,92,22,11,11,-,-,-
"S00172951",162,162,72,78,9,-,-,-,-,-
"S00172952",79,5,3,-,2,70,72,2,-,-
"S00172953",135,101,13,18,72,32,27,5,-,-
"S00172954",91,4,-,4,-,89,89,-,-,-
"S00172955",121,118,6,109,3,3,-,-,3,-
"S00172956",107,24,5,8,18,83,79,-,4,-
"S00172957",90,83,74,9,-,9,1,7,-,-
"S00172958",84,5,-,2,4,79,79,-,-,-
"S00172959",231,228,141,47,40,2,1,-,2,-
"S00172960",119,119,7,98,17,-,-,-,-,-
"S00172961",69,5,4,1,2,64,64,-,-,-
"S00172962",102,6,-,3,4,96,96,-,-,-
"S00172963",87,87,43,43,1,-,-,-,-,-
"S00172964",122,92,8,47,37,24,24,-,-,-
"S00172965",123,36,8,15,13,87,87,-,-,-
"S00172966",126,23,6,13,2,103,101,-,-,-
"S00172967",68,21,-,10,11,50,48,2,-,-
"S00172968",86,46,11,34,2,40,40,-,-,-
"S00172969",107,20,5,5,12,87,80,6,-,-
"S00172970",180,180,11,107,62,-,-,-,-,-
"S00172971",73,2,-,-,1,71,71,-,-,-
"S00172972",92,89,12,70,8,3,-,3,-,-
"S00172973",89,5,1,1,2,85,84,-,1,-
"S00172974",63,8,-,-,8,55,55,-,-,-
"S00172975",125,88,26,4,62,37,34,-,5,-
"S00172976",125,125,10,113,-,-,-,-,-,-
"S00172977",63,58,25,13,21,5,5,-,-,-
"S00172978",69,4,-,-,4,65,64,1,-,-
"S00172979",86,-,-,-,-,86,86,-,-,-
"S00172980",113,26,9,9,7,84,84,-,-,-
"S00172981",129,20,4,12,4,109,109,-,-,-
"S00172982",164,132,89,21,22,32,30,2,-,-
"S00172983",140,61,7,14,40,79,73,5,-,-
"S00172984",149,142,69,44,26,7,7,-,-,-
"S00172985",78,28,18,12,-,50,50,-,-,-
"S00172986",116,6,-,3,3,106,106,-,-,-
"S00172987",71,12,8,-,6,61,54,4,-,-
"S00172988",77,-,-,-,-,77,76,1,-,-
"S00172989",121,121,28,89,-,-,-,-,-,-
"S00172990",115,8,-,-,8,107,106,1,-,-
"S00172991",94,6,-,-,6,88,75,12,1,-
"S00172992",105,99,7,11,87,3,3,-,-,-
"S00172993",120,6,-,-,6,114,113,-,-,-
"S00172994",84,-,-,-,-,84,84,-,-,-
"S00172995",71,19,6,12,4,50,50,-,-,-
"S00172996",97,19,6,10,4,79,79,-,-,-
"S00172997",122,28,-,5,23,91,89,4,-,-
"S00172998",92,87,34,56,-,1,1,-,-,-
"S00172999",77,6,1,2,2,71,71,-,-,-
"S00173000",84,2,-,-,1,82,82,-,-,-
"S00173001",109,19,1,11,3,91,85,6,-,-
"S00173002",166,94,25,21,46,72,72,-,-,-
"S00173003",108,35,14,13,11,73,72,1,-,-
"S00173004",119,48,2,21,23,71,70,1,-,-
"S00173005",125,5,4,2,-,117,115,2,-,-
"S00173006",96,7,2,4,2,88,88,-,-,-
"S00173007",65,7,-,-,7,55,52,6,-,-
"S00173008",168,168,74,88,5,-,-,-,-,-
"S00173009",100,93,6,52,35,7,1,6,-,-
"S00173010",90,90,40,47,3,-,-,-,-,-
"S00173011",109,89,1,30,65,16,16,-,-,-
"S00173012",71,11,2,7,4,56,56,-,-,-
"S00173013",88,13,9,1,3,75,75,-,-,-
"S00173014",77,10,-,12,2,66,66,-,-,-
"S00173015",84,6,-,-,6,84,80,-,2,-
"S00173016",133,9,-,-,9,124,123,-,-,-
"S00173017",101,41,8,26,8,60,60,-,-,-
"S00173018",113,4,3,-,1,109,109,-,-,-
"S00173019",98,18,11,4,1,80,76,3,1,-
"S00173020",104,28,2,2,25,75,75,-,-,-
"S00173021",65,50,5,14,29,15,15,-,-,-
"S00173022",99,67,41,23,1,32,2,30,-,-
"S00173023",131,131,48,66,17,-,-,-,-,-
"S00173024",125,94,4,7,83,31,31,-,-,-
"S00173025",99,48,28,11,9,51,43,8,-,-
"S00173026",84,31,5,15,10,53,53,-,-,-
"S00173027",99,1,-,-,1,98,68,20,10,-
"S00173028",62,62,18,37,7,-,-,-,-,-
"S00173029",116,93,1,15,75,23,23,-,-,-
"S00173030",124,11,9,-,2,113,112,-,-,-
"S00173031",93,25,-,1,22,68,68,-,-,-
"S00173032",124,71,5,53,14,53,53,-,-,-
"S00173033",102,29,15,12,4,73,73,-,-,-
"S00173034",99,5,-,-,5,94,94,-,-,-
"S00173035",65,61,3,23,31,4,4,-,-,-
"S00173036",75,66,-,12,52,12,12,-,-,-
"S00173037",66,3,3,-,-,65,65,-,-,-
"S00173038",112,11,7,4,-,101,97,4,-,-
"S00173039",128,111,4,16,91,17,17,-,-,-
"S00173040",71,59,4,9,46,12,7,5,-,-
"S00173041",101,101,90,11,-,-,-,-,-,-
"S00173042",163,162,85,46,29,1,1,-,-,-
"S00173043",115,92,15,31,50,23,21,2,-,-
"S00173044",98,95,14,69,11,4,4,-,-,-
"S00173045",102,98,79,8,8,8,5,5,-,-
"S00173046",65,8,3,4,4,51,49,2,-,-
"S00173047",187,147,131,9,5,40,40,-,-,-
"S00173048",109,50,15,23,15,59,56,-,2,-
"S00173049",69,20,2,12,7,49,48,-,-,-
"S00173050",117,72,57,15,-,45,12,33,-,-
"S00173051",72,69,17,36,16,4,4,-,-,-
"S00173052",78,28,4,10,14,50,49,1,-,-
"S00173053",149,26,-,4,21,123,123,-,-,-
"S00173054",144,127,55,17,55,17,15,-,-,-
"S00173055",103,43,2,10,31,60,59,1,-,-
"S00173056",131,83,49,30,4,49,49,-,-,-
"S00173057",72,40,35,-,5,32,32,-,-,-
"S00173058",68,15,15,-,1,50,50,-,-,-
"S00173059",86,81,4,4,73,5,5,-,-,-
"S00173060",85,8,-,3,5,77,73,2,2,-
"S00173061",159,135,-,-,133,24,24,-,-,-
"S00173062",91,47,11,20,16,46,46,-,-,-
"S00173063",119,79,10,22,47,40,40,-,-,-
"S00173064",160,157,33,123,1,3,3,-,-,-
"S00173065",82,32,12,19,1,50,50,-,-,-
"S00173066",138,31,23,2,6,107,107,-,-,-
"S00173067",110,74,3,55,17,36,36,-,-,-
"S00173068",78,12,4,10,-,67,67,-,-,-
"S00173069",100,42,25,14,3,60,60,-,-,-
"S00173070",72,8,-,6,1,66,66,-,-,-
"S00173071",122,-,-,-,-,122,122,-,-,-
"S00173072",114,113,25,86,4,-,-,-,-,-
"S00173073",71,40,35,-,2,31,20,11,-,-
"S00173074",133,106,48,57,1,27,23,4,-,-
"S00173075",89,52,7,15,34,37,37,-,-,-
"S00173076",155,127,56,40,33,31,20,8,-,-
"S00173077",120,27,9,18,2,93,93,-,-,-
"S00173078",126,61,5,13,43,65,66,2,-,-
"S00173079",107,103,5,82,13,4,4,-,-,-
"S00173080",101,76,4,12,61,25,25,2,-,-
"S00173081",91,19,4,6,8,72,65,3,-,-
"S00173082",105,36,-,5,28,68,68,-,-,-
"S00173083",77,4,4,-,-,74,72,-,-,-
"S00173084",69,-,-,-,-,69,58,-,6,-
"S00173085",105,105,-,31,74,-,-,-,-,-
"S00173086",106,27,11,6,12,78,54,24,-,1
"S00173087",93,76,46,28,4,17,15,-,-,-
"S00173088",169,164,57,90,19,5,5,-,-,-
"S00173089",87,4,-,-,4,85,83,-,2,-
"S00173090",82,7,-,4,5,74,72,2,2,-
"S00173091",143,87,10,5,72,52,55,-,-,-
"S00173092",127,124,38,51,35,3,3,1,-,-
"S00173093",85,73,2,49,20,12,12,-,-,-
"S00173094",83,21,7,13,5,60,54,2,4,-
"S00173095",136,131,58,66,6,10,2,6,-,-
"S00173096",177,163,31,75,56,15,15,-,-,-
"S00173097",105,107,3,66,38,-,-,-,-,-
"S00173098",77,-,-,-,-,77,77,-,-,-
"S00173099",71,14,-,7,7,57,57,-,-,-
"S00173100",76,35,18,12,3,40,40,-,-,-
"S00173101",162,156,128,11,17,6,6,-,-,-
"S00173102",97,24,6,6,12,73,73,-,-,-
"S00173103",85,46,11,22,14,38,38,-,-,-
"S00173104",109,29,13,9,10,84,81,1,-,-
"S00173105",71,71,5,21,46,-,-,-,-,-
"S00173106",152,146,49,77,22,6,6,-,-,-
"S00173107",109,53,33,11,6,59,16,43,-,-
"S00173108",99,45,14,1,28,56,52,2,-,-
"S00173109",113,22,-,7,15,94,82,11,-,-
"S00173110",83,6,3,-,4,77,77,-,-,-
"S00173111",90,60,6,46,12,34,33,2,-,-
"S00173112",78,40,25,9,6,38,32,-,6,-
"S00173113",110,108,10,34,64,4,4,-,-,-
"S00173114",80,-,-,-,1,81,62,14,2,-
"S00173115",93,1,-,-,1,92,87,-,4,-
"S00173116",80,47,10,25,8,37,23,6,4,-
"S00173117",167,162,38,119,2,8,6,1,-,-
"S00173118",104,10,-,8,4,94,94,-,-,-
"S00173119",97,66,47,19,-,31,29,2,-,-
"S00173120",96,17,-,5,12,81,70,4,5,-
"S00173121",71,68,-,6,64,3,2,2,-,-
"S00173122",88,13,2,3,5,78,78,-,-,-
"S00173123",107,75,42,21,16,32,31,-,1,-
"S00173124",83,78,1,65,15,2,1,-,1,-
"S00173125",100,30,20,6,2,70,61,10,-,-
"S00173126",72,24,6,2,16,48,43,5,-,-
"S00173127",174,142,10,64,72,32,32,-,-,-
"S00173128",207,116,21,78,19,87,78,9,-,-
"S00173129",107,107,72,26,6,-,-,-,-,-
"S00173130",107,48,23,18,9,59,59,-,-,-
"S00173131",71,13,5,6,1,58,58,3,-,-
"S00173132",104,52,36,13,3,52,52,-,-,-
"S00173133",161,139,132,2,2,22,22,-,-,-
"S00173134",142,139,78,57,4,2,2,-,-,-
"S00173135",146,124,49,69,7,23,12,11,-,-
"S00173136",123,16,-,8,8,107,103,4,-,-
"S00173137",137,124,-,59,60,17,17,-,-,-
"S00173138",65,65,15,2,50,-,-,-,-,-
"S00173139",92,35,3,15,16,57,57,-,-,-
"S00173140",109,78,6,29,47,27,21,3,-,-
"S00173141",102,19,5,4,5,91,91,-,-,-
"S00173142",154,104,6,71,27,50,49,1,-,-
"S00173143",134,94,7,30,57,41,41,-,-,-
"S00173144",65,9,1,6,2,56,56,-,-,-
"S00173145",111,17,4,13,-,93,90,-,3,-
"S00173146",137,128,7,103,20,11,11,-,-,-
"S00173147",82,52,10,21,25,26,26,-,-,-
"S00173148",94,84,7,39,40,13,13,-,-,-
"S00173149",128,100,24,71,5,30,30,-,-,-
"S00173150",65,65,56,5,8,-,-,-,-,-
"S00173151",72,26,7,4,13,46,46,-,-,-
"S00173152",69,6,3,3,-,59,59,-,-,-
"S00173153",99,64,29,10,25,35,28,4,4,-
"S00173154",103,42,4,3,35,58,50,6,2,-
"S00173155",92,11,-,7,4,81,79,-,-,-
"S00173156",62,26,3,3,14,40,38,2,-,-
"S00173157",135,135,132,3,-,-,-,-,-,-
"S00173158",92,87,12,33,39,4,-,4,-,-
"S00173159",114,39,11,22,4,75,75,-,-,-
"S00173160",82,19,6,8,2,63,63,-,-,-
"S00173161",98,85,8,52,27,11,11,-,-,-
"S00173162",83,52,5,17,30,31,31,-,-,-
"S00173163",81,61,19,40,7,20,16,1,-,-
"S00173164",116,39,12,17,7,77,77,-,-,-
"S00173165",116,92,15,45,36,24,6,18,-,-
"S00173166",74,4,-,-,4,71,71,-,-,-
"S00173167",122,41,13,22,5,82,82,-,-,-
"S00173168",95,89,25,53,12,6,4,1,-,-
"S00173169",106,6,-,2,3,102,102,-,-,-
"S00173170",69,-,-,1,1,67,66,2,-,-
"S00173171",199,185,152,26,15,10,10,-,-,-
"S00173172",115,97,14,51,32,18,18,-,-,-
"S00173173",125,38,17,6,15,87,87,-,-,-
"S00173174",128,27,-,4,23,101,99,2,-,-
"S00173175",115,59,21,17,21,55,40,10,6,-
"S00173176",97,98,68,23,7,2,2,-,-,-
"S00173177",70,36,1,22,12,35,35,-,-,-
"S00173178",132,67,2,60,5,65,65,-,-,-
"S00173179",96,8,2,6,-,88,88,-,-,-
"S00173180",68,55,6,49,-,13,12,-,-,-
"S00173181",65,58,3,8,47,9,9,-,-,-
"S00173182",88,88,88,1,-,-,-,-,-,-
"S00173183",141,134,17,76,41,7,3,4,-,-
"S00173184",95,9,10,4,-,82,74,8,-,-
"S00173185",80,20,7,8,7,60,60,-,-,-
"S00173186",82,61,5,55,2,19,19,-,-,-
"S00173187",140,63,4,32,31,81,75,3,-,-
"S00173188",73,68,7,5,57,5,5,-,-,-
"S00173189",96,15,5,6,5,81,81,-,-,-
"S00173190",98,90,13,37,40,9,9,-,-,-
"S00173191",87,36,12,12,12,47,47,-,-,-
"S00173192",111,-,-,-,-,111,107,4,-,-
"S00173193",138,87,-,48,39,51,51,-,-,-
"S00173194",73,65,43,18,-,8,8,-,-,-
"S00173195",131,37,35,-,2,92,90,2,-,-
"S00173196",139,115,68,24,24,24,12,12,-,-
"S00173197",80,72,-,45,27,9,9,-,-,-
"S00173198",62,4,4,-,-,58,58,-,-,-
"S00173199",70,5,-,5,-,65,65,-,-,-
"S00173200",147,141,128,8,4,7,7,-,-,-
"S00173201",134,134,10,113,3,-,-,-,-,-
"S00173202",101,28,6,3,17,73,72,1,-,-
"S00173203",122,3,-,-,3,119,118,-,1,-
"S00173204",60,16,1,7,4,48,46,2,-,-
"S00173205",92,90,24,52,14,-,-,-,-,-
"S00173206",82,52,1,43,4,30,29,-,-,-
"S00173207",128,11,2,5,5,117,113,-,4,-
"S00173208",74,38,6,9,27,33,33,-,-,-
"S00173209",180,148,4,31,113,32,32,-,-,-
"S00173210",87,5,5,-,-,83,79,4,-,-
"S00173211",97,75,25,43,7,24,24,-,-,-
"S00173212",79,76,10,37,29,3,-,3,-,-
"S00173213",152,141,66,68,8,11,3,8,-,-
"S00173214",67,7,4,6,2,58,58,-,-,-
"S00173215",139,115,37,54,24,24,24,-,-,-
"S00173216",152,104,20,20,64,52,42,2,8,-
"S00173217",112,82,5,23,54,27,27,-,-,-
"S00173218",115,103,16,52,35,9,9,-,-,-
"S00173219",151,101,-,55,46,50,50,-,-,-
"S00173220",73,2,-,-,2,76,76,-,-,-
"S00173221",159,114,15,48,52,45,43,2,-,-
"S00173222",119,76,1,12,62,42,42,-,-,-
"S00173223",128,125,19,77,26,3,3,-,-,-
"S00173224",93,8,6,5,-,80,80,-,-,-
"S00173225",65,6,2,3,1,59,59,-,-,-
"S00173226",70,65,-,12,55,5,5,-,-,-
"S00173227",61,53,3,10,42,6,6,-,-,-
"S00173228",76,42,14,8,20,34,34,-,-,-
"S00173229",182,162,10,79,73,20,20,-,-,-
"S00173230",69,51,-,18,33,18,18,-,-,-
"S00173231",132,89,10,49,27,43,43,-,-,-
"S00173232",92,92,6,78,4,-,-,-,-,-
"S00173233",98,40,4,18,18,58,58,-,-,-
"S00173234",116,44,18,24,2,72,72,-,-,-
"S00173235",88,46,12,38,3,38,37,1,-,-
"S00173236",137,26,2,15,9,111,108,3,-,-
"S00173237",85,8,-,8,-,80,80,-,-,-
"S00173238",142,128,46,25,57,14,14,-,-,-
"S00173239",77,3,1,-,2,74,71,4,1,-
"S00173240",85,85,13,37,36,-,-,-,-,-
"S00173241",102,5,1,4,-,99,99,-,-,-
"S00173242",86,86,49,21,12,-,-,-,-,-
"S00173243",111,92,5,9,83,16,13,3,-,-
"S00173244",78,77,43,11,23,1,1,-,-,-
"S00173245",108,11,-,6,4,98,96,3,-,-
"S00173246",177,123,-,75,48,54,54,-,-,-
"S00173247",158,80,5,18,57,78,77,1,-,-
"S00173248",115,93,24,30,39,22,22,-,-,-
"S00173249",94,87,43,37,7,7,-,7,-,-
"S00173250",95,-,-,-,-,95,95,-,-,-
"S00173251",91,18,7,2,10,75,75,-,-,-
"S00173252",113,108,11,96,1,4,-,4,-,-
"S00173253",69,13,2,8,4,54,53,1,-,-
"S00173254",96,92,18,33,41,4,4,-,-,-
"S00173255",111,79,17,45,17,32,20,10,-,-
"S00173256",89,61,27,30,-,31,6,25,-,-
"S00173257",84,73,2,20,52,11,11,-,-,-
"S00173258",92,62,-,-,62,30,30,-,-,-
"S00173259",166,119,9,58,55,44,38,3,-,-
"S00173260",94,88,1,42,50,3,3,-,-,-
"S00173261",65,17,2,15,2,48,48,-,-,-
"S00173262",94,4,-,-,4,89,89,-,-,-
"S00173263",116,109,44,46,22,10,4,2,3,-
"S00173264",71,14,3,9,-,54,54,-,-,-
"S00173265",144,143,7,63,70,2,2,-,-,-
"S00173266",99,23,7,12,5,76,71,5,-,-
"S00173267",108,44,10,3,27,64,62,6,-,-
"S00173268",69,5,1,3,2,62,60,3,-,-
"S00173269",110,4,1,-,1,108,107,-,-,-
"S00173270",234,215,200,15,-,19,14,5,-,-
"S00173271",84,74,4,38,34,15,15,-,-,-
"S00173272",179,68,16,35,18,111,111,-,-,-
"S00173273",258,256,210,42,4,2,2,-,-,-
"S00173274",70,12,4,-,5,58,56,4,-,-
"S00173275",138,104,1,49,51,37,37,-,-,-
"S00173276",129,51,2,3,47,76,74,2,-,-
"S00173277",121,95,2,43,47,26,26,-,-,-
"S00173278",97,20,8,9,3,77,75,2,-,-
"S00173279",83,77,23,57,-,2,2,-,-,-
"S00173280",139,130,1,70,62,9,9,-,-,-
"S00173281",128,128,25,77,27,-,-,-,-,-
"S00173282",117,56,14,16,26,61,35,26,-,-
"S00173283",168,168,34,130,2,3,3,-,-,-
"S00173284",85,85,35,43,3,-,-,-,-,-
"S00173285",123,120,8,29,83,3,3,-,-,-
"S00173286",117,115,60,56,3,1,-,1,-,-
"S00173287",84,84,9,52,23,-,-,-,-,-
"S00173288",137,117,1,33,87,20,18,-,-,-
"S00173289",120,103,18,83,1,17,17,-,-,-
"S00173290",112,84,-,36,48,28,28,-,-,-
"S00173291",118,118,21,83,15,-,-,-,-,-
"S00173292",128,128,10,3,112,-,-,-,-,-
"S00173293",131,131,78,51,-,-,-,-,-,-
"S00173294",148,145,16,62,71,3,3,-,-,-
"S00173295",95,81,7,20,50,14,14,-,-,-
"S00173296",86,80,19,60,1,6,6,-,-,-
"S00173297",112,110,28,77,5,-,-,-,-,-
"S00173298",88,88,8,51,26,-,-,-,-,-
"S00173299",61,14,2,12,-,47,44,3,-,-
"S00173300",64,4,-,3,-,60,60,-,-,-
"S00173301",79,78,3,7,68,2,-,2,-,-
"S00173302",104,53,20,14,15,51,51,-,-,-
"S00173303",81,32,6,15,14,49,49,-,-,-
"S00173304",64,10,7,1,2,54,54,-,-,-
"S00173305",93,48,7,4,33,49,46,3,-,-
"S00173306",67,58,7,10,42,9,9,-,-,-
"S00173307",132,6,6,-,-,126,123,2,-,-
"S00173308",62,14,5,9,3,48,48,-,-,-
"S00173309",178,149,62,24,60,32,15,15,-,-
"S00173310",105,105,50,50,4,-,-,-,-,-
"S00173311",62,61,-,15,43,5,5,-,-,-
"S00173312",105,84,4,19,63,21,21,-,-,-
"S00173313",153,101,64,37,-,51,34,17,-,-
"S00173314",102,102,8,43,54,-,-,-,-,-
"S00173315",111,84,13,12,62,24,24,-,-,-
"S00173316",87,83,20,32,31,4,4,-,-,-
"S00173317",67,64,7,52,5,3,3,-,-,-
"S00173318",88,88,23,58,7,-,-,-,-,-
"S00173319",65,51,-,27,28,13,13,-,-,-
"S00173320",113,83,28,19,36,30,30,-,-,-
"S00173321",77,64,4,26,38,17,17,-,-,-
"S00173322",70,69,16,31,22,1,1,-,-,-
"S00173323",75,10,1,8,1,65,65,-,-,-
