Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00135545",132,110,17,76,17,22,22,-,-,-
"S00135546",88,49,7,21,21,39,39,-,-,-
"S00135547",188,183,57,117,9,5,3,2,-,-
"S00135548",88,62,2,48,10,27,27,-,-,-
"S00135549",64,27,-,20,7,37,37,-,-,-
"S00135550",123,40,8,19,13,83,82,1,-,-
"S00135551",127,118,10,107,1,9,9,-,-,-
"S00135552",133,32,-,12,18,101,101,-,-,-
"S00135553",207,205,113,92,4,2,2,-,-,-
"S00135554",86,85,3,51,31,1,1,-,-,-
"S00135555",166,162,85,77,-,4,4,-,-,-
"S00135556",101,41,11,26,7,60,59,1,-,-
"S00135557",91,59,-,57,2,32,32,-,-,-
"S00135558",150,146,9,45,88,8,8,-,-,-
"S00135559",102,27,18,4,6,72,73,-,-,-
"S00135560",107,101,26,62,13,8,7,1,-,-
"S00135561",94,30,1,5,20,64,63,4,-,-
"S00135562",92,14,7,4,3,78,76,5,-,-
"S00135563",61,-,-,-,-,61,61,-,-,-
"S00135564",104,104,8,90,6,-,-,-,-,-
"S00135565",71,68,7,58,4,2,2,-,-,-
"S00135566",100,85,42,18,28,15,13,3,-,-
"S00135567",126,121,19,31,67,9,9,-,-,-
"S00135568",155,126,-,96,28,35,35,-,-,-
"S00135569",104,54,1,16,37,50,49,-,1,-
"S00135570",111,100,69,31,-,8,8,-,-,3
"S00135571",106,71,-,33,37,35,35,-,-,-
"S00135572",122,110,8,44,58,12,3,5,4,-
"S00135573",107,106,4,62,38,4,4,-,-,-
"S00135574",99,95,10,53,32,4,4,-,-,-
"S00135575",147,145,11,61,73,2,2,-,-,-
"S00135576",128,101,10,47,45,29,26,1,-,-
"S00135577",129,98,6,25,67,31,24,7,-,-
"S00135578",116,115,22,90,3,5,5,-,-,-
"S00135579",88,80,1,68,11,8,4,4,-,-
"S00135580",140,59,-,12,47,80,80,-,-,1
"S00135581",129,105,38,17,50,23,8,15,-,-
"S00135582",84,53,20,29,4,31,16,15,-,-
"S00135583",139,90,17,25,48,49,49,-,-,-
"S00135584",127,30,2,11,13,101,101,-,-,-
"S00135585",114,106,3,46,57,10,10,-,-,-
"S00135586",119,119,-,108,11,-,-,-,-,-
"S00135587",72,12,4,8,3,60,60,-,-,-
"S00135588",87,41,11,21,9,46,42,3,1,-
"S00135589",82,52,36,14,-,28,13,19,-,-
"S00135590",88,82,-,28,52,6,6,-,-,-
"S00135591",81,68,1,27,38,13,9,3,-,-
"S00135592",116,110,39,42,29,8,8,-,-,1
"S00135593",91,88,81,5,3,3,3,-,-,-
"S00135594",100,97,14,74,7,3,-,3,-,-
"S00135595",150,141,4,73,64,9,8,1,-,-
"S00135596",147,98,26,30,44,45,45,-,-,-
"S00135597",134,101,-,97,4,33,31,2,-,-
"S00135598",91,83,6,73,4,8,8,-,-,-
"S00135599",129,44,2,-,41,84,84,-,-,5
"S00135600",60,10,2,7,-,51,49,4,-,-
"S00135601",141,125,47,24,54,14,6,7,-,-
"S00135602",126,25,2,12,8,97,100,1,-,-
"S00135603",78,78,80,-,3,-,-,-,-,-
"S00135604",84,6,-,4,3,78,78,-,-,-
"S00135605",82,36,7,17,12,46,34,9,3,-
"S00135606",200,195,141,24,30,5,5,-,-,-
"S00135607",119,34,11,10,13,85,76,11,-,-
"S00135608",98,94,6,57,31,4,4,-,-,-
"S00135609",108,103,5,82,17,5,5,-,-,-
"S00135610",114,19,6,7,6,95,93,3,-,-
"S00135611",90,58,10,27,21,32,32,-,-,-
"S00135612",156,61,4,4,55,95,84,11,-,-
"S00135613",121,112,46,24,42,10,9,1,-,-
"S00135614",111,105,9,86,10,6,6,-,-,-
"S00135615",167,100,5,10,85,68,68,-,-,-
"S00135616",73,6,2,-,4,68,65,2,-,-
"S00135617",108,102,13,89,-,6,4,3,-,-
"S00135618",76,73,31,42,-,3,-,3,-,-
"S00135619",62,23,10,4,8,29,24,2,-,14
"S00135620",131,4,2,-,3,127,126,4,-,-
"S00135621",135,63,8,32,22,72,67,5,-,-
"S00135622",91,7,-,3,4,84,81,3,-,-
"S00135623",129,96,15,29,52,33,33,-,-,-
"S00135624",94,87,5,59,23,7,7,-,-,-
"S00135625",132,125,88,25,8,7,7,-,-,-
"S00135626",66,32,8,16,8,35,30,2,-,-
"S00135627",134,130,3,111,16,4,4,-,-,-
"S00135628",155,138,4,68,66,17,17,-,-,-
"S00135629",168,55,27,15,14,113,113,-,-,-
"S00135630",114,114,1,44,70,-,-,-,-,-
"S00135631",166,77,9,13,57,89,87,2,-,-
"S00135632",167,8,-,4,3,160,160,-,-,-
"S00135633",66,35,21,9,9,24,18,6,-,1
"S00135634",76,5,-,4,1,71,70,1,-,-
"S00135635",120,5,2,1,2,112,112,-,-,-
"S00135636",103,102,9,46,43,5,5,-,-,-
"S00135637",129,129,1,50,76,-,-,-,-,-
"S00135638",77,6,-,1,5,71,67,4,-,-
"S00135639",71,17,8,7,2,54,54,-,-,-
"S00135640",127,115,1,46,64,12,9,3,-,-
"S00135641",93,92,11,17,66,2,2,-,-,-
"S00135642",186,105,-,16,89,81,78,1,1,-
"S00135643",95,54,6,17,34,39,39,-,-,-
"S00135644",74,73,-,73,-,1,1,-,-,-
"S00135645",82,78,11,10,59,4,2,2,-,-
"S00135646",73,68,4,7,57,5,5,-,-,-
"S00135647",151,144,5,25,114,8,8,-,-,-
"S00135648",117,-,-,-,-,117,117,-,-,-
"S00135649",90,5,-,-,5,85,83,2,-,-
"S00135650",110,75,10,17,51,35,33,1,-,-
"S00135651",115,67,22,42,2,48,47,1,-,-
"S00135652",87,76,20,11,44,16,9,3,-,-
"S00135653",87,57,-,13,44,30,28,2,-,-
"S00135654",73,1,-,1,-,76,69,4,-,-
"S00135655",105,84,5,66,17,21,19,-,-,-
"S00135656",105,5,2,1,-,102,99,1,-,-
"S00135657",121,7,1,1,2,112,112,-,-,-
"S00135658",90,4,3,1,-,82,82,-,-,-
"S00135659",135,6,1,-,5,129,129,-,-,-
"S00135660",112,4,-,-,4,108,107,1,-,-
"S00135661",66,61,-,5,55,5,-,5,-,-
"S00135662",119,111,-,17,94,8,8,-,-,-
"S00135663",115,109,5,17,87,6,6,-,-,-
"S00135664",174,39,4,12,23,135,135,-,-,-
"S00135665",102,3,-,-,3,98,98,1,-,-
"S00135666",87,84,2,12,71,2,2,-,-,-
"S00135667",165,72,12,38,22,92,92,2,-,-
"S00135668",138,43,13,24,5,95,92,1,1,-
"S00135669",137,73,17,24,37,64,61,4,-,-
"S00135670",157,12,2,4,6,145,145,-,-,-
"S00135671",85,76,24,10,42,8,3,2,-,-
"S00135672",103,5,5,2,-,98,98,-,-,-
"S00135673",87,82,6,19,57,5,5,-,-,-
"S00135674",96,87,-,87,-,9,9,-,-,-
"S00135675",144,120,2,39,78,22,22,-,-,-
"S00135676",73,1,-,2,2,72,72,-,-,-
"S00135677",76,1,-,1,-,75,75,-,-,-
"S00135678",104,62,6,31,23,42,39,3,-,-
"S00135679",77,69,50,12,7,8,5,1,4,-
"S00135680",114,85,4,48,37,29,28,-,1,-
"S00135681",120,7,-,2,2,113,113,-,-,-
"S00135682",87,83,8,7,68,4,4,-,-,-
"S00135683",101,25,3,-,25,72,72,-,-,-
"S00135684",70,21,-,8,13,49,49,-,-,-
"S00135685",152,147,1,63,83,1,1,-,-,-
"S00135686",103,-,-,-,-,102,99,2,-,-
"S00135687",119,8,2,7,-,111,109,-,2,-
"S00135688",121,124,22,15,83,1,1,-,-,-
"S00135689",97,7,-,5,2,91,91,-,-,-
"S00135690",120,9,5,2,2,111,111,-,-,-
"S00135691",120,6,5,-,-,114,114,-,-,-
"S00135692",72,-,-,-,-,72,72,-,-,-
"S00135693",108,38,10,17,11,70,70,-,-,-
"S00135694",90,85,-,13,72,2,4,1,-,-
"S00135695",75,34,12,18,4,41,35,4,-,-
"S00135696",56,5,4,-,1,55,55,-,-,-
"S00135697",121,25,13,8,4,96,89,7,-,-
"S00135698",139,49,3,15,31,90,87,-,5,-
"S00135699",152,137,5,18,114,15,15,-,-,-
"S00135700",66,3,2,-,2,62,59,3,-,-
"S00135701",97,90,-,36,52,6,1,3,-,-
"S00135702",104,80,2,23,58,28,28,-,-,-
"S00135703",68,-,-,-,-,68,56,13,-,-
"S00135704",62,-,-,-,-,65,53,4,2,-
"S00135705",100,16,5,7,4,84,83,-,1,-
"S00135706",149,59,5,12,42,90,90,-,-,-
"S00135707",65,3,-,2,4,61,59,1,-,-
"S00135708",125,9,-,9,-,117,115,-,2,-
"S00135709",122,41,-,32,17,77,71,4,-,-
"S00135710",70,2,2,-,-,68,65,3,-,-
"S00135711",90,16,4,11,3,72,64,-,8,-
"S00135712",123,23,6,5,12,100,98,2,-,-
"S00135713",85,16,3,10,1,69,55,14,-,-
"S00135714",120,6,1,-,3,115,115,-,-,-
"S00135715",117,105,6,25,75,8,6,3,-,-
"S00135716",121,45,13,17,16,76,71,5,-,-
"S00135717",108,17,14,3,-,91,83,8,-,-
"S00135718",71,1,-,1,-,70,70,-,-,-
"S00135719",183,47,11,15,21,136,132,7,-,-
"S00135720",204,191,7,28,157,12,4,10,-,-
"S00135721",161,89,2,30,58,72,72,-,-,-
"S00135722",75,2,-,2,-,70,70,-,-,-
"S00135723",77,29,2,10,17,48,48,-,-,-
"S00135724",88,15,-,7,8,73,73,-,-,-
"S00135725",128,12,-,5,7,112,117,-,-,-
"S00135726",169,45,-,41,7,124,124,-,-,-
"S00135727",135,53,2,31,17,82,82,-,-,-
"S00135728",100,14,-,3,11,86,86,-,-,-
"S00135729",96,4,4,-,-,93,92,-,-,-
"S00135730",107,100,8,17,73,7,7,-,-,-
"S00135731",85,4,4,-,-,81,81,-,-,-
"S00135732",98,5,2,-,2,93,93,-,-,-
"S00135733",84,16,-,4,12,68,64,4,-,-
"S00135734",101,50,24,23,4,51,46,5,-,-
"S00135735",102,21,13,5,1,81,69,11,-,-
"S00135736",81,35,16,14,5,42,42,4,-,-
"S00135737",89,2,-,-,2,89,89,-,-,-
"S00135738",185,144,7,46,91,40,40,-,-,-
"S00135739",120,16,-,8,8,104,104,-,-,-
"S00135740",98,91,3,85,3,7,7,-,-,-
"S00135741",69,5,2,3,-,66,66,-,-,-
"S00135742",99,1,-,-,1,101,97,2,-,-
"S00135743",100,79,12,39,28,21,21,-,-,-
"S00135744",98,63,3,33,25,35,35,-,-,-
"S00135745",116,6,-,4,2,110,110,-,-,-
"S00135746",61,-,-,-,-,61,61,-,-,-
"S00135747",90,87,3,21,65,3,3,-,-,-
"S00135748",121,15,-,10,5,106,100,5,-,-
"S00135749",63,3,-,1,2,60,60,-,-,-
"S00135750",101,20,7,10,2,81,71,10,-,-
"S00135751",120,5,5,-,4,112,108,6,2,-
"S00135752",92,12,-,10,2,80,80,-,-,-
"S00135753",97,5,-,2,3,90,90,-,2,-
"S00135754",119,42,12,26,4,77,77,-,-,-
"S00135755",166,8,-,5,4,159,159,-,-,-
"S00135756",86,26,7,12,5,60,48,9,-,-
"S00135757",111,45,4,35,4,66,60,3,-,-
"S00135758",108,8,5,-,5,98,99,1,-,-
"S00135759",83,7,-,1,6,77,77,-,-,-
"S00135760",72,5,-,2,2,64,64,-,-,-
"S00135761",114,43,-,39,4,71,69,1,-,-
"S00135762",110,6,-,-,6,104,102,2,-,-
"S00135763",86,3,-,3,-,83,83,-,-,-
"S00135764",103,61,-,30,28,44,44,-,-,-
"S00135765",141,-,-,-,-,141,139,-,6,-
"S00135766",103,57,22,4,30,46,30,16,-,-
"S00135767",137,24,-,14,10,113,110,3,-,-
"S00135768",218,93,12,64,16,129,116,11,-,-
"S00135769",130,107,7,43,57,25,15,8,-,-
"S00135770",111,9,-,2,7,102,100,-,4,-
"S00135771",124,45,1,25,23,82,76,3,-,-
"S00135772",185,185,9,84,92,-,-,-,-,-
"S00135773",171,3,-,-,3,168,167,-,1,-
"S00135774",78,26,-,20,9,52,52,-,-,-
"S00135775",189,16,10,2,4,173,170,2,1,-
"S00135776",91,14,7,2,5,77,72,5,-,-
"S00135777",108,106,3,71,32,4,4,-,-,-
"S00135778",75,-,-,-,-,75,72,3,-,-
"S00135779",110,3,-,-,3,107,106,1,-,-
"S00135780",105,7,-,-,7,98,98,-,-,-
"S00135781",134,121,10,47,62,14,2,9,-,-
"S00135782",96,6,2,1,5,90,90,-,-,-
"S00135783",158,6,3,-,2,153,153,-,-,-
"S00135784",89,64,-,40,23,25,21,4,-,-
"S00135785",66,-,-,-,-,66,62,3,-,-
"S00135786",162,65,15,27,23,99,99,-,-,-
"S00135787",60,21,2,2,17,39,38,1,-,-
"S00135788",105,104,4,43,57,2,2,-,-,-
"S00135789",101,99,3,39,57,3,1,1,-,-
"S00135790",115,12,5,7,-,103,103,-,-,-
"S00135791",165,6,5,-,1,159,156,2,-,-
"S00135792",102,17,9,-,3,85,85,-,-,-
"S00135793",99,4,-,-,4,97,97,-,-,-
"S00135794",151,151,116,34,2,-,-,-,-,-
"S00135795",92,47,-,10,37,45,45,-,-,-
"S00135796",107,14,6,8,-,93,89,4,-,-
"S00135797",154,74,12,60,-,81,74,8,-,-
"S00135798",77,37,4,8,25,40,40,-,-,-
"S00135799",201,78,6,57,17,119,119,-,-,-
"S00135800",109,25,-,15,14,82,79,7,-,-
"S00135801",78,44,4,22,20,33,32,1,-,-
"S00135802",84,17,2,14,1,67,54,13,-,-
"S00135803",102,61,-,49,11,41,39,2,-,-
"S00135804",109,108,-,40,66,5,5,-,-,-
"S00135805",73,24,6,4,16,49,44,5,-,-
"S00135806",128,78,-,46,36,46,46,-,-,-
"S00135807",104,-,-,-,-,104,99,2,-,-
"S00135808",121,1,-,-,1,119,119,-,-,-
"S00135809",101,14,-,4,8,89,89,-,-,-
