Scotland's Census 2022 - National Records of Scotland
Table UV205 - Religion
All people

,"All people","Church of Scotland","Roman Catholic","Other Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Pagan","Other religion","No religion","Religion not stated"
"S00179490",95,17,29,3,-,-,-,-,-,-,-,42,9
"S00179491",142,24,44,3,-,-,-,-,-,-,-,53,14
"S00179492",70,22,13,1,-,-,-,-,-,1,-,30,5
"S00179493",114,26,18,7,-,-,-,-,1,3,-,59,-
"S00179494",62,15,7,1,-,-,-,-,-,1,-,37,1
"S00179495",172,37,39,2,-,-,-,-,-,2,-,88,4
"S00179496",100,17,19,3,-,-,-,-,-,-,-,52,9
"S00179497",95,39,9,2,-,-,-,-,-,2,-,39,3
"S00179498",116,19,25,-,-,-,-,-,-,3,-,65,4
"S00179499",82,11,10,2,-,-,-,-,-,-,-,43,9
"S00179500",69,13,12,6,4,-,-,4,-,1,-,29,2
"S00179501",116,35,15,2,-,-,-,6,-,-,-,48,8
"S00179502",94,19,23,2,-,-,-,-,-,-,-,46,5
"S00179503",63,9,13,-,-,-,-,1,-,-,-,28,12
"S00179504",91,29,21,2,-,-,-,-,-,-,-,28,11
"S00179505",130,31,17,2,-,-,-,-,-,-,-,78,2
"S00179506",125,21,31,4,-,-,-,-,-,-,-,55,17
"S00179507",86,26,23,6,-,-,-,-,-,-,-,32,-
"S00179508",84,22,15,7,-,-,-,-,-,-,-,35,5
"S00179509",115,47,16,2,-,-,-,-,-,-,-,47,1
"S00179510",108,33,26,2,-,-,-,-,-,-,-,34,13
"S00179511",102,28,14,4,1,-,-,2,-,2,-,45,7
"S00179512",174,39,31,3,-,-,-,-,-,-,-,94,5
"S00179513",129,38,19,1,-,-,1,-,-,-,-,67,5
"S00179514",152,25,37,5,-,-,-,-,-,1,-,62,19
"S00179515",71,30,16,1,-,-,-,-,-,1,-,15,9
"S00179516",63,13,23,2,-,-,-,-,-,-,-,25,1
"S00179517",92,26,14,4,-,-,-,1,-,-,-,37,11
"S00179518",76,8,25,3,-,-,-,1,-,-,1,29,5
"S00179519",125,22,28,2,-,-,-,-,-,2,-,63,6
"S00179520",93,14,26,-,-,-,-,-,-,-,-,45,9
"S00179521",111,39,25,2,-,-,-,-,-,2,-,42,4
"S00179522",122,38,20,-,-,-,-,-,-,-,-,50,11
"S00179523",95,21,18,2,-,-,-,-,2,-,-,43,7
"S00179524",102,46,19,2,-,-,-,-,-,-,-,28,4
"S00179525",80,27,25,3,-,-,-,-,-,-,-,26,4
"S00179526",125,36,27,2,-,-,-,4,-,-,-,52,7
"S00179527",94,22,18,4,-,-,-,4,-,-,-,42,7
"S00179528",149,47,33,-,-,-,-,-,-,-,-,65,11
"S00179529",149,28,29,6,-,-,-,-,-,-,-,69,17
"S00179530",129,25,34,7,-,-,-,-,-,-,-,54,6
"S00179531",101,39,12,-,-,-,-,-,-,-,-,44,1
"S00179532",94,22,31,4,-,-,-,-,-,-,-,39,4
"S00179533",142,18,26,6,-,-,-,-,-,1,1,73,17
"S00179534",69,18,11,6,-,-,-,6,-,1,-,23,3
"S00179535",90,12,10,-,-,-,-,3,-,-,2,63,1
"S00179536",106,26,14,-,-,-,-,-,-,-,-,59,7
"S00179537",123,24,27,-,-,-,-,-,-,-,-,58,12
"S00179538",138,26,23,3,-,-,-,-,-,-,-,74,8
"S00179539",108,20,20,-,-,-,-,-,-,-,-,66,-
"S00179540",79,8,26,3,-,-,-,-,-,-,-,36,10
"S00179541",76,23,16,1,2,-,-,-,-,-,-,32,6
"S00179542",180,31,51,8,-,-,-,-,-,-,-,81,9
"S00179543",126,24,22,-,-,-,-,3,-,1,-,66,5
"S00179544",117,31,24,1,-,-,-,-,-,1,-,49,9
"S00179545",119,25,24,4,-,-,1,-,-,2,-,58,9
"S00179546",63,18,17,-,-,-,-,-,-,-,1,23,4
"S00179547",93,25,25,3,-,-,-,-,-,-,-,39,1
"S00179548",157,23,49,1,-,-,-,-,-,-,-,69,15
"S00179549",148,16,36,1,-,-,-,-,-,-,-,86,13
"S00179550",167,40,57,3,-,-,-,-,-,-,1,62,2
"S00179551",86,15,18,1,1,-,-,-,-,-,-,39,12
"S00179552",80,5,13,5,-,-,-,-,-,4,-,45,9
"S00179553",135,19,38,2,-,-,-,-,-,-,-,70,6
"S00179554",114,23,19,5,-,-,-,-,-,-,1,59,7
"S00179555",127,27,24,2,-,-,-,-,-,1,-,52,18
"S00179556",157,37,35,2,-,-,-,-,-,1,-,71,13
"S00179557",80,11,20,2,-,-,-,-,-,-,-,45,-
"S00179558",73,12,7,1,-,-,-,-,-,-,-,37,10
"S00179559",113,21,23,5,-,-,-,-,-,-,-,52,12
"S00179560",120,22,29,-,-,-,-,-,-,2,1,56,6
"S00179561",72,8,24,1,-,-,-,-,1,-,-,35,4
"S00179562",98,28,29,1,-,-,-,-,-,-,-,36,4
"S00179563",103,16,16,3,-,-,-,-,-,-,-,62,6
"S00179564",156,41,27,6,1,-,-,-,6,4,-,68,5
"S00179565",82,21,20,-,-,-,-,-,-,3,-,33,7
"S00179566",137,29,24,9,1,-,-,2,-,-,-,55,16
"S00179567",67,11,27,3,-,-,-,-,-,-,-,18,6
"S00179568",155,38,48,4,-,-,-,1,1,-,-,66,-
"S00179569",191,41,37,8,-,-,-,-,-,-,-,96,6
"S00179570",71,6,15,2,-,-,-,-,-,1,-,43,3
"S00179571",64,18,7,-,-,-,-,-,-,1,-,35,3
"S00179572",103,21,32,10,-,-,-,-,-,-,-,40,1
"S00179573",148,29,15,1,-,-,-,1,-,-,1,84,17
"S00179574",81,17,19,1,-,-,-,-,-,-,-,30,10
"S00179575",100,29,22,1,-,-,-,3,-,-,-,41,3
"S00179576",105,18,32,2,-,-,-,-,-,-,-,46,-
"S00179577",105,16,36,-,-,-,-,-,-,-,-,40,13
"S00179578",79,20,13,2,-,-,-,-,-,-,1,38,6
"S00179579",104,18,36,8,-,-,-,-,-,-,-,35,7
"S00179580",95,21,25,4,-,-,-,-,-,-,-,39,2
"S00179581",145,36,49,2,-,-,-,-,-,-,-,54,2
"S00179582",169,51,48,-,-,-,-,-,-,-,-,56,11
"S00179583",178,50,31,1,-,-,-,-,-,-,-,78,13
"S00179584",123,35,25,6,-,-,-,-,-,1,-,45,7
"S00179585",214,38,68,4,1,-,-,-,-,1,-,93,8
"S00179586",105,37,14,7,-,-,-,-,-,2,-,39,6
"S00179587",145,31,28,10,-,-,-,2,-,-,3,65,6
"S00179588",78,39,12,-,-,-,-,-,-,-,-,19,5
"S00179589",82,15,22,4,-,-,-,-,-,-,-,32,5
"S00179590",131,15,24,-,-,-,-,-,-,-,-,81,11
"S00179591",110,19,15,-,-,-,-,-,-,-,-,71,8
"S00179592",108,15,20,4,-,-,-,-,-,-,-,58,11
"S00179593",146,29,35,4,-,-,-,3,-,-,-,72,4
"S00179594",85,20,14,3,-,-,-,-,-,-,1,42,4
"S00179595",131,39,26,4,-,-,-,4,-,-,-,48,10
"S00179596",74,23,18,2,2,-,-,-,-,-,-,23,3
"S00179597",101,27,27,2,-,-,-,-,-,-,-,32,13
"S00179598",123,25,19,5,-,-,-,4,-,-,2,60,11
"S00179599",74,10,23,-,-,-,-,-,-,-,-,43,-
"S00179600",123,27,35,1,-,-,-,1,-,-,-,59,2
"S00179601",134,26,41,8,-,-,-,1,-,-,-,53,8
"S00179602",65,23,19,1,-,-,-,1,-,-,1,12,8
"S00179603",193,27,38,2,-,-,-,1,-,-,-,115,14
"S00179604",77,11,21,1,-,-,-,2,-,-,-,34,8
"S00179605",64,5,11,4,-,-,-,-,-,-,-,48,-
"S00179606",112,18,27,3,-,-,-,12,-,-,2,51,-
"S00179607",72,9,28,-,-,-,-,-,-,-,-,23,12
"S00179608",68,13,16,3,-,-,-,-,-,-,-,26,12
"S00179609",126,17,26,5,-,-,-,-,-,-,-,77,1
"S00179610",65,14,22,3,-,-,-,-,-,-,-,22,6
"S00179611",126,27,23,1,-,-,-,-,-,-,-,57,14
"S00179612",174,21,55,3,3,-,-,-,-,-,-,78,11
"S00179613",121,26,18,4,-,-,-,-,-,-,-,63,10
"S00179614",103,15,35,6,-,-,-,-,-,-,-,41,3
"S00179615",64,13,19,4,-,-,-,-,-,-,-,25,1
"S00179616",94,17,36,1,-,-,-,-,-,-,-,32,8
"S00179617",101,23,23,1,-,-,1,-,-,-,-,45,7
"S00179618",117,19,41,-,1,-,-,1,-,-,-,51,7
"S00179619",106,10,47,1,-,-,1,-,-,-,-,43,3
"S00179620",158,22,68,9,-,-,-,-,-,-,-,38,21
"S00179621",86,10,34,-,-,-,-,-,-,-,-,31,9
"S00179622",118,13,30,-,-,-,-,-,-,2,-,71,3
"S00179623",91,15,34,1,-,-,-,-,-,-,-,35,6
"S00179624",133,27,29,1,-,-,-,-,-,-,-,67,9
"S00179625",159,22,59,3,-,-,-,-,-,-,-,75,4
"S00179626",132,9,44,3,-,-,-,-,-,1,-,69,6
"S00179627",150,30,46,5,-,-,-,-,4,-,-,55,10
"S00179628",108,5,48,6,-,-,-,-,-,1,-,42,3
"S00179629",87,30,25,2,-,-,-,-,-,-,-,24,6
"S00179630",73,10,25,-,-,-,-,-,-,-,-,35,4
"S00179631",220,32,60,4,-,-,-,-,2,-,-,111,11
"S00179632",112,15,30,2,-,-,-,-,2,-,-,60,6
"S00179633",165,24,43,6,-,-,-,-,-,-,-,84,6
"S00179634",101,18,37,8,-,-,-,1,-,-,-,37,2
"S00179635",234,55,69,10,-,-,-,5,-,-,-,86,6
"S00179636",130,36,36,4,-,-,1,-,-,-,-,43,11
"S00179637",175,24,68,5,-,-,-,-,-,-,-,72,5
"S00179638",89,17,27,8,-,-,-,-,-,-,-,28,10
"S00179639",175,26,67,5,-,-,-,-,-,-,-,73,8
"S00179640",129,47,46,4,-,-,-,-,-,-,-,31,3
"S00179641",99,17,27,2,-,-,-,4,-,-,-,45,4
"S00179642",138,14,42,7,-,-,-,-,-,-,-,67,1
"S00179643",168,41,41,7,-,-,-,3,-,2,-,66,8
"S00179644",108,11,34,9,-,-,-,-,-,-,1,51,2
"S00179645",75,7,38,-,-,-,-,-,-,-,-,27,3
"S00179646",92,11,35,5,-,-,-,-,-,-,-,31,10
"S00179647",80,10,29,11,-,-,-,5,-,2,-,12,18
"S00179648",71,18,11,-,-,-,-,-,-,-,-,41,2
"S00179649",123,21,45,4,-,-,-,-,-,-,-,53,3
"S00179650",115,28,30,2,3,-,-,-,-,-,-,51,5
"S00179651",118,14,56,5,-,-,-,-,-,-,-,40,-
"S00179652",141,22,51,4,-,-,-,-,-,-,-,60,4
"S00179653",168,24,32,10,-,-,-,-,-,1,-,92,12
"S00179654",92,20,28,4,-,3,-,-,-,-,-,27,10
"S00179655",108,20,43,10,-,-,-,-,-,-,-,30,4
"S00179656",99,20,22,1,-,-,-,-,-,1,-,46,8
"S00179657",100,8,35,4,-,-,-,-,-,-,-,49,4
"S00179658",225,18,84,8,-,5,-,-,-,-,-,97,16
"S00179659",111,16,38,5,-,-,-,-,-,-,-,47,7
"S00179660",90,4,27,-,-,-,-,-,-,-,-,47,12
"S00179661",118,25,25,6,-,-,-,-,-,-,-,60,5
"S00179662",146,29,62,5,-,-,-,-,-,-,-,44,6
"S00179663",108,14,32,2,-,-,-,1,-,-,2,56,-
"S00179664",101,11,24,1,-,-,-,-,-,-,-,52,13
"S00179665",67,16,27,2,-,-,-,-,-,-,-,20,2
"S00179666",177,31,73,2,-,-,-,-,-,-,-,59,15
"S00179667",97,35,20,-,-,-,-,-,-,-,-,33,9
"S00179668",107,16,37,3,-,-,-,-,-,-,-,47,6
"S00179669",153,26,49,2,1,-,-,-,-,-,-,69,6
"S00179670",117,28,33,2,-,-,-,-,-,-,-,51,3
"S00179671",159,20,73,2,-,-,-,2,-,-,-,46,16
"S00179672",79,10,23,1,-,-,-,-,-,1,-,31,14
"S00179673",158,15,68,7,-,1,-,-,-,1,-,52,21
"S00179674",79,11,16,8,-,-,-,-,-,-,-,42,1
"S00179675",71,15,21,1,-,-,-,-,-,3,-,28,4
"S00179676",84,24,31,9,1,-,-,-,-,-,-,19,4
"S00179677",98,17,50,2,-,-,-,-,-,-,-,20,6
"S00179678",81,28,18,3,-,-,-,-,-,-,-,30,2
"S00179679",117,3,48,2,-,-,-,-,-,3,-,59,-
"S00179680",57,9,22,2,-,-,-,-,-,2,-,21,5
"S00179681",80,8,22,9,1,-,-,-,-,-,-,37,2
"S00179682",69,17,35,1,-,-,-,-,-,-,-,13,3
"S00179683",112,24,44,4,-,-,-,-,-,-,-,34,4
"S00179684",88,21,29,4,-,-,-,-,-,-,-,31,2
"S00179685",111,11,47,3,-,-,-,-,-,-,1,45,5
"S00179686",98,21,31,2,-,-,1,-,-,-,-,30,10
"S00179687",100,9,34,5,-,-,-,-,-,-,-,51,1
"S00179688",107,12,43,8,-,-,-,-,-,-,-,42,3
"S00179689",60,6,11,3,-,-,-,-,-,-,-,37,3
"S00179690",106,17,27,-,-,1,-,-,-,2,-,56,-
"S00179691",101,13,29,2,-,-,-,-,-,1,-,47,9
"S00179692",204,53,88,1,-,-,-,-,-,-,-,52,11
"S00179693",72,5,30,-,-,-,-,-,-,-,-,35,4
"S00179694",70,18,13,1,-,-,-,-,-,-,-,32,6
"S00179695",152,37,43,10,-,-,-,-,-,-,-,49,13
"S00179696",88,22,30,2,-,-,-,-,-,-,-,30,5
"S00179697",91,14,25,1,1,-,-,-,-,-,-,41,4
"S00179698",126,18,50,4,-,-,-,-,-,-,-,46,5
"S00179699",99,14,49,1,-,-,-,-,-,1,-,26,10
"S00179700",164,30,52,2,-,-,-,5,-,-,-,61,14
"S00179701",139,21,42,7,-,-,-,-,-,-,-,56,16
"S00179702",74,18,16,8,-,-,-,-,-,-,1,27,2
"S00179703",144,45,36,5,-,-,-,2,-,-,1,42,13
"S00179704",63,21,32,-,-,-,-,-,-,-,-,9,4
"S00179705",155,27,50,9,-,-,-,6,-,-,-,53,9
"S00179706",125,26,34,7,-,-,-,-,-,-,-,45,14
"S00179707",97,16,27,-,-,-,-,9,-,1,-,35,9
"S00179708",106,11,36,6,-,-,-,2,1,-,-,43,4
"S00179709",104,10,35,4,-,1,-,-,-,-,-,41,14
"S00179710",118,19,51,4,-,-,-,2,1,1,-,32,4
"S00179711",101,19,37,1,-,-,-,-,-,-,-,38,3
"S00179712",66,14,13,4,-,1,-,-,-,-,-,26,4
"S00179713",132,18,41,1,-,4,-,-,-,-,-,55,18
"S00179714",84,16,30,4,-,-,-,-,-,2,-,22,11
"S00179715",99,25,26,3,-,-,-,1,-,-,1,42,3
"S00179716",139,11,58,6,-,-,-,-,1,-,-,57,1
"S00179717",67,11,22,1,-,-,-,-,-,-,-,31,2
"S00179718",69,5,15,-,-,-,-,-,-,-,-,39,7
"S00179719",85,11,22,2,-,-,-,1,-,-,-,33,12
"S00179720",122,11,42,6,-,-,-,-,-,-,1,56,6
"S00179721",70,11,25,10,-,-,-,-,-,-,-,17,7
"S00179722",144,22,37,11,-,5,-,7,-,-,-,46,12
"S00179723",73,13,23,-,1,-,-,-,-,-,1,34,-
"S00179724",84,10,19,6,-,1,-,-,1,1,-,40,4
"S00179725",93,14,45,2,-,-,-,-,-,-,-,29,-
"S00179726",81,20,17,-,1,-,-,-,-,-,-,41,4
"S00179727",79,8,19,3,-,-,-,1,-,3,-,42,3
"S00179728",87,18,33,2,-,-,-,-,-,-,-,28,7
"S00179729",108,22,44,-,-,-,-,-,-,-,2,43,1
"S00179730",70,11,22,3,-,-,-,-,-,-,-,31,9
"S00179731",80,5,40,4,-,-,-,-,-,-,-,30,1
"S00179732",72,13,24,5,2,-,-,1,-,-,-,22,4
"S00179733",113,28,46,2,-,-,-,-,-,-,-,29,8
"S00179734",64,21,16,9,-,-,-,-,-,-,-,12,4
"S00179735",125,14,81,-,-,-,-,1,-,-,-,25,3
"S00179736",125,8,60,3,-,3,-,-,-,-,-,53,-
"S00179737",144,24,44,1,-,-,2,-,-,-,-,60,10
"S00179738",79,28,20,-,-,-,-,-,-,-,-,26,5
"S00179739",65,5,17,5,-,-,-,-,-,1,-,30,7
"S00179740",149,22,38,18,-,6,-,-,2,-,1,54,6
"S00179741",96,20,18,-,1,2,-,-,-,1,1,36,17
"S00179742",109,3,42,-,-,-,-,-,-,-,2,52,11
"S00179743",125,13,35,10,-,-,-,16,-,-,1,49,2
"S00179744",96,31,32,2,-,-,-,-,-,-,-,22,8
"S00179745",115,15,43,1,-,-,-,-,-,-,-,53,3
"S00179746",83,6,24,1,-,-,-,-,-,-,-,44,5
"S00179747",80,21,27,1,-,-,-,-,-,-,-,33,2
"S00179748",72,15,28,1,-,-,-,-,-,-,1,25,-
"S00179749",181,47,53,-,-,-,-,-,-,-,-,74,5
"S00179750",100,20,18,9,-,-,-,-,-,-,-,49,3
"S00179751",125,24,39,6,-,-,-,-,-,-,-,47,8
"S00179752",122,29,28,8,-,-,-,-,-,2,1,49,5
"S00179753",121,21,37,13,-,-,-,-,-,-,2,45,1
"S00179754",91,30,19,5,-,-,-,-,-,-,-,39,2
"S00179755",93,11,39,-,-,-,-,-,-,-,1,30,15
"S00179756",98,24,29,-,-,-,-,-,-,2,-,40,6
"S00179757",75,20,28,2,-,-,-,-,-,-,-,22,6
"S00179758",90,21,33,6,-,-,-,-,-,-,-,23,6
"S00179759",96,14,14,4,1,-,-,-,1,-,-,59,5
"S00179760",95,27,22,1,-,-,-,4,-,1,-,32,10
"S00179761",82,13,25,3,-,-,-,-,-,2,1,36,2
"S00179762",93,23,31,4,1,-,-,-,-,-,-,31,3
"S00179763",112,22,40,1,-,-,-,-,1,-,-,35,12
"S00179764",66,15,22,1,-,-,-,-,-,-,1,14,9
"S00179765",113,21,24,11,1,-,-,-,-,-,-,55,4
"S00179766",140,32,33,4,-,-,-,-,-,-,-,57,14
"S00179767",117,13,40,-,-,-,-,6,-,-,-,49,8
"S00179768",80,10,24,2,-,-,-,-,-,1,-,40,2
"S00179769",122,28,43,2,-,-,-,-,-,-,-,42,6
"S00179770",83,24,21,-,-,-,-,-,-,-,-,27,12
"S00179771",93,19,11,4,-,-,-,-,-,-,1,56,1
"S00179772",107,25,48,3,-,-,-,-,-,-,-,28,3
"S00179773",129,27,42,4,-,-,-,-,-,1,-,43,17
"S00179774",126,32,32,6,-,-,-,-,-,-,-,53,3
"S00179775",141,42,25,2,-,2,-,-,-,-,-,65,4
"S00179776",122,24,26,5,-,-,-,-,-,-,1,62,4
"S00179777",76,17,18,8,-,-,-,-,-,-,-,25,6
"S00179778",110,33,54,-,-,-,-,-,-,-,1,22,6
"S00179779",87,10,27,3,-,-,-,-,-,1,-,42,6
"S00179780",126,23,39,4,-,-,-,-,-,-,-,54,8
"S00179781",100,33,31,4,-,-,-,-,-,-,-,28,2
"S00179782",121,23,32,12,-,-,-,-,-,-,-,49,5
"S00179783",122,36,31,1,-,-,-,-,-,-,-,50,3
"S00179784",149,32,35,2,-,-,-,2,-,-,-,68,11
"S00179785",109,17,51,5,-,-,-,-,-,-,-,34,2
"S00179786",71,29,20,2,-,-,-,-,-,1,-,18,3
"S00179787",123,29,28,6,-,-,-,-,-,-,-,54,6
"S00179788",100,20,36,4,-,-,-,-,-,-,1,32,4
"S00179789",124,27,34,3,-,-,-,-,-,-,-,48,8
"S00179790",137,24,41,-,-,-,-,7,-,1,-,51,10
"S00179791",167,24,52,1,-,-,-,-,-,-,-,76,15
"S00179792",198,73,57,8,-,-,-,-,-,-,-,52,9
"S00179793",83,14,5,-,-,-,-,-,-,2,-,47,14
"S00179794",209,42,64,4,-,-,-,-,-,-,-,75,23
"S00179795",179,40,50,6,-,-,-,-,-,-,1,77,5
"S00179796",183,34,62,3,4,3,-,-,-,-,-,73,2
"S00179797",117,22,27,2,-,-,-,-,-,-,-,65,4
"S00179798",75,11,21,-,-,-,-,-,-,1,-,42,-
"S00179799",98,19,35,-,-,-,-,-,-,-,-,33,9
"S00179800",93,22,16,-,-,-,-,-,-,-,-,40,16
"S00179801",73,21,21,-,-,-,-,-,-,2,-,26,4
"S00179802",120,41,22,2,1,-,-,-,-,-,-,45,10
"S00179803",122,29,21,2,-,-,-,-,-,-,-,64,6
"S00179804",83,19,11,-,-,-,-,-,-,-,-,43,8
"S00179805",98,22,16,3,-,-,-,-,-,1,-,46,10
"S00179806",82,3,10,5,-,-,-,3,-,-,-,50,7
"S00179807",95,18,17,3,1,-,-,-,-,1,-,55,-
"S00179808",102,23,35,-,-,-,-,-,-,-,-,39,5
"S00179809",101,6,24,4,-,-,-,-,-,-,-,67,-
"S00179810",96,13,15,-,1,-,-,-,-,-,-,52,11
"S00179811",162,15,93,1,-,-,-,-,-,-,-,39,10
"S00179812",137,13,23,-,5,-,-,-,-,-,-,91,9
"S00179813",182,42,35,8,-,-,-,15,-,4,-,78,1
"S00179814",178,20,26,8,1,-,-,3,-,-,-,101,18
"S00179815",160,43,27,7,-,-,-,-,-,-,-,71,12
"S00179816",107,19,12,-,-,-,-,-,-,1,-,73,3
"S00179817",131,40,25,2,1,-,-,-,-,2,2,49,10
"S00179818",97,15,26,-,-,-,4,-,-,-,-,41,7
"S00179819",109,13,26,6,-,-,-,-,-,1,-,59,2
"S00179820",162,20,25,1,-,1,-,-,3,-,-,99,11
"S00179821",111,22,24,3,-,-,-,-,-,-,1,49,12
"S00179822",100,23,21,3,1,4,-,2,-,-,-,47,1
"S00179823",64,11,15,-,-,-,-,-,-,2,-,27,4
"S00179824",119,26,28,7,-,-,-,-,-,2,-,49,10
"S00179825",109,21,52,-,-,-,-,-,-,-,-,34,2
"S00179826",87,28,10,2,-,-,-,-,-,-,-,40,7
"S00179827",79,13,23,-,-,-,-,-,-,-,-,39,4
"S00179828",145,28,62,1,-,-,-,-,-,-,-,50,4
"S00179829",98,12,32,4,-,-,-,-,-,-,2,43,4
"S00179830",74,8,26,1,-,-,-,-,-,2,-,29,5
"S00179831",169,42,63,-,-,-,1,-,-,-,-,51,11
"S00179832",134,40,35,3,-,-,-,-,-,-,-,49,7
"S00179833",76,8,16,-,3,-,-,3,-,-,-,42,4
"S00179834",183,46,62,-,-,-,-,-,-,-,-,64,13
"S00179835",81,27,27,-,-,-,-,-,-,-,-,26,1
"S00179836",86,11,28,-,-,-,-,-,-,-,-,40,4
"S00179837",117,18,28,3,2,-,-,-,-,-,-,60,11
"S00179838",118,12,27,2,-,-,-,-,-,1,-,64,12
"S00179839",113,29,57,-,-,-,-,-,-,-,-,11,10
"S00179840",79,22,29,2,-,-,-,-,-,-,-,24,3
"S00179841",143,29,46,5,-,-,-,-,-,-,-,53,10
"S00179842",116,26,22,9,-,-,-,-,-,-,-,59,7
"S00179843",81,16,21,1,-,-,-,-,-,1,-,34,8
"S00179844",154,23,43,-,-,3,-,1,-,-,1,77,6
"S00179845",88,9,15,10,-,-,-,-,-,-,-,47,5
"S00179846",101,5,19,7,-,-,-,-,-,-,-,65,8
"S00179847",95,33,19,-,-,-,-,-,-,-,-,41,2
"S00179848",133,49,28,3,-,-,-,-,-,-,1,46,3
"S00179849",125,24,24,7,1,-,-,-,-,-,-,65,7
"S00179850",65,12,20,3,-,-,-,10,-,-,-,20,-
"S00179851",155,34,53,1,-,-,-,-,-,-,-,62,7
"S00179852",154,38,83,1,-,-,-,-,-,-,-,31,3
"S00179853",77,5,16,4,-,-,-,5,-,1,-,48,2
"S00179854",91,9,10,-,-,-,-,2,-,4,-,60,7
"S00179855",97,31,24,3,-,-,-,6,-,2,-,24,4
"S00179856",72,14,12,1,-,-,-,1,-,1,-,34,7
"S00179857",137,36,37,12,-,-,-,-,-,-,1,47,3
"S00179858",63,14,10,10,-,-,-,-,-,-,-,25,-
"S00179859",105,29,36,-,-,-,-,-,-,-,-,36,4
"S00179860",98,26,45,6,-,-,-,-,-,-,-,22,3
"S00179861",106,10,36,6,1,-,-,-,-,-,-,46,6
"S00179862",118,34,48,-,-,-,-,-,-,-,-,28,8
"S00179863",142,18,32,7,-,-,-,-,-,-,-,82,3
"S00179864",126,27,28,-,-,-,-,-,-,-,1,63,3
"S00179865",133,31,55,-,-,-,-,-,-,-,-,37,10
"S00179866",85,33,31,2,-,-,-,-,-,-,-,12,7
"S00179867",74,22,18,1,-,-,-,-,-,-,-,25,6
"S00179868",81,15,30,-,-,-,-,-,-,-,2,29,-
"S00179869",120,42,28,-,-,-,-,-,-,-,-,43,4
"S00179870",78,12,18,2,-,-,-,-,-,-,-,43,2
"S00179871",84,21,13,-,-,-,-,-,-,-,1,42,7
"S00179872",61,7,13,1,-,-,-,-,-,5,-,37,-
"S00179873",97,20,54,-,-,-,-,-,-,-,-,23,4
"S00179874",145,22,47,7,-,-,-,-,-,-,-,56,12
"S00179875",71,4,28,1,-,-,-,-,-,-,-,38,1
"S00179876",83,22,20,4,-,-,-,-,-,-,-,34,2
"S00179877",118,8,49,3,-,-,-,-,-,-,-,53,5
"S00179878",117,13,53,-,-,-,-,-,-,-,-,38,7
"S00179879",144,17,54,3,-,-,-,-,-,-,-,66,2
"S00179880",164,20,41,10,-,-,-,-,-,-,-,86,8
"S00179881",106,23,50,3,-,-,-,-,-,-,-,25,9
"S00179882",151,16,43,-,-,-,-,2,-,-,-,69,22
"S00179883",66,22,24,2,-,-,-,-,-,1,1,10,3
"S00179884",97,24,32,2,-,-,-,7,-,-,-,26,3
"S00179885",99,12,22,3,-,-,1,-,-,1,-,45,18
"S00179886",107,18,18,6,-,-,-,3,-,-,-,55,7
"S00179887",63,16,11,1,1,-,-,6,-,1,-,24,3
"S00179888",116,12,45,-,-,-,-,-,-,-,-,51,9
"S00179889",114,29,35,-,-,-,-,-,-,2,-,45,4
"S00179890",91,33,25,-,-,-,-,-,-,-,-,30,-
"S00179891",87,13,30,4,-,-,1,-,-,-,-,33,8
"S00179892",153,34,46,9,-,-,-,1,-,1,-,50,7
"S00179893",61,17,18,-,-,-,-,-,-,-,-,26,-
"S00179894",70,11,20,4,-,-,-,-,-,-,-,28,4
"S00179895",161,24,76,-,-,-,-,-,-,-,-,49,10
"S00179896",63,16,11,-,-,-,-,-,-,-,-,28,8
"S00179897",127,8,74,2,-,-,-,-,-,-,-,37,6
"S00179898",72,11,30,-,-,-,-,-,-,-,-,22,9
"S00179899",82,18,31,-,-,-,-,-,-,-,-,27,6
"S00179900",76,10,30,1,-,-,-,1,-,-,-,27,3
"S00179901",102,18,42,1,2,-,-,-,-,2,-,37,5
"S00179902",85,10,29,7,-,-,-,-,-,-,-,40,3
"S00179903",86,9,24,5,-,-,-,-,-,1,1,35,13
"S00179904",101,17,44,1,-,-,-,-,-,-,-,35,1
"S00179905",81,13,22,-,1,-,-,-,-,-,-,37,4
"S00179906",67,13,10,1,-,1,-,-,-,-,-,37,9
"S00179907",89,17,53,-,-,-,-,1,-,-,-,17,1
"S00179908",167,31,61,4,-,-,-,-,-,-,-,57,8
"S00179909",109,14,46,2,-,-,-,-,-,-,-,40,8
"S00179910",67,15,22,2,-,-,-,-,-,-,-,23,2
"S00179911",236,63,66,5,-,-,-,-,-,-,-,91,11
"S00179912",91,14,37,-,-,-,-,-,-,-,-,29,8
"S00179913",136,30,38,4,1,-,-,-,-,-,-,62,2
"S00179914",147,43,21,8,-,-,-,-,-,-,-,70,4
"S00179915",94,11,36,3,-,-,-,-,-,-,-,37,7
"S00179916",104,13,43,-,-,-,-,-,-,-,-,40,8
"S00179917",78,19,31,-,-,-,-,1,-,-,-,28,3
"S00179918",76,19,21,1,-,-,-,-,-,3,-,30,-
"S00179919",81,17,25,2,1,-,-,-,-,-,-,30,1
"S00179920",108,23,47,2,-,-,-,-,-,-,-,35,-
"S00179921",86,16,27,-,-,4,-,-,-,-,-,34,10
"S00179922",167,22,79,1,-,2,-,-,-,1,-,47,13
"S00179923",77,13,25,-,-,-,-,-,-,-,-,29,6
