Scotland's Census 2022 - National Records of Scotland
Table UV205 - Religion
All people

,"All people","Church of Scotland","Roman Catholic","Other Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Pagan","Other religion","No religion","Religion not stated"
"S00135557",91,12,13,9,3,4,-,-,-,-,-,47,7
"S00135558",150,15,-,13,2,-,-,-,-,-,-,112,10
"S00135559",105,8,-,3,-,-,-,2,-,-,2,77,12
"S00135560",107,24,3,11,-,-,-,-,-,-,-,64,5
"S00135561",94,14,8,5,1,-,-,5,-,-,-,57,4
"S00135562",92,11,4,2,-,-,-,6,-,-,1,64,4
"S00135563",61,3,16,2,-,-,-,1,-,-,-,38,1
"S00135564",104,36,8,1,-,-,-,1,-,-,-,56,-
"S00135565",71,17,3,4,-,-,-,-,-,-,-,37,10
"S00135566",100,32,1,2,-,-,-,-,-,-,-,61,3
"S00135567",126,15,7,2,-,-,-,3,-,-,-,79,19
"S00135568",155,34,3,11,-,-,-,6,-,-,-,95,10
"S00135569",104,23,3,1,2,-,-,-,-,-,-,68,5
"S00135570",111,24,7,6,-,-,-,-,-,-,-,66,8
"S00135571",106,13,6,2,-,-,-,4,-,-,1,71,6
"S00135572",122,30,9,4,-,-,-,-,-,2,-,73,4
"S00135573",107,9,8,4,-,-,-,-,-,-,-,77,13
"S00135574",99,20,9,2,-,-,-,-,-,2,-,52,10
"S00135575",147,25,12,-,-,-,-,5,-,-,-,95,10
"S00135576",128,25,5,14,-,-,-,2,-,-,1,76,6
"S00135577",129,4,1,15,3,-,-,10,-,1,2,89,5
"S00135578",116,14,3,2,-,-,-,-,-,-,3,89,7
"S00135579",88,9,5,3,-,3,-,-,-,-,-,56,9
"S00135580",140,27,15,5,1,1,-,-,-,-,2,85,8
"S00135581",129,28,6,9,-,1,-,-,-,-,-,77,8
"S00135582",84,11,-,8,1,-,-,-,-,-,-,64,4
"S00135583",139,6,15,10,5,1,-,5,-,-,-,96,1
"S00135584",127,10,4,2,4,-,-,-,-,-,-,104,2
"S00135585",114,15,4,19,-,3,-,5,-,-,1,63,5
"S00135586",119,29,2,7,-,-,-,6,-,-,-,66,8
"S00135587",72,8,2,4,-,-,-,-,-,-,-,55,2
"S00135588",87,13,4,5,1,-,-,4,1,-,-,55,3
"S00135589",85,19,6,12,-,-,-,-,-,1,-,43,6
"S00135590",88,7,9,8,-,3,-,1,-,-,-,57,3
"S00135591",81,11,8,7,-,-,-,7,-,-,-,45,5
"S00135592",116,7,5,-,-,8,-,9,-,-,-,88,4
"S00135593",91,15,2,8,-,4,-,-,-,-,-,59,3
"S00135594",100,25,9,2,-,-,-,4,-,-,-,57,3
"S00135595",150,22,7,3,-,-,-,2,-,-,-,104,8
"S00135596",207,27,24,12,-,1,-,9,-,1,-,96,41
"S00135597",134,22,13,4,-,-,-,-,1,-,-,86,7
"S00135598",91,22,3,15,-,-,-,8,-,1,-,46,1
"S00135599",129,10,12,9,-,4,-,5,-,-,-,90,3
"S00135600",60,29,4,-,-,-,-,-,-,-,-,22,5
"S00135601",141,1,9,22,-,3,-,6,-,1,-,92,6
"S00135602",126,9,15,18,-,-,-,1,-,1,2,76,4
"S00135603",78,17,-,-,-,-,-,-,-,-,-,62,2
"S00135604",84,6,10,7,-,-,-,-,-,-,-,61,-
"S00135605",82,9,4,1,-,1,-,-,-,-,-,62,6
"S00135606",277,30,23,22,1,3,-,17,-,-,-,153,35
"S00135607",1720,83,213,201,6,43,-,69,4,16,1,973,107
"S00135608",98,24,6,-,-,-,-,-,-,-,3,61,4
"S00135609",108,11,20,10,-,-,-,-,-,-,-,56,12
"S00135610",157,29,8,7,-,1,-,-,-,-,1,98,13
"S00135611",90,21,1,2,-,-,-,-,-,-,-,63,3
"S00135612",156,-,10,17,2,2,-,11,-,-,-,110,2
"S00135613",121,17,10,15,1,1,-,5,-,-,-,68,4
"S00135614",111,21,4,2,-,-,-,-,-,1,-,76,6
"S00135615",167,15,10,5,-,-,-,6,-,-,-,125,5
"S00135616",73,6,15,1,2,-,-,-,-,-,-,45,3
"S00135617",108,15,9,15,1,5,-,3,-,-,-,53,8
"S00135618",76,24,4,12,1,-,-,-,-,-,-,30,4
"S00135619",62,7,7,6,-,-,-,1,-,-,-,40,4
"S00135620",131,12,5,2,-,-,-,-,-,-,-,106,6
"S00135621",135,24,15,6,-,1,-,-,-,-,-,82,9
"S00135622",91,12,14,6,2,4,-,-,-,-,-,42,9
"S00135623",129,19,2,10,-,-,-,-,-,2,2,92,3
"S00135624",94,18,13,5,-,-,-,-,-,-,-,56,2
"S00135625",132,26,10,5,1,7,-,25,-,-,-,49,9
"S00135626",66,1,6,20,-,2,-,2,-,1,-,29,3
"S00135627",134,16,8,5,-,-,-,-,-,2,-,101,2
"S00135628",155,28,7,11,-,-,1,-,1,1,-,97,8
"S00135629",168,13,19,26,-,1,-,11,-,1,-,92,9
"S00135630",114,17,12,1,-,3,-,-,-,-,1,71,8
"S00135631",166,7,9,8,-,-,-,-,-,-,-,139,6
"S00135632",167,12,51,15,-,1,-,2,-,-,5,63,18
"S00135633",66,12,1,5,-,4,-,-,-,-,-,33,10
"S00135634",76,7,6,4,-,-,-,-,-,1,1,56,-
"S00135635",120,9,9,6,-,1,-,-,-,-,2,92,1
"S00135636",103,17,7,6,-,-,-,6,-,-,-,56,6
"S00135637",129,25,18,-,-,1,-,-,-,-,-,76,9
"S00135638",77,14,4,9,-,-,-,8,-,-,-,37,6
"S00135639",71,6,13,2,-,-,1,-,-,-,-,44,6
"S00135640",127,19,7,1,-,-,-,-,-,-,-,96,8
"S00135641",93,24,4,6,-,-,-,-,-,-,2,53,6
"S00135642",186,11,37,26,2,-,-,1,-,-,1,92,16
"S00135643",95,12,16,8,-,-,-,-,-,-,-,55,5
"S00135644",74,27,-,3,-,-,-,3,-,-,-,36,4
"S00135645",82,21,4,-,-,-,-,-,-,-,-,55,2
"S00135646",73,22,-,-,-,-,-,-,-,-,-,45,5
"S00135647",151,29,13,2,-,-,-,-,-,-,-,98,11
"S00135648",117,3,41,5,-,-,-,2,-,-,-,55,12
"S00135649",90,3,24,5,1,-,-,6,-,1,-,40,6
"S00135650",110,11,18,2,2,1,-,-,-,-,4,60,13
"S00135651",115,11,7,2,1,-,-,4,-,-,1,77,12
"S00135652",87,14,-,6,-,-,1,-,-,2,-,55,4
"S00135653",87,-,15,16,1,-,-,3,-,-,-,46,2
"S00135654",73,3,20,5,-,-,-,2,-,-,2,40,1
"S00135655",105,19,12,8,-,3,-,4,-,-,-,54,10
"S00135656",105,11,36,5,-,-,-,-,1,-,1,44,7
"S00135657",121,14,20,5,-,-,-,-,-,2,1,74,4
"S00135658",90,5,13,9,-,-,-,-,-,-,-,56,3
"S00135659",135,9,44,10,-,1,-,7,-,1,2,51,8
"S00135660",112,6,26,12,1,-,-,9,-,2,-,53,7
"S00135661",66,4,6,7,-,-,-,-,-,-,-,45,2
"S00135662",119,24,11,4,-,-,-,5,-,-,1,73,1
"S00135663",115,42,6,14,-,-,-,-,-,-,-,53,2
"S00135664",174,5,37,14,4,-,-,14,-,-,2,90,11
"S00135665",102,21,10,2,-,-,-,-,-,1,-,64,3
"S00135666",87,21,-,6,-,-,-,-,-,-,-,58,5
"S00135667",165,10,22,6,-,1,-,8,-,1,-,106,11
"S00135668",138,6,32,13,-,3,-,-,-,-,-,77,8
"S00135669",137,7,24,15,-,-,-,1,-,-,-,80,10
"S00135670",157,8,31,11,2,-,-,1,-,-,-,94,9
"S00135671",85,26,7,3,-,-,-,-,-,1,-,51,-
"S00135672",103,6,20,9,-,-,-,-,-,-,4,51,15
"S00135673",87,16,4,5,1,-,-,-,-,-,-,53,6
"S00135674",96,17,5,13,-,-,-,-,-,1,-,53,7
"S00135675",144,17,5,12,-,-,-,22,-,1,-,78,12
"S00135676",73,9,3,6,3,-,-,-,-,-,2,48,4
"S00135677",76,4,11,13,-,-,-,1,-,-,-,49,3
"S00135678",104,13,10,8,1,2,-,2,-,-,-,60,13
"S00135679",77,9,12,7,-,-,-,13,-,-,-,37,1
"S00135680",114,9,22,3,-,-,-,7,-,-,-,71,2
"S00135681",120,9,22,18,-,-,-,-,-,-,-,69,6
"S00135682",87,15,4,-,-,-,-,-,-,-,-,68,-
"S00135683",101,11,32,12,-,-,-,1,-,-,-,38,5
"S00135684",70,10,14,7,-,-,-,2,-,1,1,33,2
"S00135685",152,13,22,6,-,-,-,-,-,-,-,89,14
"S00135686",103,39,9,10,-,-,-,-,-,-,-,41,10
"S00135687",119,4,8,25,-,-,-,-,-,3,-,69,14
"S00135688",121,20,2,3,-,-,-,-,-,-,1,87,11
"S00135689",97,4,31,2,1,2,-,-,-,1,3,45,7
"S00135690",120,13,9,2,-,-,-,-,-,4,-,76,11
"S00135691",120,4,35,10,-,-,-,1,-,-,1,61,4
"S00135692",72,6,8,3,-,-,-,-,-,-,2,53,-
"S00135693",108,16,14,9,-,-,-,-,-,-,-,63,4
"S00135694",90,22,-,-,-,-,-,-,-,-,-,64,5
"S00135695",75,14,-,5,1,-,-,2,-,-,-,49,2
"S00135696",56,2,7,10,1,5,-,4,-,-,-,35,-
"S00135697",121,8,16,17,1,3,-,13,5,-,1,50,6
"S00135698",139,5,24,9,1,-,-,6,-,-,2,76,13
"S00135699",152,11,19,10,-,-,-,-,-,-,1,104,1
"S00135700",66,-,18,2,-,-,-,-,-,2,-,43,1
"S00135701",97,10,10,5,-,6,-,8,-,-,-,56,2
"S00135702",104,20,11,1,-,-,-,-,-,-,1,68,6
"S00135703",68,7,7,-,1,-,-,6,-,-,2,42,10
"S00135704",62,1,6,8,-,-,-,2,-,1,-,40,5
"S00135705",100,3,19,10,-,-,-,4,-,-,-,51,10
"S00135706",149,4,24,10,-,-,-,35,-,-,-,73,4
"S00135707",65,8,9,3,-,-,-,2,-,-,-,47,-
"S00135708",125,13,20,5,-,3,-,3,1,-,-,61,20
"S00135709",122,11,21,9,-,-,-,1,-,1,-,77,2
"S00135710",70,5,19,3,-,-,-,-,-,1,-,43,-
"S00135711",90,9,14,6,-,-,-,2,-,-,1,37,14
"S00135712",135,7,25,14,-,1,-,3,-,1,-,69,13
"S00135713",85,3,9,7,2,-,-,1,-,-,-,55,7
"S00135714",120,13,7,9,-,2,-,1,-,-,-,80,9
"S00135715",117,23,8,13,1,-,-,2,-,-,-,66,4
"S00135716",121,21,8,6,1,-,-,5,-,-,-,71,9
"S00135717",108,11,8,14,-,-,-,6,-,2,2,59,8
"S00135718",71,12,2,6,-,4,-,4,-,-,-,43,-
"S00135719",183,17,38,7,-,-,-,-,1,-,1,102,12
"S00135720",204,22,27,4,-,-,-,-,-,-,-,138,12
"S00135721",161,18,9,19,-,-,-,-,-,-,-,107,2
"S00135722",75,6,17,5,-,-,-,-,-,-,-,38,8
"S00135723",77,16,3,17,-,-,-,-,2,1,-,32,6
"S00135724",88,9,8,5,-,-,-,-,-,1,-,61,2
"S00135725",128,6,20,-,-,-,-,9,-,-,-,82,10
"S00135726",169,6,32,4,-,-,-,13,-,-,-,104,10
"S00135727",135,10,29,18,1,4,-,9,-,3,5,40,10
"S00135728",100,16,11,2,-,-,-,-,-,2,-,67,4
"S00135729",96,21,9,8,-,-,-,-,-,1,-,52,5
