Scotland's Census 2022 - National Records of Scotland
Table UV211 - British Sign Language (BSL) skills
All people aged 3 and over

,"All people aged 3 and over","BSL User","Not a BSL user"
"S00160383",136,-,134
"S00160384",148,10,138
"S00160385",67,2,65
"S00160386",88,1,87
"S00160387",123,5,118
"S00160388",196,7,192
"S00160389",165,3,162
"S00160390",87,2,84
"S00160391",96,7,89
"S00160392",93,4,90
"S00160393",172,2,170
"S00160394",79,-,79
"S00160395",73,3,73
"S00160396",69,8,60
"S00160397",166,2,164
"S00160398",145,-,145
"S00160399",76,2,74
"S00160400",88,-,88
"S00160401",80,1,77
"S00160402",92,3,90
"S00160403",215,3,212
"S00160404",140,2,138
"S00160405",68,2,70
"S00160406",133,-,133
"S00160407",143,3,140
"S00160408",154,6,148
"S00160409",148,-,148
"S00160410",104,-,104
"S00160411",119,2,118
"S00160412",130,2,128
"S00160413",136,12,124
"S00160414",123,2,119
"S00160415",120,2,118
"S00160416",92,2,93
"S00160417",64,4,60
"S00160418",78,5,71
"S00160419",83,-,83
"S00160420",238,17,221
"S00160421",67,4,63
"S00160422",159,4,155
"S00160423",80,2,82
"S00160424",147,2,145
"S00160425",113,2,107
"S00160426",196,2,199
"S00160427",101,4,98
"S00160428",63,3,60
"S00160429",110,1,108
"S00160430",95,3,92
"S00160431",67,3,61
"S00160432",127,5,122
"S00160433",225,7,214
"S00160434",89,7,82
"S00160435",65,-,65
"S00160436",67,-,67
"S00160437",111,1,110
"S00160438",129,3,122
"S00160439",61,-,61
"S00160440",75,11,64
"S00160441",78,2,80
"S00160442",111,2,109
"S00160443",126,2,124
"S00160444",76,-,76
"S00160445",126,3,123
"S00160446",67,2,65
"S00160447",102,2,100
"S00160448",65,3,62
"S00160449",144,1,143
"S00160450",69,2,68
"S00160451",75,1,71
"S00160452",101,3,95
"S00160453",184,4,180
"S00160454",76,-,76
"S00160455",125,1,132
"S00160456",113,-,112
"S00160457",84,-,83
"S00160458",126,4,115
"S00160459",119,-,119
"S00160460",67,-,67
"S00160461",58,-,58
"S00160462",68,1,67
"S00160463",104,1,103
"S00160464",109,-,108
"S00160465",127,-,126
"S00160466",118,5,111
"S00160467",99,4,98
"S00160468",117,1,117
"S00160469",78,9,70
"S00160470",110,2,108
"S00160471",88,-,90
"S00160472",99,2,97
"S00160473",94,1,93
"S00160474",89,-,89
"S00160475",80,3,77
"S00160476",98,4,97
"S00160477",83,2,80
"S00160478",134,4,130
"S00160479",116,7,109
"S00160480",58,3,55
"S00160481",128,7,121
"S00160482",80,-,79
"S00160483",131,2,129
"S00160484",111,2,109
"S00160485",87,4,83
"S00160486",147,1,146
"S00160487",90,4,87
"S00160488",159,-,159
"S00160489",61,-,61
"S00160490",78,4,74
"S00160491",125,2,123
"S00160492",109,-,109
"S00160493",159,3,159
"S00160494",173,5,170
"S00160495",75,-,75
"S00160496",94,-,94
"S00160497",162,4,160
"S00160498",80,-,80
"S00160499",163,1,162
"S00160500",189,16,173
"S00160501",109,6,102
"S00160502",90,1,90
"S00160503",144,3,141
"S00160504",119,1,118
"S00160505",94,-,94
"S00160506",159,-,159
"S00160507",103,2,102
"S00160508",85,4,81
"S00160509",93,2,91
"S00160510",116,4,112
"S00160511",137,8,127
"S00160512",108,-,106
"S00160513",122,2,118
"S00160514",207,5,202
"S00160515",71,-,70
"S00160516",117,5,112
"S00160517",82,4,78
"S00160518",124,3,125
"S00160519",60,1,59
"S00160520",96,-,98
"S00160521",110,-,110
"S00160522",74,1,73
"S00160523",111,1,109
"S00160524",160,2,159
"S00160525",112,-,111
"S00160526",156,3,153
"S00160527",108,4,105
"S00160528",158,8,150
"S00160529",125,-,125
"S00160530",215,6,209
"S00160531",120,4,117
"S00160532",114,4,110
"S00160533",160,1,162
"S00160534",115,3,112
"S00160535",115,1,118
"S00160536",70,-,69
"S00160537",147,-,147
"S00160538",84,-,84
"S00160539",115,-,113
"S00160540",60,-,60
"S00160541",68,1,67
"S00160542",75,5,66
"S00160543",164,4,160
"S00160544",66,1,65
"S00160545",164,1,163
"S00160546",81,1,79
"S00160547",114,3,112
"S00160548",68,2,66
"S00160549",143,-,143
"S00160550",89,-,88
"S00160551",83,2,81
"S00160552",136,3,133
"S00160553",217,-,217
"S00160554",116,2,114
"S00160555",74,7,67
"S00160556",164,3,161
"S00160557",97,4,93
"S00160558",116,-,115
"S00160559",87,2,85
"S00160560",90,-,90
"S00160561",77,4,77
"S00160562",77,1,76
"S00160563",100,-,100
"S00160564",98,2,96
"S00160565",127,1,126
"S00160566",118,3,116
"S00160567",93,6,87
"S00160568",100,4,96
"S00160569",156,1,155
"S00160570",159,6,153
"S00160571",171,8,163
"S00160572",70,1,69
"S00160573",93,1,92
"S00160574",120,3,120
"S00160575",152,2,150
"S00160576",93,4,91
"S00160577",61,-,61
"S00160578",82,2,80
"S00160579",66,-,66
"S00160580",98,2,96
"S00160581",156,4,152
"S00160582",85,3,82
"S00160583",86,1,85
"S00160584",129,5,124
"S00160585",182,2,180
"S00160586",80,3,77
"S00160587",115,8,107
"S00160588",102,-,103
"S00160589",84,1,81
"S00160590",84,2,82
"S00160591",84,7,79
"S00160592",145,2,147
"S00160593",86,2,84
"S00160594",135,3,136
"S00160595",71,-,71
"S00160596",111,-,111
"S00160597",118,2,114
"S00160598",126,-,126
"S00160599",145,5,141
"S00160600",75,-,75
"S00160601",109,4,105
"S00160602",82,4,80
"S00160603",164,6,159
"S00160604",90,-,90
"S00160605",216,4,212
"S00160606",129,4,122
"S00160607",146,3,144
"S00160608",99,-,99
"S00160609",105,2,107
"S00160610",141,2,141
"S00160611",129,1,131
"S00160612",113,3,110
"S00160613",94,2,93
"S00160614",74,3,71
"S00160615",153,5,148
"S00160616",77,3,74
"S00160617",83,2,82
"S00160618",69,-,69
"S00160619",137,-,137
"S00160620",118,10,112
"S00160621",155,5,152
"S00160622",145,5,140
"S00160623",136,2,134
"S00160624",122,1,117
"S00160625",119,6,114
"S00160626",110,9,103
"S00160627",96,-,96
"S00160628",107,1,106
"S00160629",82,1,84
"S00160630",68,-,67
"S00160631",95,2,91
"S00160632",129,3,129
"S00160633",124,15,109
"S00160634",164,4,160
"S00160635",198,9,188
"S00160636",92,3,89
"S00160637",96,-,96
"S00160638",129,4,125
"S00160639",153,4,152
"S00160640",110,-,112
"S00160641",107,5,99
"S00160642",106,4,102
"S00160643",100,-,100
"S00160644",140,4,136
"S00160645",105,1,106
"S00160646",83,-,83
"S00160647",104,2,102
"S00160648",181,1,180
"S00160649",150,-,150
"S00160650",90,7,86
"S00160651",80,2,77
"S00160652",164,6,158
"S00160653",84,-,84
"S00160654",118,6,112
"S00160655",65,-,64
"S00160656",208,1,207
"S00160657",80,2,78
"S00160658",75,-,75
"S00160659",107,3,105
"S00160660",109,3,106
"S00160661",94,2,92
"S00160662",114,-,114
"S00160663",133,10,126
"S00160664",237,14,229
"S00160665",113,-,113
"S00160666",119,11,108
"S00160667",118,-,118
"S00160668",80,3,78
"S00160669",219,2,221
"S00160670",170,7,163
"S00160671",123,3,120
"S00160672",120,3,117
"S00160673",106,-,106
"S00160674",120,4,116
"S00160675",86,3,88
"S00160676",77,1,75
"S00160677",144,4,140
"S00160678",117,2,115
"S00160679",63,1,66
"S00160680",100,1,101
"S00160681",120,-,119
"S00160682",58,-,58
"S00160683",129,2,128
"S00160684",148,6,143
"S00160685",135,-,135
"S00160686",192,3,189
"S00160687",98,1,97
"S00160688",98,4,94
"S00160689",88,-,88
"S00160690",298,-,296
"S00160691",87,1,86
"S00160692",58,-,57
"S00160693",108,4,107
"S00160694",117,3,114
"S00160695",106,5,101
"S00160696",175,-,175
"S00160697",150,5,145
"S00160698",129,7,122
"S00160699",60,2,58
"S00160700",163,3,160
"S00160701",150,-,150
"S00160702",77,3,74
"S00160703",165,2,161
"S00160704",102,4,98
"S00160705",76,3,76
"S00160706",227,5,222
"S00160707",111,4,108
"S00160708",198,5,193
"S00160709",105,2,104
"S00160710",78,3,75
"S00160711",118,-,118
"S00160712",139,-,139
"S00160713",93,-,93
"S00160714",113,1,112
"S00160715",81,-,81
"S00160716",163,2,162
"S00160717",114,-,114
"S00160718",72,7,67
"S00160719",116,2,117
"S00160720",90,3,87
"S00160721",124,4,118
"S00160722",58,8,53
"S00160723",108,3,105
"S00160724",155,7,148
"S00160725",125,5,122
"S00160726",95,2,97
"S00160727",71,-,71
"S00160728",244,5,239
"S00160729",146,-,141
"S00160730",60,2,58
"S00160731",144,2,138
"S00160732",136,1,135
"S00160733",89,1,88
"S00160734",114,6,105
"S00160735",155,4,150
"S00160736",109,-,109
"S00160737",128,6,126
"S00160738",113,4,109
"S00160739",110,1,110
"S00160740",125,-,124
"S00160741",67,-,67
"S00160742",115,7,108
"S00160743",99,-,99
"S00160744",105,3,105
"S00160745",118,-,118
"S00160746",174,2,170
"S00160747",108,4,107
"S00160748",139,3,136
"S00160749",89,-,89
"S00160750",107,-,107
"S00160751",81,-,81
"S00160752",122,-,122
"S00160753",192,1,192
"S00160754",139,9,130
"S00160755",150,4,146
"S00160756",86,1,85
"S00160757",109,2,108
"S00160758",161,7,151
"S00160759",163,7,156
"S00160760",81,1,80
"S00160761",80,2,77
"S00160762",130,1,131
"S00160763",131,-,129
"S00160764",72,1,71
"S00160765",170,2,168
"S00160766",151,2,149
"S00160767",78,5,73
"S00160768",162,1,161
"S00160769",95,4,88
"S00160770",225,6,217
"S00160771",74,3,71
"S00160772",83,3,84
"S00160773",60,-,60
"S00160774",128,6,122
"S00160775",111,1,110
"S00160776",93,4,85
"S00160777",136,1,139
"S00160778",125,2,120
"S00160779",122,9,113
"S00160780",100,6,95
"S00160781",104,4,100
"S00160782",81,-,81
"S00160783",167,4,165
"S00160784",83,6,80
"S00160785",142,2,140
"S00160786",119,1,115
"S00160787",72,3,68
"S00160788",123,9,114
"S00160789",71,-,71
"S00160790",137,7,131
"S00160791",147,14,133
"S00160792",72,-,72
"S00160793",148,1,148
"S00160794",141,2,136
"S00160795",183,10,173
"S00160796",59,-,58
"S00160797",84,-,84
"S00160798",79,3,76
"S00160799",100,2,99
"S00160800",84,3,81
"S00160801",63,5,58
"S00160802",61,3,58
"S00160803",150,2,149
"S00160804",67,2,66
"S00160805",81,4,74
"S00160806",128,2,124
"S00160807",117,8,105
"S00160808",120,1,123
"S00160809",130,6,126
"S00160810",89,-,89
"S00160811",105,1,104
"S00160812",110,2,108
"S00160813",125,4,119
"S00160814",104,2,101
"S00160815",180,1,178
"S00160816",130,6,125
"S00160817",60,-,60
"S00160818",119,2,117
"S00160819",73,3,70
"S00160820",70,2,68
"S00160821",81,-,81
"S00160822",165,1,161
"S00160823",62,4,64
"S00160824",109,2,107
"S00160825",119,10,106
"S00160826",88,-,87
"S00160827",121,3,118
"S00160828",152,2,150
"S00160829",122,9,113
"S00160830",91,5,86
"S00160831",73,4,66
"S00160832",70,2,68
"S00160833",84,2,81
"S00160834",77,-,77
"S00160835",201,4,197
"S00160836",66,1,65
"S00160837",117,1,114
"S00160838",60,1,59
"S00160839",89,2,85
"S00160840",133,4,131
"S00160841",124,-,124
"S00160842",106,4,102
"S00160843",76,3,73
"S00160844",154,3,151
"S00160845",86,-,86
"S00160846",89,-,89
"S00160847",137,7,127
"S00160848",95,-,95
"S00160849",165,2,160
"S00160850",87,-,87
"S00160851",115,6,109
"S00160852",218,3,212
"S00160853",129,4,127
"S00160854",111,1,106
"S00160855",154,11,143
"S00160856",127,-,127
"S00160857",189,15,181
"S00160858",161,-,161
"S00160859",69,2,68
"S00160860",86,-,86
"S00160861",191,11,183
"S00160862",70,-,70
"S00160863",174,2,172
"S00160864",194,4,190
"S00160865",134,5,131
"S00160866",129,2,127
"S00160867",101,4,95
"S00160868",93,4,91
"S00160869",97,-,97
"S00160870",259,14,245
"S00160871",131,9,122
"S00160872",162,2,160
"S00160873",90,2,88
"S00160874",79,3,76
"S00160875",109,4,105
"S00160876",120,2,118
"S00160877",145,2,144
"S00160878",142,4,139
"S00160879",140,3,137
"S00160880",130,4,126
"S00160881",119,1,120
"S00160882",91,-,89
"S00160883",74,-,74
"S00160884",92,3,89
"S00160885",112,3,109
"S00160886",156,8,148
"S00160887",130,3,127
"S00160888",59,-,58
"S00160889",89,7,84
"S00160890",122,1,121
"S00160891",66,-,66
"S00160892",115,3,111
"S00160893",81,1,80
"S00160894",112,4,108
"S00160895",145,8,138
"S00160896",95,1,94
"S00160897",66,-,66
"S00160898",146,5,141
"S00160899",121,2,119
"S00160900",115,4,110
"S00160901",150,6,144
"S00160902",108,2,106
"S00160903",148,6,143
"S00160904",103,3,99
"S00160905",99,4,96
"S00160906",80,4,76
"S00160907",78,1,75
"S00160908",101,-,101
"S00160909",115,10,112
"S00160910",103,6,97
"S00160911",143,4,139
"S00160912",146,-,144
"S00160913",191,12,178
"S00160914",114,2,112
"S00160915",129,12,123
"S00160916",92,-,92
"S00160917",84,2,81
"S00160918",140,1,134
"S00160919",127,6,117
"S00160920",90,3,84
"S00160921",95,3,93
"S00160922",91,-,91
"S00160923",96,1,95
"S00160924",122,2,119
"S00160925",78,2,76
"S00160926",265,2,259
"S00160927",301,-,303
"S00160928",110,4,108
"S00160929",142,14,131
"S00160930",202,4,198
"S00160931",131,-,131
"S00160932",89,-,89
"S00160933",132,5,127
"S00160934",98,4,96
"S00160935",137,14,123
"S00160936",72,-,70
"S00160937",127,4,123
"S00160938",155,1,155
"S00160939",161,5,157
"S00160940",63,-,63
"S00160941",117,5,112
"S00160942",171,6,167
"S00160943",81,3,77
"S00160944",124,-,124
"S00160945",103,5,98
"S00160946",94,1,95
"S00160947",185,2,187
"S00160948",178,4,174
"S00160949",63,1,62
"S00160950",71,4,65
"S00160951",116,1,115
"S00160952",64,2,58
"S00160953",253,4,246
"S00160954",126,5,119
"S00160955",174,-,173
"S00160956",73,4,69
"S00160957",164,5,159
"S00160958",151,7,144
"S00160959",101,8,93
"S00160960",97,5,91
"S00160961",134,1,133
"S00160962",84,1,82
"S00160963",126,8,118
"S00160964",210,2,208
"S00160965",139,4,135
"S00160966",121,-,121
"S00160967",122,1,121
"S00160968",128,1,127
"S00160969",186,4,182
"S00160970",113,8,101
"S00160971",115,4,111
"S00160972",85,3,82
"S00160973",80,2,78
"S00160974",109,-,109
"S00160975",101,1,97
"S00160976",82,2,76
"S00160977",85,-,85
"S00160978",160,1,159
"S00160979",80,1,78
"S00160980",137,4,131
"S00160981",99,2,97
"S00160982",69,2,67
"S00160983",163,5,157
"S00160984",103,-,103
"S00160985",79,-,79
"S00160986",174,5,171
"S00160987",138,-,138
"S00160988",123,2,121
"S00160989",106,4,102
"S00160990",133,1,132
"S00160991",65,4,63
"S00160992",67,-,67
"S00160993",89,3,86
"S00160994",81,-,81
"S00160995",86,-,86
"S00160996",75,-,75
"S00160997",117,3,114
"S00160998",109,3,104
"S00160999",116,4,112
"S00161000",92,-,92
"S00161001",95,3,94
"S00161002",108,-,108
"S00161003",96,1,95
"S00161004",95,1,94
"S00161005",118,-,118
"S00161006",105,2,103
"S00161007",88,3,85
"S00161008",80,3,77
"S00161009",222,-,222
"S00161010",157,8,151
"S00161011",70,-,70
"S00161012",207,1,204
"S00161013",93,1,92
"S00161014",108,-,108
"S00161015",103,2,101
"S00161016",152,7,141
"S00161017",131,3,129
"S00161018",97,2,95
"S00161019",125,5,123
"S00161020",80,3,77
"S00161021",149,1,146
"S00161022",192,3,185
"S00161023",112,-,112
"S00161024",173,7,166
"S00161025",166,4,162
"S00161026",88,2,86
"S00161027",100,2,98
"S00161028",120,1,119
"S00161029",173,3,170
"S00161030",87,3,84
"S00161031",121,3,118
"S00161032",118,3,119
"S00161033",121,4,119
"S00161034",70,-,70
"S00161035",83,4,79
"S00161036",166,-,165
"S00161037",70,2,68
"S00161038",96,1,99
"S00161039",86,-,88
"S00161040",172,4,170
"S00161041",100,2,97
"S00161042",157,1,154
"S00161043",123,2,121
"S00161044",79,4,76
"S00161045",58,-,58
"S00161046",118,4,115
"S00161047",75,-,75
"S00161048",140,2,138
"S00161049",173,7,166
"S00161050",92,1,91
"S00161051",178,2,176
"S00161052",231,9,222
"S00161053",199,-,199
"S00161054",132,5,127
"S00161055",97,-,97
"S00161056",139,4,137
"S00161057",173,2,169
"S00161058",102,-,102
"S00161059",76,-,74
"S00161060",67,3,64
"S00161061",86,-,86
"S00161062",118,-,118
"S00161063",80,1,79
"S00161064",169,5,164
"S00161065",115,1,114
"S00161066",115,6,110
"S00161067",145,4,141
"S00161068",147,3,144
"S00161069",124,4,120
"S00161070",121,5,116
"S00161071",123,1,121
"S00161072",155,-,154
"S00161073",111,-,111
"S00161074",124,1,123
"S00161075",100,-,100
"S00161076",189,2,187
"S00161077",108,-,108
"S00161078",166,11,152
"S00161079",133,2,128
"S00161080",61,1,59
"S00161081",81,1,80
"S00161082",99,2,98
"S00161083",97,1,96
"S00161084",96,2,94
"S00161085",125,2,123
"S00161086",166,4,162
"S00161087",93,6,87
"S00161088",109,3,102
"S00161089",106,2,104
"S00161090",90,1,89
"S00161091",117,3,117
"S00161092",97,2,95
"S00161093",169,10,160
"S00161094",121,-,121
"S00161095",114,6,108
"S00161096",79,2,77
"S00161097",87,3,85
"S00161098",86,-,86
"S00161099",96,-,96
"S00161100",133,5,126
"S00161101",123,5,118
"S00161102",77,-,77
"S00161103",205,7,198
"S00161104",102,1,101
"S00161105",105,2,98
"S00161106",145,-,145
"S00161107",76,-,76
"S00161108",133,9,126
"S00161109",127,4,123
"S00161110",123,3,120
"S00161111",83,1,82
"S00161112",91,-,89
"S00161113",110,6,108
"S00161114",103,2,101
"S00161115",108,3,105
"S00161116",115,6,109
"S00161117",104,1,101
"S00161118",73,2,72
"S00161119",115,1,112
"S00161120",72,-,72
"S00161121",100,-,100
"S00161122",143,1,142
"S00161123",69,1,68
"S00161124",106,-,106
"S00161125",118,-,116
"S00161126",155,1,156
"S00161127",82,6,73
"S00161128",101,6,95
"S00161129",87,4,83
"S00161130",83,-,83
"S00161131",118,6,112
"S00161132",88,3,85
"S00161133",84,2,85
"S00161134",112,-,110
"S00161135",78,-,78
"S00161136",148,5,143
"S00161137",99,3,96
"S00161138",89,1,88
"S00161139",183,-,183
"S00161140",111,-,109
"S00161141",124,6,116
"S00161142",120,-,120
"S00161143",105,5,97
"S00161144",113,4,110
"S00161145",116,-,116
"S00161146",90,4,88
"S00161147",88,6,79
"S00161148",110,4,106
"S00161149",112,1,110
"S00161150",68,1,67
"S00161151",102,2,96
"S00161152",92,1,91
"S00161153",85,1,84
"S00161154",82,4,78
"S00161155",134,2,132
"S00161156",216,8,205
"S00161157",109,1,108
"S00161158",69,3,66
"S00161159",129,4,126
"S00161160",91,-,91
"S00161161",73,1,72
"S00161162",78,1,77
"S00161163",76,-,78
"S00161164",62,-,62
"S00161165",170,6,164
"S00161166",101,4,97
"S00161167",63,-,63
"S00161168",84,-,83
"S00161169",108,5,99
"S00161170",115,2,113
"S00161171",64,1,59
"S00161172",143,2,141
"S00161173",85,2,80
"S00161174",240,14,220
"S00161175",119,4,115
"S00161176",98,1,94
"S00161177",113,1,111
"S00161178",186,8,177
"S00161179",140,2,137
"S00161180",108,1,107
"S00161181",72,2,70
"S00161182",83,1,82
"S00161183",127,1,126
"S00161184",77,2,79
"S00161185",119,4,115
"S00161186",119,1,118
"S00161187",108,-,108
"S00161188",201,8,193
"S00161189",136,-,136
"S00161190",106,2,106
"S00161191",85,-,85
"S00161192",138,3,135
"S00161193",114,2,108
"S00161194",127,3,124
"S00161195",113,2,112
"S00161196",94,-,92
"S00161197",163,5,158
"S00161198",81,2,79
"S00161199",79,-,79
"S00161200",68,1,67
"S00161201",92,-,92
"S00161202",96,2,90
"S00161203",75,1,74
"S00161204",78,6,69
"S00161205",153,3,155
"S00161206",75,3,73
"S00161207",131,4,127
"S00161208",150,1,150
"S00161209",113,5,109
"S00161210",97,-,97
"S00161211",88,3,85
"S00161212",97,1,96
"S00161213",84,1,83
"S00161214",107,1,105
"S00161215",67,2,65
"S00161216",123,5,118
"S00161217",150,4,146
"S00161218",187,5,183
"S00161219",82,-,82
"S00161220",80,1,79
"S00161221",75,-,75
"S00161222",89,2,87
"S00161223",83,3,81
"S00161224",116,3,112
"S00161225",175,5,170
"S00161226",129,2,126
"S00161227",85,2,83
"S00161228",103,2,105
"S00161229",134,5,129
"S00161230",104,1,103
"S00161231",71,1,64
"S00161232",103,2,101
"S00161233",99,2,97
"S00161234",89,2,91
"S00161235",114,1,113
"S00161236",61,2,59
"S00161237",92,1,91
"S00161238",141,1,140
"S00161239",108,3,103
"S00161240",116,1,115
"S00161241",121,3,118
"S00161242",96,1,95
"S00161243",123,1,121
"S00161244",103,2,101
"S00161245",70,2,68
"S00161246",61,1,60
"S00161247",115,1,116
"S00161248",102,9,91
"S00161249",91,3,88
"S00161250",80,-,80
"S00161251",112,-,112
"S00161252",66,4,64
"S00161253",89,-,89
"S00161254",117,6,111
"S00161255",147,3,144
"S00161256",126,4,124
"S00161257",101,7,94
"S00161258",68,2,66
"S00161259",184,2,182
"S00161260",89,-,89
"S00161261",67,-,67
"S00161262",81,-,80
"S00161263",149,4,147
"S00161264",97,2,95
"S00161265",117,1,116
"S00161266",133,1,132
"S00161267",68,2,66
"S00161268",85,1,81
"S00161269",103,5,98
"S00161270",101,1,100
"S00161271",168,6,162
"S00161272",108,-,108
"S00161273",134,2,132
"S00161274",75,1,74
"S00161275",111,1,110
"S00161276",98,2,97
"S00161277",144,1,141
"S00161278",123,2,121
"S00161279",93,-,93
"S00161280",86,4,81
"S00161281",80,2,78
"S00161282",73,-,73
"S00161283",104,1,103
"S00161284",82,-,82
"S00161285",123,2,121
"S00161286",76,6,66
"S00161287",88,1,87
"S00161288",76,-,76
"S00161289",128,3,125
"S00161290",101,3,94
"S00161291",123,6,117
"S00161292",95,1,98
"S00161293",82,2,81
"S00161294",137,2,133
"S00161295",152,1,150
"S00161296",130,4,130
"S00161297",123,2,121
"S00161298",107,-,107
"S00161299",212,4,212
"S00161300",141,5,136
"S00161301",79,3,76
"S00161302",68,2,66
"S00161303",81,4,76
"S00161304",98,1,97
"S00161305",91,-,91
"S00161306",79,1,74
"S00161307",75,1,73
"S00161308",99,2,96
"S00161309",150,3,147
"S00161310",74,2,76
"S00161311",81,-,81
"S00161312",91,-,91
"S00161313",93,-,92
"S00161314",67,3,64
"S00161315",181,8,169
"S00161316",181,3,176
"S00161317",91,2,90
"S00161318",111,5,108
"S00161319",117,6,111
"S00161320",85,2,84
"S00161321",60,-,60
"S00161322",85,-,85
"S00161323",110,-,110
"S00161324",113,2,111
"S00161325",104,-,104
"S00161326",121,3,121
"S00161327",81,1,78
"S00161328",123,3,124
"S00161329",79,1,78
"S00161330",156,-,155
"S00161331",130,4,126
"S00161332",116,2,112
"S00161333",75,4,71
"S00161334",99,-,98
"S00161335",74,2,73
"S00161336",155,3,156
"S00161337",89,-,89
"S00161338",80,-,80
"S00161339",67,-,67
"S00161340",74,1,73
"S00161341",64,2,62
"S00161342",129,7,122
"S00161343",86,1,83
"S00161344",108,1,107
"S00161345",93,2,91
"S00161346",74,-,73
"S00161347",193,4,189
"S00161348",92,-,92
"S00161349",105,1,103
"S00161350",72,-,72
"S00161351",67,-,67
"S00161352",125,4,121
"S00161353",98,-,97
"S00161354",63,2,61
"S00161355",71,2,66
"S00161356",176,5,173
"S00161357",156,-,156
"S00161358",74,1,73
"S00161359",80,4,73
"S00161360",71,1,66
"S00161361",113,4,109
"S00161362",136,1,135
"S00161363",150,2,145
"S00161364",137,4,129
"S00161365",146,7,139
"S00161366",64,2,62
"S00161367",76,1,71
"S00161368",106,2,104
"S00161369",143,3,140
"S00161370",63,1,62
"S00161371",157,8,152
"S00161372",115,1,114
"S00161373",99,3,96
"S00161374",102,4,98
"S00161375",93,1,88
"S00161376",122,-,122
"S00161377",116,7,109
"S00161378",95,1,94
"S00161379",113,3,113
"S00161380",59,3,56
"S00161381",143,-,144
"S00161382",90,3,87
"S00161383",130,1,129
"S00161384",89,2,88
"S00161385",132,6,130
"S00161386",66,2,64
"S00161387",165,-,165
"S00161388",73,2,71
"S00161389",140,1,139
"S00161390",69,6,64
"S00161391",142,1,141
"S00161392",102,2,99
"S00161393",80,1,79
"S00161394",141,3,141
"S00161395",68,-,67
"S00161396",102,3,100
"S00161397",86,-,86
"S00161398",78,5,73
"S00161399",58,1,57
"S00161400",148,-,149
"S00161401",83,2,83
"S00161402",133,2,132
"S00161403",79,2,81
"S00161404",152,5,147
"S00161405",67,5,62
"S00161406",190,1,193
"S00161407",156,2,154
"S00161408",139,3,136
"S00161409",79,2,77
"S00161410",104,3,101
"S00161411",209,1,210
"S00161412",75,-,73
"S00161413",102,3,99
"S00161414",112,3,109
"S00161415",86,-,86
"S00161416",110,-,110
"S00161417",87,1,85
"S00161418",111,-,109
"S00161419",110,4,106
"S00161420",160,3,157
"S00161421",106,-,105
"S00161422",94,-,94
"S00161423",76,4,73
"S00161424",134,-,134
"S00161425",84,-,84
"S00161426",116,1,117
"S00161427",164,4,160
"S00161428",97,2,95
"S00161429",110,-,110
"S00161430",201,6,197
"S00161431",91,1,90
"S00161432",114,3,111
"S00161433",127,-,127
"S00161434",144,2,142
"S00161435",82,-,85
"S00161436",142,2,140
"S00161437",99,2,97
"S00161438",66,-,66
"S00161439",101,1,101
"S00161440",73,3,71
"S00161441",103,3,96
"S00161442",138,2,137
"S00161443",96,-,96
"S00161444",228,1,227
"S00161445",125,-,125
"S00161446",93,-,93
"S00161447",102,1,101
"S00161448",72,-,72
"S00161449",81,3,78
"S00161450",103,2,101
"S00161451",111,1,107
"S00161452",122,1,121
"S00161453",103,7,96
"S00161454",133,3,126
"S00161455",152,2,147
"S00161456",97,2,93
"S00161457",118,-,118
"S00161458",118,-,118
"S00161459",168,6,162
"S00161460",79,1,78
"S00161461",99,2,98
"S00161462",72,1,71
"S00161463",137,2,136
"S00161464",104,4,101
"S00161465",169,-,169
"S00161466",75,3,72
"S00161467",122,3,122
"S00161468",58,-,58
"S00161469",78,-,78
"S00161470",150,-,150
"S00161471",95,1,94
"S00161472",96,2,94
"S00161473",106,-,106
"S00161474",95,3,93
"S00161475",151,6,145
"S00161476",102,4,96
"S00161477",198,6,192
"S00161478",77,4,69
"S00161479",71,2,66
"S00161480",142,1,141
"S00161481",81,-,81
"S00161482",114,6,110
"S00161483",113,-,113
"S00161484",118,3,113
"S00161485",113,4,109
"S00161486",155,1,154
"S00161487",158,11,147
"S00161488",141,5,138
"S00161489",136,2,134
"S00161490",118,8,113
"S00161491",107,4,105
"S00161492",164,4,160
"S00161493",118,3,111
"S00161494",187,2,183
"S00161495",110,-,108
"S00161496",84,-,84
"S00161497",62,1,61
"S00161498",136,10,129
"S00161499",75,-,74
"S00161500",73,1,73
"S00161501",96,1,95
"S00161502",72,-,72
"S00161503",186,5,181
"S00161504",69,1,66
"S00161505",93,2,91
"S00161506",81,1,78
"S00161507",157,-,157
"S00161508",176,5,171
"S00161509",80,-,80
"S00161510",130,2,128
"S00161511",106,-,106
"S00161512",153,1,151
"S00161513",81,1,79
"S00161514",165,3,159
"S00161515",184,-,184
"S00161516",127,5,122
"S00161517",157,7,150
"S00161518",100,2,99
"S00161519",66,1,63
"S00161520",127,1,127
"S00161521",142,6,136
"S00161522",105,2,105
"S00161523",70,-,70
"S00161524",110,3,107
"S00161525",91,-,89
"S00161526",124,8,116
"S00161527",161,5,156
"S00161528",110,5,105
"S00161529",92,2,90
"S00161530",126,4,121
"S00161531",137,-,137
"S00161532",143,7,131
"S00161533",68,3,68
"S00161534",106,6,102
"S00161535",141,3,138
"S00161536",122,1,117
"S00161537",66,1,67
"S00161538",110,-,110
"S00161539",108,3,109
"S00161540",73,1,73
"S00161541",75,-,75
"S00161542",137,7,130
