Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00135829",65,60,3
"S00135830",41,40,2
"S00135831",47,43,2
"S00135832",98,96,2
"S00135833",50,42,5
"S00135834",51,51,-
"S00135835",102,97,6
"S00135836",43,38,5
"S00135837",63,60,3
"S00135838",61,58,3
"S00135839",71,69,-
"S00135840",70,70,-
"S00135841",38,36,2
"S00135842",50,48,4
"S00135843",62,50,8
"S00135844",42,39,3
"S00135845",35,33,2
"S00135846",69,60,9
"S00135847",37,34,4
"S00135848",58,55,3
"S00135849",57,49,8
"S00135850",33,33,3
"S00135851",44,41,3
"S00135852",38,36,3
"S00135853",65,63,5
"S00135854",36,33,4
"S00135855",74,66,10
"S00135856",42,42,-
"S00135857",27,26,2
"S00135858",26,18,8
"S00135859",51,47,4
"S00135860",45,44,1
"S00135861",61,55,4
"S00135862",39,35,3
"S00135863",38,38,-
"S00135864",42,38,4
"S00135865",47,47,4
"S00135866",30,29,-
"S00135867",50,50,-
"S00135868",67,63,2
"S00135869",28,23,5
"S00135870",56,52,4
"S00135871",75,71,3
"S00135872",70,59,11
"S00135873",55,50,5
"S00135874",63,63,-
"S00135875",54,50,1
"S00135876",43,42,1
"S00135877",63,60,3
"S00135878",71,71,-
"S00135879",37,35,2
"S00135880",66,66,-
"S00135881",51,47,4
"S00135882",42,41,2
"S00135883",37,34,1
"S00135884",35,34,1
"S00135885",64,61,3
"S00135886",52,49,3
"S00135887",45,35,6
"S00135888",42,41,2
"S00135889",27,27,-
"S00135890",42,41,2
"S00135891",37,38,1
"S00135892",51,47,4
"S00135893",51,48,3
"S00135894",56,48,8
"S00135895",94,86,7
"S00135896",106,98,8
"S00135897",99,95,7
"S00135898",47,42,2
"S00135899",35,32,3
"S00135900",71,66,5
"S00135901",56,53,3
"S00135902",42,37,7
"S00135903",45,43,1
"S00135904",37,34,3
"S00135905",48,47,1
"S00135906",33,32,1
"S00135907",45,43,2
"S00135908",47,45,2
"S00135909",33,33,-
"S00135910",49,46,3
"S00135911",45,42,3
"S00135912",64,63,2
"S00135913",65,65,-
"S00135914",52,51,1
"S00135915",65,62,2
"S00135916",54,49,1
"S00135917",60,56,3
"S00135918",47,46,1
"S00135919",41,39,5
"S00135920",60,57,4
"S00135921",50,49,1
"S00135922",46,42,4
"S00135923",76,74,1
"S00135924",47,45,2
"S00135925",33,33,-
"S00135926",61,58,3
"S00135927",68,63,2
"S00135928",38,37,1
"S00135929",46,43,3
"S00135930",51,51,-
"S00135931",50,49,4
"S00135932",28,27,-
"S00135933",74,69,5
"S00135934",78,76,2
"S00135935",53,46,4
"S00135936",60,55,5
"S00135937",52,48,1
"S00135938",49,42,4
"S00135939",45,39,3
"S00135940",45,39,3
"S00135941",74,74,-
"S00135942",68,63,5
"S00135943",47,46,-
"S00135944",70,69,1
"S00135945",41,37,6
"S00135946",66,65,1
"S00135947",63,57,6
"S00135948",68,68,-
"S00135949",65,60,4
"S00135950",33,31,2
"S00135951",69,69,-
"S00135952",34,34,-
"S00135953",50,49,1
"S00135954",51,48,3
"S00135955",67,64,6
"S00135956",55,48,1
"S00135957",68,68,-
"S00135958",39,35,5
"S00135959",73,66,5
"S00135960",66,63,1
"S00135961",72,69,3
"S00135962",53,53,3
"S00135963",67,62,5
"S00135964",54,57,1
"S00135965",54,51,4
"S00135966",39,35,4
