Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00172658",56,56,-
"S00172659",62,58,4
"S00172660",74,68,6
"S00172661",71,67,2
"S00172662",44,40,4
"S00172663",42,42,-
"S00172664",52,47,5
"S00172665",27,28,3
"S00172666",67,61,6
"S00172667",50,46,4
"S00172668",55,55,-
"S00172669",43,42,1
"S00172670",76,74,2
"S00172671",36,32,4
"S00172672",36,32,4
"S00172673",45,42,3
"S00172674",42,40,-
"S00172675",33,33,-
"S00172676",56,51,5
"S00172677",44,41,3
"S00172678",39,35,5
"S00172679",43,41,2
"S00172680",70,63,5
"S00172681",50,49,1
"S00172682",71,67,4
"S00172683",45,43,3
"S00172684",35,34,-
"S00172685",32,30,2
"S00172686",64,62,2
"S00172687",54,50,6
"S00172688",60,55,5
"S00172689",66,63,4
"S00172690",66,64,8
"S00172691",35,34,1
"S00172692",53,52,1
"S00172693",43,44,1
"S00172694",57,52,5
"S00172695",29,27,2
"S00172696",80,76,4
"S00172697",41,40,1
"S00172698",68,68,-
"S00172699",56,54,1
"S00172700",71,67,4
"S00172701",46,42,4
"S00172702",48,40,8
"S00172703",35,30,4
"S00172704",54,49,5
"S00172705",62,58,4
"S00172706",67,65,5
"S00172707",62,58,7
"S00172708",46,39,4
"S00172709",45,44,1
"S00172710",58,55,3
"S00172711",67,59,8
"S00172712",52,45,7
"S00172713",33,30,3
"S00172714",51,51,1
"S00172715",73,72,2
"S00172716",61,61,-
"S00172717",46,44,4
"S00172718",79,72,4
"S00172719",44,44,-
"S00172720",43,42,1
"S00172721",78,78,1
"S00172722",77,73,2
"S00172723",28,28,-
"S00172724",48,47,1
"S00172725",44,42,2
"S00172726",45,44,6
"S00172727",45,41,1
"S00172728",72,68,4
"S00172729",32,30,2
"S00172730",58,52,3
"S00172731",49,47,2
"S00172732",65,62,4
"S00172733",26,28,1
"S00172734",52,50,2
"S00172735",53,49,4
"S00172736",70,59,7
"S00172737",66,63,3
"S00172738",37,34,4
"S00172739",79,80,2
"S00172740",53,48,7
"S00172741",42,34,8
"S00172742",42,39,3
"S00172743",35,35,-
"S00172744",55,52,3
"S00172745",58,55,3
"S00172746",42,37,6
"S00172747",42,40,1
"S00172748",63,61,3
"S00172749",65,59,6
"S00172750",49,44,4
"S00172751",64,57,7
"S00172752",58,59,-
"S00172753",95,92,3
"S00172754",52,49,4
"S00172755",55,52,3
"S00172756",62,59,5
"S00172757",52,51,1
"S00172758",80,78,-
"S00172759",61,57,4
"S00172760",39,37,2
"S00172761",46,43,3
"S00172762",34,35,2
"S00172763",33,33,-
"S00172764",53,48,5
"S00172765",53,52,1
"S00172766",68,65,1
"S00172767",67,62,4
"S00172768",58,56,1
"S00172769",61,60,1
"S00172770",75,69,8
"S00172771",57,56,-
"S00172772",61,59,-
"S00172773",50,49,1
"S00172774",46,46,-
"S00172775",46,44,4
"S00172776",43,40,3
"S00172777",43,45,2
"S00172778",64,61,3
"S00172779",31,28,4
"S00172780",44,41,3
"S00172781",50,47,3
"S00172782",41,38,5
"S00172783",52,50,-
"S00172784",73,72,1
"S00172785",48,45,2
"S00172786",71,69,6
"S00172787",56,51,7
"S00172788",79,71,4
"S00172789",51,46,6
"S00172790",40,39,1
"S00172791",57,53,5
"S00172792",38,35,3
"S00172793",52,52,-
"S00172794",65,62,3
"S00172795",46,46,4
"S00172796",63,63,-
"S00172797",48,44,1
"S00172798",61,58,3
"S00172799",51,45,3
"S00172800",51,49,2
"S00172801",27,24,3
"S00172802",39,37,2
"S00172803",54,52,-
"S00172804",73,68,-
"S00172805",52,49,3
"S00172806",51,51,-
"S00172807",33,32,1
"S00172808",78,74,4
"S00172809",66,65,1
"S00172810",46,42,6
"S00172811",78,73,5
"S00172812",49,46,3
"S00172813",63,62,2
"S00172814",50,48,1
"S00172815",46,50,1
"S00172816",55,52,2
"S00172817",39,39,3
"S00172818",81,75,6
"S00172819",29,26,2
"S00172820",63,63,-
"S00172821",35,33,2
"S00172822",58,55,3
"S00172823",58,53,7
"S00172824",91,80,12
"S00172825",51,46,5
"S00172826",71,67,4
"S00172827",66,63,2
"S00172828",62,58,4
"S00172829",42,43,3
"S00172830",35,33,2
"S00172831",50,29,22
"S00172832",72,69,3
"S00172833",51,48,5
"S00172834",47,46,2
"S00172835",61,56,2
"S00172836",77,73,1
"S00172837",52,47,5
"S00172838",51,50,2
"S00172839",86,81,5
"S00172840",67,66,2
"S00172841",58,57,1
"S00172842",57,60,-
"S00172843",84,80,4
"S00172844",54,46,8
"S00172845",62,59,3
"S00172846",71,65,2
"S00172847",68,65,2
"S00172848",63,58,5
"S00172849",75,71,4
"S00172850",32,30,2
"S00172851",40,37,2
"S00172852",54,50,2
"S00172853",44,41,3
"S00172854",46,46,-
"S00172855",36,34,7
"S00172856",36,35,2
"S00172857",51,51,-
"S00172858",79,77,4
"S00172859",30,28,2
"S00172860",46,44,2
"S00172861",57,54,3
"S00172862",47,46,1
"S00172863",52,51,-
"S00172864",48,43,2
"S00172865",68,64,4
"S00172866",72,65,7
"S00172867",69,69,-
"S00172868",71,70,1
"S00172869",37,39,2
"S00172870",41,37,4
"S00172871",66,63,3
"S00172872",46,41,5
"S00172873",62,60,2
"S00172874",48,43,5
"S00172875",52,51,-
"S00172876",70,72,2
"S00172877",45,44,1
"S00172878",39,41,1
"S00172879",51,51,-
"S00172880",63,62,1
"S00172881",64,63,1
"S00172882",78,74,6
"S00172883",72,69,3
"S00172884",35,32,2
"S00172885",60,56,3
"S00172886",77,74,3
"S00172887",70,68,-
"S00172888",74,70,4
"S00172889",79,77,2
"S00172890",59,56,5
"S00172891",44,42,2
"S00172892",64,60,2
"S00172893",81,75,6
"S00172894",43,39,4
"S00172895",40,38,2
"S00172896",68,61,7
"S00172897",60,60,-
"S00172898",75,73,2
"S00172899",77,77,-
"S00172900",44,44,-
"S00172901",62,60,2
"S00172902",61,57,2
"S00172903",61,61,-
"S00172904",44,44,-
"S00172905",45,42,1
"S00172906",57,57,-
"S00172907",65,64,2
"S00172908",49,47,3
"S00172909",37,37,-
"S00172910",44,42,2
"S00172911",35,31,4
"S00172912",86,83,3
"S00172913",70,68,3
"S00172914",47,41,6
"S00172915",58,56,-
"S00172916",76,73,1
"S00172917",36,36,-
"S00172918",55,51,4
"S00172919",46,46,-
"S00172920",35,32,1
"S00172921",62,61,1
"S00172922",74,73,1
"S00172923",82,73,5
"S00172924",72,69,1
"S00172925",65,63,2
"S00172926",67,62,5
"S00172927",70,68,3
"S00172928",42,38,4
"S00172929",84,74,10
"S00172930",77,71,6
"S00172931",28,27,1
"S00172932",61,58,3
"S00172933",42,37,5
"S00172934",46,41,6
"S00172935",70,65,5
"S00172936",46,46,-
"S00172937",77,74,3
"S00172938",47,47,-
"S00172939",43,42,1
"S00172940",53,52,-
"S00172941",50,47,4
"S00172942",48,48,-
"S00172943",69,67,-
"S00172944",42,38,2
"S00172945",57,52,-
"S00172946",66,65,1
"S00172947",57,56,1
"S00172948",49,47,-
"S00172949",58,58,1
"S00172950",62,52,6
"S00172951",78,70,5
"S00172952",40,41,2
"S00172953",71,63,8
"S00172954",64,61,5
"S00172955",54,47,4
"S00172956",65,63,2
"S00172957",41,39,2
"S00172958",54,54,-
"S00172959",81,78,1
"S00172960",53,48,3
"S00172961",56,56,-
"S00172962",63,62,1
"S00172963",36,34,2
"S00172964",55,53,2
"S00172965",79,76,3
"S00172966",72,72,3
"S00172967",40,37,3
"S00172968",59,59,-
"S00172969",74,69,2
"S00172970",72,68,4
"S00172971",46,43,3
"S00172972",47,43,2
"S00172973",70,67,3
"S00172974",46,43,2
"S00172975",61,54,3
"S00172976",53,52,2
"S00172977",31,27,4
"S00172978",47,46,-
"S00172979",61,57,4
"S00172980",71,67,4
"S00172981",71,69,-
"S00172982",59,57,2
"S00172983",77,73,4
"S00172984",58,56,2
"S00172985",38,36,2
"S00172986",64,64,-
"S00172987",41,40,1
"S00172988",47,46,1
"S00172989",46,44,2
"S00172990",76,70,6
"S00172991",72,70,2
"S00172992",48,47,1
"S00172993",65,61,4
"S00172994",53,52,1
"S00172995",41,40,1
"S00172996",61,60,1
"S00172997",77,76,1
"S00172998",43,40,3
"S00172999",47,43,2
"S00173000",55,53,2
"S00173001",74,69,3
"S00173002",82,76,6
"S00173003",69,65,6
"S00173004",75,69,2
"S00173005",72,70,3
"S00173006",58,55,-
"S00173007",55,51,5
"S00173008",54,50,4
"S00173009",52,49,5
"S00173010",29,25,1
"S00173011",62,59,5
"S00173012",53,51,2
"S00173013",54,50,4
"S00173014",47,47,-
"S00173015",73,75,1
"S00173016",80,78,2
"S00173017",64,64,-
"S00173018",46,45,1
"S00173019",62,62,-
"S00173020",55,53,-
"S00173021",43,42,1
"S00173022",44,40,3
"S00173023",54,51,3
"S00173024",57,51,6
"S00173025",54,53,-
"S00173026",56,55,1
"S00173027",62,54,6
"S00173028",30,28,1
"S00173029",52,52,-
"S00173030",70,70,-
"S00173031",54,54,-
"S00173032",61,57,6
"S00173033",59,56,3
"S00173034",60,55,2
"S00173035",33,29,3
"S00173036",31,27,1
"S00173037",44,44,-
"S00173038",95,88,7
"S00173039",49,49,-
"S00173040",36,33,5
"S00173041",38,36,2
"S00173042",61,63,3
"S00173043",62,59,3
"S00173044",46,42,4
"S00173045",44,41,-
"S00173046",45,42,3
"S00173047",75,73,2
"S00173048",55,54,-
"S00173049",50,50,-
"S00173050",47,41,6
"S00173051",38,37,2
"S00173052",62,59,3
"S00173053",86,86,-
"S00173054",58,53,1
"S00173055",76,72,6
"S00173056",56,53,3
"S00173057",29,28,1
"S00173058",46,46,-
"S00173059",40,38,2
"S00173060",52,53,3
"S00173061",71,71,-
"S00173062",64,63,2
"S00173063",65,63,3
"S00173064",68,67,1
"S00173065",50,52,-
"S00173066",87,83,7
"S00173067",56,54,2
"S00173068",40,38,1
"S00173069",66,66,-
"S00173070",55,54,1
"S00173071",75,73,2
"S00173072",45,41,3
"S00173073",29,29,1
"S00173074",50,47,4
"S00173075",46,40,2
"S00173076",80,76,4
"S00173077",89,82,7
"S00173078",67,60,7
"S00173079",46,46,-
"S00173080",58,53,5
"S00173081",50,48,2
"S00173082",62,62,-
"S00173083",59,57,2
"S00173084",50,49,1
"S00173085",50,48,1
"S00173086",79,74,4
"S00173087",35,35,-
"S00173088",74,71,3
"S00173089",69,66,3
"S00173090",69,60,12
"S00173091",89,83,3
"S00173092",50,45,5
"S00173093",43,40,3
"S00173094",54,46,8
"S00173095",56,54,2
"S00173096",64,57,7
"S00173097",48,43,5
"S00173098",60,53,7
"S00173099",54,46,5
"S00173100",38,36,1
"S00173101",55,55,-
"S00173102",67,61,7
"S00173103",45,44,-
"S00173104",76,72,4
"S00173105",32,35,1
"S00173106",65,62,3
"S00173107",42,41,4
"S00173108",61,56,3
"S00173109",74,74,-
"S00173110",54,53,2
"S00173111",64,61,3
"S00173112",41,36,4
"S00173113",52,48,2
"S00173114",57,53,-
"S00173115",68,63,5
"S00173116",43,42,1
"S00173117",68,66,2
"S00173118",46,46,-
"S00173119",51,50,1
"S00173120",76,70,8
"S00173121",39,36,3
"S00173122",48,47,1
"S00173123",55,51,4
"S00173124",38,37,-
"S00173125",69,65,4
"S00173126",49,45,4
"S00173127",79,70,4
"S00173128",86,83,6
"S00173129",48,45,3
"S00173130",58,57,1
"S00173131",56,53,1
"S00173132",63,63,-
"S00173133",63,57,4
"S00173134",62,61,4
"S00173135",67,62,5
"S00173136",77,71,2
"S00173137",57,55,2
"S00173138",39,34,2
"S00173139",52,50,1
"S00173140",40,37,3
"S00173141",61,61,-
"S00173142",72,71,1
"S00173143",72,70,1
"S00173144",50,48,-
"S00173145",65,61,4
"S00173146",58,49,4
"S00173147",47,44,1
"S00173148",46,42,4
"S00173149",65,60,5
"S00173150",27,22,4
"S00173151",31,29,2
"S00173152",36,36,-
"S00173153",56,54,1
"S00173154",65,62,4
"S00173155",68,67,1
"S00173156",51,45,6
"S00173157",60,54,2
"S00173158",38,38,-
"S00173159",56,57,2
"S00173160",46,43,2
"S00173161",44,41,3
"S00173162",49,46,5
"S00173163",39,35,7
"S00173164",82,76,1
"S00173165",48,41,7
"S00173166",57,54,3
"S00173167",76,76,4
"S00173168",57,54,3
"S00173169",79,75,4
"S00173170",43,42,1
"S00173171",79,73,8
"S00173172",50,48,4
"S00173173",58,54,2
"S00173174",74,66,8
"S00173175",64,62,1
"S00173176",40,36,4
"S00173177",36,35,1
"S00173178",76,72,6
"S00173179",64,61,3
"S00173180",30,30,-
"S00173181",36,34,2
"S00173182",32,31,2
"S00173183",63,58,5
"S00173184",50,47,3
"S00173185",53,50,3
"S00173186",42,39,3
"S00173187",68,64,3
"S00173188",29,26,3
"S00173189",62,58,5
"S00173190",47,43,5
"S00173191",57,52,3
"S00173192",86,82,4
"S00173193",75,71,-
"S00173194",33,30,3
"S00173195",75,72,5
"S00173196",68,66,3
"S00173197",35,33,1
"S00173198",43,38,5
"S00173199",52,49,3
"S00173200",55,52,3
"S00173201",60,53,4
"S00173202",67,61,2
"S00173203",85,80,8
"S00173204",40,35,4
"S00173205",51,49,2
"S00173206",39,37,4
"S00173207",75,73,1
"S00173208",46,45,1
"S00173209",68,62,6
"S00173210",55,55,-
"S00173211",53,45,8
"S00173212",30,30,-
"S00173213",58,57,4
"S00173214",49,46,3
"S00173215",69,67,-
"S00173216",74,68,3
"S00173217",49,48,-
"S00173218",63,61,-
"S00173219",75,72,6
"S00173220",46,43,4
"S00173221",80,77,4
"S00173222",62,58,8
"S00173223",63,62,3
"S00173224",56,52,2
"S00173225",44,41,3
"S00173226",40,36,3
"S00173227",27,24,3
"S00173228",44,43,4
"S00173229",73,66,7
"S00173230",36,35,1
"S00173231",65,61,4
"S00173232",38,35,5
"S00173233",56,52,4
"S00173234",71,71,-
"S00173235",46,44,4
"S00173236",66,69,4
"S00173237",55,55,-
"S00173238",63,59,4
"S00173239",48,44,4
"S00173240",45,41,1
"S00173241",84,75,5
"S00173242",29,27,2
"S00173243",55,50,1
"S00173244",38,34,4
"S00173245",61,52,7
"S00173246",65,65,3
"S00173247",69,66,3
"S00173248",56,55,1
"S00173249",33,33,-
"S00173250",86,78,8
"S00173251",68,65,4
"S00173252",49,43,6
"S00173253",42,42,-
"S00173254",46,41,5
"S00173255",59,54,2
"S00173256",39,34,5
"S00173257",47,44,3
"S00173258",57,50,9
"S00173259",69,64,6
"S00173260",44,43,1
"S00173261",36,34,2
"S00173262",74,72,2
"S00173263",60,54,6
"S00173264",47,44,3
"S00173265",67,65,2
"S00173266",75,71,4
"S00173267",65,62,3
"S00173268",50,50,-
"S00173269",73,71,2
"S00173270",78,78,-
"S00173271",52,46,6
"S00173272",74,64,10
"S00173273",77,73,-
"S00173274",50,50,-
"S00173275",67,64,4
"S00173276",74,69,5
"S00173277",74,71,3
"S00173278",70,68,2
"S00173279",35,34,-
"S00173280",71,64,6
"S00173281",55,54,4
"S00173282",65,63,2
"S00173283",73,65,7
"S00173284",38,35,3
"S00173285",58,53,5
"S00173286",48,41,7
"S00173287",51,46,5
"S00173288",55,48,7
"S00173289",64,61,3
"S00173290",56,54,3
"S00173291",47,49,2
"S00173292",41,41,-
"S00173293",63,63,-
"S00173294",69,62,2
"S00173295",53,45,8
"S00173296",40,37,1
"S00173297",48,44,4
"S00173298",34,33,1
"S00173299",44,36,4
"S00173300",48,50,4
"S00173301",41,40,1
"S00173302",46,43,3
"S00173303",51,51,-
"S00173304",42,39,2
"S00173305",46,42,3
"S00173306",29,25,1
"S00173307",80,78,2
"S00173308",31,30,2
"S00173309",72,65,5
"S00173310",43,40,3
"S00173311",33,30,3
"S00173312",61,56,5
"S00173313",64,60,6
"S00173314",51,51,3
"S00173315",49,48,1
"S00173316",41,40,2
"S00173317",37,36,1
"S00173318",41,35,4
"S00173319",34,31,3
"S00173320",45,39,4
"S00173321",42,42,4
"S00173322",32,29,1
"S00173323",38,37,1
"S00173324",55,52,3
"S00173325",61,58,2
"S00173326",51,45,6
"S00173327",52,48,6
"S00173328",44,45,2
"S00173329",77,74,3
"S00173330",51,45,2
"S00173331",55,53,2
"S00173332",60,55,5
"S00173333",38,38,6
"S00173334",45,42,3
"S00173335",52,44,4
"S00173336",52,48,4
"S00173337",49,44,2
"S00173338",50,42,5
"S00173339",51,46,5
"S00173340",40,37,2
"S00173341",71,70,1
"S00173342",77,72,6
"S00173343",42,37,2
"S00173344",74,64,7
"S00173345",35,33,2
"S00173346",54,52,2
"S00173347",54,48,3
"S00173348",30,28,2
"S00173349",49,43,6
"S00173350",34,34,-
"S00173351",45,41,4
"S00173352",47,45,4
"S00173353",47,46,-
"S00173354",60,58,3
"S00173355",65,61,4
"S00173356",44,42,2
"S00173357",56,56,-
"S00173358",60,60,-
"S00173359",70,63,7
"S00173360",35,35,-
"S00173361",77,74,1
"S00173362",62,62,2
"S00173363",34,33,1
"S00173364",78,77,2
"S00173365",29,27,4
"S00173366",70,67,3
"S00173367",37,36,1
"S00173368",49,45,7
"S00173369",50,50,-
"S00173370",47,42,5
"S00173371",49,46,3
"S00173372",70,69,2
"S00173373",63,61,2
"S00173374",47,48,3
"S00173375",66,58,4
"S00173376",45,44,-
"S00173377",43,38,5
"S00173378",66,66,-
"S00173379",45,43,2
"S00173380",55,55,3
"S00173381",54,53,3
"S00173382",28,26,2
"S00173383",75,74,1
"S00173384",52,47,5
"S00173385",52,51,3
"S00173386",43,43,3
"S00173387",78,74,4
"S00173388",74,71,3
"S00173389",42,40,1
"S00173390",57,53,3
"S00173391",51,54,1
"S00173392",84,77,7
"S00173393",69,65,-
"S00173394",41,40,1
"S00173395",40,38,2
"S00173396",75,73,2
"S00173397",46,43,4
"S00173398",36,36,-
"S00173399",40,37,3
"S00173400",44,40,4
"S00173401",51,48,3
"S00173402",45,43,2
"S00173403",47,46,2
"S00173404",47,44,3
"S00173405",36,33,4
"S00173406",40,36,6
"S00173407",61,58,2
"S00173408",47,41,6
"S00173409",47,49,1
"S00173410",73,70,4
"S00173411",67,63,4
"S00173412",37,36,1
"S00173413",55,54,-
"S00173414",53,53,4
"S00173415",53,52,1
"S00173416",68,63,2
"S00173417",61,58,4
"S00173418",47,44,4
"S00173419",58,56,2
"S00173420",68,61,10
"S00173421",58,50,8
"S00173422",34,33,1
"S00173423",37,37,-
"S00173424",61,57,3
"S00173425",39,37,2
"S00173426",37,37,-
"S00173427",61,56,5
"S00173428",42,39,3
"S00173429",60,55,2
"S00173430",52,47,5
"S00173431",70,66,6
"S00173432",65,58,2
"S00173433",67,63,4
"S00173434",40,40,-
"S00173435",42,39,3
"S00173436",56,46,10
"S00173437",45,45,-
"S00173438",41,43,3
"S00173439",69,69,3
"S00173440",55,51,3
"S00173441",50,47,5
"S00173442",50,50,-
"S00173443",58,55,3
"S00173444",64,62,2
"S00173445",31,29,2
"S00173446",60,58,2
"S00173447",41,40,1
"S00173448",88,84,4
"S00173449",43,36,4
"S00173450",50,45,1
"S00173451",42,41,1
"S00173452",47,45,3
"S00173453",76,76,-
"S00173454",78,76,6
"S00173455",52,46,6
"S00173456",51,49,1
"S00173457",74,71,3
"S00173458",53,48,5
"S00173459",47,47,-
"S00173460",43,41,2
"S00173461",47,46,1
"S00173462",29,31,2
"S00173463",44,43,-
"S00173464",76,71,5
"S00173465",51,50,1
"S00173466",47,45,2
"S00173467",59,59,-
"S00173468",65,62,3
"S00173469",54,49,4
"S00173470",60,57,3
"S00173471",80,77,7
"S00173472",34,31,3
"S00173473",49,46,3
"S00173474",63,55,5
"S00173475",81,69,7
"S00173476",60,58,2
"S00173477",64,59,2
"S00173478",30,27,2
"S00173479",51,42,5
"S00173480",56,54,2
"S00173481",71,70,1
"S00173482",29,27,-
"S00173483",35,32,3
"S00173484",41,39,1
"S00173485",44,38,6
"S00173486",51,47,6
"S00173487",77,74,5
"S00173488",49,47,3
"S00173489",65,63,-
"S00173490",52,47,5
"S00173491",44,39,5
"S00173492",52,48,4
"S00173493",38,33,6
"S00173494",51,48,3
"S00173495",41,37,1
"S00173496",79,73,6
"S00173497",69,66,3
"S00173498",55,53,4
"S00173499",35,34,1
"S00173500",63,61,2
"S00173501",62,53,5
"S00173502",57,54,1
"S00173503",80,75,3
"S00173504",34,32,4
"S00173505",61,56,5
"S00173506",50,46,4
"S00173507",72,66,4
"S00173508",57,50,10
"S00173509",56,49,7
"S00173510",47,46,1
"S00173511",65,70,2
"S00173512",56,48,7
"S00173513",44,40,5
"S00173514",37,37,-
"S00173515",47,39,8
"S00173516",53,41,8
"S00173517",67,62,5
"S00173518",60,56,4
"S00173519",47,44,4
"S00173520",52,51,-
"S00173521",77,71,7
"S00173522",69,66,3
"S00173523",44,43,1
"S00173524",65,60,5
"S00173525",45,45,-
"S00173526",46,44,3
"S00173527",72,69,3
"S00173528",33,29,3
"S00173529",47,45,2
"S00173530",69,54,11
"S00173531",40,38,2
"S00173532",43,38,2
"S00173533",59,56,3
"S00173534",40,36,2
"S00173535",69,64,5
"S00173536",53,52,2
"S00173537",44,39,4
"S00173538",53,48,8
"S00173539",46,40,9
"S00173540",65,60,5
"S00173541",46,42,4
"S00173542",77,74,3
"S00173543",60,56,4
"S00173544",52,50,3
"S00173545",45,38,7
"S00173546",58,53,3
"S00173547",44,44,-
"S00173548",44,41,3
"S00173549",71,60,11
"S00173550",35,30,6
"S00173551",68,66,6
"S00173552",78,75,3
"S00173553",44,43,1
"S00173554",47,34,9
"S00173555",55,51,4
"S00173556",78,78,-
"S00173557",45,44,2
"S00173558",45,41,1
"S00173559",49,47,4
"S00173560",75,70,4
"S00173561",54,50,4
"S00173562",52,51,1
"S00173563",74,71,3
"S00173564",61,60,4
"S00173565",39,36,3
"S00173566",30,27,3
"S00173567",78,67,7
"S00173568",70,66,4
"S00173569",63,61,2
"S00173570",60,59,1
"S00173571",52,49,2
"S00173572",56,53,3
"S00173573",48,46,2
"S00173574",55,50,5
"S00173575",28,26,2
"S00173576",50,48,2
"S00173577",76,68,4
"S00173578",68,61,7
"S00173579",32,30,4
"S00173580",43,40,3
"S00173581",47,45,2
"S00173582",75,69,3
"S00173583",77,71,6
"S00173584",72,69,3
"S00173585",39,38,6
"S00173586",49,45,4
"S00173587",27,26,-
"S00173588",39,38,1
"S00173589",38,38,-
"S00173590",29,27,2
"S00173591",71,65,6
"S00173592",47,48,2
"S00173593",40,41,1
"S00173594",38,38,-
"S00173595",44,38,6
"S00173596",59,57,2
"S00173597",57,55,6
"S00173598",70,66,4
"S00173599",50,49,2
"S00173600",60,56,4
"S00173601",42,40,2
"S00173602",46,42,4
"S00173603",37,32,5
"S00173604",55,52,1
"S00173605",56,55,2
"S00173606",42,38,4
"S00173607",66,63,3
"S00173608",42,42,-
"S00173609",65,64,2
"S00173610",43,39,4
"S00173611",30,27,1
"S00173612",69,64,5
"S00173613",61,61,-
"S00173614",45,42,2
"S00173615",46,46,-
"S00173616",57,52,5
"S00173617",44,41,3
"S00173618",74,69,8
"S00173619",76,73,3
"S00173620",54,49,8
"S00173621",70,67,5
"S00173622",47,45,-
"S00173623",41,38,3
"S00173624",32,31,4
"S00173625",59,58,1
"S00173626",46,43,3
"S00173627",45,48,1
"S00173628",55,53,3
"S00173629",41,41,-
"S00173630",43,40,3
"S00173631",48,43,3
"S00173632",49,45,3
"S00173633",47,43,4
"S00173634",46,47,2
"S00173635",38,34,5
"S00173636",49,47,1
"S00173637",60,57,3
"S00173638",49,43,2
"S00173639",66,56,10
"S00173640",49,47,3
"S00173641",60,57,4
"S00173642",55,54,1
"S00173643",67,65,4
"S00173644",64,59,6
"S00173645",59,56,3
"S00173646",75,71,4
"S00173647",73,64,9
"S00173648",52,48,2
"S00173649",44,42,2
"S00173650",28,28,3
"S00173651",78,74,4
"S00173652",65,64,4
"S00173653",58,55,4
"S00173654",74,70,4
"S00173655",50,49,1
"S00173656",77,71,6
"S00173657",73,65,7
"S00173658",54,53,1
"S00173659",46,44,2
"S00173660",71,68,5
"S00173661",55,53,2
"S00173662",46,41,5
"S00173663",66,62,4
"S00173664",77,65,12
"S00173665",72,68,4
"S00173666",57,56,1
"S00173667",53,54,4
"S00173668",33,30,1
"S00173669",30,29,1
"S00173670",69,65,9
"S00173671",41,39,4
"S00173672",43,41,5
"S00173673",44,41,4
"S00173674",38,35,1
"S00173675",35,29,6
"S00173676",44,42,2
"S00173677",52,53,3
"S00173678",31,31,-
"S00173679",35,32,3
"S00173680",64,57,7
"S00173681",42,38,4
"S00173682",43,37,6
"S00173683",82,72,10
"S00173684",68,63,5
"S00173685",32,29,3
"S00173686",69,59,10
"S00173687",40,38,1
"S00173688",37,31,5
"S00173689",36,33,5
"S00173690",44,40,4
"S00173691",46,44,2
"S00173692",67,63,4
"S00173693",57,57,-
"S00173694",66,61,5
"S00173695",69,64,5
"S00173696",63,58,2
"S00173697",49,42,9
"S00173698",74,62,8
"S00173699",63,55,11
"S00173700",70,67,3
"S00173701",81,73,8
"S00173702",77,70,7
"S00173703",79,72,7
"S00173704",82,71,8
"S00173705",64,54,10
"S00173706",52,48,4
"S00173707",67,59,6
"S00173708",51,50,1
"S00173709",42,41,-
"S00173710",38,38,3
"S00173711",42,38,3
"S00173712",46,43,3
"S00173713",70,60,10
"S00173714",29,28,1
"S00173715",79,70,12
"S00173716",39,30,9
"S00173717",57,54,3
"S00173718",39,36,3
"S00173719",41,40,2
"S00173720",43,41,4
"S00173721",65,53,8
"S00173722",73,65,11
"S00173723",62,59,7
"S00173724",41,35,3
"S00173725",45,43,5
"S00173726",51,45,6
"S00173727",41,36,3
"S00173728",35,31,6
"S00173729",37,32,6
"S00173730",53,46,7
"S00173731",59,51,8
"S00173732",53,48,5
"S00173733",61,55,6
"S00173734",56,46,7
"S00173735",62,59,5
"S00173736",54,51,5
"S00173737",68,64,4
"S00173738",49,45,4
"S00173739",61,57,4
"S00173740",65,59,6
"S00173741",55,53,2
"S00173742",76,65,8
"S00173743",52,51,1
"S00173744",67,63,6
"S00173745",70,64,7
"S00173746",54,48,6
"S00173747",58,51,7
"S00173748",63,59,4
"S00173749",78,71,6
"S00173750",67,62,5
"S00173751",42,42,-
"S00173752",43,38,5
"S00173753",61,55,6
"S00173754",46,41,3
"S00173755",66,58,4
"S00173756",31,25,8
"S00173757",52,46,6
"S00173758",38,34,4
"S00173759",42,38,3
"S00173760",55,47,6
"S00173761",43,40,5
"S00173762",53,49,7
"S00173763",53,46,7
"S00173764",51,48,3
"S00173765",61,53,6
"S00173766",55,46,8
"S00173767",56,49,7
"S00173768",54,49,5
"S00173769",43,36,7
"S00173770",73,61,12
"S00173771",76,74,3
"S00173772",51,48,3
"S00173773",61,57,4
"S00173774",83,77,8
"S00173775",47,43,4
"S00173776",50,42,5
"S00173777",61,56,5
"S00173778",69,65,4
"S00173779",48,45,4
"S00173780",55,48,4
"S00173781",31,28,3
"S00173782",41,36,5
"S00173783",56,52,4
"S00173784",29,29,-
"S00173785",56,55,1
"S00173786",72,69,3
"S00173787",58,50,8
"S00173788",66,61,5
"S00173789",44,43,1
"S00173790",65,56,6
"S00173791",50,48,2
"S00173792",62,57,7
"S00173793",38,33,5
"S00173794",62,57,5
"S00173795",38,35,3
"S00173796",67,60,7
"S00173797",42,39,3
"S00173798",65,61,4
"S00173799",77,70,5
"S00173800",48,44,4
"S00173801",45,45,-
"S00173802",53,45,8
"S00173803",82,75,7
"S00173804",66,61,5
"S00173805",42,42,-
"S00173806",57,52,5
"S00173807",70,63,7
"S00173808",62,58,4
"S00173809",68,62,6
"S00173810",41,34,5
"S00173811",69,59,10
"S00173812",64,56,8
"S00173813",59,56,3
"S00173814",78,69,9
"S00173815",36,27,6
"S00173816",67,64,6
