Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV601 - Economic activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 and over,Economically Active (excluding full time students) - Total,Economically Active (excluding full-time students) - Employee - Total,Economically Active (excluding full-time students) - Employee - Part-time,Economically Active (excluding full-time students) - Employee - Full-time,Economically Active (excluding full-time students) - Self-employed with employees - Total,Economically Active (excluding full-time students) - Self-employed with employees - Part-time,Economically Active (excluding full-time students) - Self-employed with employees - Full-time,Economically Active (excluding full-time students) - Self-employed without employees - Total,Economically Active (excluding full-time students) - Self-employed without employees - Part-time,Economically Active (excluding full-time students) - Self-employed without employees - Full-time,Economically Active (excluding full-time students) - Unemployed - Available for work,Economically Active full-time students - Total,Economically Active full-time students - Employee - Total,Economically Active full-time students - Employee - Part-time,Economically Active full-time students - Employee - Full-time,Economically Active full-time students - Self-employed with employees - Total,Economically Active full-time students - Self-employed with employees - Part-time,Economically Active full-time students - Self-employed with employees - Full-time,Economically Active full-time students - Self-employed without employees - Total,Economically Active full-time students - Self-employed without employees - Part-time,Economically Active full-time students - Self-employed without employees - Full-time,Economically Active full-time students - Unemployed - Available for work,Economically Inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00172902,126,78,67,15,52,3,2,1,11,2,6,2,7,7,3,1,-,-,-,-,-,-,-,41,33,7,2,-,-
S00172903,124,77,66,17,49,-,-,-,8,4,4,1,3,3,3,-,-,-,-,-,-,-,-,41,31,6,-,1,-
S00172904,54,26,14,3,15,-,-,-,2,2,-,6,4,3,3,-,-,-,-,-,-,-,1,24,2,4,4,6,8
S00172905,64,38,39,8,27,-,-,-,2,-,2,-,3,3,3,-,-,-,-,-,-,-,-,24,14,1,2,4,3
S00172906,78,43,34,6,28,-,-,-,5,2,3,3,5,3,2,2,-,-,-,-,-,-,-,31,10,4,4,6,7
S00172907,127,93,80,22,54,2,-,2,12,-,10,7,5,4,3,1,-,-,-,-,-,-,1,29,6,9,7,6,1
S00172908,79,45,38,8,30,2,2,-,4,1,3,2,-,-,-,-,-,-,-,-,-,-,-,35,12,1,4,11,10
S00172909,84,44,41,10,25,-,-,-,3,2,1,-,1,1,1,-,-,-,-,-,-,-,-,35,29,3,2,7,1
S00172910,62,48,37,6,31,2,-,2,5,2,3,3,5,2,2,-,-,-,-,-,-,-,3,9,1,-,5,3,-
S00172911,298,46,32,5,29,2,-,2,7,5,4,-,144,98,90,8,-,-,-,1,1,-,45,112,5,97,1,3,4
S00172912,107,69,61,13,48,-,-,-,2,-,2,8,7,5,5,-,-,-,-,-,-,-,3,31,14,-,2,14,2
S00172913,111,74,55,8,47,1,-,1,15,6,7,2,14,8,6,2,-,-,-,-,-,-,6,23,7,3,1,9,3
S00172914,66,31,26,6,20,-,-,-,5,1,2,-,5,5,5,-,-,-,-,-,-,-,-,32,9,8,5,10,2
S00172915,75,40,33,11,23,-,-,-,5,1,4,4,10,5,3,-,-,-,-,-,-,-,5,25,3,3,7,10,2
S00172916,110,66,54,11,43,4,-,4,9,2,4,3,2,-,-,-,-,-,-,1,1,-,2,42,28,-,4,8,4
S00172917,51,30,28,4,24,-,-,-,-,-,-,2,4,3,2,-,-,-,-,-,-,-,-,19,11,2,-,6,4
S00172918,96,61,47,16,34,-,-,-,11,4,7,3,7,7,7,-,-,-,-,-,-,-,-,28,7,4,4,8,5
S00172919,73,48,33,8,25,-,-,-,5,-,5,10,5,3,3,-,-,-,-,-,-,-,2,19,6,3,1,10,-
S00172920,55,32,30,10,20,-,-,-,-,-,-,1,7,1,1,-,-,-,-,-,-,-,4,12,14,4,-,-,-
S00172921,81,54,49,10,39,-,-,-,1,2,-,2,6,4,3,-,-,-,-,-,-,-,1,22,3,8,1,5,5
S00172922,92,41,36,9,27,-,-,-,1,-,1,3,3,3,3,-,-,-,-,-,-,-,-,48,13,5,10,16,4
S00172923,142,54,42,8,39,1,-,1,6,1,5,1,6,4,4,-,-,-,-,-,-,-,2,78,73,1,2,3,2
S00172924,142,82,73,16,57,2,2,-,6,3,5,-,12,8,8,2,-,-,-,3,3,-,1,51,20,4,8,13,3
S00172925,124,56,46,15,31,1,1,-,8,4,8,-,2,2,2,-,-,-,-,-,-,-,-,64,53,5,3,-,2
S00172926,92,34,33,4,28,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,50,1,1,3,-
S00172927,118,71,55,15,40,4,2,2,12,4,7,1,7,7,5,2,-,-,-,-,-,-,-,40,16,6,1,11,6
S00172928,83,53,48,17,34,2,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,29,19,4,3,2,3
S00172929,111,56,43,9,30,-,-,-,6,-,4,8,1,-,-,-,-,-,-,-,-,-,1,56,21,6,6,22,2
S00172930,147,96,87,23,63,1,-,1,5,-,2,3,3,3,2,2,-,-,-,-,-,-,-,46,36,3,4,-,3
S00172931,55,24,18,3,15,2,-,2,3,2,1,2,-,-,-,-,-,-,-,-,-,-,-,31,10,10,5,4,2
S00172932,106,51,45,10,35,1,-,1,3,2,2,3,20,14,13,2,-,-,-,1,-,1,5,33,8,18,2,3,3
S00172933,66,45,35,5,33,-,-,-,7,1,6,1,1,-,-,-,-,-,-,-,-,-,1,24,12,1,2,4,2
S00172934,72,37,29,8,21,1,-,1,6,2,4,1,5,3,3,-,-,-,-,-,-,-,-,30,15,6,4,4,1
S00172935,111,63,56,20,36,-,-,-,1,-,1,4,2,2,2,-,-,-,-,-,-,-,3,44,20,4,5,13,5
S00172936,69,48,43,10,33,-,-,-,-,-,-,4,7,6,4,2,-,-,-,-,-,-,1,14,3,1,1,2,4
S00172937,418,94,72,17,55,2,-,1,11,4,7,9,182,124,115,9,-,-,-,4,4,-,59,138,16,110,5,5,2
S00172938,57,29,23,6,16,1,-,1,3,2,2,1,4,2,2,-,-,-,-,-,-,-,1,24,7,1,5,6,5
S00172939,93,45,37,10,29,2,-,2,9,1,5,1,1,1,1,-,-,-,-,-,-,-,-,47,39,3,3,2,1
S00172940,109,45,35,7,27,3,-,3,5,2,3,3,2,2,2,-,-,-,-,-,-,-,-,58,47,4,4,2,2
S00172941,115,73,59,13,50,-,-,-,7,1,6,2,5,5,3,4,-,-,-,-,-,-,-,40,27,6,-,4,3
S00172942,64,28,26,7,19,-,-,-,4,2,1,-,6,4,2,1,-,-,-,-,-,-,2,29,8,2,-,10,5
S00172943,97,56,46,22,27,-,-,-,3,-,1,7,7,2,1,1,-,-,-,-,-,-,5,34,12,1,4,12,5
S00172944,87,45,26,7,19,3,1,1,8,2,5,8,7,4,3,1,-,-,-,-,-,-,3,35,4,9,8,10,4
S00172945,107,48,35,12,25,4,1,4,8,1,7,1,1,3,3,-,-,-,-,1,1,-,-,54,51,1,1,-,2
S00172946,110,75,70,11,59,-,-,-,4,-,4,2,-,-,-,-,-,-,-,-,-,-,-,33,25,2,-,4,-
S00172947,89,45,36,13,23,1,-,1,5,3,1,3,10,13,8,2,-,-,-,-,-,-,1,32,10,8,4,7,3
S00172948,104,50,43,9,35,2,-,2,3,3,1,1,2,2,2,-,-,-,-,-,-,-,-,52,38,6,2,3,2
S00172949,74,47,39,14,22,1,-,1,3,-,3,3,7,6,5,1,-,-,-,-,-,-,1,25,7,4,-,9,-
S00172950,123,93,80,21,58,2,2,2,6,4,2,3,6,5,5,-,-,-,-,-,-,-,-,24,17,2,2,-,3
S00172951,144,70,55,10,47,4,-,4,12,7,6,-,5,5,5,-,-,-,-,-,-,-,-,66,60,6,1,-,-
S00172952,58,33,29,13,16,-,-,-,-,-,-,4,6,2,2,-,-,-,-,1,-,1,3,23,8,6,-,12,-
S00172953,149,62,55,11,44,-,-,-,4,-,4,5,4,3,3,-,-,-,-,-,-,-,1,83,55,5,7,8,6
S00172954,81,40,37,5,30,-,-,-,3,-,3,1,16,15,12,3,-,-,-,-,-,-,-,28,6,2,1,8,8
S00172955,101,50,47,11,38,1,-,1,-,1,-,-,5,5,5,-,-,-,-,-,-,-,-,46,42,-,2,-,1
S00172956,94,53,42,4,35,-,-,-,5,-,5,4,4,4,6,1,-,-,-,-,-,-,-,38,11,11,7,10,4
S00172957,84,44,34,3,34,2,-,2,8,1,7,-,1,1,1,-,-,-,-,-,-,-,-,39,27,3,3,1,4
S00172958,83,46,39,12,27,-,-,-,8,-,8,4,13,10,8,1,-,-,-,-,-,-,2,24,9,5,-,5,5
S00172959,171,141,132,19,113,7,1,2,8,2,5,-,9,9,9,-,-,-,-,-,-,-,-,19,12,-,1,4,2
S00172960,105,66,57,10,47,2,2,1,6,5,3,-,6,6,6,-,-,-,-,-,-,-,-,33,33,4,-,-,-
S00172961,64,38,29,4,23,-,-,-,2,2,-,7,2,2,2,-,-,-,-,-,-,-,-,24,14,3,2,4,2
S00172962,98,74,63,14,49,-,-,-,8,3,8,3,4,2,-,-,-,-,-,3,3,-,-,21,6,3,2,7,-
S00172963,73,45,41,7,34,1,-,1,2,2,-,1,2,2,2,-,-,-,-,-,-,-,-,25,19,2,2,-,1
S00172964,94,73,63,10,53,3,-,3,7,4,1,3,1,1,1,-,-,-,-,-,-,-,-,20,9,2,3,4,3
S00172965,118,59,45,13,32,-,-,-,8,2,7,6,8,6,4,1,-,-,-,-,-,-,2,48,7,16,8,9,5
S00172966,102,37,27,10,14,-,-,-,3,2,-,9,7,7,6,-,-,-,-,2,2,-,1,56,15,9,7,19,8
S00172967,55,27,24,10,16,-,-,-,-,-,-,3,5,4,4,-,-,-,-,1,1,-,-,23,11,1,9,2,1
S00172968,84,37,36,11,25,-,-,-,2,2,-,-,1,-,-,-,-,-,-,-,-,-,1,46,22,2,5,15,-
S00172969,91,30,25,5,21,1,-,1,3,2,-,1,10,10,10,-,-,-,-,-,-,-,-,51,32,4,4,10,-
S00172970,147,88,87,21,67,-,-,-,2,2,1,1,10,6,8,1,-,-,-,-,-,-,2,48,15,5,9,14,2
S00172971,52,34,24,4,19,-,-,-,4,3,1,6,-,-,-,-,-,-,-,-,-,-,-,21,5,-,8,4,4
S00172972,85,25,25,9,16,1,1,-,3,-,3,-,3,3,-,1,-,-,-,-,-,-,-,50,46,2,1,2,-
S00172973,87,36,27,3,24,2,2,1,3,-,3,4,2,2,2,-,-,-,-,-,-,-,-,47,11,4,7,17,8
S00172974,60,26,22,1,20,-,-,-,1,-,1,3,1,1,1,-,-,-,-,-,-,-,-,33,14,4,2,10,5
S00172975,103,54,46,7,37,2,-,2,6,1,5,-,6,6,4,2,-,-,-,-,-,-,-,43,32,2,3,5,2
S00172976,110,67,62,11,51,1,-,1,-,-,-,2,4,3,3,-,1,1,-,-,-,-,-,39,32,4,-,2,1
S00172977,57,38,36,8,28,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,19,12,-,2,5,-
S00172978,61,32,28,6,21,-,-,-,1,-,1,3,7,6,3,3,-,-,-,-,-,-,-,18,2,3,1,11,5
S00172979,81,40,36,6,28,-,-,-,2,1,1,3,3,3,3,-,-,-,-,-,-,-,-,37,19,3,2,14,-
S00172980,91,47,39,10,30,1,-,1,2,-,2,4,3,2,2,-,-,-,-,-,-,-,1,43,15,2,8,11,8
S00172981,112,55,54,12,42,-,-,-,4,4,-,-,11,11,5,3,-,-,-,1,-,1,2,43,14,6,9,14,1
S00172982,124,81,63,20,43,1,-,1,10,2,7,7,7,5,5,-,-,-,-,-,-,-,2,38,11,7,8,8,3
S00172983,116,52,41,2,39,4,-,4,4,2,3,3,-,-,2,1,-,-,-,-,-,-,-,63,21,6,8,23,8
S00172984,114,100,91,16,75,4,-,4,3,3,-,-,2,2,2,-,-,-,-,-,-,-,-,15,3,2,1,-,6
S00172985,53,27,21,5,16,-,-,-,4,-,4,4,9,8,6,2,-,-,-,-,-,-,1,20,4,6,3,4,3
S00172986,88,50,37,11,25,-,-,-,5,4,3,9,7,6,6,-,-,-,-,-,-,-,1,32,7,6,6,9,-
S00172987,67,25,18,4,14,-,-,-,1,-,1,5,21,18,17,1,-,-,-,1,1,-,-,21,7,4,4,7,1
S00172988,71,48,42,5,37,-,-,-,6,-,5,-,2,4,2,2,-,-,-,1,1,-,-,19,11,4,-,5,2
S00172989,96,68,64,15,49,-,-,-,5,3,3,-,2,2,2,-,-,-,-,-,-,-,-,24,19,1,3,1,-
S00172990,108,69,61,15,46,1,1,-,3,3,-,4,8,6,5,2,-,-,-,-,-,-,1,31,10,2,5,9,1
S00172991,92,72,63,4,56,1,-,1,4,3,2,5,3,3,3,-,-,-,-,-,-,-,-,17,7,2,-,3,5
S00172992,91,55,50,6,41,-,-,-,4,1,5,1,3,4,4,-,-,-,-,-,-,-,1,36,23,2,5,3,-
S00172993,93,49,41,12,29,-,-,-,6,2,2,4,6,1,1,-,-,-,-,-,-,-,2,36,13,8,5,10,2
S00172994,75,49,44,1,43,1,-,1,4,1,3,-,7,6,5,1,-,-,-,-,-,-,1,23,6,4,1,1,4
S00172995,60,30,22,4,18,-,-,-,7,3,4,1,8,8,8,-,-,-,-,-,-,-,-,22,4,8,4,1,4
S00172996,79,49,34,7,28,2,-,2,3,1,2,8,12,11,10,1,-,-,-,-,-,-,-,18,4,3,-,9,-
S00172997,104,57,46,12,34,-,-,-,7,-,6,2,1,1,1,-,-,-,-,-,-,-,-,47,18,5,4,17,4
S00172998,81,27,25,6,19,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,53,48,3,1,-,2
S00172999,71,47,34,12,22,1,-,1,6,5,1,6,4,2,-,2,-,-,-,-,-,-,2,20,9,7,-,1,4
S00173000,72,36,32,5,27,-,-,-,2,1,3,4,-,-,-,-,-,-,-,-,-,-,-,31,9,-,7,12,3
S00173001,100,72,64,12,51,3,-,3,5,2,-,3,3,3,3,-,-,-,-,-,-,-,-,25,15,1,2,5,2
S00173002,152,72,63,24,36,1,1,-,6,4,2,5,6,6,6,-,-,-,-,-,-,-,-,70,49,4,3,18,-
S00173003,97,59,45,9,36,1,-,1,4,2,3,7,2,2,-,2,-,-,-,-,-,-,-,39,23,4,1,11,3
S00173004,108,76,71,14,57,-,-,-,1,-,1,3,6,5,3,2,-,-,-,-,-,-,1,26,16,1,-,4,2
S00173005,103,33,29,7,21,1,-,1,3,-,3,2,2,1,1,-,-,-,-,1,1,-,-,66,39,3,6,8,10
S00173006,86,39,35,8,28,-,-,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-,1,47,25,5,4,6,6
S00173007,64,20,19,5,14,-,-,-,1,1,-,-,4,4,1,1,-,-,-,-,-,-,-,40,29,5,-,5,1
S00173008,128,104,94,21,73,1,-,1,6,2,6,1,8,7,7,-,-,-,-,-,-,-,1,16,4,5,7,-,-
S00173009,91,35,32,6,22,-,-,-,5,-,5,-,3,3,3,-,-,-,-,-,-,-,-,52,44,-,1,4,3
S00173010,61,48,43,12,31,-,-,-,3,-,3,1,-,1,1,-,-,-,-,-,-,-,1,8,4,-,4,2,2
S00173011,95,59,50,5,43,-,-,-,4,2,2,7,-,-,-,-,-,-,-,-,-,-,-,35,24,2,6,5,3
S00173012,64,29,20,6,11,-,-,-,7,-,7,3,20,13,7,6,1,1,-,1,-,1,5,14,4,1,4,4,-
S00173013,74,31,25,8,17,1,-,1,2,1,1,3,11,11,7,1,-,-,-,-,-,-,-,34,16,8,1,5,3
S00173014,64,38,32,12,20,-,-,-,3,2,1,3,4,1,1,-,-,-,-,1,1,-,-,22,9,1,4,8,-
S00173015,83,43,36,11,25,-,-,-,2,-,2,4,7,4,1,3,-,-,-,-,-,-,3,30,2,12,-,15,5
S00173016,117,48,43,10,35,-,-,-,1,-,1,2,12,12,12,-,-,-,-,-,-,-,-,57,20,7,12,15,3
S00173017,88,40,34,5,29,-,-,-,-,-,1,4,9,7,7,-,-,-,-,-,-,-,4,39,11,11,1,11,5
S00173018,88,55,45,12,33,-,-,-,10,2,8,-,8,6,6,-,-,-,-,-,-,-,2,25,8,9,3,4,1
S00173019,89,38,31,8,22,1,1,-,3,1,4,2,7,7,7,-,-,-,-,-,-,-,-,43,18,5,-,11,6
S00173020,83,37,33,9,20,-,-,-,3,-,2,5,6,5,5,-,1,-,1,-,-,-,-,40,10,8,8,10,5
S00173021,61,27,23,8,15,-,-,-,-,-,-,-,4,4,3,1,-,-,-,-,-,-,-,34,22,2,-,3,4
S00173022,88,56,38,10,28,2,-,2,7,-,7,4,1,1,1,-,-,-,-,-,-,-,2,33,28,3,-,2,-
S00173023,112,52,44,11,33,2,1,2,4,2,1,2,4,4,4,-,-,-,-,-,-,-,-,56,42,4,5,3,4
S00173024,103,72,69,9,56,1,-,1,1,-,1,-,4,4,2,4,-,-,-,-,-,-,-,28,20,5,-,1,1
S00173025,80,58,44,14,30,3,-,3,11,5,6,-,5,4,4,-,-,-,-,-,-,-,1,20,14,-,5,-,2
S00173026,72,25,22,4,18,-,-,-,2,1,1,-,3,2,1,2,-,-,-,-,-,-,2,44,28,3,6,7,1
S00173027,94,66,54,7,45,-,-,-,8,1,5,4,2,1,-,1,-,-,-,-,-,-,1,25,13,3,-,4,3
S00173028,55,25,19,2,10,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,30,28,-,-,1,1
S00173029,97,53,49,12,37,-,-,-,6,-,6,-,2,2,2,-,-,-,-,-,-,-,-,40,22,6,3,4,5
S00173030,93,62,47,11,36,-,-,-,10,2,9,1,7,4,4,-,-,-,-,-,-,-,1,26,1,4,5,11,3
S00173031,78,40,33,3,29,-,-,-,6,2,4,1,2,-,-,-,-,-,-,-,-,-,2,36,12,7,1,11,8
S00173032,103,46,41,10,26,-,-,-,3,3,-,1,3,3,3,-,-,-,-,-,-,-,-,54,39,2,4,6,1
S00173033,80,39,32,12,20,-,-,-,3,-,2,4,8,7,6,2,-,-,-,-,-,-,1,31,8,1,7,10,5
S00173034,89,61,53,10,41,4,-,4,6,1,8,-,4,2,2,-,-,-,-,-,-,-,-,24,15,5,-,2,2
S00173035,59,34,29,6,23,-,-,-,3,-,3,2,1,1,1,-,-,-,-,-,-,-,-,24,16,1,4,3,1
S00173036,63,38,37,6,27,-,-,-,1,1,-,-,4,2,2,-,-,-,-,-,-,-,2,17,12,-,2,-,2
S00173037,65,36,29,6,23,2,1,1,4,-,3,1,3,1,1,-,-,-,-,-,-,-,2,24,13,2,1,7,1
S00173038,109,36,23,6,19,-,-,-,6,-,6,7,3,3,3,-,-,-,-,-,-,-,-,70,33,-,3,25,9
S00173039,103,76,72,12,56,1,-,1,6,1,4,2,2,-,-,-,-,-,-,-,-,-,2,20,7,6,-,4,3
S00173040,63,33,29,3,23,4,1,1,1,-,1,2,4,4,4,-,-,-,-,-,-,-,-,24,18,2,2,1,4
S00173041,85,53,45,9,36,1,-,1,1,-,1,-,4,4,4,-,-,-,-,-,-,-,-,28,16,1,1,4,1
S00173042,121,109,106,15,92,2,-,2,1,1,-,-,3,3,2,1,-,-,-,-,-,-,-,11,2,2,-,3,2
S00173043,103,54,51,13,38,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,45,35,1,4,2,2
S00173044,91,36,31,9,22,-,-,-,3,2,-,-,2,1,1,-,-,-,-,-,-,-,1,54,44,-,4,4,-
S00173045,91,54,50,10,37,-,-,-,5,2,4,4,3,3,3,-,-,-,-,-,-,-,-,35,28,6,-,-,1
S00173046,58,35,30,8,22,2,2,-,3,1,-,1,2,2,2,-,-,-,-,1,1,-,-,21,20,1,1,2,1
S00173047,145,117,102,14,91,-,-,-,11,3,8,4,8,5,4,1,-,-,-,-,-,-,3,20,9,5,1,3,2
S00173048,92,67,65,9,49,-,-,-,2,-,2,2,7,1,1,-,-,-,-,2,2,-,1,18,6,5,2,5,-
S00173049,62,42,33,7,26,1,-,1,7,3,4,-,2,2,-,1,-,-,-,-,-,-,-,18,4,1,-,10,3
S00173050,101,49,40,8,32,3,-,3,6,2,4,-,5,5,5,-,-,-,-,-,-,-,-,47,33,11,2,-,-
S00173051,66,33,30,6,20,-,-,-,3,-,-,1,2,2,-,1,-,-,-,-,-,-,-,31,28,1,5,-,-
S00173052,77,39,36,7,29,-,-,-,2,-,1,-,6,5,5,-,1,-,1,-,-,-,-,32,29,-,-,2,-
S00173053,126,97,88,9,79,2,-,2,2,2,1,5,14,9,5,1,-,-,-,-,-,-,5,15,5,5,4,-,4
S00173054,108,61,60,13,45,1,-,1,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,44,25,4,3,10,2
S00173055,100,44,39,8,31,-,-,-,4,-,4,2,4,4,1,1,-,-,-,-,-,-,-,52,40,3,-,6,3
S00173056,111,74,65,10,55,3,-,3,6,-,5,-,8,6,6,-,-,-,-,-,-,-,2,29,19,4,3,1,2
S00173057,65,41,37,6,31,1,-,1,3,-,3,-,7,6,6,-,-,-,-,-,-,-,1,20,15,2,1,-,-
S00173058,64,50,48,4,44,-,-,-,4,-,4,-,3,-,-,-,-,-,-,-,-,-,2,11,8,3,-,-,-
S00173059,74,43,37,9,26,-,-,-,7,2,3,2,3,3,3,-,-,-,-,-,-,-,1,28,20,5,-,1,3
S00173060,76,62,54,8,46,1,-,1,6,2,4,3,3,4,4,-,-,-,-,-,-,-,1,8,-,6,4,-,-
S00173061,129,106,101,16,85,-,-,-,4,1,3,-,5,5,5,-,-,-,-,-,-,-,-,18,14,3,2,1,2
S00173062,84,51,47,4,43,-,-,-,4,4,2,-,-,-,-,-,-,-,-,-,-,-,-,32,21,-,3,5,1
S00173063,109,75,68,9,59,-,-,-,9,7,2,1,2,2,2,-,-,-,-,-,-,-,-,25,20,4,1,4,-
S00173064,135,90,79,9,69,-,-,-,6,-,6,-,5,5,4,1,-,-,-,-,-,-,-,43,25,5,6,7,-
S00173065,71,59,54,10,45,1,-,1,5,2,2,-,5,5,5,-,-,-,-,-,-,-,-,7,3,-,2,2,-
S00173066,123,59,43,10,33,-,-,-,6,2,5,8,5,3,3,-,-,-,-,-,-,-,1,61,32,1,-,18,6
S00173067,89,50,43,22,25,-,-,-,-,-,-,3,3,2,2,-,-,-,-,-,-,-,-,36,17,4,3,8,2
S00173068,135,45,37,7,30,5,4,1,3,-,3,4,2,2,2,-,-,-,-,-,-,-,-,88,55,5,4,17,9
S00173069,87,51,47,12,37,1,-,1,1,1,2,-,5,4,4,-,-,-,-,-,-,-,1,30,13,2,-,12,3
S00173070,69,51,47,6,41,-,-,-,3,-,3,1,2,1,1,-,-,-,-,-,-,-,1,16,10,-,-,1,-
S00173071,106,82,71,10,61,2,2,-,10,3,6,2,4,4,4,-,-,-,-,-,-,-,-,23,17,-,1,3,2
S00173072,98,56,49,8,38,2,-,2,9,2,6,-,-,-,-,-,-,-,-,-,-,-,-,37,32,1,2,3,-
S00173073,60,42,33,4,30,-,-,-,5,1,1,-,1,1,1,-,-,-,-,-,-,-,-,17,8,4,5,-,-
S00173074,109,61,55,7,41,2,-,2,8,7,1,-,8,8,8,-,-,-,-,-,-,-,-,40,31,3,1,3,2
S00173075,80,38,33,11,22,-,-,-,5,2,4,1,6,5,4,1,-,-,-,-,-,-,1,36,11,5,4,12,7
S00173076,139,79,63,17,44,6,-,6,11,4,7,-,2,2,2,-,-,-,-,-,-,-,-,59,36,6,5,5,3
S00173077,110,47,43,12,31,1,-,1,2,-,2,1,3,4,1,1,-,-,-,2,2,-,-,63,39,2,2,14,1
S00173078,111,56,48,13,35,1,-,1,1,-,1,6,7,3,3,-,-,-,-,-,-,-,4,52,16,2,7,20,1
S00173079,83,64,59,8,51,-,-,-,9,-,4,3,3,3,3,-,-,-,-,-,-,-,-,11,5,5,1,1,2
S00173080,89,62,53,5,49,-,-,-,4,2,1,3,-,-,-,-,-,-,-,-,-,-,-,26,20,1,3,2,-
S00173081,71,38,35,8,27,-,-,-,3,-,3,-,5,3,3,-,-,-,-,-,-,-,1,28,6,5,6,7,4
S00173082,91,75,71,12,57,-,-,-,2,2,1,1,4,4,3,1,-,-,-,-,-,-,-,12,6,4,-,-,2
S00173083,72,35,33,6,27,1,-,1,3,1,2,2,-,-,-,-,-,-,-,-,-,-,-,33,8,7,-,13,4
S00173084,65,44,37,7,33,-,-,-,7,1,6,-,4,4,4,-,-,-,-,-,-,-,-,13,9,2,2,4,2
S00173085,99,71,66,14,52,1,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,28,23,-,2,2,-
S00173086,168,31,23,6,17,5,1,2,4,1,3,1,1,1,-,1,-,-,-,-,-,-,-,133,99,1,5,18,12
S00173087,83,61,55,13,40,2,-,2,4,1,1,-,2,2,2,-,-,-,-,-,-,-,-,20,13,4,1,1,4
S00173088,150,97,84,17,67,2,-,2,6,4,2,1,4,4,4,-,-,-,-,-,-,-,-,45,33,1,6,8,5
S00173089,85,61,54,10,43,4,-,4,4,1,3,2,7,7,2,4,-,-,-,-,-,-,-,20,13,-,-,2,3
S00173090,77,14,7,5,5,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,62,52,-,-,6,6
S00173091,134,51,44,15,32,1,-,1,6,-,4,-,4,2,2,-,-,-,-,2,-,2,1,79,69,3,1,4,3
S00173092,94,58,44,11,29,4,1,2,8,3,2,2,5,3,1,1,-,-,-,-,-,-,2,34,18,2,6,4,4
S00173093,81,49,44,10,34,-,-,-,6,3,-,2,4,1,1,-,-,-,-,1,1,-,1,27,20,3,1,2,2
S00173094,77,44,38,6,32,1,-,1,4,1,3,1,2,1,1,-,-,-,-,-,-,-,2,31,21,-,1,6,1
S00173095,118,49,40,7,32,2,2,1,5,2,4,1,4,4,4,-,-,-,-,-,-,-,-,65,50,4,-,8,1
S00173096,145,102,91,15,76,2,1,-,7,3,7,4,6,6,6,-,-,-,-,-,-,-,1,37,28,4,1,2,2
S00173097,95,72,65,12,53,-,-,-,8,1,5,1,8,8,8,-,-,-,-,-,-,-,-,15,10,2,1,1,-
S00173098,72,47,38,6,32,4,2,3,2,-,2,2,2,1,1,-,-,-,-,-,-,-,2,25,16,1,1,7,-
S00173099,66,35,31,5,28,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,28,13,-,1,9,6
S00173100,68,45,32,7,25,3,-,3,4,-,4,8,4,4,1,1,-,-,-,-,-,-,-,21,9,3,3,3,4
S00173101,116,94,89,13,76,-,-,-,6,1,2,-,5,1,1,-,-,-,-,-,-,-,1,17,6,5,3,1,1
S00173102,90,53,41,6,35,1,-,1,3,3,-,8,5,5,5,-,-,-,-,-,-,-,2,32,16,1,4,9,3
S00173103,77,54,44,13,31,-,-,-,4,-,4,5,4,3,3,-,-,-,-,-,-,-,1,20,8,5,-,1,3
S00173104,103,56,51,3,48,1,-,1,4,1,3,-,7,7,6,1,-,-,-,-,-,-,-,40,10,-,1,22,5
S00173105,65,41,35,7,28,-,-,-,5,1,4,1,3,1,1,-,-,-,-,-,-,-,2,17,15,-,-,3,-
S00173106,133,105,95,23,70,2,-,2,7,-,7,3,7,7,7,-,-,-,-,-,-,-,-,21,14,3,-,-,2
S00173107,95,54,38,12,26,5,-,5,10,4,9,1,2,2,2,-,-,-,-,-,-,-,-,42,29,3,4,1,-
S00173108,92,56,39,7,38,3,1,3,9,6,4,2,2,2,2,-,-,-,-,-,-,-,-,32,23,3,2,8,-
S00173109,100,51,42,4,38,2,-,2,4,2,3,4,8,8,5,3,-,-,-,-,-,-,-,39,10,5,7,18,2
S00173110,78,51,43,8,35,3,1,1,3,1,3,2,6,5,4,1,-,-,-,-,-,-,1,21,13,2,1,4,1
S00173111,90,54,44,9,44,4,-,4,5,2,3,-,1,-,-,-,-,-,-,-,-,-,1,35,24,1,4,5,2
