Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00135979",78,32,22,5,7,9,7
"S00135980",80,1,6,11,10,18,33
"S00135981",128,2,21,12,6,15,71
"S00135982",81,13,10,3,4,15,35
"S00135983",107,8,8,28,5,14,44
"S00135984",100,36,29,6,13,5,14
"S00135985",101,14,17,15,7,15,33
"S00135986",107,36,29,9,11,9,15
"S00135987",74,4,9,13,3,7,38
"S00135988",67,4,9,23,2,5,24
"S00135989",88,22,23,4,6,9,21
"S00135990",52,4,6,7,1,11,23
"S00135991",71,2,6,22,1,6,35
"S00135992",86,24,26,4,7,10,17
"S00135993",90,2,13,12,10,12,42
"S00135994",125,5,12,18,12,15,63
"S00135995",63,-,5,29,-,6,24
"S00135996",135,4,20,14,11,22,67
"S00135997",105,41,25,8,11,6,18
"S00135998",86,3,15,15,4,10,41
"S00135999",93,1,7,13,5,22,47
"S00136000",113,34,18,4,15,8,32
"S00136001",75,17,16,8,9,4,21
"S00136002",82,11,15,11,9,15,25
"S00136003",69,3,3,9,-,6,47
"S00136004",63,15,20,1,-,7,15
"S00136005",100,25,36,5,13,11,11
"S00136006",58,1,6,6,5,12,28
"S00136007",141,27,31,9,10,23,45
"S00136008",62,8,11,7,5,7,22
"S00136009",96,23,27,9,13,7,17
"S00136010",110,5,14,21,6,19,41
"S00136011",108,31,33,11,7,10,14
"S00136012",97,25,39,6,6,7,12
"S00136013",84,3,13,14,6,6,42
"S00136014",100,13,26,3,8,14,38
"S00136015",105,22,25,21,4,9,24
"S00136016",116,1,9,22,2,15,68
"S00136017",138,5,14,33,6,13,65
"S00136018",127,2,9,18,2,8,86
"S00136019",870,5,73,458,14,101,222
"S00136020",112,30,28,11,12,12,19
"S00136021",59,5,11,8,-,11,24
"S00136022",99,18,41,5,6,17,12
"S00136023",55,26,13,3,7,2,5
"S00136024",73,18,20,7,6,8,14
"S00136025",88,19,31,6,13,7,11
"S00136026",133,2,14,56,2,13,49
"S00136027",69,3,8,16,1,8,29
"S00136028",56,16,8,5,2,10,16
"S00136029",68,6,8,5,7,12,30
"S00136030",127,39,13,3,13,10,50
"S00136031",101,15,29,7,6,22,22
"S00136032",102,4,9,21,7,14,50
"S00136033",121,14,20,16,11,13,46
"S00136034",105,5,17,19,6,21,33
"S00136035",125,3,13,19,2,17,70
"S00136036",97,6,14,18,3,8,48
"S00136037",70,11,14,12,5,10,22
"S00136038",67,28,22,4,5,3,7
"S00136039",77,11,10,6,6,11,29
"S00136040",67,11,17,6,5,14,17
"S00136041",120,38,36,5,6,9,26
"S00136042",93,18,28,9,14,8,17
"S00136043",75,16,15,9,9,12,14
"S00136044",60,10,15,3,1,7,24
"S00136045",116,24,31,9,15,13,24
"S00136046",73,14,21,3,6,12,18
"S00136047",107,12,27,12,12,11,33
"S00136048",86,11,33,5,9,7,19
"S00136049",123,4,18,11,9,13,65
"S00136050",116,10,11,16,5,14,60
"S00136051",97,24,28,6,19,9,16
"S00136052",60,2,8,9,3,7,28
"S00136053",76,16,24,5,5,14,15
"S00136054",112,10,22,17,7,20,32
"S00136055",102,25,23,8,14,17,15
"S00136056",81,15,15,10,4,14,24
"S00136057",103,24,24,10,13,9,23
"S00136058",249,47,27,92,3,11,69
"S00136059",76,20,17,5,6,12,14
"S00136060",90,13,20,13,3,10,34
"S00136061",393,6,45,167,4,23,148
"S00136062",69,12,12,7,7,10,22
"S00136063",97,15,26,14,9,10,25
"S00136064",116,31,23,4,7,7,38
"S00136065",91,25,17,11,5,10,28
"S00136066",56,4,19,11,4,7,11
"S00136067",56,9,9,6,5,7,23
"S00136068",105,6,22,6,3,13,57
"S00136069",106,17,35,6,9,14,28
"S00136070",70,9,17,9,5,4,22
"S00136071",140,19,37,20,5,12,47
"S00136072",71,-,12,11,4,12,31
"S00136073",90,6,9,23,7,11,32
"S00136074",73,4,9,10,2,20,28
"S00136075",94,5,9,15,2,7,56
"S00136076",113,12,21,18,5,10,47
"S00136077",81,9,5,16,2,6,40
"S00136078",165,3,19,16,14,28,88
"S00136079",62,2,8,13,4,7,28
"S00136080",124,22,31,8,18,12,33
"S00136081",74,2,6,24,4,15,26
"S00136082",62,17,12,7,3,12,14
"S00136083",91,3,11,12,5,11,52
"S00136084",85,15,32,4,11,17,12
"S00136085",77,16,26,5,7,14,8
"S00136086",85,-,8,24,-,12,41
"S00136087",87,7,8,10,4,14,44
"S00136088",81,4,9,15,5,10,35
"S00136089",143,13,16,14,14,13,73
"S00136090",90,8,21,2,7,12,40
"S00136091",104,23,31,8,15,19,9
"S00136092",144,27,38,14,13,24,28
"S00136093",97,13,26,8,4,12,34
"S00136094",67,15,12,10,1,8,21
"S00136095",53,16,8,3,10,7,9
"S00136096",131,26,13,10,5,4,76
"S00136097",135,1,6,26,6,32,66
"S00136098",83,16,34,4,10,5,14
"S00136099",117,22,44,10,9,17,18
"S00136100",174,30,27,7,10,11,86
"S00136101",93,33,28,5,5,6,18
"S00136102",99,4,12,13,-,18,50
"S00136103",81,28,22,3,5,10,13
"S00136104",102,12,16,15,8,14,36
"S00136105",120,9,13,24,1,27,42
"S00136106",72,10,19,5,3,10,26
"S00136107",113,5,8,23,2,13,60
"S00136108",127,20,26,8,9,10,54
"S00136109",88,15,31,6,9,4,21
"S00136110",76,8,9,6,6,8,40
"S00136111",110,4,10,20,4,25,49
"S00136112",111,16,32,8,14,17,24
"S00136113",77,22,17,4,11,11,12
"S00136114",142,5,16,23,2,20,76
"S00136115",119,11,21,22,-,12,53
"S00136116",67,4,8,7,5,8,35
"S00136117",98,11,14,10,4,13,47
"S00136118",59,12,24,7,6,7,8
"S00136119",71,11,36,6,4,6,8
"S00136120",77,21,17,10,15,4,10
"S00136121",111,11,17,14,3,14,55
"S00136122",115,8,24,7,3,11,63
"S00136123",132,4,16,14,4,15,79
"S00136124",68,13,11,5,8,17,12
"S00136125",85,17,25,6,11,11,19
"S00136126",86,38,19,2,6,5,14
"S00136127",115,25,44,7,7,11,20
"S00136128",67,9,9,6,4,8,31
"S00136129",88,18,13,2,8,9,38
"S00136130",66,6,22,3,5,10,17
"S00136131",81,7,15,13,2,8,31
"S00136132",73,36,19,1,6,6,7
"S00136133",93,7,9,10,7,12,49
"S00136134",72,15,20,6,12,9,10
"S00136135",75,6,13,11,6,4,32
"S00136136",63,15,17,4,7,8,8
"S00136137",80,25,31,7,2,6,6
"S00136138",83,50,20,1,6,3,3
"S00136139",81,49,14,6,4,3,7
"S00136140",106,16,39,11,18,10,12
"S00136141",67,2,3,8,3,11,45
"S00136142",106,4,16,17,1,20,45
"S00136143",63,4,6,2,7,6,36
"S00136144",133,14,21,8,9,17,64
"S00136145",274,8,25,99,1,30,107
"S00136146",102,10,14,12,5,18,43
"S00136147",60,6,19,5,5,3,21
"S00136148",82,18,18,9,9,8,21
"S00136149",69,17,17,4,6,7,18
"S00136150",96,-,6,11,4,5,69
"S00136151",65,15,19,4,1,8,15
"S00136152",68,15,19,1,5,8,18
"S00136153",75,1,6,21,1,5,42
"S00136154",105,6,15,16,6,11,48
"S00136155",103,16,16,11,5,6,52
"S00136156",91,2,2,10,2,10,64
"S00136157",54,-,4,8,2,8,34
"S00136158",115,46,22,7,15,9,16
"S00136159",77,13,24,3,12,10,11
"S00136160",73,18,23,6,5,11,11
"S00136161",83,15,22,11,9,9,17
"S00136162",114,33,37,2,9,11,20
"S00136163",62,24,22,7,-,2,6
"S00136164",70,15,17,6,5,7,20
"S00136165",52,10,24,4,-,7,7
"S00136166",65,8,15,14,4,9,13
"S00136167",83,43,16,-,13,2,5
"S00136168",97,3,8,12,-,12,57
"S00136169",51,10,18,3,2,6,11
"S00136170",72,11,7,2,3,6,42
"S00136171",59,8,5,3,1,13,28
"S00136172",81,4,7,16,2,11,45
"S00136173",61,4,14,10,5,10,20
"S00136174",126,3,7,14,5,31,64
"S00136175",60,14,16,8,4,6,11
"S00136176",108,18,31,10,20,8,20
"S00136177",86,22,22,8,9,11,14
"S00136178",99,7,16,8,6,17,43
"S00136179",96,9,23,6,7,16,39
"S00136180",127,1,11,12,7,26,70
"S00136181",58,5,12,8,2,8,23
"S00136182",94,14,29,10,7,8,26
"S00136183",93,10,25,13,10,11,23
"S00136184",104,9,36,14,16,14,13
"S00136185",91,1,13,15,2,10,52
"S00136186",100,4,8,10,2,19,57
"S00136187",78,19,20,10,9,4,17
"S00136188",53,3,9,10,5,7,19
"S00136189",87,7,14,20,2,12,30
"S00136190",80,4,2,16,6,11,41
"S00136191",97,1,13,20,-,10,55
"S00136192",129,2,8,15,3,22,72
"S00136193",115,7,11,28,4,21,45
"S00136194",125,18,13,10,5,15,56
"S00136195",388,2,28,174,8,41,136
"S00136196",70,4,3,8,3,11,40
"S00136197",106,3,10,22,3,20,49
"S00136198",108,41,39,5,10,6,7
"S00136199",62,2,9,4,5,8,34
"S00136200",61,31,12,2,5,6,7
"S00136201",83,3,6,7,2,22,44
"S00136202",67,20,18,2,1,10,13
"S00136203",84,12,33,7,8,11,11
"S00136204",117,7,8,16,2,22,64
"S00136205",74,14,20,9,4,8,23
"S00136206",90,9,23,9,4,15,30
"S00136207",64,3,16,7,2,12,24
"S00136208",70,17,17,6,2,6,17
"S00136209",85,13,31,7,9,8,12
"S00136210",150,7,28,16,10,23,66
"S00136211",85,6,7,21,4,9,41
"S00136212",76,15,31,6,3,9,12
"S00136213",64,18,13,16,2,4,15
"S00136214",90,15,28,6,3,19,23
"S00136215",82,13,21,6,10,11,18
"S00136216",103,1,13,25,1,12,46
"S00136217",114,20,41,11,10,8,24
"S00136218",178,5,17,31,23,35,70
"S00136219",70,4,8,11,1,6,39
"S00136220",96,15,15,15,6,6,38
"S00136221",60,-,3,5,1,9,40
"S00136222",60,19,17,8,3,6,7
"S00136223",151,8,18,21,11,26,67
"S00136224",78,4,8,20,3,4,36
"S00136225",83,30,20,10,4,14,8
"S00136226",93,33,17,12,15,9,14
"S00136227",65,7,17,6,-,4,29
"S00136228",150,28,39,16,18,15,34
"S00136229",87,23,33,6,7,8,14
"S00136230",86,4,13,14,3,21,29
"S00136231",102,28,27,8,7,11,21
"S00136232",134,28,34,7,7,20,34
"S00136233",70,1,11,13,2,13,30
"S00136234",86,5,12,16,5,12,37
"S00136235",56,5,8,7,3,7,25
"S00136236",446,13,39,174,12,90,119
"S00136237",139,9,15,14,8,18,73
"S00136238",108,8,25,15,6,17,39
"S00136239",308,7,35,143,10,25,87
"S00136240",78,11,20,13,8,9,17
"S00136241",67,2,9,14,1,13,28
"S00136242",92,9,11,11,1,6,54
"S00136243",75,1,9,5,1,8,52
"S00136244",118,31,33,16,10,13,13
"S00136245",584,37,30,238,6,113,163
"S00136246",66,9,17,13,6,6,18
"S00136247",103,18,25,9,14,8,25
"S00136248",105,11,15,9,2,18,51
"S00136249",72,25,11,8,8,12,8
"S00136250",85,14,25,10,14,4,18
"S00136251",99,10,28,8,1,16,37
"S00136252",81,25,24,6,2,10,14
"S00136253",70,6,7,8,1,15,32
"S00136254",111,4,12,16,4,13,59
"S00136255",99,3,16,7,10,20,45
"S00136256",97,30,26,7,10,9,12
"S00136257",103,4,11,14,7,15,52
"S00136258",86,19,24,11,3,18,12
"S00136259",160,4,41,18,8,25,66
"S00136260",74,43,8,1,5,3,8
"S00136261",81,10,21,14,5,10,25
"S00136262",100,2,8,11,7,11,61
"S00136263",77,13,17,7,5,12,20
"S00136264",88,6,15,11,9,14,35
"S00136265",101,2,7,8,2,6,75
"S00136266",88,15,10,10,20,11,22
"S00136267",86,4,12,7,4,11,48
"S00136268",98,19,27,12,5,8,22
"S00136269",87,9,20,14,3,20,21
"S00136270",83,3,8,15,3,15,39
"S00136271",95,2,8,10,5,10,60
"S00136272",104,22,31,10,14,8,19
"S00136273",59,19,13,5,7,5,8
"S00136274",82,14,7,25,5,10,26
"S00136275",116,6,17,25,2,14,53
"S00136276",97,30,32,4,9,10,15
"S00136277",63,2,5,8,-,4,44
"S00136278",86,6,5,9,2,12,54
"S00136279",54,5,17,13,4,7,18
"S00136280",91,22,20,14,12,3,17
"S00136281",111,5,8,18,7,16,57
"S00136282",55,18,16,5,4,6,7
"S00136283",61,12,14,4,1,9,20
"S00136284",127,10,7,15,-,19,75
"S00136285",103,19,12,15,5,19,33
"S00136286",88,3,4,4,3,11,62
"S00136287",71,2,5,5,8,3,44
"S00136288",113,16,36,11,5,17,31
"S00136289",131,19,42,12,12,20,22
"S00136290",140,3,18,10,7,14,87
"S00136291",93,4,5,10,2,15,58
"S00136292",108,45,23,8,8,10,11
"S00136293",74,2,5,4,-,5,57
"S00136294",77,9,27,9,11,6,19
"S00136295",71,22,10,10,2,12,16
"S00136296",78,13,16,9,4,9,27
"S00136297",98,17,31,8,8,15,26
"S00136298",119,5,34,15,3,14,49
"S00136299",105,3,14,11,1,15,61
"S00136300",76,12,29,5,4,11,15
"S00136301",124,16,19,16,13,9,54
"S00136302",105,21,25,4,11,5,42
"S00136303",110,7,10,10,5,15,65
"S00136304",87,1,11,19,3,8,42
"S00136305",115,7,17,11,5,16,56
"S00136306",72,15,15,5,8,13,16
"S00136307",101,4,11,25,2,13,45
"S00136308",143,6,13,20,8,13,86
"S00136309",121,23,26,13,7,12,37
"S00136310",188,6,25,41,-,27,82
"S00136311",84,1,8,9,3,10,53
"S00136312",101,4,5,6,3,8,72
"S00136313",75,6,17,7,4,13,29
"S00136314",85,9,13,4,2,15,45
"S00136315",81,8,15,6,-,10,42
"S00136316",81,11,32,11,4,6,17
"S00136317",90,9,7,4,6,10,57
"S00136318",82,4,6,7,6,5,58
"S00136319",77,4,6,7,3,5,51
"S00136320",66,5,2,7,1,12,41
"S00136321",86,4,7,15,4,13,39
"S00136322",60,13,27,5,6,5,5
"S00136323",96,8,12,10,17,14,35
"S00136324",71,5,17,13,-,15,23
"S00136325",116,3,7,4,-,10,89
"S00136326",81,6,6,11,-,6,52
"S00136327",56,8,22,3,1,6,14
"S00136328",58,-,5,6,5,8,33
"S00136329",103,14,28,8,10,19,24
"S00136330",122,5,19,23,3,22,52
"S00136331",65,8,9,9,2,19,23
"S00136332",85,23,27,9,2,4,15
"S00136333",411,3,41,168,16,63,118
"S00136334",112,15,15,15,4,19,44
"S00136335",59,5,7,2,1,6,38
"S00136336",79,16,16,7,6,10,24
"S00136337",102,23,27,7,13,10,26
"S00136338",94,8,12,13,4,6,49
"S00136339",101,14,24,4,13,19,27
"S00136340",75,11,4,1,7,11,44
"S00136341",58,7,8,6,3,8,26
"S00136342",67,3,13,6,3,11,31
"S00136343",109,3,9,22,4,19,50
"S00136344",57,1,7,1,3,9,35
"S00136345",106,13,18,6,4,6,59
"S00136346",84,-,7,10,2,7,54
"S00136347",60,16,25,2,5,5,5
"S00136348",100,18,24,11,6,18,24
"S00136349",96,-,12,16,2,16,50
"S00136350",72,10,23,3,6,6,24
"S00136351",90,1,10,7,1,6,65
"S00136352",65,16,13,7,5,13,11
"S00136353",107,15,39,11,4,16,22
"S00136354",65,18,20,6,5,8,12
"S00136355",90,5,8,10,5,9,56
"S00136356",56,2,6,8,-,6,34
"S00136357",75,7,13,8,6,12,26
"S00136358",108,7,25,12,10,10,42
"S00136359",78,22,17,9,4,8,15
"S00136360",64,10,23,4,1,7,20
"S00136361",63,8,6,9,1,10,29
"S00136362",109,3,14,12,-,11,71
"S00136363",69,4,4,6,-,8,46
"S00136364",78,1,3,5,-,9,57
"S00136365",123,24,43,8,9,15,24
"S00136366",99,18,28,12,3,18,15
"S00136367",81,3,8,5,1,13,49
"S00136368",67,7,8,6,14,9,19
"S00136369",113,26,29,9,14,19,18
"S00136370",156,8,12,32,6,22,76
"S00136371",65,4,10,2,4,11,38
"S00136372",104,26,28,11,10,4,25
"S00136373",103,5,13,14,6,22,45
"S00136374",132,22,46,11,13,14,26
"S00136375",118,28,32,10,14,12,22
"S00136376",90,1,11,10,2,9,57
"S00136377",67,4,8,9,1,13,32
"S00136378",79,5,12,8,2,20,36
"S00136379",83,-,4,11,1,14,49
"S00136380",97,4,26,4,10,15,37
"S00136381",73,7,5,9,-,8,45
"S00136382",93,6,10,6,6,9,58
"S00136383",82,2,9,2,5,9,54
"S00136384",65,18,11,4,3,4,22
"S00136385",96,11,15,14,3,13,35
"S00136386",76,22,20,12,10,5,16
"S00136387",117,9,17,17,6,18,57
"S00136388",79,11,16,8,3,9,35
"S00136389",124,6,10,17,3,9,78
"S00136390",90,16,9,14,4,9,38
"S00136391",70,2,12,7,-,4,40
"S00136392",69,5,9,9,4,3,45
"S00136393",67,23,21,-,7,5,7
"S00136394",70,28,16,7,6,5,5
"S00136395",155,5,18,17,2,11,102
"S00136396",64,8,12,9,2,10,23
"S00136397",111,3,18,14,4,11,59
"S00136398",77,1,5,12,3,15,45
"S00136399",67,15,7,6,4,2,25
"S00136400",63,-,15,3,10,7,26
"S00136401",86,16,18,7,3,7,35
"S00136402",102,21,13,8,5,6,46
"S00136403",97,1,5,5,5,16,65
"S00136404",56,13,19,7,2,5,14
"S00136405",95,3,4,35,3,13,38
"S00136406",77,7,6,9,-,15,43
"S00136407",94,9,19,11,7,9,41
"S00136408",138,4,8,8,4,14,97
"S00136409",98,15,33,12,5,9,25
"S00136410",109,-,8,10,3,16,75
"S00136411",70,4,10,4,5,12,35
"S00136412",60,2,7,12,1,10,28
"S00136413",69,-,5,12,1,8,43
"S00136414",97,4,29,14,8,8,37
"S00136415",85,3,4,6,3,12,57
"S00136416",115,3,12,6,4,11,79
"S00136417",74,5,3,6,2,5,55
"S00136418",70,-,5,6,2,4,56
"S00136419",99,14,16,16,5,15,36
"S00136420",78,16,7,8,1,1,44
"S00136421",65,11,17,9,2,7,16
"S00136422",140,21,31,9,8,11,60
"S00136423",84,2,5,7,-,11,57
"S00136424",100,17,27,8,3,15,28
"S00136425",94,5,9,10,4,9,54
"S00136426",74,1,4,9,2,7,52
"S00136427",78,6,6,8,6,4,51
"S00136428",80,7,24,14,5,15,15
"S00136429",124,6,9,11,3,14,85
"S00136430",78,3,7,6,4,14,44
"S00136431",134,1,7,9,2,11,96
"S00136432",104,4,8,7,5,18,62
"S00136433",95,14,15,8,7,11,39
"S00136434",63,7,7,9,-,4,34
"S00136435",72,21,17,5,7,6,14
"S00136436",85,29,18,2,4,4,27
"S00136437",148,3,18,16,4,12,97
"S00136438",125,3,15,22,3,27,55
"S00136439",140,27,30,19,10,15,39
"S00136440",65,3,8,10,4,8,36
"S00136441",77,9,10,7,8,11,29
"S00136442",83,4,3,10,4,10,53
"S00136443",72,37,14,1,5,3,12
"S00136444",82,24,20,13,3,11,11
"S00136445",100,5,11,17,6,7,54
"S00136446",92,14,17,10,9,11,36
"S00136447",93,10,11,7,1,12,55
"S00136448",61,18,14,1,8,4,16
"S00136449",98,3,18,8,6,17,46
"S00136450",67,7,7,11,7,18,13
"S00136451",92,6,7,7,3,7,62
"S00136452",74,15,21,6,3,8,19
"S00136453",83,29,14,4,2,6,29
"S00136454",62,-,9,14,4,7,30
"S00136455",104,3,9,6,3,19,62
"S00136456",90,2,13,8,5,15,47
"S00136457",89,4,6,7,-,17,54
"S00136458",98,8,6,10,2,17,59
"S00136459",57,-,7,6,4,9,35
"S00136460",86,6,12,8,1,13,44
"S00136461",139,4,17,11,7,7,93
"S00136462",72,4,7,7,-,2,51
"S00136463",132,1,19,15,4,19,71
"S00136464",74,2,3,7,3,11,42
"S00136465",75,8,7,9,4,8,42
"S00136466",75,8,8,10,1,17,35
"S00136467",96,47,21,3,12,3,13
"S00136468",132,12,13,25,4,12,67
"S00136469",91,4,6,13,6,11,49
"S00136470",90,-,9,12,2,15,54
"S00136471",70,5,9,11,1,8,36
"S00136472",64,-,4,11,2,14,36
"S00136473",67,4,9,6,-,7,41
"S00136474",81,4,6,16,2,19,35
"S00136475",82,9,8,8,5,10,45
"S00136476",62,-,5,10,3,11,33
"S00136477",86,2,8,18,-,15,43
"S00136478",68,-,6,9,-,11,43
"S00136479",105,2,8,11,2,11,72
"S00136480",97,7,22,13,5,15,35
"S00136481",73,11,13,4,5,15,22
"S00136482",116,7,25,15,13,12,42
"S00136483",86,1,4,9,3,9,59
"S00136484",102,23,25,5,4,13,37
"S00136485",84,1,8,9,-,7,57
"S00136486",95,10,15,9,1,9,47
"S00136487",80,21,14,7,5,18,23
"S00136488",79,-,7,15,2,14,40
"S00136489",73,1,10,15,1,8,35
"S00136490",83,6,4,5,2,3,60
"S00136491",77,3,4,10,3,8,48
"S00136492",88,4,8,9,2,11,54
"S00136493",112,7,25,15,6,16,50
"S00136494",150,5,16,15,4,14,101
"S00136495",62,8,9,4,2,13,31
"S00136496",78,11,16,1,10,5,35
"S00136497",81,2,13,4,5,15,42
"S00136498",92,5,6,15,-,15,49
"S00136499",98,1,5,2,4,8,78
"S00136500",98,5,7,6,1,12,62
"S00136501",69,6,12,3,7,10,29
"S00136502",112,5,13,9,7,8,72
"S00136503",85,10,8,20,3,8,39
"S00136504",79,2,6,4,2,6,62
"S00136505",111,10,17,16,12,5,47
"S00136506",102,7,10,14,5,7,60
"S00136507",85,5,13,11,7,10,39
"S00136508",120,-,12,8,4,7,89
"S00136509",127,1,5,11,6,8,96
"S00136510",92,3,12,18,2,13,44
"S00136511",59,-,2,6,-,6,45
"S00136512",59,-,7,9,2,10,30
"S00136513",111,1,6,14,1,8,79
"S00136514",128,2,11,14,3,8,86
"S00136515",92,5,11,4,-,7,63
"S00136516",92,4,13,8,5,17,45
"S00136517",68,-,5,4,3,11,43
"S00136518",149,23,31,12,11,17,58
"S00136519",92,32,18,7,8,12,15
"S00136520",163,6,22,20,9,16,87
"S00136521",91,11,16,9,5,18,32
"S00136522",92,2,9,6,4,16,55
"S00136523",91,3,9,11,3,5,57
"S00136524",83,4,3,22,5,12,39
"S00136525",97,9,21,8,7,17,35
"S00136526",69,1,6,6,5,8,42
"S00136527",109,3,8,10,5,13,67
"S00136528",59,2,10,1,3,10,29
"S00136529",68,1,4,6,4,6,46
"S00136530",91,2,10,6,4,11,57
"S00136531",74,6,14,7,2,9,35
"S00136532",117,20,24,10,13,16,34
"S00136533",78,2,3,11,-,3,60
"S00136534",111,5,13,13,3,16,60
"S00136535",62,7,10,9,-,4,31
"S00136536",77,8,8,2,1,3,55
"S00136537",93,5,15,7,1,10,58
"S00136538",116,-,8,10,1,10,93
"S00136539",94,3,10,6,1,11,60
"S00136540",64,4,12,12,4,10,26
"S00136541",76,9,4,6,-,4,51
"S00136542",60,1,10,3,3,10,30
"S00136543",111,13,10,8,4,17,59
"S00136544",56,1,7,5,-,8,31
"S00136545",85,2,8,2,4,6,64
"S00136546",72,4,17,9,5,5,27
"S00136547",78,2,4,10,1,16,45
"S00136548",81,5,10,9,4,8,45
"S00136549",101,15,13,10,4,21,38
"S00136550",114,6,9,25,6,20,48
"S00136551",103,6,6,5,4,25,55
"S00136552",92,3,6,10,4,7,59
"S00136553",84,21,19,7,8,11,21
"S00136554",80,2,8,9,2,13,50
"S00136555",85,1,12,5,1,6,62
"S00136556",53,7,20,6,11,5,6
"S00136557",68,2,11,9,5,11,30
"S00136558",94,7,10,8,4,10,59
"S00136559",55,11,22,3,5,3,11
"S00136560",72,16,22,7,3,13,18
"S00136561",66,8,18,9,6,10,19
"S00136562",68,3,14,5,2,6,41
"S00136563",65,5,10,9,1,8,29
"S00136564",132,6,15,10,7,9,83
"S00136565",102,4,11,7,4,12,65
"S00136566",77,5,6,11,3,8,47
"S00136567",106,4,20,13,1,19,49
"S00136568",86,6,15,8,2,27,33
"S00136569",84,31,20,6,9,4,18
"S00136570",67,1,6,8,2,16,33
"S00136571",69,4,13,7,7,15,20
"S00136572",64,3,5,4,3,9,40
"S00136573",89,-,4,6,1,17,56
"S00136574",82,5,8,6,1,4,54
"S00136575",66,18,21,5,8,2,18
"S00136576",92,-,7,9,-,8,65
"S00136577",69,3,7,5,2,5,49
"S00136578",93,5,8,20,2,6,52
"S00136579",81,-,8,11,3,17,46
"S00136580",111,9,13,17,4,14,57
"S00136581",61,3,6,8,4,8,32
"S00136582",129,11,20,8,6,10,71
"S00136583",63,6,10,9,3,7,28
"S00136584",58,2,7,6,2,9,36
"S00136585",106,-,9,11,4,10,69
"S00136586",60,4,5,4,4,7,37
"S00136587",57,8,9,2,5,7,33
"S00136588",88,4,2,12,4,8,55
"S00136589",62,5,7,4,6,9,35
"S00136590",93,2,10,7,4,10,57
"S00136591",98,2,16,7,6,20,52
"S00136592",179,24,20,23,10,10,88
"S00136593",111,3,11,14,1,11,71
"S00136594",90,7,22,12,6,9,33
"S00136595",91,2,6,9,4,18,52
"S00136596",60,-,8,4,-,14,41
"S00136597",84,1,6,13,5,10,49
"S00136598",76,6,8,11,8,6,37
"S00136599",78,9,7,5,2,9,47
"S00136600",105,3,8,14,1,18,61
"S00136601",74,1,4,8,3,8,49
"S00136602",118,4,13,12,-,18,71
"S00136603",104,6,13,5,5,17,57
"S00136604",59,-,2,5,2,5,44
"S00136605",137,2,14,9,8,30,74
"S00136606",103,3,18,10,-,18,60
"S00136607",75,6,12,4,-,15,38
"S00136608",312,-,13,136,11,41,105
"S00136609",96,8,12,8,6,19,48
"S00136610",68,4,5,10,3,6,41
"S00136611",82,2,12,13,-,16,37
"S00136612",72,-,11,11,1,17,38
"S00136613",64,2,5,14,3,6,35
"S00136614",69,3,5,3,3,9,46
"S00136615",86,7,15,22,1,11,24
"S00136616",129,3,9,12,5,13,87
"S00136617",66,-,7,10,1,9,39
"S00136618",71,7,10,9,2,5,38
"S00136619",52,3,4,4,1,8,30
"S00136620",107,17,19,9,4,23,32
"S00136621",115,4,9,15,5,21,62
"S00136622",109,1,14,12,3,17,61
"S00136623",64,-,7,7,4,13,34
"S00136624",92,4,5,11,6,11,54
"S00136625",58,3,3,5,3,11,34
"S00136626",90,6,13,8,4,6,53
"S00136627",98,6,11,5,5,7,64
"S00136628",84,4,14,12,6,10,41
"S00136629",73,4,2,9,10,11,32
"S00136630",107,1,8,12,10,12,60
"S00136631",74,3,12,16,3,6,32
"S00136632",68,-,4,3,-,8,51
"S00136633",82,3,13,10,3,7,51
"S00136634",76,11,6,10,1,8,33
"S00136635",79,6,16,10,5,13,29
"S00136636",122,5,13,17,7,19,63
"S00136637",190,73,23,14,10,14,59
"S00136638",101,1,6,6,4,8,77
"S00136639",82,5,11,11,2,18,35
"S00136640",65,6,16,8,5,8,23
"S00136641",103,7,8,7,5,13,65
"S00136642",95,-,9,7,8,20,50
"S00136643",71,1,9,10,1,13,36
"S00136644",74,5,4,8,5,9,39
"S00136645",83,2,6,9,3,2,61
"S00136646",91,2,11,10,5,10,57
"S00136647",110,4,12,11,8,14,64
"S00136648",82,10,11,4,2,12,47
"S00136649",84,7,18,7,5,9,40
"S00136650",123,8,12,10,5,14,74
"S00136651",79,3,15,8,5,8,46
"S00136652",82,11,11,12,2,10,35
"S00136653",55,2,6,5,-,6,40
"S00136654",100,1,6,11,5,14,63
"S00136655",107,4,12,13,5,21,52
"S00136656",61,1,2,2,1,11,42
"S00136657",105,4,14,9,4,13,61
"S00136658",67,-,7,10,3,8,36
"S00136659",98,2,3,10,4,2,69
"S00136660",88,7,10,6,5,12,48
"S00136661",72,3,12,6,9,11,33
"S00136662",68,7,8,4,4,8,36
"S00136663",115,6,35,8,10,16,42
"S00136664",82,6,12,11,3,9,42
"S00136665",101,2,16,10,2,10,65
"S00136666",79,20,14,8,2,9,22
"S00136667",64,2,5,8,4,9,36
"S00136668",76,-,4,10,4,14,47
"S00136669",90,7,3,9,2,9,58
"S00136670",132,5,17,9,3,20,78
"S00136671",64,2,7,5,-,9,39
