Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00135877",124,31,40,10,5,15,16
"S00135878",131,8,10,21,1,7,86
"S00135879",72,16,18,9,13,8,7
"S00135880",173,4,24,45,3,21,75
"S00135881",99,22,31,8,11,7,18
"S00135882",85,14,27,7,6,7,28
"S00135883",61,13,23,5,5,11,6
"S00135884",59,19,9,4,4,8,11
"S00135885",80,26,15,2,8,9,20
"S00135886",76,22,17,5,6,12,17
"S00135887",65,15,12,4,3,5,27
"S00135888",86,12,17,9,1,12,33
"S00135889",60,2,6,10,1,8,35
"S00135890",74,16,17,5,11,11,10
"S00135891",67,17,27,-,7,9,7
"S00135892",98,8,14,6,9,13,48
"S00135893",95,10,13,10,7,11,43
"S00135894",100,21,32,4,19,13,15
"S00135895",126,28,41,7,7,12,29
"S00135896",134,19,31,8,12,20,36
"S00135897",129,20,28,21,10,15,25
"S00135898",98,34,24,6,7,12,15
"S00135899",72,12,8,13,-,3,31
"S00135900",115,12,20,19,9,12,41
"S00135901",92,29,16,10,13,9,11
"S00135902",72,18,28,2,8,7,8
"S00135903",89,6,22,17,4,14,26
"S00135904",64,11,19,3,4,11,17
"S00135905",69,18,20,4,8,8,11
"S00135906",51,8,11,2,6,3,21
"S00135907",99,4,15,29,4,6,38
"S00135908",90,17,29,7,16,10,12
"S00135909",54,15,20,4,7,8,4
"S00135910",67,19,17,2,12,8,9
"S00135911",87,13,27,11,6,13,19
"S00135912",110,4,9,26,2,5,64
"S00135913",104,1,12,8,5,11,72
"S00135914",93,5,10,10,5,12,54
"S00135915",128,14,14,21,11,15,50
"S00135916",82,6,7,9,3,8,50
"S00135917",118,10,47,13,14,13,21
"S00135918",91,15,30,9,6,10,19
"S00135919",73,18,21,5,10,10,15
"S00135920",100,22,27,8,13,12,10
"S00135921",98,23,33,9,3,4,27
"S00135922",103,6,18,7,6,10,60
"S00135923",200,8,28,58,8,17,85
"S00135924",82,20,20,13,7,12,17
"S00135925",60,10,18,5,7,9,13
"S00135926",86,28,20,6,10,4,14
"S00135927",113,16,24,11,8,12,42
"S00135928",70,5,11,19,1,12,22
"S00135929",62,11,11,7,5,5,22
"S00135930",113,3,16,14,9,16,55
"S00135931",97,11,18,8,16,18,26
"S00135932",64,19,20,7,5,7,10
"S00135933",120,20,23,8,4,12,53
"S00135934",114,7,16,16,5,14,55
"S00135935",89,7,17,6,12,6,44
"S00135936",94,1,20,12,4,19,33
"S00135937",105,11,18,20,6,10,37
"S00135938",90,17,28,3,8,14,17
"S00135939",67,5,1,4,3,11,42
"S00135940",82,35,25,4,5,3,13
"S00135941",113,2,13,18,4,12,60
"S00135942",115,16,20,10,15,13,41
"S00135943",88,12,9,7,2,8,46
"S00135944",144,26,55,13,15,12,22
"S00135945",74,11,11,4,8,7,37
"S00135946",130,5,17,17,11,27,58
"S00135947",112,19,25,7,4,14,43
"S00135948",121,11,19,24,2,15,53
"S00135949",128,2,20,14,9,16,64
"S00135950",60,19,11,7,5,-,16
"S00135951",129,6,6,39,4,13,62
"S00135952",57,8,11,5,2,6,25
"S00135953",110,10,7,31,2,9,47
"S00135954",115,3,16,18,2,9,65
"S00135955",117,32,34,6,10,13,22
"S00135956",99,17,33,14,15,9,19
"S00135957",101,4,13,11,5,15,54
"S00135958",65,15,16,8,12,4,13
"S00135959",114,23,29,13,11,13,24
"S00135960",124,14,36,10,11,17,36
"S00135961",133,38,36,9,11,9,23
"S00135962",87,16,17,9,3,11,34
"S00135963",146,8,13,15,8,21,82
"S00135964",97,6,10,12,1,15,51
"S00135965",90,2,8,17,1,9,54
"S00135966",75,26,13,5,7,12,10
"S00135967",87,16,15,12,2,14,27
"S00135968",124,35,42,4,11,10,21
"S00135969",70,6,10,14,2,15,26
"S00135970",86,30,23,11,3,5,12
"S00135971",111,14,16,12,4,15,50
"S00135972",90,26,23,4,7,9,21
"S00135973",97,22,25,5,12,10,28
"S00135974",89,20,21,4,5,5,29
"S00135975",76,15,23,5,-,14,18
"S00135976",112,21,12,15,2,22,38
"S00135977",63,18,22,5,7,8,3
"S00135978",110,2,20,27,2,19,46
