Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00135697",18,3,4,10,2,-,-,-,-,-,-
"S00135698",20,8,10,-,2,-,-,-,-,-,-
"S00135699",29,4,9,10,6,-,-,-,-,1,-
"S00135700",16,1,7,7,2,-,-,-,-,-,-
"S00135701",14,1,9,3,1,-,-,-,-,-,-
"S00135702",5,1,3,2,-,-,-,-,-,-,-
"S00135703",15,3,5,6,-,-,-,-,-,-,-
"S00135704",5,-,2,3,1,-,-,-,-,-,-
"S00135705",28,5,18,5,-,-,-,-,-,-,-
"S00135706",46,21,8,16,1,-,-,-,-,-,-
"S00135707",8,1,2,7,-,-,-,-,-,-,-
"S00135708",28,5,15,3,4,-,-,-,-,-,-
"S00135709",32,13,12,9,-,-,-,-,-,-,-
"S00135710",20,5,13,5,-,-,-,-,-,-,-
"S00135711",30,6,10,7,4,-,-,-,-,-,1
"S00135712",34,13,9,7,4,-,-,-,-,-,-
"S00135713",26,5,11,7,4,-,-,-,-,1,-
"S00135714",14,5,-,6,2,-,-,-,-,1,-
"S00135715",28,11,9,7,1,-,-,-,-,-,-
"S00135716",22,3,16,3,-,-,-,-,-,-,-
"S00135717",25,5,6,9,5,-,-,-,-,-,-
"S00135718",18,3,5,9,-,-,-,-,-,1,-
"S00135719",58,15,26,14,5,-,-,-,-,-,-
"S00135720",35,5,14,12,3,-,-,-,-,-,-
"S00135721",28,11,13,6,-,-,-,-,-,-,-
"S00135722",28,9,13,2,1,-,-,-,2,1,-
"S00135723",17,2,13,2,-,-,-,-,-,-,-
"S00135724",19,4,9,4,-,-,-,-,-,-,-
"S00135725",37,7,21,7,2,-,-,-,-,-,-
"S00135726",51,12,25,11,2,-,-,-,-,1,-
"S00135727",53,15,25,9,6,-,-,-,-,-,-
"S00135728",7,-,4,3,-,-,-,-,-,-,-
"S00135729",2,1,1,-,-,-,-,-,-,-,-
"S00135730",18,3,9,5,1,-,-,-,-,-,-
"S00135731",18,8,7,3,-,-,-,-,-,-,-
"S00135732",9,2,5,1,-,2,-,-,-,-,-
"S00135733",16,6,7,2,2,-,-,-,-,-,-
"S00135734",115,22,43,10,24,-,-,-,-,11,5
"S00135735",11,2,8,8,-,-,-,-,-,-,-
"S00135736",17,5,8,3,1,-,-,-,-,-,-
"S00135737",22,4,10,8,-,-,-,-,-,-,-
"S00135738",47,4,21,19,3,-,-,-,-,-,-
"S00135739",36,12,14,10,-,-,-,-,-,-,-
"S00135740",24,6,6,10,1,-,-,-,1,-,-
"S00135741",11,1,6,2,1,-,-,-,-,-,-
"S00135742",8,2,4,4,-,-,-,-,-,-,-
"S00135743",30,2,19,7,-,-,-,-,-,-,1
"S00135744",26,1,23,2,1,-,-,-,-,-,3
"S00135745",18,10,6,3,1,-,-,-,-,-,-
"S00135746",7,1,-,5,1,-,-,-,-,-,-
"S00135747",19,4,2,8,1,-,-,-,-,-,-
"S00135748",22,6,3,9,3,-,-,-,-,-,-
"S00135749",4,4,-,-,-,-,-,-,-,-,-
"S00135750",16,5,8,2,-,-,-,-,-,-,-
"S00135751",21,3,10,7,1,-,-,-,-,-,-
"S00135752",25,9,9,2,4,-,-,-,-,-,-
"S00135753",29,4,20,4,5,-,-,-,-,-,-
"S00135754",35,8,15,9,-,-,-,-,-,-,-
"S00135755",67,18,30,17,1,-,-,-,-,-,1
"S00135756",21,1,11,6,1,-,-,-,-,-,-
"S00135757",18,9,7,6,-,-,-,-,-,-,-
"S00135758",20,6,6,5,3,-,-,-,-,-,-
"S00135759",35,12,14,6,5,-,-,-,-,-,-
"S00135760",23,4,13,4,4,-,-,-,-,-,-
"S00135761",38,15,16,6,-,-,-,-,-,-,-
"S00135762",28,4,18,5,1,-,-,-,-,-,-
"S00135763",16,3,10,3,-,-,-,-,-,-,-
"S00135764",25,14,10,1,4,-,-,-,-,-,-
"S00135765",34,10,19,3,-,-,-,-,-,-,-
"S00135766",31,7,14,5,5,-,-,-,-,-,-
"S00135767",35,9,11,12,3,-,-,-,-,3,-
"S00135768",72,18,33,21,4,-,-,-,-,-,-
"S00135769",27,6,15,4,-,-,-,-,-,-,-
"S00135770",28,7,10,6,-,-,-,-,-,4,1
"S00135771",39,12,21,5,-,-,-,-,-,-,-
"S00135772",33,4,22,7,-,-,-,-,-,-,-
"S00135773",52,15,25,2,8,-,-,-,-,-,1
"S00135774",19,7,7,5,1,-,1,-,-,-,-
"S00135775",53,7,21,12,8,-,-,-,-,2,-
"S00135776",22,4,10,4,4,-,-,-,1,1,-
"S00135777",24,2,15,4,5,-,-,-,-,-,-
"S00135778",23,8,14,-,-,-,-,-,-,-,-
"S00135779",9,1,-,6,1,-,-,-,-,-,-
"S00135780",33,16,14,6,-,-,-,-,-,-,-
"S00135781",34,7,6,12,4,-,-,-,4,-,-
