Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00172510",23,4,12,5,2,-,-,-,-,-,-
"S00172511",14,-,7,4,-,-,-,-,2,2,-
"S00172512",21,1,13,4,2,-,-,-,-,-,-
"S00172513",20,10,3,4,4,-,-,-,-,-,-
"S00172514",31,7,10,7,1,4,-,-,-,-,-
"S00172515",26,5,15,-,6,-,-,-,-,-,-
"S00172516",36,2,28,2,-,1,-,-,-,-,-
"S00172517",14,1,7,5,-,1,-,-,-,-,-
"S00172518",22,3,16,-,-,3,-,-,-,-,-
"S00172519",11,-,4,3,4,-,-,-,-,-,-
"S00172520",21,2,17,2,2,-,-,-,-,-,-
"S00172521",9,1,4,2,1,2,-,-,-,-,-
"S00172522",13,6,3,3,2,-,-,-,-,-,-
"S00172523",17,4,-,8,2,1,-,-,-,-,-
"S00172524",26,10,9,1,4,2,-,-,-,-,-
"S00172525",7,-,3,4,-,-,-,-,-,-,-
"S00172526",20,-,7,10,3,-,-,-,-,-,-
"S00172527",18,6,2,3,-,2,-,-,-,-,-
"S00172528",7,2,4,1,-,-,-,-,-,-,-
"S00172529",19,3,11,3,-,-,-,-,-,-,-
"S00172530",22,2,4,2,3,4,2,-,-,4,-
"S00172531",15,4,4,7,2,-,-,-,-,-,-
"S00172532",15,1,2,5,2,2,-,-,1,-,-
"S00172533",15,3,-,8,-,3,-,-,-,-,-
"S00172534",20,4,4,4,6,-,-,-,-,-,-
"S00172535",23,2,12,7,2,-,1,-,-,-,-
"S00172536",12,1,3,8,-,-,-,-,-,-,-
"S00172537",17,-,5,8,4,2,-,-,-,-,-
"S00172538",12,6,1,2,-,1,-,-,-,-,-
"S00172539",28,11,8,4,1,-,1,-,-,-,-
"S00172540",5,2,4,-,-,-,-,-,-,-,-
"S00172541",31,2,17,9,-,4,1,-,-,-,-
"S00172542",8,3,4,3,-,-,-,-,-,-,-
"S00172543",20,2,12,2,3,-,4,-,-,-,-
"S00172544",13,4,6,2,-,1,-,-,-,-,-
"S00172545",20,-,10,-,9,-,1,-,-,-,-
"S00172546",11,3,2,1,-,3,-,-,-,-,-
"S00172547",29,5,21,-,-,2,-,-,-,-,-
"S00172548",22,11,10,1,-,-,-,-,-,-,-
"S00172549",17,-,11,-,1,5,-,-,-,-,-
"S00172550",12,2,6,2,-,2,-,-,-,-,-
"S00172551",24,8,12,2,3,3,-,-,-,-,2
"S00172552",21,1,10,6,2,1,-,-,-,-,-
"S00172553",39,3,31,1,-,5,-,-,-,-,-
"S00172554",21,1,14,4,1,2,2,-,-,-,-
"S00172555",7,-,1,-,1,1,-,-,-,-,-
"S00172556",7,1,4,3,-,-,-,-,1,-,-
"S00172557",7,2,-,2,2,1,-,-,-,-,-
"S00172558",11,1,6,2,-,2,-,-,-,-,-
"S00172559",37,-,28,-,4,4,-,-,-,-,1
"S00172560",17,9,4,3,-,-,1,-,-,-,-
"S00172561",33,6,8,11,3,4,-,-,-,-,-
"S00172562",31,4,9,11,5,2,1,-,-,-,-
"S00172563",22,4,13,-,3,-,-,-,-,-,-
"S00172564",37,1,18,15,-,2,-,-,1,-,-
"S00172565",28,-,22,-,2,2,-,-,1,-,-
"S00172566",19,1,11,-,3,2,-,-,-,1,-
"S00172567",11,2,6,1,1,1,-,-,-,-,-
"S00172568",23,3,19,-,-,1,-,-,-,-,-
"S00172569",17,1,10,3,1,-,-,-,-,-,-
"S00172570",51,18,14,13,2,-,-,-,-,-,-
"S00172571",29,4,9,11,1,4,-,-,-,-,-
"S00172572",13,1,3,1,-,1,1,-,-,1,-
"S00172573",31,4,6,12,1,4,-,-,-,-,-
"S00172574",16,4,6,3,2,2,-,-,-,-,-
"S00172575",15,3,4,5,3,-,-,-,-,-,-
"S00172576",15,-,3,5,3,-,1,1,-,-,-
"S00172577",29,9,7,13,1,-,1,-,-,-,-
"S00172578",30,5,1,16,3,4,-,-,-,-,-
"S00172579",65,7,28,24,5,3,-,-,-,-,-
"S00172580",26,6,14,7,2,-,-,-,-,-,-
"S00172581",23,2,10,8,2,1,-,-,-,-,-
"S00172582",30,4,20,6,-,1,-,-,-,1,-
"S00172583",12,2,4,5,1,1,-,-,-,-,-
"S00172584",14,2,4,5,-,-,-,-,-,-,-
"S00172585",2,-,-,2,-,1,-,-,-,-,-
"S00172586",22,3,6,11,-,4,1,-,-,-,-
"S00172587",7,2,-,-,1,1,-,-,-,-,-
"S00172588",13,1,5,2,-,2,-,-,-,-,-
"S00172589",36,8,14,10,6,2,-,-,-,-,-
"S00172590",23,10,5,5,-,2,-,-,-,-,-
"S00172591",3,-,2,-,-,-,1,-,-,-,-
"S00172592",31,2,19,6,2,-,-,-,-,-,-
"S00172593",29,8,13,6,2,1,-,-,-,-,-
"S00172594",12,-,9,2,-,-,-,-,-,-,-
"S00172595",55,11,23,20,-,-,-,-,-,-,-
"S00172596",6,-,2,1,-,1,-,-,-,-,-
"S00172597",21,2,-,11,4,3,-,-,-,-,-
"S00172598",16,4,9,3,6,-,-,-,-,-,-
"S00172599",13,3,-,4,4,1,1,-,-,-,-
"S00172600",21,3,6,7,-,4,1,-,-,-,-
"S00172601",12,3,3,2,4,-,-,-,-,-,-
"S00172602",9,1,3,8,-,-,-,-,-,-,-
"S00172603",11,-,6,3,-,1,-,-,-,-,-
"S00172604",39,10,17,9,1,-,-,-,-,-,-
"S00172605",25,3,7,6,3,1,-,-,-,-,-
"S00172606",49,17,13,19,4,2,-,-,-,-,1
"S00172607",12,2,3,6,-,2,-,-,-,-,-
"S00172608",16,4,3,6,2,-,-,-,-,-,-
"S00172609",19,4,6,8,-,1,-,-,-,-,-
"S00172610",19,2,6,7,2,1,-,-,-,-,-
"S00172611",13,5,6,1,2,3,-,-,-,-,-
"S00172612",13,4,7,3,-,2,-,-,-,-,-
"S00172613",15,-,9,2,-,2,1,1,-,-,-
"S00172614",38,12,14,9,4,-,-,-,-,-,-
"S00172615",11,1,8,5,-,-,-,-,-,-,-
"S00172616",15,1,5,8,-,3,-,-,-,-,-
"S00172617",53,15,34,3,1,-,3,-,-,-,-
"S00172618",7,-,1,2,3,1,-,-,-,-,-
"S00172619",57,15,20,14,4,1,-,-,-,-,-
"S00172620",7,-,5,-,1,-,1,-,-,-,-
"S00172621",53,15,14,21,3,2,1,-,1,-,-
"S00172622",41,-,23,11,3,2,-,-,-,1,-
"S00172623",37,16,11,5,1,3,-,-,-,-,1
"S00172624",31,7,9,3,6,5,1,-,-,-,-
"S00172625",41,16,12,6,1,3,-,-,-,-,1
"S00172626",7,-,4,3,1,1,-,-,-,-,-
"S00172627",25,5,18,2,-,1,-,-,-,-,-
"S00172628",40,9,17,9,-,3,-,-,1,-,-
"S00172629",9,5,4,2,3,-,-,-,-,-,-
"S00172630",30,8,6,11,-,7,-,-,-,-,-
"S00172631",28,2,2,19,2,-,-,-,-,-,-
"S00172632",33,6,13,7,4,-,-,-,-,-,-
"S00172633",17,4,9,2,-,-,-,-,-,-,-
"S00172634",22,1,7,6,2,1,-,-,-,-,-
"S00172635",51,16,29,-,2,1,-,-,-,-,-
"S00172636",20,6,4,6,1,2,-,-,2,-,-
"S00172637",37,7,9,14,2,-,1,-,-,1,-
"S00172638",8,2,4,1,-,1,-,-,-,-,1
"S00172639",26,6,8,7,1,-,-,-,-,1,-
"S00172640",28,3,6,8,9,3,2,-,-,-,-
"S00172641",28,4,20,3,1,-,-,-,-,-,-
"S00172642",24,10,4,9,-,1,-,-,-,-,-
"S00172643",25,3,8,10,2,1,1,-,-,-,-
"S00172644",60,11,15,20,8,2,1,-,-,1,-
"S00172645",14,2,9,-,-,3,-,-,-,-,-
"S00172646",24,6,3,11,1,4,1,-,-,-,-
"S00172647",33,2,3,15,2,4,4,-,1,-,-
"S00172648",24,4,13,3,2,1,1,-,-,-,-
"S00172649",9,4,-,5,-,-,-,-,4,-,-
"S00172650",18,7,3,2,1,5,-,-,-,-,-
"S00172651",23,6,12,-,-,-,-,-,-,-,-
"S00172652",10,1,2,3,4,-,-,-,-,-,-
"S00172653",26,4,21,-,3,1,-,-,-,-,-
"S00172654",14,4,4,5,-,-,-,-,-,-,-
"S00172655",6,-,3,1,1,-,-,-,-,-,1
"S00172656",18,7,8,1,2,-,-,-,-,-,-
"S00172657",20,7,6,-,1,-,-,-,-,2,-
"S00172658",30,2,18,4,4,1,2,2,-,1,-
"S00172659",15,3,6,6,-,-,-,-,-,-,-
"S00172660",22,-,16,2,2,-,-,-,-,-,-
"S00172661",24,5,12,3,1,1,1,-,-,-,-
"S00172662",5,3,-,1,2,-,-,-,-,-,-
"S00172663",12,2,4,4,-,3,-,-,-,-,-
"S00172664",10,1,8,2,2,1,-,-,-,-,-
"S00172665",10,3,7,-,-,-,-,-,-,-,-
"S00172666",15,3,9,-,1,1,-,-,-,-,-
"S00172667",15,2,6,4,-,-,-,-,-,-,-
"S00172668",39,4,15,21,-,1,1,-,-,1,-
"S00172669",16,6,8,1,-,-,-,-,1,-,-
"S00172670",62,7,40,4,9,-,-,-,-,-,-
"S00172671",11,5,3,2,2,-,-,-,-,-,-
"S00172672",25,7,9,5,-,-,-,-,-,-,-
"S00172673",22,6,16,3,-,-,-,-,-,-,-
"S00172674",25,10,7,1,2,2,-,-,-,-,-
"S00172675",8,2,5,-,2,-,-,-,-,-,-
"S00172676",2,-,2,3,-,-,-,-,-,-,-
"S00172677",10,3,6,-,-,-,-,-,-,-,-
"S00172678",22,-,7,10,-,5,-,-,-,-,-
"S00172679",10,1,2,4,2,-,-,-,-,-,-
"S00172680",40,6,10,14,3,2,3,-,-,-,-
"S00172681",8,2,5,1,1,2,-,-,-,-,-
"S00172682",21,-,14,3,2,3,2,-,-,-,-
"S00172683",28,11,5,3,4,5,-,-,-,-,-
"S00172684",8,1,3,2,1,1,-,-,-,-,-
"S00172685",11,2,5,-,1,1,-,-,-,-,-
"S00172686",33,3,27,-,2,1,-,-,-,1,-
"S00172687",14,1,12,2,-,-,-,-,-,-,-
"S00172688",18,7,7,1,1,4,-,-,-,-,-
"S00172689",34,8,19,1,5,-,-,-,-,-,-
"S00172690",28,1,12,11,-,3,-,-,-,-,-
"S00172691",22,7,16,-,-,1,-,-,-,-,-
"S00172692",34,5,10,12,2,4,-,-,-,-,-
"S00172693",17,4,14,-,1,1,-,-,-,-,-
"S00172694",23,4,11,-,-,3,-,-,-,-,-
"S00172695",11,-,9,6,-,-,1,-,-,-,-
"S00172696",29,10,3,9,-,1,4,-,-,-,-
"S00172697",31,5,12,12,2,1,-,-,-,-,-
"S00172698",39,8,10,16,1,2,1,-,-,-,-
"S00172699",18,3,6,6,-,2,-,-,-,-,1
"S00172700",54,17,14,17,4,-,-,-,-,3,-
"S00172701",18,5,10,-,1,-,-,-,-,-,-
"S00172702",20,5,12,2,-,1,-,-,-,-,-
"S00172703",8,-,6,2,-,1,-,-,-,-,-
"S00172704",20,3,11,-,3,2,-,-,-,-,-
"S00172705",20,3,10,2,-,2,2,-,-,-,-
"S00172706",30,6,13,5,3,4,-,-,-,-,-
"S00172707",22,5,11,3,-,2,-,-,-,-,-
"S00172708",18,3,10,1,3,1,-,-,-,-,-
"S00172709",18,7,6,-,-,2,-,-,-,-,-
"S00172710",11,4,3,2,-,2,-,-,-,-,-
"S00172711",9,2,4,1,2,2,-,-,-,-,-
"S00172712",34,3,25,2,2,5,-,-,-,-,-
"S00172713",15,-,18,4,-,-,1,-,-,1,-
"S00172714",25,2,13,3,2,3,-,-,-,-,-
"S00172715",21,4,10,2,-,3,1,-,-,-,-
"S00172716",22,5,11,3,2,2,-,-,-,-,-
"S00172717",15,2,8,1,-,3,-,-,-,-,2
"S00172718",59,3,20,28,5,-,2,-,-,-,-
"S00172719",19,-,19,-,-,-,-,-,-,-,-
"S00172720",31,3,22,8,-,-,1,-,-,-,-
"S00172721",19,10,5,4,1,4,-,-,-,-,-
"S00172722",26,6,11,2,2,3,-,-,-,-,-
"S00172723",12,-,4,6,-,-,1,-,-,-,-
"S00172724",7,-,3,1,-,1,-,-,-,-,-
"S00172725",33,10,11,10,2,-,-,-,1,-,-
"S00172726",16,5,10,-,-,-,-,-,-,-,-
"S00172727",22,9,8,2,2,-,-,1,-,-,-
"S00172728",45,11,26,-,6,-,2,-,-,-,-
"S00172729",26,8,6,10,-,-,-,-,-,1,-
"S00172730",24,-,15,2,2,2,-,-,-,-,-
"S00172731",10,6,3,1,-,-,-,-,-,-,-
"S00172732",14,4,3,5,-,-,-,-,-,-,-
"S00172733",16,1,14,-,1,-,-,-,-,-,-
"S00172734",20,6,4,9,-,-,-,-,-,-,-
"S00172735",4,-,3,-,1,-,-,-,-,-,-
"S00172736",23,4,14,1,1,2,-,-,-,-,-
"S00172737",31,2,21,3,3,-,-,-,-,-,-
"S00172738",8,-,4,-,-,3,-,-,-,-,-
"S00172739",25,2,13,-,2,4,-,-,1,-,-
"S00172740",10,3,-,5,-,2,-,-,-,-,-
"S00172741",9,-,4,3,-,1,-,-,-,-,-
"S00172742",25,-,4,12,5,4,-,1,-,1,-
"S00172743",10,6,3,-,-,1,-,-,-,-,-
"S00172744",33,5,14,1,8,2,-,-,-,-,-
"S00172745",10,1,6,-,-,3,-,-,-,-,-
"S00172746",26,6,17,-,-,-,1,-,-,-,-
"S00172747",14,5,7,4,-,-,-,-,-,-,-
"S00172748",28,5,4,10,6,2,-,-,1,-,-
"S00172749",21,4,7,3,2,1,-,-,-,-,-
"S00172750",9,1,7,1,-,-,-,-,-,-,-
"S00172751",16,-,14,1,-,-,-,-,-,-,-
"S00172752",11,3,2,-,2,4,-,-,-,-,-
"S00172753",10,3,2,2,-,-,-,-,1,-,-
"S00172754",16,-,7,1,4,1,-,-,-,-,-
"S00172755",24,-,15,3,-,4,-,-,-,-,-
"S00172756",25,-,2,8,8,5,-,-,-,-,-
"S00172757",3,2,2,-,-,-,-,-,-,-,-
"S00172758",21,7,8,4,-,1,-,-,-,-,-
"S00172759",8,5,1,2,-,-,-,-,-,-,-
"S00172760",10,1,8,2,1,2,-,-,-,-,-
"S00172761",18,2,11,2,-,-,-,-,-,-,-
"S00172762",14,-,12,1,-,-,-,-,1,-,-
"S00172763",11,-,6,-,2,1,1,-,-,-,-
"S00172764",21,2,13,2,1,-,-,-,-,-,-
"S00172765",17,1,7,-,4,3,-,-,-,-,-
"S00172766",25,2,18,1,2,1,1,-,-,-,-
"S00172767",19,2,8,9,3,-,-,-,-,-,-
"S00172768",16,3,6,-,4,1,-,-,-,-,-
"S00172769",12,5,5,2,-,2,-,-,-,-,-
"S00172770",38,4,28,-,4,2,-,-,-,-,-
"S00172771",29,6,20,2,1,1,-,-,-,-,-
"S00172772",20,3,14,3,-,-,1,1,-,-,-
"S00172773",27,3,11,5,4,-,-,-,-,-,-
"S00172774",3,-,-,1,-,-,-,-,-,-,-
"S00172775",11,3,6,1,1,-,-,-,-,-,-
"S00172776",12,-,7,5,-,-,-,-,-,-,-
"S00172777",16,1,12,1,-,3,-,-,-,-,-
"S00172778",30,4,11,11,-,-,2,-,-,1,-
"S00172779",21,2,8,5,1,3,-,-,-,-,-
"S00172780",23,5,11,3,4,2,-,-,-,-,-
"S00172781",24,2,17,1,3,1,-,-,-,-,-
"S00172782",11,-,6,2,-,3,-,-,-,-,-
"S00172783",24,8,8,6,-,2,-,-,-,-,-
"S00172784",30,6,20,2,4,1,-,-,-,-,-
"S00172785",16,-,12,-,4,-,-,-,-,-,-
"S00172786",27,2,17,1,3,5,-,-,-,-,-
"S00172787",12,2,-,6,-,1,-,-,-,1,-
"S00172788",8,-,2,-,-,1,2,-,1,-,-
"S00172789",18,4,4,5,1,3,1,-,-,-,-
"S00172790",15,4,7,2,1,2,1,-,-,-,-
"S00172791",15,-,4,3,5,3,-,-,1,-,-
"S00172792",7,-,5,1,2,-,-,-,-,-,-
"S00172793",31,1,11,10,4,4,-,-,2,-,-
"S00172794",30,6,20,1,2,1,-,-,-,-,-
"S00172795",13,1,6,5,2,-,-,-,-,-,-
"S00172796",18,-,11,3,2,2,-,-,-,-,-
"S00172797",11,7,4,-,-,1,-,-,-,-,-
"S00172798",4,-,2,1,1,-,-,-,-,-,-
"S00172799",8,-,2,5,-,1,-,-,-,-,-
"S00172800",17,3,12,1,1,-,-,-,-,-,-
"S00172801",13,1,8,5,-,1,-,-,-,-,-
"S00172802",2,-,-,-,-,2,-,-,-,-,-
"S00172803",6,1,5,1,-,-,-,-,-,-,-
"S00172804",10,1,5,-,1,4,-,1,-,-,-
"S00172805",27,5,17,2,1,2,-,-,1,-,-
"S00172806",11,-,3,3,2,3,-,-,-,-,-
"S00172807",12,3,4,3,1,-,-,-,-,-,-
"S00172808",28,11,6,8,-,-,-,-,-,1,-
"S00172809",23,1,15,3,-,-,-,-,-,-,-
"S00172810",18,4,12,-,3,-,-,-,-,-,-
"S00172811",22,4,20,1,1,-,-,-,-,-,-
"S00172812",12,-,3,2,2,-,-,-,1,-,-
"S00172813",25,3,12,7,5,-,-,-,-,-,-
"S00172814",3,-,1,1,-,1,-,-,-,-,-
"S00172815",27,8,7,9,2,1,-,-,-,-,-
"S00172816",29,9,12,6,-,2,-,-,-,-,-
"S00172817",16,4,5,4,-,1,-,-,-,-,-
"S00172818",38,8,5,11,7,8,1,-,-,1,-
"S00172819",27,6,16,1,3,-,-,-,-,-,-
"S00172820",20,1,8,3,4,4,-,-,-,-,-
"S00172821",25,3,11,2,3,1,1,-,-,-,-
"S00172822",13,1,3,10,1,7,-,-,-,-,-
"S00172823",13,2,10,1,-,-,-,-,-,-,-
"S00172824",1,-,-,1,-,-,-,-,-,-,-
"S00172825",35,11,10,13,2,-,-,-,-,1,-
"S00172826",25,1,6,12,7,3,-,-,-,-,-
"S00172827",36,4,14,12,3,2,-,-,1,-,-
"S00172828",188,39,54,4,74,12,4,-,-,-,4
"S00172829",21,4,13,1,2,1,-,-,-,-,-
"S00172830",14,5,4,1,3,1,-,-,-,-,-
"S00172831",23,4,6,10,1,1,-,-,-,-,-
"S00172832",15,5,3,4,1,1,-,-,-,-,-
"S00172833",22,10,9,5,2,-,-,-,-,-,-
"S00172834",27,7,17,5,1,1,-,-,-,-,-
"S00172835",17,3,8,-,-,-,-,-,-,-,-
"S00172836",26,5,14,-,2,3,-,-,-,-,-
"S00172837",23,6,12,1,4,1,-,-,-,-,-
"S00172838",10,2,6,-,2,-,-,-,-,-,-
"S00172839",3,4,-,-,1,-,-,-,-,-,-
"S00172840",28,14,8,6,-,-,-,-,-,-,-
"S00172841",8,5,2,2,1,1,-,-,-,-,-
"S00172842",30,10,7,10,-,-,-,-,-,-,-
"S00172843",6,3,1,2,1,-,-,-,-,-,-
"S00172844",26,12,9,3,1,2,-,-,-,-,-
"S00172845",30,2,10,11,3,-,-,-,-,-,-
"S00172846",27,1,7,13,5,-,-,-,-,2,-
"S00172847",32,6,16,1,5,1,-,-,-,-,-
"S00172848",16,2,5,1,2,-,-,-,-,-,-
"S00172849",12,5,1,1,-,-,1,-,-,-,-
"S00172850",10,3,5,2,2,-,-,-,-,-,-
"S00172851",25,4,7,14,-,1,-,-,-,-,-
"S00172852",27,4,14,5,1,-,-,-,-,-,-
"S00172853",11,-,4,5,1,-,-,-,-,-,-
"S00172854",17,11,6,2,-,-,-,-,-,-,-
"S00172855",2,-,3,1,-,-,-,-,-,-,-
"S00172856",19,4,11,4,-,-,-,-,-,-,-
"S00172857",13,7,2,-,-,3,-,-,-,-,1
"S00172858",21,6,4,3,-,6,-,-,-,-,-
"S00172859",7,1,2,3,-,-,-,-,-,-,-
"S00172860",21,5,9,-,6,-,-,-,-,-,-
"S00172861",4,-,-,4,-,-,-,-,-,-,-
"S00172862",19,4,6,9,-,-,2,-,-,-,-
"S00172863",25,3,14,7,-,-,-,-,-,-,-
"S00172864",17,2,9,1,3,-,-,-,-,-,-
"S00172865",21,-,11,8,1,-,-,-,1,-,-
"S00172866",7,5,2,-,-,-,-,-,-,-,-
"S00172867",27,9,15,4,-,-,-,-,-,-,-
"S00172868",32,8,11,2,6,6,-,-,-,-,1
"S00172869",16,2,6,4,-,1,1,-,-,-,-
"S00172870",46,13,14,12,2,4,-,-,-,2,-
"S00172871",25,4,8,9,1,2,-,-,-,-,-
"S00172872",14,8,4,-,2,-,1,-,-,-,-
"S00172873",11,5,2,-,5,-,-,-,-,-,-
"S00172874",31,6,11,7,2,6,-,-,-,3,-
"S00172875",7,3,2,-,-,2,1,-,-,-,-
"S00172876",13,4,9,-,1,-,-,-,-,-,-
"S00172877",18,1,10,6,-,-,-,-,-,1,-
"S00172878",10,5,5,-,-,-,-,-,-,-,-
"S00172879",6,-,-,2,-,-,-,-,-,-,-
"S00172880",10,3,3,3,-,2,-,-,-,-,-
"S00172881",21,8,4,3,3,2,-,-,2,-,-
"S00172882",31,15,15,1,-,2,-,-,1,1,-
"S00172883",37,11,6,15,-,1,-,-,-,1,-
"S00172884",30,7,2,12,6,-,-,-,-,-,-
"S00172885",9,-,2,-,5,-,-,-,-,-,-
"S00172886",34,14,13,-,6,1,-,-,-,-,-
"S00172887",13,1,9,-,-,3,-,-,-,-,-
"S00172888",11,-,5,3,-,-,1,-,1,-,-
"S00172889",24,11,7,-,1,3,-,-,-,-,-
"S00172890",12,-,6,2,1,2,-,-,-,-,-
"S00172891",12,3,5,3,-,-,1,-,-,1,-
"S00172892",25,3,11,9,1,1,-,1,-,1,-
"S00172893",50,6,17,17,9,1,-,-,-,-,-
"S00172894",12,3,9,-,-,-,-,-,-,-,-
"S00172895",20,3,11,-,1,-,1,-,-,1,-
"S00172896",4,-,1,-,-,-,-,-,-,-,-
"S00172897",28,4,12,2,10,2,-,-,-,-,-
"S00172898",15,1,8,1,3,-,-,-,-,-,-
"S00172899",15,-,9,1,2,1,-,-,2,-,1
"S00172900",28,-,12,5,6,3,-,-,-,-,-
"S00172901",38,6,12,17,-,1,-,-,-,-,-
"S00172902",32,5,8,15,3,2,-,-,-,-,-
"S00172903",24,8,9,-,4,-,-,-,-,-,-
"S00172904",16,2,9,1,1,2,-,-,-,1,-
"S00172905",8,1,4,1,-,-,1,-,-,-,1
"S00172906",14,2,3,2,-,4,-,-,-,-,-
"S00172907",38,15,13,8,1,1,-,-,-,1,-
"S00172908",18,5,9,2,1,1,-,-,-,-,-
"S00172909",13,1,6,4,-,1,-,-,-,-,-
"S00172910",14,4,8,-,-,3,-,-,-,-,-
"S00172911",247,49,151,5,12,1,-,-,-,9,20
"S00172912",16,8,5,2,-,2,-,-,-,-,-
"S00172913",20,3,11,1,-,3,-,-,-,-,1
"S00172914",14,4,4,1,-,-,3,-,-,-,-
"S00172915",20,5,8,-,4,1,2,-,1,-,-
"S00172916",14,3,6,5,-,-,-,-,-,-,-
"S00172917",11,10,-,2,2,-,-,-,-,-,-
"S00172918",27,4,10,6,1,-,-,-,-,1,-
"S00172919",12,4,4,1,-,1,2,-,-,-,-
"S00172920",16,5,9,1,1,2,-,-,-,-,-
"S00172921",15,5,4,2,1,2,-,-,-,-,-
"S00172922",13,6,6,-,-,-,-,-,2,-,-
"S00172923",9,1,1,1,4,1,-,-,-,-,-
"S00172924",38,5,21,10,1,2,-,-,-,-,-
"S00172925",22,4,6,7,4,-,-,-,-,-,1
"S00172926",1,-,-,-,-,1,-,-,-,-,-
"S00172927",33,6,20,6,1,2,-,-,-,-,-
"S00172928",21,2,14,4,2,-,-,-,-,-,-
"S00172929",21,4,7,5,3,-,-,-,-,2,-
"S00172930",41,-,21,14,3,-,-,-,-,-,-
"S00172931",24,7,12,3,1,1,-,-,-,-,-
"S00172932",46,7,22,-,5,11,-,-,2,-,-
"S00172933",8,1,8,1,-,-,-,-,-,-,-
"S00172934",35,14,12,1,5,3,-,-,-,-,-
"S00172935",24,11,8,-,-,2,-,-,-,-,-
"S00172936",17,4,12,-,-,1,-,-,-,-,-
"S00172937",309,79,185,2,20,12,1,-,-,5,2
"S00172938",12,7,-,-,2,1,-,-,-,1,-
"S00172939",12,-,6,-,5,-,-,-,-,-,-
"S00172940",13,-,4,6,1,-,-,-,-,-,-
"S00172941",28,5,17,3,-,1,-,-,-,-,-
"S00172942",11,4,5,-,2,-,-,-,-,-,-
"S00172943",16,11,3,-,-,1,1,-,-,-,-
"S00172944",46,16,11,12,4,3,-,-,-,-,1
"S00172945",14,1,3,8,-,-,-,-,-,-,-
"S00172946",17,6,1,7,2,2,-,-,-,-,-
"S00172947",29,12,11,4,3,4,-,-,-,-,-
"S00172948",17,5,7,1,4,1,-,-,-,-,-
"S00172949",15,4,7,1,2,5,-,-,-,-,2
"S00172950",20,2,5,6,1,5,-,-,-,-,-
"S00172951",24,4,8,8,1,2,1,-,-,-,-
"S00172952",20,9,7,-,2,2,1,-,-,-,-
"S00172953",24,8,2,4,5,3,-,1,-,-,-
"S00172954",21,9,7,-,2,1,-,-,1,2,-
"S00172955",18,-,11,3,4,3,-,-,-,-,-
"S00172956",19,5,6,-,-,4,2,-,-,-,3
"S00172957",12,2,-,3,2,4,-,-,-,1,-
"S00172958",14,6,1,-,-,3,2,-,-,-,-
"S00172959",50,9,13,26,2,-,-,-,2,1,-
"S00172960",23,2,2,8,2,1,-,-,1,-,-
"S00172961",10,2,5,3,1,-,-,-,1,-,-
"S00172962",10,4,-,-,3,-,-,-,-,-,-
"S00172963",16,-,7,8,1,-,-,-,-,-,-
"S00172964",23,3,13,6,2,-,-,-,-,-,-
"S00172965",30,7,18,5,-,1,-,-,-,-,2
"S00172966",26,19,6,2,-,-,2,-,1,-,-
"S00172967",19,3,9,3,1,-,-,-,-,-,-
"S00172968",4,3,-,2,-,-,-,-,-,-,-
"S00172969",26,12,9,2,2,2,-,-,-,-,-
"S00172970",37,5,9,14,5,1,2,-,-,1,-
"S00172971",10,2,4,1,-,-,-,-,-,-,2
"S00172972",18,3,4,4,2,1,-,-,-,-,-
"S00172973",6,2,6,-,1,-,-,-,-,-,-
"S00172974",4,-,1,-,-,4,-,-,-,-,-
"S00172975",22,2,8,6,2,1,-,-,-,-,-
"S00172976",17,4,10,1,4,1,-,-,-,-,-
"S00172977",6,-,3,1,-,-,-,-,-,-,-
"S00172978",12,4,9,1,-,-,-,-,-,-,-
"S00172979",8,2,3,-,2,-,-,-,-,-,-
"S00172980",22,6,8,6,1,-,-,-,-,-,-
"S00172981",29,9,13,5,1,2,-,-,-,-,-
"S00172982",46,10,16,16,3,-,-,-,-,-,-
"S00172983",24,3,17,1,1,2,-,-,-,-,-
"S00172984",26,5,3,13,2,-,-,-,1,-,-
"S00172985",23,2,11,2,-,2,-,-,-,-,-
"S00172986",26,16,10,-,-,-,-,-,-,-,-
"S00172987",22,5,11,4,1,3,1,-,-,-,-
"S00172988",12,-,5,3,2,-,-,-,-,-,-
"S00172989",20,-,15,2,2,-,-,-,2,-,-
"S00172990",6,-,1,-,-,3,1,-,-,1,-
"S00172991",5,5,-,-,-,-,-,-,-,-,-
"S00172992",15,2,6,5,-,2,1,-,-,-,-
"S00172993",30,7,11,8,-,2,1,-,-,-,-
"S00172994",20,6,7,1,1,2,-,-,-,-,-
"S00172995",21,10,6,3,-,1,-,-,1,-,-
"S00172996",31,11,10,4,1,3,2,-,-,-,-
"S00172997",18,3,8,-,-,4,-,-,-,-,3
"S00172998",15,-,5,7,3,-,-,-,-,-,-
"S00172999",13,6,2,3,-,-,-,-,-,-,-
"S00173000",9,4,4,2,-,-,-,-,-,-,-
"S00173001",4,2,2,-,1,-,-,-,-,-,-
"S00173002",19,3,7,2,4,3,-,-,1,-,-
