Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00170169",72,15,45,5,5,4
"S00170170",77,34,26,2,7,7
"S00170171",92,65,12,1,7,5
"S00170172",52,16,18,-,9,8
"S00170173",117,34,66,2,9,6
"S00170174",81,43,22,3,8,7
"S00170175",73,24,23,1,13,12
"S00170176",78,33,18,8,12,10
"S00170177",71,22,38,-,4,5
"S00170178",91,41,38,-,6,7
"S00170179",97,23,63,-,-,9
"S00170180",88,44,30,-,11,3
"S00170181",90,37,30,1,15,8
"S00170182",81,28,34,4,7,10
"S00170183",115,34,54,5,7,15
"S00170184",63,24,24,1,7,5
"S00170185",60,29,14,2,11,4
"S00170186",98,43,34,5,9,13
"S00170187",119,43,58,-,7,6
"S00170188",100,32,48,3,10,4
"S00170189",59,33,11,2,6,5
"S00170190",50,18,25,1,4,5
"S00170191",58,20,33,-,3,1
"S00170192",115,51,36,7,11,9
"S00170193",101,32,54,1,7,3
"S00170194",78,38,26,-,7,6
"S00170195",101,84,6,2,7,-
"S00170196",67,13,36,4,9,5
"S00170197",81,55,14,2,6,4
"S00170198",75,32,23,3,11,5
"S00170199",89,26,47,3,5,9
"S00170200",90,48,12,5,14,11
"S00170201",84,18,61,2,6,-
"S00170202",121,64,38,-,11,9
"S00170203",132,48,50,4,12,17
"S00170204",55,33,13,-,1,8
"S00170205",102,31,62,1,4,4
"S00170206",77,30,35,-,3,6
"S00170207",112,29,68,1,9,3
"S00170208",122,41,61,6,7,7
"S00170209",85,31,29,3,13,13
"S00170210",100,26,65,4,2,2
"S00170211",76,37,25,3,3,11
"S00170212",154,43,100,3,3,5
"S00170213",75,31,14,3,16,9
"S00170214",120,60,42,1,10,6
"S00170215",92,35,37,1,15,2
"S00170216",120,52,32,4,18,10
"S00170217",59,24,14,-,14,7
"S00170218",98,37,43,2,6,10
"S00170219",98,43,40,1,6,7
"S00170220",118,51,42,3,16,5
"S00170221",87,26,50,5,2,5
"S00170222",100,40,40,2,7,12
"S00170223",92,41,22,4,11,18
"S00170224",91,31,43,4,10,6
"S00170225",110,28,69,2,5,8
"S00170226",67,26,30,2,2,4
"S00170227",76,27,38,-,5,6
"S00170228",82,51,10,5,14,3
"S00170229",117,36,66,1,8,2
"S00170230",86,44,31,1,11,7
"S00170231",60,29,20,-,4,6
"S00170232",85,40,28,-,6,10
"S00170233",95,43,12,10,14,16
"S00170234",132,46,54,6,15,11
"S00170235",75,22,38,-,3,9
"S00170236",77,27,34,-,4,12
"S00170237",80,32,28,1,11,7
"S00170238",134,25,91,2,8,8
"S00170239",102,51,32,8,7,4
"S00170240",87,48,21,4,8,4
"S00170241",132,34,85,-,7,8
"S00170242",121,63,37,4,7,10
"S00170243",78,9,54,-,6,11
"S00170244",59,27,10,3,9,11
"S00170245",83,45,11,8,14,11
"S00170246",87,21,48,2,8,5
"S00170247",69,27,26,4,7,6
"S00170248",137,39,74,6,9,11
"S00170249",81,22,44,-,3,10
"S00170250",112,32,35,5,30,12
"S00170251",100,21,67,2,8,3
"S00170252",99,40,40,3,10,8
"S00170253",100,61,26,2,9,-
"S00170254",106,58,31,5,7,5
"S00170255",141,66,58,1,9,9
"S00170256",115,32,50,2,14,13
"S00170257",90,54,28,-,4,1
"S00170258",63,17,42,2,-,3
"S00170259",135,50,74,1,8,-
"S00170260",89,13,68,-,4,2
"S00170261",110,42,26,4,9,29
"S00170262",64,21,18,1,9,13
"S00170263",60,30,15,1,12,2
"S00170264",85,38,33,-,7,5
"S00170265",78,33,22,3,12,8
"S00170266",58,29,23,-,4,-
"S00170267",57,26,5,4,14,8
"S00170268",95,27,57,3,6,6
"S00170269",137,46,78,3,6,3
"S00170270",121,47,44,6,12,9
"S00170271",91,21,58,2,-,9
"S00170272",86,23,54,-,6,7
"S00170273",71,47,22,-,2,1
"S00170274",51,26,12,2,7,7
"S00170275",109,23,70,1,8,7
"S00170276",89,35,40,1,5,4
"S00170277",153,51,80,-,11,9
"S00170278",70,46,11,-,9,4
"S00170279",108,47,46,-,7,6
"S00170280",115,28,80,5,4,2
"S00170281",151,59,80,3,5,7
"S00170282",117,60,37,4,7,10
"S00170283",85,41,23,4,11,6
"S00170284",62,23,24,-,9,4
"S00170285",101,41,40,4,7,9
"S00170286",73,24,42,1,4,3
"S00170287",112,43,46,3,11,9
"S00170288",107,27,66,-,10,7
"S00170289",57,22,16,2,13,4
"S00170290",102,41,33,2,11,11
"S00170291",103,34,45,3,16,3
"S00170292",143,69,51,2,10,11
"S00170293",127,21,81,4,11,7
"S00170294",96,26,50,3,6,10
"S00170295",148,33,106,1,2,3
"S00170296",99,35,42,3,10,9
"S00170297",79,25,42,2,8,-
"S00170298",130,24,91,1,5,12
"S00170299",109,54,26,6,15,7
"S00170300",90,32,42,1,5,7
"S00170301",110,65,27,2,16,1
"S00170302",72,31,26,1,10,4
"S00170303",117,46,44,2,12,11
"S00170304",94,42,42,4,4,3
"S00170305",143,40,91,1,8,10
"S00170306",130,41,76,1,7,2
"S00170307",80,20,49,-,5,9
"S00170308",109,45,26,6,21,11
"S00170309",73,29,33,5,4,3
"S00170310",94,21,54,3,2,11
"S00170311",77,29,33,-,5,10
"S00170312",76,15,44,-,5,8
"S00170313",129,32,72,5,8,9
"S00170314",155,40,100,2,10,3
"S00170315",129,38,61,6,12,12
"S00170316",108,36,53,1,9,9
"S00170317",62,34,15,5,8,-
"S00170318",86,52,15,-,10,10
"S00170319",48,26,14,1,7,3
"S00170320",117,56,40,3,14,5
"S00170321",102,40,47,3,11,6
"S00170322",121,33,78,5,2,-
"S00170323",59,25,18,3,7,5
"S00170324",79,20,48,2,8,3
"S00170325",96,35,40,2,11,7
"S00170326",163,39,114,2,1,7
"S00170327",103,69,12,9,7,1
"S00170328",78,43,16,4,10,5
"S00170329",101,26,59,3,6,10
"S00170330",65,25,9,3,14,13
"S00170331",61,31,11,4,10,5
"S00170332",83,31,37,1,6,4
"S00170333",75,41,22,-,9,4
"S00170334",59,17,26,-,11,2
"S00170335",138,26,98,1,6,4
"S00170336",95,24,60,-,4,4
"S00170337",103,27,58,-,3,15
"S00170338",74,43,13,2,11,2
"S00170339",108,37,48,-,10,14
"S00170340",54,33,4,1,15,5
"S00170341",58,28,20,7,7,4
"S00170342",83,36,19,4,10,8
"S00170343",80,40,21,9,8,2
"S00170344",69,38,16,2,5,7
"S00170345",97,38,30,8,11,8
"S00170346",113,35,51,2,12,13
"S00170347",83,29,44,2,8,3
"S00170348",86,16,57,-,4,7
"S00170349",69,15,42,1,3,8
"S00170350",101,38,38,4,10,9
"S00170351",79,24,52,1,4,-
"S00170352",69,22,36,4,1,6
"S00170353",61,41,4,3,8,5
"S00170354",102,26,61,3,8,4
"S00170355",68,41,13,5,8,5
"S00170356",84,28,44,3,5,5
"S00170357",107,44,31,6,15,11
"S00170358",108,26,67,2,5,8
"S00170359",132,40,63,4,8,17
"S00170360",65,15,38,3,5,4
"S00170361",78,35,18,3,18,5
"S00170362",74,26,20,9,13,6
"S00170363",66,23,18,3,10,13
"S00170364",112,54,43,1,9,5
"S00170365",57,31,14,2,4,3
"S00170366",145,72,34,7,20,14
"S00170367",131,46,59,5,10,11
"S00170368",96,26,47,2,7,13
"S00170369",95,58,10,3,10,10
"S00170370",64,20,30,3,4,6
"S00170371",131,46,76,1,5,4
"S00170372",66,15,33,1,6,10
"S00170373",84,31,32,3,8,10
"S00170374",60,33,6,4,14,3
"S00170375",113,42,47,1,13,9
"S00170376",55,11,43,-,-,3
"S00170377",53,24,18,-,6,5
"S00170378",164,37,109,5,9,6
"S00170379",76,55,5,1,14,3
"S00170380",72,17,53,-,1,-
"S00170381",114,46,53,2,13,2
"S00170382",50,10,29,2,3,5
"S00170383",185,46,136,-,5,-
"S00170384",59,20,30,6,3,2
"S00170385",109,32,55,4,7,5
"S00170386",67,21,27,5,7,7
"S00170387",93,40,22,9,19,5
"S00170388",127,56,43,4,12,10
"S00170389",56,33,6,5,10,4
"S00170390",106,42,50,4,4,4
"S00170391",77,31,20,4,10,13
"S00170392",120,63,23,11,15,9
"S00170393",82,35,27,12,9,2
"S00170394",81,42,17,1,6,15
"S00170395",86,41,26,2,14,3
"S00170396",85,33,41,2,5,5
"S00170397",132,52,43,6,15,12
"S00170398",82,49,16,3,11,3
"S00170399",80,28,36,3,9,3
"S00170400",207,72,96,6,7,26
"S00170401",95,42,38,4,6,5
"S00170402",76,24,29,3,13,10
"S00170403",100,32,44,-,11,13
"S00170404",122,25,92,1,1,5
"S00170405",122,53,48,9,9,6
"S00170406",103,41,40,3,9,10
"S00170407",90,35,37,2,14,5
"S00170408",69,30,14,4,8,12
"S00170409",64,12,46,2,-,3
"S00170410",110,56,32,2,15,7
"S00170411",125,47,66,5,7,4
"S00170412",57,35,9,1,9,4
"S00170413",97,45,26,8,8,9
"S00170414",103,35,51,2,13,8
"S00170415",87,31,47,-,4,8
"S00170416",91,44,22,1,15,12
"S00170417",71,38,16,2,5,10
"S00170418",80,29,40,-,5,1
"S00170419",144,49,75,5,11,4
"S00170420",109,27,72,2,4,7
"S00170421",73,15,38,2,6,12
"S00170422",138,37,81,3,11,6
"S00170423",99,48,20,6,15,8
"S00170424",46,22,8,-,11,2
"S00170425",53,14,26,2,6,3
"S00170426",106,35,58,7,2,5
"S00170427",118,35,69,3,5,6
"S00170428",104,30,63,-,7,5
"S00170429",58,12,39,1,1,7
"S00170430",75,30,22,2,6,10
"S00170431",204,65,70,5,14,46
"S00170432",143,53,85,4,4,1
"S00170433",90,53,16,4,9,7
"S00170434",100,39,37,8,11,5
"S00170435",134,33,83,5,6,3
"S00170436",102,41,42,6,11,6
"S00170437",76,27,44,-,1,6
"S00170438",118,27,85,1,4,1
"S00170439",58,32,13,3,7,3
"S00170440",117,45,49,7,9,7
"S00170441",50,23,12,5,8,2
"S00170442",105,17,88,2,1,1
"S00170443",111,42,45,7,4,14
"S00170444",79,34,24,10,12,7
"S00170445",137,32,97,5,5,-
"S00170446",185,49,122,1,8,3
"S00170447",67,20,47,-,-,2
"S00170448",147,59,47,6,24,5
"S00170449",113,74,11,10,13,9
"S00170450",117,54,41,6,10,5
"S00170451",65,26,22,3,7,3
"S00170452",66,10,52,2,1,1
"S00170453",78,20,42,8,3,6
"S00170454",130,46,64,4,6,6
"S00170455",56,25,18,5,6,4
"S00170456",84,45,17,4,17,1
"S00170457",73,24,34,2,3,13
"S00170458",84,33,34,6,9,2
"S00170459",98,41,33,4,7,12
"S00170460",106,58,15,6,15,14
"S00170461",96,57,11,7,23,3
"S00170462",77,44,24,2,3,7
"S00170463",72,40,11,6,8,7
"S00170464",124,44,54,-,15,10
"S00170465",146,45,87,3,10,4
"S00170466",97,25,35,-,17,21
"S00170467",92,42,24,7,9,6
"S00170468",80,37,27,2,10,4
"S00170469",75,20,46,2,4,1
"S00170470",90,35,24,3,8,14
"S00170471",80,38,22,1,10,7
"S00170472",57,27,13,6,7,4
"S00170473",117,65,20,3,24,5
"S00170474",70,28,19,4,10,9
"S00170475",114,53,34,6,14,7
"S00170476",88,51,12,4,16,4
"S00170477",62,32,17,2,8,3
"S00170478",160,51,86,5,6,12
"S00170479",76,34,22,3,9,6
"S00170480",109,44,36,10,11,7
"S00170481",79,43,19,5,6,4
"S00170482",62,22,26,4,-,7
"S00170483",146,59,60,6,10,13
"S00170484",103,67,11,4,13,8
"S00170485",135,50,76,7,3,2
"S00170486",134,44,77,-,4,12
"S00170487",115,43,30,1,19,22
"S00170488",111,29,71,4,5,1
"S00170489",116,67,25,5,13,7
"S00170490",94,53,19,3,11,8
"S00170491",90,40,34,5,6,3
"S00170492",50,26,18,-,3,4
"S00170493",70,39,10,3,12,7
"S00170494",56,27,16,4,6,5
"S00170495",98,35,51,1,7,3
"S00170496",47,33,6,5,5,-
"S00170497",98,39,22,4,24,6
"S00170498",100,22,34,5,13,20
"S00170499",95,33,47,2,2,7
"S00170500",112,75,14,5,17,5
"S00170501",55,23,22,1,4,5
"S00170502",140,65,50,8,9,8
"S00170503",93,29,40,3,5,9
"S00170504",106,37,52,1,6,8
"S00170505",79,25,35,1,8,9
"S00170506",52,17,38,1,3,1
"S00170507",155,42,46,5,17,48
"S00170508",85,25,40,6,6,6
"S00170509",106,55,23,2,19,7
"S00170510",85,39,20,4,11,8
"S00170511",81,23,38,-,11,10
"S00170512",67,20,24,3,13,7
"S00170513",70,41,16,3,8,5
"S00170514",158,40,56,1,10,48
"S00170515",87,44,30,2,5,7
"S00170516",170,53,104,5,5,3
"S00170517",111,32,48,4,12,17
"S00170518",67,27,28,3,2,5
"S00170519",73,32,30,2,3,9
"S00170520",97,28,31,5,12,23
"S00170521",56,28,12,2,10,4
"S00170522",65,24,24,1,6,5
"S00170523",157,65,62,2,20,10
"S00170524",106,48,35,2,5,13
"S00170525",75,32,32,2,6,3
"S00170526",99,42,37,1,15,7
"S00170527",237,75,146,2,13,1
"S00170528",78,20,26,-,12,16
"S00170529",49,22,17,2,8,4
"S00170530",121,29,82,5,4,1
"S00170531",94,44,29,6,6,7
"S00170532",86,45,25,-,9,10
"S00170533",148,50,86,2,6,6
"S00170534",65,21,25,6,5,9
"S00170535",97,35,44,2,7,4
"S00170536",125,35,53,-,9,28
"S00170537",79,26,49,1,1,-
"S00170538",75,33,27,2,7,5
"S00170539",87,43,31,6,7,-
"S00170540",107,34,72,1,3,-
"S00170541",71,33,20,2,6,10
"S00170542",94,46,39,4,2,6
"S00170543",57,33,11,5,6,2
"S00170544",93,38,36,2,3,14
"S00170545",84,41,31,2,3,6
"S00170546",68,28,27,2,3,3
"S00170547",194,68,110,-,10,4
"S00170548",108,40,54,3,8,3
"S00170549",116,60,38,3,9,6
"S00170550",134,47,50,4,13,21
"S00170551",104,48,30,4,10,12
"S00170552",59,22,22,2,9,4
"S00170553",137,59,56,2,9,13
"S00170554",116,42,47,2,16,11
"S00170555",119,57,43,5,10,4
"S00170556",82,30,34,2,14,4
"S00170557",126,38,63,3,9,14
"S00170558",111,34,52,4,6,17
"S00170559",76,28,23,4,11,10
"S00170560",109,35,56,1,8,9
"S00170561",95,35,40,3,9,7
"S00170562",61,17,30,2,7,4
"S00170563",71,34,25,5,10,5
"S00170564",72,36,12,4,12,6
"S00170565",60,18,27,4,5,6
"S00170566",80,17,50,2,4,7
"S00170567",123,53,45,-,11,11
"S00170568",85,36,28,8,12,4
"S00170569",117,42,54,4,8,9
"S00170570",87,33,31,4,14,5
"S00170571",112,28,71,-,5,8
"S00170572",136,51,70,3,4,4
"S00170573",70,16,44,4,1,5
"S00170574",80,22,39,-,12,9
"S00170575",68,23,37,2,2,9
"S00170576",75,51,19,-,10,-
"S00170577",131,55,51,6,7,10
"S00170578",82,33,30,3,9,7
"S00170579",104,40,45,5,4,8
"S00170580",91,29,42,4,9,7
"S00170581",72,24,12,5,17,13
"S00170582",133,56,55,5,15,2
"S00170583",71,44,11,6,11,2
"S00170584",118,49,33,2,15,20
"S00170585",68,37,12,7,11,4
"S00170586",111,53,47,-,6,4
"S00170587",146,57,65,3,14,6
"S00170588",160,31,114,-,2,13
"S00170589",231,83,106,3,24,16
"S00170590",152,43,88,1,10,8
"S00170591",135,41,82,3,6,3
"S00170592",111,38,40,6,19,8
"S00170593",124,37,67,4,5,11
"S00170594",79,28,22,1,16,13
"S00170595",107,22,44,3,12,27
"S00170596",142,31,81,2,5,22
"S00170597",92,19,46,-,9,15
"S00170598",114,37,59,3,9,7
"S00170599",95,33,40,6,10,8
"S00170600",132,39,69,1,10,13
"S00170601",83,27,46,1,5,5
"S00170602",135,24,92,1,7,11
"S00170603",95,31,38,8,6,12
"S00170604",69,9,44,2,6,8
"S00170605",75,23,37,1,6,11
"S00170606",68,23,36,-,-,7
"S00170607",104,19,67,5,7,6
"S00170608",135,22,79,7,16,9
"S00170609",141,35,74,-,14,17
"S00170610",95,24,50,4,10,7
"S00170611",137,31,82,2,10,10
"S00170612",97,34,36,3,8,14
"S00170613",67,12,40,3,8,5
"S00170614",88,18,57,-,7,5
"S00170615",104,24,61,4,7,6
"S00170616",82,18,48,-,6,7
"S00170617",84,27,42,-,11,4
"S00170618",88,25,48,-,8,8
"S00170619",126,27,72,5,12,11
"S00170620",71,15,38,2,9,7
"S00170621",85,24,52,-,6,5
"S00170622",95,24,62,1,6,2
"S00170623",68,15,43,1,4,5
"S00170624",59,17,28,1,10,6
"S00170625",60,20,30,-,3,3
"S00170626",128,34,62,6,16,9
"S00170627",117,26,71,3,7,11
"S00170628",87,19,52,4,4,8
"S00170629",81,15,52,1,4,10
"S00170630",133,36,80,-,11,9
"S00170631",106,19,73,1,5,6
"S00170632",107,32,65,4,3,8
"S00170633",108,34,58,1,12,8
"S00170634",97,32,35,-,14,17
"S00170635",61,13,26,4,8,9
"S00170636",65,23,27,-,9,4
"S00170637",71,16,48,4,5,6
"S00170638",109,37,41,5,12,12
"S00170639",109,37,58,3,7,7
"S00170640",137,43,50,-,9,33
"S00170641",138,44,84,2,4,5
"S00170642",103,29,57,-,7,8
"S00170643",118,30,66,-,10,12
"S00170644",127,38,72,2,5,7
"S00170645",54,11,30,2,9,2
"S00170646",81,25,42,2,9,4
"S00170647",126,34,71,4,8,9
"S00170648",80,31,39,4,2,4
"S00170649",105,31,58,2,5,9
"S00170650",87,23,53,-,8,3
"S00170651",77,20,40,1,4,10
"S00170652",117,43,41,3,16,13
"S00170653",90,29,50,-,5,6
"S00170654",97,28,56,4,6,4
"S00170655",71,17,38,3,3,7
"S00170656",144,38,92,3,6,5
"S00170657",121,32,69,2,7,8
"S00170658",106,46,34,6,12,9
"S00170659",57,13,31,1,2,6
"S00170660",62,15,33,-,1,7
"S00170661",110,26,72,5,6,1
"S00170662",156,29,103,2,9,18
"S00170663",96,35,45,3,6,7
"S00170664",149,36,91,4,6,12
"S00170665",115,28,68,2,8,10
"S00170666",80,19,52,2,3,5
"S00170667",142,42,75,3,5,9
"S00170668",67,18,37,-,3,8
"S00170669",82,29,43,2,6,2
"S00170670",88,27,46,-,13,5
"S00170671",103,51,30,1,15,6
"S00170672",92,44,28,-,13,7
"S00170673",103,42,44,4,7,6
"S00170674",106,29,64,-,8,9
"S00170675",92,10,71,1,5,6
"S00170676",110,70,20,2,12,7
"S00170677",96,32,53,4,4,3
"S00170678",98,25,58,1,5,5
"S00170679",107,51,39,4,11,1
"S00170680",121,69,34,9,9,2
"S00170681",78,42,22,-,7,7
"S00170682",115,25,76,3,4,5
"S00170683",58,36,8,1,7,2
"S00170684",60,40,8,4,8,-
"S00170685",68,29,28,-,3,8
"S00170686",70,24,36,-,4,6
"S00170687",118,29,71,1,10,7
"S00170688",103,46,31,2,13,10
"S00170689",81,35,31,-,5,8
"S00170690",83,17,58,-,4,9
"S00170691",105,52,36,2,7,11
"S00170692",116,70,24,7,11,8
"S00170693",49,31,10,4,7,5
"S00170694",119,21,79,4,6,9
"S00170695",96,21,54,-,7,15
"S00170696",76,33,18,5,14,7
"S00170697",86,42,24,5,8,9
"S00170698",118,28,73,1,6,9
"S00170699",114,40,45,2,11,12
"S00170700",128,44,61,4,6,10
"S00170701",125,51,41,15,13,4
"S00170702",58,31,6,6,10,4
"S00170703",101,46,20,1,19,11
"S00170704",76,26,37,3,4,7
"S00170705",82,26,26,4,13,11
"S00170706",67,9,30,-,10,18
"S00170707",83,44,24,4,5,10
"S00170708",53,20,12,-,16,3
"S00170709",128,27,77,-,14,10
"S00170710",124,30,74,-,9,12
"S00170711",87,27,42,2,9,5
"S00170712",76,20,37,2,9,8
"S00170713",71,21,34,-,8,6
"S00170714",139,49,60,4,13,15
"S00170715",141,57,52,2,12,15
"S00170716",84,40,30,3,8,3
"S00170717",84,35,22,1,15,11
"S00170718",96,39,35,3,9,7
"S00170719",142,57,43,4,7,34
"S00170720",72,32,26,4,7,5
"S00170721",81,23,35,3,7,11
"S00170722",61,27,16,-,13,5
"S00170723",62,16,36,-,6,4
"S00170724",77,33,28,1,9,5
"S00170725",88,34,44,-,8,5
"S00170726",129,63,39,3,17,7
"S00170727",141,62,52,4,17,6
"S00170728",81,16,46,5,4,10
"S00170729",91,35,41,2,5,12
"S00170730",94,32,42,-,3,16
"S00170731",79,33,20,7,14,7
"S00170732",69,23,34,-,3,9
"S00170733",102,48,37,2,6,9
"S00170734",85,31,40,-,4,13
"S00170735",61,18,26,2,6,5
"S00170736",88,30,42,-,7,9
"S00170737",69,17,44,-,1,5
"S00170738",147,42,83,-,6,11
"S00170739",59,13,28,-,15,3
"S00170740",118,42,43,4,15,11
"S00170741",155,58,79,2,7,7
"S00170742",85,38,23,2,20,4
"S00170743",58,6,47,-,2,3
"S00170744",97,25,49,-,13,10
"S00170745",68,18,41,-,5,8
"S00170746",142,43,83,1,11,4
"S00170747",137,37,80,-,13,7
"S00170748",115,31,42,7,9,27
"S00170749",72,27,32,-,7,6
"S00170750",101,38,41,5,11,6
"S00170751",87,46,29,1,9,10
"S00170752",79,34,26,4,9,3
"S00170753",61,22,28,2,8,4
"S00170754",52,20,23,1,5,-
"S00170755",84,18,51,-,6,7
"S00170756",107,31,62,-,3,6
"S00170757",112,44,43,10,10,7
"S00170758",89,33,19,10,19,8
"S00170759",79,26,34,3,8,8
"S00170760",58,24,22,1,9,2
"S00170761",60,27,23,3,4,4
"S00170762",110,29,68,5,1,11
"S00170763",138,37,76,-,13,8
"S00170764",175,53,100,1,13,9
"S00170765",155,39,98,-,11,7
"S00170766",115,40,54,2,12,7
"S00170767",114,30,72,-,1,7
"S00170768",140,38,90,-,7,5
"S00170769",93,28,46,-,5,9
"S00170770",167,51,94,4,6,10
"S00170771",131,54,52,2,16,10
"S00170772",116,27,47,5,22,9
"S00170773",71,10,40,3,12,8
"S00170774",139,43,77,1,16,6
"S00170775",60,23,17,2,15,3
"S00170776",71,23,38,-,2,8
"S00170777",170,53,86,7,13,9
"S00170778",128,31,84,1,8,5
"S00170779",146,61,53,5,17,10
"S00170780",116,34,61,1,8,10
"S00170781",66,17,34,-,7,6
"S00170782",126,47,47,4,12,16
"S00170783",79,27,32,1,9,10
"S00170784",120,33,75,3,7,6
"S00170785",106,22,58,3,12,9
"S00170786",80,26,29,5,16,4
"S00170787",116,24,77,1,7,7
"S00170788",61,18,32,3,5,2
"S00170789",72,26,36,3,4,1
"S00170790",125,38,70,2,8,10
"S00170791",136,34,84,2,9,8
"S00170792",131,27,89,-,8,8
"S00170793",89,14,62,1,4,8
"S00170794",114,39,45,4,11,14
"S00170795",95,23,62,-,6,3
"S00170796",70,17,33,1,7,8
"S00170797",111,21,77,-,3,10
"S00170798",82,25,45,4,6,4
"S00170799",106,29,67,1,5,6
"S00170800",89,25,41,-,10,13
"S00170801",114,27,63,1,15,11
"S00170802",95,30,54,3,8,-
"S00170803",85,21,53,3,-,6
"S00170804",88,22,59,-,5,-
"S00170805",98,38,53,-,7,4
"S00170806",73,19,38,3,12,4
"S00170807",70,26,26,3,6,7
"S00170808",101,22,62,2,9,7
"S00170809",106,26,62,2,8,6
"S00170810",97,17,64,2,6,10
"S00170811",145,51,66,3,14,12
"S00170812",127,25,73,1,16,12
"S00170813",109,23,74,-,2,11
"S00170814",144,41,77,4,15,7
"S00170815",77,9,44,-,7,16
"S00170816",108,39,49,3,6,12
"S00170817",118,32,59,-,13,10
"S00170818",92,22,47,3,11,7
"S00170819",118,22,76,4,5,5
"S00170820",127,30,59,1,20,7
"S00170821",104,37,45,2,9,8
"S00170822",87,31,24,2,10,16
"S00170823",149,21,104,4,10,6
"S00170824",83,20,52,-,6,5
"S00170825",68,18,39,1,5,5
"S00170826",111,25,66,2,7,11
"S00170827",128,36,73,2,11,9
"S00170828",136,55,37,2,14,28
"S00170829",150,40,75,5,18,11
"S00170830",115,22,49,-,18,26
"S00170831",94,33,42,3,10,6
"S00170832",92,36,32,1,19,4
"S00170833",110,20,68,3,3,14
"S00170834",87,14,54,-,12,3
"S00170835",115,27,46,3,14,26
"S00170836",108,22,67,3,7,8
"S00170837",66,21,38,-,1,6
"S00170838",97,25,55,2,8,4
"S00170839",123,26,71,3,12,11
"S00170840",101,21,70,1,5,3
"S00170841",68,20,40,3,6,3
"S00170842",119,39,52,8,8,10
"S00170843",121,21,92,2,4,5
"S00170844",68,23,36,-,5,5
"S00170845",62,15,34,3,5,3
"S00170846",63,13,42,1,3,6
"S00170847",122,22,72,6,17,10
"S00170848",108,34,48,4,11,11
"S00170849",63,11,38,1,7,4
"S00170850",90,23,57,3,1,4
"S00170851",98,18,61,-,8,11
"S00170852",107,22,69,3,5,8
"S00170853",152,40,86,2,12,8
"S00170854",89,33,47,-,3,5
"S00170855",76,18,51,1,6,3
"S00170856",91,22,56,1,8,4
"S00170857",87,43,24,2,6,13
"S00170858",62,14,35,1,4,6
"S00170859",90,21,56,-,10,3
"S00170860",114,38,46,4,18,11
"S00170861",78,20,50,-,4,5
"S00170862",83,45,23,3,9,3
"S00170863",87,33,26,-,19,10
"S00170864",71,13,41,4,10,6
"S00170865",64,17,30,-,12,7
"S00170866",100,35,45,1,15,1
"S00170867",148,52,63,1,11,21
"S00170868",85,29,47,2,6,1
"S00170869",97,20,48,1,6,22
"S00170870",81,18,48,3,6,7
"S00170871",125,36,64,2,13,10
"S00170872",120,31,71,4,11,5
"S00170873",68,18,34,2,9,5
"S00170874",73,24,26,3,10,10
"S00170875",136,39,78,3,8,7
"S00170876",104,24,56,6,13,6
"S00170877",105,37,47,3,12,8
"S00170878",92,13,61,-,6,12
"S00170879",70,18,45,-,3,4
"S00170880",119,34,61,3,7,11
"S00170881",93,37,29,2,12,10
"S00170882",96,24,48,8,13,2
"S00170883",83,23,48,-,9,7
"S00170884",77,24,37,3,8,8
"S00170885",87,32,35,3,12,5
"S00170886",68,27,30,1,4,5
"S00170887",53,18,31,2,5,3
"S00170888",87,24,33,4,7,18
"S00170889",115,18,81,-,8,11
"S00170890",56,18,32,-,-,2
"S00170891",51,23,18,1,5,7
"S00170892",124,61,34,4,14,10
"S00170893",121,46,53,5,11,6
"S00170894",134,48,60,3,19,10
"S00170895",129,35,80,1,6,7
"S00170896",137,27,76,4,11,21
"S00170897",58,16,23,3,4,7
"S00170898",64,12,29,4,11,10
"S00170899",76,29,36,1,9,5
"S00170900",93,15,64,3,2,7
"S00170901",103,26,58,-,12,4
"S00170902",134,24,89,5,8,8
"S00170903",107,24,61,1,15,6
"S00170904",83,17,50,1,7,11
"S00170905",82,26,37,1,8,6
"S00170906",72,16,42,-,9,3
"S00170907",103,19,71,2,4,3
"S00170908",113,35,46,3,16,10
"S00170909",140,25,82,1,20,12
"S00170910",91,21,57,4,2,7
"S00170911",90,42,36,2,7,3
"S00170912",107,27,64,2,7,6
"S00170913",142,29,68,4,12,29
"S00170914",166,27,82,5,5,40
"S00170915",76,30,26,6,8,6
"S00170916",122,43,69,4,4,2
"S00170917",54,18,24,-,6,3
"S00170918",68,6,48,3,2,7
"S00170919",65,31,14,2,11,5
"S00170920",120,16,79,1,13,10
"S00170921",86,31,34,1,7,10
"S00170922",106,36,57,3,7,2
"S00170923",95,38,36,6,16,1
"S00170924",56,15,28,1,9,7
"S00170925",99,38,45,1,10,5
"S00170926",49,21,22,4,2,2
"S00170927",68,18,38,4,4,6
"S00170928",60,7,39,2,8,7
"S00170929",67,21,14,4,20,2
"S00170930",145,31,86,-,13,13
"S00170931",92,22,59,-,4,8
"S00170932",97,41,39,2,9,4
"S00170933",136,31,81,-,13,9
"S00170934",87,31,42,2,5,5
"S00170935",148,52,52,4,17,23
"S00170936",86,16,48,4,4,14
"S00170937",140,32,80,4,10,12
