Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00135573",86,35,39,-,6,4
"S00135574",69,16,28,5,7,13
"S00135575",126,38,49,6,15,18
"S00135576",111,48,41,2,14,6
"S00135577",105,53,34,4,13,2
"S00135578",101,30,50,4,7,11
"S00135579",76,23,38,3,5,7
"S00135580",122,52,31,1,29,8
"S00135581",105,18,67,2,10,5
"S00135582",77,43,27,1,3,3
"S00135583",106,55,29,8,12,4
"S00135584",97,44,28,8,11,7
"S00135585",82,26,44,3,7,3
"S00135586",95,30,49,5,7,10
"S00135587",67,46,10,4,4,2
"S00135588",82,36,37,1,5,4
"S00135589",75,22,42,1,4,8
"S00135590",62,24,36,-,-,-
"S00135591",68,34,26,2,3,1
"S00135592",81,38,34,1,8,-
"S00135593",78,17,50,1,5,5
"S00135594",85,21,54,1,7,3
"S00135595",119,54,42,4,12,7
"S00135596",185,69,60,-,12,44
"S00135597",113,42,37,4,12,18
"S00135598",79,20,49,3,4,6
"S00135599",110,62,29,4,13,-
"S00135600",59,13,18,-,4,26
"S00135601",96,43,52,3,-,-
"S00135602",115,69,26,3,11,5
"S00135603",69,15,48,-,1,5
"S00135604",74,58,10,3,7,2
"S00135605",72,37,19,2,10,1
"S00135606",216,42,115,3,8,51
"S00135607",1706,1631,47,12,12,4
"S00135608",79,35,39,1,3,2
"S00135609",91,27,50,4,2,10
"S00135610",150,46,35,7,18,46
"S00135611",74,48,18,3,5,3
"S00135612",122,63,44,4,8,1
"S00135613",86,27,55,1,1,-
"S00135614",94,35,44,3,6,7
"S00135615",136,63,62,2,8,-
"S00135616",58,45,12,1,3,-
"S00135617",91,23,57,1,2,7
"S00135618",65,17,42,-,4,2
"S00135619",54,24,10,3,10,3
"S00135620",77,45,23,4,3,1
"S00135621",112,54,32,-,13,13
"S00135622",79,50,15,8,9,1
"S00135623",116,46,44,3,17,8
"S00135624",70,23,30,2,12,3
"S00135625",92,28,58,1,-,2
"S00135626",51,18,21,3,5,5
"S00135627",98,24,56,4,8,6
"S00135628",136,50,55,4,15,12
"S00135629",136,72,56,3,6,3
"S00135630",93,34,45,1,9,4
"S00135631",117,76,31,1,5,4
"S00135632",134,36,61,3,29,6
"S00135633",57,15,24,-,6,6
"S00135634",73,56,6,3,7,1
"S00135635",101,53,27,8,9,3
"S00135636",89,26,45,3,7,8
"S00135637",98,30,38,6,15,11
"S00135638",75,24,35,1,6,9
"S00135639",59,34,16,-,9,-
"S00135640",114,41,48,1,16,11
"S00135641",62,16,26,4,14,8
"S00135642",128,60,54,2,10,4
"S00135643",75,17,40,2,7,9
"S00135644",70,24,32,1,6,7
"S00135645",73,21,23,7,15,12
"S00135646",67,9,27,-,14,17
"S00135647",125,38,55,8,18,9
"S00135648",86,42,25,1,16,2
"S00135649",60,33,16,-,10,4
"S00135650",91,35,31,7,10,7
"S00135651",103,37,46,2,14,7
"S00135652",81,25,40,-,13,3
"S00135653",58,31,24,1,5,-
"S00135654",58,26,13,6,12,2
"S00135655",91,27,49,-,7,6
"S00135656",81,45,16,-,17,2
"S00135657",88,59,15,4,9,1
"S00135658",68,39,20,2,7,2
"S00135659",103,46,31,8,16,3
"S00135660",91,50,19,7,15,1
"S00135661",54,20,19,1,7,4
"S00135662",100,26,57,7,8,3
"S00135663",89,22,50,1,4,10
"S00135664",135,59,43,4,15,10
"S00135665",98,34,17,5,30,14
"S00135666",68,18,27,1,5,18
"S00135667",122,43,48,5,16,9
"S00135668",107,55,29,7,11,5
"S00135669",113,49,33,-,18,15
"S00135670",127,86,27,6,5,3
"S00135671",73,28,33,1,6,5
"S00135672",94,50,27,1,10,6
"S00135673",67,13,25,3,13,12
"S00135674",83,30,42,2,7,3
"S00135675",109,49,43,-,8,9
"S00135676",72,39,17,1,10,4
"S00135677",58,35,8,3,8,1
"S00135678",88,39,32,1,8,7
"S00135679",72,32,33,1,-,4
"S00135680",88,26,44,1,6,10
"S00135681",98,52,25,8,7,8
"S00135682",69,22,30,5,10,5
"S00135683",82,36,27,4,11,5
"S00135684",70,37,16,4,8,5
"S00135685",108,35,55,3,8,10
"S00135686",103,9,24,4,33,33
"S00135687",101,57,16,2,21,1
"S00135688",113,44,45,-,18,12
"S00135689",74,43,13,4,9,5
"S00135690",106,44,36,5,17,4
"S00135691",98,47,23,7,14,7
"S00135692",61,36,16,3,5,4
"S00135693",83,36,36,4,8,-
"S00135694",76,16,42,2,9,7
"S00135695",73,37,21,-,11,4
"S00135696",59,40,16,-,2,-
"S00135697",101,48,38,4,8,4
"S00135698",118,64,23,5,19,9
"S00135699",126,43,56,8,11,6
"S00135700",43,24,15,4,6,-
"S00135701",80,21,42,2,12,6
"S00135702",103,38,26,3,18,18
"S00135703",59,41,16,-,3,-
"S00135704",62,44,4,1,11,-
"S00135705",75,41,25,1,7,2
"S00135706",92,54,25,2,8,4
"S00135707",53,26,13,6,8,1
"S00135708",101,52,24,6,12,7
"S00135709",80,41,22,3,7,7
"S00135710",52,28,8,4,13,3
"S00135711",75,49,16,4,6,2
"S00135712",100,42,36,7,15,5
"S00135713",66,39,17,4,7,1
"S00135714",105,59,27,3,16,4
"S00135715",92,26,46,1,10,5
"S00135716",107,64,23,-,14,4
"S00135717",95,54,25,5,9,2
"S00135718",59,28,21,4,2,2
"S00135719",119,62,26,8,22,4
"S00135720",169,68,80,1,11,9
"S00135721",128,45,53,6,24,5
"S00135722",56,32,12,-,8,-
"S00135723",61,14,24,2,14,7
"S00135724",67,27,25,2,6,7
"S00135725",89,44,19,6,17,3
"S00135726",114,53,42,6,12,3
"S00135727",99,48,46,4,8,-
"S00135728",91,44,19,10,12,6
"S00135729",96,36,18,5,19,17
"S00135730",84,27,42,-,6,4
"S00135731",66,40,16,1,6,4
"S00135732",92,48,19,-,20,4
"S00135733",65,32,16,4,2,3
"S00135734",180,124,41,2,6,4
"S00135735",84,41,34,4,9,-
"S00135736",78,44,20,6,6,3
"S00135737",64,23,38,-,4,5
"S00135738",131,53,54,3,12,8
"S00135739",79,37,25,5,10,2
"S00135740",77,23,44,-,5,7
"S00135741",59,25,21,4,4,4
"S00135742",81,37,20,3,12,10
"S00135743",66,23,31,3,4,3
"S00135744",78,28,29,1,8,4
"S00135745",98,48,26,4,17,7
"S00135746",51,27,8,1,7,8
"S00135747",75,18,39,-,10,8
"S00135748",101,51,30,3,10,6
"S00135749",62,43,4,3,12,1
"S00135750",87,39,24,8,13,6
"S00135751",106,56,22,6,18,5
"S00135752",65,28,25,3,8,2
"S00135753",88,64,12,3,6,2
"S00135754",83,33,28,5,6,4
"S00135755",112,53,44,6,5,-
"S00135756",80,37,23,2,16,2
"S00135757",93,36,35,4,10,8
"S00135758",97,30,15,4,29,19
"S00135759",48,23,18,1,3,1
"S00135760",56,27,15,-,9,-
"S00135761",77,42,22,4,6,3
"S00135762",96,48,29,5,11,4
"S00135763",74,49,14,2,6,6
"S00135764",77,32,23,2,12,8
"S00135765",119,62,42,2,9,4
"S00135766",91,40,44,1,7,1
"S00135767",98,48,33,4,15,1
"S00135768",140,68,48,1,10,6
"S00135769",97,38,43,4,11,4
"S00135770",93,52,20,2,16,1
"S00135771",100,47,32,3,10,4
"S00135772",151,54,71,2,16,10
"S00135773",118,93,12,6,5,6
"S00135774",61,26,21,6,10,1
"S00135775",129,87,30,7,6,4
"S00135776",84,52,24,3,4,3
"S00135777",139,56,40,5,13,25
"S00135778",60,25,21,5,1,1
"S00135779",100,40,39,1,6,9
"S00135780",76,36,32,3,4,1
"S00135781",98,30,46,4,11,5
"S00135782",86,32,25,2,19,5
