Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00167695",107,21,8,33,24,24,9,2,-,4,1,1,102,19,8,29,23,19
"S00167696",123,15,13,37,33,31,4,-,1,2,1,-,119,15,9,35,29,31
"S00167697",154,11,8,25,42,69,5,1,-,-,2,-,149,8,5,25,41,69
"S00167698",125,22,17,30,36,23,-,-,-,1,-,-,123,22,17,29,35,23
"S00167699",164,28,20,50,33,31,6,1,-,1,4,-,158,27,18,49,35,31
"S00167700",95,7,7,23,28,28,6,-,1,3,1,1,89,7,6,20,27,27
"S00167701",108,17,13,43,26,18,3,-,-,3,-,-,108,17,13,36,26,18
"S00167702",160,25,14,50,40,37,4,-,2,-,1,-,157,25,13,45,39,37
"S00167703",76,4,5,18,22,27,3,-,-,-,3,-,73,4,5,18,21,27
"S00167704",100,34,7,29,26,6,3,-,-,3,-,-,98,34,7,29,26,6
"S00167705",133,21,10,35,25,40,3,-,2,1,-,-,130,21,8,34,25,40
"S00167706",144,21,8,51,25,42,4,-,-,3,1,-,140,21,8,44,24,42
"S00167707",159,15,13,31,36,64,2,-,-,2,2,-,156,15,13,31,34,64
"S00167708",86,6,3,23,26,28,1,-,-,-,1,-,85,6,3,23,25,28
"S00167709",116,26,10,30,29,21,7,2,2,2,3,-,109,24,9,27,27,21
"S00167710",60,10,2,16,13,22,6,3,-,-,1,-,56,7,2,16,12,22
"S00167711",104,8,7,37,33,19,4,-,-,4,-,-,102,8,7,35,33,19
"S00167712",82,16,5,31,14,16,1,-,-,-,1,-,81,16,5,31,13,16
"S00167713",192,24,19,58,62,25,5,-,-,2,3,-,187,24,19,56,59,25
"S00167714",159,10,12,29,54,54,3,-,-,-,1,-,153,10,12,27,53,54
"S00167715",262,64,45,86,48,19,9,-,2,4,3,-,251,64,43,82,45,19
"S00167716",184,25,31,52,62,10,3,1,-,1,2,-,181,24,31,51,61,10
"S00167717",149,19,18,51,46,15,2,2,-,2,-,-,147,15,18,51,46,15
"S00167718",83,12,6,17,25,26,1,-,-,-,1,-,82,12,6,17,21,26
"S00167719",140,6,9,30,39,56,4,1,-,1,-,1,136,5,9,28,39,55
"S00167720",150,6,16,28,39,64,1,-,-,-,-,1,150,6,16,28,39,63
"S00167721",170,13,12,19,43,83,4,1,-,-,-,2,166,12,12,19,43,80
"S00167722",60,-,5,15,16,22,1,-,-,-,1,-,55,-,5,15,15,22
"S00167723",70,7,3,18,16,26,3,1,-,-,1,-,68,6,3,18,18,26
"S00167724",155,25,4,43,33,51,6,-,-,3,2,1,149,25,4,40,31,47
"S00167725",63,6,6,10,22,21,-,-,-,-,-,-,63,6,6,10,22,21
"S00167726",136,20,8,36,24,44,-,-,-,-,-,-,136,20,8,36,24,44
"S00167727",93,15,9,29,25,15,2,-,-,-,2,-,94,15,9,29,23,15
"S00167728",130,6,3,19,30,70,-,-,-,-,-,-,130,6,3,19,30,70
"S00167729",157,8,12,27,39,71,2,-,-,-,1,-,155,8,12,27,38,71
"S00167730",85,17,10,18,20,24,-,1,-,-,-,1,80,9,10,18,20,27
"S00167731",68,13,4,21,17,15,1,-,-,-,-,1,67,13,4,21,17,14
"S00167732",121,9,11,28,34,39,1,-,-,-,-,1,120,9,11,28,34,38
"S00167733",156,12,12,28,57,44,1,-,-,-,-,1,155,12,12,28,57,47
"S00167734",105,20,8,25,40,9,4,-,-,1,2,-,102,20,8,24,37,9
"S00167735",129,26,14,41,29,20,4,-,-,-,4,-,125,26,14,41,25,20
"S00167736",100,3,4,16,35,45,1,-,-,-,-,1,99,3,4,16,35,43
"S00167737",102,5,5,27,38,30,1,-,-,-,-,1,101,5,5,27,38,29
"S00167738",92,24,8,39,18,5,4,-,1,1,-,-,90,24,10,38,18,5
"S00167739",65,4,2,17,18,23,-,-,-,-,-,-,65,4,2,17,18,23
"S00167740",107,7,3,22,28,47,2,-,-,-,1,1,105,7,3,22,27,42
"S00167741",171,23,12,37,43,56,2,-,-,1,1,-,169,23,12,36,42,56
"S00167742",98,11,4,22,24,35,1,-,-,-,1,-,97,11,4,22,22,35
"S00167743",72,4,2,6,23,41,1,-,-,-,-,1,71,4,2,6,23,40
"S00167744",109,9,7,18,34,41,-,-,-,-,-,-,109,9,7,18,34,41
"S00167745",122,13,7,20,29,54,1,-,-,-,1,-,121,13,7,20,28,54
"S00167746",105,6,8,19,32,40,1,-,-,-,1,2,103,6,8,19,31,39
"S00167747",121,22,4,36,27,33,-,-,-,-,-,-,120,22,4,36,22,33
"S00167748",69,7,6,14,21,23,-,-,-,-,-,-,69,7,6,14,21,23
"S00167749",97,13,8,19,25,35,-,-,-,-,-,-,96,13,1,19,25,35
"S00167750",71,3,3,11,22,32,-,-,-,-,-,-,71,3,3,11,22,32
"S00167751",117,8,9,29,29,46,1,-,-,-,1,-,114,8,9,29,28,46
"S00167752",66,4,5,12,24,23,2,-,-,-,2,-,64,4,5,12,23,22
"S00167753",124,10,4,27,34,47,3,-,1,-,2,-,121,10,3,27,32,47
"S00167754",81,14,7,17,33,10,1,1,-,-,-,-,78,13,7,17,33,10
"S00167755",124,16,11,32,40,25,3,-,-,-,3,-,121,16,11,32,37,25
"S00167756",105,21,12,34,20,21,2,1,-,-,-,-,106,20,12,34,20,20
"S00167757",153,9,20,27,51,45,1,-,-,-,-,1,152,9,20,27,51,47
"S00167758",80,5,3,26,29,17,2,1,-,2,-,-,78,4,3,25,29,17
"S00167759",118,12,6,25,35,40,5,-,-,-,5,-,115,12,6,25,30,40
"S00167760",84,17,2,26,18,24,3,-,-,3,-,-,82,17,2,24,18,24
"S00167761",178,13,16,35,38,76,4,-,-,2,1,-,176,13,16,32,36,76
"S00167762",174,27,8,51,45,43,3,-,-,-,1,2,171,27,8,51,44,41
"S00167763",101,12,12,21,20,36,-,-,-,-,-,-,101,12,12,21,20,36
"S00167764",144,13,13,42,30,43,-,-,-,-,-,-,144,13,13,42,30,43
"S00167765",145,23,14,37,27,44,1,-,-,-,2,1,142,23,14,37,25,40
"S00167766",138,13,8,42,38,37,1,-,-,1,-,-,132,13,8,40,38,37
"S00167767",125,18,18,37,29,22,-,-,-,-,-,-,125,18,18,37,29,22
"S00167768",178,35,15,59,34,33,2,-,1,4,-,-,174,35,14,57,34,33
"S00167769",87,8,7,24,24,24,2,-,-,1,-,1,85,8,7,23,24,26
"S00167770",106,8,23,35,24,22,-,-,-,-,-,-,106,8,23,35,24,22
"S00167771",57,9,18,10,13,3,-,-,-,-,-,-,56,9,18,13,13,3
"S00167772",234,70,25,93,37,9,4,2,-,1,-,-,230,69,25,92,37,7
"S00167773",186,31,23,59,28,42,1,-,-,1,-,-,185,31,23,58,28,42
"S00167774",122,20,15,42,29,18,2,-,1,-,1,-,120,20,14,42,28,18
"S00167775",82,16,14,29,21,4,-,-,-,-,-,-,82,16,14,29,21,4
"S00167776",72,14,5,34,9,10,1,-,-,-,1,-,71,14,5,34,6,10
"S00167777",151,12,14,31,50,44,-,-,-,-,-,-,151,12,14,31,50,44
"S00167778",73,6,4,27,18,24,4,-,-,2,1,-,73,6,4,25,13,24
"S00167779",137,43,6,61,17,9,1,-,-,1,-,-,134,43,6,60,17,9
"S00167780",141,51,6,66,13,9,4,1,-,2,1,-,137,49,6,63,12,9
"S00167781",138,12,13,49,34,29,4,-,-,2,2,2,134,12,13,48,32,27
"S00167782",144,27,11,28,40,38,5,-,1,-,1,1,140,27,10,28,39,34
"S00167783",166,20,28,42,40,36,5,1,2,2,-,-,161,19,27,40,40,35
"S00167784",152,34,16,52,26,20,3,1,-,-,1,1,145,33,16,52,23,19
"S00167785",113,16,28,35,18,13,5,-,-,3,2,-,108,16,28,32,16,13
"S00167786",157,23,28,57,32,19,-,-,-,-,-,-,157,23,28,57,32,19
"S00167787",131,11,9,37,23,46,4,-,-,4,-,-,129,11,9,35,23,46
"S00167788",84,11,6,17,28,23,-,-,-,-,-,-,84,11,6,17,28,23
"S00167789",136,8,11,50,37,30,1,-,-,1,-,-,135,8,11,49,37,30
"S00167790",60,-,3,12,10,35,1,-,-,-,1,-,58,-,3,12,11,35
"S00167791",61,-,-,20,11,30,1,-,-,1,-,-,60,-,-,19,11,30
"S00167792",129,19,14,41,27,26,-,-,-,-,-,-,129,19,14,41,27,26
"S00167793",78,8,11,29,11,18,3,-,2,2,-,-,75,8,10,28,11,18
"S00167794",75,-,5,19,17,34,-,-,-,-,-,-,75,-,5,19,17,34
"S00167795",64,1,2,9,15,37,-,-,-,-,-,-,64,1,2,9,15,37
"S00167796",97,4,8,31,29,25,-,-,-,-,-,-,97,4,8,31,29,25
"S00167797",145,24,12,32,41,36,4,1,-,3,-,2,141,23,12,30,41,36
"S00167798",93,16,5,34,18,20,-,-,-,-,-,-,93,16,5,34,18,20
"S00167799",189,24,23,50,50,40,4,-,2,2,-,-,183,24,21,45,50,40
"S00167800",97,5,8,26,31,27,4,-,-,1,-,3,93,5,8,25,31,24
"S00167801",127,10,19,41,39,22,1,-,-,-,-,1,126,10,19,41,39,21
"S00167802",76,3,5,23,22,23,-,-,-,1,-,-,74,3,5,22,21,23
"S00167803",159,40,10,75,20,13,2,-,-,-,1,2,157,40,10,75,19,13
"S00167804",104,11,10,29,33,18,2,-,-,2,1,-,102,11,10,28,32,18
"S00167805",134,30,10,62,21,8,3,-,-,2,2,-,129,30,10,60,19,8
"S00167806",73,-,-,12,13,44,-,-,-,-,-,-,73,-,-,12,13,44
"S00167807",101,19,10,37,18,16,1,-,-,1,-,-,100,19,10,36,18,16
"S00167808",60,5,6,23,14,14,-,-,-,2,1,-,61,5,6,22,13,14
"S00167809",85,9,3,19,26,32,-,-,-,-,-,-,85,9,3,19,26,32
"S00167810",205,26,19,63,46,49,4,-,1,1,-,2,201,26,18,62,46,47
"S00167811",68,6,7,20,20,19,1,-,-,1,-,-,68,6,7,16,20,19
"S00167812",153,24,7,54,18,52,-,-,-,-,-,-,153,24,7,54,18,52
"S00167813",142,10,-,23,48,60,1,-,-,-,1,-,141,10,-,23,47,60
"S00167814",143,23,12,39,40,28,2,-,-,2,-,-,139,23,12,38,40,28
"S00167815",162,20,12,37,47,48,5,-,2,2,1,2,157,20,12,36,46,43
"S00167816",116,9,10,26,22,42,4,-,1,2,1,-,109,9,7,24,21,42
"S00167817",62,3,14,24,14,7,2,-,2,1,-,-,60,3,13,23,14,7
"S00167818",75,7,1,18,17,32,2,-,-,1,-,1,71,7,1,16,17,29
"S00167819",187,25,19,51,61,34,4,1,1,2,2,-,183,24,18,50,57,34
"S00167820",116,20,15,40,33,6,2,1,-,-,-,-,114,19,15,38,33,6
"S00167821",114,26,12,48,15,17,3,-,-,3,-,-,111,26,12,45,15,17
"S00167822",126,9,11,30,39,41,2,-,-,2,-,-,125,9,11,29,39,41
"S00167823",106,3,6,28,28,38,-,-,-,-,-,-,106,3,6,28,28,38
"S00167824",93,8,8,27,18,28,-,-,-,-,-,-,92,8,8,27,24,28
"S00167825",80,16,5,22,21,20,3,-,-,1,-,2,77,11,5,21,21,15
"S00167826",125,19,21,32,31,18,2,-,2,-,-,-,123,19,19,32,31,18
"S00167827",170,31,14,58,37,27,6,-,1,2,3,-,164,31,13,59,34,27
"S00167828",77,9,14,28,17,10,-,-,-,-,-,-,77,9,14,28,17,10
"S00167829",94,14,3,42,20,15,5,1,-,3,1,-,89,13,3,39,19,15
"S00167830",157,24,30,58,25,17,1,-,-,1,1,-,155,24,30,57,24,17
"S00167831",114,16,12,43,22,15,-,-,-,-,-,-,114,16,12,43,22,15
"S00167832",118,30,14,33,27,16,2,-,-,-,2,2,115,30,14,33,26,15
"S00167833",93,17,11,19,27,23,2,-,2,-,-,-,92,17,10,19,27,23
"S00167834",92,15,18,30,25,4,-,-,-,-,-,-,92,15,18,30,25,4
"S00167835",117,28,11,49,21,10,2,-,-,2,-,1,114,28,11,47,21,9
"S00167836",176,26,25,70,37,19,-,-,-,-,-,-,176,26,25,70,37,19
"S00167837",63,4,9,36,11,8,5,-,4,2,-,-,58,4,4,31,11,8
"S00167838",134,26,11,40,33,19,1,-,1,-,-,-,130,26,14,40,33,19
"S00167839",60,5,5,12,11,27,4,1,-,1,-,1,57,4,5,12,11,25
"S00167840",175,37,28,53,32,25,3,-,-,1,-,-,173,32,28,52,32,25
"S00167841",151,19,14,45,30,43,6,-,-,2,1,1,144,19,14,43,29,42
"S00167842",111,11,15,44,23,18,5,-,-,2,4,-,107,11,15,42,21,18
"S00167843",116,23,5,33,37,16,6,2,2,3,2,-,108,21,3,30,38,16
"S00167844",74,6,8,26,17,15,1,-,-,1,-,-,72,6,8,25,17,14
"S00167845",67,10,7,27,19,3,2,-,1,-,-,-,65,10,6,27,19,3
"S00167846",77,9,6,14,27,17,1,-,1,-,-,-,76,9,5,14,27,17
"S00167847",122,10,13,34,32,29,1,-,-,1,1,-,116,10,13,33,35,29
"S00167848",79,2,15,20,16,18,2,-,-,-,2,-,73,2,15,20,14,18
"S00167849",65,6,2,24,20,15,1,-,1,2,1,-,63,6,1,22,19,15
"S00167850",108,34,16,41,7,10,-,-,-,-,-,-,108,34,16,41,7,10
"S00167851",87,5,7,32,22,21,-,-,-,-,-,-,87,5,7,32,22,21
"S00167852",80,19,4,30,15,16,4,-,-,2,4,-,75,19,4,28,13,16
"S00167853",103,11,12,29,10,38,1,-,-,-,-,1,100,11,12,29,10,37
"S00167854",75,6,4,22,24,20,1,-,-,1,-,-,74,6,4,21,24,20
"S00167855",119,24,20,48,21,6,4,1,-,3,-,-,113,23,20,45,21,6
"S00167856",102,7,15,20,28,30,5,-,3,-,2,-,97,7,13,20,28,30
"S00167857",84,15,16,36,14,3,4,-,2,-,1,-,80,15,14,35,13,3
"S00167858",108,16,4,27,25,34,4,-,-,3,2,-,101,16,4,24,26,34
"S00167859",121,12,13,23,24,49,3,-,-,1,1,-,118,12,13,21,23,48
"S00167860",208,50,5,108,35,10,6,-,2,5,1,-,202,50,2,105,33,10
"S00167861",168,30,33,45,48,12,1,-,1,-,-,-,167,30,32,45,48,12
"S00167862",73,11,9,32,10,12,-,-,-,-,-,-,73,11,9,32,10,12
"S00167863",121,13,8,47,25,31,4,-,-,2,-,-,118,13,8,45,24,31
"S00167864",194,17,21,40,65,51,-,-,1,-,-,1,192,17,20,40,65,50
"S00167865",137,24,15,29,45,20,1,-,-,-,1,-,135,24,15,29,40,20
"S00167866",106,14,8,31,35,16,1,-,-,1,-,-,105,14,8,30,35,16
"S00167867",115,33,11,46,24,2,4,1,-,3,-,-,112,32,11,41,24,2
"S00167868",141,21,19,24,45,27,-,-,-,-,-,-,140,21,19,24,44,27
"S00167869",139,24,12,42,39,20,-,-,-,-,-,-,138,24,12,41,35,20
"S00167870",144,16,30,41,42,18,-,-,-,-,-,-,144,16,30,41,42,18
"S00167871",121,18,11,35,41,19,4,1,-,2,1,-,117,17,11,31,39,19
"S00167872",176,32,22,42,58,22,-,-,-,-,-,-,176,32,22,42,58,22
"S00167873",85,10,5,22,18,30,-,-,-,-,-,-,85,10,5,22,18,30
"S00167874",102,13,22,27,32,8,-,-,-,-,-,-,102,13,22,27,32,8
"S00167875",126,15,13,41,26,31,4,2,-,1,2,-,122,14,13,40,24,31
"S00167876",69,4,13,13,25,12,-,-,-,-,-,-,69,4,13,13,25,12
"S00167877",128,36,13,59,19,2,4,-,-,4,-,-,124,36,13,55,19,2
"S00167878",71,4,3,26,23,15,-,-,-,-,-,-,71,4,3,26,23,15
"S00167879",75,5,6,23,21,23,-,-,-,-,-,-,75,5,6,23,21,23
"S00167880",151,37,3,95,9,2,2,-,-,2,-,-,145,37,3,94,9,2
"S00167881",157,12,12,35,43,51,3,-,-,-,-,1,154,12,11,34,43,54
"S00167882",195,30,20,62,49,34,5,-,1,1,3,-,190,30,19,64,46,34
"S00167883",114,13,13,32,18,38,-,-,-,-,-,-,114,13,13,32,18,38
"S00167884",184,43,28,55,48,9,3,-,-,2,-,-,181,43,32,53,48,9
"S00167885",160,30,16,74,34,6,1,1,-,-,-,-,159,29,16,74,34,6
"S00167886",231,31,20,50,37,93,3,-,-,1,1,-,229,31,20,49,36,93
"S00167887",79,10,3,24,17,21,1,-,-,-,-,1,76,10,3,24,17,20
"S00167888",96,2,7,16,27,44,1,-,-,-,-,1,95,2,7,16,27,43
"S00167889",87,27,-,58,-,-,2,-,-,-,-,-,85,26,-,57,-,-
"S00167890",120,8,13,31,30,37,2,-,-,1,1,-,119,8,13,30,33,37
"S00167891",127,8,13,24,37,45,1,-,-,-,-,1,126,8,13,24,37,44
"S00167892",116,7,16,29,27,39,2,-,1,-,-,2,113,7,14,29,27,38
"S00167893",124,15,17,37,25,30,4,1,-,-,2,-,120,14,17,36,20,30
"S00167894",65,3,7,17,18,19,2,-,-,1,-,-,63,3,7,17,18,18
"S00167895",239,66,27,89,50,6,7,3,1,2,-,1,228,63,26,84,50,6
"S00167896",104,9,1,31,16,48,2,-,-,-,2,-,103,9,1,31,15,48
"S00167897",88,4,2,10,25,51,-,-,-,-,-,-,88,4,2,10,25,51
"S00167898",146,30,14,57,31,18,9,9,1,1,-,-,135,24,13,51,31,18
"S00167899",80,7,17,31,13,12,1,-,-,-,-,1,75,7,17,31,13,11
"S00167900",101,5,19,33,16,30,2,-,1,3,1,-,97,5,17,27,18,30
"S00167901",116,22,9,38,19,29,-,-,-,2,-,-,114,22,9,37,18,29
"S00167902",172,28,26,54,47,19,6,1,1,3,-,-,168,27,25,51,47,19
"S00167903",126,19,19,23,50,15,3,-,1,-,1,1,123,19,18,23,49,14
"S00167904",96,14,4,32,17,31,-,-,-,-,-,-,96,14,4,32,17,31
"S00167905",146,23,12,49,36,32,-,-,-,-,-,-,145,23,11,49,36,32
"S00167906",255,31,33,69,91,31,9,-,1,-,3,-,250,31,32,71,88,30
"S00167907",152,15,15,44,33,41,3,1,-,-,-,2,149,18,15,44,33,39
"S00167908",114,10,15,29,31,29,2,-,-,1,1,-,112,10,15,26,30,29
"S00167909",155,21,19,37,56,22,1,1,-,-,-,-,154,20,19,37,56,22
"S00167910",136,21,21,51,29,14,1,-,-,1,-,-,135,21,21,50,29,14
"S00167911",201,30,37,49,65,19,2,-,1,1,-,-,199,30,38,50,65,19
"S00167912",229,38,31,75,61,29,4,1,-,1,-,-,225,35,31,73,63,29
"S00167913",127,8,17,28,46,26,2,-,-,-,2,-,129,8,17,28,45,26
"S00167914",95,10,15,26,19,27,3,-,-,3,-,-,92,10,15,23,19,27
"S00167915",143,28,10,37,27,41,2,-,1,-,1,1,140,28,9,37,26,40
"S00167916",150,28,17,50,27,25,2,-,-,2,-,-,148,28,17,51,27,25
"S00167917",67,4,8,17,19,19,-,-,-,-,-,-,67,4,8,17,19,19
"S00167918",87,3,12,29,31,11,1,-,-,-,1,-,86,3,12,29,30,11
"S00167919",98,10,14,40,22,12,-,-,-,-,-,-,98,10,14,40,22,12
"S00167920",142,23,23,65,19,9,1,-,-,1,-,-,141,23,23,67,19,9
"S00167921",129,20,28,41,27,14,1,-,-,-,1,-,128,20,28,41,26,14
"S00167922",54,5,10,13,14,13,1,-,-,-,1,-,55,5,10,13,14,13
"S00167923",129,32,17,45,23,10,4,-,2,2,1,-,125,32,16,43,24,10
"S00167924",180,39,17,76,35,18,1,2,-,-,1,-,178,37,17,76,34,18
"S00167925",92,13,9,23,21,23,-,-,-,-,-,-,92,13,9,23,21,23
"S00167926",144,34,17,45,31,28,2,-,-,2,1,-,142,34,17,44,27,28
"S00167927",139,16,13,37,31,44,2,-,-,-,2,-,137,16,13,37,29,44
"S00167928",141,30,27,24,54,9,1,-,-,-,1,-,140,30,27,24,53,9
"S00167929",92,18,7,35,18,12,2,-,-,1,1,-,90,18,7,34,17,12
"S00167930",144,32,10,60,30,7,6,2,-,1,2,-,139,34,10,59,28,7
"S00167931",60,12,5,22,11,10,2,-,1,-,1,-,58,12,3,22,10,10
"S00167932",114,18,25,33,26,8,1,-,-,-,1,-,113,18,25,33,25,8
"S00167933",201,20,41,53,78,11,4,-,-,1,2,1,197,20,41,52,76,10
"S00167934",87,11,17,36,21,4,2,2,-,-,-,-,86,13,17,36,21,4
"S00167935",70,7,5,23,23,9,-,-,-,-,-,-,70,7,5,23,23,9
"S00167936",64,-,13,23,18,7,6,-,4,1,1,-,58,-,9,24,17,7
"S00167937",101,20,18,42,14,7,5,-,-,2,1,-,98,20,18,40,13,7
"S00167938",156,13,17,36,34,57,1,-,-,-,1,-,155,13,17,36,33,57
"S00167939",68,22,3,33,4,6,-,-,-,-,-,-,68,22,3,33,4,6
"S00167940",164,24,23,48,54,17,3,-,-,2,1,-,161,24,23,43,52,17
"S00167941",140,25,19,39,32,23,5,-,-,5,-,-,136,25,19,39,32,23
"S00167942",139,23,16,52,34,14,4,-,-,2,1,1,135,23,16,49,33,13
"S00167943",128,13,12,31,33,39,3,-,1,-,-,3,127,13,12,31,33,37
"S00167944",144,29,13,58,30,11,-,-,-,-,-,-,138,29,13,55,30,11
"S00167945",106,13,18,29,23,20,3,-,3,-,-,-,104,13,14,29,23,20
"S00167946",68,8,2,21,18,11,1,-,-,1,-,-,67,8,2,24,18,11
"S00167947",145,17,18,43,34,31,3,-,-,1,1,1,142,17,18,38,33,31
"S00167948",90,16,5,40,16,21,2,-,1,-,-,-,88,16,4,40,15,21
"S00167949",127,10,20,40,46,12,1,-,-,1,-,-,124,10,20,38,46,12
"S00167950",159,16,32,39,36,37,2,-,2,2,-,-,156,16,31,38,36,37
"S00167951",149,32,11,47,30,22,4,-,-,2,-,2,145,32,11,49,30,23
"S00167952",96,18,7,39,28,6,1,-,-,1,-,-,95,18,7,38,28,6
"S00167953",61,13,1,21,13,11,-,-,-,-,-,-,60,13,1,21,15,11
"S00167954",89,16,9,33,28,6,6,-,-,5,2,-,83,16,9,28,27,6
"S00167955",177,30,20,60,57,10,2,-,-,-,2,-,175,30,20,60,55,10
"S00167956",93,8,18,28,27,10,1,-,-,-,1,-,91,8,18,28,22,10
"S00167957",216,30,37,71,46,34,2,-,-,2,-,-,216,30,37,67,46,34
"S00167958",81,-,6,11,24,42,3,-,-,-,1,-,78,-,6,11,23,38
"S00167959",115,22,22,40,25,6,1,1,-,-,1,-,112,21,22,40,24,6
"S00167960",127,14,16,48,27,21,4,1,-,1,-,-,123,13,16,51,28,21
"S00167961",166,23,18,39,67,19,5,1,1,1,-,-,161,22,17,38,62,19
"S00167962",69,8,8,12,26,17,1,-,-,-,1,-,65,8,8,12,25,17
"S00167963",108,18,6,39,26,18,2,-,-,2,1,-,106,18,6,38,25,18
"S00167964",73,4,5,10,18,37,1,-,-,-,-,1,72,4,5,10,18,36
"S00167965",127,16,11,58,23,19,2,-,-,1,1,-,125,16,11,57,20,19
"S00167966",138,27,9,45,26,31,6,2,-,4,2,-,132,23,9,46,24,31
"S00167967",105,29,11,38,24,6,8,2,-,4,1,-,102,24,11,34,21,6
"S00167968",168,17,28,44,41,35,3,1,-,-,1,1,165,16,28,44,40,37
"S00167969",174,30,28,43,42,32,2,-,-,1,-,-,172,30,28,42,41,32
"S00167970",133,15,14,35,38,31,2,-,-,-,-,1,131,15,13,35,38,30
"S00167971",186,37,22,78,38,13,5,-,-,5,-,-,180,37,22,76,38,13
"S00167972",171,21,20,47,42,41,1,-,-,-,-,1,170,21,20,47,42,40
"S00167973",133,16,6,32,47,29,1,-,-,-,1,-,132,16,6,32,46,29
"S00167974",126,18,26,29,38,18,-,-,-,-,-,-,126,18,26,29,38,18
"S00167975",100,19,16,41,14,11,3,-,-,2,-,2,97,19,16,40,14,8
"S00167976",128,17,12,36,23,36,4,-,1,-,4,-,124,17,11,36,19,36
"S00167977",131,13,24,27,32,32,-,-,1,1,-,-,128,13,23,26,32,32
"S00167978",80,6,4,13,21,34,-,-,-,-,-,-,77,6,4,13,18,34
"S00167979",99,13,6,47,20,13,-,-,-,-,-,-,99,13,6,47,20,13
"S00167980",153,22,19,62,35,11,3,-,-,1,-,1,151,22,19,61,35,14
"S00167981",80,4,5,19,22,32,2,-,-,1,-,2,80,4,5,18,22,31
"S00167982",66,7,8,31,9,12,1,-,-,1,-,-,65,7,8,30,9,12
"S00167983",101,12,14,29,17,25,1,-,-,1,-,-,97,12,14,28,17,25
"S00167984",139,11,19,18,31,62,4,-,-,-,-,4,136,11,19,18,31,59
"S00167985",129,6,4,27,26,63,2,1,-,-,1,-,127,5,4,27,25,63
"S00167986",75,8,10,36,16,7,2,-,-,-,-,1,77,8,10,36,13,5
"S00167987",77,13,5,23,18,16,1,-,-,-,-,1,76,13,5,23,18,15
"S00167988",70,13,9,26,10,12,-,-,-,-,-,-,70,13,9,26,10,12
"S00167989",196,32,34,42,56,36,3,1,-,-,2,-,193,31,34,42,54,36
"S00167990",185,33,17,50,51,27,9,-,1,5,3,-,176,35,19,47,48,27
"S00167991",88,23,5,29,17,14,4,2,-,-,-,-,84,21,5,28,16,14
"S00167992",122,16,20,39,25,24,2,2,-,-,1,-,120,13,20,39,24,24
"S00167993",130,19,15,64,17,12,-,-,-,-,-,-,130,19,15,64,17,12
"S00167994",84,13,6,15,24,25,1,-,-,-,1,-,80,13,6,15,23,25
"S00167995",82,6,12,42,18,4,2,-,-,3,2,-,77,6,12,39,16,4
"S00167996",67,4,8,37,9,7,-,-,-,-,-,-,67,4,8,37,9,7
"S00167997",105,14,6,36,27,20,6,-,-,4,2,-,99,14,6,34,27,20
"S00167998",167,34,19,58,32,21,1,-,1,-,-,-,166,34,21,58,32,21
"S00167999",81,8,9,32,21,11,3,1,-,2,-,-,78,6,9,30,21,11
"S00168000",91,6,8,28,32,17,3,-,1,1,-,-,88,6,6,23,31,17
"S00168001",75,11,7,30,11,11,4,-,-,4,-,-,72,11,7,27,11,11
"S00168002",124,15,18,37,25,31,1,-,-,-,1,-,123,15,18,37,24,31
"S00168003",122,5,2,22,32,59,3,-,-,-,-,2,119,5,2,21,32,57
"S00168004",154,19,15,37,20,63,4,-,-,1,-,1,149,19,15,36,20,62
"S00168005",128,12,24,42,37,16,4,-,2,1,1,-,127,12,22,41,36,16
"S00168006",164,15,21,41,43,41,2,-,-,-,2,1,162,15,21,41,42,36
"S00168007",130,37,7,72,13,2,-,-,-,-,-,-,130,37,7,72,13,2
"S00168008",76,13,4,28,15,11,-,-,-,-,-,-,73,13,4,30,15,11
"S00168009",139,23,14,42,33,27,2,-,-,-,-,-,137,23,13,42,32,27
"S00168010",97,16,18,31,27,9,2,-,-,1,-,1,95,16,18,32,27,8
"S00168011",83,-,4,4,17,58,6,-,-,-,-,6,79,-,4,4,17,50
"S00168012",80,2,-,7,22,49,-,-,-,-,-,-,80,2,-,7,22,49
"S00168013",189,36,22,67,23,43,8,1,3,3,-,2,179,35,16,60,23,41
"S00168014",118,27,8,37,36,10,6,2,-,4,-,-,112,27,8,33,36,10
"S00168015",107,12,15,50,20,9,4,-,-,4,-,-,103,12,15,46,20,9
"S00168016",181,39,5,115,19,3,7,1,-,4,-,-,176,38,5,111,19,3
"S00168017",141,17,26,45,28,25,6,2,2,2,-,-,135,15,24,43,28,25
"S00168018",102,15,7,35,16,36,-,-,-,-,-,-,102,15,7,35,16,36
"S00168019",86,15,13,28,17,15,7,4,-,-,1,2,76,11,13,28,16,13
