Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00135456",84,16,2,28,26,16,1,-,-,1,-,-,87,16,2,27,26,16
"S00135457",64,3,-,19,13,29,-,-,-,-,-,-,64,3,-,19,13,29
"S00135458",78,11,10,24,20,9,4,-,-,2,-,-,76,11,10,20,18,9
"S00135459",121,8,9,28,24,52,2,-,-,-,2,-,119,8,9,28,22,52
"S00135460",120,10,8,39,22,40,-,-,-,1,1,-,118,10,8,42,18,40
"S00135461",131,27,13,38,19,34,4,1,-,1,-,-,129,26,13,37,19,34
"S00135462",156,24,10,35,46,34,2,1,-,1,-,-,154,20,10,34,46,34
"S00135463",146,17,9,40,45,37,2,-,-,-,2,-,144,17,9,40,43,37
"S00135464",102,11,10,39,21,18,5,1,-,1,2,-,97,10,10,40,19,18
"S00135465",106,10,3,28,30,35,7,1,-,-,3,3,99,9,3,28,27,36
"S00135466",99,12,7,28,29,26,1,-,-,1,-,-,98,12,7,27,29,26
"S00135467",93,13,7,26,25,21,5,1,1,3,-,-,88,12,6,23,25,21
"S00135468",68,-,22,38,6,1,1,-,-,1,-,-,67,-,22,37,6,1
"S00135469",116,5,8,16,30,61,4,-,-,1,2,1,112,5,8,15,32,58
"S00135470",136,24,8,37,40,26,4,-,-,-,-,4,134,24,8,37,40,24
"S00135471",146,26,21,56,21,26,10,2,3,5,-,-,136,20,18,51,21,26
"S00135472",147,21,10,43,35,38,3,-,-,4,-,1,144,21,10,41,35,37
"S00135473",125,23,10,42,18,33,4,-,1,2,1,-,122,23,9,40,17,33
"S00135474",113,24,11,56,8,13,-,-,-,-,-,-,113,24,11,56,8,13
"S00135475",100,19,6,37,14,24,1,-,-,1,-,-,99,19,6,36,14,24
"S00135476",106,13,8,26,22,40,-,-,-,-,-,-,106,13,8,26,22,40
"S00135477",113,19,3,61,17,10,4,1,2,2,-,-,108,17,5,59,17,10
"S00135478",96,5,3,17,10,61,1,-,-,1,-,-,95,5,3,16,10,61
"S00135479",123,9,13,25,53,20,-,-,-,-,-,-,123,9,13,25,53,20
"S00135480",131,18,8,47,26,28,3,-,-,-,2,-,125,18,8,49,24,28
"S00135481",131,17,8,22,26,55,1,-,-,-,-,1,130,17,8,22,26,57
"S00135482",82,19,2,20,12,35,3,1,-,-,-,2,82,15,2,20,12,30
"S00135483",110,15,8,28,25,41,3,-,-,1,4,-,111,15,8,27,19,41
"S00135484",82,4,4,17,20,31,-,-,-,-,-,-,82,4,4,17,20,31
"S00135485",160,21,4,48,36,55,4,-,-,2,1,1,156,21,4,46,32,50
"S00135486",112,24,5,37,21,25,3,-,-,3,-,-,109,24,5,34,21,25
"S00135487",155,11,10,35,42,53,2,-,-,1,1,1,151,11,10,34,41,52
"S00135488",111,18,9,38,20,28,4,1,-,1,1,-,107,17,9,37,17,27
"S00135489",123,18,22,67,11,-,4,-,-,2,2,-,119,18,22,68,9,-
"S00135490",126,9,9,32,36,40,-,-,-,-,-,-,126,9,9,32,36,40
"S00135491",121,9,15,65,26,6,-,-,-,-,-,-,121,9,15,65,26,6
"S00135492",122,14,6,37,33,36,3,-,-,3,1,-,119,14,6,30,32,36
"S00135493",160,34,27,78,15,10,5,1,2,-,-,-,156,33,22,76,15,10
"S00135494",98,11,8,19,30,30,-,-,-,-,-,-,98,11,8,19,30,30
"S00135495",104,22,4,37,19,24,2,1,-,2,-,-,102,21,4,34,19,24
"S00135496",101,17,4,29,20,33,1,-,-,-,1,-,100,17,4,29,18,33
"S00135497",227,42,10,72,47,55,2,-,-,-,2,-,225,42,10,72,45,55
"S00135498",143,25,18,86,14,2,2,-,-,2,1,-,140,25,18,85,11,2
"S00135499",126,18,18,36,19,41,4,-,-,2,-,1,122,18,18,34,16,38
"S00135500",112,30,7,71,3,2,2,-,-,2,-,-,105,30,7,68,3,2
"S00135501",136,15,-,32,27,58,5,1,-,2,4,1,128,14,-,31,25,57
"S00135502",124,10,22,78,9,5,2,-,1,1,-,-,122,10,21,75,9,5
"S00135503",85,8,3,19,21,37,2,-,-,1,1,-,83,8,3,16,17,37
"S00135504",140,3,11,15,34,74,-,-,-,-,-,-,139,3,10,15,34,74
"S00135505",160,32,9,78,23,16,2,-,-,2,-,-,155,32,9,76,23,16
"S00135506",86,8,3,26,35,10,-,-,-,-,-,-,86,8,3,26,35,10
"S00135507",170,36,11,61,40,17,4,-,-,2,-,1,164,35,11,59,40,16
"S00135508",65,4,3,26,15,17,6,-,-,-,2,5,61,4,3,26,14,10
