Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00173486",104,15,38,2,2,-,-,45
"S00173487",185,29,43,7,2,4,-,100
"S00173488",111,9,17,1,5,7,-,79
"S00173489",120,22,18,7,5,-,-,68
"S00173490",94,11,23,3,3,4,-,47
"S00173491",76,7,20,-,1,2,1,43
"S00173492",81,13,20,9,-,1,-,40
"S00173493",79,7,19,3,1,2,-,48
"S00173494",115,14,9,2,5,15,-,70
"S00173495",69,11,14,-,-,2,-,42
"S00173496",142,17,45,4,11,4,-,60
"S00173497",168,22,28,5,1,1,-,105
"S00173498",93,21,9,3,3,2,1,54
"S00173499",69,6,20,6,1,-,-,35
"S00173500",106,18,36,2,2,2,1,43
"S00173501",140,16,37,6,-,2,-,79
"S00173502",104,17,21,1,2,4,-,59
"S00173503",174,20,61,10,5,1,1,74
"S00173504",72,7,24,1,2,2,2,36
"S00173505",139,15,22,9,3,7,-,80
"S00173506",105,17,31,4,-,2,-,51
"S00173507",144,13,49,4,1,-,-,79
"S00173508",122,18,29,6,3,4,-,64
"S00173509",149,13,29,2,2,-,2,103
"S00173510",123,21,28,1,-,5,-,67
"S00173511",144,19,56,3,5,3,-,59
"S00173512",119,15,36,3,4,11,-,50
"S00173513",88,12,20,-,3,1,-,54
"S00173514",59,10,10,2,3,3,-,30
"S00173515",99,18,15,2,2,6,-,57
"S00173516",63,6,17,-,-,1,-,38
"S00173517",139,23,50,1,2,3,-,59
"S00173518",124,15,39,3,2,10,1,50
"S00173519",147,19,36,2,3,3,-,84
"S00173520",117,26,27,4,1,5,-,54
"S00173521",183,26,53,4,4,3,1,93
"S00173522",150,26,49,9,-,6,-,57
"S00173523",99,21,26,-,1,1,-,53
"S00173524",149,16,38,1,-,3,-,87
"S00173525",123,7,19,4,5,6,-,80
"S00173526",96,19,15,-,5,2,-,57
"S00173527",136,18,30,2,2,-,-,83
"S00173528",64,5,20,-,1,3,-,38
"S00173529",80,11,17,2,-,-,-,50
"S00173530",154,21,40,8,4,8,1,72
"S00173531",90,16,24,7,1,5,-,38
"S00173532",111,10,26,-,2,8,-,67
"S00173533",162,22,51,5,6,7,-,71
"S00173534",73,15,10,-,-,3,-,48
"S00173535",140,17,27,3,3,8,-,77
"S00173536",110,10,31,1,-,-,-,65
"S00173537",91,7,28,-,1,5,-,48
"S00173538",119,26,28,1,4,2,-,59
"S00173539",74,12,19,-,3,2,-,39
"S00173540",142,22,26,4,1,3,2,92
"S00173541",77,16,24,2,2,2,1,33
"S00173542",214,30,38,4,2,2,1,133
"S00173543",114,15,21,3,3,8,-,68
"S00173544",109,6,20,1,5,2,-,76
"S00173545",109,24,21,-,3,8,-,54
"S00173546",109,14,11,5,2,12,-,62
"S00173547",65,11,19,-,2,-,-,31
"S00173548",87,4,29,3,4,1,-,45
"S00173549",136,7,32,4,2,2,-,90
"S00173550",84,20,19,3,2,2,1,37
"S00173551",150,14,49,3,3,6,-,74
"S00173552",184,18,58,7,2,18,2,81
"S00173553",106,15,43,12,2,5,4,30
"S00173554",82,7,19,-,4,4,-,49
"S00173555",112,16,38,3,4,4,2,45
"S00173556",152,22,49,4,5,5,-,73
"S00173557",92,18,22,2,-,4,-,47
"S00173558",84,12,33,-,3,4,-,34
"S00173559",110,17,43,5,2,4,2,35
"S00173560",168,20,48,6,1,2,1,90
"S00173561",125,23,33,6,1,-,-,65
"S00173562",115,8,21,1,2,3,-,80
"S00173563",200,22,44,5,4,6,-,121
"S00173564",125,19,31,4,2,3,1,66
"S00173565",74,8,26,3,-,2,-,36
"S00173566",84,4,24,-,2,6,-,50
"S00173567",157,12,35,5,2,4,-,102
"S00173568",149,9,68,5,-,5,-,58
"S00173569",142,16,48,-,1,2,-,73
"S00173570",148,16,30,5,1,4,-,94
"S00173571",120,17,34,-,2,-,-,68
"S00173572",106,8,36,3,3,-,-,59
"S00173573",79,13,28,-,-,-,1,37
"S00173574",81,12,24,-,2,1,-,39
"S00173575",70,3,13,6,-,3,-,45
"S00173576",137,17,26,9,-,5,5,77
"S00173577",138,18,52,7,1,1,-,58
"S00173578",144,13,56,6,2,2,-,64
"S00173579",86,8,20,2,3,4,1,49
"S00173580",114,15,22,5,-,-,-,72
"S00173581",79,6,35,2,4,-,-,33
"S00173582",159,20,24,3,2,4,2,105
"S00173583",154,27,37,2,4,4,-,77
"S00173584",140,21,48,3,5,6,1,61
"S00173585",109,6,36,11,7,-,-,51
"S00173586",112,6,41,2,4,-,-,62
"S00173587",65,4,24,-,-,3,-,30
"S00173588",145,10,21,5,2,1,-,105
"S00173589",78,8,20,3,-,2,-,42
"S00173590",74,3,21,4,-,3,-,42
"S00173591",110,16,45,-,3,3,-,40
"S00173592",131,16,27,-,10,-,-,78
"S00173593",65,4,19,2,1,3,-,32
"S00173594",74,15,8,5,-,-,-,48
"S00173595",103,4,38,5,1,2,-,52
"S00173596",154,22,42,5,8,6,-,71
"S00173597",94,4,29,1,1,1,-,55
"S00173598",135,29,34,-,2,-,1,65
"S00173599",95,22,23,1,3,3,-,42
"S00173600",133,14,32,5,2,-,-,77
"S00173601",98,6,28,-,6,-,5,48
"S00173602",100,16,40,1,-,1,2,40
"S00173603",88,16,35,3,1,3,-,27
"S00173604",118,19,32,3,4,6,-,67
"S00173605",116,8,30,2,1,-,1,74
"S00173606",94,20,15,1,3,2,2,51
"S00173607",173,31,50,3,2,4,-,85
"S00173608",95,13,27,-,-,3,-,48
"S00173609",156,28,32,14,7,-,1,78
"S00173610",105,18,23,3,-,3,-,53
"S00173611",59,9,10,-,-,3,-,38
"S00173612",173,43,20,1,8,6,2,95
"S00173613",115,10,27,9,4,-,-,59
"S00173614",101,9,27,6,1,1,-,61
"S00173615",104,17,18,4,4,3,-,61
"S00173616",145,13,37,2,6,2,-,83
"S00173617",111,15,56,8,7,-,-,26
"S00173618",163,15,40,3,-,6,-,99
"S00173619",130,27,35,4,-,1,2,62
"S00173620",115,7,33,3,-,1,-,70
"S00173621",137,14,62,5,2,4,1,49
"S00173622",112,10,25,2,3,7,-,66
"S00173623",97,17,45,1,1,-,-,37
"S00173624",72,8,6,2,2,4,-,46
"S00173625",167,19,27,6,2,4,2,109
"S00173626",107,23,32,4,1,-,-,44
"S00173627",101,6,27,12,1,3,3,47
"S00173628",178,14,21,3,4,9,1,122
"S00173629",93,13,34,5,1,-,2,39
"S00173630",96,12,11,3,4,5,-,60
"S00173631",136,13,17,1,6,5,-,93
"S00173632",105,7,40,4,1,3,-,49
"S00173633",91,7,16,-,2,3,-,60
"S00173634",116,11,10,-,3,1,-,91
"S00173635",88,5,26,-,1,1,-,53
"S00173636",102,25,24,2,11,3,-,41
"S00173637",147,26,32,4,-,5,-,78
"S00173638",93,8,22,1,2,5,1,52
"S00173639",132,16,34,5,4,8,-,65
"S00173640",116,8,24,1,9,-,-,75
"S00173641",146,16,26,5,7,8,-,87
"S00173642",122,17,16,7,3,7,-,69
"S00173643",155,13,29,1,8,5,-,98
"S00173644",154,25,31,1,7,19,-,73
"S00173645",141,19,21,-,7,18,-,72
"S00173646",178,22,34,3,10,9,-,100
"S00173647",168,37,19,3,1,6,-,100
"S00173648",122,12,30,2,-,3,-,75
"S00173649",83,11,14,3,1,3,2,49
"S00173650",61,11,21,7,4,3,-,16
"S00173651",175,21,41,9,5,11,-,88
"S00173652",142,28,43,1,4,3,-,63
"S00173653",142,16,57,4,6,2,-,54
"S00173654",151,21,24,5,4,18,3,83
"S00173655",108,21,24,10,6,4,-,43
"S00173656",152,16,34,5,-,9,1,88
"S00173657",109,15,34,9,3,3,-,48
"S00173658",74,8,9,1,1,3,-,47
"S00173659",86,11,16,1,4,3,2,46
"S00173660",149,25,22,1,4,8,1,91
"S00173661",88,11,23,4,3,2,-,41
"S00173662",86,7,21,2,1,3,1,52
"S00173663",111,18,31,2,5,3,1,54
"S00173664",185,24,30,3,-,4,2,121
"S00173665",124,10,10,-,4,10,-,89
"S00173666",108,23,21,2,6,13,-,50
"S00173667",147,19,17,-,6,9,2,95
"S00173668",72,10,14,1,3,-,-,46
"S00173669",60,14,1,6,3,8,-,29
"S00173670",150,24,21,4,4,10,-,87
"S00173671",94,17,21,3,2,8,1,42
"S00173672",91,6,19,1,2,6,1,59
"S00173673",85,11,11,-,1,5,-,53
"S00173674",73,7,6,1,3,6,-,47
"S00173675",61,4,22,2,3,-,-,32
"S00173676",94,13,12,4,-,7,-,57
"S00173677",97,14,12,-,1,6,-,64
"S00173678",75,10,12,3,8,3,-,39
"S00173679",73,7,9,8,3,4,-,40
"S00173680",145,21,38,8,7,4,-,67
"S00173681",76,11,21,4,3,2,-,36
"S00173682",81,8,21,-,4,2,-,46
"S00173683",192,29,28,8,11,8,-,110
"S00173684",124,8,36,7,3,6,-,64
"S00173685",64,6,9,-,5,5,-,40
"S00173686",166,17,32,5,7,8,-,98
"S00173687",86,8,17,3,4,4,-,50
"S00173688",71,11,14,4,-,4,-,40
"S00173689",71,9,16,6,4,1,-,37
"S00173690",96,16,32,5,3,3,-,32
"S00173691",89,18,4,1,1,2,-,60
"S00173692",127,9,42,2,4,4,-,63
"S00173693",116,23,13,4,7,7,-,62
"S00173694",128,12,53,1,2,3,-,54
"S00173695",127,11,39,4,1,5,-,67
"S00173696",138,35,31,9,2,5,-,55
"S00173697",112,16,39,1,5,1,-,53
"S00173698",89,7,26,1,2,2,-,51
"S00173699",158,17,41,9,3,2,1,83
"S00173700",185,24,39,3,3,3,1,114
"S00173701",149,14,32,1,1,4,2,90
"S00173702",150,23,42,10,4,1,-,69
"S00173703",174,25,44,11,5,1,1,87
"S00173704",159,26,48,11,6,-,-,73
"S00173705",112,15,32,2,-,-,-,60
"S00173706",85,6,32,3,1,5,1,37
"S00173707",191,22,41,5,10,2,-,111
"S00173708",117,29,18,-,2,3,1,64
"S00173709",77,9,25,-,6,-,-,37
"S00173710",76,11,20,5,3,3,-,32
"S00173711",96,11,24,8,3,4,1,45
"S00173712",114,8,37,6,4,3,1,54
"S00173713",192,45,37,4,9,3,-,95
"S00173714",91,8,14,7,2,1,-,53
"S00173715",173,33,39,9,3,4,-,81
"S00173716",84,11,9,-,-,3,-,61
"S00173717",127,23,34,8,7,6,-,51
"S00173718",79,12,23,7,2,-,-,35
"S00173719",90,11,38,4,-,1,-,36
"S00173720",93,10,28,5,6,6,2,38
"S00173721",125,22,30,5,3,15,-,48
"S00173722",195,33,47,4,1,2,-,103
"S00173723",131,23,37,15,3,1,1,57
"S00173724",75,9,15,5,5,-,-,44
"S00173725",97,14,24,6,1,3,-,49
"S00173726",107,8,19,3,6,10,-,63
"S00173727",75,9,15,-,1,4,-,41
"S00173728",81,12,9,6,3,1,-,49
"S00173729",75,14,10,4,2,-,-,48
"S00173730",105,18,26,2,7,9,1,41
"S00173731",124,23,19,4,5,7,-,67
"S00173732",112,17,13,-,2,10,-,70
"S00173733",126,21,36,6,4,5,2,51
"S00173734",101,16,16,3,1,4,2,58
"S00173735",117,30,18,3,7,5,-,54
"S00173736",121,14,22,10,7,6,-,64
"S00173737",161,18,26,8,5,12,1,90
"S00173738",103,17,37,3,1,4,2,39
"S00173739",131,19,7,3,5,9,1,83
"S00173740",190,30,25,6,1,11,4,111
"S00173741",94,10,10,8,2,4,1,60
"S00173742",164,10,38,6,4,2,-,104
"S00173743",115,26,13,4,5,6,-,63
"S00173744",149,33,17,1,6,22,3,75
"S00173745",163,25,18,5,-,3,1,110
"S00173746",141,23,10,4,3,14,-,88
"S00173747",130,20,16,1,6,4,3,79
"S00173748",133,28,14,1,6,9,-,77
"S00173749",157,16,18,2,1,10,-,104
"S00173750",143,23,16,4,-,7,-,92
"S00173751",92,17,32,1,4,4,-,34
"S00173752",116,21,23,2,1,7,-,64
"S00173753",132,16,18,4,7,8,-,78
"S00173754",104,17,13,-,5,8,1,59
"S00173755",135,9,22,4,5,6,2,88
"S00173756",73,16,10,1,1,3,-,46
"S00173757",99,9,28,5,4,2,1,50
"S00173758",74,15,13,1,-,1,3,41
"S00173759",59,17,3,1,-,1,2,39
"S00173760",114,23,24,4,4,6,1,56
"S00173761",87,8,12,5,1,7,1,53
"S00173762",132,20,17,1,6,9,1,76
"S00173763",105,12,19,3,-,3,-,63
"S00173764",104,17,24,2,-,3,-,57
"S00173765",119,16,40,9,3,4,-,47
"S00173766",133,21,20,8,-,1,-,80
"S00173767",145,23,50,8,-,1,-,65
"S00173768",148,24,7,6,2,2,2,112
"S00173769",123,14,17,4,-,5,1,82
"S00173770",175,23,16,8,7,9,-,112
"S00173771",164,19,32,7,8,8,3,89
"S00173772",133,11,22,2,3,7,4,85
"S00173773",120,24,17,8,2,5,-,66
"S00173774",188,26,25,-,2,7,-,130
"S00173775",121,18,15,3,7,8,-,71
"S00173776",104,14,24,2,-,8,-,54
"S00173777",118,12,16,1,1,5,2,78
"S00173778",203,20,30,4,5,20,-,119
"S00173779",114,17,14,1,2,6,1,65
"S00173780",127,16,19,6,2,4,-,80
"S00173781",67,10,8,-,2,4,-,42
"S00173782",96,18,18,4,2,3,-,51
"S00173783",97,17,18,3,1,6,1,51
"S00173784",73,4,7,4,1,4,-,50
"S00173785",85,11,15,3,4,6,1,46
"S00173786",125,19,27,8,5,2,-,64
"S00173787",91,10,22,2,1,-,1,52
"S00173788",132,19,14,5,2,9,-,83
"S00173789",87,15,12,1,3,5,-,49
"S00173790",181,20,52,5,5,5,2,93
"S00173791",115,16,28,5,4,4,-,59
"S00173792",112,24,17,3,2,-,-,65
"S00173793",91,6,14,1,3,3,4,66
"S00173794",109,14,20,3,-,2,-,71
"S00173795",83,5,23,5,4,3,2,41
"S00173796",93,7,27,-,4,1,3,51
"S00173797",83,19,17,3,2,-,-,43
"S00173798",164,19,39,9,8,8,1,79
"S00173799",156,30,25,6,2,9,-,85
"S00173800",97,7,21,9,2,1,1,57
"S00173801",96,15,29,5,1,-,-,46
"S00173802",107,22,24,2,2,-,-,56
"S00173803",188,29,31,10,7,13,1,102
"S00173804",138,13,23,1,4,5,-,92
"S00173805",96,11,27,-,1,1,-,51
"S00173806",130,21,23,6,2,4,2,72
"S00173807",118,15,22,7,11,3,2,64
"S00173808",138,24,24,11,13,4,2,63
"S00173809",134,11,14,3,1,1,2,100
"S00173810",96,16,21,4,4,6,-,48
"S00173811",119,15,15,4,2,12,-,71
"S00173812",125,20,27,3,4,4,1,66
"S00173813",134,20,25,1,2,5,-,78
"S00173814",178,20,45,4,-,1,-,106
"S00173815",93,17,7,-,1,-,-,68
"S00173816",142,12,21,1,5,17,1,85
"S00173817",106,21,11,5,8,5,-,59
"S00173818",99,14,6,2,2,16,-,63
"S00173819",122,12,11,3,4,18,-,75
"S00173820",102,12,10,3,2,6,2,64
"S00173821",195,22,15,1,13,18,-,126
"S00173822",131,14,13,1,2,12,-,87
"S00173823",115,20,21,-,8,5,1,60
"S00173824",123,8,18,4,5,10,1,78
"S00173825",125,24,23,11,4,9,1,55
"S00173826",69,11,9,4,2,8,-,34
"S00173827",113,6,22,-,2,-,-,83
"S00173828",133,23,20,5,6,8,-,72
"S00173829",90,11,12,10,5,4,-,50
"S00173830",154,19,23,2,3,6,2,99
"S00173831",162,23,31,4,5,14,-,87
"S00173832",77,7,5,3,2,1,-,60
"S00173833",153,16,17,7,5,9,2,94
"S00173834",124,17,22,3,6,12,-,68
"S00173835",68,13,10,2,2,2,-,39
"S00173836",98,16,36,4,4,3,-,35
"S00173837",151,21,22,7,7,11,1,87
"S00173838",121,16,15,1,9,9,-,71
"S00173839",78,13,15,-,2,3,2,43
"S00173840",124,22,12,3,10,5,-,76
"S00173841",61,4,9,3,1,3,-,36
"S00173842",139,22,14,1,4,5,1,93
"S00173843",165,27,18,3,8,4,1,103
"S00173844",182,23,39,6,8,7,3,96
"S00173845",120,21,16,4,1,7,-,66
"S00173846",93,6,10,2,6,6,1,62
"S00173847",177,34,32,9,7,14,-,81
"S00173848",60,5,13,3,3,3,-,34
"S00173849",72,10,11,2,3,6,-,40
"S00173850",140,20,27,10,4,7,2,72
"S00173851",90,7,14,-,3,8,-,59
"S00173852",91,17,14,6,2,3,-,48
"S00173853",126,18,21,7,12,8,4,53
"S00173854",140,19,13,2,6,5,-,94
"S00173855",130,10,38,4,10,5,-,68
"S00173856",96,9,27,2,2,5,-,53
"S00173857",63,12,6,1,2,3,-,40
"S00173858",129,13,22,3,4,9,-,73
"S00173859",155,17,22,5,3,11,5,92
"S00173860",139,27,38,12,11,3,1,46
"S00173861",132,20,29,4,4,5,-,65
"S00173862",98,15,6,4,2,1,-,69
"S00173863",138,22,29,13,6,8,-,66
"S00173864",131,2,22,8,8,10,-,79
"S00173865",163,16,26,3,7,13,-,93
"S00173866",99,12,11,6,5,4,-,60
"S00173867",81,15,19,4,3,5,-,39
"S00173868",153,27,28,6,-,5,-,81
"S00173869",89,10,19,2,5,1,-,49
"S00173870",102,11,35,2,-,10,-,43
"S00173871",167,28,21,-,5,14,-,100
"S00173872",137,13,18,1,4,3,-,99
"S00173873",100,12,10,3,3,10,1,62
"S00173874",174,31,13,6,6,1,-,113
"S00173875",185,25,26,2,9,12,-,111
"S00173876",61,7,11,3,1,2,-,39
"S00173877",102,14,25,-,1,3,1,58
"S00173878",87,2,29,1,8,2,-,45
"S00173879",85,9,6,1,4,5,1,52
"S00173880",172,16,31,2,4,10,3,104
"S00173881",194,26,35,5,10,6,-,114
"S00173882",78,10,13,-,3,-,-,52
"S00173883",135,25,29,2,7,8,4,64
"S00173884",100,14,17,4,9,6,-,53
"S00173885",90,20,15,3,4,4,-,47
"S00173886",106,12,13,8,7,3,-,62
"S00173887",128,15,16,1,9,9,1,75
"S00173888",95,12,17,5,5,8,-,46
"S00173889",118,16,29,6,5,5,-,59
"S00173890",163,45,22,2,3,11,1,80
"S00173891",159,16,24,8,10,12,-,87
"S00173892",131,38,27,1,7,13,1,39
"S00173893",139,20,41,7,8,1,-,64
"S00173894",101,29,22,-,4,10,-,36
"S00173895",142,28,28,4,9,5,-,69
"S00173896",62,4,8,5,2,4,2,37
"S00173897",123,28,11,2,3,6,-,69
"S00173898",127,20,34,5,3,8,-,59
"S00173899",115,13,19,-,3,14,-,59
"S00173900",88,21,11,1,3,8,-,41
"S00173901",120,18,24,6,2,4,2,64
"S00173902",87,15,23,5,5,1,-,35
"S00173903",131,30,27,2,6,9,1,56
"S00173904",100,13,18,1,3,11,1,56
"S00173905",161,34,54,6,1,5,2,60
"S00173906",155,29,35,7,7,11,-,69
"S00173907",80,7,24,2,4,7,-,34
"S00173908",117,18,19,3,8,4,-,62
"S00173909",113,22,30,5,5,5,-,52
"S00173910",68,4,17,4,3,-,-,39
"S00173911",115,26,20,-,6,7,1,55
"S00173912",137,31,21,4,-,4,-,73
"S00173913",109,14,24,3,1,10,2,56
"S00173914",62,10,11,2,2,4,-,32
"S00173915",151,25,22,4,6,7,1,87
"S00173916",137,21,21,3,4,12,-,71
"S00173917",60,14,6,-,5,9,-,27
"S00173918",191,20,18,4,7,17,-,121
"S00173919",112,16,21,5,5,8,-,59
"S00173920",64,9,17,5,1,-,-,29
"S00173921",108,18,14,2,1,8,2,62
"S00173922",194,30,28,11,5,11,-,108
"S00173923",154,23,24,6,12,5,-,80
"S00173924",141,21,33,5,3,7,-,72
"S00173925",152,23,41,2,6,5,-,79
"S00173926",88,11,19,8,5,1,1,41
"S00173927",79,19,10,6,-,4,-,44
"S00173928",112,23,22,6,5,11,-,45
"S00173929",75,7,17,4,1,1,-,45
"S00173930",135,19,26,3,3,7,-,78
"S00173931",139,15,36,5,8,2,-,73
"S00173932",115,22,15,2,5,6,-,65
"S00173933",107,22,11,1,2,5,1,63
"S00173934",99,19,9,5,6,8,-,53
"S00173935",151,23,28,2,5,12,-,81
"S00173936",76,14,16,1,3,3,-,41
"S00173937",64,9,22,3,-,4,-,23
"S00173938",130,17,23,-,2,12,2,76
"S00173939",68,14,13,3,4,1,-,34
"S00173940",84,10,14,1,8,3,-,46
"S00173941",88,7,13,3,4,3,-,58
"S00173942",158,10,21,12,8,21,2,84
"S00173943",135,16,32,5,8,6,4,65
"S00173944",68,7,20,1,1,3,-,33
"S00173945",98,17,12,6,8,6,1,45
"S00173946",138,27,17,10,11,8,-,70
"S00173947",134,21,9,3,6,20,-,76
"S00173948",70,14,12,2,2,6,-,38
"S00173949",67,14,11,1,2,5,-,33
"S00173950",70,12,8,4,1,4,-,39
"S00173951",79,15,17,3,2,5,-,34
"S00173952",95,14,7,4,4,2,-,60
"S00173953",145,28,31,6,2,15,2,65
"S00173954",70,4,14,3,3,2,1,38
"S00173955",85,17,10,-,-,7,-,50
"S00173956",92,19,10,3,4,2,-,54
"S00173957",87,14,15,4,3,5,-,48
"S00173958",76,8,18,1,2,1,-,45
"S00173959",84,15,17,2,4,4,1,39
"S00173960",66,18,13,1,2,2,-,28
"S00173961",62,6,14,-,2,4,-,34
"S00173962",77,19,6,-,-,2,-,48
"S00173963",98,12,15,-,3,8,-,54
"S00173964",148,10,18,4,8,9,-,104
"S00173965",66,14,6,-,1,6,-,40
"S00173966",75,12,12,7,7,5,-,28
"S00173967",63,11,13,3,2,1,-,34
"S00173968",61,8,15,-,2,2,-,34
"S00173969",180,27,42,1,2,4,-,106
"S00173970",123,18,26,6,2,6,-,61
"S00173971",192,39,54,14,9,2,-,72
"S00173972",108,15,19,5,3,10,-,56
"S00173973",110,12,21,6,2,2,-,68
"S00173974",127,19,18,4,4,10,1,73
"S00173975",85,17,11,4,3,-,-,53
"S00173976",64,11,7,4,1,2,-,37
"S00173977",153,17,32,4,4,5,1,88
"S00173978",166,25,20,7,7,13,-,94
"S00173979",105,23,17,3,2,4,1,55
"S00173980",167,24,29,3,8,7,2,96
"S00173981",103,12,10,3,3,10,-,59
"S00173982",146,27,41,2,6,8,-,62
"S00173983",162,33,12,3,12,14,-,88
"S00173984",134,20,35,6,4,5,3,63
"S00173985",59,12,14,1,2,1,-,27
"S00173986",120,8,21,4,6,9,1,70
"S00173987",108,12,16,-,8,7,-,60
"S00173988",91,12,16,-,1,13,-,49
"S00173989",93,18,17,2,5,2,-,48
"S00173990",151,19,36,2,7,8,2,77
"S00173991",91,6,18,5,3,4,-,52
"S00173992",120,16,23,5,11,6,1,61
"S00173993",138,20,12,4,8,11,-,85
"S00173994",155,23,17,5,6,11,-,93
"S00173995",126,18,25,8,2,5,1,67
"S00173996",102,16,21,10,4,4,-,48
"S00173997",74,12,9,1,4,-,-,49
"S00173998",124,14,26,-,-,7,-,76
"S00173999",76,9,12,1,-,4,-,49
"S00174000",101,12,13,10,10,7,-,47
"S00174001",122,10,28,6,6,12,-,63
"S00174002",161,36,42,1,4,9,-,69
"S00174003",173,13,24,4,3,17,-,109
"S00174004",73,12,15,2,1,-,1,46
"S00174005",121,10,37,5,2,4,-,64
"S00174006",85,14,24,3,-,5,-,35
"S00174007",95,13,20,-,5,9,-,50
"S00174008",83,6,24,4,1,4,-,38
"S00174009",91,28,20,4,3,2,-,38
"S00174010",129,16,33,7,1,4,1,69
"S00174011",150,26,10,5,2,13,-,92
"S00174012",109,17,19,1,2,3,-,67
"S00174013",95,7,9,4,5,10,-,58
"S00174014",111,11,31,11,5,8,1,47
"S00174015",153,13,31,7,1,6,-,103
"S00174016",148,20,11,4,7,10,-,95
"S00174017",168,27,54,6,5,5,-,75
"S00174018",111,15,9,5,-,9,-,71
"S00174019",190,22,45,7,-,10,-,105
"S00174020",97,17,14,4,1,5,-,59
"S00174021",113,16,39,6,4,-,1,45
"S00174022",112,14,19,1,7,8,-,66
"S00174023",72,14,10,-,2,8,1,41
"S00174024",167,23,12,6,5,13,2,109
"S00174025",137,20,23,3,6,11,1,74
"S00174026",155,17,23,1,5,7,-,99
"S00174027",170,22,31,5,4,8,-,98
"S00174028",140,20,28,2,5,11,2,73
"S00174029",137,31,19,2,10,7,-,66
"S00174030",176,26,24,4,4,8,-,110
"S00174031",106,26,25,6,7,4,-,42
"S00174032",113,16,36,1,3,1,-,54
"S00174033",148,30,24,4,3,15,-,77
"S00174034",109,13,32,8,4,3,-,49
"S00174035",129,15,18,5,5,19,-,67
"S00174036",126,7,36,6,4,6,2,65
"S00174037",135,16,34,5,8,8,2,65
"S00174038",97,11,38,5,-,1,-,36
"S00174039",199,19,41,10,12,10,1,106
"S00174040",102,15,20,5,-,4,-,60
"S00174041",153,12,36,8,4,4,-,93
"S00174042",155,21,35,6,8,13,1,73
"S00174043",142,23,52,3,9,4,2,50
"S00174044",147,23,25,2,6,8,-,83
"S00174045",120,18,31,6,9,6,3,44
"S00174046",93,19,8,2,8,1,2,61
"S00174047",104,20,27,3,1,7,-,43
"S00174048",121,7,26,5,7,5,1,69
"S00174049",141,23,18,7,4,10,-,78
"S00174050",97,10,18,3,8,6,-,54
"S00174051",128,16,20,2,3,7,1,75
"S00174052",156,26,29,4,5,5,-,87
"S00174053",144,16,27,6,9,5,-,80
"S00174054",112,14,23,5,10,12,-,50
"S00174055",197,46,48,4,6,7,-,86
"S00174056",113,20,20,2,7,6,1,60
"S00174057",111,18,23,-,10,8,-,46
"S00174058",90,22,13,3,5,10,-,37
"S00174059",100,8,13,3,4,6,1,63
"S00174060",95,7,30,1,4,10,-,48
"S00174061",80,16,22,2,3,8,2,30
"S00174062",122,14,28,6,2,5,-,67
"S00174063",60,7,10,5,5,7,1,25
"S00174064",117,26,16,3,2,4,1,61
"S00174065",97,12,26,2,5,3,-,49
"S00174066",103,7,20,2,6,1,-,62
"S00174067",142,19,45,6,4,1,-,76
"S00174068",110,14,31,12,2,4,-,47
"S00174069",114,20,29,5,4,6,-,54
"S00174070",156,31,13,5,5,12,-,88
"S00174071",61,11,11,2,-,-,1,33
"S00174072",98,6,30,6,2,5,-,47
"S00174073",133,15,17,6,10,7,-,78
"S00174074",107,8,36,2,-,7,1,55
"S00174075",153,27,33,11,4,4,1,69
"S00174076",110,12,40,4,6,-,2,48
"S00174077",128,18,30,8,1,5,3,62
"S00174078",125,16,27,7,10,2,-,64
"S00174079",117,28,21,6,5,6,2,51
"S00174080",125,16,24,2,5,2,2,76
"S00174081",122,15,35,7,-,3,2,60
"S00174082",151,15,33,8,7,4,-,90
"S00174083",91,15,26,4,3,7,1,35
"S00174084",114,19,26,7,1,1,-,62
"S00174085",112,11,25,1,7,11,-,58
"S00174086",83,8,29,3,3,11,-,31
"S00174087",66,6,15,1,1,1,-,39
"S00174088",93,18,26,1,5,10,1,32
"S00174089",112,15,22,2,6,7,1,55
"S00174090",127,14,42,6,4,-,-,62
"S00174091",160,13,39,8,5,8,1,84
"S00174092",133,14,36,4,8,1,-,65
"S00174093",98,16,16,1,5,6,-,54
"S00174094",134,18,43,5,4,6,-,57
"S00174095",152,27,30,6,3,7,-,79
"S00174096",138,21,32,5,3,8,-,67
"S00174097",145,34,38,4,6,16,-,51
"S00174098",108,6,37,2,5,5,-,57
"S00174099",128,19,25,8,4,4,1,68
"S00174100",133,9,51,1,6,-,-,65
"S00174101",83,11,20,3,4,2,-,46
"S00174102",95,15,28,4,2,1,-,41
"S00174103",93,12,23,5,9,1,1,45
"S00174104",113,28,28,4,5,6,1,41
"S00174105",126,16,22,6,8,11,-,63
"S00174106",66,11,17,2,4,3,-,30
"S00174107",110,16,14,2,3,8,-,66
"S00174108",73,9,17,1,6,5,1,34
"S00174109",95,15,16,2,8,6,-,48
"S00174110",119,16,34,-,6,4,2,57
"S00174111",169,18,27,2,3,11,-,112
"S00174112",70,11,27,1,2,2,-,22
"S00174113",72,13,31,1,2,2,1,22
"S00174114",149,28,38,5,7,13,-,58
