Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00135600",60,7,19,8,6,-,-,14
"S00135601",128,9,24,3,8,3,-,78
"S00135602",124,16,28,1,4,9,-,64
"S00135603",80,11,19,8,5,2,-,35
"S00135604",83,6,21,4,4,1,-,43
"S00135605",82,20,20,1,5,4,1,27
"S00135606",270,32,59,16,5,13,1,149
"S00135607",1711,114,168,45,60,151,14,1159
"S00135608",95,14,31,11,5,4,-,29
"S00135609",108,23,15,1,9,1,1,55
"S00135610",156,15,53,4,11,3,-,70
"S00135611",87,15,25,9,7,3,-,26
"S00135612",149,28,33,3,2,4,-,74
"S00135613",114,16,30,3,3,2,-,59
"S00135614",110,17,31,13,2,3,-,42
"S00135615",153,30,39,2,9,3,1,78
"S00135616",72,3,17,-,2,4,3,44
"S00135617",105,16,23,6,6,-,-,56
"S00135618",74,15,19,5,8,-,-,25
"S00135619",63,4,15,-,2,5,-,37
"S00135620",122,37,24,11,4,-,-,47
"S00135621",129,16,39,7,1,2,1,63
"S00135622",89,6,23,1,3,4,-,56
"S00135623",128,15,24,8,18,6,-,52
"S00135624",90,16,29,14,8,-,-,26
"S00135625",129,14,20,3,6,5,-,80
"S00135626",58,8,18,2,4,-,-,28
"S00135627",127,11,40,19,6,3,-,48
"S00135628",151,25,38,12,10,8,2,55
"S00135629",152,9,27,5,9,1,1,98
"S00135630",110,18,25,5,10,1,3,50
"S00135631",157,22,47,3,5,7,2,73
"S00135632",159,26,32,5,5,-,-,91
"S00135633",64,14,22,3,7,-,3,17
"S00135634",75,17,17,2,4,1,-,31
"S00135635",114,18,27,4,1,3,-,56
"S00135636",101,12,32,2,5,2,-,48
"S00135637",121,25,30,12,7,3,-,50
"S00135638",76,9,15,1,9,4,-,36
"S00135639",69,11,16,3,2,-,-,33
"S00135640",126,17,44,11,12,2,-,42
"S00135641",86,14,36,10,4,-,1,22
"S00135642",179,42,28,3,16,7,1,80
"S00135643",90,13,23,4,6,2,-,43
"S00135644",74,2,18,5,7,5,-,36
"S00135645",81,19,22,11,5,2,-,21
"S00135646",74,15,28,5,6,-,1,15
"S00135647",147,32,52,19,5,-,-,37
"S00135648",112,6,22,3,3,3,-,75
"S00135649",85,12,16,5,3,-,-,50
"S00135650",108,22,25,7,-,3,-,48
"S00135651",114,25,36,8,7,5,-,35
"S00135652",85,8,22,2,6,6,-,38
"S00135653",82,5,14,4,3,2,-,53
"S00135654",69,9,13,3,-,2,-,44
