Scotland's Census 2022 - National Records of Scotland
Table UV208b - Gaelic language skills (2) by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over"
"S00135559",104,10,13,31,17,16,18,1,-,-,-,-,1,-,103,10,13,31,17,18,18
"S00135560",104,13,6,18,12,29,28,1,-,-,-,-,1,-,103,13,6,18,12,28,28
"S00135561",90,17,12,12,24,14,14,4,2,1,-,2,-,-,86,16,8,12,18,14,14
"S00135562",89,10,7,14,25,18,11,2,-,-,1,1,-,-,86,10,7,13,24,18,11
"S00135563",59,15,5,17,11,8,3,2,-,2,-,-,-,-,61,15,4,17,11,8,3
"S00135564",103,9,4,4,16,23,47,6,2,-,-,1,1,3,97,8,4,4,15,22,44
"S00135565",70,11,-,5,12,16,24,-,-,-,-,-,-,-,70,11,-,5,12,16,24
"S00135566",97,10,9,12,14,24,32,1,-,-,-,-,-,1,94,10,9,12,14,22,27
"S00135567",124,25,10,8,29,22,30,2,-,-,1,-,-,-,122,25,10,7,29,21,30
"S00135568",147,14,10,33,32,26,37,9,2,-,1,2,-,1,144,12,10,31,28,26,36
"S00135569",100,11,15,6,25,27,17,1,-,-,-,-,1,-,99,11,15,6,25,23,17
"S00135570",111,10,13,6,16,18,50,1,-,1,-,-,-,-,107,10,9,6,16,18,50
"S00135571",102,11,10,9,31,22,16,-,-,-,-,-,-,-,102,11,10,9,31,22,16
"S00135572",115,12,14,12,16,25,36,1,-,-,-,-,-,1,118,12,14,12,16,25,35
"S00135573",105,19,8,8,21,32,18,-,-,-,-,-,-,-,105,19,8,8,21,32,18
"S00135574",94,25,5,12,18,14,23,6,-,-,-,2,1,4,88,24,5,12,14,13,21
"S00135575",142,16,16,11,20,39,38,10,-,4,-,2,-,3,132,14,14,11,21,39,35
"S00135576",126,15,9,21,21,28,31,4,1,-,-,-,1,2,122,14,11,21,21,27,30
"S00135577",123,18,14,37,30,14,4,2,-,-,2,-,-,-,122,18,14,40,30,14,4
"S00135578",117,15,9,15,23,28,27,1,-,-,-,-,-,1,116,15,9,15,23,28,29
"S00135579",83,7,4,10,22,16,24,-,-,-,-,-,-,-,83,7,4,10,22,16,24
"S00135580",135,15,14,21,25,32,32,3,-,-,2,-,-,1,133,15,10,20,25,32,31
"S00135581",127,22,12,11,20,27,35,4,-,-,1,-,1,-,125,22,12,10,20,26,35
"S00135582",82,5,8,19,18,26,6,2,-,-,-,-,-,2,81,5,8,19,18,26,5
"S00135583",130,24,9,31,38,24,2,4,1,1,-,1,-,-,126,23,9,31,37,23,2
"S00135584",116,19,4,31,25,24,13,3,1,-,1,1,-,-,113,18,4,32,24,24,13
"S00135585",105,22,2,28,31,14,8,2,1,-,1,-,-,-,102,21,2,27,31,14,8
"S00135586",118,19,6,9,23,23,35,6,2,1,1,2,-,1,112,14,5,11,22,23,34
"S00135587",72,5,2,19,16,21,7,-,-,-,-,-,-,-,72,5,2,19,16,21,7
"S00135588",85,1,5,23,7,19,26,3,-,-,1,1,2,-,82,1,5,22,6,14,26
"S00135589",82,7,6,10,13,21,22,3,-,-,1,1,-,-,80,7,6,9,15,21,22
"S00135590",80,18,3,19,27,9,4,1,-,-,-,-,-,1,79,18,3,19,27,9,3
"S00135591",80,12,12,10,14,23,9,2,-,-,-,-,2,-,78,12,12,10,14,21,9
"S00135592",103,22,7,37,30,4,-,6,-,1,2,1,-,-,97,22,7,35,24,4,-
"S00135593",85,5,11,7,17,28,18,-,-,-,-,-,-,-,85,5,11,7,17,28,18
"S00135594",94,9,6,8,22,24,22,1,-,-,1,-,-,-,92,9,6,10,22,24,22
"S00135595",144,25,12,17,25,30,35,5,1,-,-,4,1,-,139,24,12,17,23,29,34
"S00135596",204,19,18,40,42,14,71,10,1,-,-,3,-,6,194,18,18,40,43,14,65
"S00135597",133,20,10,13,19,31,40,3,4,-,-,1,-,-,128,18,10,13,18,31,40
"S00135598",89,10,6,19,10,18,29,1,-,-,1,-,-,-,92,10,6,17,10,18,29
"S00135599",123,16,15,32,43,10,7,2,-,-,2,-,-,-,121,16,15,28,43,10,7
"S00135600",60,1,3,2,5,11,40,2,-,-,-,-,-,2,58,1,3,2,5,11,35
"S00135601",128,32,14,27,44,10,1,3,-,-,2,1,-,-,125,32,14,24,43,10,1
"S00135602",124,10,26,19,27,19,15,8,-,2,3,-,-,2,117,10,28,17,27,20,11
"S00135603",80,13,8,4,10,29,16,-,-,-,-,-,-,-,80,13,8,4,10,29,16
"S00135604",83,5,13,28,26,8,3,5,-,-,4,-,1,-,78,5,13,24,26,7,3
"S00135605",82,6,6,15,19,25,7,1,-,-,-,-,1,-,77,6,6,15,19,24,7
"S00135606",270,54,24,11,55,30,92,6,3,-,-,3,-,-,264,51,24,11,56,30,92
"S00135607",1711,5,1493,135,41,20,17,55,-,50,1,1,2,1,1656,5,1443,134,43,16,16
"S00135608",95,15,2,14,23,26,15,2,-,-,1,1,-,-,94,15,2,13,26,26,15
"S00135609",108,14,6,12,26,14,34,2,-,-,-,1,-,2,103,14,6,12,25,14,33
"S00135610",156,6,9,17,15,15,94,-,-,-,-,-,-,-,155,6,9,16,15,15,94
"S00135611",87,13,9,13,25,14,14,6,-,1,-,2,1,-,83,13,4,13,22,13,14
"S00135612",149,28,19,47,41,10,3,5,-,2,3,1,-,-,144,28,18,44,40,10,3
"S00135613",114,28,10,21,49,9,-,9,1,-,1,5,-,-,108,27,7,20,41,9,-
"S00135614",110,16,16,5,20,31,22,1,-,-,-,-,-,1,109,16,16,5,20,31,21
"S00135615",153,21,24,40,48,18,6,3,-,-,-,3,-,-,154,21,24,40,45,18,6
"S00135616",72,11,6,26,20,6,2,-,-,-,-,-,-,-,72,11,6,26,20,6,2
"S00135617",105,18,11,12,15,31,22,-,-,-,-,-,-,-,104,18,11,12,15,32,22
"S00135618",74,9,4,2,11,20,23,2,-,-,-,-,-,2,73,9,4,2,11,20,23
"S00135619",63,9,6,13,10,15,16,-,-,-,-,-,-,-,63,9,6,13,10,15,16
"S00135620",122,45,6,36,28,7,1,6,4,-,-,2,-,-,116,40,6,36,23,7,1
"S00135621",129,17,9,19,27,26,31,6,-,-,3,3,-,-,123,17,9,16,24,26,31
"S00135622",89,9,17,25,19,17,1,-,-,-,-,-,-,-,89,9,17,25,19,17,1
"S00135623",128,12,12,19,27,31,27,2,-,1,-,-,-,1,126,12,12,19,27,31,26
"S00135624",90,20,5,11,17,19,18,2,-,-,-,-,-,-,88,20,5,11,16,18,18
"S00135625",129,36,20,9,34,25,5,-,-,-,-,-,-,-,128,36,20,8,34,25,5
"S00135626",58,8,6,22,11,8,4,2,-,-,2,-,-,-,57,8,6,20,11,8,4
"S00135627",127,37,11,14,32,26,18,3,-,-,-,-,3,-,128,37,11,14,32,23,18
"S00135628",151,15,11,15,35,41,35,5,-,1,3,1,-,1,146,15,9,13,34,41,34
"S00135629",152,16,14,52,49,12,13,-,-,-,-,-,-,-,152,16,14,52,49,12,13
"S00135630",110,17,9,15,25,20,25,3,-,-,-,1,1,-,107,17,9,13,24,19,25
"S00135631",157,36,17,32,42,16,10,4,-,-,2,1,-,-,153,39,17,30,41,16,10
"S00135632",159,25,13,23,20,30,49,8,2,-,-,1,-,-,153,23,12,23,17,30,49
"S00135633",64,10,6,6,19,9,16,2,-,-,1,1,-,-,62,10,6,5,16,9,16
"S00135634",75,2,16,23,21,10,4,2,-,-,2,-,-,-,73,2,16,21,21,10,4
"S00135635",114,16,14,39,28,18,4,1,-,1,-,-,-,-,113,16,13,39,28,18,4
"S00135636",101,12,8,7,22,23,27,1,-,-,-,-,-,1,101,12,8,7,22,23,26
"S00135637",121,24,6,19,28,21,24,4,1,1,1,1,-,-,121,26,2,18,27,21,24
"S00135638",76,1,16,9,4,8,32,5,-,1,3,-,-,1,71,1,15,9,4,8,31
"S00135639",69,10,5,13,23,16,4,2,-,1,-,-,2,-,64,10,4,13,23,15,4
"S00135640",126,12,6,16,23,32,38,1,-,-,-,-,-,1,126,12,6,16,23,32,37
"S00135641",86,22,2,12,9,12,27,-,-,-,-,-,-,-,86,22,2,12,9,12,27
"S00135642",179,49,18,24,64,16,6,9,5,1,1,2,-,4,167,44,17,23,59,16,4
"S00135643",90,15,6,12,18,12,34,5,2,-,-,3,-,-,85,13,6,12,13,12,34
"S00135644",74,4,3,7,19,8,32,-,-,-,-,-,-,-,74,4,3,7,19,8,32
"S00135645",81,8,3,11,10,23,29,-,-,-,-,-,-,-,81,8,3,11,10,23,29
"S00135646",74,5,3,5,8,18,33,-,-,-,-,-,-,-,74,5,3,5,8,18,33
"S00135647",147,19,11,16,31,35,38,6,3,-,-,2,1,-,141,17,10,16,26,36,38
"S00135648",112,26,9,8,48,22,3,6,2,3,1,-,-,-,106,24,8,7,48,22,3
"S00135649",85,24,3,19,26,10,6,2,-,-,1,1,-,-,83,24,3,18,25,10,6
"S00135650",108,15,13,10,27,19,24,-,-,-,-,-,-,-,108,15,13,10,27,19,24
"S00135651",114,11,10,12,21,35,25,2,-,-,2,-,-,-,112,11,10,10,21,35,25
"S00135652",85,4,1,13,18,21,26,-,-,-,-,-,-,-,85,4,1,13,18,21,26
"S00135653",82,24,9,15,22,4,4,4,1,1,-,1,-,-,78,23,7,18,21,4,4
"S00135654",69,10,6,13,20,16,2,2,1,-,1,-,-,-,67,10,6,12,20,16,2
"S00135655",106,15,5,18,28,16,21,11,3,-,6,3,1,-,95,12,5,14,25,21,21
"S00135656",104,23,4,21,33,18,5,7,3,2,1,2,-,-,97,20,4,20,31,18,5
"S00135657",116,25,12,13,21,34,8,6,1,2,3,1,-,-,110,24,11,10,23,34,8
"S00135658",84,16,12,15,12,17,9,3,-,-,2,-,-,-,84,16,11,14,12,17,9
"S00135659",132,29,12,17,34,31,9,11,1,-,1,5,8,-,119,27,12,16,31,30,9
"S00135660",108,17,8,10,40,23,7,6,-,-,1,5,-,-,102,17,8,16,35,23,7
"S00135661",63,11,3,11,12,11,17,8,1,-,1,-,3,3,55,8,3,9,12,8,19
"S00135662",111,14,7,23,29,29,16,3,-,-,-,-,1,-,112,14,7,23,29,28,15
"S00135663",107,19,4,18,18,16,33,2,-,-,-,-,-,2,106,19,4,18,18,16,31
"S00135664",169,34,14,30,55,28,11,10,4,4,2,3,-,-,159,31,12,28,47,28,11
"S00135665",100,2,4,6,23,24,41,4,-,-,-,1,4,-,96,2,4,6,22,21,41
"S00135666",86,18,1,9,12,7,36,2,-,-,-,-,-,2,81,18,1,9,12,7,34
"S00135667",157,35,12,21,33,40,16,3,-,1,-,-,2,-,154,35,11,21,33,38,16
"S00135668",128,21,22,23,25,27,10,7,1,1,1,3,-,1,121,20,21,22,22,27,9
"S00135669",137,24,14,15,38,27,23,11,5,-,-,2,-,-,129,19,13,15,32,27,23
"S00135670",153,26,16,49,43,10,9,4,1,2,2,-,-,-,149,25,15,45,43,10,9
"S00135671",82,9,3,13,10,21,26,4,4,-,1,-,-,-,78,7,3,12,10,21,26
"S00135672",98,5,14,21,32,13,14,3,1,-,-,1,-,-,95,3,14,20,30,13,14
"S00135673",84,17,6,2,15,14,27,5,2,2,-,1,-,-,79,15,4,2,14,14,27
"S00135674",94,11,3,19,20,15,28,2,-,-,-,2,-,-,96,11,3,19,19,15,28
"S00135675",138,30,14,22,26,30,15,6,1,-,1,-,4,1,133,26,14,21,23,28,14
"S00135676",73,2,6,12,26,13,18,1,-,-,-,-,-,1,72,2,6,12,26,13,17
"S00135677",72,14,13,12,20,16,2,1,-,1,-,-,-,-,71,14,9,12,20,16,2
"S00135678",99,11,8,17,28,22,13,6,-,-,4,1,1,2,92,11,8,15,28,21,11
"S00135679",75,4,10,10,15,22,19,-,-,-,-,-,-,-,75,4,10,10,15,22,19
"S00135680",111,23,9,11,22,26,20,7,1,-,2,2,-,-,104,21,9,9,20,26,20
"S00135681",122,20,15,24,29,22,11,5,-,3,-,2,-,-,116,20,17,24,26,22,10
"S00135682",87,14,4,9,21,15,18,-,-,-,-,-,-,-,87,14,4,9,21,15,18
"S00135683",97,14,9,20,22,18,14,3,1,-,1,1,-,-,94,13,9,19,24,18,14
"S00135684",70,-,11,10,21,17,12,3,-,1,-,-,-,1,66,-,7,10,22,17,15
"S00135685",142,34,4,21,29,28,26,5,1,-,2,4,-,1,136,30,4,19,27,28,25
"S00135686",103,-,-,3,-,19,77,3,-,-,-,-,2,5,97,-,-,3,-,20,72
"S00135687",116,15,14,20,34,27,6,1,-,1,1,-,-,-,113,15,13,18,33,27,6
"S00135688",121,9,13,9,24,22,39,3,-,-,-,-,1,1,119,9,13,9,24,24,38
"S00135689",92,17,13,8,30,15,7,4,-,2,1,1,-,-,90,17,11,7,29,15,7
"S00135690",119,10,11,16,38,27,20,8,-,-,-,2,1,3,111,10,11,16,31,26,17
"S00135691",116,18,14,17,31,25,11,8,7,4,-,-,-,-,105,14,10,17,31,25,11
"S00135692",71,7,9,23,10,14,8,2,-,-,2,-,-,-,69,7,9,22,9,14,8
"S00135693",103,20,6,22,25,22,8,4,1,2,3,2,-,-,96,18,5,23,23,22,8
"S00135694",85,9,7,3,11,21,29,-,-,-,-,-,-,-,85,9,7,3,11,21,29
"S00135695",74,1,5,14,15,28,14,-,-,-,-,-,-,-,74,1,5,14,15,28,14
"S00135696",61,-,16,31,6,6,-,4,-,-,4,-,-,-,56,-,16,29,6,6,-
"S00135697",115,18,12,26,36,18,8,7,1,-,5,-,-,2,108,13,12,22,36,18,7
"S00135698",134,16,20,18,31,25,27,1,-,-,-,1,-,-,133,16,20,18,30,25,27
"S00135699",151,29,13,17,45,27,22,2,1,-,-,-,-,1,149,26,13,17,45,27,21
"S00135700",64,17,3,13,14,13,3,4,-,1,3,-,-,-,60,17,2,12,14,13,3
"S00135701",94,14,3,19,15,19,23,4,-,1,-,-,2,-,86,14,4,15,15,17,23
"S00135702",104,5,5,9,21,37,31,3,1,-,1,-,-,-,105,4,5,8,21,36,31
"S00135703",66,6,17,13,20,11,3,5,-,-,5,-,-,-,61,6,17,8,20,11,3
"S00135704",62,-,10,7,17,24,7,2,-,-,1,1,-,-,60,-,10,6,16,24,7
"S00135705",99,24,7,19,34,12,4,5,-,1,4,-,-,-,94,24,6,15,34,12,4
"S00135706",138,46,16,34,32,4,4,19,6,1,7,5,-,-,119,40,15,30,26,4,4
"S00135707",61,8,3,13,15,19,3,1,-,-,1,-,-,-,56,8,3,12,15,19,3
"S00135708",119,19,18,22,28,10,22,3,1,-,1,1,-,-,117,18,18,21,31,10,22
"S00135709",113,33,12,18,20,15,15,3,1,-,4,-,-,-,110,32,12,16,20,15,15
"S00135710",70,18,7,10,17,15,3,6,-,3,-,1,1,-,64,18,4,9,16,14,3
"S00135711",86,13,17,23,15,12,5,10,4,2,5,1,-,-,76,9,15,18,13,12,5
"S00135712",130,26,15,14,38,25,11,4,-,1,-,2,-,-,126,26,14,14,36,25,11
"S00135713",80,14,11,18,16,15,6,2,-,-,2,-,-,1,78,14,11,17,16,15,4
"S00135714",118,10,16,23,22,33,11,2,3,-,-,-,1,-,114,7,16,23,22,32,11
"S00135715",113,22,7,7,19,32,21,-,-,-,-,-,-,-,113,22,7,7,19,32,21
"S00135716",119,12,11,29,24,23,20,6,-,-,2,-,-,-,115,12,11,28,22,23,20
"S00135717",104,9,15,26,32,13,9,5,1,-,-,2,-,-,99,8,14,26,30,12,9
"S00135718",68,9,15,9,14,13,8,9,-,4,-,-,4,-,59,8,11,9,14,9,8
"S00135719",177,54,19,26,40,30,5,10,4,1,1,4,-,-,165,50,18,25,36,30,5
"S00135720",198,28,19,24,34,43,54,2,-,-,2,-,-,-,196,28,19,22,34,43,54
"S00135721",153,23,13,22,29,44,22,4,2,-,3,-,-,-,147,21,8,19,29,44,22
"S00135722",73,17,14,12,8,20,2,12,4,5,2,1,-,-,62,15,9,10,7,20,2
"S00135723",77,16,-,8,16,10,27,1,-,-,-,-,-,1,76,16,-,8,16,10,26
"S00135724",86,20,7,5,19,19,12,-,-,-,-,-,-,-,86,20,7,5,19,19,12
"S00135725",122,34,14,16,23,26,9,12,5,3,-,1,1,-,110,29,11,12,21,25,9
"S00135726",161,47,17,26,43,23,8,17,10,1,4,3,-,-,144,33,12,24,40,23,8
"S00135727",133,35,18,22,44,9,6,10,5,3,-,1,1,-,123,29,15,22,43,8,6
"S00135728",97,6,9,10,28,23,23,6,-,-,-,2,2,1,93,6,9,10,26,20,22
"S00135729",96,-,2,11,16,18,45,1,-,1,-,-,-,-,95,-,1,11,16,18,45
"S00135730",103,18,11,17,20,16,21,1,-,1,-,-,-,-,101,18,10,17,20,16,21
"S00135731",84,19,9,16,22,6,13,2,-,-,1,1,-,-,82,19,9,15,21,6,13
"S00135732",96,6,11,10,26,19,24,3,-,-,3,-,-,2,93,6,11,11,26,19,20
"S00135733",78,13,11,23,13,14,9,5,4,-,2,1,-,-,73,11,11,18,12,14,9
"S00135734",189,9,66,53,30,14,17,12,-,5,4,-,2,-,179,9,61,52,30,13,17
"S00135735",96,12,13,19,21,14,16,1,-,-,-,1,-,-,95,12,13,19,21,14,16
"S00135736",81,3,9,16,16,21,16,-,-,-,-,-,-,-,80,3,9,16,15,21,16
"S00135737",87,19,6,17,28,15,2,6,1,-,-,4,-,-,82,18,6,19,24,15,2
"S00135738",172,44,23,20,40,32,13,9,4,1,2,2,-,-,165,40,22,19,39,32,13
"S00135739",112,31,15,19,27,15,3,10,4,3,-,8,-,-,102,31,10,19,23,15,3
"S00135740",96,20,5,16,21,21,14,1,-,-,-,-,1,-,95,20,5,16,21,20,14
"S00135741",66,6,8,13,14,9,14,-,-,-,-,-,-,-,65,6,8,13,13,9,14
"S00135742",88,9,7,21,16,21,12,-,-,-,-,-,-,-,89,9,7,21,16,21,12
"S00135743",95,32,4,10,23,19,10,11,8,3,-,4,-,-,87,27,3,10,19,19,10
"S00135744",95,21,10,8,27,25,4,3,2,3,-,-,-,-,91,19,8,8,27,25,4
"S00135745",109,11,12,24,23,23,18,2,2,-,-,-,-,-,107,10,12,24,23,23,18
"S00135746",61,10,11,4,14,13,9,1,-,-,-,-,1,-,60,10,11,4,14,12,9
"S00135747",89,14,10,9,15,19,22,2,-,-,2,-,-,-,87,14,10,7,15,19,22
"S00135748",119,18,6,15,27,27,26,2,-,-,-,-,1,1,117,18,6,15,27,26,25
"S00135749",63,1,13,11,19,15,4,4,-,3,-,1,-,-,59,1,11,11,18,14,4
"S00135750",101,12,10,15,21,32,12,4,1,1,-,-,-,1,97,11,9,14,21,32,10
"S00135751",120,13,8,22,27,36,14,-,-,-,-,-,-,-,120,13,8,22,27,36,14
"S00135752",87,22,3,16,26,20,3,4,-,-,-,4,-,-,85,22,3,16,24,20,3
"S00135753",94,6,21,26,25,12,5,2,-,-,2,-,-,-,96,6,21,23,25,12,5
"S00135754",116,30,12,23,13,22,16,4,4,-,-,-,-,-,113,30,12,23,13,22,16
"S00135755",163,51,20,22,55,11,1,12,1,1,1,3,-,-,154,50,18,21,52,9,1
"S00135756",86,6,23,16,14,16,17,3,-,-,-,-,-,-,84,6,23,16,14,14,20
"S00135757",106,13,7,17,25,21,20,-,-,-,-,-,-,-,106,13,7,17,25,21,20
"S00135758",108,11,9,4,13,18,51,8,1,-,1,2,1,3,99,9,9,5,10,17,48
"S00135759",80,31,15,13,13,9,1,2,-,-,2,-,-,-,78,31,15,11,13,9,1
"S00135760",72,17,12,10,22,11,-,3,1,-,-,1,-,-,67,16,12,10,21,11,-
"S00135761",110,33,11,16,28,11,7,1,1,-,-,-,-,-,109,29,11,16,28,11,7
"S00135762",104,11,15,17,27,26,9,6,-,-,2,3,-,-,101,11,15,15,24,26,10
"S00135763",82,11,8,24,14,4,24,-,-,-,-,-,-,-,82,11,8,24,14,4,24
"S00135764",98,21,9,17,21,20,14,7,4,-,2,1,1,-,91,18,9,12,22,19,14
"S00135765",139,20,20,38,32,20,9,-,-,-,-,-,-,-,139,20,20,38,32,20,9
"S00135766",99,8,17,22,17,24,15,1,-,-,-,-,1,-,98,8,17,22,17,27,15
"S00135767",128,30,15,17,34,22,13,3,1,-,-,-,-,-,125,32,15,15,34,22,13
"S00135768",213,73,34,30,29,33,15,13,-,5,1,4,2,1,200,73,29,29,25,31,13
"S00135769",122,25,13,16,33,28,11,2,-,-,2,-,-,-,125,25,13,14,33,28,11
"S00135770",105,16,23,13,32,16,9,10,4,2,1,4,1,-,99,12,21,13,29,15,9
"S00135771",120,20,16,25,29,16,12,11,5,1,2,2,-,-,110,15,15,23,27,16,12
"S00135772",178,28,16,21,35,49,34,4,-,-,1,-,2,1,175,28,16,21,35,47,32
"S00135773",157,42,44,31,29,12,2,9,2,6,2,-,1,-,151,41,38,30,29,11,2
"S00135774",76,15,10,3,19,22,3,1,-,-,-,1,-,-,75,15,10,3,18,22,3
"S00135775",174,45,29,54,24,18,6,6,-,4,4,-,-,-,168,45,25,47,24,18,6
"S00135776",92,13,14,16,21,23,8,1,1,-,-,-,-,-,91,9,14,16,21,23,8
"S00135777",157,21,16,5,25,34,54,2,-,-,-,-,-,2,155,21,16,5,25,34,51
"S00135778",72,12,11,13,15,11,10,4,-,-,1,2,-,-,69,12,11,12,15,11,10
"S00135779",103,3,9,25,15,22,29,-,-,-,-,-,-,-,103,3,9,25,15,22,29
"S00135780",98,26,11,18,28,17,1,1,-,-,1,-,-,-,101,26,11,17,28,17,1
"S00135781",128,30,11,17,22,29,19,4,4,-,-,1,-,-,126,28,11,17,21,29,18
"S00135782",91,4,8,15,10,27,28,8,-,2,1,1,2,2,83,4,5,14,9,22,26
"S00135783",152,17,13,22,41,31,28,8,-,1,-,4,-,-,144,16,12,20,37,31,28
"S00135784",87,23,8,6,23,16,10,1,-,-,-,-,-,1,86,23,8,6,23,16,9
"S00135785",66,7,17,3,23,17,3,4,1,2,-,1,1,-,62,6,16,3,22,12,3
"S00135786",157,43,24,16,40,24,10,-,-,-,-,-,-,-,157,43,24,16,40,24,10
"S00135787",59,9,10,8,11,8,11,4,1,3,-,-,-,-,52,8,9,8,11,8,11
"S00135788",103,11,10,16,15,27,23,3,-,-,1,-,-,-,102,11,10,15,15,27,24
"S00135789",99,19,2,9,25,18,24,6,3,-,1,2,-,-,97,19,2,10,23,18,24
"S00135790",112,21,19,20,36,11,6,4,-,1,-,3,-,-,107,21,18,19,34,11,6
"S00135791",160,17,18,31,44,39,11,8,-,1,5,-,1,-,152,17,17,26,41,38,11
"S00135792",100,30,13,6,32,11,4,5,1,2,-,4,-,-,98,25,7,6,30,11,4
"S00135793",98,22,12,8,36,15,5,1,1,-,-,2,-,-,95,17,12,8,34,15,5
"S00135794",146,25,14,7,34,49,16,2,1,1,-,-,-,-,144,24,13,7,34,49,16
"S00135795",86,10,15,15,17,17,14,-,-,-,-,-,-,-,86,10,15,15,17,17,14
"S00135796",99,10,8,16,22,21,21,6,2,-,3,1,-,-,93,10,7,13,21,21,21
"S00135797",207,14,77,47,33,23,6,4,-,2,-,-,-,-,201,14,79,47,35,23,6
"S00135798",77,5,21,13,17,12,9,2,-,-,2,-,-,-,76,5,21,12,17,12,9
"S00135799",194,53,31,21,39,38,14,3,3,-,-,-,-,-,191,50,31,21,39,38,14
"S00135800",105,17,12,14,19,25,17,4,-,-,-,-,-,3,101,16,12,14,19,25,15
"S00135801",75,13,6,12,25,12,9,2,-,1,1,-,-,-,73,13,5,11,25,12,9
"S00135802",79,14,14,14,15,9,11,-,-,-,-,-,-,-,79,14,14,14,15,9,11
"S00135803",99,16,13,12,19,19,20,3,-,-,1,1,-,1,96,16,13,10,18,19,19
"S00135804",108,16,10,12,19,24,29,2,-,-,-,-,1,-,106,16,10,12,19,23,30
"S00135805",71,2,12,15,9,15,18,-,-,-,-,-,-,-,71,2,12,15,9,15,18
"S00135806",125,35,11,12,39,16,10,3,-,-,-,1,1,1,122,35,11,12,38,11,11
"S00135807",99,18,22,17,25,12,9,6,2,1,-,-,-,-,95,11,21,17,25,12,9
"S00135808",120,21,10,11,19,15,43,7,5,1,1,2,1,-,111,17,9,9,17,14,43
"S00135809",101,18,13,7,29,18,11,2,-,-,-,-,-,2,97,18,13,7,29,18,11
"S00135810",128,35,17,2,42,19,13,12,7,1,1,6,-,-,116,31,16,1,36,19,13
"S00135811",176,51,17,26,42,26,15,8,4,2,4,-,-,-,168,47,16,23,42,26,15
"S00135812",113,21,14,17,36,14,9,8,-,1,-,5,1,3,105,21,13,17,33,15,6
"S00135813",113,24,20,8,30,22,13,2,-,-,-,2,-,1,111,24,20,8,29,22,12
"S00135814",67,10,11,19,18,6,3,4,-,1,1,2,-,-,63,10,10,18,16,6,3
"S00135815",69,3,2,2,6,20,36,2,-,-,-,2,-,-,67,3,2,2,4,20,36
"S00135816",100,9,3,21,19,19,28,3,-,-,-,-,1,2,101,9,3,21,19,22,27
"S00135817",119,25,19,13,27,16,22,10,5,1,-,3,1,-,109,20,22,12,28,15,22
"S00135818",100,9,16,17,21,22,15,8,-,1,4,1,-,-,92,9,16,11,19,21,15
"S00135819",115,21,12,15,21,29,12,9,4,-,1,4,-,-,103,20,10,17,19,29,12
"S00135820",175,47,19,22,51,28,6,12,2,-,5,5,-,-,163,48,18,19,46,26,6
"S00135821",74,8,9,14,11,20,22,1,-,1,-,-,-,-,73,8,5,14,11,20,22
"S00135822",136,44,21,9,34,22,4,12,8,-,-,2,2,-,124,38,21,11,32,20,4
"S00135823",172,50,27,21,46,22,6,11,6,-,-,3,-,-,161,44,26,20,43,22,6
"S00135824",182,40,17,23,41,31,34,11,4,1,5,3,-,-,171,36,16,19,39,31,34
"S00135825",102,27,12,10,27,11,14,4,1,-,-,2,-,1,98,26,12,10,26,11,13
"S00135826",99,30,11,14,28,13,-,8,2,1,2,3,-,-,91,28,13,12,25,13,-
"S00135827",66,12,10,6,11,7,20,2,2,-,1,-,-,-,64,13,10,6,11,7,20
"S00135828",131,17,8,35,28,31,12,5,-,1,4,-,-,-,126,17,7,31,28,31,12
"S00135829",84,4,5,4,10,21,38,7,-,4,1,2,-,4,77,4,3,3,10,21,36
"S00135830",63,3,4,13,13,15,12,3,-,1,-,-,-,1,62,3,6,13,12,15,15
"S00135831",108,12,13,12,23,29,19,7,-,3,-,1,-,1,101,12,10,12,20,29,17
"S00135832",163,17,14,30,50,35,19,14,2,2,-,8,2,1,151,16,12,30,42,33,19
"S00135833",117,20,12,11,29,21,24,1,-,-,3,-,-,-,114,20,12,9,29,21,21
"S00135834",103,17,13,21,21,20,12,1,-,-,-,-,1,-,102,17,13,21,21,19,12
"S00135835",151,21,10,29,42,30,19,12,3,1,2,6,1,-,139,22,8,31,38,29,19
"S00135836",106,22,1,17,23,20,23,4,1,-,1,-,-,1,102,21,1,16,23,20,18
"S00135837",139,33,14,15,35,26,16,6,1,-,2,2,2,-,137,32,14,13,33,25,16
"S00135838",164,8,45,33,30,24,24,4,-,4,-,-,-,-,160,8,41,33,30,24,24
"S00135839",260,35,124,36,41,16,5,6,2,3,-,-,2,-,254,35,121,36,41,22,5
