Scotland's Census 2022 - National Records of Scotland
Table UV208b - Gaelic language skills (2) by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over"
"S00135496",101,17,4,5,22,20,33,-,-,-,-,-,-,-,101,17,4,5,22,20,33
"S00135497",227,42,10,16,56,47,55,2,-,-,-,2,1,-,225,42,10,16,55,46,55
"S00135498",143,25,18,49,37,14,2,3,-,-,-,2,-,-,140,25,18,48,36,14,2
"S00135499",126,18,18,3,30,19,41,2,-,-,-,-,-,2,124,18,18,3,30,19,37
"S00135500",112,30,7,37,34,3,2,1,-,-,1,-,-,-,111,30,7,36,34,3,2
"S00135501",136,15,-,13,19,27,58,-,-,-,-,-,-,-,133,15,-,13,19,26,58
"S00135502",124,10,22,41,37,9,5,1,-,-,1,-,-,-,123,10,22,40,37,9,5
"S00135503",85,8,3,10,6,21,37,1,-,-,1,-,-,-,84,8,3,9,6,21,37
"S00135504",140,3,11,8,7,34,74,5,1,-,-,1,-,1,135,4,10,8,6,34,75
"S00135505",160,32,9,23,51,23,16,-,-,-,-,-,-,-,160,32,9,23,51,23,16
"S00135506",86,8,3,11,17,35,10,-,-,-,-,-,-,-,86,8,3,11,17,35,10
"S00135507",170,36,11,16,45,40,17,2,2,-,-,-,1,-,165,34,11,16,45,37,17
"S00135508",65,4,3,10,16,15,17,1,-,1,-,1,-,-,63,4,2,10,15,15,17
"S00135509",123,21,3,12,25,28,34,1,-,-,-,-,1,1,121,21,3,12,25,26,33
"S00135510",108,8,12,13,17,27,31,5,1,-,1,-,-,2,103,7,11,15,17,27,29
"S00135511",118,5,6,20,34,27,23,-,-,-,-,-,-,-,118,5,6,20,34,27,23
"S00135512",118,8,11,13,20,34,32,1,-,-,1,-,-,-,117,8,11,12,20,34,32
"S00135513",111,14,10,7,19,20,37,4,1,-,-,3,-,-,107,12,10,7,16,20,37
"S00135514",112,13,12,15,24,22,26,2,-,-,-,3,1,-,108,13,12,15,21,24,26
"S00135515",160,17,16,16,18,28,64,5,-,-,-,1,-,4,155,17,16,16,18,28,60
"S00135516",143,35,13,50,28,13,3,5,1,-,3,-,-,-,138,34,13,47,28,13,3
"S00135517",111,12,11,23,31,25,10,5,-,-,2,-,-,-,108,12,11,21,31,21,10
"S00135518",82,6,11,10,16,15,24,1,-,-,-,-,1,-,81,6,11,10,16,14,24
"S00135519",137,8,18,15,14,51,31,2,-,-,2,-,-,-,139,8,18,14,14,51,31
"S00135520",141,18,11,23,31,39,25,4,-,-,4,-,-,2,141,18,11,21,31,39,23
"S00135521",115,12,17,34,29,18,6,4,-,2,-,-,-,-,113,12,15,34,28,18,6
"S00135522",89,5,5,14,21,21,23,5,-,-,-,2,-,1,84,5,5,12,19,21,22
"S00135523",67,2,4,2,2,10,43,-,-,-,-,-,-,-,67,2,4,2,2,10,43
"S00135524",110,3,4,14,24,29,35,2,-,-,-,1,-,1,108,3,4,14,23,29,34
"S00135525",102,15,-,41,38,8,-,1,-,-,1,-,-,-,101,15,-,40,38,8,-
"S00135526",104,8,12,10,15,23,36,2,-,-,-,-,2,-,103,8,12,10,15,22,36
"S00135527",65,13,-,6,11,20,21,3,1,-,-,2,-,-,61,9,-,6,9,20,21
"S00135528",166,14,14,16,26,36,64,3,-,-,1,-,-,1,163,14,14,15,26,35,61
"S00135529",139,7,6,9,20,45,50,-,-,-,-,-,-,-,139,7,6,9,20,45,50
"S00135530",85,12,4,8,15,18,27,3,-,-,-,-,3,-,82,12,4,8,15,16,27
"S00135531",97,11,7,11,15,22,27,1,-,-,-,-,1,-,96,11,7,11,15,25,27
"S00135532",97,19,10,11,36,9,6,1,-,-,-,1,-,-,96,19,10,11,32,9,6
"S00135533",125,15,7,21,32,36,17,1,-,-,-,-,1,-,127,15,7,21,32,32,17
"S00135534",111,14,13,11,27,34,10,6,-,-,2,-,-,3,105,14,12,12,27,34,7
"S00135535",223,25,15,16,35,25,107,11,2,3,-,2,-,3,212,23,6,16,36,24,104
"S00135536",183,57,12,23,69,18,2,3,-,-,-,4,-,-,178,56,12,23,67,18,2
"S00135537",144,15,6,6,24,41,49,-,1,-,-,-,1,-,142,13,6,6,24,43,49
"S00135538",91,9,4,4,10,21,42,-,-,-,-,-,-,-,91,9,4,4,10,21,42
"S00135539",84,12,6,9,15,17,25,-,-,-,-,-,-,-,84,12,6,9,15,17,25
"S00135540",143,18,10,10,30,34,44,4,-,-,4,-,-,-,141,18,10,8,30,34,44
"S00135541",78,4,3,5,7,20,37,-,-,-,-,-,-,-,78,4,3,5,7,20,37
"S00135542",171,47,11,64,35,8,2,13,4,-,11,-,-,-,158,42,11,55,35,8,2
"S00135543",162,31,10,55,59,5,-,-,-,-,-,-,-,-,162,31,10,55,59,5,-
"S00135544",96,14,6,5,20,21,33,3,2,-,-,1,2,-,92,11,6,5,19,20,33
"S00135545",132,7,9,16,28,35,36,6,1,2,2,1,1,-,126,6,7,16,27,34,36
"S00135546",86,10,5,9,13,23,26,6,-,1,-,1,1,1,82,10,4,9,12,22,28
"S00135547",175,33,11,23,40,42,30,7,1,-,1,-,2,1,172,31,11,19,39,40,29
"S00135548",85,14,6,9,16,20,23,3,-,-,2,1,-,-,82,14,6,7,15,20,23
"S00135549",64,9,1,3,12,18,18,-,-,-,-,-,-,-,64,9,1,3,12,18,18
"S00135550",118,21,15,13,21,24,21,1,-,-,-,1,-,-,119,21,15,13,23,24,21
"S00135551",122,18,4,26,29,30,14,2,1,-,-,1,-,-,120,15,4,26,30,30,14
"S00135552",127,21,20,53,20,6,5,2,-,1,1,-,-,-,123,21,19,52,20,6,5
"S00135553",202,27,15,18,33,48,61,3,-,-,-,2,1,1,199,27,15,18,32,47,60
"S00135554",84,14,4,5,19,13,29,2,2,-,-,-,-,-,82,12,4,5,19,13,29
"S00135555",163,20,15,18,24,46,41,6,2,-,-,3,2,-,157,18,15,18,21,44,41
"S00135556",100,2,12,31,14,26,15,3,-,1,1,-,-,1,97,2,11,26,14,26,14
"S00135557",82,13,-,13,16,17,27,3,-,-,-,3,-,-,83,13,-,13,13,17,27
"S00135558",146,19,13,16,25,37,29,4,-,-,2,1,-,-,142,19,13,18,23,37,29
