Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00135539",54,24,18,8,5,5,6,-,1,-,3,1,-,6,-,1,-,3,-,-,1
"S00135540",65,27,15,7,2,6,7,5,-,-,3,1,-,16,-,1,2,6,-,2,6
"S00135541",43,23,10,7,-,3,7,2,-,2,-,1,1,6,1,-,-,1,1,1,2
"S00135542",76,1,25,13,9,4,36,10,2,7,9,8,4,14,-,3,-,9,-,-,1
"S00135543",71,6,18,10,4,4,37,14,1,5,7,10,2,14,-,-,-,8,-,2,5
"S00135544",55,27,16,8,5,3,8,2,-,-,-,-,3,6,-,-,-,-,-,3,4
"S00135545",79,31,28,10,9,11,14,1,1,5,4,2,3,6,-,-,-,3,-,1,2
"S00135546",53,28,11,7,2,2,8,3,-,2,2,-,1,6,-,-,-,2,-,2,2
"S00135547",74,18,19,14,1,4,14,3,-,4,3,3,1,23,1,1,3,5,-,4,8
"S00135548",48,18,13,9,1,3,9,3,1,-,4,4,1,3,-,2,1,1,-,-,1
"S00135549",39,14,17,7,9,6,4,-,-,1,2,-,-,4,-,-,3,-,-,1,1
"S00135550",70,27,28,6,13,9,5,-,2,-,-,3,-,10,-,2,-,3,1,1,1
"S00135551",56,12,16,7,5,3,18,2,1,2,1,4,2,10,-,1,-,5,1,1,2
"S00135552",73,5,42,24,4,12,22,5,2,1,7,4,3,6,-,-,-,4,1,-,1
"S00135553",83,29,12,6,-,5,18,9,-,1,5,2,-,24,1,1,1,8,1,5,8
"S00135554",41,17,7,3,2,3,10,2,2,-,3,5,2,7,-,-,-,2,-,3,-
"S00135555",72,22,12,3,2,4,23,6,1,3,5,3,1,15,1,3,-,5,1,1,5
"S00135556",69,15,40,23,8,9,17,4,-,3,7,1,-,1,1,-,-,-,-,-,-
"S00135557",43,17,12,6,6,1,10,2,-,4,2,1,4,4,-,-,-,1,-,-,3
"S00135558",62,16,16,8,2,6,17,4,2,3,6,-,-,13,-,-,-,4,-,4,5
"S00135559",63,17,25,10,5,10,18,4,5,-,6,5,-,2,-,-,-,2,1,1,-
"S00135560",63,17,30,21,1,8,8,4,-,-,1,3,1,7,-,1,-,2,2,2,2
"S00135561",48,14,14,3,8,3,11,-,-,4,4,-,1,9,-,-,2,-,-,2,5
"S00135562",45,10,16,4,5,7,13,1,-,2,4,2,2,7,-,1,-,-,-,1,5
"S00135563",36,12,11,6,5,3,10,-,2,-,5,-,-,4,-,-,-,1,1,1,-
"S00135564",55,31,10,6,1,-,7,4,-,-,4,1,-,7,1,-,1,1,2,-,2
"S00135565",33,15,8,3,1,4,4,1,-,-,1,-,-,7,-,-,-,2,1,-,4
"S00135566",50,20,16,7,4,2,10,2,-,-,6,1,-,6,-,-,-,3,-,-,4
"S00135567",57,19,7,-,3,2,19,3,1,5,3,6,3,16,-,1,-,9,2,-,1
"S00135568",80,28,23,18,4,3,16,6,-,2,4,3,2,13,-,2,-,5,-,3,3
"S00135569",57,21,13,5,5,3,13,3,2,1,-,1,1,6,-,2,-,2,-,-,2
"S00135570",55,23,8,2,5,3,10,-,-,2,5,2,-,9,4,-,2,4,1,-,1
"S00135571",58,15,23,15,8,4,14,2,2,-,4,3,3,6,-,-,1,2,1,1,1
"S00135572",49,21,7,7,-,2,9,1,2,-,2,2,3,14,2,-,2,3,2,-,5
"S00135573",45,11,12,4,3,5,11,2,2,1,2,3,1,11,-,3,-,2,-,4,1
"S00135574",41,15,6,4,3,1,7,3,1,1,-,1,1,14,-,1,-,5,-,1,7
"S00135575",77,31,16,9,2,5,17,2,1,5,4,2,5,13,-,-,1,3,-,3,2
"S00135576",72,25,28,12,10,6,12,-,4,1,1,4,2,7,-,-,-,4,-,1,2
"S00135577",66,7,28,15,7,10,21,11,5,-,4,4,-,10,-,-,-,2,2,3,4
"S00135578",61,18,12,9,1,4,18,4,2,3,2,4,2,9,1,-,2,3,-,3,1
"S00135579",48,18,14,12,5,2,13,6,1,1,4,1,-,3,-,1,-,-,-,1,1
"S00135580",79,33,27,15,5,8,13,4,-,1,7,-,-,10,-,-,-,5,1,-,3
"S00135581",56,16,17,6,4,8,12,3,4,-,2,2,1,11,-,-,-,5,-,1,5
"S00135582",53,8,29,19,5,5,13,2,1,1,2,3,1,3,1,-,-,1,2,-,-
"S00135583",81,21,27,10,6,11,23,6,3,-,4,5,3,7,-,-,1,-,-,1,1
"S00135584",67,20,20,10,3,4,17,1,7,-,3,3,1,10,-,-,-,5,1,3,2
"S00135585",46,4,17,7,4,3,17,7,2,1,4,3,-,12,-,-,-,2,3,1,4
"S00135586",55,23,12,4,5,7,7,1,1,4,-,-,-,17,-,2,-,5,-,3,5
"S00135587",57,12,39,23,6,7,5,1,-,-,2,-,-,1,-,-,-,1,-,-,-
"S00135588",50,18,13,8,2,3,16,-,-,-,9,-,2,5,-,-,1,1,-,-,1
"S00135589",40,11,15,10,-,6,6,2,-,1,2,2,1,7,1,-,1,-,-,3,-
"S00135590",34,3,9,9,2,2,11,6,-,2,2,-,1,9,-,-,1,1,-,-,5
"S00135591",30,3,8,4,4,-,6,1,-,1,4,-,-,11,-,-,2,5,2,1,-
"S00135592",43,1,8,4,3,-,23,5,-,3,7,12,1,9,-,1,2,1,-,1,3
"S00135593",36,6,12,7,-,4,9,2,1,1,4,-,2,10,2,-,1,3,2,-,-
"S00135594",44,11,11,4,5,2,13,6,-,-,2,2,-,9,-,1,1,3,-,1,4
"S00135595",75,28,19,9,6,6,20,5,4,4,7,-,1,8,-,-,-,3,4,-,2
"S00135596",80,8,31,21,1,6,29,14,-,1,7,3,3,10,-,-,1,5,-,2,1
"S00135597",73,41,7,4,2,1,12,5,-,2,4,-,1,13,-,-,-,5,1,-,4
"S00135598",41,14,9,3,5,4,9,4,1,1,3,-,-,6,1,-,-,-,1,3,1
"S00135599",67,8,26,14,2,10,21,6,2,1,11,2,4,9,-,-,-,-,2,1,4
"S00135600",47,37,5,1,2,2,3,3,-,-,1,1,-,-,-,-,-,-,-,-,-
"S00135601",50,-,15,5,3,7,17,5,-,4,3,4,1,16,-,2,-,3,1,5,5
"S00135602",67,16,19,4,14,4,21,4,4,-,10,3,3,10,-,4,-,1,-,1,2
"S00135603",32,12,6,4,1,-,5,4,-,1,-,2,-,9,-,-,-,7,1,1,-
"S00135604",63,4,45,18,11,16,15,2,2,3,3,-,1,3,-,-,-,2,-,-,1
"S00135605",40,4,15,5,3,7,15,3,-,-,6,2,2,6,-,-,-,5,1,1,-
"S00135606",62,8,7,2,2,3,21,3,1,1,7,4,1,30,1,2,1,9,3,3,11
"S00135607",69,15,24,8,3,9,25,3,4,1,8,1,7,3,-,2,-,-,-,2,-
"S00135608",39,10,7,6,4,-,11,2,1,-,1,3,2,11,-,-,1,3,2,-,6
"S00135609",53,22,10,6,1,3,12,1,-,3,3,5,-,9,-,-,1,1,-,1,4
"S00135610",85,47,27,14,7,6,8,-,5,2,2,1,-,5,-,1,-,1,-,-,1
"S00135611",51,21,16,9,1,5,8,2,-,1,5,2,-,8,-,2,-,1,-,1,1
"S00135612",76,3,36,20,9,9,22,4,3,5,5,2,3,14,-,-,-,4,1,4,4
"S00135613",43,2,12,6,3,3,15,5,1,2,3,3,-,15,-,1,1,6,1,2,8
"S00135614",45,17,10,3,1,5,7,2,1,-,2,-,1,12,-,2,1,1,1,2,1
"S00135615",78,6,37,26,7,8,25,7,1,5,4,6,3,13,-,-,-,6,1,3,2
"S00135616",46,3,23,14,1,8,12,4,2,-,-,5,1,5,-,-,-,1,-,2,-
"S00135617",45,15,7,3,1,3,8,3,1,3,4,-,-,15,3,-,-,2,-,3,4
"S00135618",34,18,4,4,-,-,5,-,1,-,4,-,1,5,-,-,1,-,-,3,-
"S00135619",45,18,22,7,11,4,-,-,-,-,-,-,-,4,-,-,-,3,-,-,1
"S00135620",54,6,20,8,6,8,15,-,5,3,6,1,2,13,-,-,1,8,2,1,2
"S00135621",75,37,24,8,14,5,11,2,1,1,1,-,2,7,-,2,4,1,1,2,-
"S00135622",59,4,35,21,4,10,12,1,-,2,6,4,-,4,-,-,1,2,-,1,-
"S00135623",71,18,33,17,5,10,16,6,4,-,4,-,4,6,-,-,1,1,-,-,1
"S00135624",42,11,12,6,2,4,5,5,-,1,-,2,-,10,-,2,2,7,-,-,-
"S00135625",35,-,5,4,-,4,5,1,-,-,2,3,-,23,-,-,1,6,2,5,9
"S00135626",36,10,18,8,4,5,2,2,-,-,2,-,-,7,-,-,-,-,2,-,5
"S00135627",50,9,9,5,1,3,12,4,-,1,1,1,2,20,-,-,2,12,-,-,6
"S00135628",82,36,21,12,3,6,18,3,2,1,10,2,1,11,-,-,3,4,1,2,2
"S00135629",86,8,44,29,1,14,25,8,1,2,6,4,3,9,-,-,1,1,-,2,1
"S00135630",48,16,8,3,1,2,11,4,-,-,4,1,-,13,1,-,1,5,-,-,4
"S00135631",74,11,23,7,12,4,25,4,2,2,12,4,1,15,1,4,-,1,1,1,6
"S00135632",78,38,18,8,5,5,6,-,3,2,2,1,-,15,1,5,1,3,-,2,3
"S00135633",36,18,7,3,4,-,5,2,2,2,2,-,-,6,1,-,-,2,-,1,2
"S00135634",57,7,42,21,10,11,10,5,-,1,1,1,-,1,-,-,-,-,-,1,-
"S00135635",71,12,33,14,6,14,19,-,2,2,9,3,1,8,-,1,2,1,-,1,-
"S00135636",49,17,12,4,2,5,9,3,-,-,3,4,-,11,1,1,3,-,1,3,2
"S00135637",57,15,17,9,4,4,19,4,-,-,-,4,5,10,-,-,-,7,-,1,4
"S00135638",45,19,12,-,3,7,9,2,1,-,2,-,4,4,-,2,1,-,-,1,-
"S00135639",37,2,17,12,-,6,13,3,-,-,7,3,-,6,-,-,-,2,-,2,2
"S00135640",72,35,14,7,3,4,14,2,2,-,6,4,1,7,-,-,1,2,-,3,2
"S00135641",44,14,14,6,7,1,6,-,-,-,4,1,2,7,-,-,-,5,-,-,3
"S00135642",79,11,23,7,7,9,16,4,6,2,1,4,5,22,-,1,1,4,1,4,9
"S00135643",44,18,8,4,3,-,13,-,1,1,7,2,-,7,-,-,2,4,-,1,-
"S00135644",41,16,16,3,5,5,6,2,2,-,-,1,-,3,-,-,-,-,-,-,1
"S00135645",49,26,10,3,2,2,9,4,-,2,1,2,-,1,-,-,-,2,1,-,-
"S00135646",47,29,9,5,-,2,5,-,1,-,2,3,-,5,-,1,-,2,-,1,-
"S00135647",71,27,19,12,5,2,14,1,-,6,5,1,-,13,2,-,-,4,-,1,7
"S00135648",58,10,24,4,8,9,8,-,4,1,4,-,1,15,-,-,1,10,2,-,4
"S00135649",50,10,20,5,4,6,12,2,1,2,4,-,3,5,-,-,2,1,-,1,-
"S00135650",52,19,12,6,4,-,11,1,1,2,7,-,1,10,-,1,-,3,1,5,2
"S00135651",67,19,28,19,7,2,13,4,1,3,3,3,-,8,-,-,-,4,-,1,2
"S00135652",51,18,21,8,8,5,11,2,-,3,4,3,1,-,-,-,-,-,-,-,-
"S00135653",32,-,10,4,5,1,11,-,4,3,3,1,-,11,-,2,-,2,1,3,2
"S00135654",43,8,24,5,14,4,10,-,1,-,4,-,1,2,-,2,1,-,-,2,-
"S00135655",52,13,14,3,4,3,14,4,1,-,3,-,3,10,-,1,-,4,-,1,4
"S00135656",61,17,22,6,8,8,13,-,8,3,2,-,1,9,-,-,-,4,2,6,2
"S00135657",67,25,18,3,11,6,15,2,5,2,7,-,1,8,-,4,1,1,1,1,-
"S00135658",40,7,13,5,2,4,10,-,3,2,2,1,2,10,-,3,-,-,-,-,2
"S00135659",70,9,35,10,15,10,13,-,6,3,2,1,3,12,-,1,-,2,1,5,2
"S00135660",63,18,28,10,13,6,9,1,1,-,2,2,-,10,-,1,-,4,-,1,1
"S00135661",38,13,13,6,3,3,7,1,-,1,4,1,1,4,-,-,-,3,-,-,1
"S00135662",55,9,19,8,3,4,21,4,2,4,7,-,4,10,-,2,1,5,2,2,-
"S00135663",52,26,6,2,2,2,7,-,-,-,3,-,-,13,2,2,2,-,1,2,2
"S00135664",75,14,25,9,10,9,8,2,2,2,1,2,4,24,1,4,4,6,-,4,7
"S00135665",83,57,20,5,5,10,7,2,-,1,3,-,-,-,-,-,-,-,-,-,-
"S00135666",50,26,10,4,-,3,4,-,1,-,2,-,2,8,-,-,-,4,-,3,1
"S00135667",73,13,32,15,9,8,13,1,2,4,4,1,1,16,-,3,1,5,1,-,3
"S00135668",62,14,26,8,14,4,9,-,2,2,3,1,2,13,-,4,1,4,-,-,2
"S00135669",66,23,17,5,7,2,13,1,5,4,4,-,1,16,-,-,-,5,1,2,5
"S00135670",82,10,32,11,7,14,26,5,10,1,5,3,5,13,-,3,-,3,1,6,1
"S00135671",44,15,16,4,4,8,9,4,3,1,1,-,-,2,-,-,1,-,-,2,2
"S00135672",60,21,21,8,4,9,12,3,-,1,5,2,-,7,-,-,-,2,-,1,3
"S00135673",47,28,6,1,4,-,5,-,2,-,3,-,-,8,-,2,1,3,-,-,2
"S00135674",48,14,14,6,4,6,13,2,-,2,5,2,4,5,-,2,-,2,1,-,1
"S00135675",49,12,11,4,4,3,8,1,2,2,3,-,-,18,-,2,4,2,1,2,7
"S00135676",58,24,26,11,8,7,8,4,2,-,1,1,-,-,-,-,-,-,-,-,-
"S00135677",42,20,13,1,6,6,6,2,1,1,3,-,-,6,-,5,-,-,-,-,-
"S00135678",56,14,19,3,8,8,15,1,3,3,5,3,1,8,-,-,1,1,-,4,1
"S00135679",38,8,19,4,6,9,6,-,-,1,1,2,2,5,-,1,-,1,-,-,3
"S00135680",52,13,15,2,2,9,14,4,2,4,3,-,-,12,2,1,2,4,1,1,2
"S00135681",61,14,18,5,7,6,18,1,8,2,7,1,2,12,-,1,-,1,-,4,5
"S00135682",41,14,9,4,7,3,7,4,-,1,1,-,1,8,-,-,1,4,1,1,3
"S00135683",45,17,11,4,5,2,7,-,-,1,3,2,-,12,-,-,2,4,1,2,1
"S00135684",54,33,15,4,5,4,7,1,3,1,1,1,-,-,-,-,1,-,-,2,-
"S00135685",67,16,17,10,7,3,16,6,4,1,3,2,3,19,-,1,2,2,-,-,6
"S00135686",90,75,13,6,3,4,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00135687",74,17,37,15,12,10,18,2,2,3,8,1,2,5,-,2,-,1,-,2,2
"S00135688",57,29,11,6,-,3,8,3,1,-,1,2,-,9,-,1,1,3,-,1,2
"S00135689",47,13,13,3,8,4,8,2,2,2,-,1,3,12,-,1,-,2,4,1,3
"S00135690",68,20,26,11,9,6,14,3,4,2,4,-,1,6,-,1,3,3,-,-,-
"S00135691",65,23,18,3,9,4,11,-,-,3,5,3,4,11,-,2,1,3,-,1,2
"S00135692",39,9,16,6,9,3,9,2,1,-,1,2,2,5,-,1,2,-,1,1,-
"S00135693",50,6,14,5,6,5,13,3,5,-,2,-,1,14,-,1,4,5,2,1,3
"S00135694",44,18,14,7,4,-,6,2,-,-,4,-,2,8,2,-,-,2,1,1,3
"S00135695",45,8,21,17,4,4,11,4,3,-,1,-,1,1,-,-,-,-,-,-,1
"S00135696",36,2,17,8,9,2,16,-,3,5,5,-,3,1,-,-,-,-,-,1,-
"S00135697",69,18,32,9,14,9,15,-,4,-,2,4,3,8,-,1,-,-,-,1,2
"S00135698",78,33,23,6,6,12,15,1,6,3,3,-,1,9,1,2,1,-,2,1,1
"S00135699",64,12,18,7,4,1,19,7,1,2,3,2,1,19,1,2,3,4,-,3,6
"S00135700",32,8,12,5,1,5,12,1,4,-,1,-,5,4,-,2,-,1,-,-,-
"S00135701",46,17,16,8,5,1,7,1,2,2,2,2,-,8,1,1,-,2,-,-,5
"S00135702",77,41,24,6,12,6,10,2,2,3,1,-,4,2,-,-,-,1,-,-,1
"S00135703",40,10,12,4,6,4,10,-,-,-,5,1,1,1,-,-,-,1,-,2,-
"S00135704",52,30,16,4,5,7,3,1,-,-,2,2,1,-,-,-,-,-,-,-,-
"S00135705",48,10,16,6,4,6,12,-,2,3,2,1,3,10,-,2,-,3,-,3,1
"S00135706",59,7,20,9,7,7,17,1,6,4,-,4,-,15,-,3,3,2,-,3,3
"S00135707",46,15,16,9,3,4,11,-,4,4,3,-,4,1,-,-,-,1,-,-,-
"S00135708",64,27,17,5,9,3,15,-,4,1,5,4,1,9,1,1,-,3,-,2,2
"S00135709",48,11,13,5,7,1,10,1,3,2,4,-,1,11,-,2,5,1,1,1,3
"S00135710",36,10,12,3,8,1,8,2,2,2,2,-,1,6,-,4,-,1,-,1,-
"S00135711",53,15,17,8,11,3,13,4,1,1,6,1,4,5,-,3,-,-,1,-,-
"S00135712",54,15,11,3,4,4,12,-,4,-,4,1,-,16,-,1,4,4,4,3,4
"S00135713",39,8,16,4,11,2,12,2,-,-,5,2,3,8,-,-,2,3,-,-,4
"S00135714",74,12,37,8,16,8,12,4,-,-,5,-,5,6,-,-,1,2,-,-,2
"S00135715",46,11,8,2,7,-,10,4,-,1,4,2,1,17,1,-,5,4,-,6,3
"S00135716",71,30,22,9,8,5,15,-,3,3,5,2,4,6,-,3,-,1,-,1,1
"S00135717",68,13,37,14,17,10,14,3,3,2,3,1,2,4,-,1,-,-,-,1,2
"S00135718",33,6,12,6,4,2,8,-,4,1,2,4,1,7,-,2,-,2,-,-,2
"S00135719",67,13,18,5,8,5,17,2,6,3,1,3,3,19,-,5,4,5,-,4,2
"S00135720",79,25,17,7,3,4,16,4,2,4,4,1,2,21,3,-,-,10,1,2,6
"S00135721",73,12,22,10,7,6,23,7,3,4,5,2,2,13,-,-,4,6,1,-,4
"S00135722",37,8,12,2,4,8,11,-,4,1,2,-,3,9,1,-,1,1,-,4,-
"S00135723",44,23,10,3,1,6,4,1,-,-,-,1,-,8,-,-,-,1,-,-,3
"S00135724",38,8,15,3,10,1,4,-,1,3,-,-,-,8,-,2,1,4,-,1,2
"S00135725",53,15,21,4,12,5,6,-,1,2,2,-,-,11,-,6,-,-,-,4,3
"S00135726",66,9,15,7,5,3,20,3,6,4,6,1,1,22,-,5,4,4,2,3,2
"S00135727",51,5,18,6,5,4,19,1,4,4,1,4,4,18,-,-,1,1,2,6,5
"S00135728",65,29,23,13,6,4,10,1,2,-,7,-,-,3,-,-,-,2,-,-,1
"S00135729",82,57,20,4,7,7,5,-,-,2,1,2,-,-,-,-,-,-,-,-,-
"S00135730",43,11,10,4,6,1,9,5,-,-,5,-,1,13,-,1,-,5,3,3,1
"S00135731",45,16,11,5,2,3,13,3,2,1,4,2,1,8,-,-,2,4,2,1,-
"S00135732",61,20,24,12,9,3,18,4,3,3,3,-,2,4,-,1,-,1,-,-,-
"S00135733",48,13,24,8,12,4,7,1,1,1,3,-,1,2,-,-,-,-,1,1,2
"S00135734",65,21,23,2,14,7,11,1,2,-,3,2,-,6,-,1,-,1,-,3,1
"S00135735",50,12,21,10,10,1,11,-,2,1,3,3,-,6,-,-,-,-,-,-,2
"S00135736",57,28,19,5,8,6,8,-,1,1,-,3,3,3,-,1,-,-,-,-,-
"S00135737",46,7,20,7,4,11,14,1,3,2,1,3,3,8,-,2,1,4,-,-,-
"S00135738",73,13,21,7,8,6,23,5,6,1,7,5,2,16,-,3,-,7,-,2,4
"S00135739",44,8,8,2,5,1,14,1,4,7,1,1,-,14,-,1,-,6,2,-,2
"S00135740",41,18,6,3,3,1,8,1,3,2,2,-,-,13,-,-,-,4,2,4,3
"S00135741",36,10,14,4,7,3,11,1,-,2,5,-,1,4,-,-,-,1,-,-,2
"S00135742",51,16,20,6,9,5,9,4,5,3,3,-,-,2,-,-,-,2,-,-,-
"S00135743",38,11,10,6,4,-,11,3,-,1,5,-,-,9,-,2,-,1,-,4,2
"S00135744",38,8,7,1,4,4,12,3,1,1,5,-,2,11,-,-,-,5,-,1,2
"S00135745",66,17,23,8,7,8,24,5,6,6,3,2,4,2,-,2,1,-,-,-,-
"S00135746",38,12,20,8,8,4,1,-,2,-,2,-,-,3,-,-,-,3,-,-,1
"S00135747",41,14,5,-,1,3,10,2,1,-,6,2,-,11,1,-,2,2,-,2,4
"S00135748",65,20,23,13,5,5,10,2,1,-,5,-,3,10,-,1,-,-,-,2,3
"S00135749",52,26,27,11,17,-,2,-,-,-,1,-,-,2,-,-,-,-,-,-,2
"S00135750",59,12,30,11,9,7,15,2,4,3,4,-,1,4,-,-,-,2,1,2,-
"S00135751",78,37,27,12,13,6,12,1,6,1,-,1,3,4,-,1,-,-,-,-,1
"S00135752",35,7,5,3,2,-,10,3,1,1,4,-,2,14,-,1,-,3,1,4,4
"S00135753",63,17,27,5,17,3,17,-,4,1,8,2,2,2,-,-,1,-,-,-,1
"S00135754",46,10,12,3,7,2,17,2,5,4,4,-,3,9,-,2,-,-,-,4,2
"S00135755",62,9,15,-,7,6,14,2,3,6,4,-,2,23,-,3,-,4,2,7,7
"S00135756",55,17,17,9,9,4,11,-,4,2,-,-,1,6,-,-,-,2,-,6,-
"S00135757",63,23,22,7,9,4,12,-,6,2,3,1,-,6,-,-,1,2,1,-,2
"S00135758",78,53,15,6,8,1,5,-,4,-,1,3,-,5,-,2,-,-,1,2,2
"S00135759",27,3,3,1,2,-,8,1,4,-,3,-,-,12,-,3,1,3,3,-,1
"S00135760",27,1,9,1,7,-,6,-,4,1,3,-,-,7,-,2,1,-,-,1,4
"S00135761",45,8,11,2,2,7,11,1,2,3,2,1,1,15,-,2,3,4,-,6,2
"S00135762",68,19,24,8,13,3,17,2,4,2,6,1,3,5,-,2,-,1,-,-,2
"S00135763",46,15,21,8,10,5,9,5,4,-,1,-,1,4,-,-,-,2,-,1,1
"S00135764",42,10,7,2,-,5,13,3,3,6,-,-,1,10,-,-,3,3,1,2,4
"S00135765",69,11,27,8,13,6,19,-,9,1,1,4,4,12,-,-,3,1,3,2,5
"S00135766",45,10,16,5,7,6,8,-,3,1,2,2,3,5,-,1,-,1,-,-,3
"S00135767",56,14,20,5,7,5,11,2,1,4,4,-,2,14,-,1,-,5,1,1,7
"S00135768",67,12,9,3,4,2,12,1,6,2,2,-,2,35,1,12,1,10,2,5,10
"S00135769",45,3,12,2,6,4,11,1,4,3,1,-,-,19,1,2,3,2,-,3,6
"S00135770",73,27,28,6,12,12,17,2,6,-,4,3,2,4,-,2,1,-,-,1,-
"S00135771",63,18,24,12,9,4,13,1,5,3,-,-,1,8,-,3,-,2,-,4,-
"S00135772",76,23,13,5,4,4,26,5,3,-,11,3,3,15,1,4,1,7,-,2,2
"S00135773",79,15,22,10,7,8,29,1,8,3,6,5,7,13,-,4,-,2,-,3,4
"S00135774",32,6,8,2,1,4,7,-,1,2,4,-,-,11,-,2,2,1,-,4,4
"S00135775",81,12,26,10,10,6,29,1,2,9,9,4,4,15,-,6,1,5,-,5,2
"S00135776",48,12,20,9,4,7,8,-,-,1,2,2,3,8,-,4,-,3,-,-,1
"S00135777",41,15,4,1,1,2,12,-,3,1,5,1,1,10,-,2,-,4,-,1,3
"S00135778",36,10,14,5,5,5,4,-,2,1,1,-,1,8,-,4,1,-,-,-,2
"S00135779",63,23,23,10,8,5,12,3,2,1,5,1,-,6,1,-,2,1,-,1,1
"S00135780",39,1,13,3,12,-,5,2,-,4,2,-,-,15,-,1,1,3,-,3,6
"S00135781",48,8,15,6,5,5,9,4,-,-,1,4,1,18,-,4,-,-,1,1,8
"S00135782",58,22,26,12,6,8,9,2,-,2,2,3,-,3,-,-,-,1,-,-,1
"S00135783",96,40,29,9,15,5,17,2,2,2,3,-,4,12,-,1,-,8,2,-,2
"S00135784",36,8,7,1,3,3,7,-,-,1,3,2,-,15,-,3,-,3,4,2,3
"S00135785",27,8,8,1,5,4,4,-,2,-,-,1,-,7,-,1,-,4,-,-,4
"S00135786",54,10,18,2,5,8,10,1,3,1,2,-,2,19,2,5,4,3,1,3,4
"S00135787",35,10,13,2,6,5,6,2,-,-,2,2,1,4,-,-,-,2,-,1,-
"S00135788",47,13,16,7,4,5,9,4,1,1,-,1,-,9,-,-,-,5,2,-,3
"S00135789",47,20,12,5,3,4,8,5,-,2,2,-,-,9,-,1,-,3,-,2,2
"S00135790",53,11,16,4,5,10,16,-,5,2,2,3,2,10,-,4,1,1,-,3,1
"S00135791",107,41,38,9,20,9,19,2,2,4,8,-,5,9,-,4,1,1,-,-,3
"S00135792",37,10,8,4,2,2,8,-,1,3,1,-,2,11,-,2,-,-,-,2,4
"S00135793",46,11,4,1,2,2,14,-,5,2,3,3,2,14,-,2,-,7,-,-,6
"S00135794",58,10,12,7,-,5,21,7,1,2,5,-,2,17,1,-,-,1,2,4,9
"S00135795",47,12,13,5,5,3,14,-,3,4,2,2,3,8,-,3,-,2,-,2,1
"S00135796",56,16,24,13,9,2,11,5,2,-,2,1,3,5,-,1,-,-,-,-,3
"S00135797",71,8,30,9,16,6,15,-,6,-,5,-,3,18,-,7,-,-,-,7,4
"S00135798",50,21,20,6,7,4,1,-,1,-,-,-,-,8,-,4,1,1,-,-,1
"S00135799",70,13,17,5,7,5,18,-,7,9,3,-,2,22,-,2,2,10,2,4,5
"S00135800",57,23,14,7,5,2,13,1,2,-,5,1,-,9,-,1,-,2,-,2,4
"S00135801",43,17,10,2,2,8,10,-,-,2,3,4,3,6,-,-,-,3,-,4,1
"S00135802",42,12,12,3,2,7,11,1,6,3,2,-,2,7,-,-,-,-,-,3,-
"S00135803",45,14,12,4,3,5,14,-,2,4,2,-,3,9,-,1,-,-,-,2,4
"S00135804",51,15,13,7,3,3,15,4,2,1,7,-,5,11,-,-,1,5,-,-,4
"S00135805",54,27,19,2,9,9,6,-,2,-,-,-,4,1,-,1,-,-,-,-,-
"S00135806",49,11,13,4,6,3,10,-,3,1,3,1,1,15,-,3,2,5,2,-,2
"S00135807",55,18,18,6,6,2,15,-,10,1,2,-,3,7,-,-,2,-,1,1,4
"S00135808",67,36,12,1,3,4,8,1,4,1,1,-,1,7,-,1,3,2,1,-,6
"S00135809",45,13,10,2,5,-,9,-,6,1,4,1,1,10,-,1,-,1,2,2,5
"S00135810",41,7,3,1,1,-,7,2,-,-,1,1,-,24,-,-,-,3,2,6,11
"S00135811",64,8,15,6,4,5,19,-,6,7,3,-,3,22,-,5,3,5,1,4,4
"S00135812",61,13,26,7,10,10,7,1,1,1,3,-,1,12,-,4,2,5,-,1,1
"S00135813",57,15,21,2,13,5,12,2,6,2,1,-,2,10,-,-,-,2,-,-,4
"S00135814",38,8,17,7,3,5,13,2,5,1,-,3,-,-,-,-,-,-,-,-,-
"S00135815",56,37,12,-,9,3,5,-,-,2,2,-,1,2,-,-,-,-,-,1,1
"S00135816",60,22,21,10,6,4,9,1,1,1,3,2,-,8,-,-,1,-,-,1,3
"S00135817",46,12,8,4,1,4,8,3,1,1,1,-,1,17,1,3,2,5,1,1,4
"S00135818",58,18,19,5,7,7,16,2,6,2,2,2,2,2,-,2,-,1,-,-,1
"S00135819",46,7,14,6,7,-,12,4,2,2,1,-,-,17,-,1,4,3,1,2,4
