Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00176221",202,36,23,21,37,58,23,12,-,1,-,-,5,6,11,-,2,2,2,4,6,175,36,21,20,36,49,13
"S00176222",93,20,14,7,16,11,25,12,1,1,-,1,-,9,15,4,1,-,2,4,7,66,15,12,7,16,10,10
"S00176223",111,23,9,10,20,26,23,16,2,-,-,-,7,7,11,-,2,-,1,-,7,84,22,6,9,16,19,12
"S00176224",72,2,4,7,8,20,31,9,-,-,1,-,3,5,17,-,-,1,-,7,8,50,2,4,5,8,12,18
"S00176225",103,7,11,16,10,21,34,12,1,1,1,1,3,5,17,-,-,1,-,2,14,74,6,10,14,12,17,13
"S00176226",106,9,12,9,21,29,24,18,-,1,-,2,2,11,16,2,1,1,3,6,5,72,9,9,8,17,18,10
"S00176227",103,19,13,16,16,20,19,15,1,-,1,3,4,2,23,1,-,1,5,3,4,69,16,11,14,9,11,8
"S00176228",199,20,12,13,43,36,71,56,-,3,1,5,11,39,27,-,4,1,4,5,12,112,20,11,6,34,19,20
"S00176229",61,3,2,1,15,13,26,10,-,-,-,-,-,8,17,-,-,-,2,2,10,38,3,2,1,9,9,10
"S00176230",101,22,10,6,19,18,26,7,1,1,-,-,1,4,19,1,-,-,-,6,9,75,20,9,6,17,11,13
"S00176231",67,8,11,5,21,8,14,6,2,-,-,1,3,2,11,-,-,-,3,3,3,46,6,11,2,17,3,10
"S00176232",107,19,8,13,14,30,21,20,1,1,-,2,9,8,22,3,-,1,4,6,10,63,15,7,12,13,15,3
"S00176233",173,43,17,24,36,27,24,22,1,1,5,4,5,9,20,2,3,-,5,4,5,125,40,13,22,27,18,7
"S00176234",147,37,7,22,34,17,26,11,2,1,-,-,3,3,18,1,1,3,1,1,11,119,34,4,18,33,17,12
"S00176235",142,29,8,12,33,21,41,4,-,1,-,-,1,-,22,-,2,1,2,3,15,116,29,6,11,32,18,24
"S00176236",135,28,14,26,26,23,18,10,1,-,-,3,5,3,17,-,-,4,3,2,7,112,26,14,22,20,18,8
"S00176237",88,9,11,10,13,26,23,14,1,-,-,2,3,7,11,-,3,-,-,5,4,63,8,12,9,11,14,12
"S00176238",164,17,23,21,25,51,27,7,-,-,-,-,3,4,12,-,2,-,1,4,8,141,17,21,21,24,43,15
"S00176239",100,16,10,12,29,25,8,13,-,2,1,2,7,2,14,-,-,1,5,4,2,73,16,8,13,21,14,4
"S00176240",214,33,19,12,47,55,52,12,1,2,-,-,2,7,17,-,-,-,2,4,9,185,30,17,12,45,49,32
"S00176241",164,28,17,16,33,38,25,3,1,1,-,-,1,-,10,-,-,-,-,3,6,154,31,15,16,33,34,26
"S00176242",118,25,15,8,24,25,21,28,3,1,3,-,10,10,16,2,4,1,2,1,6,74,20,9,4,20,15,6
"S00176243",145,13,19,20,27,27,36,24,1,1,1,3,9,9,29,-,2,7,7,7,9,92,11,16,15,17,11,18
"S00176244",78,7,2,7,17,19,26,11,-,-,-,1,3,10,9,-,-,-,2,5,5,58,7,2,7,15,13,14
"S00176245",184,47,19,13,41,33,31,5,-,-,-,-,1,4,23,3,5,-,2,6,10,153,44,16,13,39,24,17
"S00176246",161,35,20,29,26,26,22,21,-,1,2,3,4,11,22,4,1,-,6,4,6,120,28,15,26,23,14,6
"S00176247",185,19,24,20,20,58,37,6,1,2,-,-,2,5,25,1,3,1,5,7,9,152,17,24,15,16,50,26
"S00176248",116,27,7,19,22,23,23,14,-,-,-,-,6,8,14,-,-,1,4,1,3,88,24,4,18,20,12,8
"S00176249",84,11,2,13,10,17,28,4,-,-,-,-,-,4,10,-,-,-,-,2,8,70,11,2,13,10,15,16
"S00176250",134,18,15,29,20,30,20,1,-,-,-,1,-,-,12,-,1,-,4,3,3,118,18,13,27,13,31,17
"S00176251",154,35,12,12,33,37,26,18,1,1,1,1,6,7,18,2,1,-,3,4,7,121,32,10,9,28,27,14
"S00176252",76,12,4,9,11,21,19,13,-,1,1,2,3,7,13,2,-,-,-,7,4,50,10,2,8,11,11,8
"S00176253",86,9,4,9,13,22,28,20,1,-,1,6,4,8,17,-,-,1,2,4,10,48,8,4,7,6,14,12
"S00176254",133,24,14,10,35,25,25,3,-,-,-,-,1,4,15,1,2,1,3,2,5,114,23,14,9,36,23,18
"S00176255",122,17,11,6,21,27,40,9,1,1,-,1,2,4,24,-,1,1,3,1,16,89,16,9,5,17,22,20
"S00176256",98,19,8,24,10,19,12,18,1,-,-,4,4,8,11,1,4,-,-,2,3,65,20,4,25,7,10,-
"S00176257",96,20,4,5,26,18,22,4,1,-,-,1,1,1,7,-,-,1,-,2,2,85,19,4,4,25,15,18
"S00176258",150,25,26,15,24,48,10,10,2,-,-,1,4,3,18,1,-,2,-,8,4,122,22,26,13,21,35,5
"S00176259",97,5,2,8,9,26,46,6,-,-,-,-,-,6,9,-,1,1,-,2,5,82,5,5,7,9,24,34
"S00176260",83,8,11,10,15,15,24,23,-,-,2,3,4,15,11,-,8,-,1,2,3,49,7,6,9,11,9,7
"S00176261",103,14,16,24,18,22,17,14,2,-,3,2,6,2,20,7,4,2,2,3,4,67,8,11,15,14,13,6
"S00176262",152,19,27,14,19,51,25,13,1,-,3,2,4,4,17,-,3,3,4,3,5,122,15,24,10,13,44,16
"S00176263",73,7,11,13,14,21,6,9,-,-,1,-,5,5,8,-,1,1,1,-,3,59,7,10,10,11,16,-
"S00176264",81,12,-,5,20,12,33,4,-,-,-,2,-,4,4,-,-,-,-,-,4,68,12,-,5,19,12,25
"S00176265",106,14,4,25,18,22,30,12,1,-,-,-,1,10,14,1,-,2,1,5,5,80,10,4,22,17,16,13
"S00176266",123,25,16,10,20,30,22,25,4,2,1,5,6,7,22,5,1,2,2,2,8,76,16,13,7,14,22,6
"S00176267",98,15,8,2,23,18,30,9,-,-,-,1,3,2,12,1,1,1,2,-,7,80,14,6,3,16,19,21
"S00176268",161,48,8,15,54,26,7,7,-,-,-,1,5,1,8,-,-,-,3,-,4,144,48,8,15,50,19,1
"S00176269",145,23,7,11,28,37,36,17,-,-,1,1,5,10,19,-,-,2,3,6,9,109,23,7,8,25,25,17
"S00176270",82,19,7,3,19,19,13,7,4,1,-,-,-,2,10,2,2,1,4,-,5,62,16,5,2,17,16,6
"S00176271",194,41,25,25,41,40,22,17,4,-,-,4,4,7,29,4,4,-,8,4,9,148,35,21,25,29,32,6
"S00176272",102,25,6,24,20,24,11,14,-,2,2,3,8,1,14,2,-,3,5,3,2,74,20,4,16,10,14,8
"S00176273",115,34,11,7,29,15,22,15,-,-,1,2,4,8,8,1,2,-,1,-,2,92,33,9,6,26,11,8
"S00176274",67,9,17,3,17,11,9,8,-,4,-,-,1,1,13,-,1,-,3,2,6,49,7,10,3,15,8,5
"S00176275",122,18,10,2,20,30,45,5,-,1,-,1,-,3,20,2,2,-,1,5,14,96,16,7,2,18,25,28
"S00176276",99,14,9,8,19,24,27,4,-,-,-,-,1,4,14,1,-,-,2,2,9,80,13,9,8,11,18,15
"S00176277",233,49,35,16,35,66,32,10,2,3,-,-,-,8,20,-,2,4,-,6,8,203,47,30,10,33,60,19
"S00176278",129,17,19,30,25,27,16,13,-,-,1,1,4,6,15,2,1,2,4,2,2,108,16,14,27,23,21,7
"S00176279",107,19,17,2,22,28,19,19,-,-,-,3,10,7,15,-,3,-,3,6,3,73,19,14,2,16,13,9
"S00176280",138,24,12,12,23,31,36,33,-,-,-,5,10,18,33,4,4,2,7,7,9,75,19,8,9,13,13,12
"S00176281",73,6,2,11,9,23,23,23,-,-,-,1,8,14,11,-,1,4,-,3,4,39,6,2,6,11,6,5
"S00176282",125,26,10,16,24,28,16,19,1,-,2,6,5,5,19,4,1,4,1,5,2,87,27,8,12,17,19,7
"S00176283",75,12,8,12,16,16,12,9,1,-,-,1,4,1,13,-,2,2,2,5,4,53,11,6,9,13,9,3
"S00176284",85,6,16,17,11,25,13,8,-,-,-,-,5,2,15,-,2,2,3,6,3,60,6,12,15,7,14,6
"S00176285",164,28,27,18,27,54,10,4,-,-,-,-,1,2,15,-,2,-,4,10,-,143,27,26,18,23,43,8
"S00176286",218,36,26,8,44,52,51,8,-,-,-,2,4,7,20,3,1,-,2,4,14,188,34,25,8,41,44,35
"S00176287",113,26,13,15,29,12,18,16,-,1,3,2,5,6,23,6,-,4,4,7,6,74,19,12,10,23,3,6
"S00176288",222,45,28,20,30,62,40,7,-,-,-,-,-,3,12,-,3,-,-,5,2,206,45,25,20,30,53,33
"S00176289",115,32,30,14,20,14,3,17,4,5,-,1,7,-,22,6,3,1,6,8,1,76,22,22,11,13,6,2
"S00176290",174,24,9,18,30,19,70,33,-,-,-,1,3,30,37,-,-,1,3,1,35,101,24,9,17,25,16,9
"S00176291",107,17,13,12,28,22,16,11,-,-,2,2,4,4,11,2,-,1,-,-,5,88,15,13,9,26,14,9
"S00176292",114,9,15,17,15,35,25,11,-,4,2,1,4,2,13,-,1,2,1,1,2,89,8,7,12,13,28,19
"S00176293",136,27,6,15,42,22,24,8,-,-,-,-,1,6,24,2,1,-,10,4,7,104,25,5,15,31,17,11
"S00176294",91,4,5,8,12,24,34,12,-,-,-,-,-,10,17,-,1,-,2,-,9,63,4,4,6,9,22,15
"S00176295",88,12,-,3,14,18,38,9,-,-,-,-,-,9,19,-,-,-,5,4,11,60,12,-,3,10,11,18
"S00176296",83,16,13,4,15,28,7,9,1,-,-,-,2,1,11,-,-,-,-,4,2,67,15,13,1,13,20,1
"S00176297",114,13,9,12,19,26,35,7,-,-,2,3,-,4,14,1,2,-,-,4,8,93,12,8,11,15,24,26
"S00176298",195,50,16,42,70,12,2,1,-,-,-,-,1,-,4,1,1,3,-,-,-,189,52,15,40,70,10,2
"S00176299",71,7,9,14,16,12,13,24,-,4,-,5,6,8,12,1,4,3,3,2,2,35,6,5,11,8,5,-
"S00176300",188,38,6,12,47,32,52,23,-,-,1,2,3,17,27,1,-,2,4,6,14,138,37,6,10,40,23,21
"S00176301",106,16,9,9,23,29,17,10,-,2,-,1,4,4,14,-,-,-,7,4,3,82,16,8,9,15,21,10
"S00176302",137,21,20,14,26,37,18,8,-,-,-,-,4,2,7,-,-,-,-,4,2,124,21,20,14,24,31,14
"S00176303",104,27,8,22,18,21,8,10,-,-,3,6,-,2,12,2,2,3,-,6,2,75,25,4,16,12,13,3
"S00176304",83,18,8,8,12,20,17,17,-,-,1,2,8,6,13,3,-,1,-,2,7,53,15,8,6,10,10,4
"S00176305",63,14,3,12,8,16,7,9,-,-,1,3,4,1,11,1,-,2,5,2,3,43,13,3,8,5,10,2
"S00176306",111,9,9,10,22,36,25,5,-,-,-,-,1,6,12,-,-,1,1,6,4,94,9,9,9,17,29,13
"S00176307",168,18,9,12,32,36,60,22,1,1,-,4,13,6,22,-,1,-,3,4,13,126,16,7,12,25,22,41
"S00176308",137,15,20,17,29,26,27,23,3,4,-,6,1,11,15,-,2,-,3,2,8,94,12,14,17,20,23,8
"S00176309",83,18,2,14,20,11,17,21,2,1,-,8,4,7,13,2,-,2,2,4,4,49,15,-,15,9,5,10
"S00176310",68,9,5,8,12,12,22,19,-,2,-,1,3,12,9,2,-,-,1,2,5,40,9,4,6,10,7,4
"S00176311",136,29,19,15,32,30,11,6,-,-,-,-,2,3,19,2,4,1,-,7,4,111,27,16,13,31,21,4
"S00176312",75,11,3,5,19,19,14,17,-,-,-,1,9,10,15,2,-,-,4,2,2,47,13,3,3,15,8,1
"S00176313",80,16,10,8,16,17,14,11,1,1,-,-,2,6,8,-,1,1,1,1,4,65,15,8,7,18,13,4
"S00176314",108,26,5,13,24,21,18,6,-,-,-,-,-,4,31,4,-,5,5,8,10,71,25,5,8,22,12,2
"S00176315",96,18,11,9,14,27,18,6,-,-,-,-,2,4,15,-,1,1,2,7,6,77,18,10,8,12,20,8
"S00176316",100,12,11,10,20,22,25,15,-,-,-,1,6,8,14,2,-,-,-,4,7,73,13,11,10,17,15,12
"S00176317",138,12,13,12,26,40,34,18,-,1,-,-,7,7,16,-,1,1,1,2,8,106,12,10,9,24,31,19
"S00176318",180,34,28,15,40,44,19,13,-,-,-,3,8,2,27,5,8,-,6,8,6,139,29,22,14,27,34,10
"S00176319",116,26,8,11,28,30,12,6,1,-,-,1,-,1,8,2,1,-,1,4,1,104,26,10,11,26,24,5
"S00176320",173,26,30,18,41,43,15,16,-,-,-,6,5,6,12,2,-,-,5,3,2,146,28,30,18,31,35,7
"S00176321",187,63,14,17,62,21,13,6,-,-,2,2,1,2,15,1,2,2,1,3,5,167,62,12,13,57,18,2
"S00176322",184,40,26,11,41,50,14,11,-,-,-,-,4,1,12,1,-,-,4,4,2,163,39,25,11,37,41,10
"S00176323",135,24,8,11,30,24,37,31,2,3,3,4,8,11,24,1,-,-,4,6,7,83,21,3,4,22,10,19
"S00176324",61,11,6,9,12,14,7,2,-,-,-,1,4,2,8,-,1,2,1,2,1,48,11,5,7,10,12,11
"S00176325",130,22,12,7,24,32,33,12,-,-,-,2,2,7,8,-,-,-,1,4,1,113,22,12,7,22,26,24
"S00176326",94,10,8,10,21,18,28,14,-,2,-,-,5,7,10,-,-,-,3,2,5,70,10,6,10,17,15,14
"S00176327",96,10,4,5,15,23,39,7,-,-,-,-,-,5,18,1,2,-,-,3,13,71,9,3,5,15,18,25
"S00176328",220,90,23,26,42,30,9,36,8,2,3,10,8,-,36,13,3,5,10,4,1,148,69,23,21,22,9,5
"S00176329",141,21,23,12,16,58,11,7,2,1,-,-,2,2,11,-,2,1,-,4,5,123,18,20,11,16,52,5
"S00176330",137,20,12,15,24,36,30,9,-,-,-,4,-,6,19,-,1,2,2,7,9,109,20,11,13,21,28,16
"S00176331",77,18,6,11,16,10,18,17,2,-,1,2,3,10,9,3,-,1,2,1,3,52,15,6,9,12,6,5
"S00176332",156,34,18,19,25,22,38,26,4,-,1,-,9,13,29,4,4,4,4,3,10,101,27,18,14,21,9,15
"S00176333",71,10,10,6,10,24,11,18,-,-,-,4,10,4,13,2,2,4,3,4,-,40,8,8,5,4,10,7
"S00176334",199,52,7,38,69,21,12,4,-,-,1,-,1,2,10,2,1,-,3,3,-,185,50,6,41,66,17,9
"S00176335",136,34,10,40,30,16,6,7,2,3,-,-,4,-,14,4,-,3,4,1,2,115,28,6,37,26,15,3
"S00176336",112,25,8,13,27,16,24,20,5,1,-,4,2,9,16,1,-,-,5,1,7,76,19,7,13,17,12,8
"S00176337",141,26,14,11,24,35,36,14,-,-,-,-,1,11,22,2,2,2,4,2,15,105,23,10,9,21,32,10
"S00176338",150,28,24,7,24,56,9,9,3,-,-,-,5,-,12,-,2,2,2,3,4,129,27,20,6,23,47,6
"S00176339",81,17,14,5,19,20,2,6,1,-,-,2,2,-,3,-,1,-,1,1,-,71,16,13,5,16,16,2
"S00176340",99,24,10,17,27,18,2,3,1,-,-,1,-,2,7,-,-,3,1,3,-,89,24,10,14,25,15,1
"S00176341",66,6,8,15,12,17,10,6,-,1,1,2,-,-,14,1,2,3,2,4,3,46,5,5,9,9,11,7
"S00176342",77,22,3,18,13,10,19,9,-,-,-,4,-,6,19,5,2,1,4,4,2,45,17,1,12,6,7,6
"S00176343",99,22,13,10,24,19,14,15,-,-,-,6,4,6,13,2,2,2,3,2,3,71,19,12,5,15,15,6
"S00176344",221,50,29,24,54,56,12,15,-,-,-,-,5,7,16,-,2,4,4,10,1,187,49,26,18,46,44,4
"S00176345",158,29,14,26,27,43,19,15,-,1,1,-,6,9,21,2,3,3,3,4,4,122,24,11,22,24,33,8
"S00176346",82,16,7,7,22,24,8,16,-,-,2,3,7,4,5,2,-,-,2,2,-,58,13,7,7,15,15,5
"S00176347",112,22,5,14,20,29,19,12,1,2,2,3,2,5,16,-,-,2,3,6,6,85,21,4,11,15,21,13
"S00176348",122,25,8,18,24,23,24,25,-,2,1,-,11,9,25,7,-,1,5,3,7,77,21,6,18,17,7,5
"S00176349",131,5,12,12,23,29,48,32,-,-,1,5,6,20,15,1,2,2,4,4,4,86,4,11,10,14,19,24
"S00176350",100,-,-,-,1,20,79,49,-,-,-,1,13,39,25,-,-,-,-,5,20,19,-,-,-,-,1,20
"S00176351",69,15,9,12,10,10,12,5,-,-,-,1,1,4,8,1,-,1,4,1,3,56,14,9,11,8,8,6
"S00176352",116,23,5,18,22,27,21,14,-,-,3,4,4,5,18,1,-,-,3,6,8,84,22,5,15,17,17,6
"S00176353",96,11,2,17,17,32,13,18,-,-,1,4,7,6,11,4,-,2,-,5,1,65,9,2,17,12,20,6
"S00176354",205,62,11,12,71,37,12,13,3,2,-,2,2,2,22,3,1,3,7,7,2,174,56,12,10,61,28,7
"S00176355",86,1,5,1,10,29,39,44,-,-,1,4,16,23,15,1,-,-,3,1,8,28,1,5,-,3,10,9
"S00176356",87,18,4,14,16,7,28,6,-,-,-,-,2,4,15,-,-,4,2,2,7,63,18,4,10,14,3,17
"S00176357",137,26,17,16,27,22,25,17,-,-,-,7,3,7,21,-,2,4,3,7,4,103,26,14,12,17,16,11
"S00176358",70,8,3,14,10,23,12,16,-,-,-,1,12,3,10,-,2,4,1,2,2,44,8,2,10,8,9,7
"S00176359",74,12,9,11,21,15,6,11,-,-,2,3,4,1,8,-,-,-,4,3,-,56,12,9,9,14,7,6
"S00176360",160,35,10,12,40,28,27,7,-,1,-,-,2,4,15,-,1,2,2,6,6,138,35,8,11,39,24,17
"S00176361",136,21,20,13,28,38,16,13,-,-,-,3,4,6,21,2,-,-,7,10,1,102,20,20,12,18,23,9
"S00176362",122,15,11,16,28,22,30,24,2,1,4,7,4,9,22,-,-,1,5,7,5,74,12,10,12,17,13,10
"S00176363",140,20,12,16,33,25,37,12,-,-,-,2,3,5,23,2,-,3,-,4,13,108,18,12,13,28,18,16
"S00176364",94,10,7,4,20,28,25,9,-,-,-,-,5,2,7,-,-,-,2,3,6,74,9,7,4,18,20,16
"S00176365",104,23,5,14,13,21,28,28,5,-,4,2,9,10,14,2,-,-,2,4,6,62,18,5,10,9,9,12
"S00176366",104,12,6,15,11,35,23,5,-,-,1,-,2,4,12,-,-,1,1,7,3,87,12,6,13,9,26,18
"S00176367",135,34,15,10,43,20,9,3,-,-,-,-,3,-,15,3,-,7,3,-,3,120,32,15,10,40,20,6
"S00176368",125,19,8,14,24,27,33,18,1,-,1,4,5,6,22,-,-,4,1,4,14,85,17,8,14,21,22,10
"S00176369",119,28,6,17,21,19,27,23,-,-,-,5,5,13,15,1,-,1,2,4,7,81,28,6,16,14,10,7
"S00176370",86,16,6,11,13,22,20,12,-,1,1,-,5,6,7,-,-,-,1,3,4,67,16,5,10,10,15,10
"S00176371",123,8,15,12,23,34,31,16,-,-,-,1,6,5,18,2,1,-,1,6,8,93,6,14,12,21,21,18
"S00176372",106,13,15,11,22,27,18,19,-,-,1,-,6,4,7,-,-,-,-,2,7,77,13,13,9,22,15,5
"S00176373",70,10,9,5,11,17,14,3,-,-,-,-,1,1,12,-,-,-,1,9,2,55,10,9,5,13,4,11
"S00176374",95,10,11,36,18,11,9,7,4,1,-,1,-,1,17,-,3,6,3,1,2,71,10,4,28,14,10,4
"S00176375",124,42,12,17,34,15,4,6,-,-,-,-,3,2,20,1,-,3,8,3,-,99,41,12,17,26,6,3
"S00176376",102,20,16,12,24,19,11,22,-,3,3,3,6,8,24,6,-,3,5,5,2,59,14,9,6,16,7,5
"S00176377",69,7,4,7,12,21,17,8,-,-,-,2,-,6,15,-,-,1,5,7,5,46,7,4,6,5,17,7
"S00176378",203,60,21,11,46,41,25,26,1,-,-,6,18,6,31,3,1,2,5,11,12,146,52,19,12,34,16,13
"S00176379",83,22,2,16,17,16,10,7,2,-,-,2,3,4,7,1,-,2,5,-,3,69,20,2,15,13,14,5
"S00176380",125,13,10,15,22,35,34,9,1,-,-,-,3,6,24,2,-,3,3,8,7,92,8,9,12,16,25,21
"S00176381",164,32,21,23,27,36,25,18,2,3,2,3,2,7,19,5,-,2,-,3,7,127,23,18,21,24,28,11
"S00176382",130,23,21,12,32,35,5,7,1,-,2,1,2,1,13,1,1,3,5,8,1,104,23,20,7,26,27,3
"S00176383",70,4,1,2,3,19,40,12,-,-,-,-,2,9,12,1,-,-,-,2,9,46,4,1,2,4,15,22
"S00176384",97,8,13,8,12,26,29,20,-,-,-,4,3,15,14,1,1,-,3,5,4,61,8,12,7,8,18,10
"S00176385",76,9,2,9,9,16,31,4,-,-,1,-,-,3,13,-,-,1,1,3,8,59,8,2,7,8,13,21
"S00176386",92,11,7,10,10,21,33,17,-,2,-,-,1,9,10,1,1,-,-,1,7,68,10,2,10,9,18,17
"S00176387",108,19,9,17,28,20,13,13,-,1,2,-,6,4,16,3,2,1,6,2,4,76,17,7,11,21,12,5
"S00176388",104,11,6,5,18,26,38,9,-,1,-,-,2,7,12,-,2,-,-,2,9,83,11,7,5,18,24,22
"S00176389",110,26,7,19,30,19,9,8,-,-,-,1,2,5,14,2,1,2,2,5,-,88,24,6,17,27,12,3
"S00176390",64,8,5,15,18,14,3,13,-,-,2,5,4,2,6,-,-,2,2,3,-,38,8,5,14,8,6,2
"S00176391",171,51,19,9,50,26,11,8,2,1,-,2,4,1,13,-,2,1,2,2,5,147,49,18,8,46,21,5
"S00176392",60,6,5,14,11,14,13,9,-,-,3,-,3,3,8,-,-,1,2,3,2,43,6,5,10,9,5,8
"S00176393",95,11,6,5,11,24,37,5,-,-,-,-,1,4,11,-,-,2,-,3,5,80,11,6,4,11,20,28
"S00176394",73,14,9,8,20,13,12,6,-,1,-,-,-,3,13,-,1,1,4,2,5,54,14,7,7,14,10,5
"S00176395",131,12,11,14,16,30,46,9,-,-,-,2,1,6,13,1,-,-,-,6,5,109,8,11,14,12,24,35
"S00176396",140,26,23,12,33,33,18,28,-,-,2,5,13,8,25,4,3,1,8,11,1,87,24,17,6,20,13,4
"S00176397",108,21,15,9,27,18,18,12,2,3,-,-,1,7,13,-,1,2,3,2,3,83,17,12,8,24,15,7
"S00176398",136,25,9,12,31,30,30,18,1,1,-,1,5,12,17,1,-,1,5,4,5,101,23,8,8,25,21,15
"S00176399",113,26,9,17,23,22,20,20,3,-,5,4,5,4,18,1,1,2,3,4,7,74,22,6,10,16,10,7
"S00176400",99,16,4,18,17,17,26,13,-,-,3,-,3,8,11,1,-,-,-,5,7,72,15,4,16,13,9,8
"S00176401",123,34,15,14,30,17,15,20,2,1,-,2,5,6,15,5,1,2,1,2,6,91,29,13,11,26,10,2
"S00176402",79,3,8,6,20,28,15,27,1,-,-,8,7,10,16,-,-,1,6,5,3,36,2,8,4,6,14,2
"S00176403",90,8,10,10,17,22,22,13,-,4,1,3,4,7,10,1,-,2,-,7,7,59,8,10,6,10,11,14
"S00176404",152,37,12,36,32,23,11,9,1,-,3,-,2,3,13,4,1,2,3,-,4,130,34,8,31,29,20,5
"S00176405",108,23,21,21,16,15,11,13,-,1,6,2,4,1,16,-,5,5,3,3,2,75,23,15,9,14,7,6
"S00176406",76,8,2,7,16,15,24,3,-,-,-,-,-,3,6,-,-,-,1,4,2,66,8,2,7,15,15,19
"S00176407",108,16,6,6,18,23,36,19,-,3,1,-,6,11,21,-,1,-,3,3,14,68,16,3,9,15,15,11
"S00176408",73,13,7,11,10,21,11,21,2,-,1,1,11,5,7,1,1,1,1,2,1,45,10,6,8,8,8,2
"S00176409",92,15,15,10,13,27,10,5,-,2,-,-,2,2,16,1,-,2,3,2,4,71,14,12,10,10,20,5
"S00176410",101,24,10,19,13,25,11,23,-,-,6,1,9,3,12,2,-,2,2,2,4,70,22,10,16,8,14,4
"S00176411",108,13,2,7,22,29,30,9,-,-,-,-,4,4,11,-,-,-,1,5,5,86,13,2,7,20,17,20
"S00176412",87,15,13,12,17,16,17,20,-,1,2,2,8,10,12,-,1,1,4,3,3,57,15,11,9,11,6,6
"S00176413",155,46,7,37,44,11,10,5,1,-,-,-,1,5,11,1,-,2,4,-,3,139,44,7,35,40,9,4
"S00176414",63,9,2,4,17,13,21,4,1,-,-,4,-,2,10,-,1,-,1,-,6,46,6,1,4,9,11,13
"S00176415",209,63,20,14,57,43,15,11,2,2,-,1,5,2,13,1,2,1,4,3,3,185,62,18,13,52,35,7
"S00176416",78,15,7,7,23,12,12,15,1,-,-,4,4,4,12,-,-,-,2,4,4,51,13,9,3,15,4,4
"S00176417",81,15,6,11,11,22,12,8,-,1,-,-,3,4,13,-,-,1,4,5,1,60,12,5,10,7,17,7
"S00176418",115,25,15,7,30,24,14,13,1,-,-,2,5,2,10,2,-,-,-,4,2,92,21,14,7,27,16,7
"S00176419",96,11,3,6,15,22,35,3,-,-,-,-,1,4,11,2,-,-,-,2,8,82,10,3,6,15,21,27
"S00176420",78,6,-,7,7,17,38,29,-,-,-,1,5,27,12,-,-,-,1,6,5,37,6,-,7,5,6,13
"S00176421",76,7,6,4,11,16,32,26,-,1,1,5,6,13,17,-,-,-,-,6,10,37,7,5,4,6,4,6
"S00176422",88,17,11,12,9,29,9,11,-,2,-,-,6,2,6,-,2,-,-,1,1,71,17,7,10,9,20,9
"S00176423",106,30,4,29,31,12,-,2,1,-,1,-,3,-,3,-,-,-,2,1,-,99,29,4,24,29,9,-
"S00176424",112,25,13,15,23,28,11,8,-,1,1,1,5,2,11,-,-,2,2,3,5,93,25,7,13,24,22,4
"S00176425",82,22,9,12,19,21,10,8,-,-,1,-,2,4,15,-,1,2,5,5,2,63,22,7,8,13,11,4
"S00176426",111,30,17,24,25,8,7,20,2,1,3,4,4,6,15,-,6,1,4,1,2,76,28,10,18,17,3,-
"S00176427",144,22,17,12,30,36,24,40,-,5,2,2,19,11,28,4,2,1,6,9,5,76,15,10,8,21,12,8
"S00176428",100,11,3,7,19,21,43,11,-,-,-,1,1,9,16,-,-,-,-,4,13,73,11,3,7,14,17,21
"S00176429",125,21,18,20,20,30,14,25,-,-,-,4,8,7,23,-,7,-,5,7,4,75,21,15,16,14,11,4
"S00176430",173,47,22,15,52,21,10,28,-,2,2,14,5,6,23,2,1,5,3,7,5,121,43,23,8,37,12,1
"S00176431",101,19,10,18,21,21,11,23,2,-,3,6,9,4,18,1,4,-,3,6,4,60,17,6,18,12,7,2
"S00176432",102,29,15,7,25,16,10,14,3,-,-,3,7,2,11,2,-,-,4,2,4,77,27,15,7,18,7,5
"S00176433",117,25,15,19,28,16,14,11,-,-,3,2,2,4,21,5,1,4,7,2,3,85,20,13,14,19,12,7
"S00176434",163,32,17,16,35,30,33,33,2,1,1,8,15,10,24,2,3,4,4,2,9,102,28,13,11,27,13,14
"S00176435",103,14,11,11,14,24,31,20,-,-,2,1,5,10,15,-,2,-,-,4,9,67,12,6,9,13,15,12
"S00176436",116,32,16,23,15,22,8,24,3,1,4,4,5,4,25,4,3,7,7,4,3,67,25,12,14,4,11,1
"S00176437",92,18,6,4,20,18,22,10,-,3,1,1,3,3,14,2,1,-,-,4,7,63,12,3,2,19,15,16
