Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00178074",137,114,23,9,4,3,7
"S00178075",165,129,36,12,6,-,18
"S00178076",79,70,10,5,3,-,2
"S00178077",119,97,23,7,1,5,10
"S00178078",82,73,9,5,-,-,4
"S00178079",192,159,34,10,2,11,11
"S00178080",104,93,11,7,1,1,3
"S00178081",96,83,17,7,2,-,2
"S00178082",99,83,16,10,-,2,5
"S00178083",142,116,22,6,-,6,9
"S00178084",125,105,21,15,3,1,4
"S00178085",93,85,11,7,2,-,1
"S00178086",92,79,9,2,1,3,4
"S00178087",111,90,20,10,3,2,6
"S00178088",81,75,9,2,1,-,5
"S00178089",111,94,17,6,-,4,7
"S00178090",111,97,18,8,5,2,7
"S00178091",109,93,16,5,2,3,7
"S00178092",155,132,23,8,5,-,9
"S00178093",111,93,22,5,2,5,6
"S00178094",157,131,26,10,2,2,9
"S00178095",87,69,18,10,3,2,3
"S00178096",83,68,15,6,3,3,4
"S00178097",60,48,12,6,-,3,3
"S00178098",81,64,12,4,2,6,1
"S00178099",106,87,19,12,2,5,2
"S00178100",112,102,9,8,2,-,1
"S00178101",111,100,13,10,-,-,1
"S00178102",95,79,16,12,-,4,-
"S00178103",218,186,31,17,4,4,5
"S00178104",68,58,7,4,3,-,-
"S00178105",105,89,19,11,2,1,2
"S00178106",119,113,3,4,-,2,-
"S00178107",66,51,8,5,4,-,4
"S00178108",100,89,13,5,2,-,4
"S00178109",176,157,19,13,3,-,2
"S00178110",81,70,12,1,5,1,2
"S00178111",88,76,12,9,-,-,4
"S00178112",102,85,17,4,2,3,6
"S00178113",195,168,28,25,3,-,-
"S00178114",85,75,11,8,5,-,1
"S00178115",104,87,17,9,6,3,3
"S00178116",102,84,18,6,1,2,9
"S00178117",78,61,17,8,2,3,5
"S00178118",58,50,8,4,-,3,1
"S00178119",97,89,7,2,-,1,4
"S00178120",129,112,17,7,2,3,3
"S00178121",83,69,14,8,1,-,2
"S00178122",95,85,10,7,2,-,1
"S00178123",102,89,13,6,1,5,3
"S00178124",108,81,25,19,1,2,3
"S00178125",97,91,6,6,-,-,-
"S00178126",80,74,6,-,-,4,-
"S00178127",119,97,22,12,4,2,4
"S00178128",103,87,16,4,2,4,3
"S00178129",93,71,17,8,3,2,4
"S00178130",151,130,21,16,2,3,-
"S00178131",67,58,9,5,1,2,4
"S00178132",90,79,11,5,1,4,3
"S00178133",333,297,39,20,6,4,6
"S00178134",138,121,17,13,2,1,2
"S00178135",129,110,19,6,-,1,10
"S00178136",119,101,18,8,3,2,4
"S00178137",98,88,12,4,-,6,2
"S00178138",68,55,10,7,2,-,1
"S00178139",106,91,15,7,5,-,3
"S00178140",218,197,21,16,-,1,4
"S00178141",102,82,20,13,2,-,5
"S00178142",86,68,18,7,3,2,6
"S00178143",95,85,10,7,-,1,2
"S00178144",84,75,5,4,-,1,-
"S00178145",141,122,19,13,2,2,2
"S00178146",142,122,17,13,2,2,1
"S00178147",182,153,29,17,6,1,4
"S00178148",186,157,29,20,4,2,3
"S00178149",123,93,30,19,3,1,6
"S00178150",96,86,10,6,-,-,4
"S00178151",181,150,31,18,3,3,6
"S00178152",177,146,29,14,3,3,9
"S00178153",85,70,15,3,2,-,10
"S00178154",64,58,6,4,-,1,-
"S00178155",155,127,28,5,5,5,13
"S00178156",111,96,15,9,2,-,6
"S00178157",169,151,18,11,-,2,5
"S00178158",63,51,12,6,1,-,5
"S00178159",144,117,27,13,1,5,10
"S00178160",77,66,11,2,-,4,5
"S00178161",135,121,13,4,3,1,7
"S00178162",117,97,19,10,3,2,3
"S00178163",103,91,12,7,-,1,4
"S00178164",124,106,18,10,1,-,5
"S00178165",149,128,20,11,4,2,4
"S00178166",85,74,14,11,1,-,2
"S00178167",154,130,20,9,1,4,6
"S00178168",156,143,13,7,-,2,4
"S00178169",101,93,6,2,1,1,3
"S00178170",186,162,24,14,1,-,7
"S00178171",221,191,30,19,2,4,7
"S00178172",137,118,17,12,-,1,5
"S00178173",151,139,12,5,-,-,7
"S00178174",167,136,33,24,2,4,3
"S00178175",78,66,12,2,2,-,8
"S00178176",122,99,19,10,1,1,7
"S00178177",129,116,16,5,1,4,4
"S00178178",82,69,13,6,3,1,4
"S00178179",112,102,10,8,-,-,4
"S00178180",125,107,18,14,2,-,2
"S00178181",76,64,14,10,-,1,-
"S00178182",80,73,7,3,1,1,2
"S00178183",174,158,18,7,2,1,4
"S00178184",171,153,18,6,2,4,6
"S00178185",85,74,11,8,1,-,2
"S00178186",67,62,5,2,1,-,2
"S00178187",135,112,23,7,1,4,12
"S00178188",117,100,18,5,6,4,5
"S00178189",106,93,11,6,-,4,-
"S00178190",60,53,8,3,-,3,2
"S00178191",90,75,15,7,3,-,3
"S00178192",135,118,17,9,4,1,5
"S00178193",92,73,19,8,3,4,4
"S00178194",181,150,31,17,-,4,9
"S00178195",103,93,10,5,-,-,5
"S00178196",108,100,9,4,-,-,5
"S00178197",116,100,16,10,3,-,3
"S00178198",81,70,11,9,-,-,2
"S00178199",97,82,15,1,-,3,6
"S00178200",70,58,12,3,4,-,5
"S00178201",108,91,17,3,-,4,8
"S00178202",94,80,14,8,-,1,6
"S00178203",172,144,28,14,3,-,9
"S00178204",106,93,10,3,1,-,5
"S00178205",197,179,18,16,-,1,1
"S00178206",91,79,10,4,1,3,2
"S00178207",83,72,11,4,2,4,4
"S00178208",138,117,21,13,-,2,4
"S00178209",74,64,10,7,-,2,2
"S00178210",71,61,11,7,1,1,-
"S00178211",74,60,14,9,2,-,3
"S00178212",155,142,9,10,-,-,2
"S00178213",117,106,11,8,-,1,1
"S00178214",150,136,14,11,-,1,1
"S00178215",101,76,21,12,2,5,4
"S00178216",142,121,21,12,2,2,4
"S00178217",128,111,17,6,1,3,8
"S00178218",150,124,26,12,3,4,8
"S00178219",147,124,23,13,-,-,9
"S00178220",92,73,19,10,-,-,7
"S00178221",89,68,21,8,2,-,10
"S00178222",124,113,9,8,1,-,1
"S00178223",115,103,12,7,2,-,3
"S00178224",162,146,13,6,-,3,4
"S00178225",111,99,9,6,-,3,3
"S00178226",159,140,19,14,4,1,4
"S00178227",97,91,6,2,-,-,4
"S00178228",148,133,15,8,-,3,6
"S00178229",112,99,13,6,-,5,2
"S00178230",142,121,21,11,4,2,4
"S00178231",137,116,21,13,2,2,4
"S00178232",68,63,5,4,-,-,1
"S00178233",124,101,16,9,2,3,2
"S00178234",166,147,23,8,1,5,10
"S00178235",120,102,18,7,5,-,3
"S00178236",92,79,16,11,3,1,1
"S00178237",139,116,22,11,4,2,3
"S00178238",102,90,12,5,1,2,2
"S00178239",78,70,9,4,-,2,3
"S00178240",84,76,8,4,1,-,3
"S00178241",157,134,23,16,-,1,3
"S00178242",105,97,8,5,1,-,2
"S00178243",120,108,14,9,1,-,5
"S00178244",128,113,15,7,4,2,2
"S00178245",116,104,12,3,2,1,4
"S00178246",93,77,17,9,2,2,5
"S00178247",179,155,24,8,8,3,5
"S00178248",174,155,19,13,-,-,8
"S00178249",204,175,32,19,-,2,11
"S00178250",167,141,26,14,2,2,8
"S00178251",124,104,20,10,4,2,5
"S00178252",81,62,19,9,-,3,3
"S00178253",115,108,7,8,1,-,1
"S00178254",82,77,5,1,1,4,1
"S00178255",153,136,17,6,2,2,4
"S00178256",115,103,15,9,3,1,3
"S00178257",102,91,11,4,-,1,5
"S00178258",80,63,17,7,1,1,5
"S00178259",175,151,24,4,2,6,10
"S00178260",102,85,17,13,-,-,4
"S00178261",184,159,25,19,1,1,6
"S00178262",150,130,20,19,-,3,-
"S00178263",156,133,23,15,1,4,5
"S00178264",114,96,20,18,-,1,2
"S00178265",89,75,13,4,2,2,5
"S00178266",67,62,5,5,-,-,-
"S00178267",176,150,26,18,3,-,6
"S00178268",127,102,25,16,1,2,5
"S00178269",153,132,21,9,4,1,6
"S00178270",101,89,12,8,3,-,2
"S00178271",130,116,16,10,3,2,1
"S00178272",100,87,16,9,1,3,4
"S00178273",147,130,17,7,3,3,4
"S00178274",123,100,21,15,-,-,3
"S00178275",235,214,21,11,2,-,8
"S00178276",171,144,26,15,5,2,5
"S00178277",144,125,18,6,-,2,5
"S00178278",123,107,16,8,1,3,5
"S00178279",134,108,26,10,1,3,13
"S00178280",115,104,11,7,1,-,-
"S00178281",99,92,7,6,-,1,-
"S00178282",141,114,24,15,6,2,1
"S00178283",97,82,15,10,1,3,1
"S00178284",134,122,15,7,1,3,4
"S00178285",114,102,12,7,-,1,4
"S00178286",122,106,16,11,-,1,4
"S00178287",135,125,11,7,-,1,3
"S00178288",103,84,15,11,-,-,5
"S00178289",71,58,13,5,2,4,3
"S00178290",83,75,8,5,-,1,1
"S00178291",138,119,22,16,3,2,2
"S00178292",152,139,17,9,1,1,2
"S00178293",117,94,23,13,-,-,8
"S00178294",82,78,4,-,1,-,1
"S00178295",114,102,12,10,1,1,2
"S00178296",118,87,27,19,2,2,4
"S00178297",90,81,8,4,1,-,1
"S00178298",196,169,27,17,4,2,4
"S00178299",97,82,19,8,3,3,5
"S00178300",82,77,8,5,2,-,1
"S00178301",103,86,13,6,2,1,5
"S00178302",112,99,17,10,1,-,3
"S00178303",69,48,19,11,3,3,2
"S00178304",146,125,21,17,-,1,5
"S00178305",68,65,6,6,-,-,-
"S00178306",219,185,34,22,1,-,11
"S00178307",114,103,11,6,-,1,2
"S00178308",69,62,7,7,-,-,-
"S00178309",139,116,23,18,1,1,3
"S00178310",156,132,24,13,6,-,3
"S00178311",154,147,7,3,1,-,3
"S00178312",93,83,10,7,-,1,2
"S00178313",165,142,23,14,4,3,1
"S00178314",117,92,25,23,1,-,1
"S00178315",153,131,22,17,1,4,3
"S00178316",120,118,6,6,-,-,-
"S00178317",70,60,10,5,-,2,3
"S00178318",73,64,6,2,1,1,1
"S00178319",176,167,9,4,-,1,6
"S00178320",138,122,14,8,-,-,6
"S00178321",98,84,14,10,-,-,4
"S00178322",95,80,12,8,-,-,4
"S00178323",96,84,10,9,1,1,2
"S00178324",131,108,23,13,4,1,6
"S00178325",96,86,10,6,-,-,5
"S00178326",77,63,14,7,1,2,6
"S00178327",89,68,21,15,3,-,3
"S00178328",160,130,26,17,1,1,10
"S00178329",130,113,17,11,1,-,5
"S00178330",134,110,24,16,1,2,5
"S00178331",92,79,13,6,-,2,4
"S00178332",188,174,16,11,-,2,2
"S00178333",170,147,23,10,5,1,8
"S00178334",149,125,24,15,4,4,5
"S00178335",96,91,9,6,-,-,2
"S00178336",76,67,6,3,-,-,5
"S00178337",96,85,11,5,-,-,3
"S00178338",149,131,17,14,-,-,4
"S00178339",85,76,9,3,-,1,4
"S00178340",82,71,15,9,-,-,2
"S00178341",184,160,24,13,2,2,7
"S00178342",116,108,8,6,-,2,-
"S00178343",197,185,15,14,-,-,2
"S00178344",174,147,27,20,-,-,3
"S00178345",89,75,14,5,1,2,3
"S00178346",178,157,21,14,1,2,4
"S00178347",108,93,15,10,2,2,5
"S00178348",64,52,12,8,1,1,2
"S00178349",83,69,14,5,-,-,8
"S00178350",133,113,20,12,1,1,5
"S00178351",108,91,17,7,1,-,6
"S00178352",162,124,34,19,4,1,10
"S00178353",228,205,23,13,1,2,7
"S00178354",113,94,19,15,1,2,1
"S00178355",170,143,27,15,-,3,6
"S00178356",136,114,21,11,1,1,9
"S00178357",77,64,13,6,-,2,5
"S00178358",176,157,22,21,1,-,2
"S00178359",160,145,15,4,3,2,6
"S00178360",116,98,18,11,1,1,2
"S00178361",113,97,16,10,1,3,2
"S00178362",105,92,13,9,-,1,3
"S00178363",112,99,13,10,-,-,1
"S00178364",98,82,16,9,1,-,4
"S00178365",171,150,21,13,4,-,4
"S00178366",94,81,13,4,3,5,1
"S00178367",116,103,12,4,1,-,5
"S00178368",90,79,11,8,1,-,3
"S00178369",119,101,18,8,1,3,6
"S00178370",88,76,12,6,1,-,2
"S00178371",81,64,15,11,4,3,-
"S00178372",114,91,26,21,2,-,3
"S00178373",112,93,19,11,1,2,6
"S00178374",68,52,16,5,2,-,10
"S00178375",94,93,5,3,-,1,1
"S00178376",104,88,16,3,1,2,6
"S00178377",125,115,13,7,2,2,2
"S00178378",92,82,10,5,-,2,1
"S00178379",99,87,12,6,1,1,3
"S00178380",151,135,16,12,1,1,2
"S00178381",87,77,10,6,4,-,2
"S00178382",140,122,18,8,4,-,5
"S00178383",81,71,10,4,2,2,2
"S00178384",107,96,11,10,-,1,-
"S00178385",121,103,18,13,-,-,5
"S00178386",71,63,8,4,-,1,2
"S00178387",83,81,4,2,-,-,2
"S00178388",85,73,16,7,2,-,4
"S00178389",162,138,25,14,-,1,5
"S00178390",78,71,7,2,-,-,5
"S00178391",86,79,11,9,-,-,2
"S00178392",118,91,27,8,3,7,10
"S00178393",140,123,17,8,2,1,6
"S00178394",84,74,10,6,-,1,3
"S00178395",95,88,7,3,1,-,3
"S00178396",80,74,3,-,-,-,1
"S00178397",102,88,14,6,1,3,4
"S00178398",76,68,8,8,-,-,-
"S00178399",66,54,12,5,1,1,3
"S00178400",152,148,4,-,-,-,3
"S00178401",75,69,9,4,-,1,4
"S00178402",149,136,13,5,3,-,5
"S00178403",91,82,10,2,2,2,2
"S00178404",93,82,11,6,1,1,2
"S00178405",75,64,7,5,2,-,-
"S00178406",81,68,13,3,1,2,7
"S00178407",73,61,12,10,-,-,2
"S00178408",130,116,14,6,-,2,2
"S00178409",107,93,11,5,1,4,3
"S00178410",96,84,12,7,-,-,5
"S00178411",77,60,16,7,1,2,3
"S00178412",104,79,25,18,-,-,4
"S00178413",99,90,10,8,-,-,1
"S00178414",82,67,12,8,1,-,2
"S00178415",97,81,13,7,-,-,6
"S00178416",113,104,3,5,-,1,-
"S00178417",157,128,27,16,2,3,6
"S00178418",85,71,14,10,-,1,1
"S00178419",71,53,17,9,-,1,5
"S00178420",75,67,8,5,1,3,1
"S00178421",70,64,6,3,-,-,1
"S00178422",110,95,15,4,-,5,8
"S00178423",79,70,9,7,-,1,1
"S00178424",136,120,13,10,2,-,2
"S00178425",103,87,16,6,1,5,4
"S00178426",151,134,17,6,-,2,12
"S00178427",139,121,16,5,3,-,6
"S00178428",98,87,8,7,-,1,2
"S00178429",90,76,11,6,-,1,2
"S00178430",79,65,14,10,1,3,1
"S00178431",148,126,22,13,4,1,5
"S00178432",126,108,17,10,4,1,4
"S00178433",129,100,25,22,2,1,4
"S00178434",87,75,12,6,1,2,3
"S00178435",161,142,19,15,1,1,2
"S00178436",111,89,22,12,2,6,4
"S00178437",76,60,12,12,2,-,-
"S00178438",134,117,17,7,2,1,7
"S00178439",64,54,7,3,-,3,2
"S00178440",107,96,13,6,1,1,3
"S00178441",111,92,16,14,4,1,-
"S00178442",75,61,14,7,-,1,4
"S00178443",71,67,4,3,-,-,1
"S00178444",119,98,18,12,2,-,10
"S00178445",68,56,12,9,-,2,2
"S00178446",176,150,29,17,-,4,8
"S00178447",127,105,22,8,5,5,8
"S00178448",126,110,14,10,1,1,4
"S00178449",132,112,20,15,1,3,1
"S00178450",189,165,20,10,4,1,5
"S00178451",114,102,10,4,-,1,6
"S00178452",88,70,18,10,-,3,5
"S00178453",101,88,13,4,1,1,7
"S00178454",125,104,21,16,-,2,3
"S00178455",115,105,13,8,1,2,2
"S00178456",85,80,5,-,-,2,4
"S00178457",103,89,14,3,1,1,8
"S00178458",156,130,26,23,-,2,2
"S00178459",126,110,16,6,3,2,5
"S00178460",107,99,8,7,1,-,1
"S00178461",130,99,31,20,6,1,4
"S00178462",112,90,23,17,-,-,6
"S00178463",177,147,32,22,5,2,3
"S00178464",156,138,18,14,2,4,2
"S00178465",85,76,10,5,1,3,3
"S00178466",204,184,20,10,2,3,5
"S00178467",129,111,18,12,2,1,2
"S00178468",137,117,23,19,3,-,2
"S00178469",116,102,14,3,1,4,3
"S00178470",109,102,7,7,-,1,4
"S00178471",64,65,3,3,-,-,-
"S00178472",149,128,24,12,3,1,5
"S00178473",136,113,23,17,-,1,5
"S00178474",170,155,11,5,3,1,4
"S00178475",149,132,15,5,2,3,5
"S00178476",76,67,9,6,-,-,1
"S00178477",121,104,17,6,1,3,7
"S00178478",180,156,24,10,4,5,5
"S00178479",109,88,21,3,3,3,12
"S00178480",126,111,15,11,3,1,1
"S00178481",106,93,16,9,-,-,6
"S00178482",77,67,10,4,3,-,2
"S00178483",103,97,6,1,-,3,3
"S00178484",88,81,7,4,-,2,1
"S00178485",139,113,26,16,1,6,3
"S00178486",81,67,14,5,1,4,6
"S00178487",88,77,11,9,-,1,2
"S00178488",194,167,27,15,6,4,3
"S00178489",153,136,20,10,-,1,3
"S00178490",144,127,17,13,-,3,2
"S00178491",65,55,8,4,1,1,4
"S00178492",162,139,20,9,5,3,1
"S00178493",133,117,18,6,-,1,11
"S00178494",204,184,21,14,-,3,4
"S00178495",165,140,25,17,5,-,4
"S00178496",114,98,16,10,2,2,-
"S00178497",120,101,19,10,1,2,6
"S00178498",130,106,22,13,2,4,4
"S00178499",89,77,16,6,1,4,1
"S00178500",181,154,27,13,3,1,10
"S00178501",205,176,27,18,4,1,6
"S00178502",118,97,17,15,1,1,4
"S00178503",136,103,33,17,4,3,12
"S00178504",77,55,26,10,1,3,8
"S00178505",73,62,11,7,-,1,3
"S00178506",128,117,12,7,-,2,2
"S00178507",208,178,33,14,8,3,7
"S00178508",130,114,16,9,2,4,1
"S00178509",154,136,18,8,-,2,7
"S00178510",172,151,21,16,3,1,5
"S00178511",163,145,19,6,-,4,6
"S00178512",103,88,15,8,1,-,4
"S00178513",82,68,14,8,1,2,3
"S00178514",107,94,9,8,-,3,2
"S00178515",83,68,15,11,2,2,-
"S00178516",168,140,27,12,2,3,10
"S00178517",111,92,19,7,4,2,6
"S00178518",150,129,23,11,2,2,8
"S00178519",118,104,11,7,-,-,-
"S00178520",89,79,10,4,-,-,6
"S00178521",60,51,9,5,-,1,2
"S00178522",151,135,16,9,1,-,6
"S00178523",102,80,22,17,2,2,2
"S00178524",102,87,15,8,-,3,7
"S00178525",117,99,22,16,2,1,2
"S00178526",113,104,9,1,1,2,5
"S00178527",71,57,18,6,3,2,3
"S00178528",71,57,14,3,2,-,8
"S00178529",184,165,19,4,-,3,12
"S00178530",85,75,10,5,-,2,4
"S00178531",86,81,5,4,-,-,2
"S00178532",117,104,16,6,1,1,8
"S00178533",91,75,16,6,2,4,4
"S00178534",146,131,18,7,4,3,3
"S00178535",85,71,14,9,-,-,6
"S00178536",115,97,20,9,-,4,9
"S00178537",65,60,5,3,-,1,1
"S00178538",108,97,10,5,1,-,2
"S00178539",121,106,15,4,3,3,5
"S00178540",99,92,5,1,-,-,2
"S00178541",139,128,11,8,-,-,3
"S00178542",103,93,10,7,2,-,3
"S00178543",123,115,8,5,1,1,1
"S00178544",189,172,14,13,-,1,1
"S00178545",102,85,17,12,2,-,4
"S00178546",110,95,15,13,-,-,2
"S00178547",85,76,9,5,1,2,2
"S00178548",120,108,12,7,-,4,4
"S00178549",107,90,17,14,3,-,1
"S00178550",110,95,15,11,3,-,1
"S00178551",105,85,20,15,2,-,2
"S00178552",118,99,19,11,4,-,4
"S00178553",132,113,19,16,2,2,4
"S00178554",101,90,11,9,2,-,2
"S00178555",63,55,8,5,-,2,1
"S00178556",129,116,13,6,5,-,4
"S00178557",66,62,6,-,1,-,1
"S00178558",109,95,14,5,-,3,7
"S00178559",76,67,7,5,1,-,2
"S00178560",134,117,14,11,2,-,1
"S00178561",80,71,9,4,-,-,4
"S00178562",110,95,11,7,-,-,3
"S00178563",87,80,7,5,-,-,-
"S00178564",69,55,14,6,-,1,9
"S00178565",120,109,13,9,1,-,3
"S00178566",180,159,20,15,2,-,5
"S00178567",82,71,16,7,-,1,6
"S00178568",103,90,13,10,-,-,2
"S00178569",103,83,20,11,3,-,6
"S00178570",115,94,21,9,1,1,10
"S00178571",90,81,9,5,2,-,2
"S00178572",102,86,15,7,2,1,6
"S00178573",69,61,11,8,-,-,-
"S00178574",181,160,20,13,1,4,4
"S00178575",160,139,21,18,-,1,2
"S00178576",91,78,13,8,2,1,3
"S00178577",101,84,17,6,3,3,5
"S00178578",65,58,7,4,-,2,3
"S00178579",81,65,13,2,4,-,6
"S00178580",155,141,11,5,-,5,1
"S00178581",118,100,17,10,1,2,6
"S00178582",85,74,11,9,-,-,1
"S00178583",87,74,13,3,-,2,8
"S00178584",165,148,17,12,-,-,8
"S00178585",104,89,15,7,2,2,5
"S00178586",92,76,16,7,6,2,2
"S00178587",96,84,12,2,3,-,5
"S00178588",145,125,19,7,1,2,9
"S00178589",100,94,5,-,-,2,6
"S00178590",119,106,13,6,3,-,7
"S00178591",158,125,34,9,4,9,7
"S00178592",61,52,8,1,-,4,4
"S00178593",144,133,11,6,1,-,2
"S00178594",84,74,10,5,-,-,4
"S00178595",117,91,24,7,1,4,12
"S00178596",66,56,7,4,-,1,-
"S00178597",173,138,35,18,4,3,10
"S00178598",121,112,11,5,-,1,3
"S00178599",87,77,10,4,-,3,3
"S00178600",184,155,26,11,2,-,8
"S00178601",63,59,7,3,-,-,1
"S00178602",181,158,19,12,1,1,5
"S00178603",104,92,12,7,-,2,4
"S00178604",125,106,16,9,3,1,3
"S00178605",120,106,14,11,2,-,1
"S00178606",116,97,16,15,-,-,3
"S00178607",99,84,15,8,4,1,2
"S00178608",122,103,19,8,1,1,9
"S00178609",72,56,16,1,-,7,6
"S00178610",74,58,16,5,1,2,6
"S00178611",98,76,22,8,1,6,7
"S00178612",70,63,7,2,2,1,-
"S00178613",102,87,11,5,1,1,4
"S00178614",89,78,12,3,1,1,7
"S00178615",144,121,23,13,3,2,6
"S00178616",104,90,14,8,-,-,6
"S00178617",77,71,9,-,-,2,2
"S00178618",71,64,7,2,-,2,3
"S00178619",85,76,9,5,-,2,1
"S00178620",97,84,13,7,1,4,1
"S00178621",165,132,33,19,1,-,13
"S00178622",110,85,25,14,1,5,7
"S00178623",124,107,13,6,2,3,5
"S00178624",125,105,20,12,2,1,5
"S00178625",130,120,7,4,1,2,2
"S00178626",105,85,16,8,2,4,2
"S00178627",71,64,7,2,-,3,2
"S00178628",75,67,6,4,5,-,-
"S00178629",74,63,11,5,-,1,1
"S00178630",140,112,28,11,-,8,4
"S00178631",116,105,9,8,-,-,1
"S00178632",91,84,9,5,1,-,2
"S00178633",65,55,10,8,-,-,2
"S00178634",67,59,8,4,-,1,3
"S00178635",121,110,11,5,-,-,6
"S00178636",152,136,18,11,-,2,3
"S00178637",71,62,9,8,-,-,-
"S00178638",101,88,16,8,2,2,4
"S00178639",124,112,12,12,2,-,1
"S00178640",95,79,16,14,1,1,-
"S00178641",118,96,22,4,3,-,11
"S00178642",76,75,4,1,1,2,1
"S00178643",108,95,12,6,-,1,3
"S00178644",129,109,20,15,-,-,5
"S00178645",60,54,10,2,2,-,5
"S00178646",129,114,18,10,2,1,6
"S00178647",145,130,14,7,1,1,5
"S00178648",138,123,15,9,1,2,2
"S00178649",94,79,15,12,1,1,1
"S00178650",68,59,9,6,1,-,-
"S00178651",113,102,14,7,2,-,2
"S00178652",100,87,10,5,2,-,4
"S00178653",129,111,21,19,-,1,2
"S00178654",88,76,13,5,-,-,8
"S00178655",131,115,16,11,2,3,-
"S00178656",86,77,12,8,-,1,3
"S00178657",137,119,19,14,5,-,1
"S00178658",66,64,6,6,-,-,1
"S00178659",108,100,8,6,-,-,2
"S00178660",132,113,19,10,1,1,6
"S00178661",126,95,27,21,3,-,3
"S00178662",64,58,9,7,2,-,-
"S00178663",89,78,9,9,2,-,-
"S00178664",166,147,15,8,3,-,4
"S00178665",83,73,10,4,5,1,3
"S00178666",135,112,27,20,2,1,4
"S00178667",120,109,11,5,-,-,4
"S00178668",76,62,14,12,1,-,1
"S00178669",110,96,10,6,2,4,3
"S00178670",62,58,4,1,-,1,2
"S00178671",137,121,18,11,-,8,-
"S00178672",141,120,18,9,2,2,4
"S00178673",118,99,19,12,2,1,4
"S00178674",113,91,22,11,6,2,4
"S00178675",113,102,7,8,-,-,2
"S00178676",155,136,19,8,-,3,4
"S00178677",89,75,17,10,-,-,7
"S00178678",126,113,13,9,-,-,7
"S00178679",163,143,20,14,-,-,6
"S00178680",132,114,18,13,1,-,2
"S00178681",89,77,12,7,1,1,3
"S00178682",98,82,14,8,1,1,4
"S00178683",126,103,23,8,7,2,6
"S00178684",161,140,21,16,1,-,2
"S00178685",72,62,10,7,-,-,3
"S00178686",131,114,17,15,1,-,2
"S00178687",107,90,17,11,2,-,4
"S00178688",117,101,16,12,2,-,2
"S00178689",84,77,7,6,-,-,1
"S00178690",98,96,2,2,-,-,-
"S00178691",140,119,21,14,-,1,3
"S00178692",195,167,28,17,4,3,4
"S00178693",85,79,7,5,-,1,-
"S00178694",93,82,11,7,1,2,1
"S00178695",200,184,16,10,2,2,4
"S00178696",393,360,33,23,4,3,3
"S00178697",242,211,31,29,-,-,1
"S00178698",159,131,31,19,5,5,1
"S00178699",91,82,9,9,-,-,-
"S00178700",110,91,19,8,2,3,4
"S00178701",152,132,20,11,3,2,5
"S00178702",222,195,24,15,1,3,5
"S00178703",95,86,9,7,2,-,2
"S00178704",126,113,13,10,-,-,3
"S00178705",171,151,22,16,2,-,4
"S00178706",177,158,19,18,1,-,-
"S00178707",114,93,21,18,-,-,3
"S00178708",220,189,30,27,2,-,2
"S00178709",202,189,13,11,-,3,1
"S00178710",168,155,17,13,2,2,1
"S00178711",121,107,14,9,-,2,3
"S00178712",112,101,8,9,-,-,2
"S00178713",149,135,13,6,1,5,4
"S00178714",81,71,10,6,4,1,1
"S00178715",109,103,6,3,1,4,-
"S00178716",97,81,12,10,1,-,1
"S00178717",103,92,11,8,1,4,-
"S00178718",210,189,21,16,1,1,1
"S00178719",123,102,17,10,1,3,4
"S00178720",111,105,6,4,-,-,2
"S00178721",115,101,14,13,-,1,-
"S00178722",149,127,22,12,1,3,5
"S00178723",67,65,4,4,-,1,-
"S00178724",91,71,21,14,1,-,6
"S00178725",131,114,16,11,2,-,4
"S00178726",99,91,8,6,1,2,-
"S00178727",113,101,16,7,-,4,3
"S00178728",99,83,14,11,-,2,1
"S00178729",135,123,12,6,-,2,3
"S00178730",165,139,24,14,2,-,8
"S00178731",137,120,19,13,-,1,2
"S00178732",136,128,8,5,2,1,-
"S00178733",160,140,23,10,2,1,7
"S00178734",108,93,15,12,-,-,3
"S00178735",184,150,34,22,1,3,8
"S00178736",109,101,8,8,-,-,-
"S00178737",97,84,13,10,1,1,1
"S00178738",199,175,22,12,2,1,7
"S00178739",88,74,14,9,-,1,4
"S00178740",78,59,19,13,2,-,4
"S00178741",95,80,15,11,-,1,3
"S00178742",125,101,25,9,3,2,5
"S00178743",148,127,21,13,-,4,5
"S00178744",127,110,17,10,-,4,3
"S00178745",113,102,11,10,1,-,-
"S00178746",115,102,17,11,2,-,1
"S00178747",118,99,19,17,1,-,1
"S00178748",151,128,23,19,-,3,2
"S00178749",74,66,8,8,-,-,-
"S00178750",137,108,29,17,3,1,8
"S00178751",160,133,27,17,2,1,11
"S00178752",83,72,11,7,-,-,3
"S00178753",118,95,19,15,-,2,6
"S00178754",68,63,8,5,2,-,1
"S00178755",146,130,17,13,1,-,3
"S00178756",91,77,12,7,2,2,2
"S00178757",64,55,9,6,-,3,-
"S00178758",135,120,15,10,-,1,4
"S00178759",139,117,22,15,-,-,7
"S00178760",72,62,6,6,-,-,-
"S00178761",118,110,8,5,1,1,1
"S00178762",62,54,9,4,-,2,3
"S00178763",138,125,17,9,-,1,1
"S00178764",72,62,9,2,1,2,3
"S00178765",77,68,9,6,3,-,-
"S00178766",117,100,17,14,-,-,2
