Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00135669",137,122,12,5,2,1,5
"S00135670",153,139,14,10,3,4,-
"S00135671",82,73,9,4,1,-,4
"S00135672",98,91,9,3,2,-,2
"S00135673",84,80,4,1,-,1,2
"S00135674",94,90,6,6,-,-,1
"S00135675",138,121,14,6,-,3,2
"S00135676",73,66,7,5,-,-,2
"S00135677",72,67,5,2,-,3,-
"S00135678",99,89,10,5,1,1,-
"S00135679",75,68,7,5,4,-,-
"S00135680",111,99,10,3,1,3,3
"S00135681",122,105,13,9,1,2,-
"S00135682",87,79,8,3,4,3,-
"S00135683",97,86,11,4,-,2,2
"S00135684",70,61,9,8,-,-,4
"S00135685",142,128,13,7,1,2,5
"S00135686",103,97,6,2,3,1,-
"S00135687",116,112,4,3,-,-,1
"S00135688",121,112,9,3,-,1,5
"S00135689",92,80,11,4,1,-,5
"S00135690",119,99,20,6,3,2,7
"S00135691",116,111,3,1,-,1,1
"S00135692",71,58,13,10,-,-,1
"S00135693",103,94,9,3,-,3,3
"S00135694",85,73,10,8,1,-,1
"S00135695",74,62,9,5,4,-,4
"S00135696",61,50,9,7,2,-,-
"S00135697",115,103,13,10,2,-,1
"S00135698",134,122,16,7,2,-,3
"S00135699",151,134,17,10,2,-,4
"S00135700",64,59,5,1,1,2,2
"S00135701",94,89,5,1,-,2,1
"S00135702",104,95,12,4,-,1,9
"S00135703",66,58,8,2,4,-,1
"S00135704",62,54,8,5,-,1,2
"S00135705",99,82,15,4,1,9,2
"S00135706",138,120,18,6,-,2,10
"S00135707",61,48,9,5,2,1,2
"S00135708",119,106,14,7,2,2,3
"S00135709",113,106,7,3,-,1,2
"S00135710",70,64,6,2,1,-,1
"S00135711",86,83,3,1,-,1,-
"S00135712",130,123,9,-,3,-,2
"S00135713",80,67,9,8,1,1,1
"S00135714",118,107,11,7,2,-,3
"S00135715",113,104,9,8,2,-,2
"S00135716",119,107,12,4,1,2,5
"S00135717",104,95,9,3,4,2,2
"S00135718",68,57,11,6,2,1,2
"S00135719",177,156,19,5,-,3,10
"S00135720",198,171,27,8,4,-,13
"S00135721",153,128,25,11,3,3,4
"S00135722",73,66,7,4,-,1,4
"S00135723",77,73,4,-,-,-,4
"S00135724",86,75,11,4,1,-,5
"S00135725",122,112,12,3,-,1,8
"S00135726",161,144,17,5,1,3,8
"S00135727",133,130,3,1,-,1,-
"S00135728",97,76,21,6,4,-,10
"S00135729",96,92,6,2,-,1,-
"S00135730",103,89,13,8,-,1,4
"S00135731",84,77,6,2,1,-,3
"S00135732",96,90,6,-,2,1,1
"S00135733",78,73,5,3,-,-,1
"S00135734",189,175,17,7,2,2,3
"S00135735",96,85,11,5,1,-,5
"S00135736",81,70,11,8,4,1,-
"S00135737",87,75,14,2,2,4,8
"S00135738",172,160,12,7,-,2,3
"S00135739",112,104,8,3,-,1,6
"S00135740",96,85,11,4,2,1,7
"S00135741",66,62,8,3,-,1,4
"S00135742",88,81,8,4,1,-,4
"S00135743",95,82,16,9,2,4,7
"S00135744",95,87,8,2,-,2,1
"S00135745",109,97,12,8,2,2,5
"S00135746",61,55,4,1,-,1,1
"S00135747",89,83,6,3,1,-,2
"S00135748",119,108,11,5,-,-,6
"S00135749",63,56,4,2,-,2,-
"S00135750",101,89,12,8,-,-,3
"S00135751",120,110,9,5,-,-,4
"S00135752",87,80,7,1,1,2,3
"S00135753",94,82,12,4,-,-,8
"S00135754",116,95,16,5,1,2,8
"S00135755",163,154,9,4,-,1,1
"S00135756",86,85,2,2,-,-,-
"S00135757",106,101,4,4,1,-,-
"S00135758",108,105,1,1,-,-,-
"S00135759",80,69,11,3,1,2,3
"S00135760",72,66,3,-,3,-,-
"S00135761",110,98,12,5,-,3,3
"S00135762",104,94,15,8,2,1,2
"S00135763",82,75,9,4,-,2,2
"S00135764",98,85,13,4,2,3,6
"S00135765",139,123,16,8,4,2,3
"S00135766",99,91,8,1,2,2,5
"S00135767",128,110,18,11,2,3,3
"S00135768",213,190,23,12,2,5,4
"S00135769",122,108,18,8,4,4,2
"S00135770",105,102,7,2,2,2,1
"S00135771",120,116,4,1,-,1,-
"S00135772",178,155,27,14,-,-,8
"S00135773",157,136,20,14,3,1,4
"S00135774",76,70,6,-,2,-,2
"S00135775",174,159,15,6,1,2,6
"S00135776",92,87,4,1,1,-,2
"S00135777",157,150,7,2,2,-,2
"S00135778",72,72,-,-,-,-,-
"S00135779",103,92,11,9,2,-,-
"S00135780",98,91,10,3,2,2,5
"S00135781",128,117,12,3,1,-,8
"S00135782",91,85,6,4,-,-,2
"S00135783",152,139,13,7,2,2,2
"S00135784",87,72,12,2,2,-,8
"S00135785",66,58,8,1,2,3,1
"S00135786",157,139,18,2,6,3,5
"S00135787",59,55,4,3,-,-,1
"S00135788",103,94,10,5,1,-,4
"S00135789",99,91,7,5,1,-,4
"S00135790",112,105,7,-,-,4,4
"S00135791",160,145,15,7,3,2,3
"S00135792",100,84,16,6,1,4,5
"S00135793",98,90,6,6,2,1,-
"S00135794",146,132,14,8,-,1,3
"S00135795",86,87,6,4,1,1,-
"S00135796",99,91,8,5,-,-,1
"S00135797",207,200,8,6,-,-,-
"S00135798",77,75,2,-,-,-,2
"S00135799",194,172,22,7,4,6,8
"S00135800",105,92,13,4,1,-,6
"S00135801",75,72,4,2,-,-,-
"S00135802",79,77,4,1,1,1,1
"S00135803",99,86,16,7,3,-,5
"S00135804",108,95,13,3,3,-,3
"S00135805",71,62,9,9,-,1,-
"S00135806",125,106,19,7,1,4,10
"S00135807",99,96,3,2,-,1,1
"S00135808",120,115,5,6,-,1,-
"S00135809",101,83,16,9,-,1,2
"S00135810",128,119,9,7,1,-,1
"S00135811",176,163,13,4,3,3,6
"S00135812",113,99,14,6,-,-,6
"S00135813",113,99,14,9,-,-,3
"S00135814",67,52,16,5,4,1,3
"S00135815",69,65,6,1,-,-,1
"S00135816",100,90,9,7,-,1,2
"S00135817",119,102,17,7,1,1,8
"S00135818",100,93,7,4,-,-,-
"S00135819",115,99,12,6,4,6,-
"S00135820",175,148,24,11,5,3,6
"S00135821",74,70,4,2,2,1,-
"S00135822",136,120,16,4,3,3,6
"S00135823",172,164,8,3,-,4,3
"S00135824",182,164,18,7,-,2,10
"S00135825",102,83,19,7,3,1,8
"S00135826",99,89,10,4,1,1,7
"S00135827",66,63,3,1,-,-,1
"S00135828",131,116,15,10,1,2,2
"S00135829",84,81,2,2,2,-,-
"S00135830",63,59,4,3,-,-,1
"S00135831",108,96,12,3,5,-,3
"S00135832",163,152,13,6,3,2,1
"S00135833",117,101,16,-,2,2,10
"S00135834",103,99,4,2,1,-,1
"S00135835",151,133,16,8,3,6,2
"S00135836",106,88,14,7,1,-,4
"S00135837",139,127,12,7,1,3,2
"S00135838",164,157,4,4,1,1,2
"S00135839",260,244,16,11,3,1,-
"S00135840",151,146,5,4,-,-,1
"S00135841",61,53,8,6,2,-,1
"S00135842",83,77,7,1,1,1,3
"S00135843",79,73,6,2,2,1,2
"S00135844",69,64,5,-,1,-,2
"S00135845",74,66,8,4,-,-,3
"S00135846",111,105,6,3,1,-,1
"S00135847",217,210,7,1,2,2,1
"S00135848",109,96,13,10,-,-,5
"S00135849",68,61,8,3,-,-,3
"S00135850",88,76,12,6,-,1,3
"S00135851",123,109,14,3,5,2,6
"S00135852",65,61,4,-,-,1,3
"S00135853",78,73,5,1,-,3,1
"S00135854",75,63,11,7,2,1,2
"S00135855",96,85,11,4,4,2,3
"S00135856",62,63,3,3,-,-,1
"S00135857",59,56,3,2,1,-,-
"S00135858",62,55,8,1,1,1,3
"S00135859",73,65,8,4,-,-,4
"S00135860",135,124,11,1,2,3,5
"S00135861",100,85,19,11,2,-,6
"S00135862",82,77,5,1,-,2,2
"S00135863",90,77,13,8,2,1,2
"S00135864",87,81,6,6,-,-,-
"S00135865",92,80,12,9,-,-,1
"S00135866",105,97,11,3,2,-,3
"S00135867",96,87,12,9,-,2,1
"S00135868",113,105,8,7,-,2,-
"S00135869",76,70,5,5,-,-,1
"S00135870",74,70,5,5,1,-,1
"S00135871",178,164,14,5,1,4,4
"S00135872",92,86,10,7,-,-,3
"S00135873",115,107,8,8,-,1,2
"S00135874",116,115,1,-,1,-,-
"S00135875",125,115,10,2,1,3,5
"S00135876",106,96,10,6,-,-,2
"S00135877",150,135,17,1,4,1,8
"S00135878",151,142,10,8,-,-,1
"S00135879",86,74,11,4,-,-,7
"S00135880",184,176,8,6,2,1,-
"S00135881",117,99,18,7,2,4,5
"S00135882",105,91,10,6,1,2,6
"S00135883",73,61,12,2,-,1,7
"S00135884",71,62,12,6,1,2,4
"S00135885",80,75,5,1,1,-,3
"S00135886",88,73,8,7,-,-,2
"S00135887",65,63,3,3,-,-,-
"S00135888",102,97,5,2,3,-,-
"S00135889",74,67,7,3,1,3,-
"S00135890",91,82,7,4,1,1,2
"S00135891",78,67,11,6,1,3,-
"S00135892",112,97,15,9,2,-,4
"S00135893",109,98,11,9,-,-,-
"S00135894",111,94,17,7,2,1,4
"S00135895",154,149,5,1,-,2,2
"S00135896",145,133,9,4,2,-,3
"S00135897",147,134,13,6,5,-,1
"S00135898",113,106,7,1,-,2,2
"S00135899",92,85,6,4,2,2,1
"S00135900",121,111,8,3,2,1,3
"S00135901",111,103,5,3,1,-,-
"S00135902",85,78,7,3,-,-,4
"S00135903",111,101,7,4,2,3,1
"S00135904",77,74,3,2,-,-,2
"S00135905",77,68,9,7,-,2,-
"S00135906",63,62,1,-,-,1,-
"S00135907",97,94,1,1,-,-,-
"S00135908",101,96,7,3,-,1,3
"S00135909",68,57,11,4,-,3,4
"S00135910",73,68,5,2,-,-,3
