Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00135661",54,-,54
"S00135662",100,6,96
"S00135663",89,5,84
"S00135664",135,1,134
"S00135665",98,11,85
"S00135666",68,3,65
"S00135667",122,4,118
"S00135668",107,2,105
"S00135669",113,6,107
"S00135670",127,4,125
"S00135671",73,6,67
"S00135672",94,2,92
"S00135673",67,5,62
"S00135674",83,3,80
"S00135675",109,7,102
"S00135676",72,3,69
"S00135677",58,-,58
"S00135678",88,1,87
"S00135679",72,1,71
"S00135680",88,7,81
"S00135681",98,4,91
"S00135682",69,2,68
"S00135683",82,2,81
"S00135684",70,5,63
"S00135685",108,1,105
"S00135686",103,11,92
"S00135687",101,4,97
"S00135688",113,7,104
"S00135689",74,3,71
"S00135690",106,3,106
"S00135691",98,4,96
"S00135692",61,1,63
"S00135693",83,3,80
"S00135694",76,6,70
"S00135695",73,2,72
"S00135696",59,-,59
"S00135697",101,2,99
"S00135698",118,6,113
"S00135699",126,8,117
"S00135700",43,-,43
"S00135701",80,1,79
"S00135702",103,3,99
"S00135703",59,-,59
"S00135704",62,2,60
"S00135705",75,-,75
"S00135706",92,-,92
"S00135707",53,-,53
"S00135708",101,-,101
"S00135709",80,1,78
"S00135710",52,1,51
"S00135711",75,-,74
"S00135712",100,2,102
"S00135713",66,-,66
"S00135714",105,3,105
"S00135715",92,4,88
"S00135716",107,4,103
"S00135717",95,5,91
"S00135718",59,-,58
"S00135719",119,-,119
"S00135720",169,8,162
"S00135721",128,6,124
"S00135722",56,-,56
"S00135723",61,3,58
"S00135724",67,3,64
"S00135725",89,-,87
"S00135726",114,-,114
"S00135727",99,2,97
"S00135728",91,1,88
"S00135729",96,6,93
"S00135730",84,5,79
"S00135731",66,4,66
"S00135732",92,5,85
"S00135733",65,-,65
"S00135734",180,2,179
"S00135735",84,4,80
"S00135736",78,1,80
"S00135737",64,2,66
"S00135738",131,2,126
"S00135739",79,1,77
"S00135740",77,5,72
"S00135741",59,4,56
"S00135742",81,6,77
"S00135743",66,-,64
"S00135744",78,-,71
"S00135745",98,4,95
"S00135746",51,2,52
"S00135747",75,2,74
"S00135748",101,6,92
"S00135749",62,5,59
"S00135750",87,2,87
"S00135751",106,5,100
"S00135752",65,1,65
"S00135753",88,1,87
"S00135754",83,2,81
"S00135755",112,1,109
"S00135756",80,2,79
"S00135757",93,3,90
"S00135758",97,8,89
"S00135759",48,-,48
"S00135760",56,-,56
"S00135761",77,2,79
"S00135762",96,4,92
"S00135763",74,-,74
"S00135764",77,3,74
"S00135765",119,4,113
"S00135766",91,3,88
"S00135767",98,3,95
"S00135768",140,1,138
"S00135769",97,2,98
"S00135770",93,3,90
"S00135771",100,1,99
"S00135772",151,7,147
"S00135773",118,-,118
"S00135774",61,2,59
"S00135775",129,-,129
"S00135776",84,4,80
"S00135777",139,-,139
"S00135778",60,2,58
"S00135779",100,4,96
"S00135780",76,1,75
"S00135781",98,3,95
