Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00159033",76,3,73
"S00159034",58,-,57
"S00159035",105,1,105
"S00159036",110,2,109
"S00159037",56,1,55
"S00159038",127,-,126
"S00159039",83,1,82
"S00159040",120,-,120
"S00159041",64,3,61
"S00159042",98,-,98
"S00159043",75,3,68
"S00159044",73,4,70
"S00159045",81,-,81
"S00159046",83,4,79
"S00159047",74,3,75
"S00159048",61,4,61
"S00159049",61,-,61
"S00159050",132,3,129
"S00159051",100,3,100
"S00159052",126,-,124
"S00159053",136,1,135
"S00159054",108,2,105
"S00159055",96,-,96
"S00159056",51,-,51
"S00159057",80,1,76
"S00159058",92,-,92
"S00159059",141,5,135
"S00159060",84,5,79
"S00159061",97,2,95
"S00159062",65,2,64
"S00159063",85,3,82
"S00159064",70,-,70
"S00159065",54,-,54
"S00159066",76,2,73
"S00159067",75,-,75
"S00159068",101,2,100
"S00159069",137,6,131
"S00159070",62,-,62
"S00159071",48,-,46
"S00159072",62,1,61
"S00159073",84,1,87
"S00159074",58,2,56
"S00159075",61,2,59
"S00159076",87,1,86
"S00159077",120,4,114
"S00159078",129,2,125
"S00159079",127,1,126
"S00159080",111,-,111
"S00159081",109,3,105
"S00159082",66,-,66
"S00159083",82,-,82
"S00159084",73,-,73
"S00159085",137,-,136
"S00159086",99,-,99
"S00159087",108,4,104
"S00159088",135,2,130
"S00159089",96,5,91
"S00159090",70,-,70
"S00159091",103,2,101
"S00159092",67,1,64
"S00159093",115,2,113
"S00159094",82,2,80
"S00159095",132,2,130
"S00159096",77,2,73
"S00159097",103,-,103
"S00159098",91,2,90
"S00159099",185,1,184
"S00159100",165,2,163
"S00159101",81,3,82
"S00159102",93,2,92
"S00159103",146,-,146
"S00159104",142,-,142
"S00159105",92,-,91
"S00159106",87,2,84
"S00159107",81,4,77
"S00159108",77,1,71
"S00159109",38,-,38
"S00159110",62,-,62
"S00159111",119,-,119
"S00159112",135,3,132
"S00159113",159,4,154
"S00159114",105,-,105
"S00159115",80,3,73
"S00159116",62,2,60
"S00159117",61,2,59
"S00159118",79,2,77
"S00159119",86,-,86
"S00159120",63,-,63
"S00159121",80,1,79
"S00159122",88,-,88
"S00159123",68,-,68
"S00159124",110,4,108
"S00159125",99,5,96
"S00159126",138,3,135
"S00159127",112,1,111
"S00159128",86,3,83
"S00159129",73,1,72
"S00159130",74,-,74
"S00159131",117,2,115
"S00159132",67,-,65
"S00159133",95,2,93
"S00159134",92,1,91
"S00159135",98,1,97
"S00159136",96,2,94
"S00159137",139,-,139
"S00159138",122,5,117
"S00159139",135,7,131
"S00159140",61,6,55
"S00159141",100,3,97
"S00159142",81,3,75
"S00159143",83,5,78
"S00159144",637,-,636
"S00159145",71,-,71
"S00159146",68,-,68
"S00159147",108,-,107
"S00159148",96,3,93
"S00159149",90,-,90
"S00159150",70,3,67
"S00159151",101,-,101
"S00159152",77,1,79
"S00159153",85,-,85
"S00159154",67,-,66
"S00159155",93,4,89
"S00159156",107,5,102
"S00159157",67,2,65
"S00159158",93,3,92
"S00159159",76,2,74
"S00159160",60,-,59
"S00159161",141,-,140
"S00159162",89,2,87
"S00159163",72,2,68
"S00159164",70,-,70
"S00159165",59,-,55
"S00159166",105,1,104
"S00159167",54,2,53
"S00159168",108,4,105
"S00159169",100,4,97
"S00159170",110,2,108
"S00159171",129,4,124
"S00159172",72,-,70
"S00159173",164,3,157
"S00159174",74,1,73
"S00159175",75,-,75
"S00159176",136,2,135
"S00159177",77,-,77
"S00159178",103,1,102
"S00159179",126,4,123
"S00159180",71,2,69
"S00159181",127,-,127
"S00159182",88,2,86
"S00159183",90,5,85
"S00159184",89,3,86
"S00159185",116,4,112
"S00159186",70,-,70
"S00159187",104,1,103
"S00159188",81,6,78
"S00159189",123,1,121
"S00159190",112,3,109
"S00159191",79,-,79
"S00159192",90,1,89
"S00159193",113,2,104
"S00159194",78,-,78
"S00159195",137,5,132
"S00159196",160,-,160
"S00159197",74,-,74
"S00159198",114,3,111
"S00159199",60,1,59
"S00159200",127,4,123
"S00159201",97,6,91
"S00159202",100,-,100
"S00159203",85,-,85
"S00159204",101,3,98
"S00159205",128,6,124
"S00159206",96,5,91
"S00159207",62,1,64
"S00159208",90,-,89
"S00159209",63,4,59
"S00159210",106,1,107
"S00159211",78,2,72
"S00159212",94,2,91
"S00159213",87,2,85
"S00159214",99,5,99
"S00159215",93,2,89
"S00159216",62,2,60
"S00159217",63,-,63
"S00159218",86,-,86
"S00159219",94,3,91
"S00159220",125,10,115
"S00159221",76,5,71
"S00159222",70,-,70
"S00159223",71,2,69
"S00159224",122,3,119
"S00159225",61,-,61
"S00159226",90,-,88
"S00159227",74,1,73
"S00159228",61,-,61
"S00159229",81,1,80
"S00159230",96,-,94
"S00159231",67,-,67
"S00159232",110,1,105
"S00159233",140,2,136
"S00159234",64,3,63
"S00159235",102,2,100
"S00159236",92,4,88
"S00159237",94,-,94
"S00159238",78,2,76
"S00159239",120,1,119
"S00159240",77,2,76
"S00159241",66,-,66
"S00159242",78,1,77
"S00159243",112,5,107
"S00159244",90,-,90
"S00159245",73,1,72
"S00159246",51,1,49
"S00159247",85,2,84
"S00159248",100,3,97
"S00159249",98,-,98
"S00159250",108,2,110
"S00159251",92,3,89
"S00159252",81,3,78
"S00159253",79,4,75
"S00159254",66,-,66
"S00159255",88,1,87
"S00159256",97,-,93
"S00159257",129,-,129
"S00159258",84,-,79
"S00159259",94,3,88
"S00159260",121,3,118
"S00159261",79,-,79
"S00159262",65,3,62
"S00159263",70,-,70
"S00159264",91,2,89
"S00159265",128,5,125
"S00159266",79,4,75
"S00159267",114,2,113
"S00159268",111,4,110
"S00159269",78,3,79
"S00159270",95,2,94
"S00159271",82,1,81
"S00159272",103,-,103
"S00159273",78,-,78
"S00159274",56,1,55
"S00159275",116,-,114
"S00159276",90,5,87
"S00159277",92,-,90
"S00159278",92,-,92
"S00159279",67,-,67
"S00159280",76,2,72
"S00159281",90,2,89
"S00159282",98,3,95
"S00159283",77,1,76
"S00159284",82,-,82
"S00159285",108,-,108
"S00159286",85,3,83
"S00159287",60,2,55
"S00159288",81,6,75
"S00159289",98,3,95
"S00159290",83,4,79
"S00159291",94,-,94
"S00159292",130,6,124
"S00159293",122,-,122
"S00159294",91,-,91
"S00159295",104,-,104
"S00159296",100,1,103
"S00159297",67,-,67
"S00159298",118,1,116
"S00159299",101,4,97
"S00159300",114,5,109
"S00159301",97,-,97
"S00159302",73,-,74
"S00159303",67,6,60
"S00159304",108,2,106
"S00159305",100,-,100
"S00159306",119,-,119
"S00159307",72,-,72
"S00159308",71,-,71
"S00159309",108,1,107
"S00159310",97,-,97
"S00159311",142,6,136
"S00159312",65,1,63
"S00159313",77,2,75
"S00159314",63,1,62
"S00159315",182,8,174
"S00159316",80,1,80
"S00159317",90,2,87
"S00159318",85,3,80
"S00159319",74,1,73
"S00159320",79,-,79
"S00159321",79,2,77
"S00159322",76,5,71
"S00159323",102,5,94
"S00159324",63,-,63
"S00159325",72,2,69
"S00159326",154,-,154
"S00159327",63,-,63
"S00159328",102,2,99
"S00159329",102,3,96
"S00159330",122,5,117
"S00159331",65,4,61
"S00159332",93,-,93
"S00159333",75,-,75
"S00159334",65,2,62
"S00159335",78,2,76
"S00159336",102,2,101
"S00159337",76,3,73
"S00159338",78,-,74
"S00159339",149,9,143
"S00159340",102,4,98
"S00159341",97,1,97
"S00159342",128,-,128
"S00159343",81,4,77
"S00159344",1429,4,1425
"S00159345",62,3,59
"S00159346",64,1,63
"S00159347",253,1,252
"S00159348",101,2,95
"S00159349",52,3,54
"S00159350",74,3,71
"S00159351",87,5,82
"S00159352",73,2,71
"S00159353",128,3,122
"S00159354",105,2,101
"S00159355",69,-,69
"S00159356",123,2,121
"S00159357",65,-,65
"S00159358",61,-,61
"S00159359",105,1,102
"S00159360",118,-,118
"S00159361",124,3,121
"S00159362",96,4,92
"S00159363",77,1,75
"S00159364",102,-,101
"S00159365",81,4,77
"S00159366",139,1,138
"S00159367",82,1,81
"S00159368",78,2,77
"S00159369",85,-,85
"S00159370",83,-,83
"S00159371",86,-,86
"S00159372",100,2,99
"S00159373",65,6,60
"S00159374",71,-,71
"S00159375",106,2,100
"S00159376",90,2,88
"S00159377",105,1,101
"S00159378",72,1,74
"S00159379",127,2,126
"S00159380",92,-,92
"S00159381",131,1,130
"S00159382",55,-,55
"S00159383",77,-,77
"S00159384",66,-,66
"S00159385",97,-,97
"S00159386",67,-,67
"S00159387",136,-,128
"S00159388",56,1,55
"S00159389",107,2,105
"S00159390",76,5,71
"S00159391",85,-,85
"S00159392",104,-,104
"S00159393",70,2,69
"S00159394",64,-,64
"S00159395",64,5,61
"S00159396",83,1,82
"S00159397",91,2,89
"S00159398",62,2,61
"S00159399",84,1,83
"S00159400",71,-,71
"S00159401",109,3,106
"S00159402",69,2,66
"S00159403",126,4,124
"S00159404",67,-,65
"S00159405",72,1,71
"S00159406",107,2,104
"S00159407",127,5,122
"S00159408",101,-,101
"S00159409",107,1,106
"S00159410",108,-,108
"S00159411",93,4,95
"S00159412",133,1,132
"S00159413",60,1,57
"S00159414",83,1,81
"S00159415",121,2,118
"S00159416",80,6,75
"S00159417",94,1,93
"S00159418",91,1,90
"S00159419",81,2,79
"S00159420",60,1,59
"S00159421",75,2,72
"S00159422",54,-,54
"S00159423",72,-,69
"S00159424",59,2,57
"S00159425",65,-,65
"S00159426",89,-,89
"S00159427",119,4,115
"S00159428",63,9,54
"S00159429",115,-,115
"S00159430",150,5,145
"S00159431",101,4,97
"S00159432",70,2,66
"S00159433",115,-,115
"S00159434",840,-,840
"S00159435",100,-,100
"S00159436",72,-,72
"S00159437",80,5,75
"S00159438",65,1,67
"S00159439",91,-,91
"S00159440",69,1,68
"S00159441",96,-,96
"S00159442",108,1,107
"S00159443",89,4,85
"S00159444",83,1,80
"S00159445",46,4,42
"S00159446",60,3,59
"S00159447",147,4,143
"S00159448",67,-,67
"S00159449",503,5,500
"S00159450",92,4,88
"S00159451",72,1,71
"S00159452",68,4,64
"S00159453",130,-,130
"S00159454",109,3,107
"S00159455",66,1,65
"S00159456",63,3,61
"S00159457",180,7,173
"S00159458",93,-,93
"S00159459",96,-,96
"S00159460",78,-,78
"S00159461",74,-,74
"S00159462",68,2,67
"S00159463",171,4,162
"S00159464",105,-,105
"S00159465",106,1,103
"S00159466",74,2,72
"S00159467",86,4,86
"S00159468",151,-,151
"S00159469",65,2,61
"S00159470",93,-,93
"S00159471",83,3,80
"S00159472",84,4,77
"S00159473",67,-,67
"S00159474",109,-,109
"S00159475",62,-,62
"S00159476",76,-,76
"S00159477",122,2,119
"S00159478",73,-,73
"S00159479",112,2,110
"S00159480",65,-,64
"S00159481",115,2,117
"S00159482",93,1,93
"S00159483",136,3,133
"S00159484",134,2,136
"S00159485",75,-,75
"S00159486",61,-,61
"S00159487",106,5,97
"S00159488",83,-,83
"S00159489",75,-,75
"S00159490",60,1,59
"S00159491",58,-,57
"S00159492",99,3,97
"S00159493",121,-,120
"S00159494",62,3,61
"S00159495",53,1,52
"S00159496",66,2,64
"S00159497",78,-,78
"S00159498",63,3,61
"S00159499",145,-,141
"S00159500",84,6,78
"S00159501",114,1,110
"S00159502",94,2,93
"S00159503",176,-,176
"S00159504",98,-,98
"S00159505",153,-,153
"S00159506",70,-,69
"S00159507",83,1,85
"S00159508",59,3,56
"S00159509",55,1,54
"S00159510",77,-,77
"S00159511",116,5,114
"S00159512",86,-,85
"S00159513",107,2,105
"S00159514",60,1,58
"S00159515",98,4,97
"S00159516",68,3,69
"S00159517",65,1,67
"S00159518",80,4,74
"S00159519",96,1,99
"S00159520",81,1,80
"S00159521",84,2,83
"S00159522",102,1,101
"S00159523",117,-,117
"S00159524",118,3,115
"S00159525",85,-,84
"S00159526",81,-,81
"S00159527",132,-,132
"S00159528",107,4,103
"S00159529",73,5,70
"S00159530",80,-,79
"S00159531",77,4,75
"S00159532",62,2,58
"S00159533",59,2,58
"S00159534",98,3,95
"S00159535",74,-,74
"S00159536",112,5,110
"S00159537",71,1,70
"S00159538",110,3,107
"S00159539",104,-,104
"S00159540",82,-,81
"S00159541",76,-,76
"S00159542",98,-,98
"S00159543",93,-,93
"S00159544",86,2,84
"S00159545",56,3,53
"S00159546",63,1,58
"S00159547",156,1,151
"S00159548",77,2,75
"S00159549",70,-,70
"S00159550",98,2,96
"S00159551",73,6,67
"S00159552",71,1,71
"S00159553",142,3,135
"S00159554",98,-,98
"S00159555",77,-,77
"S00159556",94,2,92
"S00159557",102,6,96
"S00159558",66,3,61
"S00159559",113,-,113
"S00159560",90,1,89
"S00159561",96,4,93
"S00159562",89,-,89
"S00159563",76,1,75
"S00159564",84,3,82
"S00159565",84,4,80
"S00159566",92,1,91
"S00159567",89,-,88
"S00159568",119,4,115
"S00159569",102,4,100
"S00159570",72,-,72
"S00159571",64,2,62
"S00159572",62,1,65
"S00159573",61,-,60
"S00159574",102,2,98
"S00159575",82,-,82
"S00159576",82,4,77
"S00159577",120,3,117
"S00159578",72,2,68
"S00159579",63,-,63
"S00159580",103,2,99
"S00159581",107,5,102
"S00159582",81,4,79
"S00159583",67,-,67
"S00159584",77,-,77
"S00159585",57,-,57
"S00159586",83,3,80
"S00159587",56,4,52
"S00159588",56,-,56
"S00159589",99,-,99
"S00159590",117,-,117
"S00159591",96,2,96
"S00159592",72,-,71
"S00159593",65,-,65
"S00159594",114,2,112
"S00159595",132,-,132
"S00159596",207,1,206
"S00159597",95,6,93
"S00159598",132,2,128
"S00159599",106,3,106
"S00159600",150,6,144
"S00159601",86,1,85
"S00159602",256,4,252
"S00159603",236,9,227
"S00159604",78,1,77
"S00159605",137,4,135
"S00159606",82,1,81
"S00159607",89,1,88
"S00159608",79,-,79
"S00159609",112,-,112
"S00159610",76,2,74
"S00159611",86,-,86
"S00159612",147,1,146
"S00159613",80,2,78
"S00159614",69,-,69
"S00159615",108,-,108
"S00159616",154,4,150
"S00159617",143,4,139
"S00159618",82,1,80
"S00159619",57,-,55
"S00159620",110,3,104
"S00159621",89,3,89
"S00159622",74,2,76
"S00159623",67,-,67
"S00159624",80,2,78
"S00159625",65,-,65
"S00159626",116,1,115
"S00159627",78,4,76
"S00159628",99,7,92
"S00159629",153,2,148
"S00159630",76,-,76
"S00159631",96,3,96
"S00159632",99,4,97
"S00159633",103,1,102
"S00159634",136,1,133
"S00159635",92,-,92
"S00159636",67,-,67
"S00159637",77,1,77
"S00159638",128,5,123
"S00159639",106,-,106
"S00159640",132,1,131
"S00159641",60,-,60
"S00159642",99,2,97
"S00159643",111,-,111
"S00159644",61,-,61
"S00159645",135,-,135
"S00159646",78,-,78
"S00159647",128,1,127
"S00159648",118,1,117
"S00159649",84,-,84
"S00159650",64,7,59
"S00159651",147,8,139
"S00159652",86,5,81
"S00159653",165,2,161
"S00159654",137,3,134
"S00159655",149,3,146
"S00159656",116,-,115
"S00159657",88,2,86
"S00159658",80,1,79
"S00159659",107,-,107
"S00159660",79,-,79
"S00159661",62,3,59
"S00159662",118,5,111
"S00159663",96,-,96
"S00159664",94,3,91
"S00159665",94,-,94
"S00159666",129,3,126
"S00159667",56,-,56
"S00159668",107,3,104
"S00159669",112,-,112
"S00159670",77,3,74
"S00159671",66,-,66
"S00159672",65,3,62
"S00159673",56,2,56
"S00159674",127,3,124
"S00159675",103,3,103
"S00159676",76,2,75
"S00159677",99,4,95
"S00159678",73,-,73
"S00159679",105,2,103
"S00159680",112,2,110
"S00159681",100,1,99
"S00159682",81,2,79
"S00159683",104,-,104
"S00159684",116,4,112
"S00159685",85,2,83
"S00159686",108,4,104
"S00159687",71,-,71
"S00159688",96,1,91
"S00159689",114,1,113
"S00159690",63,2,61
"S00159691",78,3,71
"S00159692",69,5,70
"S00159693",115,2,116
"S00159694",82,2,80
"S00159695",95,-,95
"S00159696",124,-,124
"S00159697",68,5,63
"S00159698",103,2,101
"S00159699",124,-,124
"S00159700",136,1,137
"S00159701",134,-,128
"S00159702",77,1,76
"S00159703",121,3,118
"S00159704",43,-,43
"S00159705",91,2,89
"S00159706",75,3,73
"S00159707",120,2,122
"S00159708",111,4,107
"S00159709",81,6,75
"S00159710",104,1,103
"S00159711",102,2,101
"S00159712",121,1,123
"S00159713",293,3,290
"S00159714",103,1,99
"S00159715",146,-,146
"S00159716",83,3,81
"S00159717",96,1,93
"S00159718",136,4,132
"S00159719",72,2,74
"S00159720",121,-,119
"S00159721",129,3,126
"S00159722",81,3,78
"S00159723",89,2,87
"S00159724",93,2,92
"S00159725",57,1,59
"S00159726",109,4,105
"S00159727",109,5,105
"S00159728",87,2,87
"S00159729",157,-,157
"S00159730",84,-,84
"S00159731",91,2,93
"S00159732",83,-,83
"S00159733",90,-,90
"S00159734",111,1,110
"S00159735",68,-,68
"S00159736",65,2,63
"S00159737",89,3,86
"S00159738",147,3,140
"S00159739",90,2,87
"S00159740",67,2,65
"S00159741",134,-,134
"S00159742",60,2,58
"S00159743",76,1,74
"S00159744",80,2,78
"S00159745",54,2,52
"S00159746",96,2,91
"S00159747",116,3,113
"S00159748",63,2,61
"S00159749",117,-,117
"S00159750",116,2,110
"S00159751",100,2,98
"S00159752",133,4,129
"S00159753",100,4,96
"S00159754",113,-,113
"S00159755",103,2,103
"S00159756",67,1,66
"S00159757",95,3,97
"S00159758",113,2,112
"S00159759",88,-,88
"S00159760",115,1,114
"S00159761",65,-,65
"S00159762",83,-,83
"S00159763",58,4,56
"S00159764",78,1,78
"S00159765",91,1,89
"S00159766",75,-,75
"S00159767",83,3,82
"S00159768",110,-,110
"S00159769",91,2,89
"S00159770",78,3,75
"S00159771",75,3,72
"S00159772",118,1,117
"S00159773",136,9,127
"S00159774",161,-,161
"S00159775",57,2,55
"S00159776",80,2,78
"S00159777",111,2,111
"S00159778",85,4,82
"S00159779",80,2,79
"S00159780",106,-,106
"S00159781",88,-,88
"S00159782",81,-,81
"S00159783",54,-,53
"S00159784",104,4,100
"S00159785",91,5,84
"S00159786",169,1,168
"S00159787",109,-,109
"S00159788",70,-,70
"S00159789",80,-,80
"S00159790",52,-,48
"S00159791",101,5,96
"S00159792",72,-,72
"S00159793",115,4,113
"S00159794",133,-,133
"S00159795",78,1,77
"S00159796",83,2,81
"S00159797",74,-,72
"S00159798",60,2,55
"S00159799",75,2,71
"S00159800",50,-,50
"S00159801",113,-,113
"S00159802",90,-,90
"S00159803",65,1,64
"S00159804",98,-,98
"S00159805",78,-,78
"S00159806",126,-,126
"S00159807",89,-,89
"S00159808",143,2,141
"S00159809",129,3,126
"S00159810",101,-,101
"S00159811",74,2,73
"S00159812",63,2,60
"S00159813",86,-,86
"S00159814",54,-,54
"S00159815",64,2,61
"S00159816",90,4,86
"S00159817",59,3,56
"S00159818",92,-,92
"S00159819",111,1,109
"S00159820",85,-,85
"S00159821",74,-,74
"S00159822",142,4,139
"S00159823",94,4,90
"S00159824",60,-,60
"S00159825",108,-,107
"S00159826",142,2,138
"S00159827",95,6,89
"S00159828",109,3,107
"S00159829",65,1,66
"S00159830",80,4,77
"S00159831",76,1,71
"S00159832",138,-,138
"S00159833",71,-,71
"S00159834",89,-,89
"S00159835",127,-,125
"S00159836",115,-,115
"S00159837",60,2,58
"S00159838",101,2,99
"S00159839",81,4,77
"S00159840",155,4,153
"S00159841",92,2,89
"S00159842",73,-,71
"S00159843",104,2,102
"S00159844",99,3,96
"S00159845",73,2,72
"S00159846",67,4,63
"S00159847",132,-,131
"S00159848",63,-,61
"S00159849",88,5,83
"S00159850",74,-,74
"S00159851",56,1,52
"S00159852",164,2,163
"S00159853",60,-,60
"S00159854",93,-,93
"S00159855",77,1,76
"S00159856",116,4,112
"S00159857",57,1,56
"S00159858",78,-,78
"S00159859",103,5,95
"S00159860",74,-,74
"S00159861",68,2,70
"S00159862",74,-,74
"S00159863",73,6,68
"S00159864",128,3,125
"S00159865",73,2,71
"S00159866",82,4,80
"S00159867",92,1,91
"S00159868",67,-,69
"S00159869",65,-,64
"S00159870",81,3,77
"S00159871",85,1,91
"S00159872",137,-,137
"S00159873",135,-,135
"S00159874",65,-,65
"S00159875",94,1,93
"S00159876",74,-,72
"S00159877",58,3,55
"S00159878",79,-,79
"S00159879",67,2,66
"S00159880",67,-,67
"S00159881",113,6,109
"S00159882",114,3,112
"S00159883",96,-,96
"S00159884",83,2,84
"S00159885",108,-,107
"S00159886",91,-,91
"S00159887",107,3,105
"S00159888",48,-,48
"S00159889",77,1,76
"S00159890",116,1,115
"S00159891",75,2,73
"S00159892",55,-,55
"S00159893",93,-,93
"S00159894",93,-,94
"S00159895",83,4,81
"S00159896",92,2,90
"S00159897",158,5,153
"S00159898",56,4,54
"S00159899",98,3,95
"S00159900",77,2,75
"S00159901",109,5,107
"S00159902",84,2,82
"S00159903",82,-,82
"S00159904",59,-,59
"S00159905",76,2,74
"S00159906",143,5,138
"S00159907",65,4,61
"S00159908",72,3,68
"S00159909",100,4,100
"S00159910",58,1,57
"S00159911",99,-,99
"S00159912",94,-,92
"S00159913",112,1,109
"S00159914",125,-,125
"S00159915",92,-,92
"S00159916",68,2,67
"S00159917",142,5,137
"S00159918",96,1,95
"S00159919",105,2,106
"S00159920",54,1,53
"S00159921",107,2,106
"S00159922",105,7,101
"S00159923",57,-,57
"S00159924",71,-,71
"S00159925",68,-,68
"S00159926",56,5,55
"S00159927",76,3,73
"S00159928",50,-,50
"S00159929",161,1,159
"S00159930",99,4,97
"S00159931",134,-,134
"S00159932",92,2,90
"S00159933",87,1,86
"S00159934",147,3,142
"S00159935",113,2,112
"S00159936",80,-,79
"S00159937",72,-,71
"S00159938",99,5,95
"S00159939",113,1,112
"S00159940",59,4,57
"S00159941",87,1,89
"S00159942",85,5,80
"S00159943",57,2,55
"S00159944",97,1,96
"S00159945",148,1,150
"S00159946",59,-,59
"S00159947",74,4,70
"S00159948",77,6,71
"S00159949",107,3,100
"S00159950",110,-,110
"S00159951",96,1,97
"S00159952",81,-,81
"S00159953",97,-,97
"S00159954",88,1,90
"S00159955",100,1,99
"S00159956",65,-,65
"S00159957",108,4,105
"S00159958",153,3,144
"S00159959",102,-,102
"S00159960",83,-,82
"S00159961",107,4,103
"S00159962",79,-,79
"S00159963",70,-,70
"S00159964",92,2,94
"S00159965",82,1,81
"S00159966",141,2,138
"S00159967",86,6,80
"S00159968",109,3,106
"S00159969",158,6,152
"S00159970",60,2,56
"S00159971",62,1,61
"S00159972",92,-,92
"S00159973",91,1,91
"S00159974",95,8,89
"S00159975",89,1,88
"S00159976",154,1,148
"S00159977",88,-,87
"S00159978",97,1,97
"S00159979",82,3,79
"S00159980",109,1,108
"S00159981",95,2,93
"S00159982",115,3,113
"S00159983",115,-,115
"S00159984",88,1,91
"S00159985",77,-,77
"S00159986",83,1,82
"S00159987",68,-,68
"S00159988",67,1,66
"S00159989",85,3,82
"S00159990",87,2,85
"S00159991",88,-,88
"S00159992",78,5,74
"S00159993",93,4,93
"S00159994",77,1,76
"S00159995",81,-,81
"S00159996",111,3,111
"S00159997",105,1,102
"S00159998",67,2,65
"S00159999",65,-,64
"S00160000",104,3,101
"S00160001",75,1,72
"S00160002",74,4,73
"S00160003",74,2,72
"S00160004",104,1,103
"S00160005",91,-,91
"S00160006",91,2,89
"S00160007",79,6,74
"S00160008",79,3,76
"S00160009",87,2,86
"S00160010",99,-,99
"S00160011",138,8,130
"S00160012",98,2,96
"S00160013",80,-,80
"S00160014",65,-,65
"S00160015",79,4,76
"S00160016",80,-,79
"S00160017",114,-,114
"S00160018",103,2,101
"S00160019",59,-,59
"S00160020",66,2,67
"S00160021",98,2,96
"S00160022",88,3,89
"S00160023",121,3,118
"S00160024",95,2,95
"S00160025",85,4,81
"S00160026",96,4,95
"S00160027",80,7,76
"S00160028",77,1,76
"S00160029",81,3,77
"S00160030",166,-,166
"S00160031",89,2,87
"S00160032",80,1,79
"S00160033",85,4,85
"S00160034",93,5,88
"S00160035",159,4,155
"S00160036",102,-,99
"S00160037",109,-,107
"S00160038",66,1,65
"S00160039",104,5,99
"S00160040",162,6,156
"S00160041",117,7,110
"S00160042",111,2,109
"S00160043",125,2,123
"S00160044",94,3,91
"S00160045",91,-,91
"S00160046",82,4,78
"S00160047",61,3,58
"S00160048",113,-,109
"S00160049",122,2,120
"S00160050",86,-,86
"S00160051",103,2,100
"S00160052",66,-,66
"S00160053",147,5,142
"S00160054",53,2,54
"S00160055",101,1,100
"S00160056",152,2,149
"S00160057",103,2,102
"S00160058",49,-,49
"S00160059",101,-,100
"S00160060",69,-,69
"S00160061",80,-,80
"S00160062",61,-,61
"S00160063",104,2,105
"S00160064",75,8,67
"S00160065",135,1,127
"S00160066",64,4,64
"S00160067",67,-,65
"S00160068",105,1,104
"S00160069",83,-,83
"S00160070",113,-,113
"S00160071",120,2,117
"S00160072",119,6,115
"S00160073",63,4,61
"S00160074",93,-,96
"S00160075",78,1,77
"S00160076",132,2,130
"S00160077",90,-,90
"S00160078",79,2,77
"S00160079",120,2,119
"S00160080",72,3,67
"S00160081",106,3,103
"S00160082",113,4,109
"S00160083",73,-,73
"S00160084",75,7,68
"S00160085",71,-,71
"S00160086",105,-,106
"S00160087",151,4,146
"S00160088",60,3,58
"S00160089",69,-,69
"S00160090",74,-,74
"S00160091",89,2,87
"S00160092",96,-,96
"S00160093",86,2,84
"S00160094",101,1,101
"S00160095",65,-,67
"S00160096",88,-,88
"S00160097",97,1,96
"S00160098",113,2,110
"S00160099",69,1,71
"S00160100",94,-,96
"S00160101",61,2,59
"S00160102",77,3,70
"S00160103",116,2,115
"S00160104",92,5,87
"S00160105",105,-,103
"S00160106",71,2,70
"S00160107",99,-,99
"S00160108",113,5,113
"S00160109",73,4,69
"S00160110",114,2,112
"S00160111",74,-,74
"S00160112",64,2,60
"S00160113",108,1,102
"S00160114",83,-,79
"S00160115",135,1,136
"S00160116",75,-,75
"S00160117",67,-,67
"S00160118",91,1,93
"S00160119",148,4,139
"S00160120",66,2,64
"S00160121",68,2,66
"S00160122",67,1,68
"S00160123",92,1,91
"S00160124",116,1,115
"S00160125",100,2,97
"S00160126",146,-,146
"S00160127",91,2,93
"S00160128",82,-,82
"S00160129",91,2,89
"S00160130",96,-,96
"S00160131",61,-,61
"S00160132",107,5,102
"S00160133",111,4,107
"S00160134",149,4,145
"S00160135",103,6,97
"S00160136",97,3,98
"S00160137",110,-,110
"S00160138",95,-,95
"S00160139",114,-,114
"S00160140",63,-,62
"S00160141",92,2,90
"S00160142",97,3,94
"S00160143",108,4,99
"S00160144",68,5,65
"S00160145",121,4,120
"S00160146",101,2,99
"S00160147",66,4,62
"S00160148",73,2,71
"S00160149",55,1,54
"S00160150",148,4,144
"S00160151",81,2,80
"S00160152",117,-,117
"S00160153",103,3,100
"S00160154",149,5,144
"S00160155",94,3,95
"S00160156",114,4,111
"S00160157",90,1,86
"S00160158",88,2,86
"S00160159",129,-,128
"S00160160",76,2,74
"S00160161",148,4,140
"S00160162",116,4,115
"S00160163",130,-,130
"S00160164",64,-,64
"S00160165",123,5,118
"S00160166",100,5,95
"S00160167",79,3,80
"S00160168",116,5,116
"S00160169",61,3,61
"S00160170",95,2,93
"S00160171",86,2,78
"S00160172",71,1,67
"S00160173",62,6,56
"S00160174",62,-,60
"S00160175",86,2,84
"S00160176",65,2,65
"S00160177",66,-,65
"S00160178",112,-,112
"S00160179",89,1,88
"S00160180",126,2,124
"S00160181",75,3,71
"S00160182",99,5,95
"S00160183",112,2,110
"S00160184",78,1,77
"S00160185",97,3,94
"S00160186",59,2,62
"S00160187",65,1,64
"S00160188",104,4,102
"S00160189",80,3,75
"S00160190",112,3,109
"S00160191",71,5,71
