Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00166636",144,134,134,-,-,-,-,-,-,10,-
"S00166637",118,104,101,3,-,-,-,-,-,13,-
"S00166638",90,83,83,-,-,-,-,2,-,6,-
"S00166639",127,107,105,1,1,-,3,-,-,17,-
"S00166640",118,104,104,-,-,-,-,-,-,13,-
"S00166641",133,110,110,-,-,-,-,1,-,16,1
"S00166642",143,110,110,-,-,-,-,1,-,34,-
"S00166643",171,148,145,-,-,-,-,-,-,22,1
"S00166644",116,108,108,3,-,-,-,-,-,6,-
"S00166645",111,102,102,-,-,-,-,1,-,8,-
"S00166646",98,88,86,-,2,-,-,-,-,10,-
"S00166647",177,147,145,-,2,-,-,-,-,30,-
"S00166648",143,129,125,-,1,-,-,3,-,14,-
"S00166649",113,97,96,1,-,-,-,-,-,16,-
"S00166650",169,126,124,-,2,-,-,-,-,41,-
"S00166651",168,130,127,-,2,-,-,-,-,38,-
"S00166652",104,97,94,-,3,-,-,-,-,7,-
"S00166653",139,108,109,-,2,-,-,-,-,33,-
"S00166654",137,109,106,-,3,-,-,-,-,27,-
"S00166655",109,88,82,-,4,2,-,-,-,20,1
"S00166656",96,69,65,-,1,-,-,-,-,27,-
"S00166657",117,85,85,-,-,-,-,1,-,31,-
"S00166658",168,133,126,-,4,-,-,2,-,33,-
"S00166659",146,128,128,-,-,-,-,-,1,17,-
"S00166660",72,54,54,-,-,-,-,-,-,17,2
"S00166661",132,83,83,-,-,-,-,-,-,46,-
"S00166662",96,72,68,-,1,-,-,1,-,23,-
"S00166663",118,85,84,-,2,-,-,-,-,32,2
"S00166664",136,102,96,1,5,-,-,1,2,34,-
"S00166665",170,132,123,1,6,-,-,-,1,41,-
"S00166666",58,48,48,-,-,-,-,-,-,11,2
"S00166667",110,94,84,4,2,1,-,-,-,16,-
"S00166668",67,58,56,2,-,-,-,-,-,9,-
"S00166669",84,58,56,-,2,-,-,-,-,22,-
"S00166670",64,53,43,4,4,3,-,-,-,12,-
"S00166671",76,60,58,-,2,-,-,-,-,17,-
"S00166672",108,84,83,2,-,-,-,-,-,23,1
"S00166673",123,73,73,-,-,-,-,-,-,53,-
"S00166674",97,76,75,-,1,-,-,-,-,21,-
"S00166675",178,144,138,4,4,-,-,-,-,33,1
"S00166676",90,60,60,-,-,-,4,-,-,25,1
"S00166677",133,111,108,1,1,1,-,-,-,21,1
"S00166678",114,87,84,-,3,-,-,-,-,27,-
"S00166679",84,61,56,-,4,-,-,-,-,23,-
"S00166680",71,60,58,-,2,-,-,-,-,5,6
"S00166681",127,91,90,1,-,-,-,-,-,37,1
"S00166682",127,87,84,-,1,-,-,-,-,42,1
"S00166683",79,56,55,-,1,-,-,-,-,27,-
"S00166684",74,59,58,-,-,-,-,2,-,13,1
"S00166685",115,99,97,2,1,-,-,2,-,14,-
"S00166686",146,121,121,-,-,-,-,-,-,25,-
"S00166687",119,93,87,-,6,-,-,-,-,26,-
"S00166688",125,109,109,-,-,-,-,-,-,15,-
"S00166689",89,63,61,-,-,-,-,-,-,25,-
"S00166690",73,64,62,1,1,-,-,-,-,9,-
"S00166691",64,63,63,-,-,-,-,-,-,1,-
"S00166692",120,103,100,2,1,-,-,-,1,16,-
"S00166693",100,87,87,-,-,-,-,-,-,13,-
"S00166694",80,68,67,1,-,-,-,-,-,12,-
"S00166695",149,119,114,-,4,1,2,-,-,28,-
"S00166696",98,88,87,2,-,-,-,-,1,9,-
"S00166697",170,142,141,1,-,-,-,-,-,27,1
"S00166698",93,83,82,-,1,-,-,-,-,10,-
"S00166699",96,68,67,1,-,-,-,-,-,27,2
"S00166700",92,68,62,-,6,-,-,-,1,23,-
"S00166701",98,86,86,-,-,-,-,-,-,11,-
"S00166702",141,117,114,-,3,-,-,-,-,26,1
"S00166703",123,114,114,-,-,-,-,-,-,9,-
"S00166704",65,57,58,-,1,-,-,-,-,4,1
"S00166705",124,102,102,-,-,-,-,-,-,21,1
"S00166706",96,85,82,1,2,-,-,1,-,10,-
"S00166707",62,55,55,-,-,-,-,-,-,6,-
"S00166708",125,110,108,2,-,-,-,-,-,15,-
"S00166709",87,75,75,-,-,-,-,-,-,10,1
"S00166710",85,72,70,-,1,-,-,-,-,10,-
"S00166711",172,136,132,1,4,-,-,-,-,35,-
"S00166712",82,71,71,-,-,-,1,2,-,10,-
"S00166713",116,99,99,4,1,-,-,1,-,15,1
"S00166714",104,94,94,-,-,-,-,-,-,9,1
"S00166715",95,83,81,1,-,-,-,-,-,10,-
"S00166716",105,78,78,-,-,-,-,-,-,26,1
"S00166717",148,121,115,1,5,-,-,-,-,26,-
"S00166718",133,109,109,-,-,-,-,-,-,25,-
"S00166719",142,113,110,1,1,-,-,-,-,29,-
"S00166720",87,79,78,1,-,-,-,-,-,6,2
"S00166721",160,116,110,-,4,-,-,-,-,44,-
"S00166722",78,72,72,-,-,-,-,-,-,5,1
"S00166723",75,57,58,2,-,-,1,-,-,11,3
"S00166724",168,148,148,-,-,-,-,-,-,20,-
"S00166725",186,170,168,-,-,2,-,-,-,16,-
"S00166726",132,87,84,-,2,-,-,-,-,44,-
"S00166727",167,140,140,-,-,-,-,-,-,27,-
"S00166728",134,118,114,2,4,-,-,-,-,15,1
"S00166729",154,141,135,-,2,-,-,-,-,13,-
"S00166730",103,71,71,-,-,-,-,-,-,32,-
"S00166731",115,104,103,-,1,-,-,-,-,11,-
"S00166732",163,106,105,1,-,-,-,-,-,57,-
"S00166733",92,72,72,-,-,-,-,-,-,20,-
"S00166734",100,62,65,-,-,1,-,-,-,36,-
"S00166735",103,58,58,-,-,-,-,-,-,43,-
"S00166736",87,69,65,-,-,-,-,-,-,20,-
"S00166737",102,76,74,-,2,-,-,-,-,25,-
"S00166738",101,66,66,-,-,-,-,-,-,35,-
"S00166739",101,68,68,-,-,-,-,-,-,33,-
"S00166740",89,57,55,1,1,-,-,-,-,32,-
"S00166741",119,100,100,-,4,-,-,-,-,19,-
"S00166742",78,61,63,1,-,-,-,-,-,17,-
"S00166743",82,75,74,-,4,-,-,-,-,2,-
"S00166744",155,91,90,-,1,-,-,1,-,63,-
"S00166745",67,58,58,-,-,-,-,-,-,7,-
"S00166746",168,110,110,-,-,-,-,-,-,55,-
"S00166747",74,55,55,-,-,-,-,-,-,19,-
"S00166748",92,75,75,-,-,-,-,4,-,14,1
"S00166749",66,57,59,-,-,-,-,-,-,6,-
"S00166750",104,91,90,-,1,-,-,-,-,8,1
"S00166751",97,74,77,1,-,-,-,-,-,18,-
"S00166752",83,62,61,-,2,-,-,-,-,21,-
"S00166753",88,70,70,-,-,-,-,-,1,17,-
"S00166754",90,63,63,-,-,-,-,-,-,30,-
"S00166755",153,124,122,3,-,-,-,-,1,23,1
"S00166756",61,51,47,3,1,-,-,-,-,10,-
"S00166757",97,73,70,-,2,-,-,1,-,20,-
"S00166758",94,65,66,-,1,-,-,-,-,26,-
"S00166759",124,102,101,1,-,2,-,-,-,19,-
"S00166760",90,80,79,-,-,-,-,-,-,10,-
"S00166761",95,68,64,-,5,-,-,-,-,26,-
"S00166762",171,141,141,1,-,-,-,1,-,29,-
"S00166763",124,94,94,-,-,-,-,-,-,30,-
"S00166764",126,104,104,-,-,-,-,-,-,22,-
"S00166765",112,101,96,-,-,-,-,1,-,14,-
"S00166766",124,93,91,2,1,-,-,-,-,30,-
"S00166767",113,76,73,-,2,-,-,-,-,38,-
"S00166768",63,50,49,-,2,-,-,-,-,13,-
"S00166769",137,100,102,2,-,-,-,-,-,34,-
"S00166770",131,94,91,-,3,-,-,-,-,37,-
"S00166771",62,51,50,1,-,-,-,-,-,11,-
"S00166772",100,90,90,-,1,-,-,-,-,11,-
"S00166773",159,117,114,4,1,-,-,-,-,45,-
"S00166774",152,137,139,-,1,-,-,-,-,11,-
"S00166775",147,103,96,-,9,-,-,1,-,43,-
"S00166776",158,122,122,-,-,-,-,-,-,35,-
"S00166777",157,93,96,-,-,-,-,-,-,60,-
"S00166778",90,68,65,-,1,1,-,-,-,22,-
"S00166779",74,54,54,-,-,-,-,-,-,20,-
"S00166780",195,148,145,-,-,1,-,-,-,47,-
"S00166781",163,142,142,-,-,-,-,-,-,19,2
"S00166782",93,53,52,-,1,-,-,-,-,40,-
"S00166783",60,43,43,-,-,-,-,-,-,17,-
"S00166784",173,141,127,1,13,-,-,-,-,32,-
"S00166785",113,73,71,-,2,-,-,-,1,39,-
"S00166786",116,95,93,-,2,-,-,-,-,21,-
"S00166787",126,95,95,-,-,-,1,1,-,29,-
"S00166788",132,81,80,1,-,-,-,-,-,51,-
"S00166789",177,131,131,-,-,-,-,-,1,45,-
"S00166790",145,111,108,-,2,-,-,-,-,34,-
"S00166791",82,62,59,-,3,-,-,-,-,20,-
"S00166792",116,104,104,-,-,-,-,-,-,16,-
"S00166793",63,41,41,-,-,-,-,-,-,22,-
"S00166794",64,40,40,-,-,-,-,-,-,24,-
"S00166795",98,79,79,-,-,-,1,-,-,18,-
"S00166796",132,87,87,-,-,-,-,-,-,45,-
"S00166797",131,106,104,-,2,-,-,-,-,25,-
"S00166798",99,59,52,1,5,1,-,-,-,39,1
"S00166799",109,79,77,-,-,2,1,-,-,25,-
"S00166800",80,54,54,-,-,-,-,-,-,28,-
"S00166801",146,94,92,-,-,-,-,-,-,48,-
"S00166802",99,60,60,-,-,-,-,-,-,38,-
"S00166803",67,41,41,-,-,-,-,-,-,26,-
"S00166804",112,88,90,-,2,-,-,-,-,23,1
"S00166805",135,113,113,-,-,-,-,-,-,21,-
"S00166806",107,67,66,-,1,-,-,1,-,39,-
"S00166807",101,60,63,-,1,-,-,-,4,36,-
"S00166808",89,57,57,-,-,-,-,-,-,32,-
"S00166809",98,69,69,-,-,-,-,-,-,32,-
"S00166810",120,75,71,-,4,-,-,2,-,42,1
"S00166811",93,71,71,-,-,-,-,-,-,22,-
"S00166812",91,67,66,-,1,-,-,-,-,24,-
"S00166813",109,79,74,-,3,-,-,-,-,29,-
"S00166814",81,55,54,-,-,-,1,-,-,25,-
"S00166815",107,68,63,-,2,-,-,-,-,39,-
"S00166816",95,75,75,-,-,-,-,-,-,20,-
"S00166817",95,57,53,-,2,-,-,-,-,39,1
"S00166818",94,74,76,-,1,-,-,-,-,20,-
"S00166819",94,61,61,-,-,-,-,-,-,33,-
"S00166820",74,40,39,-,1,-,-,-,-,34,-
"S00166821",66,37,37,-,1,-,-,-,-,27,-
"S00166822",101,77,77,-,-,-,-,-,-,24,-
"S00166823",107,72,72,-,-,-,-,-,-,35,-
"S00166824",188,173,168,-,4,-,-,-,-,16,-
"S00166825",96,55,55,-,-,-,-,-,-,34,-
"S00166826",66,45,44,-,1,-,-,-,-,21,-
"S00166827",77,57,57,-,-,-,2,-,-,17,-
"S00166828",121,81,81,-,-,-,-,-,-,40,-
"S00166829",67,44,44,-,-,-,-,-,-,21,-
"S00166830",106,54,54,-,-,-,-,-,-,52,-
"S00166831",70,50,46,-,6,-,1,-,-,19,-
"S00166832",101,71,71,-,-,-,-,-,-,29,-
"S00166833",102,80,79,-,-,-,-,-,-,22,-
"S00166834",73,53,53,-,-,-,-,-,-,19,1
"S00166835",93,57,57,-,-,-,-,-,-,36,-
"S00166836",113,88,88,-,-,-,-,-,-,22,1
"S00166837",151,125,125,-,-,-,-,-,-,29,-
"S00166838",148,118,117,-,-,1,-,-,-,30,-
"S00166839",165,133,127,-,2,-,-,-,-,34,2
"S00166840",131,69,69,-,-,-,-,-,-,62,-
"S00166841",102,65,68,1,-,-,-,-,-,37,-
"S00166842",66,38,38,-,-,-,-,-,-,28,-
"S00166843",196,165,164,-,1,-,-,1,-,27,-
"S00166844",86,69,69,-,-,-,-,-,-,17,-
"S00166845",122,98,97,-,2,-,-,-,-,25,-
"S00166846",71,50,50,-,-,-,-,-,-,21,-
"S00166847",138,119,119,-,-,-,-,-,-,19,-
"S00166848",148,119,119,-,-,-,-,-,-,26,-
"S00166849",67,61,61,-,-,-,-,-,-,8,-
"S00166850",93,59,59,-,-,-,-,-,-,34,-
"S00166851",95,75,75,-,-,-,-,-,-,20,-
"S00166852",170,136,136,-,-,-,1,-,-,34,-
"S00166853",140,114,113,-,1,-,-,-,-,26,-
"S00166854",87,68,68,-,-,-,-,-,-,19,-
"S00166855",62,48,48,-,-,-,-,-,-,10,-
"S00166856",148,120,119,-,-,1,-,-,-,28,-
"S00166857",118,73,73,-,-,-,-,-,-,45,-
"S00166858",72,45,43,-,-,-,-,-,-,27,-
"S00166859",113,93,93,-,-,-,-,-,-,20,-
"S00166860",186,149,144,-,1,-,-,-,-,38,-
"S00166861",134,104,103,-,1,-,2,-,-,29,-
"S00166862",78,56,53,-,-,1,-,-,-,24,-
"S00166863",102,73,73,-,-,-,-,-,-,29,-
"S00166864",93,69,66,-,4,-,-,-,-,23,-
"S00166865",121,81,78,-,3,-,-,-,-,40,-
"S00166866",122,91,91,1,-,2,-,-,-,29,-
"S00166867",173,153,152,-,1,1,-,-,-,16,-
"S00166868",72,59,59,-,-,-,-,-,-,11,-
"S00166869",91,65,65,-,-,-,-,-,-,23,-
"S00166870",121,100,100,-,-,-,-,-,-,21,-
"S00166871",83,53,51,-,3,-,-,-,-,31,-
"S00166872",84,67,66,-,1,-,-,-,-,16,-
"S00166873",66,54,54,-,-,-,-,-,-,12,-
"S00166874",155,129,129,-,-,-,-,-,-,25,-
"S00166875",86,76,76,-,-,-,-,-,-,11,-
"S00166876",121,104,103,-,1,-,-,-,2,15,1
"S00166877",102,87,87,-,-,-,-,-,-,13,-
"S00166878",119,95,95,-,-,-,-,-,1,21,-
"S00166879",124,112,113,-,2,-,-,-,-,10,-
"S00166880",109,90,87,2,1,-,-,-,-,19,-
"S00166881",161,116,108,-,4,-,-,-,-,51,-
"S00166882",125,116,116,-,-,-,-,-,-,12,-
"S00166883",149,125,125,-,-,-,2,1,-,16,-
"S00166884",125,96,96,-,-,-,1,-,-,28,-
"S00166885",88,78,77,-,1,-,-,-,-,9,1
"S00166886",129,98,98,-,-,-,-,-,-,27,-
"S00166887",173,133,132,-,2,-,-,-,-,41,-
"S00166888",67,40,32,2,-,-,-,-,-,27,-
"S00166889",101,75,74,-,1,-,-,-,-,26,-
"S00166890",119,81,80,-,1,-,-,-,-,38,-
"S00166891",176,133,133,-,-,-,-,-,-,43,-
"S00166892",106,97,96,-,1,-,-,-,-,9,-
"S00166893",152,116,116,1,-,-,-,-,-,34,-
"S00166894",214,157,157,-,-,-,-,-,-,57,-
"S00166895",78,69,69,-,-,-,-,-,-,9,-
"S00166896",116,92,91,1,-,-,-,1,-,23,-
"S00166897",100,55,55,-,-,-,-,-,-,45,-
"S00166898",86,56,56,-,-,-,-,-,-,30,-
"S00166899",63,53,53,-,-,-,-,-,-,11,1
"S00166900",75,56,58,-,3,-,1,-,-,18,-
"S00166901",137,110,103,-,4,1,-,1,-,29,-
"S00166902",84,54,52,-,2,-,-,1,-,29,-
"S00166903",97,56,56,-,-,-,-,-,-,41,-
"S00166904",136,98,98,-,-,-,-,-,-,38,-
"S00166905",129,94,94,-,-,-,-,-,-,35,-
"S00166906",227,197,194,-,3,-,-,1,-,29,-
"S00166907",85,68,68,-,-,-,-,1,-,16,-
"S00166908",122,48,48,-,-,-,-,-,1,72,1
"S00166909",64,41,41,-,-,-,-,-,-,23,-
"S00166910",129,57,57,-,-,-,-,2,-,70,-
"S00166911",104,69,69,-,-,-,-,-,-,32,-
"S00166912",157,101,101,-,-,-,-,-,-,60,-
"S00166913",80,50,50,-,-,-,-,-,-,34,-
"S00166914",71,45,45,-,-,-,-,-,-,27,-
"S00166915",106,73,68,-,-,-,-,-,-,37,-
"S00166916",87,55,55,-,-,-,-,-,-,29,-
"S00166917",144,97,96,-,1,-,-,-,-,47,-
"S00166918",85,52,52,-,-,-,-,-,-,36,-
"S00166919",125,103,100,-,3,-,-,-,-,21,2
"S00166920",89,56,54,-,3,-,-,1,-,32,-
"S00166921",93,78,78,-,-,-,-,-,-,15,-
"S00166922",123,77,72,-,1,-,-,2,-,47,-
"S00166923",115,94,94,-,-,-,-,-,-,21,-
"S00166924",147,121,115,2,-,-,-,-,-,26,-
"S00166925",138,114,114,-,-,-,-,2,-,23,-
"S00166926",124,106,106,-,-,-,-,-,-,15,-
"S00166927",124,102,104,1,-,-,5,-,-,17,-
"S00166928",152,124,121,-,2,1,-,-,-,27,1
"S00166929",108,95,95,-,-,-,-,-,-,13,-
"S00166930",105,91,90,-,-,-,-,-,-,13,1
"S00166931",128,114,110,-,1,-,-,-,-,13,1
"S00166932",78,66,66,-,-,-,-,-,-,12,-
"S00166933",86,65,63,-,2,-,-,-,-,19,4
"S00166934",112,103,97,-,2,-,-,2,1,7,-
"S00166935",123,116,108,6,2,-,-,-,-,6,-
"S00166936",87,65,64,-,1,-,-,-,-,14,1
"S00166937",123,106,105,-,1,-,-,-,-,9,1
"S00166938",102,91,90,-,1,-,-,-,-,11,-
"S00166939",86,69,70,-,1,-,-,-,-,10,1
"S00166940",106,88,85,3,-,-,-,-,-,22,-
"S00166941",90,72,72,-,-,-,4,-,-,14,-
"S00166942",114,97,97,1,-,-,-,-,-,11,-
"S00166943",87,74,73,-,2,-,-,-,-,13,-
"S00166944",90,77,77,-,-,-,-,-,-,13,-
"S00166945",77,63,63,-,-,-,-,-,-,14,-
"S00166946",69,58,56,-,2,2,-,-,-,10,-
"S00166947",86,85,82,1,1,-,-,-,-,2,-
"S00166948",63,53,53,-,-,-,-,-,-,10,-
"S00166949",73,60,59,-,1,-,-,-,1,12,-
"S00166950",92,72,71,-,-,-,-,-,-,20,-
"S00166951",93,85,89,1,-,-,-,-,-,6,-
"S00166952",103,76,76,-,-,-,-,-,-,27,-
"S00166953",115,98,95,4,-,-,-,-,-,17,-
"S00166954",118,92,91,-,1,-,-,-,-,26,-
"S00166955",157,146,142,-,1,-,1,-,-,12,1
"S00166956",73,51,50,-,1,-,-,-,-,22,-
"S00166957",179,145,144,-,1,-,-,2,-,34,1
"S00166958",67,54,54,-,-,-,-,-,-,13,-
"S00166959",185,150,146,-,4,-,-,-,-,35,-
"S00166960",130,102,100,1,1,-,-,-,-,28,-
"S00166961",160,145,148,2,-,-,-,-,-,15,-
"S00166962",88,82,81,-,1,-,-,-,-,6,-
"S00166963",151,129,129,-,-,-,-,1,-,16,-
"S00166964",119,99,99,-,-,-,1,1,-,14,-
"S00166965",126,94,94,-,-,-,-,-,-,32,-
"S00166966",150,125,123,-,2,-,-,-,-,19,4
"S00166967",101,90,88,-,2,-,-,-,-,9,1
"S00166968",160,137,135,1,1,-,-,-,-,23,-
"S00166969",129,120,118,-,2,-,-,-,-,6,-
"S00166970",110,93,91,-,2,-,-,-,-,14,3
"S00166971",181,149,146,-,4,-,-,-,-,30,2
"S00166972",97,84,81,-,3,-,-,-,-,13,-
"S00166973",253,217,215,1,1,-,-,-,-,37,-
"S00166974",115,99,95,-,4,-,1,-,-,16,-
"S00166975",105,93,92,1,-,-,-,-,-,7,-
"S00166976",200,180,180,-,-,-,-,-,-,23,-
"S00166977",135,108,105,-,2,1,-,2,-,27,-
"S00166978",115,110,110,-,1,-,-,-,-,4,-
"S00166979",122,103,103,-,-,-,-,1,-,24,-
"S00166980",253,219,218,-,-,-,-,-,-,31,-
"S00166981",187,164,163,-,1,-,-,-,-,23,-
"S00166982",72,60,58,2,-,-,-,-,-,12,-
"S00166983",127,98,93,-,5,-,-,2,-,26,-
"S00166984",162,145,143,-,2,-,-,-,-,14,2
"S00166985",147,129,125,-,1,-,3,-,-,23,-
"S00166986",112,91,89,1,1,-,-,-,-,21,-
"S00166987",120,108,108,-,-,-,-,1,-,10,-
"S00166988",152,142,140,-,4,-,-,-,-,10,-
"S00166989",96,77,77,-,-,-,-,-,-,18,-
"S00166990",161,102,102,-,-,-,-,-,-,59,-
"S00166991",145,132,132,-,-,-,-,-,-,12,1
"S00166992",139,108,108,-,-,-,-,-,-,29,-
"S00166993",131,118,115,-,4,-,-,1,-,12,-
"S00166994",131,110,110,-,-,-,-,-,-,19,-
"S00166995",99,65,65,-,-,-,-,-,-,34,-
"S00166996",80,69,69,-,-,-,-,-,-,7,-
"S00166997",146,100,100,-,-,-,-,-,-,46,-
"S00166998",131,79,79,-,-,-,-,-,-,52,-
"S00166999",107,89,88,1,-,-,-,-,1,17,-
"S00167000",127,107,106,-,1,-,-,-,-,20,-
"S00167001",161,152,150,-,2,1,-,1,-,8,-
"S00167002",163,138,131,3,4,-,-,-,-,25,-
"S00167003",119,111,109,-,2,-,-,-,-,8,-
"S00167004",137,105,93,-,12,-,-,-,-,32,-
"S00167005",137,103,99,-,4,-,-,-,-,34,-
"S00167006",148,109,108,-,-,-,-,-,-,39,-
"S00167007",90,65,64,-,1,-,-,-,-,25,-
"S00167008",98,89,88,-,1,-,-,1,-,9,-
"S00167009",128,107,107,-,-,-,-,-,-,21,-
"S00167010",137,117,114,-,1,1,-,-,-,20,-
"S00167011",126,93,93,-,-,-,-,-,-,30,-
"S00167012",122,79,78,2,-,-,-,-,-,41,-
"S00167013",111,62,63,-,-,-,-,-,-,47,-
"S00167014",141,113,112,-,-,-,-,-,-,28,-
"S00167015",201,193,192,-,-,-,-,1,-,6,-
"S00167016",95,67,67,-,-,-,-,-,-,28,-
"S00167017",128,123,123,-,-,-,-,-,-,5,-
"S00167018",104,70,70,-,-,-,-,-,-,35,-
"S00167019",102,74,74,-,-,-,-,-,-,28,-
"S00167020",98,61,61,-,-,-,-,-,-,34,-
"S00167021",98,64,64,-,-,-,-,-,-,34,-
"S00167022",169,120,120,-,-,-,-,-,-,48,-
"S00167023",84,66,66,-,-,-,-,-,-,17,-
"S00167024",110,79,79,-,-,-,-,-,-,31,-
"S00167025",93,82,82,-,-,-,-,-,-,11,-
"S00167026",160,141,141,-,-,-,-,-,-,14,-
"S00167027",103,69,66,2,1,-,-,-,-,34,-
"S00167028",117,96,95,-,1,-,-,-,-,21,-
"S00167029",82,64,63,-,1,-,-,-,-,18,-
"S00167030",86,71,70,2,-,-,-,-,-,15,-
"S00167031",108,65,62,-,3,-,-,-,-,44,-
"S00167032",127,110,107,-,3,-,-,-,-,17,-
"S00167033",109,102,100,-,-,-,-,-,-,8,-
"S00167034",79,72,72,-,-,-,1,-,-,5,-
"S00167035",126,80,77,-,3,-,-,-,-,43,2
"S00167036",146,126,126,-,-,-,-,-,-,15,1
"S00167037",109,73,73,-,-,-,-,-,-,33,-
"S00167038",87,69,69,-,-,-,-,-,-,18,-
"S00167039",153,132,132,-,-,-,-,-,-,21,-
"S00167040",183,132,132,-,-,-,-,-,-,47,-
"S00167041",161,107,107,-,-,-,1,-,-,57,-
"S00167042",78,75,75,-,-,-,-,-,-,4,-
"S00167043",90,67,67,-,-,-,-,-,-,23,-
"S00167044",86,73,73,-,-,-,-,-,-,14,-
"S00167045",88,63,61,-,2,-,1,-,-,24,-
"S00167046",113,84,84,-,-,-,-,-,-,29,-
"S00167047",152,121,121,2,1,-,-,-,-,36,-
"S00167048",113,78,78,-,-,-,-,-,-,35,-
"S00167049",122,91,91,-,-,-,-,-,-,32,-
"S00167050",88,66,63,-,2,-,-,-,-,22,-
"S00167051",75,65,65,-,-,-,-,-,-,10,-
"S00167052",154,113,113,-,-,-,-,-,-,41,-
"S00167053",80,67,64,-,2,1,-,-,-,12,1
"S00167054",163,141,141,-,-,-,-,-,-,22,-
"S00167055",99,76,75,-,1,-,-,-,-,21,-
"S00167056",131,117,117,-,-,-,-,-,-,14,-
"S00167057",125,97,97,-,-,-,-,-,-,28,-
"S00167058",192,162,160,-,2,-,-,2,-,27,-
"S00167059",96,71,70,1,-,-,-,-,-,29,-
"S00167060",179,156,154,2,2,-,-,-,-,26,-
"S00167061",159,135,133,2,1,-,-,-,-,24,-
"S00167062",114,104,103,1,-,-,-,-,-,8,-
"S00167063",141,103,103,-,-,-,-,-,-,37,-
"S00167064",150,122,124,2,-,-,-,-,-,28,-
"S00167065",136,110,110,-,-,-,-,-,-,26,-
"S00167066",72,59,59,-,-,-,-,-,-,13,-
"S00167067",148,112,112,-,-,-,-,-,-,36,-
"S00167068",109,93,92,1,-,-,-,-,-,14,2
"S00167069",82,64,64,-,-,-,-,-,-,14,-
"S00167070",99,71,70,-,1,-,-,2,-,26,-
"S00167071",68,49,48,-,1,-,-,-,-,19,-
"S00167072",137,126,126,-,-,-,-,-,-,12,-
"S00167073",99,71,74,-,1,-,-,1,-,26,-
"S00167074",86,71,71,-,-,-,-,-,-,15,-
"S00167075",95,83,83,-,-,-,-,-,1,11,-
"S00167076",164,149,143,-,6,-,-,2,-,13,-
"S00167077",196,161,160,2,-,-,-,-,-,34,1
"S00167078",79,52,52,-,-,-,-,-,-,25,-
"S00167079",97,62,62,-,-,-,-,-,-,35,-
"S00167080",172,156,156,-,-,-,-,4,-,11,-
"S00167081",125,104,98,2,1,-,-,1,-,19,4
"S00167082",84,54,54,-,-,-,-,-,-,30,-
"S00167083",67,45,44,-,1,-,-,-,-,21,-
"S00167084",90,67,65,3,-,-,-,1,-,22,-
"S00167085",74,56,48,-,5,-,-,-,-,18,-
"S00167086",74,68,68,-,-,-,-,-,-,7,-
"S00167087",109,76,74,-,2,-,-,-,-,31,-
"S00167088",88,64,63,-,1,-,-,1,-,22,-
"S00167089",138,119,116,-,3,-,-,-,-,19,-
"S00167090",91,63,63,-,-,-,-,-,-,27,1
"S00167091",101,73,75,-,2,-,-,-,-,26,-
"S00167092",98,85,83,1,-,-,-,-,-,10,1
"S00167093",103,89,88,-,1,-,-,-,-,17,-
"S00167094",72,56,56,-,-,-,-,-,-,16,-
"S00167095",64,47,46,-,-,-,-,2,-,16,-
"S00167096",138,93,93,-,-,-,-,-,-,44,-
"S00167097",175,128,127,-,2,-,-,-,-,47,-
"S00167098",158,144,144,-,-,-,-,-,-,14,-
"S00167099",67,46,46,-,-,-,-,-,-,22,-
"S00167100",112,86,83,-,2,-,-,-,-,26,-
"S00167101",136,113,113,-,-,-,-,-,-,19,-
"S00167102",78,49,49,-,-,-,-,4,-,27,-
"S00167103",89,71,65,2,-,-,-,-,-,17,2
"S00167104",81,61,61,-,-,-,-,-,-,20,-
"S00167105",165,131,127,1,-,-,-,-,-,37,-
"S00167106",154,116,115,-,1,-,-,-,-,37,1
"S00167107",93,76,76,-,-,-,-,-,-,16,1
"S00167108",126,102,97,-,2,-,-,-,-,24,-
"S00167109",125,106,106,-,-,-,-,-,-,21,-
"S00167110",133,121,119,-,2,-,-,-,-,13,-
"S00167111",137,81,81,-,-,-,-,-,-,55,1
"S00167112",86,59,59,-,-,-,-,-,-,25,-
"S00167113",116,81,80,-,2,-,-,-,1,32,-
"S00167114",99,62,58,-,2,-,-,-,-,37,-
"S00167115",120,81,81,-,-,-,-,1,-,38,-
"S00167116",184,134,128,-,1,-,-,-,-,51,1
"S00167117",87,65,65,-,-,-,-,-,-,22,-
"S00167118",157,91,91,-,-,-,-,2,-,63,-
"S00167119",147,95,95,-,-,-,-,-,-,53,-
"S00167120",106,72,71,-,-,2,-,-,-,34,-
"S00167121",155,150,145,2,3,-,-,-,-,9,-
"S00167122",155,135,134,-,-,1,-,-,-,20,-
"S00167123",121,102,102,-,-,-,-,-,-,17,-
"S00167124",68,53,52,1,-,-,-,-,-,15,-
"S00167125",139,107,107,-,-,-,2,-,-,30,-
"S00167126",162,106,109,-,1,-,-,-,-,52,-
"S00167127",75,60,60,-,-,-,-,-,-,15,-
"S00167128",69,56,56,-,-,-,-,-,-,13,-
"S00167129",116,96,96,-,-,-,1,1,-,18,-
"S00167130",109,84,83,2,-,-,-,-,-,25,-
