Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00135526",106,94,89,2,4,-,-,2,-,12,-
"S00135527",72,57,46,-,11,-,-,-,-,15,-
"S00135528",165,133,125,-,8,-,-,-,-,39,-
"S00135529",139,125,119,-,6,-,-,-,-,14,-
"S00135530",87,72,72,-,-,-,4,-,-,12,2
"S00135531",99,84,80,-,4,-,2,1,-,13,-
"S00135532",103,96,92,2,3,-,-,-,-,5,1
"S00135533",131,117,106,2,10,-,-,3,-,10,1
"S00135534",112,101,100,-,-,-,2,-,-,8,-
"S00135535",234,143,135,2,5,-,9,1,-,83,-
"S00135536",191,169,161,2,4,-,1,1,-,21,-
"S00135537",146,127,122,-,5,-,-,2,-,17,2
"S00135538",91,71,69,-,2,-,-,-,-,16,-
"S00135539",84,62,59,-,3,-,-,-,-,22,-
"S00135540",143,120,107,2,11,-,1,1,-,21,-
"S00135541",78,64,63,-,1,-,-,1,-,8,-
"S00135542",182,145,107,-,38,-,7,4,-,26,-
"S00135543",180,138,130,1,5,1,9,4,-,30,-
"S00135544",99,84,78,1,5,-,-,-,-,15,-
"S00135545",132,109,109,-,-,-,-,1,-,22,-
"S00135546",88,64,62,-,1,2,-,4,-,20,-
"S00135547",188,163,157,-,5,-,12,3,-,16,-
"S00135548",88,72,72,-,-,-,-,2,-,14,-
"S00135549",64,52,50,-,2,-,-,-,-,13,-
"S00135550",123,80,76,-,8,-,2,1,-,37,-
"S00135551",127,102,91,-,11,-,-,2,-,22,-
"S00135552",133,119,100,2,16,-,3,-,-,12,-
"S00135553",207,184,183,-,1,-,-,-,-,24,-
"S00135554",86,72,68,1,2,-,-,-,-,14,-
"S00135555",166,155,146,-,9,-,1,-,-,10,-
"S00135556",101,87,85,-,1,-,-,-,2,13,-
"S00135557",91,73,55,-,18,-,-,4,-,14,-
"S00135558",150,125,123,-,6,-,-,1,-,24,-
"S00135559",105,91,90,-,4,-,3,1,-,10,-
"S00135560",107,89,86,-,3,-,-,-,-,14,4
"S00135561",94,64,51,-,13,-,-,-,-,29,-
"S00135562",92,69,65,-,3,-,1,-,-,21,-
"S00135563",61,50,33,-,15,2,-,-,-,11,-
"S00135564",104,89,88,1,-,-,-,-,-,15,-
"S00135565",71,63,58,-,5,-,-,-,-,8,-
"S00135566",100,87,86,-,2,-,-,-,-,14,-
"S00135567",126,104,96,-,8,-,-,-,-,22,-
"S00135568",155,127,123,-,4,-,4,-,-,29,-
"S00135569",104,76,71,-,6,-,-,-,-,28,-
"S00135570",111,105,103,2,2,-,-,-,-,2,-
"S00135571",106,83,74,4,5,-,-,-,-,22,1
"S00135572",122,96,91,2,3,-,-,1,-,24,1
"S00135573",107,87,80,2,6,-,-,-,-,20,-
"S00135574",99,75,61,-,8,-,-,-,-,24,-
"S00135575",147,115,104,-,11,-,-,-,-,31,1
"S00135576",128,87,77,-,10,-,-,-,-,40,1
"S00135577",129,105,89,-,19,-,4,4,-,13,-
"S00135578",116,98,97,-,1,1,-,-,-,20,-
"S00135579",88,70,66,2,5,-,2,3,-,13,-
"S00135580",140,116,103,-,13,-,-,1,-,23,-
"S00135581",129,120,116,-,4,-,-,-,-,8,-
"S00135582",84,81,76,-,2,-,-,-,-,6,-
"S00135583",139,115,110,-,9,-,1,4,-,20,-
"S00135584",127,96,90,-,6,-,-,1,-,28,-
"S00135585",114,100,88,-,12,-,-,-,-,8,-
"S00135586",119,101,97,-,4,-,6,2,-,11,-
"S00135587",72,60,59,-,1,-,-,2,-,8,-
"S00135588",87,76,63,1,11,-,-,1,-,10,-
"S00135589",85,70,64,-,7,-,1,-,-,13,1
"S00135590",88,75,73,-,2,1,2,1,-,9,2
"S00135591",81,69,63,-,6,-,-,-,-,11,-
"S00135592",116,108,108,-,-,-,-,-,-,11,-
"S00135593",91,83,81,-,2,-,-,-,-,7,-
"S00135594",100,85,77,1,7,-,-,-,-,15,-
"S00135595",150,127,120,-,7,-,-,-,-,23,-
"S00135596",207,160,136,-,19,5,-,3,-,44,-
"S00135597",134,80,69,-,8,-,4,1,-,49,-
"S00135598",91,70,72,1,1,-,-,2,-,21,1
"S00135599",129,102,86,2,14,-,2,5,-,23,-
"S00135600",60,38,31,-,6,-,-,-,-,22,-
"S00135601",141,118,114,-,4,-,2,3,-,15,2
"S00135602",126,100,73,4,20,3,-,1,-,20,5
"S00135603",78,76,76,-,-,-,-,-,-,5,-
"S00135604",84,72,61,-,11,-,6,-,-,6,-
"S00135605",82,65,61,-,6,-,-,-,-,15,-
"S00135606",277,190,183,1,6,-,6,1,-,79,1
"S00135607",1720,1371,1109,33,209,20,98,109,1,72,61
"S00135608",98,68,53,-,15,-,1,-,-,29,-
"S00135609",108,85,70,-,19,-,2,-,-,17,1
"S00135610",157,88,74,-,11,-,-,-,-,71,-
"S00135611",90,68,66,2,-,2,-,-,-,22,-
"S00135612",156,122,111,-,15,-,12,7,-,17,1
"S00135613",121,97,93,-,3,-,3,6,-,17,2
"S00135614",111,91,86,-,2,-,-,-,-,23,-
"S00135615",167,153,138,-,13,2,-,4,-,11,-
"S00135616",73,67,65,-,1,-,-,3,-,3,-
"S00135617",108,88,84,-,4,-,-,8,-,12,2
"S00135618",76,67,64,-,3,-,-,-,-,9,-
"S00135619",62,57,51,1,5,-,-,2,-,4,-
"S00135620",131,103,92,-,11,-,-,1,-,27,-
"S00135621",135,91,72,-,23,-,2,1,-,34,2
"S00135622",91,70,63,-,7,-,11,4,-,4,-
"S00135623",129,103,102,-,1,-,-,1,-,25,-
"S00135624",94,78,67,-,11,-,2,3,-,12,-
"S00135625",132,111,110,-,1,-,4,6,-,9,-
"S00135626",66,48,44,-,8,-,-,4,-,8,-
"S00135627",134,105,97,3,5,-,-,-,-,29,-
"S00135628",155,114,95,-,16,-,-,-,-,40,1
"S00135629",168,145,113,-,32,-,8,2,-,13,-
"S00135630",114,96,83,-,9,-,-,3,-,19,-
"S00135631",166,117,107,-,8,2,1,-,-,47,-
"S00135632",167,119,68,-,51,-,5,4,-,39,-
"S00135633",66,56,54,-,-,-,-,-,-,8,-
"S00135634",76,70,64,-,6,-,-,-,-,5,1
"S00135635",120,92,82,-,10,-,-,-,-,26,1
"S00135636",103,87,72,-,12,-,1,3,-,11,1
"S00135637",129,109,89,-,20,-,-,1,-,23,-
"S00135638",77,67,52,-,15,-,-,2,-,7,1
"S00135639",71,69,59,-,6,-,-,1,-,1,-
"S00135640",127,99,100,-,2,-,-,-,-,25,-
"S00135641",93,74,67,2,5,-,-,-,-,18,1
"S00135642",186,152,120,-,31,-,6,4,-,25,1
"S00135643",95,82,56,-,26,-,-,-,-,14,-
"S00135644",74,61,56,-,5,-,-,1,-,10,-
"S00135645",82,60,56,1,3,-,-,-,-,22,-
"S00135646",73,55,50,-,5,-,-,-,-,18,-
"S00135647",151,111,98,-,13,-,-,-,-,35,1
"S00135648",117,91,33,-,61,-,1,-,-,22,-
"S00135649",90,61,36,-,28,-,4,5,-,20,-
"S00135650",110,89,58,-,35,-,-,2,-,15,-
"S00135651",115,85,81,-,4,-,2,3,-,25,-
"S00135652",87,67,67,-,-,-,-,-,-,17,1
"S00135653",87,56,45,-,13,-,14,1,-,12,2
"S00135654",73,61,32,-,31,-,-,1,-,9,-
"S00135655",105,96,84,-,12,-,1,2,-,9,1
"S00135656",105,84,28,-,55,-,1,-,-,16,4
"S00135657",121,71,47,-,24,-,2,-,-,47,-
"S00135658",90,71,51,-,20,-,1,2,-,12,-
"S00135659",135,101,35,-,66,-,3,2,-,29,-
"S00135660",112,83,46,-,36,-,3,2,-,21,-
"S00135661",66,54,46,-,1,-,-,-,-,12,-
"S00135662",119,100,87,-,9,-,4,-,-,15,-
"S00135663",115,83,76,-,6,1,-,-,-,30,2
"S00135664",174,118,55,-,63,-,3,3,-,50,-
"S00135665",102,64,49,-,15,-,-,-,-,38,-
"S00135666",87,65,65,-,-,-,-,-,-,22,-
"S00135667",165,118,79,-,39,-,-,1,-,45,-
"S00135668",138,91,53,1,35,3,3,5,-,37,-
"S00135669",137,95,51,-,43,1,-,4,-,38,-
"S00135670",157,131,84,-,48,-,4,-,-,23,-
"S00135671",85,70,66,-,4,-,4,-,-,12,-
"S00135672",103,74,49,-,25,-,-,8,-,22,-
"S00135673",87,60,56,-,4,-,-,-,-,25,-
"S00135674",96,79,64,-,15,-,-,-,-,17,-
"S00135675",144,99,95,-,4,-,4,8,-,35,-
"S00135676",73,53,43,2,8,-,-,1,-,18,-
"S00135677",76,55,43,-,10,-,3,3,-,15,-
"S00135678",104,81,61,-,20,-,-,1,-,20,2
"S00135679",77,72,66,2,4,-,-,-,-,3,2
"S00135680",114,93,84,2,10,-,-,-,-,21,-
"S00135681",120,100,69,1,30,-,3,2,-,15,-
"S00135682",87,82,74,1,3,-,-,-,-,9,-
"S00135683",101,70,41,-,32,-,-,4,-,26,-
"S00135684",70,44,29,1,14,-,-,6,-,19,-
"S00135685",152,113,88,-,25,-,-,-,-,34,1
"S00135686",103,66,56,-,10,-,1,-,-,35,1
"S00135687",119,81,61,1,15,2,6,1,-,31,-
"S00135688",121,91,91,-,-,-,-,-,-,35,-
"S00135689",97,85,39,-,46,-,-,2,-,10,1
"S00135690",120,94,90,-,7,-,-,1,-,22,-
"S00135691",120,100,54,-,45,2,-,-,-,20,-
"S00135692",72,53,33,-,20,-,-,2,-,17,-
"S00135693",108,88,60,-,27,-,2,1,-,18,-
"S00135694",90,63,56,-,6,-,-,-,-,27,-
"S00135695",75,60,47,2,11,-,-,-,-,17,-
"S00135696",56,50,42,1,5,2,4,6,-,2,1
"S00135697",121,84,71,-,15,-,12,8,-,16,-
"S00135698",139,102,65,-,34,1,-,1,-,34,2
"S00135699",152,123,99,-,21,-,10,-,-,23,-
"S00135700",66,45,25,-,17,-,2,-,-,20,-
"S00135701",97,65,50,-,13,-,6,1,-,22,3
"S00135702",104,76,77,-,1,-,-,-,-,32,-
"S00135703",68,47,37,-,10,-,3,2,-,16,2
"S00135704",62,47,32,-,15,-,2,-,-,14,-
"S00135705",100,81,39,-,39,3,-,4,-,15,-
"S00135706",149,102,80,2,24,-,2,4,-,37,4
"S00135707",65,48,40,-,8,-,-,1,-,16,-
"S00135708",125,96,65,-,31,-,-,3,-,26,-
"S00135709",122,96,59,-,37,-,-,-,-,26,-
"S00135710",70,55,40,-,15,-,-,-,-,14,1
"S00135711",90,65,51,-,14,-,7,8,-,10,2
"S00135712",135,89,40,-,49,-,5,3,-,34,-
"S00135713",85,72,48,2,20,1,-,-,-,11,1
"S00135714",120,85,63,-,22,-,1,2,-,33,-
"S00135715",117,111,94,5,12,-,1,-,-,6,1
"S00135716",121,82,65,-,17,-,-,8,-,33,-
