OA_Code,Latitude,Longitude,All occupied Households,No Cars or Vans,One Car or Van,Two Cars or Vans,Three Cars or Vans,Four or More Cars or Vans
S00135528,57.18295406,-2.114240426,94,30,50,11,2,1
S00135529,57.18251091,-2.09642325,78,18,32,26,2,1
S00135530,57.18240025,-2.110748347,40,10,18,7,3,1
S00135531,57.18285554,-2.092073547,55,19,23,12,1,1
S00135532,57.18298606,-2.118475349,41,2,18,22,-,-
S00135533,57.18276695,-2.139350886,75,12,50,10,4,-
S00135534,57.18233667,-2.138538706,47,5,19,22,1,-
S00135535,57.18184392,-2.137345851,51,5,22,22,2,-
S00135536,57.18164661,-2.191833468,69,7,32,26,2,1
S00135537,57.18191921,-2.142325216,71,2,39,28,1,-
S00135538,57.18201801,-2.094900113,46,10,23,14,2,-
S00135539,57.18186148,-2.110515147,54,21,29,3,-,-
S00135540,57.18093103,-2.189828248,65,11,35,15,4,-
S00135541,57.18127146,-2.14318288,43,1,29,10,3,-
S00135542,57.1804713,-2.165609605,76,15,38,23,-,-
S00135543,57.18016017,-2.163110515,71,3,34,33,2,-
S00135544,57.18154174,-2.177656724,55,16,24,14,1,-
S00135545,57.18203083,-2.130564383,79,12,52,7,3,2
S00135546,57.18024341,-2.101230775,53,23,27,6,-,-
S00135547,57.18091836,-2.192243224,74,4,38,27,2,-
S00135548,57.18128825,-2.108594616,48,12,29,11,1,-
S00135549,57.18150282,-2.109769701,39,17,15,7,-,-
S00135550,57.18128499,-2.187415,70,24,33,7,2,1
S00135551,57.17561093,-2.191256372,56,4,33,15,4,-
S00135552,57.18033814,-2.164401507,73,9,48,15,1,-
S00135553,57.1806339,-2.134876709,83,8,34,34,6,1
S00135554,57.18081477,-2.094268451,41,9,21,8,2,-
S00135555,57.18096248,-2.138351599,72,3,32,28,5,1
S00135556,57.18082625,-2.131387193,69,14,48,12,2,-
S00135557,57.18012995,-2.108012275,43,12,22,9,-,-
S00135558,57.18030125,-2.096235528,62,13,27,19,2,1
S00135559,57.17867682,-2.170729081,63,12,46,5,-,-
S00135560,57.18019982,-2.129102302,63,12,37,17,2,-
S00135561,57.18044558,-2.095441929,48,18,24,6,-,-
S00135562,57.17998141,-2.18203258,45,16,23,6,-,-
S00135563,57.18049119,-2.17086979,36,18,16,2,-,-
S00135564,57.17962333,-2.193212399,55,4,37,8,4,1
S00135565,57.17958344,-2.189920574,33,7,16,4,3,1
S00135566,57.17785839,-2.177887126,50,11,24,11,5,-
S00135567,57.17910579,-2.097175224,57,16,23,14,4,-
S00135568,57.17989699,-2.107316876,80,12,47,19,2,-
S00135569,57.17999701,-2.183653671,57,19,31,6,-,-
S00135570,57.17864049,-2.134125119,55,12,30,8,4,2
S00135571,57.17878372,-2.095454175,58,16,31,11,-,-
S00135572,57.17945137,-2.188150038,49,9,20,16,5,1
S00135573,57.17951049,-2.096564282,45,4,27,12,1,2
S00135574,57.1792758,-2.185403398,41,11,19,8,2,-
S00135575,57.17918135,-2.103758572,77,21,41,15,1,2
S00135576,57.17974071,-2.100799336,72,30,35,9,1,1
S00135577,57.17932878,-2.166878118,66,7,34,21,-,-
S00135578,57.17860317,-2.126830699,61,4,31,27,4,-
S00135579,57.17927946,-2.093239013,48,7,34,5,-,-
S00135580,57.17947989,-2.121408353,79,24,43,11,-,1
S00135581,57.17844291,-2.105956351,56,5,30,17,2,3
S00135582,57.17891704,-2.127361071,53,9,28,9,5,2
S00135583,57.17836807,-2.166526436,81,19,43,13,2,-
S00135584,57.17915323,-2.115369972,67,18,37,7,5,1
S00135585,57.17896784,-2.161252718,46,-,26,18,-,-
S00135586,57.17879113,-2.191107416,55,7,26,17,7,-
S00135587,57.17873467,-2.088870978,57,9,42,9,-,-
S00135588,57.17797983,-2.089249582,50,9,30,9,2,-
S00135589,57.17829365,-2.174994684,40,2,23,10,2,3
S00135590,57.17876395,-2.166048548,34,-,17,20,-,-
S00135591,57.17841495,-2.184373585,30,6,14,9,2,-
S00135592,57.17813906,-2.163068518,43,3,20,18,1,1
S00135593,57.17813379,-2.129045464,36,-,15,16,3,2
S00135594,57.17744721,-2.092870511,44,5,16,19,2,-
S00135595,57.17786466,-2.191913088,75,22,37,12,4,-
S00135596,57.17615053,-2.143741917,80,5,45,27,-,-
S00135597,57.17724761,-2.190090515,73,45,12,17,1,3
S00135598,57.17780556,-2.094161529,41,6,19,10,4,2
S00135599,57.17811594,-2.160091194,67,10,39,17,1,1
S00135600,57.17716302,-2.186600203,47,28,16,2,1,-
S00135601,57.17777209,-2.162041421,50,4,23,21,-,-
S00135602,57.16469496,-2.087911288,67,29,26,9,3,-
S00135603,57.17754828,-2.130614705,32,-,15,11,4,-
S00135604,57.17786261,-2.16832702,63,18,38,7,-,-
S00135605,57.17723874,-2.171317871,40,5,24,8,3,-
S00135606,57.17586422,-2.125977805,62,1,22,27,8,5
S00135607,57.17488119,-2.10047184,69,16,41,12,-,-
