OA_Code,Latitude,Longitude,"All People, aged 3 and over","All People, 3 - 15","All People, 16 - 24","All People, 25 - 34","All People, 35 - 49","All People, 50 - 64","All People, 65 and over","Understands/Speaks/Reads/Writes Gaelic, Total","Understands/Speaks/Reads/Writes Gaelic, 3 - 15","Understands/Speaks/Reads/Writes Gaelic, 16 - 24","Understands/Speaks/Reads/Writes Gaelic, 25 - 34","Understands/Speaks/Reads/Writes Gaelic, 35 - 49","Understands/Speaks/Reads/Writes Gaelic, 50 - 64","Understands/Speaks/Reads/Writes Gaelic, 65 and over","No skills in Gaelic, Total","No skills in Gaelic, 3 - 15","No skills in Gaelic, 16 - 24","No skills in Gaelic, 25 - 34","No skills in Gaelic, 35 - 49","No skills in Gaelic, 50 - 64","No skills in Gaelic, 65 and over"
S00177055,55.77083585,-4.090321466,173,49,18,15,53,36,6,-,-,-,-,-,-,-,173,49,18,15,53,36,6
S00177056,55.76898305,-4.194008462,92,9,9,10,18,18,30,1,-,-,-,-,-,1,91,9,9,10,18,18,29
S00177057,55.77058157,-4.088362802,123,30,11,10,49,20,2,2,-,-,-,1,1,-,120,34,11,10,51,19,2
S00177058,55.77198432,-4.035840217,108,18,14,14,21,27,16,1,-,-,1,-,-,-,108,18,14,13,21,27,16
S00177059,55.77030409,-4.09357724,149,44,13,15,60,21,6,-,-,-,-,-,-,-,149,44,13,15,60,21,6
S00177060,55.7688905,-4.197175868,185,24,12,13,22,39,75,4,-,2,-,-,2,3,179,24,10,13,22,38,75
S00177061,55.7707223,-4.081658296,101,22,10,11,12,22,27,2,2,-,-,-,-,-,99,17,10,11,12,22,27
S00177062,55.77095957,-4.08621475,63,4,-,8,7,18,24,2,-,-,-,-,-,2,64,4,-,8,7,18,23
S00177063,55.77122002,-4.018980428,122,11,14,3,17,42,32,-,-,-,-,-,-,-,122,11,14,3,17,42,32
S00177064,55.77177482,-4.032752232,93,12,7,3,20,25,26,-,-,-,-,-,-,-,93,12,7,3,20,25,26
S00177065,55.77190746,-4.038849509,80,12,14,8,21,14,9,1,-,-,-,-,-,1,75,12,14,8,21,14,8
S00177066,55.77128098,-4.02510572,135,10,56,-,13,21,33,1,-,-,-,1,-,-,134,10,56,-,12,21,33
S00177067,55.77058472,-4.082352453,83,12,2,18,13,29,10,-,-,-,-,-,-,-,83,12,2,18,13,29,10
S00177068,55.76898101,-4.172884221,137,8,20,27,24,36,26,-,-,-,-,-,-,-,137,8,20,27,24,36,26
S00177069,55.7706424,-4.05866425,109,8,22,18,10,29,28,4,-,-,1,-,1,2,105,8,22,14,10,30,26
S00177070,55.7685116,-4.162304173,123,14,7,13,18,34,37,7,3,-,1,2,-,1,113,13,7,9,13,34,36
S00177071,55.77084626,-4.075925389,90,18,19,7,20,9,14,-,-,-,-,-,-,-,90,18,19,7,20,9,14
S00177072,55.77106272,-4.050188741,176,20,19,25,31,40,47,-,-,-,-,-,-,-,176,20,19,25,31,40,47
S00177073,55.76963854,-4.170768516,91,13,10,30,13,12,13,1,-,-,1,-,-,-,88,13,10,29,12,12,13
S00177074,55.77122953,-4.03637481,105,1,6,8,9,19,59,2,-,-,-,-,1,2,103,1,6,8,9,21,58
S00177075,55.77076424,-4.029734238,99,4,13,4,12,27,37,-,-,-,-,-,-,-,99,4,13,4,12,27,37
S00177076,55.77040824,-4.074722324,136,34,12,19,32,25,10,8,2,4,1,1,-,2,128,32,10,22,31,25,8
S00177077,55.76982607,-4.09473137,203,48,22,20,58,46,7,-,-,-,-,-,-,-,203,48,22,20,58,46,7
S00177078,55.76970739,-4.065645625,165,38,16,27,46,24,16,2,2,-,-,-,-,-,161,37,16,27,46,24,16
S00177079,55.76849144,-4.180732576,105,13,16,7,17,24,27,2,-,-,1,1,-,-,104,13,16,6,16,24,27
S00177080,55.76745772,-4.243630697,60,-,1,-,3,10,46,-,-,-,-,-,-,-,60,-,1,-,3,10,46
S00177081,55.77036939,-4.076489921,98,6,10,11,21,23,26,-,-,-,-,-,-,-,98,6,10,11,21,23,26
S00177082,55.77070229,-4.042150525,167,22,23,26,35,45,16,4,-,1,2,1,2,-,163,22,22,21,34,44,16
S00177083,55.77021638,-4.07916018,107,18,3,6,19,26,34,4,-,-,-,1,-,-,105,17,3,6,18,26,34
S00177084,55.77032843,-4.084746163,89,17,10,13,17,17,15,2,-,-,1,1,-,-,87,17,10,12,16,17,15
S00177085,55.77042042,-4.026607529,76,6,5,-,8,10,44,-,-,-,-,-,-,-,76,6,5,-,8,10,44
S00177086,55.7711318,-4.039016262,69,20,10,8,15,10,6,1,-,-,-,1,-,-,68,20,10,8,14,10,6
S00177087,55.76852132,-4.151511675,265,62,40,15,77,63,8,2,-,1,-,-,-,1,263,62,42,15,77,63,8
S00177088,55.77028597,-4.059554196,76,9,8,17,16,13,11,1,-,-,-,-,1,-,75,9,8,17,16,10,11
S00177089,55.76869351,-4.171353676,124,15,11,15,19,41,22,-,-,-,-,-,-,-,124,15,11,15,19,41,22
S00177090,55.76814857,-4.175739404,107,13,13,14,20,31,22,2,-,-,-,1,-,1,105,13,13,14,19,31,18
S00177091,55.76848106,-4.172186813,99,11,8,11,23,26,20,-,-,-,-,-,1,-,97,11,8,10,23,25,20
S00177092,55.76967066,-4.012076968,157,33,20,22,39,35,8,1,-,-,-,1,-,-,156,33,20,22,41,35,8
S00177093,55.77092318,-4.037506726,96,-,4,8,11,11,66,-,-,-,-,-,-,-,96,-,4,8,11,11,66
S00177094,55.76892146,-4.147133573,76,19,6,12,20,14,8,1,-,-,-,-,1,-,75,19,6,12,20,13,8
S00177095,55.76862054,-4.14120238,72,6,7,3,8,15,33,-,-,-,-,-,-,-,71,6,6,3,8,15,33
S00177096,55.77002972,-4.077444364,75,11,4,7,19,23,14,-,-,-,-,-,-,-,75,11,4,7,19,23,14
S00177097,55.77014439,-4.048131738,85,10,9,11,23,18,13,-,-,-,-,-,-,-,85,10,9,11,23,18,13
S00177098,55.75856607,-3.603242686,135,11,19,14,22,42,27,-,-,-,-,-,-,-,134,11,19,14,22,42,26
S00177099,55.7707214,-4.048560581,75,6,17,7,9,22,16,1,-,-,-,1,-,-,74,6,17,7,8,22,16
S00177100,55.76618547,-4.169859175,114,14,14,24,27,18,19,2,-,-,-,-,-,-,112,14,14,23,27,18,18
S00177101,55.76955055,-4.087685894,172,22,12,28,25,47,40,1,-,-,-,-,-,1,171,22,12,28,25,47,39
S00177102,55.76986642,-4.090779732,107,24,10,13,38,19,5,3,-,-,-,-,2,-,104,23,10,13,38,14,5
S00177103,55.76871035,-4.146356724,108,2,4,13,19,34,36,1,-,-,1,-,-,-,107,2,4,16,19,34,36
S00177104,55.76896146,-4.068316351,195,29,25,10,36,67,31,1,-,-,-,1,-,-,196,29,25,10,35,67,31
S00177105,55.76802952,-4.189522899,71,5,4,7,8,5,45,-,-,-,-,-,-,-,71,5,4,7,8,5,45
S00177106,55.77099816,-4.034609012,107,4,12,4,17,30,37,-,-,-,-,-,-,-,107,4,12,4,17,30,37
S00177107,55.76657356,-4.17941389,90,1,16,13,15,22,24,3,1,-,2,-,-,-,87,-,16,11,15,22,24
S00177108,55.76849195,-4.16648001,66,5,6,8,10,18,21,2,-,2,-,-,-,-,65,5,4,8,10,18,21
S00177109,55.76689137,-4.010020807,157,18,21,10,34,38,34,1,-,-,-,-,-,1,156,18,21,10,34,38,31
S00177110,55.76845653,-4.159814103,141,19,12,18,24,49,23,-,-,-,-,-,-,-,141,19,12,18,24,49,23
S00177111,55.76873715,-4.072561038,227,62,17,37,76,20,17,7,3,-,-,4,-,-,217,54,17,37,72,20,17
S00177112,55.76758245,-4.174719445,114,-,6,18,8,26,59,2,-,-,2,-,-,-,113,-,6,14,8,26,59
S00177113,55.76764181,-4.163722679,97,8,6,9,19,28,27,2,-,-,1,-,-,2,95,8,6,8,19,28,25
S00177114,55.76596633,-4.202877821,152,20,21,19,30,42,27,4,1,-,-,2,-,-,153,19,21,19,29,42,27
S00177115,55.76749509,-4.186224789,109,13,15,21,21,26,13,4,-,1,4,-,2,-,103,13,14,19,21,25,13
S00177116,55.76973761,-4.060099203,97,15,10,11,19,21,20,-,-,-,-,-,-,-,97,15,10,11,19,21,20
S00177117,55.76808767,-4.156254514,92,9,11,6,17,31,18,-,-,-,-,-,-,-,92,9,11,6,17,31,18
S00177118,55.7688549,-4.085783446,115,9,14,21,17,31,22,-,-,-,-,-,-,-,115,9,14,21,17,31,22
S00177119,55.76818373,-4.084025853,111,15,6,13,15,20,38,-,-,-,-,-,-,-,111,15,6,13,15,20,38
S00177120,55.77028333,-4.044105511,79,14,6,12,19,20,8,2,-,-,-,-,2,-,77,14,6,12,19,14,8
S00177121,55.7681417,-4.143408033,92,9,17,5,9,17,36,-,-,-,-,-,-,-,92,9,17,5,9,17,36
S00177122,55.76753742,-4.147647317,142,19,9,22,29,30,31,2,-,-,2,-,-,1,136,19,9,21,29,30,27
S00177123,55.76857378,-4.05983055,138,33,22,11,33,30,13,4,5,-,-,1,-,-,133,26,22,11,29,30,13
S00177124,55.76769675,-4.160601065,111,5,12,15,19,41,20,-,-,-,1,-,1,-,109,5,12,14,19,39,20
S00177125,55.76783309,-4.173760929,73,12,7,7,13,15,16,3,-,-,-,-,-,3,71,12,7,9,13,15,14
S00177126,55.76959701,-4.047002994,78,5,15,3,13,21,25,1,-,-,-,-,1,-,77,5,15,3,13,20,25
S00177127,55.76981238,-4.020964217,126,6,13,6,9,20,78,2,-,-,-,-,-,2,125,6,13,6,9,20,77
S00177128,55.76620187,-4.164344314,122,15,19,3,29,25,31,-,-,-,-,-,-,-,122,15,19,3,29,25,31
S00177129,55.76737595,-4.158399262,89,12,11,11,20,19,15,1,-,-,1,-,-,-,88,12,11,10,20,19,15
S00177130,55.76797546,-4.1503497,125,18,11,12,38,38,8,-,-,-,-,-,-,-,125,18,11,12,38,38,8
S00177131,55.76891475,-4.058254314,162,35,18,19,34,27,25,7,3,-,2,1,-,1,157,33,18,19,36,26,26
S00177132,55.76812672,-4.07198661,197,51,12,23,74,23,15,2,-,-,-,2,-,-,195,51,12,23,72,23,15
S00177133,55.7683883,-4.033197661,189,17,19,15,38,30,70,-,-,-,-,-,-,-,188,17,19,14,38,30,70
S00177134,55.76878539,-4.0622171,146,20,10,9,26,40,39,1,-,-,-,-,-,1,145,20,10,9,26,40,36
S00177135,55.76858663,-4.093102536,159,30,10,43,41,31,5,3,-,3,-,-,-,-,156,30,6,43,41,31,5
S00177136,55.76685326,-4.177325177,115,4,8,10,12,16,63,-,-,-,-,-,-,-,115,4,8,10,12,16,63
S00177137,55.76882921,-4.082529845,88,3,12,5,7,26,39,-,-,-,-,-,-,-,88,3,12,5,7,26,39
S00177138,55.76912937,-4.033491326,122,20,19,5,19,33,37,-,-,-,-,-,-,-,122,20,19,5,19,33,37
S00177139,55.76963666,-4.041919421,122,13,8,14,22,30,38,2,-,-,-,-,-,2,126,13,8,14,22,30,36
S00177140,55.76847255,-4.07599049,88,9,3,13,12,17,31,-,-,-,-,-,-,-,88,9,3,13,12,17,31
S00177141,55.76757165,-4.145688332,92,17,8,16,15,23,18,1,-,-,1,-,-,-,91,17,8,14,15,23,18
S00177142,55.76845703,-4.04853743,118,21,11,24,26,18,14,5,-,-,-,1,1,-,115,21,10,24,25,17,14
