OA_Code,Latitude,Longitude,"All People, aged 3 and over","All People, 3 - 15","All People, 16 - 24","All People, 25 - 34","All People, 35 - 49","All People, 50 - 64","All People, 65 and over","Understands/Speaks/Reads/Writes Gaelic, Total","Understands/Speaks/Reads/Writes Gaelic, 3 - 15","Understands/Speaks/Reads/Writes Gaelic, 16 - 24","Understands/Speaks/Reads/Writes Gaelic, 25 - 34","Understands/Speaks/Reads/Writes Gaelic, 35 - 49","Understands/Speaks/Reads/Writes Gaelic, 50 - 64","Understands/Speaks/Reads/Writes Gaelic, 65 and over","No skills in Gaelic, Total","No skills in Gaelic, 3 - 15","No skills in Gaelic, 16 - 24","No skills in Gaelic, 25 - 34","No skills in Gaelic, 35 - 49","No skills in Gaelic, 50 - 64","No skills in Gaelic, 65 and over"
S00156798,55.91070019,-4.359924724,60,15,9,10,23,4,2,1,-,-,-,1,-,-,58,15,9,10,18,4,2
S00156799,55.91051537,-4.351736717,73,6,11,13,16,17,10,-,-,-,-,-,-,-,73,6,11,13,16,17,10
S00156800,55.90917762,-4.353543818,133,52,20,16,32,10,2,4,-,-,2,3,-,-,129,52,20,18,30,10,2
S00156801,55.91045519,-4.356293496,74,14,4,16,14,17,9,-,-,-,-,-,-,-,74,14,4,16,14,17,9
S00156802,55.90978141,-4.361437011,103,17,15,20,19,22,4,1,-,-,-,-,-,1,102,17,15,20,19,22,3
S00156803,55.91040139,-4.353938015,55,7,6,9,9,19,2,-,-,-,-,-,-,-,54,7,6,9,5,19,2
S00156804,55.90879287,-4.357680711,104,33,6,15,32,18,6,5,2,-,2,1,-,-,99,30,6,10,27,18,6
S00156805,55.90916066,-4.383384681,71,19,10,10,14,12,6,-,-,-,-,-,-,-,71,19,10,10,14,12,6
S00156806,55.90859883,-4.383622214,82,25,12,6,19,16,5,-,-,-,-,-,-,-,81,25,12,6,19,16,4
S00156807,55.90854896,-4.381555047,65,14,8,12,14,16,1,1,-,-,1,-,-,-,64,14,8,11,14,16,1
S00156808,55.90859472,-4.379653755,71,11,10,11,12,14,10,4,-,1,-,-,-,2,68,11,9,11,12,14,8
S00156809,55.90771412,-4.38475195,71,4,8,8,15,18,15,2,-,2,-,-,-,-,70,4,7,8,15,18,15
S00156810,55.90820443,-4.381709927,140,23,30,19,34,27,9,8,1,2,-,1,1,1,134,22,28,19,32,25,8
S00156811,55.90808062,-4.35638943,146,49,21,16,39,16,2,2,1,2,-,-,-,-,145,48,20,16,39,16,2
S00156812,55.90757556,-4.361638892,145,26,11,25,22,24,34,6,1,1,3,-,1,-,141,25,10,22,22,26,34
S00156813,55.9084357,-4.351450773,65,14,9,5,14,11,10,1,-,1,-,-,-,-,62,14,6,5,14,11,10
S00156814,55.90820593,-4.379773937,90,25,12,11,19,16,10,2,1,1,-,-,-,-,88,24,11,11,19,16,10
S00156815,55.90781957,-4.378838233,74,9,10,2,18,15,20,4,-,1,-,1,-,-,71,9,9,2,17,14,20
S00156816,55.90805654,-4.358116024,105,19,10,26,25,19,4,5,5,-,-,1,-,-,100,17,10,26,24,19,4
S00156817,55.90774446,-4.383185764,109,23,15,16,19,15,21,2,1,-,-,-,-,-,106,21,15,16,18,15,21
S00156818,55.90671299,-4.351298471,125,26,12,7,37,17,18,-,-,-,-,-,-,-,125,26,12,7,37,17,18
S00156819,55.90819075,-4.35109993,89,11,9,7,19,27,19,2,1,-,-,-,-,-,87,10,8,7,19,27,19
S00156820,55.90772214,-4.381088331,84,15,6,6,16,23,17,4,1,2,-,-,2,-,80,22,4,6,16,22,17
S00156821,55.90774188,-4.353424809,163,39,21,25,38,18,17,8,2,-,2,3,-,-,150,35,21,24,34,18,17
S00156822,55.90745047,-4.355503183,149,29,21,25,24,34,16,11,-,5,-,2,2,-,141,29,18,25,23,32,16
S00156823,55.90415032,-4.296139606,74,3,5,10,18,17,21,2,-,1,-,-,1,-,72,3,4,10,18,18,21
S00156824,55.90730785,-4.358726574,113,22,16,22,17,19,14,3,-,3,-,-,-,-,107,22,13,22,17,19,14
S00156825,55.9060899,-4.359436592,283,22,11,46,42,31,137,6,-,1,-,1,-,4,277,22,10,46,40,31,133
S00156826,55.90672689,-4.356211297,110,16,20,21,25,12,10,6,-,3,1,1,1,-,104,16,17,20,24,14,10
S00156827,55.90738182,-4.352042973,126,20,12,22,27,23,24,4,-,-,2,-,2,-,122,20,12,20,27,23,24
S00156828,55.90704836,-4.361478833,91,18,13,5,19,20,16,5,2,1,-,2,-,-,86,19,14,5,17,20,16
S00156829,55.90693611,-4.358895998,118,19,9,17,22,28,21,-,-,-,-,-,-,-,118,19,9,17,22,28,21
S00156830,55.90512488,-4.36195386,99,16,8,8,22,30,19,1,-,-,1,-,-,-,102,16,8,7,22,30,19
S00156831,55.90742189,-4.286477037,173,36,11,19,39,41,23,11,4,1,-,2,2,-,163,32,14,19,37,38,23
S00156832,55.90721943,-4.281889159,167,38,20,9,55,35,7,16,9,-,-,4,3,-,151,29,20,9,51,32,7
S00156833,55.90637774,-4.312062885,98,5,5,33,16,15,23,9,1,-,5,2,-,1,86,4,5,28,14,15,22
S00156834,55.9053896,-4.350002402,110,16,10,20,22,30,15,-,-,-,-,-,1,2,108,16,10,20,22,26,14
S00156835,55.90670205,-4.285554679,178,33,23,16,49,42,15,11,6,-,3,3,1,-,167,29,23,13,46,45,15
S00156836,55.90640057,-4.294512683,228,53,38,21,38,66,12,9,3,-,1,4,1,-,223,50,38,20,30,62,12
S00156837,55.90353493,-4.372656293,177,26,15,36,33,37,30,-,-,-,-,1,1,-,175,26,15,36,28,36,30
S00156838,55.90357426,-4.3058006,151,42,14,22,32,24,17,11,7,-,2,-,-,-,142,35,14,20,32,24,17
S00156839,55.9015946,-4.31024242,346,31,227,31,29,10,15,15,3,7,-,2,-,2,328,28,220,31,26,10,9
S00156840,55.90560824,-4.352671544,114,16,14,12,16,42,10,3,-,-,1,-,-,1,112,16,14,11,16,42,13
S00156841,55.90415627,-4.348695871,95,10,7,6,24,31,17,3,-,1,-,-,-,-,93,10,7,6,24,31,13
S00156842,55.90528612,-4.345532329,85,10,3,20,12,21,17,-,-,-,-,-,-,-,84,10,3,20,12,20,17
S00156843,55.90441691,-4.370262311,127,7,19,18,21,34,33,5,-,-,-,-,1,2,124,7,19,18,21,33,31
S00156844,55.90608465,-4.28734228,91,2,17,10,11,29,22,-,-,-,-,-,-,-,91,2,17,10,11,29,22
S00156845,55.90612109,-4.284896516,147,14,23,27,27,46,13,1,-,-,-,-,-,1,149,14,23,27,27,46,12
S00156846,55.90551052,-4.280988804,151,26,15,16,24,51,19,-,-,-,-,-,-,-,151,26,15,16,24,51,19
S00156847,55.90417145,-4.357304192,112,19,13,9,24,21,20,5,2,-,1,3,-,-,107,17,13,12,25,21,20
S00156848,55.90378108,-4.363600012,129,25,22,12,26,37,11,4,1,-,-,-,1,1,126,24,22,12,26,36,10
S00156849,55.90514894,-4.292710847,114,13,15,17,19,24,23,1,-,-,-,-,1,-,110,13,15,17,19,26,23
S00156850,55.90507096,-4.346447291,151,20,9,25,40,36,17,4,-,-,-,-,1,-,149,20,9,25,40,35,17
S00156851,55.90593604,-4.284213658,86,8,7,13,19,22,17,-,-,-,-,-,-,-,86,8,7,13,19,22,17
S00156852,55.90432629,-4.359073477,85,11,9,10,13,18,24,2,-,-,-,-,-,2,80,11,9,10,13,18,23
S00156853,55.90345744,-4.362668396,69,10,5,9,7,17,20,3,-,-,-,-,3,-,68,10,5,9,7,15,20
S00156854,55.90374008,-4.36666928,97,7,8,9,5,36,31,-,-,-,-,-,-,-,97,7,8,9,5,36,31
S00156855,55.90460594,-4.294358673,86,16,15,6,16,18,23,-,-,-,-,-,-,-,86,16,15,6,16,18,23
S00156856,55.90314722,-4.33702,86,7,3,14,19,27,16,-,-,-,-,-,-,-,86,7,3,14,19,27,16
S00156857,55.90448395,-4.345179907,82,9,5,15,33,14,7,5,-,-,1,4,-,-,78,9,5,10,28,14,7
S00156858,55.90576865,-4.283547844,110,18,10,16,24,21,21,1,1,-,-,-,-,-,109,18,10,16,24,21,21
S00156859,55.90505147,-4.29070522,152,20,9,21,32,26,43,2,-,-,2,-,-,-,150,20,9,21,32,26,43
S00156860,55.90358905,-4.356740891,101,19,8,10,21,19,31,-,-,-,-,-,-,-,99,13,8,10,21,19,31
S00156861,55.90461353,-4.289607472,99,11,18,9,26,9,26,2,-,-,-,-,1,1,94,11,18,9,26,12,25
S00156862,55.90449759,-4.288592716,65,10,9,8,10,17,17,1,-,-,1,-,-,-,64,10,9,7,10,17,17
S00156863,55.9050799,-4.284339298,135,14,14,12,21,58,19,-,-,-,-,-,-,-,135,14,14,12,21,58,19
S00156864,55.90333208,-4.356549316,134,37,16,14,31,26,9,4,1,-,-,2,-,1,130,40,16,14,26,26,10
S00156865,55.90342132,-4.359866441,142,23,13,16,20,35,29,-,-,-,-,-,-,-,142,23,13,16,20,35,29
S00156866,55.90250763,-4.368130024,105,5,8,10,10,33,39,-,-,-,-,-,-,-,105,5,8,10,10,33,39
S00156867,55.90410021,-4.345508712,76,-,3,19,26,23,7,2,-,-,2,-,-,-,75,-,3,18,26,23,7
S00156868,55.90309068,-4.364917873,96,10,6,10,19,36,16,4,2,-,-,3,-,-,92,9,6,10,15,36,16
S00156869,55.90215969,-4.35111884,127,9,18,15,26,36,24,1,-,-,-,1,-,-,130,9,18,15,25,36,24
S00156870,55.90311998,-4.359176197,130,27,8,10,28,29,25,5,1,4,-,-,-,-,126,26,9,10,28,29,25
S00156871,55.90379177,-4.346130036,99,-,10,14,32,32,11,5,-,-,1,2,-,1,94,-,10,12,30,32,10
S00156872,55.90273577,-4.334547517,94,7,9,6,19,20,32,3,-,-,-,1,-,2,91,7,8,6,18,20,35
S00156873,55.90448276,-4.292287555,62,6,1,4,14,14,23,3,1,-,-,-,-,-,60,5,1,4,14,14,23
S00156874,55.90388679,-4.338776359,62,8,2,9,21,11,11,-,-,-,-,-,-,-,62,8,2,9,21,11,11
S00156875,55.9026339,-4.370441481,111,11,7,10,18,35,27,3,-,-,-,1,1,1,109,11,7,10,20,42,26
S00156876,55.90231835,-4.351752369,156,23,23,18,31,47,14,4,2,1,-,-,1,-,152,21,26,18,31,46,14
S00156877,55.90418978,-4.287262693,203,36,33,14,34,37,42,3,-,-,-,2,1,2,199,36,33,14,32,35,41
S00156878,55.90364236,-4.341705388,64,1,11,14,16,13,6,4,-,-,-,-,1,-,62,1,11,14,16,11,5
S00156879,55.90155357,-4.370535535,113,6,6,9,17,39,41,5,1,-,1,1,-,2,111,6,6,8,16,39,37
S00156880,55.90226001,-4.333095101,158,26,13,10,42,42,25,5,2,-,-,3,1,-,152,24,13,10,39,42,25
S00156881,55.90216771,-4.361966023,146,34,14,16,26,33,23,2,-,1,-,-,1,-,148,34,13,16,26,32,23
S00156882,55.90308587,-4.34779923,94,17,9,11,29,17,12,1,-,-,1,-,-,-,96,17,9,10,29,17,12
S00156883,55.90394479,-4.293183723,74,6,1,13,16,20,21,-,-,-,-,-,-,-,74,6,1,13,16,20,21
S00156884,55.90321899,-4.339392087,112,15,6,12,29,26,22,1,-,-,-,-,1,-,111,15,6,12,29,25,22
S00156885,55.90334186,-4.342855163,112,10,10,5,24,38,25,4,-,2,-,-,1,1,108,10,9,5,23,37,27
S00156886,55.90307195,-4.284541178,93,8,9,11,11,41,14,2,-,-,1,2,-,-,91,8,9,10,10,41,14
S00156887,55.90122611,-4.362324712,145,17,25,11,26,35,31,4,3,-,-,2,-,-,141,15,25,11,25,35,31
S00156888,55.90342705,-4.285745937,109,12,20,11,14,39,13,4,-,-,-,-,1,2,107,12,20,11,14,38,12
S00156889,55.90201002,-4.345302514,155,28,20,22,30,26,25,12,4,1,1,2,-,3,143,28,22,21,28,26,22
S00156890,55.90418759,-4.291246223,85,14,7,12,21,13,18,1,-,-,1,-,-,-,85,14,7,11,21,13,18
S00156891,55.90372906,-4.282548026,63,5,8,11,7,15,13,-,-,-,-,-,-,-,63,5,8,11,7,15,13
S00156892,55.90271056,-4.342497121,97,14,11,15,28,17,12,6,2,-,1,1,-,-,91,14,9,14,27,17,12
S00156893,55.90290148,-4.289362576,152,32,15,26,45,17,22,-,-,-,-,-,-,-,152,32,15,26,45,17,22
S00156894,55.90138431,-4.366253791,138,9,17,11,22,44,39,10,4,3,-,3,1,-,128,6,14,11,19,39,39
S00156895,55.90260334,-4.338683085,99,5,12,17,28,20,15,4,-,-,-,1,-,1,97,5,12,17,27,20,13
S00156896,55.90181469,-4.354121565,95,15,7,7,22,13,31,-,-,-,-,-,-,-,94,15,7,7,22,12,31
S00156897,55.90233105,-4.352968996,128,24,19,18,23,19,29,3,-,2,1,-,-,-,129,24,17,17,23,19,29
S00156898,55.90223712,-4.360690394,108,23,9,11,24,26,13,9,4,-,-,1,3,-,100,17,9,11,24,24,13
S00156899,55.90168759,-4.345714989,92,7,2,14,15,34,19,2,-,-,-,-,1,-,90,7,2,14,14,33,19
S00156900,55.90135208,-4.359036834,183,32,17,23,46,36,33,1,-,-,-,-,-,1,182,32,17,23,46,36,28
S00156901,55.90096005,-4.369619446,107,6,8,9,13,34,36,1,-,-,-,-,-,1,107,6,8,9,13,34,35
S00156902,55.90194277,-4.290169952,89,10,7,17,19,22,12,-,-,-,-,-,-,-,89,10,7,17,19,22,12
S00156903,55.90302783,-4.305704171,106,24,17,11,18,24,8,3,-,1,-,1,-,-,103,24,16,11,17,24,7
S00156904,55.90327785,-4.294248231,103,16,9,14,19,21,26,3,-,-,2,-,1,-,101,16,9,12,19,20,26
S00156905,55.90337649,-4.296669804,62,3,6,15,11,18,5,4,-,-,-,1,1,-,56,3,6,15,14,17,5
S00156906,55.90191432,-4.343249002,124,20,14,11,28,34,17,2,-,-,-,2,-,-,122,20,14,11,26,34,17
S00156907,55.9011679,-4.336181032,87,15,10,13,21,15,13,1,-,-,1,-,-,-,86,15,10,12,21,15,13
S00156908,55.90190046,-4.341616378,149,29,16,13,38,35,20,9,1,2,2,5,1,-,140,28,13,12,33,34,20
S00156909,55.90180351,-4.340570673,77,9,9,5,11,21,19,1,-,-,-,-,1,-,76,9,9,5,11,16,19
S00156910,55.9029135,-4.29595451,93,12,11,8,17,19,27,4,-,2,-,2,-,2,89,12,10,8,11,19,25
S00156911,55.90201569,-4.338391739,79,16,4,8,26,12,13,4,3,-,-,1,-,-,75,13,4,8,25,12,13
S00156912,55.90199084,-4.33733438,91,11,8,12,19,14,24,3,2,-,-,1,-,-,88,9,8,12,18,14,24
S00156913,55.90143576,-4.334853334,100,20,10,13,22,20,15,1,-,-,-,-,1,-,99,20,10,13,22,19,15
S00156914,55.90150208,-4.332777618,114,20,14,11,19,37,15,3,-,-,-,-,2,2,111,20,14,11,18,36,15
S00156915,55.90240569,-4.304851347,123,38,15,25,17,21,12,3,-,-,2,-,2,-,120,38,15,20,17,20,12
S00156916,55.90297113,-4.254426924,115,6,5,30,24,24,23,3,2,-,-,1,-,-,112,7,5,30,23,24,23
S00156917,55.90156205,-4.283572519,73,-,9,13,7,23,19,2,-,1,-,-,1,-,71,-,8,13,7,25,19
S00156918,55.90181143,-4.284179091,82,7,11,13,8,34,9,3,3,-,-,-,-,-,80,5,11,13,8,34,9
S00156919,55.90194559,-4.286634626,92,4,15,16,11,29,14,1,-,-,1,-,-,-,91,4,15,15,11,29,14
S00156920,55.900577,-4.364300918,97,16,19,6,19,20,16,12,1,5,-,-,4,2,85,15,14,6,19,16,14
S00156921,55.8982751,-4.180861204,149,36,14,23,47,21,4,1,1,-,-,-,-,-,145,35,14,23,47,21,4
S00156922,55.90233631,-4.293168758,92,7,13,8,28,19,20,2,-,-,-,2,-,-,90,7,13,8,26,19,20
S00156923,55.90221722,-4.297145191,82,13,3,13,17,12,19,1,-,-,-,-,1,-,76,13,3,13,17,9,19
S00156924,55.90128674,-4.330860971,65,9,3,10,13,19,9,4,-,1,1,-,2,-,61,9,1,12,13,17,9
S00156925,55.90321635,-4.253305292,142,26,18,26,30,28,15,5,2,1,-,2,-,-,137,24,17,26,27,28,15
S00156926,55.89974436,-4.347229351,133,17,14,12,26,36,29,5,2,4,-,2,-,-,128,15,12,12,25,36,29
S00156927,55.90209922,-4.295762402,101,10,15,15,18,23,24,4,2,-,2,-,-,-,96,8,15,13,18,23,24
S00156928,55.90198482,-4.294667794,77,14,5,15,15,16,10,2,-,-,-,2,-,-,76,14,5,15,14,16,10
S00156929,55.90222991,-4.284875605,92,3,4,18,15,28,24,-,-,1,-,-,-,1,90,3,3,18,15,28,23
S00156930,55.90032195,-4.347104277,75,9,4,17,10,22,15,1,1,-,-,-,-,-,73,8,4,16,10,22,15
S00156931,55.90278267,-4.252448245,156,30,13,26,39,43,5,2,1,-,-,2,-,-,153,28,13,26,37,43,5
S00156932,55.90165121,-4.289416874,122,13,13,19,20,36,21,1,-,-,-,-,1,-,121,13,13,19,20,38,21
S00156933,55.90060668,-4.337811006,96,18,6,9,24,21,18,1,1,-,-,-,-,-,91,17,6,9,24,21,18
S00156934,55.90035729,-4.343363047,95,16,6,11,23,18,27,9,4,-,2,3,-,2,87,10,6,9,22,18,26
S00156935,55.90031888,-4.339713356,105,13,8,14,20,33,17,3,-,-,-,-,3,-,102,13,8,14,20,30,17
S00156936,55.90006856,-4.296698199,132,19,15,6,25,33,30,8,4,-,-,3,-,-,125,18,15,6,22,33,30
S00156937,55.90092498,-4.296076944,102,10,7,10,17,30,28,-,-,-,-,-,-,-,102,10,7,10,17,30,28
S00156938,55.90111075,-4.295272057,124,9,10,14,19,36,37,4,-,2,-,4,-,-,120,9,10,14,17,36,37
S00156939,55.90144604,-4.293196192,77,9,2,11,17,17,13,-,-,-,-,-,-,-,77,9,2,11,17,17,13
S00156940,55.90005435,-4.36015782,76,3,10,17,18,19,9,1,-,-,1,-,-,-,75,3,10,15,18,19,9
S00156941,55.90007977,-4.358831594,106,18,8,19,32,21,11,5,1,-,2,1,-,-,101,17,8,16,31,21,11
S00156942,55.90063362,-4.335445018,102,27,16,10,22,18,6,-,-,-,-,-,-,-,96,26,16,10,22,18,6
S00156943,55.90023647,-4.328894292,110,6,13,58,19,10,5,11,1,1,2,5,-,-,101,4,12,56,14,10,5
S00156944,55.89890517,-4.3596241,108,14,16,26,18,23,12,-,-,-,-,-,-,-,108,14,16,26,18,23,12
S00156945,55.90002799,-4.361531979,77,9,6,10,23,18,14,-,-,-,-,-,-,-,74,9,6,10,23,13,14
S00156946,55.898932,-4.34127749,135,22,27,9,29,35,23,6,-,2,-,-,2,-,129,22,20,9,29,33,15
S00156947,55.89959254,-4.354706772,122,17,5,18,17,26,37,3,1,-,1,-,-,1,115,16,5,17,17,26,36
S00156948,55.89968354,-4.378020063,97,18,12,12,17,19,19,1,-,-,-,1,-,-,96,18,12,12,12,19,19
S00156949,55.8973573,-4.320019901,123,14,10,18,19,31,31,4,1,-,-,1,2,-,119,13,10,18,21,33,31
S00156950,55.90211459,-4.25212155,131,27,17,15,30,22,18,3,-,2,-,-,-,-,126,27,16,15,28,22,18
S00156951,55.90209216,-4.249416654,118,26,9,15,26,18,26,6,6,-,-,1,-,-,115,21,9,15,25,18,26
S00156952,55.90191454,-4.257645105,131,11,13,21,24,30,35,2,-,-,-,-,2,-,129,11,13,21,24,28,35
S00156953,55.89905216,-4.374878019,159,20,12,24,27,38,35,3,2,-,1,-,-,-,153,18,12,23,27,38,35
S00156954,55.89941665,-4.376947921,95,19,13,8,20,20,15,-,-,-,-,-,-,-,95,19,13,8,20,20,15
S00156955,55.90142318,-4.25846441,94,6,11,12,13,23,29,-,-,-,-,-,-,-,94,6,11,12,13,23,29
S00156956,55.89531423,-4.34907309,122,15,3,21,21,32,30,1,-,-,-,-,1,-,121,15,3,21,21,31,30
S00156957,55.90026663,-4.289927167,87,11,3,8,12,13,42,1,-,-,1,-,-,-,86,11,3,12,12,13,42
S00156958,55.90031504,-4.300344106,105,20,3,14,16,26,26,17,8,-,-,6,-,-,87,8,3,8,10,26,26
S00156959,55.90112371,-4.287818045,90,5,7,3,18,28,27,2,-,4,-,-,2,-,86,5,7,3,18,26,27
S00156960,55.8983718,-4.329118439,125,24,17,26,38,20,7,8,6,-,4,-,-,-,117,20,17,22,38,20,7
S00156961,55.90013385,-4.33431117,132,27,28,24,29,19,1,6,-,6,-,1,-,-,124,27,23,24,28,19,1
S00156962,55.89973088,-4.322833134,153,18,13,9,26,48,39,8,-,-,-,2,2,1,143,14,13,9,24,45,37
S00156963,55.90008919,-4.333348658,65,13,7,10,25,8,2,2,1,-,-,-,-,-,67,9,7,10,24,8,2
S00156964,55.89989511,-4.36283567,85,4,6,20,19,19,14,2,-,-,-,2,-,-,83,4,6,20,17,19,14
S00156965,55.89945039,-4.365400134,82,8,8,15,16,30,11,2,-,1,-,1,-,-,81,8,5,15,15,30,11
S00156966,55.89785879,-4.371045922,144,40,23,12,27,27,15,5,3,-,-,-,2,-,139,37,23,12,26,26,15
S00156967,55.89992124,-4.338409641,97,6,14,10,16,24,19,-,-,-,-,-,-,-,97,6,14,10,16,24,19
S00156968,55.89900646,-4.333571568,124,14,17,13,30,39,15,4,1,-,1,1,-,2,120,13,17,12,26,39,12
S00156969,55.89965134,-4.332266561,87,25,13,14,16,18,2,-,-,-,-,-,-,-,87,25,13,14,16,18,2
S00156970,55.89953201,-4.361149895,105,20,13,12,11,18,23,3,-,-,-,-,-,3,103,20,13,12,11,18,21
S00156971,55.89943006,-4.36224749,81,9,4,7,26,18,18,3,2,-,-,1,-,-,78,7,4,7,21,18,18
S00156972,55.901494,-4.248214211,158,30,20,25,30,39,16,2,-,-,-,-,2,-,156,30,20,25,30,35,16
S00156973,55.90156439,-4.243371082,123,34,10,26,35,17,6,3,1,1,-,-,-,-,120,33,9,26,33,17,6
S00156974,55.8995238,-4.358765842,86,7,8,18,6,28,20,5,-,-,2,-,-,-,82,7,8,16,6,23,19
S00156975,55.89936902,-4.345702966,79,12,3,10,18,19,17,-,2,-,-,-,-,1,80,15,3,10,18,19,16
S00156976,55.90101401,-4.244475096,90,22,7,22,20,11,6,3,2,-,-,1,-,-,87,19,7,28,19,11,6
S00156977,55.89865645,-4.378149154,92,9,7,9,19,22,23,-,-,-,-,-,-,-,90,9,7,9,17,22,23
S00156978,55.90172551,-4.242420541,119,22,9,20,24,26,13,1,-,-,1,-,-,-,118,22,9,19,24,26,13
S00156979,55.90153823,-4.241353906,143,31,6,19,41,33,9,3,-,-,-,2,-,-,136,31,6,17,43,33,9
S00156980,55.90008782,-4.294219808,80,2,5,7,15,21,30,2,-,-,-,-,-,2,78,2,5,7,15,21,28
S00156981,55.89899844,-4.348639987,112,20,12,11,23,32,11,4,-,2,-,-,4,-,108,20,10,11,23,30,11
S00156982,55.89921565,-4.342430356,106,23,9,12,10,34,21,2,1,-,-,-,1,-,105,18,9,12,10,33,21
S00156983,55.898644,-4.369942082,114,11,10,9,27,35,22,2,2,-,-,1,-,-,111,10,10,9,26,35,22
S00156984,55.9007723,-4.257690705,77,5,3,13,9,32,16,-,-,-,-,-,-,-,77,5,3,13,9,32,16
S00156985,55.9001939,-4.287555327,62,3,4,5,11,24,16,-,-,-,-,-,-,-,62,3,4,5,11,24,16
S00156986,55.89883456,-4.366578391,128,15,15,14,30,29,27,-,-,-,-,-,-,1,126,15,15,14,29,29,26
S00156987,55.90108188,-4.250110024,146,32,24,20,21,33,20,5,2,1,-,-,-,-,143,30,26,20,21,33,20
S00156988,55.89885938,-4.355446174,62,4,2,6,15,21,18,-,-,-,-,-,-,-,62,4,2,6,15,21,18
S00156989,55.90034906,-4.237558033,117,9,12,27,13,37,20,1,-,-,1,-,-,-,116,9,12,25,13,37,20
S00156990,55.89799094,-4.378636299,116,23,15,9,25,20,20,-,-,-,-,-,-,-,116,23,15,9,25,20,20
S00156991,55.89866318,-4.354426491,125,16,6,26,26,15,40,2,-,-,-,2,-,-,124,16,6,26,25,15,40
S00156992,55.89833317,-4.34959155,85,6,7,14,10,21,27,6,-,-,-,3,1,1,79,6,7,13,7,20,23
S00156993,55.89954352,-4.299306624,87,12,9,10,10,25,16,5,2,-,1,1,1,-,77,7,9,9,8,27,16
S00156994,55.89896196,-4.327378192,81,2,16,30,19,8,6,3,-,-,2,-,-,1,78,2,16,26,19,8,5
S00156995,55.90031114,-4.253920631,193,34,24,22,42,43,24,2,-,-,-,1,1,-,187,34,24,22,37,42,24
S00156996,55.89720564,-4.333271455,108,18,11,15,16,28,17,2,-,-,-,1,-,-,106,17,11,15,18,28,17
S00156997,55.90084776,-4.241761987,63,12,8,-,7,15,22,-,-,-,-,-,-,-,63,12,8,-,7,15,22
S00156998,55.89850143,-4.368477692,118,11,10,12,24,41,24,3,-,1,-,1,1,-,115,11,11,12,23,40,24
S00156999,55.89770357,-4.358543356,97,9,5,12,28,27,17,5,-,-,1,2,2,-,92,9,5,14,26,23,17
S00157000,55.89780475,-4.339114054,91,8,13,13,20,27,12,-,-,-,-,-,-,-,91,8,13,13,20,27,12
S00157001,55.9003751,-4.238103426,107,20,4,16,19,13,34,-,-,-,-,-,-,-,107,20,4,16,19,13,34
S00157002,55.89848171,-4.362957662,112,14,9,22,14,23,30,3,-,-,1,-,2,1,109,14,9,23,14,22,29
S00157003,55.89898426,-4.300377286,111,8,9,28,18,29,19,4,1,-,-,-,2,2,107,10,9,28,18,27,18
S00157004,55.89912709,-4.304272917,73,8,6,26,9,9,11,1,-,-,-,-,1,-,72,8,6,26,9,8,11
S00157005,55.90077139,-4.248412349,79,6,7,8,22,22,12,-,-,-,-,-,-,-,79,6,7,8,22,22,12
S00157006,55.89794126,-4.376089825,95,14,11,15,20,17,17,4,-,-,-,1,-,-,90,14,11,15,19,18,17
S00157007,55.8974778,-4.364688177,89,7,1,13,20,23,26,1,-,-,-,1,-,-,91,7,1,13,19,23,26
S00157008,55.89781136,-4.360421467,126,15,4,21,21,35,30,2,-,-,3,-,1,-,123,15,4,18,21,34,30
S00157009,55.89703856,-4.341595278,134,10,13,32,30,30,19,3,-,-,2,-,-,1,131,10,13,29,30,30,21
S00157010,55.8985455,-4.332760053,114,19,26,16,22,28,7,3,-,1,-,1,1,-,111,19,21,16,21,27,7
S00157011,55.89759996,-4.339485632,115,18,15,16,23,30,13,2,1,-,-,1,2,-,115,17,15,16,22,28,13
S00157012,55.89773957,-4.33781444,93,10,8,12,24,17,22,4,2,-,-,1,-,2,93,8,8,12,23,17,25
S00157013,55.89751389,-4.341176035,109,9,12,8,13,41,24,4,-,1,-,-,-,2,105,9,11,8,13,40,22
S00157014,55.89917549,-4.242289352,156,28,12,26,27,36,31,-,-,-,-,-,-,-,156,28,12,26,27,36,31
S00157015,55.89734493,-4.299608399,144,2,33,28,18,43,23,6,-,5,-,-,2,-,138,2,28,28,18,42,23
S00157016,55.89854576,-4.327049326,89,6,8,21,27,19,8,3,-,-,2,-,2,-,86,6,8,21,27,17,8
S00157017,55.89782051,-4.30157207,90,-,9,24,10,26,23,1,-,-,-,1,-,-,89,-,9,24,7,26,23
S00157018,55.89965249,-4.251115005,160,18,15,21,30,39,38,3,1,-,-,-,-,2,158,17,15,21,30,39,36
S00157019,55.89675185,-4.379968082,95,7,13,13,15,28,21,12,-,3,3,1,2,-,86,7,6,14,14,26,21
S00157020,55.89770009,-4.323287578,80,2,3,24,17,23,11,-,-,-,-,-,-,-,80,2,3,24,17,23,11
S00157021,55.89785993,-4.367718748,105,17,16,17,15,24,12,1,-,-,-,-,-,1,97,17,16,17,15,24,10
S00157022,55.89601412,-4.260837184,118,23,9,18,28,20,20,-,-,-,-,-,-,-,118,23,9,18,28,20,20
S00157023,55.89847577,-4.245176253,71,8,3,6,14,18,22,-,-,-,-,-,-,-,71,8,3,6,14,18,22
