Scotland's Census 2022 - National Records of Scotland
Table UV408 - Number of bedrooms
All occupied households
,"All occupied households","One bedroom","Two bedrooms","Three bedrooms","Four bedrooms","Five or more bedrooms"
"S00167930",52,4,13,24,12,-
"S00167931",27,-,5,20,2,-
"S00167932",45,1,23,5,13,3
"S00167933",70,-,2,26,40,3
"S00167934",47,-,21,24,1,-
"S00167935",30,-,7,12,12,2
"S00167936",40,8,27,5,-,-
"S00167937",43,1,21,9,11,1
"S00167938",75,26,34,12,1,2
"S00167939",27,1,13,15,2,1
"S00167940",61,1,6,35,17,4
"S00167941",55,1,5,34,14,1
"S00167942",54,-,11,28,13,-
"S00167943",73,9,34,24,-,-
"S00167944",69,4,36,20,10,2
"S00167945",44,11,9,21,5,2
"S00167946",43,5,24,13,-,-
"S00167947",72,3,16,47,2,-
"S00167948",55,13,18,20,6,-
"S00167949",57,1,15,22,18,1
"S00167950",82,6,19,57,-,-
"S00167951",62,1,39,5,21,3
"S00167952",54,6,38,6,4,-
"S00167953",25,-,6,12,6,-
"S00167954",32,-,5,17,8,2
"S00167955",66,1,4,24,38,-
"S00167956",37,-,2,21,8,3
"S00167957",82,5,4,60,13,1
"S00167958",70,55,14,3,-,-
"S00167959",64,4,44,17,1,-
"S00167960",62,10,26,18,8,1
"S00167961",63,-,6,32,23,2
"S00167962",34,-,17,17,-,-
"S00167963",54,7,23,20,6,-
"S00167964",52,38,4,9,3,-
"S00167965",75,13,43,14,5,-
"S00167966",53,2,3,38,12,-
"S00167967",28,-,1,8,16,7
"S00167968",73,-,18,36,18,3
"S00167969",66,2,2,48,16,1
"S00167970",71,6,26,34,4,-
"S00167971",88,3,59,13,6,11
"S00167972",82,5,18,45,13,1
"S00167973",67,6,24,29,5,1
"S00167974",41,-,4,14,20,5
"S00167975",44,12,21,10,6,-
"S00167976",61,-,5,43,13,-
"S00167977",54,4,4,30,15,2
"S00167978",41,-,11,28,3,-
"S00167979",61,5,46,6,2,-
"S00167980",70,3,35,16,19,-
"S00167981",48,-,4,19,17,1
"S00167982",43,12,3,28,-,-
"S00167983",51,10,4,31,3,-
"S00167984",63,-,3,29,28,3
"S00167985",91,2,93,-,-,-
"S00167986",48,1,41,-,-,-
"S00167987",36,-,1,31,4,-
"S00167988",44,9,1,32,-,-
"S00167989",66,-,2,16,30,16
"S00167990",74,2,3,57,11,-
"S00167991",42,5,-,35,2,-
"S00167992",57,13,4,20,17,1
"S00167993",66,10,29,25,4,-
"S00167994",38,1,16,20,2,-
"S00167995",55,1,51,3,1,-
"S00167996",49,-,39,6,-,-
"S00167997",54,8,14,27,4,1
"S00167998",72,-,22,43,7,-
"S00167999",51,7,29,14,2,-
"S00168000",58,-,45,11,-,-
"S00168001",41,2,32,6,-,-
"S00168002",58,1,2,54,2,-
"S00168003",67,8,30,30,-,3
"S00168004",54,1,15,33,5,-
"S00168005",62,3,16,45,-,-
"S00168006",75,18,4,27,24,1
"S00168007",46,-,3,19,22,2
"S00168008",38,1,30,6,1,-
"S00168009",72,3,16,52,1,-
"S00168010",49,8,12,21,6,2
"S00168011",53,-,48,7,-,-
"S00168012",47,1,30,13,4,-
"S00168013",76,2,6,50,15,1
"S00168014",61,-,30,30,-,2
"S00168015",76,28,21,27,-,-
"S00168016",83,3,38,22,19,1
"S00168017",68,6,11,36,7,2
"S00168018",54,7,12,33,3,-
"S00168019",41,-,21,19,-,-
"S00168020",43,9,17,18,2,-
"S00168021",46,5,13,23,3,-
"S00168022",46,-,-,15,21,8
"S00168023",38,2,11,16,5,1
"S00168024",41,2,11,27,-,-
"S00168025",74,-,1,3,46,24
"S00168026",70,2,12,32,23,2
"S00168027",68,-,3,21,45,5
"S00168028",67,1,62,4,-,-
"S00168029",42,3,36,5,-,-
"S00168030",63,-,2,19,29,13
"S00168031",60,12,19,28,1,-
"S00168032",28,-,1,25,-,-
"S00168033",44,1,11,31,1,-
"S00168034",34,-,17,14,-,-
"S00168035",41,1,34,6,-,-
"S00168036",61,-,58,3,-,-
"S00168037",48,4,41,1,-,-
"S00168038",79,-,31,9,24,14
"S00168039",53,-,-,9,33,8
"S00168040",51,6,15,23,6,1
"S00168041",73,3,2,60,7,-
"S00168042",54,3,8,42,-,1
"S00168043",71,1,6,24,26,14
"S00168044",52,-,2,8,30,16
"S00168045",52,5,36,12,1,-
"S00168046",47,10,6,20,10,1
"S00168047",41,-,26,12,2,1
"S00168048",48,4,42,1,-,-
"S00168049",61,3,15,22,16,5
"S00168050",80,2,57,28,1,-
"S00168051",52,-,7,17,23,5
"S00168052",56,2,21,26,8,-
"S00168053",69,3,22,38,5,1
"S00168054",53,13,6,35,2,-
"S00168055",79,-,68,3,7,-
"S00168056",72,9,51,13,1,-
"S00168057",33,-,6,11,12,1
"S00168058",39,-,-,17,16,5
"S00168059",62,5,11,45,1,-
"S00168060",64,6,29,28,-,1
"S00168061",41,-,-,20,16,1
"S00168062",79,2,4,60,11,1
"S00168063",31,1,3,22,7,2
"S00168064",44,1,10,18,14,1
"S00168065",40,1,4,14,19,4
"S00168066",51,-,6,20,22,3
"S00168067",71,-,5,6,41,18
"S00168068",58,6,23,32,1,-
"S00168069",41,-,-,26,12,3
"S00168070",55,2,26,24,3,-
"S00168071",75,19,34,20,7,2
"S00168072",62,5,9,42,6,-
"S00168073",43,1,37,5,-,-
"S00168074",49,3,40,3,2,1
"S00168075",45,12,23,9,-,-
"S00168076",38,2,4,29,3,2
"S00168077",51,1,12,30,5,2
"S00168078",79,2,60,13,1,-
"S00168079",56,-,1,10,32,8
"S00168080",46,4,11,25,2,-
"S00168081",45,1,15,22,8,2
"S00168082",60,6,18,32,4,-
"S00168083",49,-,-,-,27,20
"S00168084",37,8,17,11,1,-
"S00168085",52,2,29,21,1,-
"S00168086",56,1,10,37,3,1
"S00168087",38,5,1,31,1,-
"S00168088",49,-,41,7,-,-
"S00168089",69,6,33,23,5,4
"S00168090",69,3,8,30,24,5
"S00168091",43,18,2,21,6,-
"S00168092",37,-,-,31,4,-
"S00168093",36,8,5,22,4,-
"S00168094",67,18,34,15,-,-
"S00168095",52,-,26,27,2,-
"S00168096",54,-,13,40,4,-
"S00168097",87,15,23,42,6,-
"S00168098",47,3,12,31,4,-
"S00168099",42,-,1,35,6,-
"S00168100",52,24,16,9,1,-
"S00168101",82,12,25,40,3,7
"S00168102",53,-,27,22,2,2
"S00168103",61,5,19,33,4,1
"S00168104",61,1,52,6,3,-
"S00168105",63,5,46,9,3,-
"S00168106",78,45,29,4,-,-
"S00168107",73,31,14,21,3,-
"S00168108",74,10,46,15,2,1
"S00168109",39,-,1,35,7,-
"S00168110",70,4,19,40,6,1
"S00168111",51,-,4,37,10,-
"S00168112",66,-,2,15,50,-
"S00168113",63,1,4,43,3,11
"S00168114",56,4,3,39,4,-
"S00168115",66,11,13,42,4,-
"S00168116",83,20,24,37,3,1
"S00168117",36,-,11,25,2,-
"S00168118",51,2,46,3,1,-
"S00168119",34,-,13,13,3,1
"S00168120",42,2,34,5,1,-
"S00168121",38,1,1,30,6,-
"S00168122",72,1,11,39,20,1
"S00168123",45,3,2,32,5,1
"S00168124",89,2,16,47,19,1
"S00168125",42,15,17,6,3,-
"S00168126",44,-,16,18,9,2
"S00168127",47,5,13,20,4,-
"S00168128",36,4,15,15,3,-
"S00168129",68,8,2,54,4,3
"S00168130",63,51,10,1,-,-
"S00168131",47,-,13,25,9,-
"S00168132",60,17,13,27,1,2
"S00168133",55,-,6,40,4,-
"S00168134",41,1,5,31,4,-
"S00168135",74,4,17,38,13,2
"S00168136",68,-,4,50,14,-
"S00168137",51,15,25,10,2,1
"S00168138",32,1,2,24,1,4
"S00168139",52,-,13,33,2,-
"S00168140",41,-,2,36,1,-
"S00168141",43,-,11,27,4,-
"S00168142",64,-,7,50,5,-
"S00168143",62,1,14,26,13,5
"S00168144",59,4,20,32,3,-
"S00168145",70,-,1,64,5,-
"S00168146",78,10,4,58,5,-
"S00168147",35,2,-,36,-,-
"S00168148",41,1,4,36,1,1
"S00168149",54,-,10,41,3,-
"S00168150",55,-,12,30,10,3
"S00168151",70,2,23,27,20,2
"S00168152",49,10,11,24,3,1
"S00168153",38,-,3,30,5,-
"S00168154",68,-,5,60,2,-
"S00168155",52,-,4,42,6,-
"S00168156",66,-,17,31,17,1
"S00168157",35,6,3,27,1,-
"S00168158",74,8,34,31,1,-
"S00168159",54,-,7,25,18,4
"S00168160",47,1,1,43,1,2
"S00168161",45,6,25,14,1,-
"S00168162",79,22,53,3,-,1
"S00168163",47,-,-,11,25,11
"S00168164",51,1,18,28,4,-
"S00168165",73,2,29,41,-,-
"S00168166",57,8,22,25,2,-
"S00168167",32,-,-,12,19,1
"S00168168",76,-,-,30,36,9
"S00168169",70,-,3,62,5,-
"S00168170",48,4,10,30,5,1
"S00168171",47,2,1,40,-,-
"S00168172",27,-,11,13,3,1
"S00168173",46,3,42,1,-,-
"S00168174",34,-,1,28,5,-
"S00168175",29,-,11,16,2,-
"S00168176",57,-,3,56,-,-
"S00168177",53,-,-,47,3,-
"S00168178",57,-,18,15,16,6
"S00168179",62,3,41,17,-,-
"S00168180",55,2,5,43,5,-
"S00168181",41,-,1,9,29,2
"S00168182",29,-,21,6,-,-
"S00168183",67,8,31,27,-,1
"S00168184",56,1,4,48,3,-
"S00168185",49,1,9,16,23,-
"S00168186",36,-,3,29,4,-
"S00168187",83,7,60,13,2,3
"S00168188",47,6,14,23,3,2
"S00168189",72,3,11,46,5,1
"S00168190",51,4,34,12,1,-
"S00168191",55,7,16,27,3,2
"S00168192",55,1,23,29,2,1
"S00168193",48,10,1,29,7,2
"S00168194",42,9,6,25,1,1
"S00168195",54,-,30,24,-,-
"S00168196",77,14,46,15,-,-
"S00168197",72,13,15,37,5,4
"S00168198",48,4,3,9,25,5
"S00168199",64,5,18,30,4,3
"S00168200",36,4,3,28,3,-
"S00168201",44,-,10,22,10,-
"S00168202",52,-,31,15,3,-
"S00168203",75,-,4,54,16,4
"S00168204",62,1,1,45,13,2
"S00168205",43,7,11,21,3,1
"S00168206",57,6,15,28,5,6
"S00168207",65,4,22,34,3,2
"S00168208",72,5,16,39,12,-
"S00168209",31,-,2,26,2,-
"S00168210",61,-,5,39,15,4
"S00168211",52,17,18,12,1,1
"S00168212",45,2,2,31,10,2
"S00168213",60,29,5,19,5,1
"S00168214",63,10,21,27,1,4
"S00168215",62,2,16,26,9,8
"S00168216",49,-,3,24,19,6
"S00168217",55,4,1,6,39,4
"S00168218",46,6,1,19,11,4
"S00168219",47,1,1,18,25,-
"S00168220",54,-,17,15,19,3
"S00168221",44,9,7,24,-,4
"S00168222",66,1,20,45,3,1
"S00168223",61,2,30,21,8,-
"S00168224",49,4,-,36,11,3
"S00168225",77,6,21,29,11,5
"S00168226",40,5,11,16,7,1
"S00168227",30,2,5,18,-,3
"S00168228",72,1,9,51,9,-
"S00168229",66,8,29,23,-,-
"S00168230",56,1,7,40,10,1
"S00168231",60,6,22,27,4,3
"S00168232",45,-,-,27,22,-
"S00168233",40,4,17,17,2,-
"S00168234",37,6,11,17,3,3
"S00168235",41,5,6,27,1,-
"S00168236",43,-,5,24,17,-
"S00168237",77,5,14,42,10,6
"S00168238",58,-,-,6,41,11
"S00168239",60,6,3,31,23,-
"S00168240",56,6,34,16,-,-
"S00168241",31,4,-,25,3,-
"S00168242",27,8,1,8,6,-
"S00168243",58,1,23,21,13,-
"S00168244",60,1,16,29,13,1
"S00168245",61,6,18,27,4,3
"S00168246",71,7,17,40,6,-
"S00168247",44,2,6,18,10,5
"S00168248",69,-,30,36,3,-
"S00168249",43,8,6,28,-,-
"S00168250",58,-,7,32,12,7
"S00168251",38,4,8,20,3,-
"S00168252",62,6,15,32,4,5
"S00168253",33,-,3,13,12,5
"S00168254",56,6,1,27,22,-
"S00168255",28,2,6,13,9,-
"S00168256",49,-,7,36,6,-
"S00168257",58,7,3,37,10,1
"S00168258",61,1,1,18,34,11
"S00168259",73,11,28,25,9,2
"S00168260",61,1,20,37,2,-
"S00168261",40,7,18,8,4,3
"S00168262",43,-,17,30,-,-
"S00168263",72,-,1,14,55,2
"S00168264",56,2,5,40,4,3
"S00168265",46,-,12,30,3,-
"S00168266",34,-,5,28,-,1
"S00168267",47,-,5,39,3,-
"S00168268",75,-,-,15,59,1
"S00168269",30,2,6,16,3,-
"S00168270",33,6,9,13,7,1
"S00168271",39,2,-,27,10,-
"S00168272",65,4,33,26,4,-
"S00168273",48,5,15,26,1,-
"S00168274",71,-,1,30,43,2
"S00168275",42,-,5,17,13,4
"S00168276",55,7,2,45,-,-
"S00168277",76,31,19,21,4,2
"S00168278",54,22,17,8,1,-
"S00168279",60,2,10,26,13,4
"S00168280",60,7,18,21,11,3
"S00168281",44,8,13,16,7,-
"S00168282",42,-,13,27,2,-
"S00168283",70,18,28,20,-,-
"S00168284",50,2,7,30,8,1
"S00168285",63,-,-,41,20,2
"S00168286",70,1,5,46,17,2
"S00168287",28,-,-,14,11,2
"S00168288",53,2,9,21,15,7
"S00168289",39,2,13,16,6,4
"S00168290",50,1,8,18,15,8
"S00168291",44,-,7,28,6,3
"S00168292",50,-,7,29,13,2
"S00168293",38,-,2,26,8,-
"S00168294",55,-,24,29,2,-
"S00168295",33,-,2,28,3,-
"S00168296",51,-,-,16,27,7
"S00168297",71,2,10,52,2,2
"S00168298",79,-,21,30,22,6
"S00168299",47,-,1,8,33,5
"S00168300",42,1,3,28,10,2
"S00168301",71,1,17,52,2,-
"S00168302",54,-,21,12,12,5
"S00168303",84,2,7,41,31,2
"S00168304",62,-,15,41,7,2
"S00168305",50,2,5,34,8,2
"S00168306",44,8,17,14,5,-
"S00168307",39,1,29,5,4,2
"S00168308",30,-,2,3,25,4
"S00168309",49,2,26,15,4,-
"S00168310",66,-,14,25,22,2
"S00168311",51,4,29,15,3,-
"S00168312",48,-,3,22,16,-
"S00168313",57,1,18,28,8,1
"S00168314",48,-,22,20,6,2
"S00168315",44,2,17,22,3,-
"S00168316",43,-,7,29,7,-
"S00168317",48,-,11,30,7,1
"S00168318",87,7,24,35,19,2
"S00168319",65,5,27,28,4,1
"S00168320",41,-,32,8,-,-
"S00168321",41,-,-,35,4,-
"S00168322",47,29,7,10,-,-
"S00168323",40,-,16,22,2,-
"S00168324",27,-,16,2,7,2
"S00168325",47,-,3,32,9,3
"S00168326",60,-,36,23,2,-
"S00168327",66,2,16,19,25,4
"S00168328",82,1,20,47,13,1
"S00168329",47,-,19,22,5,1
"S00168330",76,1,36,17,20,2
"S00168331",68,-,28,37,3,-
"S00168332",48,2,16,21,10,-
"S00168333",42,1,34,6,-,-
"S00168334",53,14,22,11,4,3
"S00168335",54,4,23,19,8,-
"S00168336",36,9,20,4,-,-
"S00168337",57,31,19,10,-,-
"S00168338",82,4,14,51,16,-
"S00168339",30,-,9,4,7,9
"S00168340",75,4,17,28,12,12
"S00168341",39,-,35,5,-,-
"S00168342",45,1,30,14,1,-
"S00168343",74,9,28,35,-,-
"S00168344",51,5,32,11,-,-
"S00168345",48,-,25,23,-,-
"S00168346",46,4,5,5,20,8
"S00168347",52,6,24,19,1,-
"S00168348",50,2,20,27,2,-
"S00168349",41,-,30,15,-,-
"S00168350",60,10,17,26,8,1
"S00168351",41,8,16,17,-,-
"S00168352",44,1,28,14,2,-
"S00168353",62,7,13,26,8,3
"S00168354",49,1,31,17,-,-
"S00168355",39,1,6,19,12,1
"S00168356",76,24,43,8,-,-
"S00168357",44,6,24,11,-,-
"S00168358",56,10,30,8,7,1
"S00168359",58,12,34,7,2,-
"S00168360",64,3,37,9,8,3
"S00168361",50,2,37,17,-,-
"S00168362",44,-,19,20,5,-
"S00168363",42,3,17,18,9,1
"S00168364",46,10,26,11,-,-
"S00168365",65,-,-,23,36,6
"S00168366",60,1,15,32,10,3
"S00168367",70,-,4,10,34,21
"S00168368",49,9,21,17,2,-
"S00168369",52,-,2,25,17,8
"S00168370",37,-,-,3,25,10
"S00168371",59,2,12,38,6,1
"S00168372",51,-,20,23,8,1
"S00168373",43,4,38,1,-,-
"S00168374",55,1,33,20,3,-
"S00168375",46,-,3,32,12,-
"S00168376",53,1,4,12,30,8
"S00168377",41,3,7,14,13,6
"S00168378",54,5,19,23,4,3
"S00168379",50,3,11,32,4,-
"S00168380",55,15,16,16,4,-
"S00168381",53,-,1,40,11,1
"S00168382",40,1,2,34,2,-
"S00168383",49,2,27,18,4,-
"S00168384",35,-,5,23,6,2
"S00168385",52,7,23,21,1,-
"S00168386",50,23,21,5,1,-
"S00168387",42,-,-,31,6,-
"S00168388",37,-,3,32,3,-
"S00168389",76,17,7,45,5,2
"S00168390",54,-,12,39,1,-
"S00168391",65,2,13,28,17,7
"S00168392",34,-,1,31,1,-
"S00168393",69,2,15,38,9,2
"S00168394",39,1,5,31,1,1
"S00168395",48,4,15,18,7,1
"S00168396",42,5,13,20,3,1
"S00168397",62,5,31,21,5,-
"S00168398",45,25,16,1,1,-
"S00168399",42,-,13,13,12,2
"S00168400",45,-,8,25,7,6
"S00168401",60,1,4,37,13,4
"S00168402",37,-,23,10,3,-
"S00168403",73,-,7,40,29,-
"S00168404",37,15,15,5,4,2
"S00168405",67,-,5,29,30,3
"S00168406",50,-,4,20,22,3
"S00168407",44,-,18,13,11,-
"S00168408",39,-,22,14,4,1
"S00168409",43,6,9,21,-,-
"S00168410",58,-,4,39,17,-
"S00168411",51,-,34,10,8,-
"S00168412",61,-,2,9,47,3
"S00168413",44,-,22,13,15,-
"S00168414",47,1,22,17,7,-
"S00168415",81,1,29,12,31,6
"S00168416",44,-,4,8,31,-
"S00168417",37,1,3,10,14,8
"S00168418",74,-,4,40,20,10
"S00168419",56,-,12,33,10,1
"S00168420",35,-,11,10,14,4
"S00168421",75,-,10,29,26,13
"S00168422",75,1,9,38,20,7
"S00168423",43,1,4,24,11,3
"S00168424",28,-,17,6,1,-
"S00168425",55,4,16,29,6,-
"S00168426",72,4,13,28,22,11
"S00168427",37,1,5,18,11,3
"S00168428",60,-,22,28,10,-
"S00168429",38,-,14,23,4,-
"S00168430",51,-,1,27,23,-
"S00168431",51,1,26,20,-,2
"S00168432",31,-,2,11,14,4
"S00168433",62,14,29,16,4,1
"S00168434",85,-,1,27,50,5
"S00168435",35,-,10,13,11,1
"S00168436",49,-,-,32,17,1
"S00168437",75,15,24,28,-,-
"S00168438",28,-,3,15,9,-
"S00168439",63,1,9,22,24,4
"S00168440",35,5,11,10,5,4
"S00168441",43,-,4,34,5,1
"S00168442",34,1,2,13,17,1
"S00168443",54,22,25,5,1,-
"S00168444",49,1,12,23,13,-
"S00168445",36,-,2,24,7,5
"S00168446",45,-,13,29,4,2
"S00168447",71,5,55,5,6,-
"S00168448",51,4,13,20,12,1
"S00168449",47,2,23,12,11,2
"S00168450",45,13,9,24,3,-
"S00168451",58,8,23,21,6,2
"S00168452",66,-,4,11,46,6
"S00168453",46,2,3,4,15,22
"S00168454",49,-,2,5,25,17
"S00168455",57,3,7,32,15,1
"S00168456",62,3,30,21,6,-
"S00168457",47,-,4,27,12,-
"S00168458",81,2,34,29,15,2
"S00168459",45,1,12,22,10,-
"S00168460",70,-,3,21,43,3
"S00168461",48,-,12,13,19,1
"S00168462",61,1,14,16,29,1
"S00168463",66,3,4,26,26,-
"S00168464",59,-,38,14,7,2
"S00168465",37,3,10,23,6,-
"S00168466",69,8,54,6,2,-
"S00168467",32,-,10,8,7,4
"S00168468",47,1,1,40,4,-
"S00168469",52,1,-,21,25,2
"S00168470",77,-,-,18,56,4
"S00168471",52,-,-,44,6,-
"S00168472",67,-,10,18,38,-
"S00168473",70,1,50,15,3,-
"S00168474",63,-,7,42,13,2
"S00168475",75,-,25,37,12,1
"S00168476",71,-,27,43,2,1
"S00168477",32,-,3,23,4,2
"S00168478",72,12,36,16,8,-
"S00168479",32,-,15,14,2,2
"S00168480",54,-,1,13,35,5
"S00168481",41,-,3,36,1,-
"S00168482",37,11,23,1,1,-
"S00168483",65,-,15,50,-,-
"S00168484",62,5,45,7,4,-
"S00168485",54,-,6,35,10,1
"S00168486",64,-,1,25,33,2
"S00168487",42,-,32,9,-,-
"S00168488",81,3,15,52,14,-
"S00168489",26,-,-,9,17,2
"S00168490",35,12,18,6,1,-
"S00168491",45,1,11,25,8,-
"S00168492",62,2,26,26,6,2
"S00168493",66,4,21,28,15,-
"S00168494",44,-,7,26,10,1
"S00168495",53,-,7,15,28,3
"S00168496",49,-,13,15,17,-
"S00168497",43,4,20,16,3,-
"S00168498",45,10,7,24,3,-
"S00168499",84,9,36,25,12,2
"S00168500",46,1,14,10,10,7
"S00168501",69,-,12,55,-,-
"S00168502",42,-,4,4,27,12
"S00168503",38,1,3,16,19,1
"S00168504",63,-,37,17,5,-
"S00168505",57,-,24,26,7,-
"S00168506",80,-,2,18,47,13
"S00168507",47,2,10,19,13,2
"S00168508",52,1,2,27,14,11
"S00168509",42,23,7,8,2,-
"S00168510",82,-,10,42,22,7
"S00168511",37,-,4,12,16,3
"S00168512",50,11,13,1,15,6
"S00168513",50,10,7,19,7,3
"S00168514",51,38,14,1,1,-
"S00168515",105,-,29,44,30,-
"S00168516",31,4,6,21,1,1
"S00168517",38,-,7,28,2,-
"S00168518",44,4,21,15,4,-
"S00168519",74,15,40,18,-,1
"S00168520",43,1,22,17,1,1
"S00168521",40,1,26,11,1,1
"S00168522",64,-,7,32,24,1
"S00168523",61,21,30,10,-,-
"S00168524",49,9,15,4,13,11
"S00168525",46,-,3,6,31,6
"S00168526",39,2,16,21,-,-
"S00168527",45,-,3,18,16,4
"S00168528",54,2,21,30,1,-
"S00168529",42,-,2,28,7,-
"S00168530",73,-,1,28,41,-
"S00168531",81,3,29,40,8,1
"S00168532",69,4,35,27,3,-
"S00168533",46,-,5,9,31,-
"S00168534",50,1,6,36,1,-
"S00168535",56,-,25,22,10,1
"S00168536",42,2,34,6,-,-
"S00168537",72,-,19,34,15,3
"S00168538",35,-,-,8,28,3
"S00168539",38,-,28,8,-,-
"S00168540",33,2,6,8,15,3
"S00168541",45,-,1,21,19,4
"S00168542",31,-,5,13,14,2
"S00168543",39,-,3,23,13,-
"S00168544",80,-,11,42,23,3
"S00168545",65,2,38,19,1,1
"S00168546",49,1,8,29,10,1
"S00168547",44,5,30,7,2,-
"S00168548",81,-,14,57,1,10
"S00168549",70,31,33,6,-,-
"S00168550",36,-,23,7,5,1
"S00168551",46,5,21,5,9,9
"S00168552",37,-,5,15,13,1
"S00168553",38,9,24,3,-,1
"S00168554",48,2,-,1,41,3
"S00168555",64,1,37,15,4,5
"S00168556",53,1,16,28,7,1
"S00168557",47,-,3,10,20,14
"S00168558",53,-,6,16,27,4
"S00168559",45,-,3,27,19,1
"S00168560",53,-,-,1,46,4
"S00168561",67,-,6,38,23,-
"S00168562",42,1,6,13,18,4
"S00168563",58,1,30,29,2,-
"S00168564",29,-,1,12,9,9
"S00168565",55,-,33,20,2,-
"S00168566",39,-,4,29,6,2
"S00168567",70,2,25,31,8,2
"S00168568",56,6,31,18,1,2
"S00168569",36,6,14,15,-,-
"S00168570",78,-,3,14,31,30
"S00168571",59,14,30,14,1,-
"S00168572",77,9,43,15,6,2
"S00168573",63,-,4,37,17,4
"S00168574",58,-,41,17,2,-
"S00168575",60,1,37,19,2,-
"S00168576",44,2,14,16,8,1
"S00168577",54,1,20,22,4,1
"S00168578",41,12,10,22,-,-
"S00168579",44,-,10,24,12,3
"S00168580",63,-,35,26,-,1
"S00168581",69,4,30,30,5,-
"S00168582",37,-,17,15,10,-
"S00168583",69,12,26,22,6,-
"S00168584",47,6,25,19,1,2
"S00168585",73,-,28,34,12,2
"S00168586",75,3,22,43,6,1
"S00168587",69,6,37,25,2,-
"S00168588",66,1,36,23,8,1
"S00168589",47,19,4,23,1,-
"S00168590",41,4,7,28,2,-
"S00168591",39,-,9,25,2,-
"S00168592",41,-,3,39,1,-
"S00168593",38,-,2,35,5,-
"S00168594",55,-,33,21,-,-
"S00168595",42,8,22,12,-,1
"S00168596",67,1,2,59,4,-
"S00168597",41,2,25,13,-,-
"S00168598",74,11,28,24,8,3
"S00168599",62,6,30,22,2,-
"S00168600",36,1,22,7,5,2
"S00168601",39,18,1,24,1,-
"S00168602",44,6,19,15,5,-
"S00168603",72,-,51,20,1,-
"S00168604",52,-,2,48,3,-
"S00168605",75,-,10,34,25,6
"S00168606",49,7,1,38,1,-
"S00168607",65,-,37,24,-,-
"S00168608",65,-,38,26,-,-
"S00168609",45,6,23,13,2,1
"S00168610",29,-,11,18,-,-
"S00168611",33,2,1,30,-,-
"S00168612",41,4,27,9,1,-
"S00168613",77,20,48,6,1,-
"S00168614",46,4,15,26,1,-
"S00168615",45,2,15,26,-,-
"S00168616",49,15,20,10,-,-
"S00168617",49,7,21,19,2,-
"S00168618",55,-,12,31,7,1
"S00168619",81,32,16,28,5,-
"S00168620",68,10,4,48,3,-
"S00168621",55,6,21,26,2,-
"S00168622",53,-,7,40,4,-
"S00168623",75,4,37,35,3,-
"S00168624",59,-,31,27,1,-
"S00168625",46,-,24,22,-,-
"S00168626",52,-,2,49,1,-
"S00168627",75,1,1,67,2,1
"S00168628",43,-,2,31,9,1
"S00168629",42,-,2,34,6,2
"S00168630",37,4,16,14,-,1
"S00168631",56,1,22,19,10,2
"S00168632",48,-,13,28,7,-
"S00168633",63,7,4,42,12,-
"S00168634",73,-,27,19,23,-
"S00168635",46,-,2,40,3,-
"S00168636",45,5,10,29,2,-
"S00168637",42,-,3,34,5,-
"S00168638",37,5,20,8,1,-
"S00168639",49,-,31,17,2,-
"S00168640",73,-,15,24,30,4
"S00168641",63,2,1,56,2,-
"S00168642",68,2,15,50,-,-
"S00168643",37,4,8,13,12,-
"S00168644",54,1,21,34,1,-
"S00168645",34,6,1,26,-,-
"S00168646",69,-,32,25,11,-
"S00168647",34,7,18,8,1,-
"S00168648",81,-,4,24,45,10
"S00168649",51,3,33,9,3,-
"S00168650",47,-,-,44,3,-
"S00168651",36,1,-,37,1,1
"S00168652",46,-,1,43,2,-
"S00168653",71,18,36,17,-,-
"S00168654",36,-,2,10,16,4
"S00168655",35,2,12,8,13,-
"S00168656",54,4,34,14,1,-
"S00168657",51,1,27,22,1,-
"S00168658",50,-,2,12,34,4
"S00168659",54,2,4,26,21,1
"S00168660",41,13,7,22,-,-
"S00168661",27,-,9,18,-,-
"S00168662",77,1,34,38,2,-
"S00168663",46,-,2,12,27,6
"S00168664",74,-,39,33,-,-
"S00168665",48,2,21,20,5,-
"S00168666",53,-,20,28,3,-
"S00168667",49,1,2,41,3,-
"S00168668",39,1,15,21,2,-
"S00168669",31,1,15,13,2,-
"S00168670",49,2,6,37,4,1
"S00168671",38,-,15,16,7,-
"S00168672",56,7,14,26,6,1
"S00168673",52,4,39,8,2,-
"S00168674",65,1,38,25,1,-
"S00168675",47,-,12,30,5,-
"S00168676",69,1,4,25,41,1
"S00168677",71,-,14,43,7,2
"S00168678",65,10,32,24,1,1
"S00168679",40,1,17,22,-,-
"S00168680",43,1,4,34,-,1
"S00168681",73,8,12,45,5,-
"S00168682",40,17,10,8,4,-
"S00168683",61,-,-,29,32,-
"S00168684",44,-,35,4,1,1
"S00168685",53,2,14,28,7,-
"S00168686",75,47,26,5,2,-
"S00168687",47,31,15,-,-,-
"S00168688",47,-,21,25,2,-
"S00168689",30,-,2,3,20,-
"S00168690",64,-,20,42,1,-
"S00168691",77,-,31,36,8,2
"S00168692",39,-,21,14,4,-
"S00168693",46,7,26,12,2,-
"S00168694",59,9,33,13,1,-
"S00168695",70,2,29,31,8,-
"S00168696",38,3,19,9,1,-
"S00168697",63,45,16,-,1,2
"S00168698",41,6,33,1,-,1
"S00168699",45,-,25,13,8,-
"S00168700",40,3,32,5,-,-
"S00168701",71,13,25,31,-,-
