Scotland's Census 2022 - National Records of Scotland
Table UV408 - Number of bedrooms
All occupied households
,"All occupied households","One bedroom","Two bedrooms","Three bedrooms","Four bedrooms","Five or more bedrooms"
"S00135806",49,-,4,44,1,-
"S00135807",55,6,52,-,-,-
"S00135808",67,40,6,21,-,1
"S00135809",45,-,25,20,1,-
"S00135810",41,-,-,14,25,1
"S00135811",64,10,9,35,10,-
"S00135812",61,4,50,4,-,2
"S00135813",57,5,50,3,-,1
"S00135814",38,3,35,-,-,-
"S00135815",56,48,6,2,-,-
"S00135816",60,4,49,7,-,-
"S00135817",46,-,7,41,1,-
"S00135818",58,9,31,17,1,-
"S00135819",46,-,18,22,1,2
"S00135820",71,10,43,15,3,1
"S00135821",43,19,8,17,-,-
"S00135822",53,2,12,25,9,1
"S00135823",67,2,26,37,2,-
"S00135824",71,1,24,44,2,-
"S00135825",39,-,22,19,1,-
"S00135826",36,-,15,19,-,2
"S00135827",30,2,-,31,2,-
"S00135828",69,5,57,7,4,-
"S00135829",65,42,20,-,-,2
"S00135830",41,8,25,7,1,-
"S00135831",47,-,21,24,1,-
"S00135832",98,18,73,2,-,2
"S00135833",50,-,5,37,3,3
"S00135834",51,17,11,15,5,4
"S00135835",102,24,76,-,-,-
"S00135836",43,-,3,40,-,-
"S00135837",63,4,41,15,3,-
"S00135838",61,17,23,10,7,4
"S00135839",71,4,28,35,8,-
"S00135840",70,1,54,9,6,-
"S00135841",38,11,9,16,2,-
"S00135842",50,10,26,12,2,-
"S00135843",62,48,12,-,-,-
"S00135844",42,26,7,12,1,-
"S00135845",35,-,18,12,1,-
"S00135846",69,8,47,14,1,-
"S00135847",37,20,10,4,3,1
"S00135848",58,1,51,5,-,-
"S00135849",57,50,4,-,-,-
"S00135850",33,-,2,13,16,1
"S00135851",44,-,2,41,-,1
"S00135852",38,23,10,9,-,-
"S00135853",65,58,8,-,-,1
"S00135854",36,2,17,12,3,1
"S00135855",74,62,8,1,-,-
"S00135856",42,35,9,-,-,-
"S00135857",27,3,6,11,7,1
"S00135858",26,-,1,23,-,-
"S00135859",51,41,6,-,-,4
"S00135860",45,2,3,38,-,1
"S00135861",61,16,29,11,3,1
"S00135862",39,-,23,18,-,-
"S00135863",38,-,13,23,2,-
"S00135864",42,3,18,12,2,5
"S00135865",47,1,15,23,5,1
"S00135866",30,5,2,20,5,1
"S00135867",50,7,14,23,1,5
"S00135868",67,10,30,18,7,1
"S00135869",28,1,6,17,3,-
"S00135870",56,34,14,6,-,-
"S00135871",75,17,26,20,10,-
"S00135872",70,49,14,5,-,4
"S00135873",55,-,28,27,-,-
"S00135874",63,3,35,18,7,1
"S00135875",54,-,20,31,3,-
"S00135876",43,1,2,40,-,1
"S00135877",63,-,15,47,-,1
"S00135878",71,-,31,17,17,4
"S00135879",37,-,18,16,3,-
"S00135880",66,26,20,13,5,2
"S00135881",51,1,20,28,2,-
"S00135882",42,4,12,25,-,1
"S00135883",37,-,10,29,-,-
"S00135884",35,5,15,16,2,-
"S00135885",64,56,7,1,-,-
"S00135886",52,-,48,6,-,-
"S00135887",45,22,16,2,1,2
