Scotland's Census 2022 - National Records of Scotland
Table UV111 - Household lifestage
All households
,"All households","HRP aged under 35: Total","HRP aged under 35: One person household","HRP aged under 35: Two or more person household – no dependent child(ren)","HRP aged under 35: Two or more person household – with dependent child(ren)","HRP aged 35 to 54: Total","HRP aged 35 to 54: One person household","HRP aged 35 to 54: Two or more person household – no dependent child(ren)","HRP aged 35 to 54: Two or more person household – with dependent child(ren)","HRP aged 55 to 64: Total","HRP aged 55 to 64: One person household","HRP aged 55 to 64: Two or more person household – no dependent child(ren)","HRP aged 55 to 64: Two or more person household – with dependent child(ren)","HRP aged 65 to 74: Total","HRP aged 65 to 74: One person household","HRP aged 65 to 74: Two or more person household – no dependent child(ren)","HRP aged 65 to 74: Two or more person household – with dependent child(ren)","HRP aged 75 and over: Total","HRP aged 75 and over: One person household","HRP aged 75 and over: Two or more person household – no dependent child(ren)","HRP aged 75 and over: Two or more person household – with dependent child(ren)"
"S00175544",62,2,-,2,-,8,2,1,6,14,4,9,-,17,6,10,-,18,5,13,-
"S00175545",58,4,-,2,1,27,-,4,23,18,3,14,1,9,-,9,-,2,-,2,-
"S00175546",59,8,3,-,5,20,5,3,12,19,5,14,3,7,3,5,-,5,2,1,-
"S00175547",57,7,-,-,6,21,4,3,14,11,2,8,-,8,4,4,-,10,6,4,-
"S00175548",48,12,2,4,6,21,3,4,14,7,3,3,-,3,1,2,-,5,4,1,-
"S00175549",41,-,-,-,-,3,2,1,-,9,-,9,-,10,5,5,-,19,5,14,-
"S00175550",67,-,-,-,-,9,-,2,6,21,1,18,2,11,2,9,-,23,12,11,-
"S00175551",61,9,-,1,6,21,1,8,15,15,3,7,2,10,5,5,-,3,2,1,-
"S00175552",50,2,-,2,2,7,1,4,3,9,3,7,-,12,4,5,-,19,8,9,-
"S00175553",64,7,2,3,2,18,5,2,11,15,4,11,-,13,3,10,-,11,7,4,-
"S00175554",44,4,2,1,1,17,2,2,14,16,6,6,1,6,4,2,-,3,1,4,-
"S00175555",53,5,-,2,3,20,3,5,12,18,1,17,-,6,4,4,-,4,1,2,-
"S00175556",41,2,1,-,1,8,1,3,7,8,1,6,-,9,4,5,-,11,5,6,-
"S00175557",67,3,-,1,2,19,2,6,14,17,1,13,3,13,8,5,-,15,6,9,-
"S00175558",51,17,11,4,3,18,7,4,5,11,5,8,1,2,2,-,-,2,-,-,-
"S00175559",39,1,-,-,1,15,1,4,10,13,5,7,2,4,1,2,-,8,6,3,-
"S00175560",86,17,11,2,7,28,6,10,11,24,19,10,1,6,5,-,-,8,4,4,-
"S00175561",76,6,-,2,4,20,5,5,11,22,8,11,3,9,6,4,-,20,12,8,-
"S00175562",50,9,1,2,4,11,2,3,8,13,6,6,1,10,2,8,-,13,6,1,-
"S00175563",65,7,2,2,3,19,5,3,11,12,4,8,-,10,6,4,-,17,12,3,-
"S00175564",53,-,-,-,-,12,1,2,8,12,1,8,3,9,3,6,-,19,8,11,-
"S00175565",37,2,-,2,1,4,-,-,4,10,2,8,1,8,3,6,-,13,7,6,-
"S00175566",51,3,-,1,1,24,10,6,8,9,7,3,1,7,4,2,1,8,4,4,-
"S00175567",52,10,5,1,2,21,7,8,6,8,6,2,-,4,4,4,-,9,6,3,-
"S00175568",39,2,-,1,1,5,2,2,2,6,-,6,-,11,3,8,-,15,2,12,-
"S00175569",73,3,-,1,5,29,9,3,17,12,1,9,3,16,6,10,-,10,3,7,-
"S00175570",66,3,1,-,-,9,-,4,6,12,4,6,-,19,6,12,-,24,12,12,-
"S00175571",62,3,-,2,3,18,1,3,14,15,1,12,-,14,3,11,-,12,4,8,-
"S00175572",43,1,1,-,-,9,2,1,6,10,2,8,-,9,6,7,-,11,4,7,-
"S00175573",56,11,5,4,4,15,3,4,10,14,8,2,2,6,1,2,-,8,9,2,-
"S00175574",42,12,4,2,4,8,6,2,2,9,7,2,-,6,3,4,-,6,5,1,-
"S00175575",37,-,-,-,-,4,-,-,4,5,-,5,-,11,4,9,-,18,9,9,-
"S00175576",47,4,-,1,3,13,5,4,4,17,5,15,1,6,4,2,-,4,4,-,-
"S00175577",45,-,-,-,-,10,2,4,3,12,2,10,-,14,3,12,-,10,2,10,-
"S00175578",60,20,6,7,8,26,-,4,18,10,-,6,2,6,-,6,-,6,4,2,-
"S00175579",44,14,10,2,2,14,7,3,3,11,10,3,-,1,2,1,-,2,2,-,-
"S00175580",43,2,-,1,1,7,-,-,7,14,3,9,3,12,3,12,-,8,4,3,-
"S00175581",36,3,1,1,4,9,5,2,2,11,-,6,3,5,5,4,-,3,-,-,-
"S00175582",52,3,-,-,3,12,1,3,8,11,2,7,4,10,6,4,-,18,5,8,-
"S00175583",62,4,-,1,3,13,5,2,6,17,5,12,-,12,5,7,-,16,7,10,-
"S00175584",55,8,9,2,1,19,11,5,3,8,5,3,-,9,7,2,-,9,9,-,-
"S00175585",40,4,1,1,2,13,5,3,5,8,3,2,-,5,3,2,-,10,6,5,-
"S00175586",68,13,4,2,11,18,10,3,5,22,18,6,-,9,7,4,-,7,4,3,-
"S00175587",30,6,1,1,4,7,1,3,3,7,1,5,-,4,1,2,-,3,1,3,-
"S00175588",39,4,2,1,4,10,3,4,3,12,4,3,-,4,1,3,-,9,5,1,-
"S00175589",35,7,1,3,4,16,6,3,7,4,2,1,1,13,4,6,-,2,1,1,-
"S00175590",75,2,2,-,-,13,1,5,6,16,5,7,4,18,10,8,-,31,11,13,-
"S00175591",54,-,-,-,-,9,2,1,6,12,2,11,-,11,3,8,-,21,13,8,-
"S00175592",57,2,1,-,-,13,6,2,6,12,5,6,1,10,2,8,-,20,12,8,-
"S00175593",35,5,-,5,1,14,-,2,10,12,4,4,1,7,3,4,-,1,1,-,-
"S00175594",43,10,-,7,3,15,3,3,8,7,2,3,2,6,3,3,-,5,4,1,-
"S00175595",29,5,-,1,4,8,2,1,4,7,2,5,-,-,-,-,-,9,5,4,-
"S00175596",34,5,-,4,2,12,1,7,4,7,1,6,-,5,4,2,-,5,3,2,-
"S00175597",47,2,1,-,1,14,3,4,8,12,-,11,1,9,4,5,-,10,3,4,-
"S00175598",57,4,-,4,-,17,2,4,13,14,2,11,1,11,4,5,-,14,6,8,-
"S00175599",51,7,4,-,3,27,18,5,4,8,8,-,2,2,2,-,-,4,4,-,-
"S00175600",45,15,2,6,8,14,4,3,7,7,2,5,-,3,-,2,-,8,3,5,-
"S00175601",39,4,1,2,2,16,4,3,9,13,3,8,2,5,-,1,-,2,1,1,-
"S00175602",63,9,1,3,5,25,6,7,12,19,7,6,2,5,3,6,-,6,5,1,-
"S00175603",76,17,6,4,8,26,8,5,12,17,10,9,-,9,4,4,-,7,7,4,-
"S00175604",54,3,-,3,-,14,-,9,8,13,2,9,-,9,-,8,1,16,4,11,-
"S00175605",78,8,4,-,2,31,11,8,13,20,3,14,2,13,4,9,-,6,-,4,-
"S00175606",53,2,2,-,-,14,-,4,9,18,3,15,-,12,3,9,-,5,2,6,-
"S00175607",37,2,-,-,2,9,3,-,7,13,7,7,-,7,7,2,-,7,3,4,-
"S00175608",75,7,-,-,5,32,2,4,20,25,7,11,3,10,1,7,-,6,4,2,-
"S00175609",40,8,3,1,7,10,2,6,3,10,5,5,-,3,1,-,-,8,5,4,-
"S00175610",49,6,-,-,4,19,4,6,10,16,5,10,4,6,4,3,-,3,1,1,-
"S00175611",37,1,-,-,1,14,1,-,11,7,4,5,1,5,-,5,-,7,3,4,-
"S00175612",48,1,1,-,-,7,1,2,3,8,2,7,1,8,3,5,-,24,10,14,-
"S00175613",75,13,1,3,9,27,2,9,15,10,5,8,-,14,7,7,-,8,3,5,-
"S00175614",42,2,-,2,-,15,1,3,13,14,-,14,-,4,1,-,-,6,2,4,-
"S00175615",31,1,-,-,1,5,-,1,4,11,3,7,2,4,-,2,-,7,6,4,-
"S00175616",45,2,-,2,-,13,2,3,5,9,1,8,-,7,4,3,-,16,5,9,-
"S00175617",67,8,-,-,7,21,3,4,13,15,4,11,1,13,8,5,-,10,4,8,-
"S00175618",71,2,-,-,2,23,2,5,16,21,3,10,3,10,3,10,-,15,10,7,-
"S00175619",40,1,-,-,1,8,-,1,7,11,2,6,5,10,2,8,-,10,4,8,-
"S00175620",62,12,4,-,7,19,5,6,9,12,5,7,1,16,7,9,-,2,1,3,-
"S00175621",66,1,-,1,-,17,-,4,13,8,4,4,-,12,6,5,1,24,17,11,-
"S00175622",46,6,1,-,8,23,1,8,14,12,1,11,3,3,-,3,-,5,1,4,-
"S00175623",44,2,-,1,1,10,1,1,8,14,4,7,4,8,2,6,-,10,6,4,-
"S00175624",54,1,-,1,2,7,1,1,5,12,3,10,-,10,5,4,-,23,15,8,-
"S00175625",49,7,-,1,5,17,3,6,8,9,6,6,1,3,1,2,-,11,6,6,-
"S00175626",47,10,4,1,4,18,4,6,8,6,3,3,-,7,3,4,-,6,4,-,-
"S00175627",45,4,2,2,1,12,-,2,10,10,5,5,-,9,4,5,-,10,5,3,-
"S00175628",49,2,1,-,1,19,4,5,9,7,-,7,-,7,1,3,-,17,9,10,-
"S00175629",60,8,2,4,2,30,9,6,12,9,1,7,1,8,2,6,-,7,4,-,-
"S00175630",42,8,3,4,1,18,2,8,7,8,2,5,1,2,1,1,-,6,2,4,-
"S00175631",39,1,-,-,1,13,2,2,7,13,-,12,-,4,-,4,-,8,6,2,-
"S00175632",72,-,-,-,-,25,4,8,16,12,5,6,1,13,4,8,1,16,10,7,-
"S00175633",55,8,2,-,7,10,1,2,7,11,5,4,2,12,5,8,-,17,8,4,-
"S00175634",34,-,-,-,-,10,-,1,8,6,-,6,-,9,2,7,-,10,4,6,-
"S00175635",56,-,-,-,-,21,2,4,15,10,2,8,-,9,1,8,-,16,9,4,-
"S00175636",63,9,3,2,2,21,6,4,12,11,5,5,2,13,5,8,-,10,5,5,-
"S00175637",70,9,1,-,8,24,6,3,14,13,5,8,-,16,9,7,-,11,4,4,-
"S00175638",50,7,2,1,4,20,-,7,9,8,1,6,-,7,3,4,-,12,9,3,-
"S00175639",38,2,-,-,1,9,2,-,7,10,-,9,1,8,4,5,-,7,4,5,-
"S00175640",51,-,-,-,-,10,-,4,6,10,1,8,1,6,1,5,-,24,13,11,-
"S00175641",50,-,-,-,-,8,2,2,4,15,1,12,-,12,9,6,-,11,7,8,-
"S00175642",76,24,9,6,9,29,6,7,16,14,6,8,-,10,4,8,-,-,-,-,-
"S00175643",52,-,-,-,-,11,-,5,6,10,3,6,1,6,2,6,-,19,8,11,-
"S00175644",51,6,2,3,-,17,4,6,7,11,5,6,-,5,2,3,-,12,6,3,-
"S00175645",59,-,-,-,-,16,2,6,7,18,2,20,1,12,1,7,-,11,5,7,-
"S00175646",74,14,3,3,9,27,2,10,15,13,4,9,-,14,4,9,-,6,2,3,-
"S00175647",67,4,-,1,1,8,3,2,3,13,2,10,1,18,8,10,-,26,10,18,-
"S00175648",111,26,4,8,14,48,1,13,33,18,5,12,2,15,4,10,1,6,3,1,-
"S00175649",47,-,-,-,-,16,2,4,9,10,5,2,-,9,3,6,-,12,2,10,-
"S00175650",55,7,2,6,1,18,-,4,12,6,2,3,1,12,4,10,-,10,1,6,-
"S00175651",37,-,-,-,-,7,-,1,6,8,3,7,2,8,1,7,-,11,3,11,-
"S00175652",50,1,-,1,-,7,1,1,8,9,1,9,4,10,2,7,-,21,6,10,-
"S00175653",40,-,1,1,-,17,-,3,9,9,1,6,2,13,5,8,-,6,3,2,-
"S00175654",49,3,-,-,2,23,1,2,20,9,1,6,2,6,-,4,1,9,4,7,-
"S00175655",45,3,-,1,1,5,-,1,4,9,5,7,-,8,5,3,-,19,10,5,-
"S00175656",35,10,4,4,2,15,-,1,9,9,2,6,1,-,-,-,-,-,-,-,-
"S00175657",50,7,2,1,4,34,2,6,20,5,2,3,-,5,2,2,-,3,-,2,-
"S00175658",66,4,1,1,-,18,1,2,15,13,-,13,2,11,7,5,-,15,5,10,-
"S00175659",67,5,-,3,3,26,9,3,14,14,2,10,-,10,2,9,-,12,6,6,-
"S00175660",40,7,4,2,1,15,-,2,13,9,2,7,-,6,1,8,-,3,-,3,-
"S00175661",48,2,-,2,-,14,-,3,12,11,2,8,2,6,2,5,-,14,5,9,-
"S00175662",56,-,-,-,-,11,-,2,9,15,2,13,-,12,6,8,-,17,7,10,-
"S00175663",52,5,-,-,2,18,1,-,13,7,2,4,-,11,2,10,-,19,12,7,-
"S00175664",45,2,-,-,1,7,-,3,4,12,1,10,2,9,3,6,-,15,7,8,-
"S00175665",36,5,-,3,4,9,-,4,7,9,-,8,1,9,-,9,-,2,1,2,-
"S00175666",39,1,-,-,1,8,-,2,5,8,5,5,1,9,3,7,-,14,3,9,-
"S00175667",42,3,-,-,3,12,2,2,6,9,2,7,-,11,3,8,-,7,-,7,-
"S00175668",50,5,-,-,5,12,-,3,9,9,-,4,1,11,2,11,-,17,12,5,-
"S00175669",54,3,-,1,2,17,5,3,9,15,8,9,1,9,4,5,-,7,3,3,2
"S00175670",56,2,-,-,2,6,1,1,3,14,2,12,2,16,6,11,-,17,9,8,-
"S00175671",58,3,-,1,2,22,1,3,18,10,1,6,1,9,-,6,-,15,2,10,-
"S00175672",77,-,-,-,-,8,2,-,6,13,1,9,1,27,4,22,1,28,15,13,-
"S00175673",29,3,-,3,-,9,1,-,8,8,1,5,2,7,1,3,-,3,-,3,-
"S00175674",41,-,-,-,-,10,-,3,7,9,-,8,-,5,1,4,-,16,11,5,-
"S00175675",44,1,-,1,-,7,1,5,2,10,2,6,4,6,-,6,-,17,4,10,-
"S00175676",74,3,2,-,1,18,2,6,8,15,1,7,3,14,4,11,-,24,10,14,-
"S00175677",48,7,2,6,-,11,1,4,4,11,5,6,-,11,4,8,-,7,1,6,-
"S00175678",58,4,-,2,2,23,-,3,23,10,-,7,2,8,-,8,-,13,7,6,-
"S00175679",44,-,-,-,-,10,-,2,7,10,2,6,2,13,3,10,-,11,4,7,-
"S00175680",38,3,2,-,-,7,1,1,1,7,-,6,1,8,2,6,-,14,5,9,-
"S00175681",36,2,-,-,2,7,1,-,3,11,1,8,2,1,-,2,-,17,10,7,-
"S00175682",47,4,-,2,2,15,3,2,10,7,1,4,2,14,3,9,-,7,2,4,1
"S00175683",58,-,-,-,-,10,-,3,6,18,5,11,3,12,2,11,-,20,6,12,-
"S00175684",57,-,-,-,-,3,-,-,3,18,2,8,4,17,8,9,-,21,10,12,1
"S00175685",66,1,-,1,-,13,-,3,12,18,4,10,4,9,1,11,-,25,14,8,-
"S00175686",53,2,1,-,1,15,1,1,13,14,4,12,2,9,5,2,-,15,9,5,-
"S00175687",47,-,-,-,-,18,1,4,13,8,1,5,2,11,3,9,-,9,4,4,-
"S00175688",62,3,1,2,1,15,-,5,10,12,4,8,1,18,2,14,-,18,8,10,-
"S00175689",58,2,4,-,1,21,7,6,11,16,3,12,1,10,2,10,-,9,5,2,-
"S00175690",40,-,-,-,-,26,5,5,14,10,4,4,5,4,2,4,-,3,2,-,-
"S00175691",60,1,-,-,1,7,-,4,3,13,7,5,4,13,3,10,-,23,10,17,-
"S00175692",41,3,-,4,1,9,-,3,6,8,-,8,-,9,2,8,-,14,-,14,-
"S00175693",39,3,-,3,1,22,2,5,15,10,1,7,2,2,-,2,-,4,1,2,-
"S00175694",66,3,-,1,-,36,2,7,27,10,-,9,1,13,2,7,-,7,-,7,-
"S00175695",39,10,1,2,7,14,2,2,10,9,6,3,-,4,1,1,-,2,2,-,-
"S00175696",71,2,-,-,2,44,-,5,39,11,-,8,1,3,-,3,-,12,7,5,-
"S00175697",52,3,-,-,1,10,1,5,5,13,1,9,-,14,3,10,1,9,8,4,-
"S00175698",53,3,1,2,-,12,1,4,7,21,6,13,2,7,-,6,-,10,4,6,-
"S00175699",66,6,5,2,2,25,2,9,12,21,4,13,4,8,1,7,-,6,2,4,-
"S00175700",40,-,-,-,-,8,2,2,2,15,6,7,2,10,2,10,-,6,3,5,-
"S00175701",41,2,1,2,-,9,-,1,8,19,5,17,1,3,-,3,-,8,3,5,-
"S00175702",29,3,-,-,3,4,-,-,3,9,6,3,-,5,3,3,-,7,4,4,-
"S00175703",56,4,-,-,4,18,8,2,8,16,5,6,3,9,3,6,-,14,8,4,-
"S00175704",54,6,2,1,4,22,3,8,9,19,4,14,1,7,2,2,-,4,1,1,-
"S00175705",53,4,1,1,2,16,4,4,10,19,4,17,-,8,3,5,-,5,2,3,-
"S00175706",41,4,4,2,2,5,2,2,5,12,4,8,-,5,1,4,-,12,7,5,-
"S00175707",32,1,-,-,2,10,2,3,7,6,-,5,4,4,5,-,-,6,2,4,-
"S00175708",37,3,2,1,-,15,3,7,8,7,-,6,1,7,3,4,-,7,2,4,-
"S00175709",32,1,-,1,-,13,-,3,10,11,-,10,2,4,-,4,1,3,-,3,-
"S00175710",46,2,1,-,-,12,3,3,8,12,6,7,-,10,4,5,-,6,4,4,-
"S00175711",60,1,-,-,1,14,2,6,7,18,4,13,1,9,-,8,-,12,7,11,-
"S00175712",41,6,-,2,-,14,6,4,-,12,4,7,-,4,3,2,-,7,-,5,-
"S00175713",84,14,7,5,-,18,7,6,3,8,1,2,2,16,9,9,1,28,19,9,-
"S00175714",58,2,1,-,1,10,2,5,3,17,2,14,3,8,3,7,-,19,8,10,1
"S00175715",41,1,-,1,-,14,1,6,7,10,3,6,-,12,2,7,-,7,1,6,-
"S00175716",56,1,1,-,-,17,2,5,12,14,-,14,-,18,5,12,1,8,3,4,-
"S00175717",43,2,-,-,2,12,-,8,4,11,2,8,1,11,3,8,-,7,3,4,-
"S00175718",43,3,-,-,2,19,5,4,8,7,1,6,-,7,2,3,-,12,8,4,-
"S00175719",44,4,4,-,2,17,6,6,5,9,6,1,-,5,4,2,-,6,3,3,-
"S00175720",55,13,2,2,9,26,4,7,11,13,5,9,-,6,4,2,-,1,1,-,-
"S00175721",49,3,4,-,3,12,7,3,3,10,3,2,-,15,17,2,-,7,6,3,-
"S00175722",41,9,6,1,4,13,5,6,4,7,9,2,-,8,3,2,-,4,4,-,-
"S00175723",31,2,-,1,-,14,5,4,5,5,1,4,-,3,1,2,-,7,4,3,-
"S00175724",27,3,-,-,3,16,1,6,9,7,2,4,1,2,1,1,-,4,1,3,-
"S00175725",72,10,4,4,1,23,10,7,6,17,8,6,4,14,8,6,-,8,7,-,-
"S00175726",52,-,-,-,-,12,1,5,6,13,2,11,-,12,2,9,-,19,5,10,-
"S00175727",50,5,1,3,1,16,2,5,8,10,1,8,1,13,2,11,-,6,2,4,-
"S00175728",70,8,-,3,6,20,2,6,12,17,3,14,-,13,2,11,-,12,3,9,-
"S00175729",41,3,-,-,3,18,8,3,7,10,2,8,-,5,-,3,-,5,1,3,-
"S00175730",47,8,2,-,5,13,2,3,8,19,6,9,-,4,-,4,-,10,3,4,-
"S00175731",51,7,2,4,2,9,3,6,2,5,1,4,-,12,12,-,-,16,15,-,-
"S00175732",69,9,-,3,7,33,2,7,20,22,5,15,-,3,1,5,-,6,-,5,-
"S00175733",58,8,3,3,2,17,2,6,6,17,5,14,1,8,2,6,-,8,6,1,-
"S00175734",35,10,3,1,6,11,4,2,-,5,3,-,2,3,2,1,-,9,8,3,-
"S00175735",68,23,11,4,8,24,14,2,9,12,5,1,2,4,3,1,-,8,6,1,-
"S00175736",79,5,1,1,3,20,6,2,12,20,1,15,4,14,5,9,-,15,9,9,-
"S00175737",51,4,-,-,4,17,9,5,3,13,5,8,-,11,3,8,-,6,4,2,-
"S00175738",73,16,6,-,8,32,10,16,6,14,9,6,1,8,4,4,-,1,1,-,-
"S00175739",56,4,2,-,4,23,3,5,17,16,2,10,4,6,4,4,-,8,5,4,-
"S00175740",40,11,2,-,9,15,3,4,5,9,3,7,-,4,1,3,-,2,1,1,-
"S00175741",48,5,4,3,-,14,8,4,4,19,10,4,1,4,4,-,-,6,2,4,-
"S00175742",31,3,-,3,-,11,1,4,6,11,4,7,-,4,3,2,-,2,-,2,-
"S00175743",44,13,11,1,1,16,6,5,3,8,4,3,1,6,3,5,-,-,-,-,-
"S00175744",36,1,1,-,-,9,4,2,3,18,8,9,2,5,5,-,-,3,2,1,-
"S00175745",64,5,3,3,-,17,2,5,10,19,7,13,-,15,6,9,-,11,7,5,-
"S00175746",36,8,-,-,8,12,4,1,7,10,3,4,-,6,1,5,-,2,2,-,-
"S00175747",56,9,-,2,5,15,1,3,10,15,7,3,3,7,4,3,-,11,6,2,-
"S00175748",40,10,4,1,5,15,6,2,6,7,4,3,1,4,3,1,-,4,2,2,-
"S00175749",64,13,5,4,7,24,-,7,17,10,3,5,-,6,4,2,-,10,10,3,-
"S00175750",65,7,2,2,6,14,6,3,7,16,2,14,-,9,6,3,-,16,10,6,-
"S00175751",35,7,1,1,5,10,4,-,5,5,4,1,-,9,2,6,1,4,1,1,-
"S00175752",74,6,4,1,3,29,12,6,11,21,10,8,5,13,8,5,-,8,6,1,-
"S00175753",75,13,1,-,16,26,5,6,11,16,5,9,1,12,4,6,1,13,4,6,-
"S00175754",74,5,-,3,2,13,2,3,9,18,1,16,-,24,9,14,-,14,7,7,-
"S00175755",33,1,-,-,1,4,-,2,-,10,1,11,-,15,3,9,-,5,4,1,-
"S00175756",58,-,-,-,-,9,1,6,5,17,5,13,2,12,5,7,-,17,9,8,-
"S00175757",56,2,-,2,1,12,2,6,3,12,7,5,1,25,10,11,-,11,1,10,-
"S00175758",39,3,-,-,3,8,-,4,4,12,1,9,-,10,2,6,-,7,4,3,-
"S00175759",46,3,-,2,1,13,3,3,6,13,2,11,-,8,5,2,-,9,2,7,-
"S00175760",32,2,-,-,2,11,1,5,4,7,-,5,2,8,2,5,1,8,3,6,-
"S00175761",39,3,-,-,3,9,2,3,5,6,1,5,-,13,5,8,-,8,1,7,-
"S00175762",60,8,8,-,-,13,2,5,6,14,6,8,-,15,10,3,-,13,3,10,-
"S00175763",60,7,1,2,4,16,10,4,4,14,4,9,1,13,2,10,-,10,5,5,-
"S00175764",41,2,-,2,-,8,-,2,7,14,5,5,3,6,2,7,-,4,3,1,-
"S00175765",47,6,1,1,4,21,6,7,5,12,5,8,1,4,3,2,-,6,3,3,-
"S00175766",64,2,-,2,-,27,5,11,7,15,2,13,-,15,2,10,-,9,4,5,-
"S00175767",47,4,1,-,2,10,1,2,7,15,3,7,1,15,4,11,-,4,1,1,-
"S00175768",82,8,2,3,1,23,7,8,8,21,3,12,2,13,5,9,-,17,8,10,-
"S00175769",37,5,1,1,1,12,2,6,4,7,2,8,-,4,2,-,-,10,5,4,-
"S00175770",41,2,-,1,2,13,3,6,4,7,1,3,4,7,3,5,-,12,9,6,-
"S00175771",36,4,-,-,2,8,2,5,1,8,2,5,2,10,3,7,-,6,2,4,-
"S00175772",50,2,-,-,2,5,1,2,2,21,7,19,1,12,3,8,-,14,6,5,-
"S00175773",29,4,-,1,3,7,2,-,4,12,4,6,1,2,-,2,-,3,3,-,-
"S00175774",58,-,-,-,-,16,5,5,8,13,4,9,-,12,5,7,-,18,8,6,-
"S00175775",45,2,-,-,2,10,4,2,5,11,5,6,-,12,2,5,-,12,4,11,-
"S00175776",71,8,3,3,4,16,1,7,9,24,6,16,4,10,7,6,-,15,4,8,-
"S00175777",33,-,-,-,-,3,-,1,3,14,4,10,-,6,-,6,-,11,3,6,-
"S00175778",75,11,-,3,6,17,3,4,8,26,3,17,3,7,4,3,-,14,8,5,-
"S00175779",60,10,4,-,6,17,6,3,5,18,9,6,1,12,4,7,1,8,6,2,-
"S00175780",60,5,1,1,3,18,4,6,6,12,5,6,1,11,3,6,-,10,9,5,-
"S00175781",58,3,-,-,3,14,1,3,6,15,4,11,-,12,3,6,-,16,8,8,-
"S00175782",36,3,1,-,2,13,5,2,6,11,1,13,-,1,-,1,-,5,1,4,-
"S00175783",66,4,-,-,4,15,2,8,5,28,3,22,3,8,4,5,-,11,6,5,-
"S00175784",32,4,-,-,4,16,3,5,7,9,3,5,-,2,1,1,-,3,1,2,-
"S00175785",56,5,3,-,1,13,3,4,6,11,6,5,-,13,6,7,-,13,4,10,-
"S00175786",40,5,-,2,2,5,-,2,3,10,-,6,2,6,4,4,-,11,5,6,-
"S00175787",48,1,1,-,-,9,1,4,3,9,3,6,-,11,2,8,-,19,14,8,-
"S00175788",41,6,1,2,-,12,3,3,7,10,-,9,-,5,-,5,-,8,5,3,-
"S00175789",57,13,8,-,7,10,4,1,5,11,6,5,-,6,6,-,-,17,14,3,-
"S00175790",49,6,5,1,-,14,11,1,2,19,11,5,1,5,2,3,-,5,5,-,-
"S00175791",62,9,4,-,4,18,12,4,2,18,14,4,-,7,2,4,-,10,6,4,-
"S00175792",56,7,2,1,-,16,8,8,1,10,4,6,-,16,9,9,-,9,8,2,-
"S00175793",40,8,5,-,3,15,3,3,9,8,3,4,-,5,2,-,-,8,2,3,-
"S00175794",61,2,1,-,-,28,9,7,12,18,7,9,-,5,2,3,-,12,7,4,-
"S00175795",43,4,4,1,-,9,7,2,1,14,7,8,-,7,5,2,-,9,9,-,-
"S00175796",34,5,-,3,3,9,4,1,1,6,4,2,-,5,3,3,-,8,5,-,-
"S00175797",50,4,3,-,3,9,2,-,5,9,6,7,-,8,8,-,-,20,13,3,-
"S00175798",76,6,5,-,-,8,4,2,2,22,5,16,1,19,9,10,-,16,16,5,-
"S00175799",71,-,1,-,1,17,3,8,4,16,6,6,1,12,7,6,-,25,15,7,-
"S00175800",78,9,1,3,5,21,8,1,10,26,11,12,2,11,5,6,-,15,4,8,-
"S00175801",45,2,-,1,1,10,3,3,4,11,-,13,3,10,4,6,-,12,-,10,-
"S00175802",42,3,-,-,2,9,1,3,2,9,1,5,-,5,4,1,-,16,10,6,-
"S00175803",44,1,1,-,-,17,7,5,7,14,7,5,3,6,4,2,-,7,6,2,-
"S00175804",52,2,-,1,1,11,3,4,4,9,1,7,1,14,5,10,-,16,8,8,-
"S00175805",52,3,-,1,2,8,5,-,3,18,6,9,4,11,5,6,-,18,10,3,-
"S00175806",39,1,-,-,1,13,5,3,8,15,6,9,1,2,2,1,-,5,3,-,-
"S00175807",49,4,4,-,-,12,4,3,6,10,4,3,1,11,3,6,-,12,8,4,-
"S00175808",64,3,-,-,3,17,3,9,5,17,7,7,2,11,7,4,-,17,13,4,-
"S00175809",47,8,3,-,5,9,2,2,5,10,4,6,3,5,4,3,-,15,5,10,-
"S00175810",78,11,8,1,4,21,8,7,6,22,12,12,-,15,10,3,2,11,5,5,-
"S00175811",31,-,-,-,-,5,-,-,5,10,1,12,-,5,2,4,-,10,7,2,-
"S00175812",49,5,2,1,2,9,-,7,1,13,6,7,2,11,4,5,-,13,8,4,-
"S00175813",73,4,-,1,2,26,3,3,18,18,3,15,-,16,9,7,-,9,3,6,-
"S00175814",63,10,4,4,4,23,7,3,12,5,1,-,2,11,8,2,-,14,10,4,-
"S00175815",46,9,7,-,-,11,5,1,7,6,2,4,-,7,6,-,-,13,4,6,-
"S00175816",69,17,11,-,6,23,11,2,13,17,7,7,3,1,1,-,-,10,7,4,-
"S00175817",42,2,-,1,4,14,4,7,3,6,3,-,-,8,8,-,-,7,6,6,-
"S00175818",51,9,4,1,2,16,4,2,9,9,7,-,-,12,8,5,1,5,5,-,-
"S00175819",42,3,3,-,-,10,1,3,8,18,5,9,2,3,2,4,-,7,2,6,-
"S00175820",43,5,1,-,2,15,4,3,7,6,3,2,1,12,4,8,-,5,4,1,-
"S00175821",56,10,3,2,6,23,3,5,15,13,5,7,1,7,4,2,-,4,3,1,-
"S00175822",53,6,1,-,5,9,2,4,2,14,7,7,-,17,11,6,-,3,3,-,-
"S00175823",47,1,-,-,1,6,-,5,-,9,4,7,-,13,6,8,-,17,7,10,-
"S00175824",40,4,-,1,4,15,5,2,6,7,3,4,-,9,1,7,-,6,4,1,-
