Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00135470",137,125,-,-,-,-,2,2,2,3,4,-,-,-
"S00135471",154,142,-,-,-,-,1,-,-,9,3,-,-,-
"S00135472",148,134,-,-,-,-,-,-,2,7,3,1,-,-
"S00135473",128,118,-,-,-,-,-,2,-,7,-,1,-,1
"S00135474",122,99,-,-,-,-,2,-,1,8,3,2,5,2
"S00135475",102,97,-,-,-,-,-,-,-,-,1,-,-,-
"S00135476",108,101,-,-,-,-,4,-,2,3,-,-,-,-
"S00135477",120,96,-,-,-,-,2,-,2,8,-,2,11,-
"S00135478",95,93,-,-,-,-,-,-,-,-,-,4,-,-
"S00135479",125,116,-,-,-,1,2,1,3,3,-,-,-,-
"S00135480",132,110,-,-,-,-,-,-,-,8,2,6,-,2
"S00135481",132,121,-,-,-,2,1,-,1,3,-,-,4,-
"S00135482",83,62,-,-,-,-,4,-,-,9,3,5,3,-
"S00135483",118,107,-,-,-,-,-,-,-,6,1,3,-,-
"S00135484",82,70,-,-,2,-,1,4,1,4,2,-,-,-
"S00135485",163,148,-,-,-,-,-,-,-,6,4,-,1,4
"S00135486",115,99,-,-,2,-,-,2,-,2,3,6,-,3
"S00135487",160,144,-,-,-,-,-,4,-,5,1,-,4,-
"S00135488",118,108,-,-,-,-,-,-,1,3,1,-,2,-
"S00135489",144,133,-,-,-,-,-,-,-,5,1,3,1,-
"S00135490",131,120,-,-,1,1,-,-,2,7,2,-,-,-
"S00135491",130,81,-,-,-,3,-,-,1,5,1,2,15,21
"S00135492",130,119,-,-,-,-,1,1,-,2,-,-,4,-
"S00135493",166,143,-,-,-,-,-,-,2,9,-,6,3,2
"S00135494",98,88,-,-,-,-,2,-,2,1,-,-,4,2
"S00135495",110,93,-,-,-,2,-,5,2,9,3,1,-,-
"S00135496",105,99,-,-,-,-,-,-,1,1,-,1,2,-
"S00135497",236,209,-,-,1,3,4,-,2,8,1,4,4,2
"S00135498",150,84,-,-,-,-,-,-,1,4,9,-,12,40
"S00135499",129,114,-,-,-,3,1,2,-,8,1,2,-,-
"S00135500",120,104,-,-,-,1,2,-,-,5,-,-,5,3
"S00135501",136,131,-,-,-,-,-,-,-,2,-,-,-,1
"S00135502",133,94,-,-,-,-,-,-,2,10,3,3,3,17
"S00135503",86,80,-,-,-,-,-,1,-,4,-,-,-,-
"S00135504",141,132,-,1,-,1,1,2,-,2,1,-,2,-
"S00135505",167,125,-,-,-,-,2,-,2,16,5,5,8,6
"S00135506",90,81,-,-,-,1,-,-,-,6,-,-,-,-
"S00135507",183,148,-,-,-,1,5,4,3,10,3,5,2,4
"S00135508",67,58,-,-,-,1,-,-,-,3,2,2,-,-
"S00135509",125,116,-,-,1,-,-,-,-,5,1,4,-,-
"S00135510",111,108,-,-,-,-,-,-,-,2,-,-,-,-
"S00135511",120,118,-,-,-,-,-,-,-,2,-,-,-,-
"S00135512",120,113,-,-,-,-,1,-,-,4,-,2,-,1
"S00135513",111,98,-,-,-,-,-,-,-,9,3,-,-,1
"S00135514",113,101,-,-,-,-,-,-,3,6,2,2,-,1
"S00135515",167,151,-,-,-,-,-,-,-,5,-,3,8,-
"S00135516",152,127,-,-,-,-,-,-,3,6,2,-,11,-
"S00135517",113,97,-,-,-,-,-,-,-,11,2,1,-,1
"S00135518",83,72,-,-,-,-,-,-,-,5,1,-,2,-
"S00135519",143,134,-,-,-,3,1,1,-,-,-,2,1,-
"S00135520",145,127,-,-,-,-,-,3,3,6,-,1,3,7
"S00135521",118,92,-,-,-,-,1,-,2,8,2,1,1,10
"S00135522",92,78,-,-,-,-,-,-,-,5,3,1,1,-
"S00135523",71,62,-,-,-,-,-,-,1,-,-,-,-,-
"S00135524",111,103,-,-,-,-,2,-,-,1,4,4,-,-
"S00135525",117,88,-,-,-,-,-,3,1,17,1,2,3,3
"S00135526",106,98,-,-,2,-,2,-,-,1,2,2,1,-
"S00135527",72,64,-,-,-,-,1,-,-,5,-,-,-,-
"S00135528",165,158,-,-,-,1,1,-,-,2,2,4,-,-
"S00135529",139,130,-,-,-,-,1,-,2,8,-,-,-,-
"S00135530",87,79,-,-,-,-,-,-,-,7,1,-,-,-
"S00135531",99,83,-,-,-,-,1,2,2,2,-,-,-,2
"S00135532",103,87,-,-,-,1,-,-,2,8,2,1,1,1
"S00135533",131,113,-,-,-,1,1,-,-,9,2,2,1,4
"S00135534",112,99,-,-,-,-,-,-,1,9,1,-,3,-
"S00135535",234,213,-,-,-,-,1,1,4,8,-,-,-,9
"S00135536",191,168,-,-,-,-,-,-,1,16,2,-,4,-
"S00135537",146,123,-,-,-,4,2,3,1,8,1,2,4,-
"S00135538",91,84,-,-,-,2,-,1,-,2,-,-,1,-
"S00135539",84,78,-,-,-,-,-,-,2,1,1,-,-,-
"S00135540",143,127,-,-,-,-,-,-,5,10,4,-,-,-
"S00135541",78,75,-,-,-,-,-,-,-,1,-,1,-,-
"S00135542",182,136,-,-,-,-,-,-,2,11,9,11,7,6
"S00135543",180,149,-,-,-,-,-,-,1,13,1,6,9,-
"S00135544",99,89,-,-,1,2,1,-,1,5,-,-,-,-
"S00135545",132,117,-,-,-,1,-,-,-,10,1,-,1,-
"S00135546",88,80,-,-,-,-,-,-,1,-,-,-,-,3
"S00135547",188,162,-,-,-,-,-,-,1,6,1,6,10,-
"S00135548",88,83,-,-,-,-,-,-,1,2,-,2,-,-
"S00135549",64,58,-,-,-,2,2,-,1,1,-,-,-,-
"S00135550",123,111,-,-,-,-,-,-,-,6,2,1,2,2
"S00135551",127,108,-,-,-,1,-,-,2,9,1,1,4,-
"S00135552",133,99,-,-,-,-,-,2,3,6,8,6,2,6
"S00135553",207,193,-,-,-,1,-,-,-,4,1,7,-,2
"S00135554",86,81,-,-,1,-,-,-,1,2,-,-,-,-
"S00135555",166,151,-,-,-,-,1,-,-,8,-,-,6,-
"S00135556",101,98,-,-,-,-,-,-,-,1,1,-,-,-
"S00135557",91,64,-,-,1,1,1,3,-,8,2,3,4,-
"S00135558",150,134,-,-,-,1,-,2,-,13,2,-,-,1
"S00135559",105,96,-,-,-,-,-,-,3,-,4,-,3,1
"S00135560",107,97,-,-,2,-,-,-,-,-,-,3,-,5
"S00135561",94,76,-,-,-,-,-,-,-,10,4,2,-,-
"S00135562",92,82,-,-,-,-,-,-,-,5,-,-,5,-
"S00135563",61,49,-,-,-,-,-,1,-,4,5,3,-,-
"S00135564",104,102,-,-,-,1,1,-,1,3,-,-,-,-
"S00135565",71,68,-,-,-,-,-,-,-,-,2,-,-,-
"S00135566",100,96,-,4,-,-,-,-,1,2,-,-,-,-
"S00135567",126,109,-,-,1,-,-,-,2,4,-,-,2,4
"S00135568",155,145,-,-,-,1,-,-,-,11,1,-,4,-
"S00135569",104,95,-,-,1,-,1,2,-,3,-,-,-,-
"S00135570",111,102,-,-,1,-,-,-,3,3,-,-,-,-
"S00135571",106,91,-,-,1,-,1,-,1,6,2,1,1,2
"S00135572",122,116,-,-,-,-,-,-,-,-,-,2,-,1
"S00135573",107,99,-,-,-,-,-,1,-,5,-,-,-,2
"S00135574",99,93,-,-,-,-,-,-,-,4,1,1,-,-
"S00135575",147,131,-,-,-,-,-,1,-,8,3,4,-,1
"S00135576",128,112,-,-,-,-,2,2,1,4,-,5,-,2
"S00135577",129,96,-,-,-,-,-,1,1,3,7,11,6,4
"S00135578",116,110,-,-,-,-,-,-,-,2,-,2,-,-
"S00135579",88,73,-,-,-,-,1,1,1,4,-,-,4,2
"S00135580",140,118,-,-,1,1,-,1,1,12,-,4,-,1
"S00135581",129,112,-,-,1,-,-,-,4,4,6,1,-,-
"S00135582",84,76,-,-,-,2,2,1,-,3,-,-,2,-
"S00135583",139,118,-,-,-,-,-,1,-,11,4,4,-,3
"S00135584",127,114,-,-,-,-,1,2,-,6,4,1,-,-
"S00135585",114,93,-,-,-,-,-,1,1,7,5,8,2,-
"S00135586",119,105,-,-,-,-,-,1,1,3,3,-,6,-
"S00135587",72,63,-,-,-,-,2,-,-,1,-,4,5,-
"S00135588",87,69,-,-,-,-,-,-,1,7,2,5,4,-
"S00135589",85,72,-,-,1,-,-,-,-,7,2,-,3,-
"S00135590",88,69,-,-,-,-,-,-,-,10,2,4,1,2
"S00135591",81,67,-,-,-,-,-,-,-,4,-,-,7,-
"S00135592",116,103,-,-,-,2,-,-,-,7,7,-,-,-
"S00135593",91,83,-,-,-,-,1,-,-,4,-,-,3,-
"S00135594",100,89,-,-,-,-,1,-,1,6,1,-,2,-
"S00135595",150,144,-,-,-,-,-,-,-,4,-,-,1,-
"S00135596",207,165,-,-,-,1,-,-,3,18,5,7,1,6
"S00135597",134,118,-,-,-,-,-,-,2,7,1,-,4,1
"S00135598",91,84,-,-,-,-,-,2,1,-,1,1,1,2
"S00135599",129,103,-,-,-,2,-,-,1,11,8,4,1,1
"S00135600",60,54,-,-,-,-,-,1,-,2,-,3,-,-
"S00135601",141,109,-,-,-,-,-,1,-,18,5,6,2,1
"S00135602",126,89,-,-,-,-,-,1,-,16,7,5,7,2
"S00135603",78,80,-,-,-,-,-,-,1,-,-,-,-,-
"S00135604",84,66,-,-,-,-,-,-,-,5,-,2,4,6
"S00135605",82,74,-,-,-,-,-,-,1,6,1,-,-,-
"S00135606",277,239,-,-,-,-,3,3,5,22,4,3,-,1
"S00135607",1720,1107,-,-,2,-,-,1,4,55,26,28,74,422
"S00135608",98,84,-,-,-,-,-,-,1,3,4,3,7,-
"S00135609",108,86,-,-,-,1,-,-,1,3,7,5,4,1
"S00135610",157,141,-,-,-,-,-,-,2,8,-,3,2,-
"S00135611",90,88,-,-,-,2,-,-,-,-,-,-,-,-
"S00135612",156,124,-,-,-,-,-,-,3,10,6,2,2,3
"S00135613",121,97,-,-,-,-,-,-,4,8,1,4,-,8
"S00135614",111,107,-,-,-,1,-,-,-,3,-,-,-,-
"S00135615",167,135,-,-,-,3,-,3,2,6,-,2,9,4
"S00135616",73,58,-,-,-,-,-,-,-,5,1,-,-,7
"S00135617",108,88,-,-,-,-,2,-,4,6,1,4,2,-
"S00135618",76,66,-,-,-,-,-,-,-,4,-,-,2,-
"S00135619",62,57,-,-,-,-,-,-,-,6,1,2,-,-
"S00135620",131,120,-,-,-,-,-,-,-,5,2,3,1,1
"S00135621",135,105,-,1,-,-,-,-,-,7,4,10,5,4
"S00135622",91,59,-,-,-,-,-,-,2,10,1,5,2,12
"S00135623",129,118,-,-,-,2,-,1,1,7,-,-,1,-
"S00135624",94,80,-,-,-,-,-,-,-,4,8,2,-,-
"S00135625",132,93,-,-,-,-,2,-,10,14,4,7,-,7
"S00135626",66,38,-,-,-,-,-,2,-,6,5,5,-,2
"S00135627",134,121,-,2,-,1,-,-,-,8,2,-,-,-
"S00135628",155,136,-,-,-,1,-,1,-,5,3,3,5,4
"S00135629",168,114,-,-,-,-,-,2,-,16,13,9,6,-
"S00135630",114,99,-,2,-,-,-,-,2,6,-,4,-,-
"S00135631",166,148,-,-,-,-,-,1,3,10,2,-,-,2
"S00135632",167,102,-,-,-,-,-,-,-,32,9,8,11,2
"S00135633",66,54,-,-,-,-,-,1,-,5,1,-,1,3
"S00135634",76,68,-,-,-,-,1,-,-,3,1,1,-,-
"S00135635",120,109,-,-,-,-,-,1,-,7,1,4,1,3
"S00135636",103,86,-,-,-,-,-,-,1,12,-,1,3,-
"S00135637",129,110,-,-,-,1,-,1,-,10,1,4,3,1
"S00135638",77,57,-,-,-,-,1,-,1,2,3,2,7,5
"S00135639",71,57,-,-,-,1,-,-,-,9,4,-,-,-
"S00135640",127,125,-,-,-,-,-,-,-,-,-,2,-,-
"S00135641",93,86,-,-,-,-,-,-,1,-,3,1,2,-
"S00135642",186,133,-,-,-,-,-,-,2,32,3,4,9,3
"S00135643",95,74,-,-,-,1,-,-,-,11,5,7,1,-
"S00135644",74,66,-,-,-,-,-,-,-,3,-,-,-,1
"S00135645",82,77,-,-,-,1,1,-,-,2,-,1,-,-
"S00135646",73,66,-,1,-,1,-,-,1,-,-,-,3,-
"S00135647",151,139,-,-,-,-,1,1,4,5,2,1,-,-
"S00135648",117,61,-,-,-,-,-,1,1,28,5,18,-,3
"S00135649",90,55,-,-,-,-,-,-,2,11,2,10,7,4
"S00135650",110,79,-,-,-,-,-,2,-,21,4,7,-,-
"S00135651",115,101,-,-,-,-,-,-,2,6,1,-,2,2
"S00135652",87,81,-,-,1,-,-,-,1,-,-,-,1,-
"S00135653",87,48,-,-,-,-,-,-,3,11,7,2,7,7
"S00135654",73,47,-,-,-,-,-,-,-,11,6,7,4,-
"S00135655",105,85,-,-,-,-,1,-,1,14,3,-,7,1
"S00135656",105,53,-,-,-,-,-,-,-,21,10,14,5,5
"S00135657",121,90,-,-,1,-,1,2,1,9,5,2,5,5
"S00135658",90,61,-,-,-,-,-,-,1,11,1,4,4,4
"S00135659",135,57,-,-,-,-,-,-,-,43,21,9,11,-
"S00135660",112,62,-,-,-,-,-,-,3,29,8,6,5,-
"S00135661",66,58,-,-,-,-,-,-,-,3,3,1,-,-
"S00135662",119,100,-,-,-,-,1,-,-,7,5,1,1,5
"S00135663",115,101,-,-,-,-,-,-,1,6,-,6,1,2
"S00135664",174,105,-,-,-,-,2,-,5,41,6,10,4,5
"S00135665",102,85,-,-,-,-,-,-,-,10,5,1,-,-
"S00135666",87,82,-,-,-,-,-,-,-,2,-,-,-,-
"S00135667",165,122,-,-,1,-,-,2,1,27,6,8,-,2
"S00135668",138,86,-,-,-,-,-,1,2,26,5,1,4,10
"S00135669",137,80,-,-,-,-,3,1,1,30,3,4,10,4
"S00135670",157,111,-,-,-,-,-,-,3,19,10,11,3,4
"S00135671",85,75,-,-,1,-,-,1,-,4,2,1,-,-
"S00135672",103,70,-,-,-,-,-,-,-,6,6,9,4,8
"S00135673",87,78,1,-,-,-,-,-,-,5,-,-,-,-
"S00135674",96,81,-,-,2,-,-,-,-,4,4,3,5,-
"S00135675",144,121,-,-,-,-,-,-,2,8,3,5,4,3
"S00135676",73,58,-,-,-,-,-,-,-,8,5,2,1,1
"S00135677",76,54,-,-,-,-,-,1,3,5,2,2,1,6
"S00135678",104,78,-,-,-,-,-,2,2,8,6,4,2,1
"S00135679",77,61,-,-,1,3,-,2,-,3,-,-,-,6
"S00135680",114,98,-,-,-,-,-,-,-,10,-,5,-,1
"S00135681",120,83,-,-,-,-,2,-,-,18,5,4,4,5
"S00135682",87,83,-,-,-,-,1,-,-,2,-,1,-,-
"S00135683",101,55,-,-,-,-,-,-,1,24,5,8,2,5
"S00135684",70,49,-,-,-,-,-,-,-,6,2,4,3,7
"S00135685",152,128,-,-,-,-,-,-,-,15,4,3,-,-
"S00135686",103,89,-,-,-,-,2,-,2,4,1,4,1,-
"S00135687",119,87,-,-,-,-,-,-,-,9,6,3,8,6
"S00135688",121,121,-,-,-,-,2,4,-,-,-,-,-,-
"S00135689",97,54,-,-,2,-,-,-,-,28,10,2,2,-
"S00135690",120,109,-,-,-,-,-,-,-,5,1,1,3,2
"S00135691",120,75,-,-,-,-,-,-,1,29,9,1,2,3
"S00135692",72,52,-,-,-,-,-,-,-,10,4,-,3,4
"S00135693",108,81,1,-,-,-,-,1,-,7,9,7,1,2
