Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00166944",90,88,-,-,-,-,2,-,-,-,-,-,1,-
"S00166945",77,76,-,-,-,-,-,-,1,-,-,-,-,-
"S00166946",69,63,-,1,-,-,-,-,-,1,-,2,-,2
"S00166947",86,81,-,-,-,1,1,-,-,-,-,1,-,-
"S00166948",63,61,-,-,1,-,-,-,1,-,-,-,-,-
"S00166949",73,71,-,-,-,-,1,-,-,1,-,-,-,-
"S00166950",92,88,-,-,-,1,-,-,1,-,2,-,-,-
"S00166951",93,87,1,-,-,-,-,1,1,-,-,-,1,-
"S00166952",103,103,-,-,-,-,-,-,-,-,-,-,-,-
"S00166953",115,110,-,-,-,-,2,-,-,-,-,-,-,1
"S00166954",118,117,-,-,-,-,-,-,-,-,1,-,-,-
"S00166955",157,151,1,2,1,-,-,-,-,1,1,-,-,-
"S00166956",73,68,-,-,-,-,-,-,-,1,-,-,2,-
"S00166957",179,174,-,-,-,1,1,2,1,2,-,-,-,1
"S00166958",67,61,-,-,-,-,-,-,-,1,-,-,7,-
"S00166959",185,178,-,-,-,-,-,-,4,3,-,-,-,-
"S00166960",130,127,-,-,1,-,-,1,-,-,-,2,-,-
"S00166961",160,160,-,-,1,-,-,2,-,-,-,-,-,-
"S00166962",88,86,-,-,-,-,-,-,-,-,1,-,1,-
"S00166963",151,147,-,-,-,-,-,-,-,-,-,2,1,-
"S00166964",119,109,-,-,-,-,-,-,-,-,-,1,1,5
"S00166965",126,121,-,1,-,-,-,-,1,4,-,-,-,-
"S00166966",150,141,-,-,-,1,-,-,2,-,2,-,2,4
"S00166967",101,93,-,-,1,1,1,-,-,2,-,-,-,3
"S00166968",160,155,-,-,-,1,-,-,1,1,1,-,-,-
"S00166969",129,123,-,-,-,1,1,-,1,-,-,2,-,-
"S00166970",110,98,-,-,1,1,-,-,-,-,-,1,-,8
"S00166971",181,174,-,-,-,-,-,1,-,3,-,-,2,-
"S00166972",97,93,-,-,-,-,-,-,2,2,-,-,-,-
"S00166973",253,247,-,-,-,4,-,2,-,1,-,-,-,-
"S00166974",115,110,-,-,-,-,-,-,2,-,-,1,-,-
"S00166975",105,99,-,-,-,-,-,-,1,3,-,-,-,-
"S00166976",200,187,-,-,2,1,-,1,-,5,4,-,1,-
"S00166977",135,127,-,-,-,2,-,-,-,1,-,-,3,3
"S00166978",115,108,-,-,-,-,2,2,2,-,-,-,-,1
"S00166979",122,120,-,-,-,-,-,-,-,-,-,3,-,-
"S00166980",253,243,-,-,-,-,4,2,2,-,-,-,-,-
"S00166981",187,185,-,-,-,1,-,-,-,1,-,-,-,-
"S00166982",72,68,-,1,-,1,-,2,-,-,-,-,-,-
"S00166983",127,117,-,-,-,-,2,-,-,4,2,2,-,-
"S00166984",162,157,-,-,-,-,-,2,-,2,-,-,-,-
"S00166985",147,145,-,-,-,-,-,-,-,2,-,-,4,-
"S00166986",112,110,-,-,-,-,-,1,-,1,-,-,-,-
"S00166987",120,113,-,-,-,-,-,-,-,1,-,-,-,2
"S00166988",152,147,-,-,-,2,3,-,-,1,4,-,-,-
"S00166989",96,95,-,-,-,-,-,-,-,-,-,-,-,-
"S00166990",161,153,1,-,-,-,-,-,1,-,-,-,6,-
"S00166991",145,141,-,-,-,-,1,2,-,-,-,2,1,-
"S00166992",139,125,-,-,-,-,-,-,-,5,-,4,-,5
"S00166993",131,124,-,-,1,-,-,2,1,1,-,1,1,-
"S00166994",131,126,-,-,-,-,-,-,-,-,-,-,1,-
"S00166995",99,98,-,-,-,-,-,2,-,-,-,-,-,-
"S00166996",80,78,-,-,-,-,-,-,-,-,-,-,2,-
"S00166997",146,146,-,-,-,-,-,-,-,-,-,-,-,-
"S00166998",131,130,-,-,-,-,-,-,-,-,-,-,-,-
"S00166999",107,108,-,-,-,-,-,-,1,-,-,1,-,-
"S00167000",127,126,-,1,-,2,1,-,-,1,-,-,-,-
"S00167001",161,146,-,-,-,5,1,2,2,2,-,2,-,-
"S00167002",163,144,-,-,2,1,2,-,2,8,-,-,-,-
"S00167003",119,116,-,-,1,-,-,-,1,-,-,-,1,-
"S00167004",137,128,-,-,-,-,-,-,-,6,-,-,1,-
"S00167005",137,132,-,-,-,-,-,-,-,6,-,-,-,-
"S00167006",148,144,-,-,-,-,-,2,-,2,-,-,-,-
"S00167007",90,89,-,-,-,-,-,-,-,-,1,-,-,-
"S00167008",98,95,-,1,-,-,-,-,-,-,-,1,2,-
"S00167009",128,123,-,-,1,-,1,5,-,-,-,-,-,-
"S00167010",137,123,-,-,-,-,1,2,-,1,-,1,3,6
"S00167011",126,126,-,-,-,-,-,-,-,-,-,-,-,-
"S00167012",122,122,-,-,-,-,-,-,-,-,-,-,-,-
"S00167013",111,104,-,-,-,-,1,-,-,-,-,-,5,-
"S00167014",141,136,-,-,-,-,-,-,2,-,-,2,-,-
"S00167015",201,196,-,-,-,-,-,-,1,-,-,-,-,-
"S00167016",95,92,-,-,2,-,-,-,-,2,-,-,-,-
"S00167017",128,126,-,-,-,-,3,-,-,-,-,-,-,-
"S00167018",104,103,-,-,-,-,-,-,-,-,-,-,-,-
"S00167019",102,102,-,-,-,-,-,-,-,-,-,-,-,-
"S00167020",98,98,-,-,-,-,-,-,-,-,-,-,-,-
"S00167021",98,97,-,-,-,-,-,-,-,-,1,-,-,-
"S00167022",169,167,1,1,-,-,-,-,-,-,-,-,-,-
"S00167023",84,81,-,-,-,-,-,-,-,-,-,-,-,-
"S00167024",110,105,-,-,-,-,-,-,-,-,-,-,2,-
"S00167025",93,92,-,-,-,-,-,-,-,-,-,-,-,-
"S00167026",160,154,-,-,-,4,-,-,1,2,1,-,-,-
"S00167027",103,99,-,-,-,-,-,-,-,2,1,-,-,-
"S00167028",117,114,-,-,-,1,-,1,-,1,-,-,-,-
"S00167029",82,80,-,-,-,1,-,-,-,1,-,-,-,-
"S00167030",86,85,-,-,-,-,-,-,2,-,-,-,-,-
"S00167031",108,105,-,-,-,-,-,-,-,-,-,3,-,-
"S00167032",127,123,-,2,2,-,-,-,-,-,-,-,2,-
"S00167033",109,107,-,-,-,-,-,-,-,1,-,-,-,-
"S00167034",79,77,-,-,-,-,-,-,-,1,-,-,-,-
"S00167035",126,114,-,-,-,-,-,-,2,3,-,2,-,5
"S00167036",146,143,-,-,-,-,-,-,1,-,-,4,-,-
"S00167037",109,106,-,-,-,-,1,-,-,-,-,1,-,-
"S00167038",87,83,-,-,-,-,-,4,-,2,-,-,-,-
"S00167039",153,153,-,-,-,-,-,-,-,-,-,-,-,-
"S00167040",183,183,-,-,-,-,-,-,-,-,-,-,-,-
"S00167041",161,159,-,-,1,-,-,-,-,-,-,-,1,-
"S00167042",78,78,-,-,-,-,-,-,-,-,-,-,-,-
"S00167043",90,87,-,-,-,1,-,-,-,1,-,-,1,-
"S00167044",86,88,-,-,-,1,-,-,-,1,-,-,-,-
"S00167045",88,83,-,-,1,1,-,-,-,3,-,-,-,-
"S00167046",113,111,-,-,-,-,2,-,-,-,-,-,-,-
"S00167047",152,154,-,-,-,-,-,-,1,1,-,-,-,-
"S00167048",113,112,-,-,-,-,1,-,-,-,-,-,-,-
"S00167049",122,122,-,-,-,-,-,-,-,-,-,-,-,-
"S00167050",88,87,-,-,-,-,-,-,-,-,-,2,-,-
"S00167051",75,75,-,-,-,-,-,-,-,-,-,-,-,-
"S00167052",154,154,-,-,-,-,-,-,-,-,-,-,-,-
"S00167053",80,76,-,1,-,-,-,1,-,-,-,-,1,-
"S00167054",163,159,-,-,1,-,1,1,-,1,-,-,-,-
"S00167055",99,96,-,-,-,-,-,-,-,1,-,-,-,-
"S00167056",131,130,-,-,-,-,-,-,1,-,-,-,-,-
"S00167057",125,127,-,-,-,-,-,1,-,1,-,-,-,-
"S00167058",192,185,-,-,1,-,-,-,1,1,-,-,-,3
"S00167059",96,101,-,-,-,1,2,-,-,-,-,-,-,-
"S00167060",179,179,-,-,2,-,-,-,1,2,-,-,-,-
"S00167061",159,156,-,-,-,-,-,2,-,1,1,-,-,-
"S00167062",114,113,-,-,-,1,-,-,-,-,-,-,-,-
"S00167063",141,137,-,-,-,-,1,2,-,-,-,-,-,-
"S00167064",150,144,-,-,-,1,-,2,-,-,-,-,-,-
"S00167065",136,129,-,-,-,-,-,1,-,-,-,-,5,-
"S00167066",72,70,-,-,-,-,-,-,-,-,-,-,-,-
"S00167067",148,148,-,-,-,-,-,-,-,-,-,-,-,-
"S00167068",109,103,-,-,-,-,-,3,1,-,-,-,-,-
"S00167069",82,78,-,-,-,1,-,-,-,3,-,-,-,-
"S00167070",99,96,-,-,-,-,-,-,1,-,-,-,-,1
"S00167071",68,66,-,-,-,-,-,-,-,-,2,-,-,-
"S00167072",137,133,-,1,-,-,2,1,-,1,-,-,-,-
"S00167073",99,96,-,-,-,-,-,-,1,-,-,-,1,-
"S00167074",86,86,-,-,-,-,-,-,-,-,-,-,-,-
"S00167075",95,93,-,-,1,-,-,-,-,1,-,-,-,-
"S00167076",164,149,-,-,-,-,-,1,-,7,-,2,1,3
"S00167077",196,193,-,1,-,-,-,-,1,-,-,-,-,-
"S00167078",79,75,-,-,-,-,-,-,1,-,-,1,-,2
"S00167079",97,97,-,-,-,-,-,-,-,-,-,-,-,-
"S00167080",172,169,-,-,-,-,1,-,4,-,-,-,-,-
"S00167081",125,119,-,-,-,-,-,-,4,-,-,3,-,-
"S00167082",84,82,-,-,1,-,-,-,-,1,-,-,-,-
"S00167083",67,62,-,-,-,-,-,-,-,-,1,-,2,-
"S00167084",90,87,-,-,-,-,-,1,-,1,-,-,1,-
"S00167085",74,69,-,-,-,-,1,-,-,2,2,-,-,-
"S00167086",74,74,-,-,-,-,-,-,-,-,-,-,-,-
"S00167087",109,104,-,-,-,-,-,2,-,-,-,-,-,1
"S00167088",88,84,-,-,-,-,-,1,-,-,1,1,-,-
"S00167089",138,133,-,-,-,-,-,-,-,1,2,1,-,1
"S00167090",91,92,-,-,-,-,1,-,-,-,-,-,-,-
"S00167091",101,97,-,-,-,-,-,-,-,2,-,-,-,-
"S00167092",98,100,-,-,-,2,-,-,-,-,-,1,-,-
"S00167093",103,101,-,-,1,-,-,-,-,-,-,-,-,-
"S00167094",72,71,-,-,1,-,-,-,-,-,-,-,-,-
"S00167095",64,59,-,-,-,-,-,-,-,-,3,2,-,-
"S00167096",138,136,-,-,-,-,-,2,-,-,-,-,-,-
"S00167097",175,172,-,-,-,2,-,-,1,2,-,-,-,-
"S00167098",158,153,-,-,-,-,-,-,-,3,-,-,-,-
"S00167099",67,66,-,-,-,-,-,-,2,-,-,-,-,-
"S00167100",112,108,-,-,-,-,-,-,-,2,-,1,-,-
"S00167101",136,131,-,-,-,-,1,-,-,-,-,-,-,-
"S00167102",78,76,-,-,-,-,-,-,-,-,-,-,-,4
"S00167103",89,87,-,-,-,-,-,-,2,-,-,-,-,-
"S00167104",81,81,-,-,-,-,-,-,-,-,-,-,-,-
"S00167105",165,162,-,-,-,1,-,2,-,-,-,-,1,-
"S00167106",154,151,-,-,-,1,-,-,-,1,-,-,-,-
"S00167107",93,91,-,-,-,-,-,-,-,-,-,1,-,-
"S00167108",126,122,1,-,-,-,-,-,-,1,-,-,-,-
"S00167109",125,125,-,-,-,-,-,-,-,-,-,-,-,-
"S00167110",133,129,-,-,-,1,2,-,-,1,1,-,-,-
"S00167111",137,135,-,-,-,-,-,-,-,-,-,1,1,-
"S00167112",86,85,-,-,-,-,-,-,-,-,-,-,-,-
"S00167113",116,104,-,-,-,-,-,1,-,-,2,9,-,-
"S00167114",99,96,-,-,-,1,-,1,-,-,2,-,-,-
"S00167115",120,119,-,-,-,1,-,-,-,-,-,-,-,-
"S00167116",184,175,-,-,-,-,-,-,1,-,2,1,-,-
"S00167117",87,85,-,-,-,2,-,-,-,-,-,-,-,-
"S00167118",157,151,1,-,-,-,-,-,-,2,1,-,-,1
"S00167119",147,147,-,-,-,-,-,-,-,-,-,-,-,-
"S00167120",106,102,-,-,2,-,2,-,-,-,2,-,-,-
"S00167121",155,152,-,-,-,1,-,2,1,5,-,1,-,-
"S00167122",155,154,-,-,-,-,-,-,-,-,-,-,1,-
"S00167123",121,119,-,-,-,-,-,1,-,-,-,-,-,-
"S00167124",68,66,-,-,-,-,1,-,1,-,-,-,-,-
"S00167125",139,137,-,-,-,-,-,-,-,2,-,-,-,-
"S00167126",162,157,-,-,-,1,-,2,2,-,-,-,-,-
"S00167127",75,74,-,-,-,-,-,-,-,1,-,-,-,-
"S00167128",69,69,-,-,-,-,-,-,-,-,-,-,-,-
"S00167129",116,115,-,-,1,-,-,-,-,1,-,1,-,-
"S00167130",109,108,-,-,-,1,-,-,-,-,-,-,-,-
"S00167131",158,155,-,-,-,-,-,-,2,-,2,-,-,-
"S00167132",127,114,1,-,-,-,-,2,-,-,-,4,-,2
"S00167133",106,97,-,-,1,1,2,-,-,1,-,-,-,-
"S00167134",132,126,-,-,1,1,-,-,1,-,1,-,-,-
"S00167135",93,93,-,-,-,-,-,-,-,-,-,-,-,-
"S00167136",154,153,-,-,-,-,-,-,-,-,-,-,-,1
"S00167137",91,91,-,-,-,-,-,-,-,-,-,-,-,-
"S00167138",94,89,-,-,1,-,-,1,1,-,2,-,-,-
"S00167139",85,85,-,-,-,-,-,-,-,-,-,-,-,-
"S00167140",81,81,-,-,-,1,-,-,-,2,-,-,-,-
"S00167141",84,80,-,-,1,-,1,-,1,-,-,-,1,-
"S00167142",111,107,-,-,-,-,-,-,5,-,-,1,-,-
"S00167143",65,63,-,-,-,-,-,-,-,1,-,-,-,-
"S00167144",141,140,-,-,-,1,-,-,-,-,-,-,-,-
"S00167145",110,110,-,-,-,-,-,-,-,-,-,-,-,-
"S00167146",93,87,-,-,-,-,2,-,-,-,-,-,-,1
"S00167147",207,202,-,-,-,-,-,-,1,-,1,-,-,-
"S00167148",165,162,-,-,-,1,-,-,2,-,-,1,-,-
"S00167149",97,96,-,-,-,-,-,1,-,-,-,-,-,-
"S00167150",111,103,-,-,-,-,-,-,1,2,-,-,4,-
"S00167151",98,98,-,-,-,-,-,-,2,-,-,-,-,-
"S00167152",122,128,-,-,-,-,-,-,-,1,-,-,-,-
"S00167153",84,83,-,-,-,-,-,-,-,1,-,-,-,-
"S00167154",243,227,-,-,-,1,-,5,-,2,-,1,1,-
"S00167155",176,170,-,-,-,1,2,-,-,3,-,-,-,-
"S00167156",109,106,-,-,-,-,-,-,1,2,-,-,-,-
"S00167157",83,82,-,-,-,-,2,-,-,-,-,-,-,-
"S00167158",113,113,-,-,-,-,-,-,-,-,-,-,-,-
"S00167159",147,138,-,-,-,-,-,-,5,3,1,-,-,-
"S00167160",99,94,-,-,-,-,-,-,-,2,1,1,-,-
"S00167161",86,83,-,1,-,-,1,-,-,-,-,-,-,-
"S00167162",99,96,-,-,-,1,1,-,-,-,-,-,-,-
"S00167163",99,98,-,-,-,-,-,-,-,1,-,-,-,-
"S00167164",142,137,-,-,-,-,1,-,-,-,1,-,-,-
"S00167165",108,102,-,-,-,-,-,-,-,-,3,2,-,-
"S00167166",138,132,-,-,-,-,-,-,-,4,-,1,1,-
"S00167167",98,96,-,-,-,1,-,-,-,-,-,1,-,-
"S00167168",105,102,-,-,-,-,-,-,2,3,-,-,-,-
"S00167169",125,124,-,-,-,-,1,-,-,-,-,-,-,-
"S00167170",90,88,-,-,-,-,-,-,1,-,-,-,1,-
"S00167171",75,71,-,-,1,-,1,1,-,-,-,-,-,-
"S00167172",94,93,-,-,-,-,-,-,-,-,-,-,-,-
"S00167173",145,144,-,-,-,-,-,1,-,-,-,-,-,-
"S00167174",138,137,-,-,-,-,-,-,-,1,-,-,-,-
"S00167175",86,86,-,-,-,-,-,-,-,-,-,-,-,-
"S00167176",78,77,-,-,-,2,1,-,-,2,-,-,-,-
"S00167177",108,111,-,-,-,-,-,-,-,1,-,-,-,-
"S00167178",149,147,-,-,-,-,-,-,-,-,3,-,-,-
"S00167179",128,119,1,-,-,1,-,-,1,2,-,-,-,1
"S00167180",98,94,-,-,2,1,-,1,-,-,-,-,-,-
"S00167181",102,98,-,-,-,-,2,-,-,-,3,-,-,-
"S00167182",145,144,-,-,1,-,-,-,-,-,-,-,-,-
"S00167183",141,142,-,-,-,-,-,-,1,-,1,-,-,1
"S00167184",141,132,-,-,-,-,-,1,1,2,3,1,2,-
"S00167185",88,90,-,-,-,-,-,-,-,-,2,-,-,-
"S00167186",115,114,-,-,-,-,1,-,-,-,-,-,-,-
"S00167187",102,99,-,-,-,1,-,-,-,-,-,-,-,-
"S00167188",128,125,-,-,-,-,-,-,-,-,2,1,-,-
"S00167189",76,75,-,-,-,1,-,-,-,-,-,-,-,-
"S00167190",142,141,-,-,-,-,-,-,-,1,-,-,-,-
"S00167191",105,101,-,-,-,-,-,-,-,-,-,-,2,-
"S00167192",134,133,-,-,-,-,1,-,-,-,-,-,-,-
"S00167193",110,106,-,-,2,-,-,-,-,-,-,-,-,-
"S00167194",109,90,-,-,-,2,-,-,-,13,-,-,1,-
"S00167195",127,123,-,-,-,-,-,1,-,2,-,1,1,-
"S00167196",73,72,-,-,-,-,-,-,-,-,-,-,-,-
"S00167197",114,111,-,-,-,-,-,-,-,-,2,-,-,-
"S00167198",122,115,-,-,-,1,-,-,-,1,-,-,-,-
"S00167199",100,97,-,-,-,-,-,-,2,-,-,-,-,-
"S00167200",132,129,-,-,-,-,-,-,-,-,-,-,-,3
"S00167201",56,56,-,-,-,-,-,-,-,-,-,-,-,-
"S00167202",126,124,-,-,-,-,-,-,-,2,1,-,-,-
"S00167203",95,91,-,-,2,-,-,-,-,2,-,-,-,-
"S00167204",155,147,-,-,-,2,-,-,-,5,-,-,-,-
"S00167205",148,142,-,-,-,-,1,1,-,3,-,1,-,-
"S00167206",165,158,-,-,-,1,1,-,-,-,1,-,4,-
"S00167207",148,143,-,-,-,-,2,2,1,-,-,-,-,-
"S00167208",86,86,-,-,-,-,-,-,-,-,-,-,-,-
"S00167209",90,89,-,-,-,1,-,-,-,-,-,-,-,-
"S00167210",163,160,-,-,-,-,-,-,2,2,1,-,-,-
"S00167211",116,114,-,-,-,-,-,-,2,-,-,-,-,-
"S00167212",77,75,-,-,-,-,-,-,3,-,-,-,-,-
"S00167213",87,83,-,-,-,-,-,-,-,2,-,-,-,-
"S00167214",140,141,-,-,-,-,-,1,-,1,-,2,-,-
"S00167215",115,111,-,-,-,-,-,-,-,6,-,-,-,-
"S00167216",126,126,-,-,-,-,-,-,-,-,-,-,-,-
"S00167217",98,97,-,-,-,1,-,-,-,-,-,-,-,-
"S00167218",63,62,-,-,-,-,-,-,-,-,-,1,-,-
"S00167219",95,93,-,-,-,1,-,-,-,-,-,-,-,-
"S00167220",84,83,-,-,-,-,-,-,1,-,-,-,-,-
"S00167221",80,79,-,-,1,-,-,-,-,-,-,-,-,-
"S00167222",77,75,-,-,-,-,1,-,-,-,1,-,-,-
"S00167223",65,63,-,-,-,-,-,-,1,-,-,1,-,-
"S00167224",75,72,-,-,-,-,1,-,-,-,-,-,2,-
"S00167225",112,108,-,-,-,-,-,3,-,-,-,-,-,-
"S00167226",141,141,-,-,-,-,-,-,-,-,-,-,-,-
"S00167227",123,121,-,-,-,-,-,-,-,-,-,1,-,-
"S00167228",92,90,-,-,-,-,-,-,-,2,-,-,-,-
"S00167229",77,75,-,-,-,-,2,-,-,-,-,-,-,-
"S00167230",154,153,-,-,-,1,-,-,-,-,-,-,-,-
"S00167231",113,113,-,-,-,1,-,-,-,-,-,-,-,-
"S00167232",203,200,-,-,-,-,1,-,2,1,-,-,-,-
"S00167233",108,103,-,-,-,-,-,1,-,1,1,-,-,-
"S00167234",129,126,-,-,1,1,-,-,-,-,-,-,-,-
"S00167235",142,136,-,-,-,-,-,-,-,-,5,-,1,-
"S00167236",95,94,-,-,-,-,1,-,-,-,-,-,-,-
"S00167237",142,128,-,-,-,-,-,-,-,-,-,-,10,-
"S00167238",87,90,-,-,-,-,-,-,-,-,-,-,-,-
"S00167239",127,121,-,-,-,-,3,-,1,-,1,-,-,-
"S00167240",86,86,-,-,-,-,-,-,-,-,-,-,-,-
"S00167241",65,60,-,-,-,-,2,-,-,2,-,-,1,-
"S00167242",84,82,-,-,-,-,-,-,-,2,-,-,-,-
"S00167243",104,103,-,-,-,-,-,-,1,-,-,-,-,-
"S00167244",130,127,-,-,-,-,-,-,-,1,1,1,-,-
"S00167245",95,95,-,-,-,-,-,-,-,-,-,-,-,-
"S00167246",129,124,-,-,-,-,-,-,1,1,-,-,-,-
"S00167247",172,168,-,-,-,-,1,-,-,-,-,1,-,5
"S00167248",84,84,-,-,-,-,-,-,-,-,-,-,-,-
"S00167249",82,76,-,-,-,4,-,-,-,-,-,1,-,2
"S00167250",95,93,-,-,-,-,-,-,-,-,-,-,-,-
"S00167251",126,125,-,-,-,-,-,-,-,1,-,-,-,-
"S00167252",100,99,-,-,-,-,-,-,-,-,-,1,-,-
"S00167253",75,71,-,-,-,1,-,-,-,2,1,-,-,1
"S00167254",139,140,-,-,-,-,-,-,-,-,-,-,2,-
"S00167255",69,67,-,-,-,-,-,-,-,1,-,-,-,-
"S00167256",151,150,-,-,-,-,-,-,1,-,-,-,-,-
"S00167257",66,62,-,-,-,-,4,-,-,-,-,-,-,-
"S00167258",88,87,-,-,-,-,-,-,-,-,-,1,-,-
"S00167259",95,86,-,-,-,1,1,-,-,1,-,-,5,-
"S00167260",143,143,-,-,-,-,-,-,-,-,-,-,-,-
"S00167261",116,104,-,-,-,3,1,3,-,-,-,-,2,2
"S00167262",102,98,-,-,-,-,-,2,1,-,-,-,2,-
"S00167263",118,113,-,1,-,-,1,2,-,2,-,-,-,-
"S00167264",123,119,-,-,-,-,-,-,-,-,2,-,5,-
"S00167265",157,149,-,-,-,1,-,1,1,3,1,-,-,-
"S00167266",97,95,-,-,1,-,-,-,-,2,-,-,-,-
"S00167267",80,79,-,-,2,-,-,-,-,-,-,-,-,-
"S00167268",100,95,-,-,-,-,1,-,-,1,1,1,-,-
"S00167269",82,77,-,2,-,1,-,-,-,-,4,-,-,-
"S00167270",160,157,-,2,-,1,-,-,-,-,-,-,-,-
"S00167271",115,114,-,-,-,-,-,1,-,-,-,-,-,-
"S00167272",122,115,-,-,-,-,-,-,-,-,4,-,4,1
"S00167273",82,79,-,-,1,-,-,-,1,1,-,-,-,-
"S00167274",105,94,-,-,-,1,-,-,-,-,-,2,5,-
"S00167275",72,70,-,-,-,-,2,-,-,-,2,-,-,-
"S00167276",121,117,-,-,-,1,1,1,-,-,-,1,-,-
"S00167277",108,107,-,-,-,-,1,-,-,-,-,-,-,-
"S00167278",132,132,-,-,-,-,-,-,-,-,-,-,-,-
"S00167279",65,65,-,-,-,-,-,-,-,-,-,-,4,-
"S00167280",105,102,-,-,-,-,-,-,-,3,-,-,-,-
"S00167281",134,127,-,-,-,2,-,2,-,4,-,-,-,-
"S00167282",150,149,-,-,-,-,-,-,-,-,-,1,-,-
"S00167283",84,82,-,-,-,-,-,-,-,-,2,-,-,-
"S00167284",72,68,-,-,-,-,-,-,2,1,-,-,-,-
"S00167285",116,114,-,-,-,-,-,-,-,-,-,-,3,-
"S00167286",69,62,-,-,-,-,-,1,-,4,3,-,-,-
"S00167287",76,73,-,-,-,-,-,-,-,1,-,-,-,-
"S00167288",131,128,-,-,-,-,-,-,-,-,-,-,1,-
"S00167289",69,67,-,1,-,-,-,-,-,-,-,-,-,-
"S00167290",87,88,-,-,1,-,-,-,-,-,-,1,-,-
"S00167291",94,93,-,-,-,1,-,-,-,-,-,-,-,-
"S00167292",144,137,-,-,-,2,4,-,1,1,-,-,-,-
"S00167293",88,86,-,-,-,-,-,-,1,1,-,-,-,-
"S00167294",139,132,-,-,-,-,-,4,1,-,2,-,-,-
"S00167295",71,71,-,-,-,-,-,-,-,-,-,-,-,-
"S00167296",84,82,-,-,1,1,-,-,-,-,-,-,-,-
"S00167297",118,114,2,2,-,-,1,2,-,-,-,-,-,-
"S00167298",89,86,-,-,-,-,-,-,-,2,-,-,-,-
"S00167299",90,87,-,-,-,-,-,-,2,-,-,-,-,-
"S00167300",92,88,-,-,1,-,2,-,-,-,-,-,-,1
"S00167301",169,155,-,-,-,-,1,1,-,12,-,-,-,-
"S00167302",123,122,-,-,-,-,-,1,-,-,-,-,-,-
"S00167303",96,93,-,-,-,-,-,-,1,-,-,1,-,-
"S00167304",135,126,-,-,-,2,-,-,1,1,-,-,5,-
"S00167305",98,95,-,-,-,-,-,-,-,2,-,-,-,-
"S00167306",131,127,-,-,-,-,1,-,-,-,-,2,-,-
"S00167307",96,96,-,-,-,-,-,-,-,-,-,-,-,-
"S00167308",164,163,-,-,-,-,-,-,-,1,-,-,-,-
"S00167309",121,117,-,-,2,-,-,-,2,1,-,-,-,-
"S00167310",127,124,-,-,-,-,-,-,3,-,-,-,-,-
"S00167311",155,141,-,-,1,-,-,-,-,-,7,7,-,1
"S00167312",100,96,-,-,-,-,-,-,-,1,-,-,-,-
"S00167313",142,134,-,-,-,-,1,-,-,-,-,3,7,-
"S00167314",98,88,-,-,-,-,-,-,-,3,2,2,-,-
"S00167315",97,94,-,-,-,-,-,2,1,1,-,-,-,-
"S00167316",170,164,-,-,-,-,-,-,1,4,-,-,-,-
"S00167317",72,70,-,-,-,-,1,-,-,-,-,-,-,-
"S00167318",140,134,-,-,-,-,-,-,-,2,-,-,1,-
"S00167319",71,70,-,1,-,-,-,-,-,-,-,-,-,-
"S00167320",126,124,-,-,-,-,2,-,-,-,-,-,-,-
"S00167321",97,95,-,-,-,1,1,-,-,-,-,-,-,-
"S00167322",64,62,-,-,-,-,-,-,2,-,-,-,-,-
"S00167323",123,120,-,-,-,-,-,-,2,1,-,-,-,-
"S00167324",146,144,-,-,-,1,-,-,1,-,-,-,-,-
"S00167325",132,130,-,-,1,-,-,-,-,-,-,1,-,-
"S00167326",97,89,-,-,1,-,-,1,1,-,-,-,-,6
"S00167327",75,74,-,-,-,-,-,-,1,-,-,-,3,-
"S00167328",97,93,-,-,-,-,-,-,-,-,-,1,-,-
"S00167329",104,103,-,-,-,-,-,1,-,-,-,-,-,-
"S00167330",172,172,-,-,-,-,-,-,-,-,-,-,-,-
"S00167331",145,146,-,-,-,1,-,-,-,-,-,-,-,-
"S00167332",97,95,-,1,-,-,-,-,-,-,-,1,-,-
"S00167333",106,101,-,-,-,-,-,2,-,-,-,-,1,1
"S00167334",83,81,-,-,-,-,1,-,-,-,1,-,-,-
"S00167335",101,99,-,-,-,-,-,-,-,1,-,1,-,-
"S00167336",188,183,-,-,-,-,1,-,-,-,-,-,4,-
"S00167337",115,109,-,-,-,1,-,-,-,-,-,1,5,-
"S00167338",106,101,-,-,-,2,1,-,-,2,-,-,-,-
"S00167339",104,96,-,-,-,-,1,-,-,-,-,-,2,-
"S00167340",97,95,-,-,-,-,-,-,-,4,-,-,-,-
"S00167341",63,63,-,-,-,-,-,-,-,-,-,-,-,-
"S00167342",116,104,-,-,-,-,-,1,1,1,1,1,3,-
"S00167343",157,150,-,-,-,2,-,-,1,-,-,-,3,3
"S00167344",80,77,-,-,-,-,1,-,-,2,-,-,-,-
"S00167345",106,103,-,-,-,-,1,-,-,1,1,-,-,-
"S00167346",102,100,-,-,-,-,-,-,-,-,-,-,-,-
"S00167347",121,114,-,-,-,-,1,-,-,2,-,-,-,-
"S00167348",120,114,-,1,1,-,-,-,1,1,1,-,2,-
