Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00135669",137,101,2,-,-,37
"S00135670",153,108,1,-,-,40
"S00135671",82,76,-,-,-,6
"S00135672",98,75,2,-,-,21
"S00135673",84,79,-,-,-,5
"S00135674",94,84,-,-,-,10
"S00135675",138,122,1,-,-,16
"S00135676",73,63,2,-,-,8
"S00135677",72,63,-,-,-,9
"S00135678",99,84,-,-,-,15
"S00135679",75,64,2,-,-,6
"S00135680",111,95,-,-,-,16
"S00135681",122,90,-,-,-,28
"S00135682",87,85,-,-,-,2
"S00135683",97,63,1,-,-,32
"S00135684",70,57,1,-,-,12
"S00135685",142,120,3,-,-,19
"S00135686",103,88,2,-,-,12
"S00135687",116,99,-,-,-,13
"S00135688",121,120,-,-,-,-
"S00135689",92,53,2,-,1,35
"S00135690",119,111,2,-,-,6
"S00135691",116,85,1,-,-,30
"S00135692",71,59,-,-,-,12
"S00135693",103,77,-,-,-,26
"S00135694",85,81,-,-,-,4
"S00135695",74,64,-,-,-,10
"S00135696",61,52,-,-,-,7
"S00135697",115,94,3,-,1,17
"S00135698",134,96,-,-,2,36
"S00135699",151,135,-,-,-,16
"S00135700",64,48,-,-,-,16
"S00135701",94,71,3,-,-,21
"S00135702",104,106,1,-,-,1
"S00135703",66,53,-,-,-,13
"S00135704",62,53,-,-,-,6
"S00135705",99,73,-,-,1,22
"S00135706",138,108,-,-,1,32
"S00135707",61,52,-,-,-,9
"S00135708",119,88,-,-,-,32
"S00135709",113,84,1,-,-,28
"S00135710",70,54,-,-,-,16
"S00135711",86,65,-,-,-,21
"S00135712",130,85,-,-,-,41
"S00135713",80,60,-,-,-,20
"S00135714",118,107,-,-,2,10
"S00135715",113,106,-,-,-,7
"S00135716",119,97,1,-,-,21
"S00135717",104,84,-,-,-,20
"S00135718",68,63,-,-,-,5
"S00135719",177,132,-,-,-,41
"S00135720",198,182,-,-,-,20
"S00135721",153,137,-,-,-,16
"S00135722",73,50,-,-,-,23
"S00135723",77,61,-,-,-,15
"S00135724",86,81,-,-,-,5
"S00135725",122,90,-,-,1,31
"S00135726",161,130,-,-,-,31
"S00135727",133,84,-,1,-,48
"S00135728",97,82,2,-,-,12
"S00135729",96,88,-,-,-,7
"S00135730",103,95,-,-,-,7
"S00135731",84,78,-,-,-,6
"S00135732",96,86,1,-,-,9
"S00135733",78,55,-,-,-,23
"S00135734",189,167,-,-,-,19
"S00135735",96,85,-,-,-,12
"S00135736",81,75,-,-,-,4
"S00135737",87,50,-,-,-,34
"S00135738",172,163,-,-,-,12
"S00135739",112,77,-,-,-,39
"S00135740",96,82,-,-,-,14
"S00135741",66,61,4,-,-,1
"S00135742",88,86,-,-,-,5
"S00135743",95,67,-,-,-,25
