Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00170232",100,97,-,-,-,3
"S00170233",111,104,-,-,1,3
"S00170234",157,152,-,-,-,2
"S00170235",85,80,-,-,-,5
"S00170236",82,80,-,-,-,2
"S00170237",95,95,-,-,-,-
"S00170238",149,147,-,-,-,2
"S00170239",116,82,-,-,-,34
"S00170240",102,100,1,-,-,-
"S00170241",143,142,-,-,-,1
"S00170242",152,142,1,-,-,7
"S00170243",92,90,-,-,1,1
"S00170244",61,55,-,-,-,4
"S00170245",93,86,-,-,-,8
"S00170246",96,93,-,-,-,3
"S00170247",86,81,-,-,-,5
"S00170248",157,149,-,-,-,8
"S00170249",100,98,-,-,-,2
"S00170250",125,124,-,-,-,5
"S00170251",108,107,-,-,-,2
"S00170252",105,105,-,-,-,-
"S00170253",108,98,-,-,-,10
"S00170254",129,108,-,-,-,21
"S00170255",176,167,-,-,-,6
"S00170256",128,125,-,-,-,3
"S00170257",99,92,-,-,-,6
"S00170258",79,79,-,-,-,-
"S00170259",147,141,-,-,-,8
"S00170260",97,97,-,-,-,-
"S00170261",113,111,-,-,-,2
"S00170262",67,67,-,-,-,-
"S00170263",70,52,-,-,-,18
"S00170264",92,90,-,-,-,-
"S00170265",101,95,-,-,-,6
"S00170266",61,61,-,-,-,-
"S00170267",61,59,-,-,-,2
"S00170268",110,103,-,-,-,3
"S00170269",190,186,-,-,-,4
"S00170270",149,140,-,1,-,7
"S00170271",99,99,-,-,-,-
"S00170272",91,91,-,-,-,-
"S00170273",85,82,-,-,-,3
"S00170274",73,70,-,-,-,3
"S00170275",123,118,-,-,-,3
"S00170276",98,93,-,-,-,5
"S00170277",170,162,-,-,-,8
"S00170278",76,71,-,-,-,6
"S00170279",119,117,-,-,-,5
"S00170280",159,155,-,-,-,4
"S00170281",164,163,-,-,-,5
"S00170282",131,127,-,-,-,3
"S00170283",109,109,-,-,-,-
"S00170284",65,59,-,-,-,10
"S00170285",135,135,-,-,-,-
"S00170286",80,80,-,-,-,-
"S00170287",133,133,-,-,-,-
"S00170288",113,109,-,-,-,1
"S00170289",65,65,-,-,-,-
"S00170290",115,115,-,-,-,-
"S00170291",122,116,-,-,-,7
"S00170292",162,152,-,-,-,10
"S00170293",144,147,-,-,-,1
"S00170294",103,103,-,-,-,-
"S00170295",220,215,1,-,-,3
"S00170296",106,101,-,-,-,5
"S00170297",90,89,-,-,-,1
"S00170298",156,156,-,-,-,-
"S00170299",123,104,2,-,-,18
"S00170300",111,110,-,-,-,-
"S00170301",158,140,1,-,-,21
"S00170302",87,85,-,-,-,2
"S00170303",150,146,-,-,-,1
"S00170304",125,118,-,-,-,6
"S00170305",163,163,-,-,-,-
"S00170306",172,165,-,-,-,7
"S00170307",89,82,1,-,-,9
"S00170308",121,109,5,1,-,8
"S00170309",81,80,-,-,-,1
"S00170310",106,105,-,-,-,1
"S00170311",82,78,-,-,-,4
"S00170312",76,69,-,-,-,7
"S00170313",139,138,-,-,-,2
"S00170314",184,183,-,-,-,1
"S00170315",146,143,1,-,-,2
"S00170316",117,116,-,-,-,1
"S00170317",62,58,-,-,-,4
"S00170318",109,100,2,-,-,8
"S00170319",62,62,-,-,-,-
"S00170320",132,131,-,-,-,2
"S00170321",135,126,-,-,-,9
"S00170322",145,146,-,-,-,1
"S00170323",73,65,-,-,-,8
"S00170324",90,90,-,-,-,-
"S00170325",116,113,-,-,-,3
"S00170326",170,163,-,-,-,9
"S00170327",146,118,-,-,-,28
"S00170328",101,92,-,-,-,9
"S00170329",109,107,-,-,-,2
"S00170330",68,69,-,-,1,2
"S00170331",61,59,2,-,-,1
"S00170332",87,84,-,-,-,2
"S00170333",85,73,-,-,-,12
"S00170334",66,66,-,-,-,-
"S00170335",161,153,-,-,-,8
"S00170336",111,108,-,-,-,4
"S00170337",110,110,-,-,-,-
"S00170338",77,61,-,-,-,13
"S00170339",120,119,-,-,2,2
"S00170340",74,65,-,-,-,9
"S00170341",72,68,-,-,4,2
"S00170342",102,102,-,-,-,-
"S00170343",99,96,-,-,-,3
"S00170344",87,81,-,2,-,4
"S00170345",116,114,-,-,-,2
"S00170346",128,125,-,-,-,3
"S00170347",107,105,-,-,-,2
"S00170348",91,91,-,-,-,-
"S00170349",79,77,-,-,-,-
"S00170350",123,116,2,-,2,3
"S00170351",87,87,-,-,-,-
"S00170352",89,88,-,-,-,2
"S00170353",71,64,-,-,-,7
"S00170354",130,126,-,-,-,8
"S00170355",77,68,-,-,-,9
"S00170356",99,93,-,-,-,6
"S00170357",120,115,-,-,-,5
"S00170358",129,126,-,-,-,3
"S00170359",143,137,-,-,-,6
"S00170360",70,70,-,-,-,-
"S00170361",92,88,-,-,-,5
"S00170362",86,78,-,-,-,8
"S00170363",77,76,-,-,-,2
"S00170364",142,137,2,-,-,4
"S00170365",89,82,-,-,-,9
"S00170366",169,161,-,-,-,8
"S00170367",140,142,-,-,-,2
"S00170368",113,110,-,-,-,1
"S00170369",99,95,-,-,-,4
"S00170370",74,74,-,-,-,-
"S00170371",175,175,-,-,-,-
"S00170372",75,74,-,-,1,-
"S00170373",97,77,-,-,-,20
"S00170374",70,69,-,-,-,-
"S00170375",137,133,-,-,-,6
"S00170376",70,70,-,-,-,-
"S00170377",66,59,-,-,-,3
"S00170378",238,233,-,-,-,5
"S00170379",78,66,1,-,-,15
"S00170380",81,80,-,-,1,-
"S00170381",135,133,-,-,-,1
"S00170382",63,55,-,-,-,8
"S00170383",253,254,-,-,-,3
"S00170384",68,65,-,-,-,2
"S00170385",119,119,-,-,-,-
"S00170386",78,78,-,-,-,-
"S00170387",105,105,-,-,-,-
"S00170388",164,159,-,-,-,5
"S00170389",63,55,-,-,-,8
"S00170390",127,124,-,-,-,3
"S00170391",94,78,-,-,-,16
"S00170392",135,123,-,-,-,12
"S00170393",98,89,1,-,-,8
"S00170394",88,85,-,-,-,3
"S00170395",124,110,-,-,-,14
"S00170396",87,85,1,-,-,-
"S00170397",154,142,4,-,-,9
"S00170398",96,91,-,-,-,8
"S00170399",88,84,-,-,-,5
"S00170400",250,251,-,-,-,2
"S00170401",114,110,-,-,-,4
"S00170402",85,81,-,-,-,4
"S00170403",109,109,-,-,-,-
"S00170404",138,134,-,-,-,1
"S00170405",182,168,-,-,-,14
"S00170406",113,113,-,-,-,-
"S00170407",101,93,-,-,-,8
"S00170408",72,71,2,-,-,-
"S00170409",73,73,-,-,-,-
"S00170410",129,125,-,1,-,2
"S00170411",151,152,1,-,-,4
"S00170412",60,54,-,-,-,6
"S00170413",111,102,-,-,-,9
"S00170414",117,111,-,-,-,4
"S00170415",98,96,-,-,-,4
"S00170416",107,98,-,-,-,7
"S00170417",81,81,-,-,-,-
"S00170418",88,87,-,-,-,1
"S00170419",168,166,-,-,2,1
"S00170420",131,126,-,-,-,4
"S00170421",78,76,-,-,2,1
"S00170422",180,176,-,-,-,8
"S00170423",113,113,-,-,-,-
"S00170424",49,49,-,-,-,-
"S00170425",62,57,-,-,-,5
"S00170426",135,131,-,-,-,4
"S00170427",126,116,-,-,-,9
"S00170428",122,122,-,-,-,-
"S00170429",77,75,-,-,-,1
"S00170430",78,77,-,-,-,-
"S00170431",232,220,-,-,1,11
"S00170432",195,191,-,-,-,4
"S00170433",95,94,-,-,-,-
"S00170434",117,107,-,-,1,9
"S00170435",195,195,-,-,-,-
"S00170436",117,108,2,-,-,8
"S00170437",90,90,-,-,-,-
"S00170438",176,175,-,-,-,1
"S00170439",66,62,-,-,-,4
"S00170440",162,138,-,-,-,21
"S00170441",70,63,-,-,-,7
"S00170442",163,163,-,-,-,-
"S00170443",130,127,-,-,-,3
"S00170444",91,85,-,-,-,3
"S00170445",198,192,-,-,-,6
"S00170446",263,260,-,-,-,1
"S00170447",78,78,-,-,-,-
"S00170448",170,156,3,-,-,11
"S00170449",125,109,2,-,-,11
"S00170450",131,125,-,-,-,6
"S00170451",75,75,-,-,-,-
"S00170452",94,92,-,-,-,2
"S00170453",95,84,-,-,-,11
"S00170454",135,126,4,-,-,5
"S00170455",64,58,-,-,-,4
"S00170456",98,89,2,-,-,8
"S00170457",82,82,-,-,-,-
"S00170458",113,106,-,-,-,7
"S00170459",123,120,-,-,-,3
"S00170460",129,110,-,-,-,19
"S00170461",107,94,1,-,-,12
"S00170462",91,90,-,-,1,1
"S00170463",77,75,-,-,-,2
"S00170464",129,129,-,-,-,-
"S00170465",191,186,-,-,-,5
"S00170466",104,104,-,-,-,-
"S00170467",109,98,-,-,-,11
"S00170468",102,99,-,-,-,2
"S00170469",99,99,-,-,-,-
"S00170470",98,93,3,-,-,3
"S00170471",90,90,-,-,-,-
"S00170472",66,61,-,-,-,4
"S00170473",123,112,-,-,-,11
"S00170474",80,77,1,-,-,2
"S00170475",129,123,-,-,-,6
"S00170476",103,103,-,-,-,-
"S00170477",77,71,-,-,-,6
"S00170478",204,198,-,-,-,6
"S00170479",92,91,-,-,-,2
"S00170480",129,130,-,-,-,1
"S00170481",89,83,2,-,-,3
"S00170482",72,71,-,-,-,1
"S00170483",155,139,-,-,-,15
"S00170484",115,102,-,-,-,13
"S00170485",168,161,-,-,-,10
"S00170486",158,148,-,-,1,9
"S00170487",124,124,-,-,-,-
"S00170488",156,148,-,-,-,8
"S00170489",146,144,1,-,-,1
"S00170490",105,103,-,-,-,4
"S00170491",106,105,-,-,-,2
"S00170492",65,65,-,-,-,-
"S00170493",78,67,-,-,-,11
"S00170494",69,66,-,-,-,3
"S00170495",112,108,-,-,-,4
"S00170496",59,53,-,-,-,4
"S00170497",100,102,-,-,-,2
"S00170498",110,104,-,-,-,6
"S00170499",102,102,-,-,-,-
"S00170500",130,107,-,-,-,25
"S00170501",61,61,-,-,-,-
"S00170502",168,163,-,-,-,5
"S00170503",97,97,-,-,-,-
"S00170504",122,118,-,-,-,4
"S00170505",82,82,-,-,-,-
"S00170506",61,61,-,-,-,-
"S00170507",173,170,-,-,-,-
"S00170508",127,119,-,-,-,8
"S00170509",140,115,-,-,-,25
"S00170510",92,85,1,-,-,4
"S00170511",87,81,-,-,-,6
"S00170512",70,70,-,-,-,-
"S00170513",91,88,-,-,-,2
"S00170514",170,167,-,-,-,2
"S00170515",108,106,-,-,-,-
"S00170516",197,192,-,-,2,3
"S00170517",138,133,-,-,-,2
"S00170518",68,67,-,-,-,-
"S00170519",86,86,-,-,-,-
"S00170520",96,103,1,-,-,-
"S00170521",62,62,-,-,-,-
"S00170522",72,62,-,-,4,6
"S00170523",186,182,-,-,-,4
"S00170524",129,124,1,-,-,3
"S00170525",79,75,-,-,-,4
"S00170526",114,111,-,-,-,3
"S00170527",288,283,-,-,-,5
"S00170528",90,88,-,-,-,4
"S00170529",61,63,-,-,-,2
"S00170530",159,155,-,-,-,4
"S00170531",105,103,1,-,-,-
"S00170532",103,97,-,-,1,5
"S00170533",168,168,-,-,-,-
"S00170534",78,75,-,-,-,4
"S00170535",120,118,-,-,-,2
"S00170536",132,129,-,-,1,5
"S00170537",105,105,-,-,-,-
"S00170538",83,81,-,-,-,2
"S00170539",106,98,-,-,-,11
"S00170540",129,128,-,-,-,-
"S00170541",89,87,1,-,-,2
"S00170542",109,109,-,-,-,-
"S00170543",61,59,-,-,-,2
"S00170544",100,100,-,-,-,-
"S00170545",100,97,-,-,-,3
"S00170546",76,74,-,-,-,2
"S00170547",238,236,-,-,-,3
"S00170548",138,131,-,-,-,8
"S00170549",153,145,-,-,-,5
"S00170550",150,145,4,-,-,1
"S00170551",117,116,1,-,-,-
"S00170552",71,71,-,-,-,-
"S00170553",170,163,4,-,-,5
"S00170554",134,132,-,-,-,3
"S00170555",140,124,-,-,-,16
"S00170556",95,88,-,-,-,7
"S00170557",158,152,2,-,-,1
"S00170558",126,124,-,-,-,3
"S00170559",85,83,-,-,-,2
"S00170560",125,121,-,-,-,4
"S00170561",116,113,-,-,-,3
"S00170562",73,73,-,-,-,-
"S00170563",93,93,-,-,-,-
"S00170564",72,69,1,-,-,-
"S00170565",64,64,-,-,-,-
"S00170566",94,94,-,-,-,-
"S00170567",145,140,-,-,-,4
"S00170568",110,108,-,-,-,2
"S00170569",122,121,-,-,1,-
"S00170570",97,97,-,-,-,-
"S00170571",124,124,-,-,-,-
"S00170572",180,172,3,-,-,6
"S00170573",81,78,-,-,-,3
"S00170574",87,87,-,-,-,-
"S00170575",86,81,-,-,-,5
"S00170576",89,85,-,-,-,6
"S00170577",166,161,3,-,-,3
"S00170578",87,87,-,-,-,-
"S00170579",131,127,-,-,-,8
"S00170580",118,104,-,-,-,14
"S00170581",72,70,-,-,-,4
"S00170582",158,138,-,-,-,20
"S00170583",72,65,-,-,-,11
"S00170584",145,131,-,-,-,12
"S00170585",84,60,-,-,-,23
"S00170586",156,144,3,-,1,8
"S00170587",159,159,-,-,-,-
"S00170588",167,167,-,-,-,-
"S00170589",265,255,-,-,-,10
"S00170590",165,165,-,-,-,-
"S00170591",153,150,-,-,-,1
"S00170592",119,116,-,-,-,4
"S00170593",136,131,1,2,-,2
"S00170594",80,79,-,-,-,1
"S00170595",111,113,2,-,-,-
"S00170596",147,147,-,-,-,-
"S00170597",92,92,-,-,-,-
"S00170598",132,132,-,-,-,-
"S00170599",105,105,-,-,-,-
"S00170600",148,148,-,-,-,-
"S00170601",94,91,-,-,-,3
"S00170602",169,163,3,-,-,3
"S00170603",113,112,1,-,-,-
"S00170604",73,68,2,-,-,-
"S00170605",81,77,1,-,1,3
"S00170606",82,81,-,-,-,-
"S00170607",126,123,3,-,-,2
"S00170608",154,152,1,-,-,-
"S00170609",163,162,2,-,-,-
"S00170610",104,102,1,-,-,1
"S00170611",145,143,2,-,-,-
"S00170612",110,104,5,-,-,3
"S00170613",75,73,2,-,-,1
"S00170614",100,100,-,-,-,-
"S00170615",120,118,2,-,-,-
"S00170616",89,89,-,-,-,-
"S00170617",91,88,-,-,-,5
"S00170618",97,93,4,-,-,-
"S00170619",137,137,-,-,-,-
"S00170620",83,82,-,-,-,1
"S00170621",97,97,-,-,-,-
"S00170622",110,105,1,-,-,3
"S00170623",86,86,-,-,-,-
"S00170624",75,75,-,-,-,-
"S00170625",63,63,1,-,-,-
"S00170626",144,143,-,-,-,1
"S00170627",135,134,-,-,-,1
"S00170628",100,99,-,-,-,1
"S00170629",91,91,-,-,-,-
"S00170630",148,141,-,-,-,5
"S00170631",121,117,-,-,-,6
"S00170632",124,124,-,-,-,-
"S00170633",130,127,1,-,-,2
"S00170634",108,106,-,-,-,-
"S00170635",70,66,1,-,-,3
"S00170636",72,70,-,-,-,4
"S00170637",95,93,2,-,-,1
"S00170638",124,124,-,-,-,-
"S00170639",124,124,4,-,-,2
"S00170640",145,143,1,-,-,1
"S00170641",161,161,-,-,-,-
"S00170642",121,120,1,-,-,-
"S00170643",145,143,-,-,-,2
"S00170644",139,138,-,-,-,1
"S00170645",59,58,-,-,-,1
"S00170646",94,94,-,-,-,-
"S00170647",135,134,-,-,-,1
"S00170648",80,80,-,-,-,-
"S00170649",131,130,-,-,-,-
"S00170650",111,110,-,-,-,1
"S00170651",90,90,-,-,-,-
"S00170652",131,130,-,-,-,1
"S00170653",101,100,-,-,-,1
"S00170654",117,115,1,-,-,-
"S00170655",80,80,-,-,-,-
"S00170656",169,164,5,-,-,3
"S00170657",128,127,-,-,-,2
"S00170658",139,138,1,-,-,-
"S00170659",71,71,-,-,-,-
"S00170660",73,73,-,-,-,-
"S00170661",129,124,-,-,-,4
"S00170662",185,182,2,-,-,1
"S00170663",117,111,1,-,-,2
"S00170664",166,166,-,-,-,-
"S00170665",126,126,-,-,-,-
"S00170666",93,92,-,-,-,1
"S00170667",174,168,2,-,-,4
"S00170668",79,79,-,-,-,-
"S00170669",94,91,2,-,-,2
"S00170670",103,103,-,-,-,-
"S00170671",114,105,-,-,-,2
"S00170672",99,89,2,-,-,8
"S00170673",157,155,-,-,1,-
"S00170674",124,122,2,-,-,-
"S00170675",108,107,-,-,-,1
"S00170676",120,116,-,-,-,4
"S00170677",107,104,-,-,-,3
"S00170678",102,100,1,-,-,1
"S00170679",148,146,-,-,-,4
"S00170680",157,156,-,-,-,1
"S00170681",86,86,-,-,-,-
"S00170682",123,122,-,-,1,-
"S00170683",61,55,-,-,-,1
"S00170684",60,56,1,-,-,3
"S00170685",75,73,-,-,-,4
"S00170686",77,75,2,-,-,-
"S00170687",142,141,-,-,-,-
"S00170688",102,104,1,-,-,-
"S00170689",90,86,-,-,-,1
"S00170690",94,92,1,-,-,2
"S00170691",118,106,2,-,-,7
"S00170692",135,131,-,-,-,4
"S00170693",61,57,1,-,-,3
"S00170694",141,144,-,-,-,-
"S00170695",106,105,-,-,-,2
"S00170696",99,92,-,-,-,4
"S00170697",95,93,-,-,-,2
"S00170698",141,133,4,-,-,-
"S00170699",135,132,-,-,-,1
"S00170700",151,151,-,-,-,-
"S00170701",190,187,-,-,-,3
"S00170702",60,58,-,-,-,3
"S00170703",105,102,1,-,-,2
"S00170704",81,87,2,-,-,-
"S00170705",88,87,-,-,-,2
"S00170706",76,74,-,-,-,2
"S00170707",108,100,7,-,-,1
"S00170708",65,61,-,-,-,1
"S00170709",151,149,-,-,-,2
"S00170710",149,149,-,-,-,-
"S00170711",98,90,-,-,1,-
"S00170712",85,83,2,-,-,-
"S00170713",74,72,-,-,-,2
"S00170714",160,145,8,-,-,7
"S00170715",156,150,3,-,-,3
"S00170716",108,108,-,-,-,-
"S00170717",88,88,1,-,-,-
"S00170718",116,114,-,-,-,-
"S00170719",159,158,-,-,-,1
"S00170720",85,81,2,-,-,2
"S00170721",87,86,1,-,-,-
"S00170722",66,66,-,-,-,-
"S00170723",71,68,4,-,-,1
"S00170724",88,88,-,-,-,-
"S00170725",103,100,5,-,-,-
"S00170726",161,158,1,-,-,2
"S00170727",201,200,1,-,-,-
"S00170728",97,97,-,-,-,-
"S00170729",105,99,-,-,-,6
"S00170730",105,104,-,-,-,2
"S00170731",88,87,1,-,-,-
"S00170732",77,76,-,-,-,-
"S00170733",121,112,-,-,-,6
"S00170734",103,99,2,-,-,2
"S00170735",63,58,1,-,-,2
"S00170736",95,95,-,-,-,-
"S00170737",80,78,-,-,-,1
"S00170738",175,174,-,-,-,1
"S00170739",64,63,-,-,-,1
"S00170740",133,130,1,-,-,4
"S00170741",177,176,-,-,-,-
"S00170742",93,92,1,-,-,-
"S00170743",67,67,-,-,-,-
"S00170744",105,105,-,-,-,-
"S00170745",78,77,-,-,-,1
"S00170746",172,172,-,-,-,-
"S00170747",154,154,-,-,-,-
"S00170748",157,156,1,-,-,-
"S00170749",75,74,-,-,-,2
"S00170750",114,112,1,-,-,2
"S00170751",98,94,-,-,-,1
"S00170752",83,81,1,-,-,1
"S00170753",74,73,-,-,-,2
"S00170754",61,59,-,-,-,2
"S00170755",92,91,-,-,-,-
"S00170756",116,110,1,-,-,2
"S00170757",132,119,3,-,-,6
"S00170758",107,103,-,-,-,4
"S00170759",97,97,-,-,-,-
"S00170760",61,62,2,-,-,-
"S00170761",66,63,3,-,-,-
"S00170762",138,138,-,-,-,-
"S00170763",150,152,-,-,-,-
"S00170764",215,215,-,-,-,-
"S00170765",180,182,-,-,-,-
"S00170766",123,123,-,-,-,-
"S00170767",140,138,4,-,-,-
"S00170768",174,174,-,-,-,-
"S00170769",103,103,-,-,-,-
"S00170770",216,214,1,-,-,7
"S00170771",158,158,-,-,-,-
"S00170772",129,125,3,-,-,1
"S00170773",72,75,3,-,-,-
"S00170774",160,155,5,-,-,-
"S00170775",63,63,-,-,-,-
"S00170776",85,85,-,-,-,-
"S00170777",200,198,1,-,-,1
"S00170778",164,161,-,-,-,1
"S00170779",168,166,-,-,-,2
"S00170780",133,133,-,-,-,-
"S00170781",80,80,-,-,-,-
"S00170782",149,149,-,-,-,-
"S00170783",82,80,-,-,1,2
"S00170784",133,127,-,-,-,6
"S00170785",119,118,1,-,-,-
"S00170786",88,88,-,-,-,-
"S00170787",138,134,1,-,-,2
"S00170788",67,65,-,-,-,2
"S00170789",84,82,-,-,-,-
"S00170790",137,136,-,-,-,-
"S00170791",153,146,-,-,-,7
"S00170792",146,135,1,-,-,8
"S00170793",101,99,1,-,-,-
"S00170794",128,119,-,-,-,11
"S00170795",111,100,4,-,-,9
"S00170796",71,70,-,-,-,1
"S00170797",127,125,1,-,-,1
"S00170798",88,88,-,-,-,-
"S00170799",112,112,-,-,-,-
"S00170800",102,94,-,-,1,7
"S00170801",127,123,1,-,-,3
"S00170802",103,97,-,-,-,6
"S00170803",112,110,1,-,-,1
"S00170804",98,94,2,-,-,5
"S00170805",126,114,-,-,-,12
"S00170806",77,80,-,-,-,1
"S00170807",79,77,-,-,-,4
"S00170808",117,116,-,-,-,2
"S00170809",136,130,-,-,-,7
"S00170810",108,107,-,-,-,-
"S00170811",167,160,1,-,-,6
"S00170812",140,140,-,-,-,-
"S00170813",125,112,-,-,1,12
"S00170814",177,160,-,-,-,17
"S00170815",85,83,-,-,-,3
"S00170816",115,94,-,-,-,21
"S00170817",128,125,-,-,-,3
"S00170818",93,84,-,-,-,6
"S00170819",129,121,-,-,-,8
"S00170820",143,132,1,-,-,10
"S00170821",113,97,-,-,-,16
"S00170822",86,85,-,-,-,1
"S00170823",165,162,-,-,-,3
"S00170824",91,87,-,-,-,4
"S00170825",82,71,-,-,-,8
"S00170826",121,118,-,-,-,3
"S00170827",151,143,-,-,-,8
"S00170828",148,122,-,-,-,26
"S00170829",167,161,-,-,-,13
"S00170830",126,109,3,-,-,15
"S00170831",110,89,-,-,-,23
"S00170832",101,82,-,-,-,15
"S00170833",117,116,-,-,-,3
"S00170834",95,95,-,-,-,-
"S00170835",115,110,-,-,-,5
"S00170836",121,114,-,-,-,4
"S00170837",72,67,-,-,-,5
"S00170838",109,105,1,-,-,1
"S00170839",137,135,-,-,-,2
"S00170840",111,110,-,2,-,-
"S00170841",72,72,-,-,-,-
"S00170842",134,130,-,-,-,2
"S00170843",139,134,-,-,-,5
"S00170844",81,74,-,-,-,7
"S00170845",67,67,-,-,-,-
"S00170846",66,66,-,-,-,-
"S00170847",131,124,-,-,-,6
"S00170848",126,123,-,-,-,3
"S00170849",71,68,-,2,-,-
"S00170850",105,97,1,-,-,4
"S00170851",115,106,-,-,-,2
"S00170852",125,125,-,-,-,-
"S00170853",171,174,-,-,-,1
"S00170854",96,94,-,-,-,2
"S00170855",103,98,-,-,-,5
"S00170856",117,117,-,-,-,-
"S00170857",103,96,1,-,-,9
"S00170858",70,67,-,-,-,4
"S00170859",107,107,-,-,-,-
"S00170860",128,122,1,-,-,2
"S00170861",87,87,-,-,-,-
"S00170862",98,93,-,-,-,4
"S00170863",96,82,1,-,-,13
"S00170864",79,75,-,-,-,3
"S00170865",72,66,-,-,-,5
"S00170866",115,100,-,1,-,18
"S00170867",164,154,-,-,-,7
"S00170868",97,93,-,-,-,4
"S00170869",111,102,2,1,-,7
"S00170870",88,84,-,-,-,4
"S00170871",141,141,-,-,-,-
"S00170872",141,136,-,-,-,7
"S00170873",80,80,-,-,-,-
"S00170874",84,82,-,-,-,2
"S00170875",149,146,2,-,-,-
"S00170876",113,111,-,-,-,-
"S00170877",125,121,-,-,-,4
"S00170878",103,96,-,-,-,7
"S00170879",75,75,-,-,-,-
"S00170880",136,125,-,-,-,4
"S00170881",106,95,-,-,-,12
"S00170882",103,102,-,-,-,2
"S00170883",92,88,-,-,-,3
"S00170884",91,91,-,-,-,-
"S00170885",108,104,-,-,-,9
"S00170886",73,73,-,-,-,-
"S00170887",61,60,-,-,-,1
"S00170888",100,100,-,-,-,-
"S00170889",127,124,-,-,-,2
"S00170890",70,61,-,-,-,9
"S00170891",69,66,-,-,-,1
"S00170892",159,149,1,-,-,9
"S00170893",141,129,3,-,-,12
"S00170894",149,148,-,-,-,1
"S00170895",150,141,5,-,-,-
"S00170896",149,148,1,-,-,-
"S00170897",64,62,3,-,-,-
"S00170898",67,66,1,-,-,-
"S00170899",91,85,4,-,-,2
"S00170900",103,102,-,-,-,1
"S00170901",109,108,-,-,-,1
"S00170902",157,154,-,-,-,3
"S00170903",130,131,-,-,-,-
"S00170904",91,87,-,-,-,1
"S00170905",96,92,-,-,-,4
"S00170906",82,80,-,-,-,2
"S00170907",123,122,-,-,-,1
"S00170908",116,114,-,-,-,4
"S00170909",144,142,-,-,-,2
"S00170910",110,102,-,-,-,2
"S00170911",108,91,-,-,-,17
"S00170912",112,109,-,-,-,4
"S00170913",149,142,-,-,-,10
"S00170914",180,176,-,-,-,-
"S00170915",83,80,-,-,-,3
"S00170916",163,149,-,-,2,13
"S00170917",75,67,2,-,-,6
"S00170918",84,84,-,-,-,-
"S00170919",80,68,-,-,-,12
"S00170920",130,129,2,-,-,-
"S00170921",98,90,2,-,-,4
"S00170922",121,122,-,-,-,1
"S00170923",116,98,-,-,-,18
"S00170924",59,52,2,-,-,5
"S00170925",113,109,-,-,-,4
"S00170926",61,58,-,-,-,3
"S00170927",74,72,-,-,-,2
"S00170928",70,61,-,-,-,9
"S00170929",76,72,-,-,-,4
"S00170930",167,161,-,-,-,6
"S00170931",98,94,2,-,-,4
"S00170932",114,111,-,-,-,3
"S00170933",158,151,-,-,-,7
"S00170934",107,98,-,-,-,4
"S00170935",159,143,1,-,-,11
"S00170936",95,95,-,-,-,-
"S00170937",147,143,-,-,-,3
"S00170938",90,85,1,-,-,4
"S00170939",97,92,-,-,-,5
"S00170940",114,108,-,-,-,2
"S00170941",120,109,-,-,-,8
"S00170942",106,95,-,-,-,10
"S00170943",92,88,-,-,-,4
"S00170944",82,82,-,-,-,-
"S00170945",135,118,-,-,-,17
"S00170946",61,60,-,-,-,1
"S00170947",130,127,-,-,-,3
"S00170948",160,152,-,1,-,7
"S00170949",111,99,-,-,1,12
"S00170950",64,60,-,-,-,6
"S00170951",118,95,-,-,-,23
"S00170952",92,80,-,-,-,16
"S00170953",82,78,-,-,-,1
"S00170954",122,123,-,-,-,2
"S00170955",114,102,-,-,-,12
"S00170956",130,101,2,-,-,27
"S00170957",85,59,-,-,-,26
"S00170958",162,138,-,-,-,24
"S00170959",101,89,-,-,-,12
"S00170960",130,121,-,-,1,5
"S00170961",66,66,-,-,-,-
"S00170962",124,123,-,-,-,1
"S00170963",71,69,-,-,-,2
"S00170964",103,99,-,-,-,4
"S00170965",86,86,-,-,-,-
"S00170966",67,67,-,-,-,-
"S00170967",94,80,3,-,-,10
"S00170968",102,87,-,-,1,12
"S00170969",71,71,-,-,-,-
"S00170970",66,63,-,-,-,3
"S00170971",134,129,-,-,-,8
"S00170972",63,60,-,-,-,3
"S00170973",106,92,4,-,-,11
"S00170974",100,84,-,-,-,14
"S00170975",82,79,1,-,-,3
"S00170976",95,95,-,-,-,-
"S00170977",105,101,1,-,-,3
"S00170978",99,99,-,-,-,-
"S00170979",67,64,-,-,-,3
"S00170980",149,119,4,-,-,24
"S00170981",69,68,-,-,-,1
"S00170982",98,98,-,-,-,-
"S00170983",113,110,-,-,-,1
"S00170984",94,93,-,-,-,1
"S00170985",117,115,-,-,-,4
"S00170986",137,136,-,-,-,1
"S00170987",154,150,1,-,-,3
"S00170988",97,97,-,-,-,-
"S00170989",136,134,-,-,-,2
"S00170990",80,80,-,-,-,-
"S00170991",119,119,-,-,-,1
"S00170992",72,74,1,-,-,-
"S00170993",127,127,-,-,-,1
"S00170994",105,105,-,-,-,-
"S00170995",73,65,-,-,-,4
"S00170996",178,178,-,-,-,-
"S00170997",187,186,-,-,-,1
"S00170998",96,94,-,-,-,2
"S00170999",104,101,-,-,-,3
"S00171000",128,127,-,-,-,1
"S00171001",137,136,-,-,-,-
"S00171002",233,228,-,-,1,8
"S00171003",125,124,-,-,-,-
"S00171004",131,127,1,-,-,2
