OA_Code,Latitude,Longitude,All people in households,"Whole house or bungalow, Total","Whole house or bungalow, Detached","Whole house or bungalow, Semi-detached","Whole house or bungalow, Terraced (including end-terrace)","Flat, maisonette or apartment, Total","Flat, maisonette or apartment, Purpose-built block of flats or tenement","Flat, maisonette or apartment, Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment, In a commercial building",Caravan or other mobile or temporary structure
S00143229,55.94675524,-3.187526531,96,-,-,-,-,96,93,-,3,-
S00143230,55.94752182,-3.183498704,99,6,-,-,6,94,92,-,2,-
S00143231,55.94761611,-3.193285565,115,1,-,-,1,114,101,-,13,-
S00143232,55.94792446,-3.092236389,113,61,18,28,14,53,53,-,-,-
S00143233,55.94648593,-3.276452803,171,132,87,39,6,39,39,-,-,-
S00143234,55.94717072,-3.200285514,84,6,-,2,4,81,81,-,-,-
S00143235,55.94842166,-3.091898099,80,68,1,3,65,12,4,8,-,-
S00143236,55.94765856,-3.179547648,100,-,-,-,-,100,100,1,-,-
S00143237,55.94583133,-3.297824033,116,116,107,5,-,4,4,-,-,-
S00143238,55.94761259,-3.103036299,100,12,1,8,1,88,79,9,-,-
S00143239,55.94620168,-3.24273684,152,136,16,23,97,16,-,16,-,-
S00143240,55.94525314,-3.292136325,121,119,104,8,4,-,-,-,-,2
S00143241,55.94727796,-3.18456413,70,9,-,5,3,64,58,-,3,-
S00143242,55.94672366,-3.218366082,172,15,-,6,13,153,114,36,1,-
S00143243,55.94685773,-3.214799435,162,4,4,-,-,158,138,18,4,-
S00143244,55.94785838,-3.13532554,98,11,4,-,8,92,92,-,-,-
S00143245,55.94489778,-3.206684028,104,-,-,-,-,104,103,2,-,-
S00143246,55.94578185,-3.23444497,84,28,-,8,17,56,54,2,-,-
S00143247,55.9470625,-3.196631233,69,-,-,-,-,69,68,1,-,-
S00143248,55.94730098,-3.178415871,122,-,-,-,-,122,119,3,-,-
S00143249,55.94637407,-3.247017748,120,30,15,13,2,93,66,27,-,-
S00143250,55.94733127,-3.180882782,87,39,4,5,30,48,48,-,-,-
S00143251,55.94801253,-3.095473502,176,147,68,41,38,29,29,-,-,-
S00143252,55.94669112,-3.203393154,90,2,2,-,-,85,85,-,-,-
S00143253,55.94681912,-3.18555892,121,-,-,-,-,121,114,-,7,-
S00143254,55.94748219,-3.123432968,223,221,192,9,17,4,4,-,-,-
S00143255,55.94682284,-3.198177078,109,-,-,-,-,109,103,2,6,-
S00143256,55.94625873,-3.143124801,103,83,27,13,45,20,20,-,-,-
S00143257,55.94556573,-3.276806823,156,150,46,104,-,8,8,-,-,-
S00143258,55.9462505,-3.201586081,124,1,-,-,1,123,122,-,1,-
S00143259,55.94754708,-3.088174516,169,131,85,24,22,36,32,5,-,-
S00143260,55.92909844,-3.325818707,136,117,77,31,10,18,12,7,-,-
S00143261,55.94637469,-3.215488863,62,1,-,-,1,64,55,9,-,-
S00143262,55.94728024,-3.134684119,95,11,2,2,4,84,84,-,-,-
S00143263,55.94703843,-3.179560817,91,-,-,-,-,91,91,-,-,-
S00143264,55.94629246,-3.211979532,95,-,-,-,-,95,91,4,-,-
S00143265,55.94609599,-3.220956407,152,4,-,1,3,151,136,10,5,-
S00143266,55.94740548,-3.101076849,98,49,12,-,37,48,48,-,-,-
S00143267,55.94665516,-3.205233499,186,7,5,-,2,176,165,12,1,-
S00143268,55.94621814,-3.136830736,93,66,40,2,21,27,25,3,-,-
S00143269,55.94636727,-3.182086402,93,3,-,-,3,90,90,-,-,-
S00143270,55.94605726,-3.249905837,155,52,5,11,36,103,100,3,-,-
S00143271,55.94520855,-3.298940073,126,126,116,10,-,-,-,-,-,-
S00143272,55.94693749,-3.140662836,70,3,-,3,-,67,63,4,-,-
S00143273,55.94498526,-3.255475541,87,82,33,36,10,9,5,1,1,-
S00143274,55.94629545,-3.213500821,70,6,-,-,6,67,61,-,3,-
S00143275,55.94693393,-3.128364999,143,142,105,26,11,1,1,-,-,-
S00143276,55.94638356,-3.198996164,83,-,-,-,-,83,81,1,-,-
S00143277,55.94697689,-3.082522089,90,81,35,22,24,6,3,5,-,-
S00143278,55.94659385,-3.199547095,112,5,-,5,-,108,108,-,-,-
S00143279,55.94366618,-3.179842559,62,6,2,2,2,56,56,-,-,-
S00143280,55.94554055,-3.196055883,63,2,-,2,-,59,55,4,-,-
S00143281,55.94647315,-3.181353049,90,1,-,-,1,86,85,-,1,-
S00143282,55.94691208,-3.134657338,109,14,2,-,11,95,95,-,-,-
S00143283,55.94552764,-3.287373763,95,64,14,52,-,29,27,2,-,-
S00143284,55.94638587,-3.203367672,83,2,-,-,2,83,83,-,-,-
S00143285,55.94613937,-3.19175098,162,1,-,-,1,161,139,8,17,-
S00143286,55.94714544,-3.094968634,103,97,97,-,-,6,6,-,-,-
S00143287,55.945507,-3.252770328,108,102,43,49,10,6,5,-,-,-
S00143288,55.94717525,-3.098684421,107,101,52,29,20,4,-,1,-,-
S00143289,55.94452874,-3.276292333,173,158,101,54,4,14,14,-,-,-
S00143290,55.94665156,-3.179613104,77,2,-,2,-,75,75,-,-,-
S00143291,55.94678768,-3.107848634,94,17,4,6,7,77,77,-,-,-
S00143292,55.94611782,-3.189332437,76,4,-,4,-,72,69,-,4,-
S00143293,55.94721637,-3.085939475,76,73,44,18,11,1,1,-,-,-
S00143294,55.94608014,-3.219835033,94,8,-,3,5,86,86,-,-,-
S00143295,55.94666459,-3.1410231,100,9,-,9,-,90,90,-,-,-
S00143296,55.94322649,-3.186329753,92,16,5,-,11,76,66,10,-,-
S00143297,55.94630508,-3.182949182,78,4,-,4,-,78,78,-,-,-
S00143298,55.94575072,-3.184533507,229,-,-,-,-,229,229,-,-,-
S00143299,55.94597179,-3.204363609,85,5,-,-,5,82,79,3,-,-
S00143300,55.94639151,-3.134594074,91,20,6,6,8,71,71,-,-,-
S00143301,55.94491549,-3.284038929,142,126,49,73,1,16,16,-,-,-
S00143302,55.94550719,-3.200410178,93,-,-,-,-,93,83,1,8,-
S00143303,55.94437546,-3.301249929,110,106,27,83,-,4,4,-,-,-
S00143304,55.94565909,-3.190311134,129,-,-,-,-,129,112,4,15,-
S00143305,55.9459811,-3.202490445,80,2,-,-,2,78,75,-,1,-
S00143306,55.94387396,-3.227547302,165,2,2,-,-,163,160,5,-,-
S00143307,55.94560851,-3.212998963,108,15,3,-,12,93,87,6,-,-
S00143308,55.94448573,-3.289052471,100,84,10,46,28,16,15,4,-,-
S00143309,55.94377212,-3.292839548,121,115,34,38,43,6,6,-,-,-
S00143310,55.94561903,-3.236345258,80,5,4,1,-,76,74,1,-,-
S00143311,55.9454889,-3.212370746,109,2,-,-,2,108,98,7,3,-
S00143312,55.94565232,-3.186355898,158,-,-,-,-,158,149,-,9,-
S00143313,55.94616601,-3.142465561,93,8,8,-,-,85,85,-,-,-
S00143314,55.94596592,-3.211376871,79,-,-,-,-,79,78,-,1,-
S00143315,55.9436369,-3.286014078,98,46,14,27,5,52,51,1,-,-
S00143316,55.94524273,-3.235340509,110,1,-,-,1,109,109,-,-,-
S00143317,55.9453583,-3.101915413,115,109,14,35,60,9,-,9,-,-
S00143318,55.9455297,-3.228208161,85,49,16,10,23,36,15,21,-,-
S00143319,55.94611743,-3.139950192,79,3,-,-,3,76,76,-,-,-
S00143320,55.94653135,-3.089234867,80,32,11,8,13,48,48,-,-,-
S00143321,55.94545315,-3.101357687,191,134,37,26,71,56,45,11,-,-
S00143322,55.94497293,-3.210929551,117,6,1,-,5,109,106,3,-,1
S00143323,55.94566159,-3.21034258,88,4,3,-,1,84,84,-,-,-
S00143324,55.94449908,-3.116509612,193,158,63,68,25,36,18,18,-,-
S00143325,55.94408809,-3.290128064,93,82,30,52,-,11,6,5,-,-
S00143326,55.94547608,-3.104816931,105,68,-,19,49,37,37,-,-,-
S00143327,55.94648404,-3.092548105,88,81,81,-,-,6,5,1,-,-
S00143328,55.94492472,-3.246394724,68,38,10,24,8,26,5,21,-,-
S00143329,55.94568471,-3.196941004,101,10,-,6,3,93,93,-,-,-
S00143330,55.94553181,-3.13914839,73,1,-,-,1,72,70,2,-,-
S00143331,55.94452063,-3.219433736,119,4,4,-,-,115,105,8,2,-
S00143332,55.94518258,-3.234169706,136,9,-,-,9,128,128,-,-,-
S00143333,55.94579908,-3.185111426,126,-,-,-,-,126,99,3,24,-
S00143334,55.94423713,-3.287907366,80,10,4,1,7,70,70,-,-,-
S00143335,55.94513062,-3.201247165,117,5,5,-,-,112,111,1,1,-
S00143336,55.94451362,-3.244396039,111,81,8,22,50,34,34,-,-,-
S00143337,55.94561473,-3.205041052,121,3,1,5,-,118,118,-,-,-
S00143338,55.94488485,-3.232494982,108,3,-,-,3,106,106,-,-,-
S00143339,55.9454101,-3.203913842,143,-,-,-,-,143,139,3,1,-
S00143340,55.94585405,-3.121656499,112,112,102,6,4,-,-,-,-,-
S00143341,55.94543622,-3.205836117,111,4,-,-,4,108,86,3,19,1
S00143342,55.94579685,-3.126938865,170,166,157,5,4,4,4,-,-,-
S00143343,55.9443856,-3.226698853,115,90,2,17,71,29,28,1,-,-
S00143344,55.94370615,-3.299962554,116,113,95,18,-,3,3,-,-,-
S00143345,55.94523849,-3.183605178,125,1,-,1,-,124,114,10,-,-
S00143346,55.94528787,-3.181268919,99,-,-,-,-,99,99,-,-,-
S00143347,55.9443696,-3.278640851,133,126,18,79,30,7,1,5,-,-
S00143348,55.94470376,-3.118709108,126,120,33,43,44,9,9,-,-,-
S00143349,55.9445674,-3.181439123,113,-,-,-,-,113,113,-,-,-
S00143350,55.94525578,-3.209577348,104,-,-,-,-,104,98,6,-,-
S00143351,55.94601957,-3.098299421,78,48,4,1,43,30,29,2,-,-
S00143352,55.94380967,-3.296107193,179,153,123,22,8,26,23,-,3,-
S00143353,55.94569732,-3.132892494,89,86,11,75,-,3,3,-,-,-
S00143354,55.94510431,-3.216746039,76,26,-,1,25,50,50,-,-,-
S00143355,55.94580943,-3.141190094,87,10,4,6,-,77,77,-,-,-
S00143356,55.9442548,-3.273241066,108,95,32,57,6,9,3,6,-,-
S00143357,55.94562366,-3.139903658,95,75,1,29,48,17,17,-,-,-
S00143358,55.94495091,-3.224971415,89,81,-,4,75,5,5,3,-,-
S00143359,55.94544889,-3.124703083,99,92,87,6,-,7,4,-,2,-
S00143360,55.94470337,-3.229975339,81,65,-,8,57,16,12,7,-,-
S00143361,55.94640997,-3.082618355,183,171,122,35,14,12,12,-,-,-
S00143362,55.94454206,-3.237111531,67,36,-,4,32,32,32,-,-,-
S00143363,55.9448122,-3.236159424,69,7,-,3,4,62,58,2,2,-
S00143364,55.94572143,-3.107513954,101,41,-,8,32,60,60,-,-,-
S00143365,55.94497289,-3.120734359,129,125,94,31,-,4,2,1,-,-
S00143366,55.94399926,-3.304535748,119,112,49,59,5,6,6,-,-,-
S00143367,55.94432409,-3.233758112,125,-,-,-,-,125,123,2,1,-
S00143368,55.94499197,-3.203484554,125,4,1,-,2,121,115,2,4,-
S00143369,55.9445918,-3.235736092,128,38,2,8,28,94,94,-,-,-
S00143370,55.94479982,-3.217553099,114,12,-,-,12,95,95,5,1,-
S00143371,55.94457745,-3.247856666,81,13,2,5,3,74,72,1,-,-
S00143372,55.94450763,-3.228880326,77,67,4,10,53,10,8,2,-,-
S00143373,55.94451149,-3.250816749,143,40,7,11,22,103,103,-,-,-
S00143374,55.94387816,-3.284420901,138,98,47,36,15,40,29,9,2,-
S00143375,55.94512921,-3.195851057,117,15,-,15,-,102,102,-,-,-
S00143376,55.94478446,-3.2136457,70,8,-,-,8,63,63,-,-,-
S00143377,55.94313485,-3.308093254,143,141,24,114,5,2,2,-,-,-
S00143378,55.94451525,-3.216343279,68,18,-,-,18,50,50,-,-,-
S00143379,55.94418672,-3.252711682,84,41,6,12,23,43,43,-,-,-
S00143380,55.94362899,-3.309791143,111,44,6,26,12,67,67,-,-,-
S00143381,55.94402562,-3.192902928,78,5,-,5,-,73,71,1,3,-
S00143382,55.9444829,-3.234948041,79,7,-,-,7,69,69,-,-,-
S00143383,55.94432053,-3.231420275,74,3,-,-,3,75,67,1,-,-
S00143384,55.94455276,-3.219819031,75,4,-,-,4,71,70,1,-,-
S00143385,55.94416733,-3.211528861,165,-,-,-,-,165,155,9,1,-
S00143386,55.94381729,-3.276445057,108,100,30,70,-,10,4,4,-,-
S00143387,55.94493005,-3.140091431,99,94,74,16,4,5,5,-,-,-
S00143388,55.9442458,-3.214509494,70,7,-,1,4,63,62,-,-,-
S00143389,55.94342248,-3.311465391,89,47,-,41,2,46,46,-,-,-
S00143390,55.94428037,-3.221011348,103,-,-,-,-,103,96,6,-,-
S00143391,55.94473084,-3.184070046,112,9,9,-,-,103,95,-,6,-
S00143392,55.94453751,-3.212260955,100,-,-,-,-,100,100,-,-,-
S00143393,55.94502786,-3.107702307,108,66,4,30,29,45,45,-,-,-
S00143394,55.94481951,-3.127695052,122,124,113,7,-,2,2,-,-,-
S00143395,55.94473116,-3.182164644,78,-,-,-,-,78,73,-,2,-
S00143396,55.9441969,-3.216733591,128,10,-,-,10,114,114,-,-,-
S00143397,55.94425377,-3.246100967,156,152,43,49,60,5,5,-,-,-
S00143398,55.94484483,-3.105071154,161,146,27,28,94,15,15,-,-,-
S00143399,55.94437667,-3.204842478,128,-,-,-,-,128,125,-,3,-
S00143400,55.94531075,-3.095157028,89,9,1,6,-,79,79,-,-,-
S00143401,55.94376677,-3.221155299,98,-,-,-,-,98,97,-,1,-
S00143402,55.94377849,-3.19707433,122,4,-,1,4,118,118,-,-,-
S00143403,55.94454948,-3.201869644,178,-,-,-,-,178,171,3,4,-
S00143404,55.94473878,-3.195342653,101,6,1,4,-,95,95,-,-,-
S00143405,55.94371687,-3.199714323,117,23,15,6,2,94,78,16,-,-
S00143406,55.94331223,-3.315064268,74,43,15,28,-,31,31,-,-,-
S00143407,55.94449523,-3.20924941,101,5,-,-,5,100,97,3,-,-
S00143408,55.94445481,-3.137067274,130,124,101,19,5,4,4,-,-,-
S00143409,55.9433193,-3.304256699,107,101,65,36,-,6,6,-,-,-
S00143410,55.94432013,-3.208779612,92,1,1,-,-,91,91,-,-,-
S00143411,55.94426012,-3.222147545,128,3,-,-,3,122,122,-,-,-
S00143412,55.94461566,-3.210710245,61,1,-,-,1,58,57,3,-,-
S00143413,55.94375041,-3.256732521,96,96,5,3,88,-,-,-,-,-
S00143414,55.94459825,-3.180095071,110,4,-,-,4,106,106,-,-,-
S00143415,55.94406211,-3.223085996,74,-,-,-,-,74,74,-,-,-
S00143416,55.94407745,-3.201438718,100,-,-,-,-,100,97,-,2,-
S00143417,55.94422423,-3.130880057,145,136,80,23,36,9,9,-,-,-
