OA_Code,Latitude,Longitude,All People (16+),UK Armed Forces veteran,Not a UK Armed Forces veteran
S00135652,57.17336819,-2.124745486,81,1,80
S00135653,57.17334506,-2.111151192,58,-,58
S00135654,57.1739057,-2.116957795,58,-,58
S00135655,57.17361497,-2.15330762,91,6,83
S00135656,57.17402044,-2.119124673,81,2,79
S00135657,57.17358582,-2.113136486,88,5,86
S00135658,57.1731589,-2.143994891,68,2,66
S00135659,57.17381499,-2.117900185,103,3,100
S00135660,57.17363447,-2.118809205,91,-,91
S00135661,57.17279697,-2.192746756,54,-,54
S00135662,57.17317133,-2.156117225,100,6,96
S00135663,57.17255308,-2.187718041,89,5,84
S00135664,57.17345283,-2.120875874,135,1,134
S00135665,57.17293056,-2.139379956,98,11,85
S00135666,57.17283397,-2.186098765,68,3,65
S00135667,57.17069452,-2.154105815,122,4,118
S00135668,57.17181453,-2.149050069,107,2,105
S00135669,57.17167576,-2.119249413,113,6,107
S00135670,57.17263546,-2.111082907,127,4,125
S00135671,57.17255911,-2.125354647,73,6,67
S00135672,57.17281733,-2.136154669,94,2,92
S00135673,57.17227017,-2.190660283,67,5,62
S00135674,57.17237401,-2.121765373,83,3,80
S00135675,57.17204257,-2.120805112,109,7,102
S00135676,57.17259666,-2.132515574,72,3,69
S00135677,57.17228194,-2.141031261,58,-,58
S00135678,57.17214801,-2.123219923,88,1,87
S00135679,57.16798964,-2.102453904,72,1,71
S00135680,57.17210121,-2.157038803,88,7,81
S00135681,57.17252464,-2.092725832,98,4,91
S00135682,57.17200363,-2.188707496,69,2,68
S00135683,57.1720708,-2.119465674,82,2,81
S00135684,57.17138589,-2.112137525,70,5,63
S00135685,57.17223956,-2.161272989,108,1,105
S00135686,57.17222,-2.091666669,103,11,92
S00135687,57.17228692,-2.136533078,101,4,97
S00135688,57.17185027,-2.189136684,113,7,104
S00135689,57.17225588,-2.113645076,74,3,71
S00135690,57.17163992,-2.136745672,106,3,106
S00135691,57.17187743,-2.09331955,98,4,96
S00135692,57.1721586,-2.11194142,61,1,63
S00135693,57.17100312,-2.158753981,83,3,80
S00135694,57.17175753,-2.191054536,76,6,70
S00135695,57.17118412,-2.125945316,73,2,72
S00135696,57.17088743,-2.09579758,59,-,59
S00135697,57.17157344,-2.131718121,101,2,99
S00135698,57.16943938,-2.108973198,118,6,113
S00135699,57.17155201,-2.164990858,126,8,117
S00135700,57.17157921,-2.15052093,43,-,43
S00135701,57.17149504,-2.160442884,80,1,79
S00135702,57.17036408,-2.166639223,103,3,99
S00135703,57.17155686,-2.130395088,59,-,59
S00135704,57.17170356,-2.127501587,62,2,60
S00135705,57.17132615,-2.11848758,75,-,75
S00135706,57.17116253,-2.153380137,92,-,92
S00135707,57.17141,-2.141557123,53,-,53
S00135708,57.17129308,-2.093929945,101,-,101
S00135709,57.17119862,-2.160425061,80,1,78
S00135710,57.17078045,-2.116071453,52,1,51
S00135711,57.1710134,-2.125994345,75,-,74
S00135712,57.17069815,-2.151129205,100,2,102
S00135713,57.17119657,-2.13131989,66,-,66
S00135714,57.17114582,-2.136776919,105,3,105
S00135715,57.17103985,-2.165087794,92,4,88
S00135716,57.17064006,-2.122007712,107,4,103
S00135717,57.17036397,-2.128604922,95,5,91
S00135718,57.17083557,-2.141124965,59,-,58
S00135719,57.17082333,-2.118237915,119,-,119
S00135720,57.17045023,-2.169384703,169,8,162
S00135721,57.17057767,-2.161298815,128,6,124
S00135722,57.17115856,-2.115179642,56,-,56
S00135723,57.17101753,-2.112202555,61,3,58
S00135724,57.16927187,-2.141714298,67,3,64
S00135725,57.17035645,-2.151408932,89,-,87
S00135726,57.17031886,-2.145224077,114,-,114
S00135727,57.16922469,-2.107930789,99,2,97
S00135728,57.170246,-2.167614351,91,1,88
S00135729,57.17002626,-2.09422438,96,6,93
S00135730,57.17029468,-2.164770272,84,5,79
S00135731,57.17043157,-2.132689717,66,4,66
S00135732,57.16980428,-2.139566607,92,5,85
S00135733,57.169398,-2.115058402,65,-,65
S00135734,57.17011403,-2.096920058,180,2,179
S00135735,57.17013372,-2.125346422,84,4,80
S00135736,57.16792798,-2.100948998,78,1,80
S00135737,57.17008025,-2.115556622,64,2,66
S00135738,57.16920794,-2.164616605,131,2,126
S00135739,57.16976514,-2.11631631,79,1,77
S00135740,57.16886627,-2.142919871,77,5,72
S00135741,57.16980607,-2.137946047,59,4,56
S00135742,57.16929549,-2.136621248,81,6,77
S00135743,57.1700067,-2.150927941,66,-,64
S00135744,57.16962083,-2.15059564,78,-,71
S00135745,57.16908044,-2.136124371,98,4,95
S00135746,57.16960361,-2.134125404,51,2,52
S00135747,57.16985706,-2.16959696,75,2,74
S00135748,57.16719127,-2.138630771,101,6,92
S00135749,57.1700242,-2.143685026,62,5,59
S00135750,57.16909608,-2.129857253,87,2,87
S00135751,57.16973991,-2.123889886,106,5,100
S00135752,57.16921576,-2.117835905,65,1,65
S00135753,57.16934325,-2.094619506,88,1,87
S00135754,57.16833151,-2.147035204,83,2,81
S00135755,57.16955502,-2.120036312,112,1,109
S00135756,57.16939648,-2.125972298,80,2,79
S00135757,57.16852853,-2.122546424,93,3,90
S00135758,57.16957704,-2.156995011,97,8,89
S00135759,57.16926758,-2.160185177,48,-,48
S00135760,57.16929789,-2.116463665,56,-,56
S00135761,57.1694905,-2.161475972,77,2,79
S00135762,57.16877942,-2.091806954,96,4,92
S00135763,57.16879811,-2.131327906,74,-,74
S00135764,57.16877877,-2.163076851,77,3,74
S00135765,57.16901192,-2.093229631,119,4,113
S00135766,57.16916469,-2.124202144,91,3,88
S00135767,57.1687512,-2.149153472,98,3,95
S00135768,57.16799467,-2.143131464,140,1,138
S00135769,57.16831653,-2.159288128,97,2,98
S00135770,57.16909586,-2.111436061,93,3,90
S00135771,57.16875713,-2.108442037,100,1,99
S00135772,57.16847695,-2.167159867,151,7,147
S00135773,57.16760371,-2.112522899,118,-,118
S00135774,57.16848906,-2.150524888,61,2,59
S00135775,57.16887785,-2.114114232,129,-,129
S00135776,57.16879119,-2.129343568,84,4,80
S00135777,57.16912858,-2.156447416,139,-,139
S00135778,57.1690646,-2.094850297,60,2,58
S00135779,57.16857437,-2.138883995,100,4,96
S00135780,57.16822784,-2.117617791,76,1,75
S00135781,57.1683124,-2.169292234,98,3,95
S00135782,57.1669153,-2.136347891,86,6,82
S00135783,57.16884346,-2.090203125,135,2,133
S00135784,57.16888994,-2.160464654,64,2,62
S00135785,57.16838792,-2.119321484,55,-,55
S00135786,57.16794944,-2.151051829,114,1,113
S00135787,57.16861202,-2.110029054,51,1,49
S00135788,57.16801225,-2.172019236,93,4,90
S00135789,57.16773563,-2.170662039,80,3,77
S00135790,57.16830634,-2.120081864,91,1,90
S00135791,57.16810743,-2.089407617,143,2,141
S00135792,57.16805668,-2.118129851,70,-,70
S00135793,57.16806741,-2.11626136,76,-,76
S00135794,57.16454056,-2.220613259,117,2,121
S00135795,57.16784938,-2.108985045,78,-,77
S00135796,57.1680825,-2.128398558,88,3,85
S00135797,57.16718383,-2.099144626,194,5,185
S00135798,57.16835003,-2.111698384,72,-,71
S00135799,57.16655666,-2.143770761,141,2,139
S00135800,57.16750781,-2.128181602,88,5,83
S00135801,57.16742168,-2.163583463,65,-,65
S00135802,57.1669891,-2.095423698,68,2,69
S00135803,57.16662289,-2.140827792,83,5,78
S00135804,57.16736995,-2.168725719,92,6,86
S00135805,57.16786621,-2.099559845,66,2,68
S00135806,57.16763492,-2.151149757,90,5,85
S00135807,57.16779817,-2.094632084,85,-,85
S00135808,57.16822297,-2.122694232,99,6,93
S00135809,57.16679501,-2.139538713,81,-,81
S00135810,57.16612647,-2.217811801,94,-,94
S00135811,57.16800565,-2.124446284,125,-,124
S00135812,57.16751155,-2.093523481,92,1,89
S00135813,57.16750318,-2.092696691,89,4,85
S00135814,57.16745872,-2.092084772,57,4,55
S00135815,57.16790879,-2.090812657,66,6,58
S00135816,57.16792619,-2.131870482,91,5,86
S00135817,57.16664282,-2.161529679,94,6,89
S00135818,57.16713896,-2.109859316,91,1,87
