OA_Code,Latitude,Longitude,All people,"Female, All","Male, All","All people, 0 - 4","All people, 5 - 9","All people, 10 - 14","All people, 15","All people, 16 - 17","All people, 18 - 19","All people, 20 - 24","All people, 25 - 29","All people, 30 - 34","All people, 35 - 39","All people, 40 - 44","All people, 45 - 49","All people, 50 - 54","All people, 55 - 59","All people, 60 - 64","All people, 65 - 69","All people, 70 - 74","All people, 75 - 79","All people, 80 - 84","All people, 85 and over","Female, 0 - 4","Female, 5 - 9","Female, 10 - 14","Female, 15","Female, 16 - 17","Female, 18 - 19","Female, 20 - 24","Female, 25 - 29","Female, 30 - 34","Female, 35 - 39","Female, 40 - 44","Female, 45 - 49","Female, 50 - 54","Female, 55 - 59","Female, 60 - 64","Female, 65 - 69","Female, 70 - 74","Female, 75 - 79","Female, 80 - 84","Female, 85 and over"
S00135361,57.20293795,-2.178504419,117,52,62,7,7,6,-,1,2,2,2,7,10,3,6,6,7,5,6,16,13,7,5,3,1,1,-,-,-,-,-,3,5,1,2,4,1,4,4,7,8,4,2
S00135362,57.2023108,-2.183582528,132,66,66,7,4,7,-,3,1,3,8,6,7,7,7,9,4,10,3,5,20,10,5,5,4,6,-,1,-,-,4,2,3,4,3,8,3,4,3,2,11,4,5
S00135363,57.20239715,-2.099007512,174,92,85,23,24,7,3,3,4,1,12,30,30,21,9,2,2,2,1,-,-,2,-,10,9,2,1,-,4,1,8,18,18,9,5,-,2,2,-,-,-,2,-
S00135364,57.20113892,-2.186357175,165,81,84,6,4,5,2,4,3,5,3,7,9,7,5,8,13,21,17,19,17,9,5,4,-,3,2,2,1,1,2,6,3,1,3,6,7,10,8,10,6,9,2
S00135365,57.20102183,-2.180431553,119,59,59,4,7,8,1,1,4,5,2,4,1,9,9,7,11,6,6,10,17,4,3,1,6,2,-,1,3,2,2,3,1,5,3,6,6,-,5,7,8,3,1
S00135366,57.18949571,-2.274980913,112,58,50,-,6,4,4,2,-,3,1,11,4,5,10,7,6,16,13,8,10,2,2,-,2,-,4,-,-,2,1,6,1,5,5,5,3,11,7,5,6,-,1
S00135367,57.20129824,-2.181856245,82,41,41,3,3,4,-,3,1,2,3,5,2,4,8,3,11,7,9,10,3,2,1,-,-,4,-,1,-,2,1,3,1,2,4,1,5,4,5,4,3,2,1
S00135368,57.20155088,-2.121547132,131,71,63,11,9,9,-,3,2,7,14,12,8,6,11,7,11,11,5,2,1,-,-,6,7,1,-,1,1,6,7,5,5,4,8,4,6,6,2,1,-,-,-
S00135369,57.20109633,-2.096819372,128,60,68,7,6,11,-,9,4,6,11,5,10,11,12,12,6,4,5,3,-,2,-,5,3,3,-,-,4,1,8,2,5,6,7,7,5,4,2,1,-,-,-
S00135370,57.20125016,-2.125882359,72,37,32,5,4,4,-,-,1,2,5,6,1,7,5,11,5,7,5,1,3,3,-,2,3,1,-,1,1,2,2,4,1,2,2,5,4,2,1,1,1,2,-
