OA_Code,Latitude,Longitude,Constituency
S00177699,55.74866429,-4.199432398,"East Kilbride, Strathaven and Lesmahagow"
S00177700,55.74885985,-4.194025651,"East Kilbride, Strathaven and Lesmahagow"
S00177701,55.74872926,-4.213824964,"East Kilbride, Strathaven and Lesmahagow"
S00177702,55.75199667,-4.043977301,Lanark and Hamilton East
S00177703,55.74931653,-4.20265607,"East Kilbride, Strathaven and Lesmahagow"
S00177704,55.74903778,-4.20816969,"East Kilbride, Strathaven and Lesmahagow"
S00177705,55.74916933,-4.182203571,"East Kilbride, Strathaven and Lesmahagow"
S00177706,55.74761268,-4.216932595,"East Kilbride, Strathaven and Lesmahagow"
S00177707,55.74919531,-4.184786437,"East Kilbride, Strathaven and Lesmahagow"
S00177708,55.74884581,-4.180177754,"East Kilbride, Strathaven and Lesmahagow"
S00177709,55.74883857,-4.197227303,"East Kilbride, Strathaven and Lesmahagow"
S00177710,55.75061756,-4.05284454,Lanark and Hamilton East
S00177711,55.75156563,-4.044496545,Lanark and Hamilton East
S00177712,55.74818715,-4.209491971,"East Kilbride, Strathaven and Lesmahagow"
S00177713,55.74773542,-4.178936679,"East Kilbride, Strathaven and Lesmahagow"
S00177714,55.75227401,-3.882680734,Lanark and Hamilton East
S00177715,55.75390519,-3.874154178,Lanark and Hamilton East
S00177716,55.74821265,-4.216058375,"East Kilbride, Strathaven and Lesmahagow"
S00177717,55.75017697,-4.048550929,Lanark and Hamilton East
S00177718,55.74838378,-4.188469696,"East Kilbride, Strathaven and Lesmahagow"
S00177719,55.750943,-4.046806388,Lanark and Hamilton East
S00177720,55.75330854,-3.881439829,Lanark and Hamilton East
S00177721,55.75308056,-3.878719875,Lanark and Hamilton East
S00177722,55.75062622,-4.044782018,Lanark and Hamilton East
S00177723,55.7480754,-4.201199822,"East Kilbride, Strathaven and Lesmahagow"
S00177724,55.74781978,-4.191369986,"East Kilbride, Strathaven and Lesmahagow"
S00177725,55.74777968,-4.197135891,"East Kilbride, Strathaven and Lesmahagow"
S00177726,55.74973563,-3.981779208,Lanark and Hamilton East
S00177727,55.74683723,-4.20559153,"East Kilbride, Strathaven and Lesmahagow"
S00177728,55.74766253,-4.201670521,"East Kilbride, Strathaven and Lesmahagow"
S00177729,55.74716713,-4.208239249,"East Kilbride, Strathaven and Lesmahagow"
