OA_Code,Latitude,Longitude
S00177637,55.751394388647185,-4.226485507140114
S00177638,55.751151075597534,-4.222551478613316
S00177639,55.75132255268744,-4.203056006753849
S00177640,55.75059457269521,-4.228463723359827
S00177641,55.75216810699798,-4.178323361571856
S00177642,55.75199442647384,-4.193133981904981
S00177643,55.75175391489649,-4.189487133042775
S00177644,55.75185824931431,-4.164330476329578
S00177645,55.75188531186583,-4.170945289563948
S00177646,55.751608787758784,-4.167264738337503
S00177647,55.75361108943462,-4.066196838034248
S00177648,55.75187681013462,-4.172442773750652
S00177649,55.750319202411355,-4.229770646496498
S00177650,55.7498665417593,-4.207563192718008
S00177651,55.751246653589114,-4.199769000037166
S00177652,55.751488495467555,-4.197806595723745
S00177653,55.751334280699304,-4.201399365051669
S00177654,55.75548819653068,-3.8793615482688075
S00177655,55.75351661839786,-4.068072287680357
S00177656,55.75084539161241,-4.19456740661401
S00177657,55.75286569723246,-4.051687812402576
S00177658,55.75343955224511,-4.0463794272381675
S00177659,55.75086865639281,-4.192258083076148
S00177660,55.75119852717224,-4.19140013981058
S00177661,55.722833193952404,-4.216483228825035
S00177662,55.75281683833989,-4.040052244086129
S00177663,55.75283374958408,-4.0395750589947745
S00177664,55.753427724094756,-4.037900932535383
S00177665,55.753111883050316,-4.068624552543908
S00177666,55.751462628135684,-4.17654705053814
S00177667,55.75271195202191,-4.049592175656655
S00177668,55.750750376585216,-4.202386327973392
S00177669,55.75064603419926,-4.195161749891287
S00177670,55.75022837734746,-4.222881435046619
S00177671,55.74872458413378,-4.24723966627909
S00177672,55.75077641605878,-4.171648565192204
S00177673,55.750057346029784,-4.224385545402045
S00177674,55.75114095729807,-4.170346189232969
S00177675,55.749698051848284,-4.2199032852174545
S00177676,55.75117329323548,-4.168515413050584
S00177677,55.750585386846105,-4.199556480082774
S00177678,55.75456621830089,-3.877946722390024
S00177679,55.74988128341804,-4.189669021576817
S00177680,55.748752614084225,-4.22447061261686
S00177681,55.752746034740966,-4.041068423545926
S00177682,55.75203900843741,-4.052218071749366
S00177683,55.74968170107005,-4.214835028939551
S00177684,55.751648408220085,-4.066937608736642
S00177685,55.749324700097944,-4.213699353331707
S00177686,55.74826888177054,-4.20344153177489
S00177687,55.74833345051351,-4.218327917385901
S00177688,55.75168647323982,-4.0678798015107915
S00177689,55.75482984662118,-3.8812740535744914
S00177690,55.754535068247996,-3.8829171768353694
S00177691,55.75255006030023,-4.041504379226668
S00177692,55.74958909320955,-4.221952705326287
S00177693,55.749325114179086,-4.197159055468368
S00177694,55.753806615066225,-3.875902345894307
S00177695,55.75231031869853,-4.045650992664744
S00177696,55.75184562150945,-4.047650435619082
S00177697,55.74847039842488,-4.184108528612074
S00177698,55.74547328341802,-3.974680268854264
S00177699,55.748664290186234,-4.199432398198936
S00177700,55.74885985442197,-4.1940256512031056
S00177701,55.74872926088421,-4.213824963669555
S00177702,55.75199666916189,-4.043977301135624
S00177703,55.749316530691594,-4.202656069745216
S00177704,55.7490377778227,-4.208169689788665
S00177705,55.74916932896325,-4.182203571071054
S00177706,55.747612680862346,-4.216932594669058
S00177707,55.74919531152968,-4.18478643718551
S00177708,55.748845807740416,-4.180177754323802
S00177709,55.74883857011785,-4.197227303007208
S00177710,55.7506175569167,-4.052844539603892
S00177711,55.75156563233808,-4.0444965449735655
S00177712,55.74818714846514,-4.209491971363273
S00177713,55.74773541543465,-4.178936679233998
S00177714,55.752274014310956,-3.882680733675574
S00177715,55.753905192485156,-3.874154177582134
S00177716,55.74821264584635,-4.216058375259881
S00177717,55.75017697190225,-4.0485509293515625
S00177718,55.74838378018785,-4.1884696960456385
S00177719,55.75094300033397,-4.046806388062113
S00177720,55.75330853634278,-3.8814398288800906
S00177721,55.75308056003591,-3.878719875481335
S00177722,55.75062621801378,-4.044782017789487
S00177723,55.748075403788555,-4.2011998223414615
S00177724,55.7478197829138,-4.191369986315629
S00177725,55.74777968430301,-4.1971358906434375
S00177726,55.74973562544707,-3.981779207579054
S00177727,55.74683723093916,-4.205591530109938
S00177728,55.747662530513345,-4.2016705207653695
S00177729,55.74716712893938,-4.2082392488263
S00177730,55.74620399126802,-4.221776150013171
S00177731,55.74713997244808,-4.20474818746347
S00177732,55.74762666574668,-4.209173463875342
S00177733,55.74720419264168,-4.202170514998598
S00177734,55.74728651615775,-4.18800989360745
S00177735,55.74965970370728,-3.9786841421813874
S00177736,55.75245854655226,-3.8776701335570776
S00177737,55.74693649043824,-4.210568489301648
S00177738,55.75211932077247,-3.875168011426531
S00177739,55.746646793495955,-4.2116833953511446
S00177740,55.746625970874575,-4.179161619236814
S00177741,55.74621693518516,-4.218574234572092
S00177742,55.74892747244755,-4.049106849345232
S00177743,55.748195887170716,-3.9668670496005918
S00177744,55.74755353646536,-4.183611127716907
S00177745,55.74700783705042,-4.198080387690869
S00177746,55.74554006788651,-4.201248205001719
S00177747,55.74692557773997,-4.188595165606808
S00177748,55.750389493312866,-3.9696225716861013
S00177749,55.751871455708795,-3.8843185418677693
S00177750,55.74705626021174,-4.190339270496966
